	"53.Elutriation2:Sample2:Time2.0hrs"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"801.Heat Shock 030inutes"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12744.heat shock 17 to 37, 20 minutes"	"21628..24 mM H2O2- 105 minutes"	"21634..24 mM H2O2- 155 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21641..24 mM H2O2- 112 minutes"	"21643..24 mM H2O2- 140 minutes"	"21648..24 mM H2O2- 030 minutes"	"21650..24 mM H2O2- 040 minutes"	"21659..24 mM H2O2- 077 minutes"	"21663..24 mM H2O2- 063 minutes/redo"	"21665..24 mM H2O2- 020 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"32253.DBY8778_heat_shock2_15min"	"33779.delYPL230w_stationary_phase_5hours"	"40946.H2O2_II_7_min"	"40961.MD_II_0_min"	"40980.H2O2_II_21_min"
"YDR083W"	0.579	-2.781	-3.602	-1.574	-2.743	-3.018	-3.242	-1.956	-1.232	-3.47	-1.65	-1.928	-2.092	-2.922	-2.497	-1.703	-2.697	-1.847	-2.436	-0.215	-3.386	-1.216	-0.184	-0.805	-0.927	-0.367	-0.525	-0.438	-1.077	-1.695	-0.386	-0.627	-2.463	-3.178	-2.713	-0.331	-1.162	0.085
"YDR101C"	0.793	-3.513	-3.404	-1.887	-3.0	-3.74	-3.659	-2.122	-1.61	-4.306	-3.082	-2.948	-4.145	-4.667	-2.997	-2.448	-3.385	-2.743	-2.52	-0.084	-3.253	-1.152	-0.483	-2.516	-1.645	-1.323	-1.214	-0.553	-0.609	-2.27	-0.765	0.349	-3.442	-3.244	-3.048	-1.162	-0.624	-0.865
"YDR398W"	0.879	-5.035	-4.358	NaN	-3.115	-4.082	-3.388	-2.038	-1.274	-4.143	-2.114	-1.937	-2.774	NaN	-2.012	-2.064	-3.069	-2.517	-2.112	-0.336	-4.269	-0.881	-0.844	-2.259	-2.606	-1.081	-1.349	-0.413	-0.621	-1.701	-0.312	-0.579	-2.928	-4.76	-3.061	0.028	0.768	-0.655
"YDR496C"	0.5315	-5.251	-3.9025	-2.571	-3.671	-4.953	-4.7405	-1.9625	-1.787	-3.1645	-2.3365	-2.018	-3.591	-4.393	-2.7355	-1.6845	-4.5275	-2.8145	-3.995	-0.5135	-5.1875	-1.33	-0.3345	-1.7845	-1.647	-0.8735	-0.966	-0.6615	-1.4105	-1.931	-1.4185	-0.816	-3.257	-3.216	-1.917	-0.491	-1.5745	-0.7815
"YER055C"	0.672	-1.541	-1.774	-0.739	-1.401	-1.544	-1.509	-0.122	-0.453	-3.198	-2.662	-1.65	-2.242	-5.075	0.399	-2.083	-0.301	-1.722	-0.64	-0.556	-1.776	-0.908	-0.397	-1.721	-1.629	-0.942	-0.957	-0.204	-0.783	-2.075	-0.35	0.065	-1.889	-0.943	-2.981	-0.186	-0.431	-0.874
"YER102W"	1.275	-1.613	-2.227	-1.599	-1.876	-2.922	-3.415	-1.067	-1.364	-3.932	-3.177	-2.578	-3.64	-6.434	-2.571	-1.229	-3.101	-3.625	-4.286	-0.743	-2.712	-0.907	0.566	-2.222	-1.197	0.044	0.112	0.494	0.508	-2.373	-1.33	0.396	-0.678	-2.448	-2.385	-0.066	-0.673	-0.057
"YER127W"	1.011	-2.809	-2.38	-1.464	-1.952	-3.051	-2.807	-1.02	-0.689	-3.292	-1.821	-2.155	-2.611	-4.439	-2.177	-2.422	-2.835	-2.486	-1.589	-0.1235	-3.328	-0.9	-0.069	-0.9545	-0.9915	-0.5355	-0.486	-0.0475	-0.8925	-1.0395	-0.024	-0.4715	-1.463	-4.459	-3.601	0.1225	0.4715	0.7035
"YGL016W"	0.1145	-1.1	-0.88	-0.661	-0.909	-1.212	-1.15	-1.641	0.051	-1.929	-0.675	-1.127	-3.034	-4.265	-0.35	-1.579	-1.563	-1.245	-1.719	-0.079	-1.238	-0.299	-0.018	-1.38	-0.831	-0.582	-0.203	-0.188	0.523	-0.938	-0.373	-0.216	-1.812	-0.794	-1.333	0.033	-0.267	-0.157
"YGL076C"	0.639	-1.995	-2.09	-1.909	-1.99	-2.744	-3.119	-1.714	-1.311	-3.969	-2.73	-2.401	-3.976	-5.667	-2.396	-1.913	-3.32	-2.996	-4.142	-0.303	-2.656	-0.487	0.5965	-2.2815	-1.4805	-0.6005	-0.2445	0.1515	-0.572	-2.0235	-1.407	0.5955	-1.3025	-2.625	-3.347	0.1765	0.5125	0.5935
"YGL099W"	0.603	-2.253	-2.456	-1.048	-2.097	-3.122	-3.311	-2.042	-1.333	-3.43	-2.123	-2.335	-2.895	-5.764	-2.268	-2.062	-2.454	-1.59	-2.755	-0.085	-3.381	-0.843	-0.093	-1.542	-1.151	-0.618	-0.576	0.187	-0.947	-1.409	-0.379	0.388	-1.481	-1.974	-3.506	-0.391	0.309	-0.762
"YGL123W"	1.172	-1.71	-2.557	-1.674	-2.339	-3.47	-4.378	-0.641	-1.165	-3.781	-3.726	-3.62	-4.004	-5.982	-3.013	-1.642	-4.112	-3.654	-3.511	-0.651	-3.308	-1.054	0.435	-2.59	-1.527	-0.711	-0.453	0.065	-0.501	-1.469	-1.545	0.937	-0.894	-2.292	-4.123	-0.453	-0.137	-0.424
"YGR085C"	1.039	-2.061	-1.952	-1.491	-2.023	-2.966	-3.664	-0.951	0.379	-3.713	-2.511	-2.146	-3.406	-6.059	-2.19	-1.594	-3.071	-3.255	-4.359	-0.544	-2.908	-0.732	0.595	-2.277	-1.731	-0.21	-0.218	0.814	0.761	-2.39	-1.059	0.914	-1.047	-2.338	-3.45	0.42	-0.656	0.39
"YGR148C"	0.713	-1.979	-2.184	-1.776	-1.777	-2.942	-3.2425	-1.4085	-1.347	-3.45	-3.464	-2.615	-3.884	-5.757	-2.075	-1.141	-3.141	-3.011	-5.063	-0.4865	-2.591	-1.115	1.1055	-2.094	-1.6535	-0.122	0.416	0.651	0.4675	-2.135	-1.1095	0.7815	-0.974	-1.752	-3.103	-0.1145	-0.7005	0.107
"YHR144C"	0.517	-1.6225	-1.253	-0.973	-1.664	-1.475	-1.4285	-0.9415	0.22	-1.986	-1.312	-1.813	-3.144	-2.344	-0.694	-1.823	-1.554	-1.614	-1.069	-0.03	-1.917	-0.536	-0.086	-0.62	-0.534	-0.24	-0.239	-0.238	-0.653	-0.798	-0.007	0.408	-1.413	-2.195	-2.884	0.123	-0.36	0.151
"YHR148W"	0.81	-3.0225	-2.0375	-1.108	-2.8705	-3.2345	-2.692	-1.155	0.03	-3.086	-1.665	-1.63	-2.321	-3.377	-1.802	-1.649	-1.557	-1.816	-1.58	-0.128	-3.95	-0.563	-0.089	-1.178	-0.577	-0.156	-0.245	-0.161	-0.417	-0.776	-0.03	0.402	-1.694	-2.565	-2.893	-0.6	-0.323	0.13
"YHR203C"	0.701	-1.486	-2.0645	-1.586	-1.915	-2.8785	-3.5975	-1.3645	-1.34	-3.926	-3.148	-2.895	-3.782	-5.944	-2.51	-1.998	-3.917	-3.774	-4.669	-0.635	-2.809	-0.918	0.736	-2.766	-2.208	-0.91	-0.246	-0.18	-0.162	-2.562	-1.44	0.522	-1.102	-2.942	-3.717	0.175	-0.338	-0.697
"YJL177W"	0.771	-2.0	-2.4035	-1.5595	-2.211	-3.2765	-3.7865	-1.46	-1.134	-4.132	-3.2	-2.747	-3.255	-5.49	-2.648	-1.729	-3.409	-3.772	-5.074	-0.442	-3.293	-0.452	0.741	-2.208	-1.404	-0.282	0.18	0.693	-0.786	-1.898	-1.87	0.742	-1.198	-2.626	-4.54	0.632	-0.768	-0.677
"YJR070C"	0.844	-4.6905	-4.824	-1.8185	-3.895	-4.828	-4.332	-2.3445	-1.881	-5.317	-3.514	-3.68	-3.511	-7.226	-3.689	-1.83	-3.471	-2.777	-2.102	-0.206	-4.7655	-0.696	-0.038	-3.067	-2.594	-1.515	1.111	1.448	-1.379	-2.527	0.776	1.203	-2.891	-3.81	-3.754	-0.368	-0.106	-0.015
"YKL082C"	0.471	-2.8345	-2.5635	-1.3105	-2.396	-3.0765	-3.3375	-1.5835	-1.123	-3.87	-1.774	-1.13	-0.699	-2.45	-1.708	-1.615	-1.61	-0.366	-3.391	-0.429	-2.7635	-1.085	0.497	-0.723	-0.297	-0.499	-0.276	0.533	-0.051	-1.556	-0.77	0.037	-2.326	-2.438	-3.215	0.376	0.402	0.483
"YLL044W"	0.831	-1.737	-2.526	-1.821	-2.196	-3.582	-4.162	-1.477	-1.909	-4.871	-3.158	-2.963	-3.79	-6.48	-2.802	-1.665	-3.313	-3.031	-3.872	-0.573	-3.517	-0.97	0.388	-2.952	-2.16	-0.748	-0.384	-0.265	-1.008	-2.673	-1.745	1.002	-1.29	-2.328	-3.806	-0.402	-0.345	-0.011
"YLL045C"	1.171	-1.746	-2.105	-1.781	-2.319	-3.116	-3.722	-1.434	-1.667	-3.851	-2.506	-2.221	-3.857	-6.618	-2.711	-1.489	-3.169	-3.335	-3.66	-0.82	-3.545	-0.493	0.616	-2.707	-1.621	-0.333	-0.253	0.419	-0.202	-2.21	-1.493	1.124	-0.956	-2.751	-3.788	-0.325	0.884	0.001
"YLR175W"	0.563	-4.176	-3.679	-2.134	-3.07	-4.552	-4.902	-2.109	-1.436	-5.607	-2.921	-3.068	-3.401	-5.468	-3.43	-2.275	-3.996	-3.068	-4.678	-0.434	-4.431	-0.922	0.105	-1.659	-1.286	-0.835	-0.501	0.116	0.096	-1.86	-0.679	0.843	-2.474	-4.177	-4.338	-0.16	-0.104	-0.786
"YLR388W"	0.751	-1.974	-2.382	-1.424	-1.861	-2.879	-3.074	-1.48	-0.835	-3.12	-2.264	-1.738	-3.596	-5.506	-2.593	-1.651	-3.204	-3.058	-4.025	-0.27	-2.761	-0.993	0.636	-1.984	-1.504	-0.275	0.043	-0.146	-0.861	-2.337	-1.083	0.645	-1.621	-2.178	-3.762	0.245	-0.345	-0.157
"YML063W"	0.87	-2.023	-1.871	-1.642	-2.086	-3.191	-3.74	-1.251	-1.388	-4.408	-3.027	-2.904	-4.048	-13.273	-2.243	-1.348	-3.657	-3.146	-5.57	-0.561	-3.158	-0.709	0.583	-2.736	-1.942	-0.346	0.013	0.323	0.591	-1.787	-1.135	0.429	-1.26	-2.792	-4.008	0.222	-0.058	-1.099
"YMR242C"	0.718	-2.278	-2.539	-1.544	-1.639	-3.309	-3.708	-1.335	-1.34	-4.702	-3.819	-3.032	-3.971	-6.226	-2.432	-2.004	-3.832	-4.338	-4.84	-0.41	-3.054	-0.71	0.571	-2.358	-1.606	-0.535	-0.008	0.165	-0.147	-2.31	-1.946	0.577	-1.544	-2.43	-4.607	0.384	0.269	-0.105
"YNL062C"	0.458	-3.459	-2.934	-1.18	-2.143	-3.093	-2.844	-1.304	-1.31	-4.157	-2.295	-2.835	-3.07	-6.263	-2.538	-1.298	-2.304	-2.254	-2.028	0.233	-2.71	-0.662	-0.596	-1.461	-0.86	-0.379	0.142	-0.354	-0.408	-1.835	-0.371	-0.351	-1.715	-4.112	-2.838	0.119	-0.951	-1.228
"YNL114C"	0.701	-2.893	-2.686	-1.404	-2.468	-3.33	-3.663	-1.037	-1.211	-5.245	-2.941	-2.571	-3.791	-6.572	-2.048	-2.138	-2.827	-2.978	-3.032	0.028	-2.799	-0.674	-0.14	-1.86	-1.137	-0.405	-0.467	0.105	-0.672	-1.974	-0.296	0.121	-2.057	-2.336	-4.14	-1.156	-0.207	-0.653
"YNL313C"	0.861	-3.472	-3.026	-1.419	-2.399	-2.935	-3.02	-1.945	-1.132	-4.999	-2.073	-2.126	-3.628	-5.714	-2.852	-2.432	-3.129	-2.948	-2.839	0.3	-3.009	-0.541	-0.675	-1.384	-0.969	-0.961	-0.298	-0.72	0.379	-1.084	-1.227	-0.235	-1.733	-2.824	-3.85	0.183	-0.276	-1.45
"YOL097C"	0.694	-0.908	-1.899	-1.376	-1.737	-1.732	-1.845	-1.146	-0.861	-4.26	-0.7835	-2.768	-0.491	-6.314	0.233	-1.722	-2.427	-2.464	-3.246	-0.398	-1.456	-1.166	0.188	-1.916	-1.31	-0.766	-0.5	-0.223	-0.476	-1.734	-0.453	0.497	-1.26	-1.903	-3.063	-0.442	0.323	-0.827
"YOR052C"	-0.114	2.928	3.124	1.507	2.471	3.237	3.288	1.437	1.327	3.063	2.043	2.549	0.322	1.976	2.315	0.087	1.688	2.1115	2.054	0.059	3.265	1.441	0.696	1.112	1.571	1.292	0.608	0.568	1.469	1.239	0.052	0.444	2.189	3.6	2.334	0.66	0.616	0.103
"YOR206W"	0.784	-5.087	-3.702	-2.15	-3.585	-5.083	-4.513	-2.192	-1.8605	-5.827	-2.0395	-2.174	-3.681	-6.4785	-2.919	-1.049	-3.1625	-1.9445	-3.888	-0.157	-5.066	-0.785	0.011	-1.214	-0.698	-0.909	-0.822	-0.101	-0.265	-2.066	-0.566	-0.545	-2.705	-3.839	-4.817	-0.493	0.059	-0.429
"YOR243C"	0.267	-3.594	-3.234	-2.239	-2.436	-3.633	-3.982	-1.884	-1.5515	-3.8055	-2.128	-2.2855	-3.3625	-4.3935	-1.9265	-2.119	-2.588	-2.1815	-3.635	0.112	-4.099	-1.168	-0.108	-1.539	-1.225	-0.901	-0.916	0.489	-1.068	-2.114	-1.062	0.178	-2.407	-2.845	-2.825	-0.496	-0.66	-0.917
"YPL079W"	0.283	-2.261	-2.597	-1.346	-2.277	-3.115	-3.828	-1.337	-1.101	-4.616	-3.787	-2.6495	-3.892	-6.4765	-2.527	-1.7255	-3.085	-3.172	-4.735	-0.173	-3.135	-0.694	0.136	-1.336	-1.307	-0.524	-0.199	-0.086	-0.981	-1.665	-1.074	0.378	-1.769	-1.936	-3.573	0.6	0.803	-0.614
"YPL142C"	0.243	-1.892	-1.932	-1.577	-2.625	-2.913	-3.225	-0.99	-0.6385	-3.1395	-2.7515	-1.891	-3.5865	-5.604	-2.427	-2.088	-2.825	-3.3035	-4.155	-0.355	-3.034	-1.243	0.403	-2.606	-1.971	-0.582	-0.194	-0.733	-0.608	-2.604	-1.574	0.692	-1.557	-2.333	-3.677	-0.168	0.309	0.008
"YPL226W"	0.716	-3.457	-3.002	-1.42	-2.4945	-3.229	-4.183	-1.755	-1.164	-4.86566666666667	-2.57633333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-2.472	-2.84333333333333	-3.37333333333333	-2.503	-4.0095	-0.3285	-3.215	-0.903	-0.347	-2.447	-1.8235	-1.576	-1.2415	-0.4105	-1.004	-2.0235	-1.409	0.056	-2.208	-3.076	-3.811	-0.7325	-0.513	-2.0185
"YPL230W"	-0.903	4.974	4.618	2.145	3.373	4.328	4.009	1.896	0.9355	5.7835	4.254	5.401	6.6385	4.1485	3.278	3.777	4.669	3.9765	4.417	0.419	4.608	1.518	0.377	2.536	1.946	1.096	0.719	0.218	0.298	2.385	0.24	-0.264	4.222	2.809	-1.432	0.357	0.308	0.757
"YPL263C"	0.263	-1.7625	-1.571	-0.506	-1.659	-2.1515	-1.5755	-1.7495	-0.946	-2.61633333333333	-1.673	-2.35933333333333	-1.689	-4.9735	-2.01166666666667	-0.607666666666667	-2.09033333333333	-1.47333333333333	-1.7685	-0.154	-2.388	-1.265	0.127	-1.791	-1.085	-0.611	-0.225	-0.015	-0.345	-1.723	-0.332	-0.079	-1.722	-2.6785	-2.799	-0.613	0.09	-0.415
"YPR044C"	0.173	-1.3805	-1.9475	-1.751	-1.783	-2.4	-2.752	-1.209	-0.865	-3.163	-2.74733333333333	-2.388	-2.87	-4.76433333333333	-2.63266666666667	-1.62633333333333	-3.21966666666667	-2.78233333333333	-3.0915	-0.233	-2.5325	-1.029	0.713	-2.104	-1.856	-0.255	-0.3	-0.263	-0.77	-2.338	-1.163	0.285	-1.089	-1.457	-2.862	0.472	-0.426	-0.071
"YPR110C"	0.551	-3.178	-3.084	-1.217	-2.507	-3.52	-3.728	-1.314	-1.421	-5.7185	-3.2115	-3.133	-3.662	-6.318	-2.6255	-1.862	-3.01	-3.296	-3.88	-0.752	-3.168	-0.632	-0.012	-1.997	-1.273	-0.726	-0.579	-0.206	-0.625	-1.695	-1.377	0.52	-1.66	-3.436	-3.882	-0.571	-0.702	-0.604
"YPR187W"	0.359	-2.333	-1.649	-1.649	-1.59	-1.951	-2.183	-0.918	-0.6975	-2.5615	-1.5675	-1.4365	-3.609	-5.408	-1.533	-2.045	-2.283	-2.232	-2.563	-0.494	-2.036	-0.65	0.099	-1.041	-0.562	-0.066	-0.281	0.304	-0.327	-0.965	-0.174	0.318	-1.688	-2.158	-2.896	-0.115	-0.355	-0.323
