	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6824.Sporulation t0"	"6826.Sporulation t2hrs"	"6834.Sporulation t5hrs"	"6836.Sporulation t7hrs"	"6839.Sporulation t9hrs"	"6841.Sporulation t11hrs"	"6856.Sporulation t30min"	"7760.Na 45min"	"7761.Na 60min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"13493.Y10 mRNP vs. Poly"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"
"YER131W"	-0.663	-2.813	-2.3	-2.47	-3.664	-6.55	-4.139	-2.089	-2.2	-2.498	-2.105	-2.654	-3.304	-0.265	-0.256	-0.31	-0.808	-0.375	-0.431	-0.249	-1.891	-1.083	-2.302	-2.4735	0.895	-3.884	-3.237	-3.578	-4.068	-2.732	-0.01	0.273
"YGR085C"	-0.828	-3.713	-2.202	-2.146	-3.406	-6.059	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.29	0.23	0.719	1.205	0.757	1.031	-0.427	-2.111	-1.518	-2.035	-2.156	0.067	-4.004	-2.792	-3.45	-3.003	-2.048	-0.059	0.492
"YHR049W"	1.316	-2.308	-1.584	-1.62	-3.623	-4.702	-1.102	-0.826	-1.17	-1.96	-1.968	-2.952	-2.443	0.086	-0.121	-0.073	-0.179	-0.326	-0.145	0.066	1.147	0.939	0.829	-2.05	-0.202	-1.345	-1.88	-2.063	-0.982	-1.025	0.899	0.648
"YHR064C"	-0.851	-4.543	-1.668	-1.712	-3.329	-5.238	-2.977	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	-0.042	0.69	0.555	0.251	0.121	0.096	0.697	-1.73	-1.695	-1.209	-2.056	0.193	-2.793	-2.097	-2.415	-2.781	-1.789	0.749	0.733
"YHR068W"	-0.587	-3.316	-2.251	-2.166	-4.28	-6.532	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.011	0.392	0.131	0.202	0.582	0.544	0.728	-0.673	-0.498	-0.878	-2.29	0.411	-2.437	-2.467	-2.406	-2.362	-1.8	0.289	0.026
"YHR128W"	-0.959	-4.359	-3.111	-3.742	-4.967	-6.006	-2.2	-2.425	-3.051	-3.482	-3.191	-3.494	-3.516	0.067	0.581	0.142	-0.292	-0.202	-0.01	0.259	-1.948	-1.706	-2.009	-1.769	-0.599	-1.933	-2.393	-2.552	-2.571	-1.612	0.112	-0.018
"YIL052C"	-0.885	-3.856	-2.61	-3.178	-2.895	-6.278	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	-0.239	-0.387	0.055	0.744	0.658	0.614	-0.927	-1.273	-0.905	-1.223	-1.743	-0.562	-3.32	-2.562	-2.821	-2.677	-1.94	0.085	0.233
"YIL133C"	-1.838	-3.333	-2.331	-2.883	-2.693	-5.79	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	-0.165	-0.612	-0.161	-0.951	-1.282	-0.64	-1.188	-2.339	-1.436	-1.872	-2.13	0.371	-4.387	-3.183	-4.098	-3.154	-2.466	0.027	0.305
"YJR123W"	-1.147	-3.844	-3.375	-3.124	-4.381	-9.147	-4.282	-2.083	-2.391	-2.635	-2.639	-3.543	-4.006	-0.57	-0.293	-0.104	1.317	0.152	0.941	-0.055	-2.264	-1.907	-2.137	-2.153	-1.196	-4.305	-3.113	-3.711	-4.025	-2.566	0.083	0.465
"YKR026C"	-0.743	-3.144	-2.212	-1.843	-2.863	-3.755	-1.723	-1.296	-1.369	-1.003	-1.858	-2.363	-2.231	0.224	-0.15	0.097	0.339	0.317	0.153	0.148	-1.155	-0.936	-1.146	-0.604	0.523	-2.323	-1.851	-1.972	-2.064	-1.268	-0.254	-0.308
"YLL045C"	-1.547	-3.851	-2.189	-2.221	-3.857	-6.618	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.258	0.76	1.32	1.21	1.216	1.298	0.461	-2.243	-1.5	-1.585	-2.165	0.743	-3.449	-2.833	-3.788	-3.87	-2.635	0.255	0.217
"YLR029C"	-1.439	-3.174	-2.572	-3.108	-3.615	-6.877	-3.178	-1.893	-2.201	-2.595	-2.242	-2.378	-2.987	0.37	0.702	0.377	0.623	0.377	0.285	0.877	-1.304	-1.489	-1.587	-2.49	0.504	-3.518	-2.733	-3.637	-2.766	-2.153	-0.168	0.1
"YLR150W"	-0.833	-2.804	-1.165	-1.005	-2.579	-6.397	-3.403	-1.162	-1.388	-1.386	-1.785	-1.84	-2.771	-0.31	0.966	0.575	0.165	0.771	1.025	1.025	-1.498	-0.743	-1.184	-1.646	-0.178	-3.064	-2.211	-2.235	-2.285	-1.844	0.302	0.288
"YLR264W"	-0.438	-3.105	-1.862	-1.693	-2.597	-5.152	-3.525	-2.236	-2.241	-2.158	-1.649	-2.334	-2.391	0.354	-0.164	-0.424	-1.672	-0.361	-0.164	0.258	-1.665	-1.642	-1.913	-1.833	-0.355	-3.507	-2.202	-3.145	-2.797	-2.013	-0.173	-0.024
"YLR388W"	-0.766	-3.12	-1.926	-1.738	-3.596	-5.506	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.204	0.299	0.241	0.05	-0.183	-0.337	0.623	-1.714	-1.218	-2.12	-2.034	-0.109	-3.674	-2.798	-3.762	-3.521	-2.816	-0.118	0.035
"YMR130W"	-0.552	-2.063	-1.924	-1.215	-1.972	-3.845	-1.858	-1.422	-1.36	-1.47	-2.339	-2.247	-2.295	0.028	-0.657	-0.691	-0.527	-0.415	-0.039	-0.123	-1.08	-1.055	-1.195	-1.328	-0.222	-2.163	-2.01	-1.106	-1.807	-1.402	-0.297	-0.248
"YOL039W"	-0.737	-0.9415	-1.8	-2.363	-2.068	-7.971	-3.972	-2.697	-2.946	-3.123	-2.476	-3.262	-3.256	-0.256	0.182	0.367	0.449	0.521	1.087	0.804	-0.653	-0.569	-1.434	-2.072	0.278	-3.167	-2.856	-3.392	-3.542	-3.052	0.444	0.137
"YOR254C"	-1.01	-2.6515	-1.406	-1.5485	-2.192	-6.426	-2.631	-1.666	-1.904	-1.86	-2.354	-2.689	-2.309	-0.192	0.232	-0.082	-0.278	-0.158	-0.505	0.264	-1.002	-0.754	-0.575	-1.174	0.269	-2.166	-2.254	-2.342	-2.212	-1.537	-0.068	-0.201
"YPL142C"	-0.871	-3.1395	-2.2525	-1.891	-3.5865	-5.604	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.271	0.104	0.476	0.6	0.778	0.373	-0.878	-1.852	-1.366	-2.009	-2.011	-0.0335	-3.763	-3.021	-3.677	-3.278	-2.971	-0.021	-0.032
"YPL160W"	-1.066	-3.26033333333333	-1.608	-2.13233333333333	-3.08233333333333	-5.284	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	0.202	0.96	1.032	0.857	0.168	0.105	1.009	-1.523	-1.1165	-0.496	-1.8045	-0.0696666666666667	-3.477	-2.958	-3.512	-2.719	-2.2345	-0.1635	-0.1365
"YPR144C"	-1.21	-3.855	-1.9295	-1.9405	-3.129	-4.2065	-2.256	-1.327	-1.4	-1.22	-1.687	-2.51	-2.411	-0.036	0.578	0.601	0.275	-0.106	-0.011	0.227	-1.376	-0.956	-1.474	-1.298	0.1935	-2.991	-2.5	-3.937	-2.277	-1.752	0.239	0.056
