	"406.heat shock 37 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"651.alpha factor release sample019"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"813.MHY1 (dun1) + heat 20 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"8204.steady state 29 dec C"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12471.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 mutant vector"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"
"YGL120C"	-0.215	1.075	0.073	1.116	0.987	-0.802	-0.561	-4.557	-3.087	-2.692	-4.088	-5.111	-3.171	-3.229	0.244	-3.459	-2.023	-2.178	-2.866	-3.888	-4.137	-0.116	0.206	0.186	-0.349	0.0	-0.218	-0.06	0.226	-0.056	-0.06	0.353	-2.598	-1.374	-2.891	-3.416	-3.546	-0.554	-2.329	-3.124	-2.525	-1.262
"YGL147C"	0.598	1.427	0.235	1.186	1.241	-1.941	-1.071	-3.892	-3.111	-3.32	-3.921	-7.507	-3.0	-3.753	0.278	-4.384	-2.459	-2.874	-3.018	-2.755	-3.483	0.343	0.465	0.393	-0.229	0.326	0.431	0.22	0.465	-0.43	0.351	1.455	-1.9575	-1.181	-3.1805	-2.6025	-3.1585	-3.3875	-2.3945	-3.135	-2.5855	-1.834
"YGR285C"	0.506	1.014	0.243	0.764	0.578	-1.664	-1.365	-3.959	-2.444	-2.267	-4.078	-6.1	-1.648	-1.332	-0.065	-3.556	-2.259	-2.557	-3.452	-4.07	-4.065	0.256	0.052	-0.074	-0.071	0.15	-0.0025	-0.248	0.377	-0.524	0.396	0.342	-1.619	-1.372	-2.948	-2.607	-2.323	-2.554	-1.851	-2.062	-0.763	-0.679
"YHL011C"	-0.1835	1.122	0.005	1.023	0.785	-1.155	-0.821	-2.604	-1.684	-1.225	-2.023	-3.592	-2.503	-2.019	0.22	-1.801	-0.989	-1.128	-1.25	-1.552	-1.5	0.116	0.144	0.142	0.191	-0.008	-0.339	0.292	0.436	-0.119	0.032	0.437	-1.235	-0.533	-2.033	-1.74	-2.086	-0.98	-1.253	-1.311	-0.971	-1.39
"YHR010W"	0.4455	1.491	-0.062	1.068	0.826	-1.581	-0.428	-3.693	-3.281	-3.149	-3.508	-4.514	-3.343	-3.288	-0.021	-4.159	-2.399	-2.244	-1.71	-2.032	-2.684	0.271	0.617	0.417	0.024	-0.034	0.2475	0.092	0.233	-0.632	0.267	0.91	-1.806	-1.087	-3.363	-2.267	-3.56	-2.961	-1.715	-2.978	-1.208	-1.568
"YHR031C"	0.18	0.331	-0.171	0.053	0.013	-0.248	-0.132	-0.464	-0.383	0.493	-2.163	-3.341	-1.323	-0.686	0.154	-0.754	-0.014	-0.414	-1.508	-1.807	-1.254	-0.4	-0.34	-0.602	0.08	0.496	-0.1485	0.236	-0.186	0.696	-0.155	0.224	-0.545	-0.337	-0.179	-0.474	0.595	-0.079	-0.93	-0.118	-1.637	-0.489
"YHR068W"	-0.4605	0.968	0.123	0.941	0.818	-0.95	-0.554	-3.316	-2.566	-2.252	-4.28	-6.532	-2.873	-2.52	0.349	-2.945	-1.652	-1.927	-2.724	-3.669	-3.425	0.09	0.18	0.348	0.118	0.241	-0.0565	0.011	0.036	0.019	0.721	0.769	-0.805	-2.194	-2.437	-2.467	-2.406	-2.362	-1.8	-1.861	-0.522	-1.082
"YHR156C"	-1.0285	-0.263	0.044	0.036	0.248	0.045	0.175	0.921	0.756	1.295	1.769	1.083	0.497	0.986	-0.175	0.21	0.041	0.485	0.595	0.759	0.864	-0.265	-0.475	-0.269	0.183	0.001	0.0585	-0.177	0.0	0.571	-0.623	-0.493	-0.933	-1.129	0.649	1.159	0.185	0.601	0.296	0.349	-0.566	-0.891
"YHR203C"	0.5205	1.231	0.191	1.011	0.884	-1.621	-0.754	-3.926	-2.827	-3.148	-3.782	-5.944	-3.917	-3.774	0.088	-4.669	-2.276	-2.437	-2.575	-3.081	-3.941	0.219	0.39	0.45	0.242	0.264	0.204	0.058	0.61	-0.635	0.467	1.151	-1.743	-0.873	-4.467	-3.308	-3.717	-3.449	-2.785	-3.424	-2.517	-2.029
"YIL052C"	-0.18	1.095	-0.231	0.998	1.136	-2.029	-0.646	-3.856	-3.261	-2.954	-2.895	-6.278	-2.82	-2.793	0.135	-4.174	-2.279	-2.271	-2.162	-2.5	-3.158	0.265	0.491	0.076	0.257	0.24	0.236	-0.239	0.094	-0.369	-0.035	1.168	-1.653	-1.465	-3.32	-2.562	-2.821	-2.677	-1.94	-3.315	-2.059	-2.14
"YIR026C"	0.0045	0.96	0.292	1.1	0.874	-0.647	-0.508	-4.983	-2.403	-2.432	-4.02	-4.724	-2.112	-2.284	0.08	-0.988	-1.175	-1.886	-1.519	-2.47	-1.168	0.007	-0.138	0.209	-0.299	0.057	-0.2175	-0.242	0.266	-0.105	0.248	0.28	-2.488	-1.143	-1.822	-1.135	-2.578	-1.739	-1.698	-2.482	-0.869	-1.986
"YJL147C"	-0.0075	0.241	-0.048	0.102	0.113	0.031	0.049	0.535	0.74	0.317	-3.132	NaN	0.238	0.0	-0.081	0.171	0.191	0.292	-0.741	-0.576	-0.475	-0.023	-0.254	0.039	-0.307	-0.01	-0.186	-0.113	-0.23	0.035	-0.145	0.039	0.965	0.54	-0.654	-0.222	-0.598	-0.523	-0.172	0.156	0.376	-0.638
"YJL176C"	0.15	0.442	0.172	0.006	0.009	-0.265	0.023	0.218	-0.134	-0.065	-1.496	-3.318	-0.275	0.334	0.14	-0.312	-0.228	-0.382	-1.533	-1.728	-1.645	0.049	0.121	-0.209	-0.249	0.346	0.0585	-0.347	-0.036	-0.125	-0.285	-0.023	-0.445	-1.424	-0.293	-1.38	-0.204	-0.634	-0.621	-0.238	0.82	-0.129
"YJL188C"	-0.4035	1.008	-0.106	1.159	0.709	-1.392	-0.874	-2.525	-2.39	-2.043	-2.786	-4.633	-2.24	-2.745	0.143	-3.453	-1.897	-1.885	-2.169	-2.54	-2.776	0.223	0.088	0.447	-0.289	0.017	0.2065	0.298	0.566	-0.302	-0.156	0.8	-1.572	-1.727	-2.879	-1.947	-2.777	-2.447	-2.254	-2.01	-1.603	-1.778
"YJL190C"	-0.1905	1.36	-0.144	1.453	1.126	-2.272	-1.094	-3.794	-3.553	-3.267	-3.585	-6.079	-3.969	-3.744	0.176	-4.469	-2.547	-3.105	-2.941	-3.365	-3.524	0.252	0.177	-0.081	0.362	0.048	0.2805	0.1	0.708	-0.484	0.144	1.328	-2.967	-2.893	-4.772	-3.912	-4.874	-4.273	-3.311	-3.497	-3.568	-2.86
"YJR060W"	-0.304	-0.228	-0.044	-0.16	0.019	-0.248	-0.08	-0.768	-0.147	0.57	-0.891	-3.647	0.051	0.546	-0.189	-0.958	-0.142	-0.177	-0.411	-0.826	-0.695	-0.078	0.178	0.038	0.366	-0.187	0.111	-0.118	-0.17	-0.142	-0.107	-0.124	1.175	-0.454	-0.946	-0.436	-1.303	-0.617	-0.383	-0.227	0.379	-0.019
"YJR123W"	0.5805	1.3	0.23	1.246	1.081	-1.807	-0.576	-3.844	-3.276	-3.279	-4.381	-9.147	-3.809	-3.529	0.398	-4.282	-2.083	-2.391	-2.639	-3.543	-4.006	0.248	0.165	0.373	0.058	0.56	0.301	-0.57	0.357	-0.4	0.526	1.079	-1.549	-1.171	-4.305	-3.113	-3.711	-4.025	-2.566	-3.587	-2.549	-3.029
"YJR145C"	0.5215	1.17	0.239	1.341	0.963	-1.542	-0.561	-4.507	-3.488	-3.177	-3.54	-6.528	-3.551	-3.547	0.524	-4.857	-1.988	-2.396	-2.519	-3.105	-3.178	0.228	0.134	0.344	0.111	0.381	0.362	0.112	0.291	-0.45	0.515	1.168	-1.105	-0.745	-4.335	-3.373	-4.108	-3.771	-2.74	-2.94	-2.369	-2.894
"YKR055W"	0.579	0.25	-0.304	0.333	0.082	0.392	0.516	1.993	1.095	1.178	1.122	-1.303	0.414	0.435	-0.047	1.513	0.547	0.506	0.298	0.209	-0.157	-0.245	0.167	-0.22	0.019	0.144	-0.29	0.385	0.225	0.077	0.06	-0.001	1.465	0.92	1.583	1.424	1.082	0.69	0.752	1.645	0.539	0.757
"YLL035W"	0.155	0.707	-0.171	0.634	0.55	0.023	-0.364	-3.565	-2.294	-1.677	-2.821	-3.138	-1.926	-1.295	-0.028	-2.024	-1.466	-1.355	-1.67	-2.017	-1.979	0.129	0.162	0.137	-0.143	-0.092	-0.308	-0.046	-0.046	0.151	-0.225	0.303	-2.393	-1.279	-2.055	-1.439	-3.158	-1.751	-1.604	-2.228	-0.468	-0.982
"YLL044W"	-0.341	1.121	-0.22	1.115	1.006	-2.271	-1.194	-4.871	-3.525	-3.158	-3.79	-6.48	-3.313	-3.031	0.207	-3.872	-1.944	-2.654	-2.724	-3.494	-3.967	0.04	0.327	0.229	0.001	-0.086	0.136	-0.024	0.294	-0.573	0.344	1.653	-2.423	-1.296	-3.189	-2.774	-3.806	-2.77	-2.196	-2.935	-3.485	-2.42
"YLL045C"	0.036	1.394	0.093	1.348	1.206	-1.975	-1.088	-3.851	-3.176	-2.506	-3.857	-6.618	-3.169	-3.335	0.265	-3.66	-2.096	-2.604	-2.943	-3.021	-3.731	0.209	0.243	-0.047	-0.06	0.223	-0.056	0.258	0.908	-0.82	0.565	1.511	-2.333	-1.823	-3.449	-2.833	-3.788	-3.87	-2.635	-2.362	-2.324	-2.416
"YLR029C"	0.378	1.094	0.111	0.903	0.831	-1.74	-0.857	-3.174	-2.641	-3.465	-3.615	-6.877	-2.777	-2.809	0.376	-3.178	-1.893	-2.201	-2.242	-2.378	-2.987	0.219	0.511	0.347	0.162	-0.158	0.467	0.37	0.202	-0.268	0.382	1.396	-2.254	-1.596	-3.518	-2.733	-3.637	-2.766	-2.153	-2.685	-2.498	-2.432
"YLR048W"	0.759	1.193	0.04	1.041	0.762	-1.93	-0.901	-4.075	-2.679	-2.64	-3.645	-3.72	-3.296	-3.55	0.28	-5.136	-2.08	-2.645	-2.294	-2.17	-3.634	0.091	0.394	0.307	0.31	0.258	0.123	-0.249	0.374	-0.772	0.399	0.742	-2.448	-1.515	-4.39	-3.403	-4.032	-3.798	-2.576	-3.432	-2.993	-2.984
"YLR060W"	0.419	0.836	0.189	0.614	0.566	-0.609	-0.643	-3.165	-2.617	-2.047	-4.941	-5.967	-2.093	-1.988	0.369	-2.773	-1.546	-2.397	-3.118	-3.713	-4.371	-0.01	-0.007	0.255	0.169	-0.212	0.076	0.144	0.303	-0.613	0.264	0.875	-3.103	-3.204	-2.734	-2.666	-2.64	-2.996	-2.646	-3.346	-2.239	-2.153
"YLR061W"	0.687	1.1	-0.041	1.127	0.696	-1.3	0.006	-4.925	-4.297	-4.115	-4.939	-6.591	-3.239	-3.818	0.289	-4.326	-2.164	-2.433	-3.309	-3.833	-3.91	0.01	0.518	0.144	0.195	0.078	0.465	0.087	0.131	-0.302	0.408	0.913	-1.78	-2.442	-2.468	-2.246	-4.004	-2.793	-2.94	-3.717	-2.372	-2.364
"YLR062C"	0.484	1.164	0.125	1.05	1.07	-2.004	-1.029	-4.53	-4.418	-3.352	-5.705	-6.896	-3.6	-3.985	0.213	-4.96	-2.666	-3.209	-4.299	-4.293	-5.234	0.082	0.245	0.031	0.409	0.023	0.278	-0.324	0.312	-0.637	0.274	1.178	-1.24	-1.929	-3.806	-3.723	-4.54	-4.001	-2.894	-3.419	-2.202	-2.878
"YLR083C"	0.276	0.768	0.353	0.765	0.758	-1.358	-0.905	-3.703	-2.067	-1.922	-3.767	-5.137	-2.718	-2.103	0.006	-3.208	-1.494	-2.031	-2.29	-3.88	-3.36	-0.167	0.278	0.223	-0.23	0.145	-0.098	0.128	-0.128	0.064	-0.51	0.136	-2.049	-1.715	-3.186	-2.942	-3.492	-2.869	-2.182	-2.82	-2.31	-1.899
"YLR086W"	0.035	-0.456	0.202	-0.248	-0.055	-0.467	-0.531	-0.985	-0.34	0.667	-1.43	-6.791	-0.378	0.04	-0.143	-1.143	-0.277	-0.057	-0.01	-0.717	-0.336	0.035	0.099	0.035	-0.079	0.687	-0.094	-0.184	0.105	0.358	-0.581	0.623	-0.723	-0.93	-1.767	-1.4	-1.264	-1.581	-0.619	-1.202	1.03	-0.236
"YLR186W"	-0.008	1.199	0.026	1.306	0.805	-0.5	-0.24	-4.787	-2.844	-2.506	-4.298	-5.516	-3.036	-2.821	-0.004	-2.372	-1.577	-2.069	-1.74	-2.678	-2.467	-0.29	0.103	-0.01	-0.216	0.05	0.161	0.054	0.064	-0.408	0.516	0.581	-1.897	-1.615	-3.381	-2.552	-4.173	-2.896	-1.936	-2.714	-2.44	-1.515
"YLR197W"	0.478	1.23	0.018	1.252	1.224	-2.358	-1.163	-5.817	-3.612	-3.173	-4.736	-5.242	-3.899	-3.238	0.348	-5.671	-2.611	-3.067	-4.423	-4.976	-5.033	0.069	0.494	0.467	-0.238	0.131	-0.125	-0.183	0.22	-0.423	0.302	0.533	-3.38	-3.077	-4.983	-3.17	-4.545	-3.045	-2.593	-2.321	-3.498	-2.613
"YLR249W"	1.207	1.359	0.178	1.219	0.978	-1.853	-0.896	-6.529	-4.864	-4.043	-4.146	-6.742	-3.879	-4.141	0.176	-4.679	-2.712	-3.131	-3.883	-4.549	-4.992	0.174	0.127	0.322	0.098	0.257	-1.1	-0.113	0.415	-0.194	0.169	0.504	-3.757	-1.513	-5.053	-5.102	-5.085	-4.9	-3.269	-3.19	-3.591	-3.456
"YLR264W"	0.513	0.631	0.157	0.922	0.819	-1.686	-0.933	-3.105	-2.523	-2.018	-2.597	-5.152	-2.945	-2.94	0.095	-3.525	-2.236	-2.241	-1.649	-2.334	-2.391	0.338	0.2	0.134	0.224	-0.175	0.246	0.354	0.61	-0.45	0.122	0.995	-2.445	-1.339	-3.507	-2.202	-3.145	-2.797	-2.013	-2.667	-2.376	-2.33
"YLR276C"	0.112	1.132	0.036	1.168	0.994	-1.492	-0.728	-4.467	-2.163	-1.657	-3.174	-5.399	-2.386	-2.199	-0.082	-3.49	-1.977	-1.889	-1.866	-3.17	-3.081	-0.097	0.185	0.12	-0.3	-0.088	-0.192	0.2	0.009	-0.073	0.084	0.241	-2.604	-1.514	-2.141	-1.833	-3.838	-1.145	-2.088	-2.066	-2.023	-2.195
"YLR355C"	0.077	1.174	0.131	1.252	0.973	-0.931	-0.104	NaN	-3.638	NaN	-5.125	-6.009	-3.526	-2.557	0.131	-2.647	-0.668	-1.288	-1.878	-1.989	-3.088	0.3895	0.425	0.175	-0.975	-0.336	0.392	0.057	0.588	-0.341	-0.293	1.367	-4.032	-2.243	-3.857	-2.137	-4.176	-2.151	-2.062	-2.866	-2.079	-2.477
"YLR399C"	-0.063	-0.3365	-0.433	-0.2765	-0.1785	-0.221	-0.4805	-0.609	-0.7215	-0.5725	-0.6555	-1.252	0.0855	0.183	-0.028	-0.9155	-0.219	0.206	-0.4295	-0.585	-0.791	-0.298	0.299	0.129	-0.3295	-0.3835	0.0075	0.265	0.16	0.054	0.159	0.453	-0.544	-0.815	-1.324	-1.235	-0.68	-0.745	-0.611	-0.059	0.553	-0.513
"YLR448W"	-0.478	1.062	-0.001	0.837	0.739	-1.88	0.357	-4.815	-3.882	-3.116	-3.552	-5.971	-3.425	-3.454	0.011	-4.891	-2.352	-2.521	-2.668	-3.192	-4.132	-0.047	0.394	0.044	-0.069	0.011	0.184	-0.209	0.341	-0.429	0.365	0.767	-0.922	-1.018	-4.85	-3.788	-4.791	-4.505	-3.161	-3.636	-2.261	-2.737
"YML063W"	0.601	1.401	0.083	1.17	1.219	-2.087	-0.83	-4.408	-3.73	-3.027	-4.048	-13.273	-3.657	-3.146	0.345	-5.57	-2.159	-2.658	-3.123	-3.364	-4.059	0.251	0.278	0.245	0.262	-0.367	0.129	0.003	0.418	-0.561	0.543	1.124	-2.312	-1.581	-4.819	-3.531	-4.008	-3.578	-2.829	-3.392	-2.072	-2.775
"YML093W"	0.105	1.211	-0.055	1.05	0.767	-1.353	-0.583	-4.947	-2.836	-1.941	-2.962	-5.889	-2.797	-2.437	-0.22	-3.309	-1.656	-1.961	-2.547	-2.745	-3.262	-0.227	0.162	0.04	-0.296	0.305	-0.226	-0.114	0.086	-0.633	0.258	-0.178	-3.186	-1.644	-2.999	-2.533	-4.548	-2.489	-2.192	-2.403	-2.841	-1.648
"YMR131C"	0.156	1.141	-0.057	0.906	0.972	-1.365	-0.589	-5.631	-3.641	-3.811	-5.052	-6.665	-3.547	-2.98	-0.227	-4.277	-2.776	-2.829	-4.236	-5.241	-4.266	-0.125	0.297	0.176	-0.049	-0.015	-0.17	-0.1	0.368	-0.405	0.014	0.873	-3.389	-2.153	-1.412	-2.944	-4.181	-2.68	-1.908	-2.616	-1.347	-1.893
"YMR217W"	0.69	1.251	0.042	1.158	1.301	-2.309	-1.623	-5.293	-3.056	-3.049	-4.735	-5.29	-3.48	-2.869	0.203	-4.287	-2.652	-3.341	-3.713	-4.205	-4.469	0.087	0.221	0.142	-0.163	0.291	-0.132	0.121	0.771	-0.631	0.387	1.162	-3.366	-3.165	-3.621	-2.927	-4.222	-3.421	-2.938	-3.323	-3.675	-3.678
"YMR229C"	0.2115	0.468	-0.0435	0.6585	0.4685	-1.7035	-0.2145	-6.1495	-3.5335	-3.765	-4.4055	-5.288	-2.914	-2.1435	-0.073	-4.826	-2.78	-2.897	-3.7195	-3.685	-3.93	-0.0255	0.112	0.179	-0.21	0.0125	-0.017	0.295	0.1685	-0.062	0.227	0.694	-2.946	-1.96	-3.4135	-2.548	-3.9575	-2.553	-2.0965	-1.7485	-1.8025	-1.956
"YMR242C"	0.758	1.262	0.146	1.333	1.294	-2.14	-0.635	-4.702	-3.631	-3.819	-3.971	-6.226	-3.832	-4.338	0.407	-4.84	-2.479	-2.59	-2.601	-3.133	-3.475	0.288	0.362	0.212	0.139	0.442	0.19	0.115	0.435	-0.41	0.309	1.359	-1.693	-1.653	-4.158	-3.141	-4.607	-3.588	-2.771	-3.856	-3.098	-2.941
"YNL047C"	0.254	0.319	-0.02	0.106	-0.291	0.082	0.028	-0.321	-0.043	0.077	-0.591	-3.02	-0.313	0.183	0.115	0.475	0.347	0.312	0.258	-0.283	-0.959	-0.216	0.076	-0.027	-0.017	-0.115	-0.006	-0.157	-0.086	0.048	-0.214	0.351	1.512	1.271	-0.938	-0.679	-0.821	-0.571	-0.135	-0.775	0.546	-0.451
"YNL111C"	0.336	0.647	0.068	0.541	0.506	0.31	-0.546	-3.314	-2.023	-1.821	-2.884	-4.012	-2.336	-2.275	-0.028	-2.076	-0.974	-1.478	-1.911	-1.834	-1.049	-0.196	-0.037	-0.264	-0.46	-0.129	-0.29	-0.33	0.119	0.197	0.012	0.386	-2.76	-1.769	-0.856	-1.815	-2.302	-1.807	-1.645	-1.878	-1.689	-1.417
"YNL119W"	0.413	1.189	0.012	1.033	0.844	-1.412	-0.907	-6.697	-3.692	-2.694	-5.354	-6.231	-3.359	-3.366	0.312	-3.55	-1.753	-1.955	-2.822	-2.843	-3.318	-0.011	0.189	0.153	-0.221	-0.324	0.044	-0.54	0.156	-0.376	0.559	0.931	-1.86	-1.362	-3.587	-2.801	-4.042	-2.748	-2.546	-2.406	-2.092	-2.566
"YNL123W"	0.224	0.639	0.171	0.343	0.377	-0.3	-0.274	NaN	-3.908	-2.249	-4.576	-4.562	-3.403	-2.304	0.108	-2.133	-1.742	-1.355	-2.896	-2.858	1.907	-0.051	-0.01	-0.118	-0.268	0.205	0.25	-0.075	-0.028	-0.045	-0.054	0.403	-1.51	-1.702	-0.984	-1.876	-2.083	-1.838	-1.059	-1.619	-0.959	-0.647
"YNL162W"	-0.791	1.123	0.083	1.003	1.055	-1.506	-0.56	-3.953	-3.395	-3.14	-2.858	-6.425	-2.86	-2.872	0.079	-3.999	-2.089	-2.0	-1.742	-2.487	-3.468	0.065	-0.276	-0.348	0.199	-0.03	0.3	-0.226	0.596	-0.368	0.4	0.694	-1.359	-1.402	-2.704	-2.701	-3.916	-3.323	-2.825	-3.105	-1.293	-1.942
"YNL209W"	0.751	1.383	0.1195	0.958	1.135	-1.822	-1.347	-3.795	-3.591	-3.12	-4.055	-5.803	-3.728	-2.985	0.228	-4.059	-2.262	-2.633	-3.596	-3.829	0.396	0.223	0.087	0.382	0.045	0.134	0.193	0.022	0.35	-0.528	0.271	0.585	-2.998	-1.162	-4.586	-3.709	-4.209	-4.158	-3.075	-2.368	-2.815	-3.586
