	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"8230.dtt 060 min"	"8247.steady state 36 dec C: y14n095"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"42055.U3Comp 05 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"	"42056.U3Comp 06 hr 05 min Uracil Batch vs Chemostat Comparison"	"42057.U3Comp 07 hr 15 min Uracil Batch vs Chemostat Comparison"	"42059.U3Comp 08 hr 08 min Uracil Batch vs Chemostat Comparison"
"YLR432W"	-1.608	-2.432	-3.062	-1.667	-2.58	-2.16	-2.424	-3.532	-5.65	-2.585	-1.934	-2.482	-3.034	0.62	-0.205	-3.251	-2.731	-1.744	-3.179	-2.252	-3.412	-2.927	-2.885	-0.225	0.137	-0.198	0.359
"YML008C"	-0.508	-0.824	-1.453	0.788	-2.795	-2.419	-1.034	-4.23	-4.829	-3.526	-3.358	-5.162	-3.504	0.136	-0.198	-1.563	-0.511	-0.218	-2.808	-2.562	-2.241	-2.487	-2.113	-0.158	-0.59	-0.688	-1.376
"YML022W"	-2.188	-2.749	-2.982	-1.39	-3.236	-1.772	-1.782	-3.146	-3.98	-2.802	-2.846	-3.092	-3.144	0.089	0.299	-2.765	-2.245	-1.763	-0.857	-1.066	-2.661	-1.545	-1.447	-0.236	0.236	-0.927	-0.497
"YML073C"	-2.106	-3.093	-3.742	-1.668	0.912	-3.01	-3.061	-3.862	-6.033	-4.919	-2.401	-2.624	-3.718	0.422	-0.332	-3.187	-2.475	-1.485	-3.737	-2.652	-3.765	-3.151	-2.415	-1.109	-0.195	-0.791	-0.711
"YMR242C"	-1.639	-3.309	-3.708	-1.779	-4.702	-3.631	-3.819	-3.971	-6.226	-4.84	-2.601	-3.133	-3.475	0.277	-0.193	-3.054	-2.43	-1.144	-3.141	-2.446	-4.607	-3.588	-2.771	-0.229	-0.549	0.181	-0.218
"YMR321C"	-1.737	-2.174	-2.078	-0.637	-2.201	-2.459	-2.58	-3.288	-3.811	-2.252	-2.409	-2.567	-2.424	0.148	0.113	-2.265	-0.894	-1.033	-1.521	-1.171	-2.994	-2.044	-1.506	0.29	-0.355	-1.287	-1.231
"YNL010W"	-1.097	-1.633	-1.606	-0.787	-1.718	-1.834	-1.245	-1.296	-4.52	-1.705	-2.483	-2.738	-3.396	0.422	0.224	-1.246	-1.233	-0.672	-0.677	-0.898	-0.991	-0.83	-0.608	-0.56	0.835	0.198	0.443
"YNL069C"	-1.954	-2.865	-3.347	-2.057	-3.663	-3.006	-2.506	-4.006	-4.824	-4.269	-2.107	-2.509	-3.665	0.415	-0.042	-2.91	-2.543	-1.261	-3.131	-2.286	-3.741	-3.469	-3.02	-0.649	-0.201	-0.423	-0.442
"YNL123W"	-0.355	-1.03	-1.42	-0.327	NaN	-3.908	-2.249	-4.576	-4.562	-2.133	-2.896	-2.858	1.907	0.288	-0.096	-1.547	-0.809	-0.647	-1.876	-0.163	-2.083	-1.838	-1.059	-0.12	-0.883	-1.113	-1.211
"YNL132W"	-3.658	-3.329	-4.954	-2.429	-5.826	-3.389	-2.815	-4.956	-6.392	-4.353	-3.396	-4.377	-4.049	-1.132	-0.293	-3.45	-4.311	-2.617	-2.948	-2.325	-3.989	-2.673	-2.3	-0.295	-1.006	-1.892	-1.026
"YNL162W"	-1.97	-3.17	-3.58	-1.235	-3.953	-3.395	-3.14	-2.858	-6.425	-3.999	-1.742	-2.487	-3.468	0.459	-0.039	-2.998	-2.02	-1.415	-2.701	-2.189	-3.916	-3.323	-2.825	-0.649	-0.271	-0.032	-0.475
"YOL040C"	-1.958	-3.012	-3.574	-2.764	-0.886	-3.313	-1.742	-3.032	-6.413	-3.938	-2.028	-2.837	-3.657	0.053	-0.251	-3.277	-2.391	-1.542	-3.555	-2.716	-3.746	-3.451	-2.823	-0.387	-0.49	-0.408	-0.874
"YOR260W"	-0.79	-1.147	-1.554	-0.397	-2.6835	-1.6535	-1.3015	-2.507	-4.639	-1.898	-2.257	-2.577	-3.081	0.483	0.2455	-1.421	-1.272	-1.156	-1.909	-1.298	-2.099	-1.944	-1.556	-0.473	-0.498	-0.608	-0.791
"YOR310C"	-3.309	-4.639	-3.004	-1.494	-6.006	-3.92	-3.4655	-4.7765	-7.1385	-5.777	-4.745	-5.099	-4.866	-0.732	-0.6225	-4.948	-4.326	-3.006	-4.629	-3.407	-5.14	-4.292	-3.502	-1.81	-0.944	-1.335	-1.43
"YPL079W"	-2.277	-3.115	-3.828	-1.792	-4.616	-4.1965	-3.787	-3.892	-6.4765	-4.735	-3.015	-3.498	-4.547	0.593	-0.2565	-3.135	-1.936	-0.886	-2.753	-2.74	-3.573	-3.431	-2.725	-0.81	-0.634	-0.288	-0.424
"YPL081W"	-1.543	-2.931	-3.841	-1.27	-4.5065	-3.3595	-3.199	-3.4025	-6.801	-4.022	-2.789	-2.909	-3.725	0.4095	0.1445	-2.52	-1.967	-1.181	-2.359	-1.427	-3.939	-2.717	-2.656	-0.088	-0.339	0.035	-0.004
"YPL090C"	-2.497	-3.529	-3.965	-1.765	-3.9615	-3.256	-2.7785	-4.364	-6.197	-5.307	-3.292	-3.309	-4.719	0.4045	-0.1315	-3.272	-2.536	-1.416	-3.265	-3.165	-4.101	-3.571	-2.951	-0.431	-0.731	-1.366	-0.452
"YPL142C"	-2.625	-2.913	-3.225	-1.341	-3.1395	-2.973	-2.7515	-3.5865	-5.604	-4.155	-2.148	-2.632	-2.979	0.196	-0.112	-3.034	-2.333	-1.691	-3.021	-2.696	-3.677	-3.278	-2.971	-1.199	0.118	-1.024	0.161
"YPL160W"	-1.541	-1.989	-2.429	-1.2135	-3.26033333333333	-2.28466666666667	-1.777	-3.08233333333333	-5.284	-4.0365	-3.1695	-3.499	-2.977	0.180333333333333	-0.458	-2.203	-2.1325	-1.333	-2.958	-2.059	-3.512	-2.719	-2.2345	-0.6235	-0.7595	-0.8295	-0.912
"YPL243W"	-0.442	-1.01	-1.17	-0.027	-1.27	-1.434	-1.106	-4.1455	-5.276	-1.931	-2.602	-3.541	-3.544	0.643	-0.1735	-1.015	-1.029	-0.817	-1.14	-1.1	-1.424	-1.503	-1.355	0.282	-0.589	-1.1	-0.318
"YPR041W"	-1.354	-1.831	-2.097	-0.691	-1.871	-1.85166666666667	-1.45933333333333	-2.36366666666667	-4.07266666666667	-1.646	-1.805	-1.8775	-2.441	0.0566666666666667	-0.006	-1.955	-1.59	-1.107	-2.533	-1.793	-3.187	-2.708	-2.293	-1.313	-0.365	-0.784	-0.324
"YPR060C"	-0.817	-1.077	-1.389	0.093	-3.5465	-3.094	-2.8645	-2.069	-3.801	-2.71	-2.107	-3.352	-2.894	-0.2405	-0.23	-0.94	-1.339	-1.09	-1.945	-1.996	-2.784	-2.741	-2.38	-0.71	-0.286	-0.357	-0.029
"YPR145W"	-0.648	-0.53	-0.867	0.177	-3.263	-1.5905	-1.524	-3.737	-5.02	-2.229	-3.369	-3.625	-3.498	0.3965	-0.4005	-1.387	-0.068	0.159	-2.035	-1.056	-3.779	-1.807	-1.273	-0.628	-0.328	-1.135	-0.899
