	"514.2.5mM DTT 030 min"	"686.YP ethanol vs reference pool"	"802.Heat Shock 060 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"8230.dtt 060 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"15638.Ca+FK 60min (2)"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38145.03II01 batch p1"	"38146.03II01 batch p2"	"38147.03II01 batch p3"	"38148.03II01 batch p4"	"42225.U2 Comp 09 hr 12 min Uracil Batch vs Chemostat Comparison"
"YGR173W"	-0.508	-0.507	0.276	-3.271	-1.888	-1.436	-1.194	-1.375	-1.91	-2.218	-1.747	-1.752	-1.546	-1.279	-1.36	-0.91	-1.919	-1.996	-2.168	-0.074	-0.018	0.492	0.126	0.473	0.574	-1.113	-0.826	-1.177	-0.574	0.157	-1.523	-0.355	0.153	0.198	0.44	0.413	-0.088
"YGR201C"	0.835	1.412	0.271	5.046	4.249	4.063	4.377	5.158	4.49	4.974	2.896	3.228	2.855	2.842	3.597	2.109	2.914	5.103	3.769	0.31	0.563	0.077	-0.49	0.078	0.064	2.825	2.23	1.778	2.563	0.068	1.333	1.102	-0.898	-0.418	0.357	-0.487	-0.361
"YGR229C"	-0.25	-0.267	0.05	-0.832	-0.57	-0.382	-0.754	-1.164	-0.943	-2.847	-1.987	-1.316	-1.823	-0.983	-1.569	-1.658	-2.401	-2.58	-3.391	0.076	0.061	0.289	-0.154	0.27	0.291	-1.255	-1.085	-1.061	-1.016	-0.099	-1.232	-1.084	0.09	-0.345	0.265	0.354	0.749
"YGR245C"	-0.136	-0.626	0.123	-4.207	-2.765	-2.396	-1.545	-1.475	-2.045	-2.482	-0.475	-1.833	-3.164	-2.228	-2.367	-2.154	-2.194	-2.446	-3.203	-0.052	-0.334	0.051	-1.1	-0.255	-0.09	-0.872	-0.852	-0.538	-1.177	-0.638	-1.384	-1.376	0.385	-0.112	0.782	-0.093	0.234
"YGR264C"	-0.759	-1.489	-0.055	-3.787	-2.696	-3.156	-3.156	-2.945	-3.206	-5.206	-2.811	-3.49	-3.897	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	-0.079	-0.156	-0.002	0.484	0.03	0.069	-2.246	-2.287	-2.376	-2.353	-0.575	-2.661	-1.432	0.024	-0.171	-0.127	-0.093	0.751
"YGR285C"	0.649	-1.082	0.052	-3.959	-2.444	-2.267	-1.794	-1.645	-1.67	-4.078	-1.877	-1.393	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.15	-0.78	0.252	0.238	0.107	0.399	-2.035	-2.466	-2.483	-3.514	-0.506	-2.156	-1.5	1.122	1.126	1.284	0.979	0.026
"YHL033C"	-0.314	-0.792	0.385	-3.758	-2.864	-2.635	-1.944	-1.277	-2.205	-3.984	-3.005	-2.318	-4.25	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	0.08	0.071	0.353	0.05	0.053	-0.077	-1.93	-1.111	-1.445	-1.336	0.207	-2.033	-1.49	0.991	1.331	1.564	1.382	1.796
"YHR064C"	-0.921	-1.126	0.502	-4.543	-2.196	-1.596	-1.668	-1.77	-1.712	-3.329	-2.559	-0.22	-2.977	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	-0.069	0.156	0.235	0.199	0.181	0.11	-2.303	-1.252	-2.419	-2.332	-0.242	-1.636	-1.26	-0.155	0.21	0.431	0.147	0.352
"YHR068W"	0.011	-1.125	0.191	-3.316	-2.566	-2.252	-2.251	-3.015	-2.166	-4.28	-2.526	-1.119	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.241	0.437	0.293	0.295	0.388	0.424	-2.522	-2.438	-2.761	-2.475	-0.56	-2.43	-1.87	0.182	0.136	0.34	0.744	0.381
"YHR123W"	-0.521	-0.716	0.029	-1.168	-0.611	-0.799	-1.05	-1.555	-1.135	-3.763	-1.439	-2.046	-2.216	-1.72	-1.965	-2.024	-2.917	-2.775	-2.647	0.254	0.274	0.175	0.602	0.242	0.07	-1.226	-1.226	-1.605	-1.119	-0.091	-1.371	-1.081	-0.024	-1.092	-0.196	-0.941	0.98
"YIL024C"	-0.649	0.823	0.097	1.752	1.466	2.328	1.159	2.847	3.318	3.515	2.096	2.065	0.83	1.286	1.751	2.664	-0.517	2.102	1.195	0.199	0.191	-0.193	-0.342	0.1	0.081	1.582	1.119	1.795	2.93	0.269	1.089	1.041	-0.058	-0.235	-0.64	-0.268	-0.311
"YIL078W"	0.083	-1.288	-0.321	-2.907	-2.075	-2.018	-2.219	-2.498	-1.911	-5.192	-2.5	-2.462	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	0.141	-0.013	0.175	0.418	0.095	0.133	-2.573	-2.57	-2.6	-2.341	-0.122	-1.874	-1.442	0.169	0.907	0.895	0.727	1.305
"YIL120W"	-0.105	0.845	0.122	1.649	1.536	1.395	1.32	1.525	1.822	4.578	1.319	1.289	1.695	1.293	0.996	2.065	0.518	3.061	2.677	0.06	0.597	-0.186	-0.133	-0.101	-0.324	1.202	0.661	0.463	1.158	-0.195	0.696	0.905	0.378	0.041	-0.021	-0.147	0.597
"YIL146C"	-0.156	0.798	0.173	2.334	2.196	2.111	2.234	2.539	2.94	3.637	1.658	1.857	2.306	1.867	2.177	2.693	3.595	3.491	2.947	0.285	0.655	-0.288	-0.261	-0.125	-0.073	2.114	2.336	1.873	2.441	-0.005	1.851	1.95	0.173	-0.15	0.124	-0.376	0.197
"YJR041C"	-0.255	-0.322	0.152	-3.864	-2.277	-1.489	-1.335	-1.157	-1.402	-3.322	-0.994	-1.381	-2.769	-1.624	-1.752	-1.853	-2.965	-2.872	-2.952	-0.142	-0.016	-0.283	-0.368	-0.253	-0.067	-1.67	-1.385	-1.535	-1.873	-0.484	-1.358	-0.942	0.244	0.053	0.649	0.432	0.301
"YKL050C"	-1.107	0.469	0.415	1.443	0.631	1.612	3.19	4.636	NaN	3.353	1.798	1.481	0.806	2.384	4.351	4.561	2.659	2.578	1.692	0.494	0.168	-0.429	-1.0	-0.106	-0.303	1.895	3.007	3.191	3.156	0.282	3.984	NaN	0.278	-0.218	0.546	NaN	-0.962
"YKL056C"	0.13	-1.453	0.2	-3.205	-2.603	-3.118	-2.355	-1.541	-1.771	-3.426	-2.371	-2.389	-2.468	-1.669	-1.741	-2.281	-2.754	-3.265	-3.483	0.072	0.097	0.055	0.227	-0.244	-0.391	-1.76	-1.251	-1.522	-1.362	0.088	-2.577	-2.068	0.158	0.893	0.855	0.418	0.716
"YKL107W"	-0.493	1.337	-0.055	1.977	2.059	2.503	3.68	4.957	3.01	2.551	3.261	3.268	0.377	1.672	3.239	2.313	2.83	4.046	3.889	0.263	0.383	-0.464	-0.177	-0.267	-0.427	1.147	1.153	1.626	2.877	-0.132	2.837	1.872	0.284	-0.447	-0.602	-0.468	0.318
"YKL146W"	-0.185	0.407	0.226	1.781	2.54	1.784	2.024	1.679	1.376	1.449	0.464	0.39	2.188	1.466	1.453	1.611	2.189	2.953	1.873	-0.02	0.217	-0.307	0.505	-0.053	-0.018	0.348	0.945	0.737	1.044	-0.141	0.866	0.387	-0.135	-0.207	0.164	0.749	-0.124
"YKR009C"	-1.084	1.513	-0.398	3.745	3.401	3.725	4.306	3.934	1.861	3.808	3.166	2.958	2.522	2.425	1.963	1.392	4.39	3.928	3.376	0.332	0.43	-0.14	-0.067	-0.089	0.0	2.025	1.16	0.549	1.581	-0.598	2.501	2.303	-0.189	-0.556	-0.24	-0.665	-0.542
"YKR026C"	-0.049	-0.5	0.149	-3.144	-2.386	-1.661	-2.212	-1.705	-1.843	-2.863	-1.657	-1.681	-1.723	-1.296	-1.369	-1.003	-1.858	-2.363	-2.231	0.595	0.053	0.156	-0.074	0.165	0.456	-0.942	-0.521	0.737	-0.249	-0.067	-1.406	-0.971	-0.249	-0.101	0.614	0.457	-0.125
"YKR082W"	-0.219	-0.348	0.431	-0.889	-1.103	-0.767	-0.731	-0.67	-1.122	-2.473	-0.832	-1.633	-1.922	-1.054	-0.885	-1.249	-1.45	-1.895	-2.598	-0.053	-0.336	-0.227	0.186	-0.184	-0.011	-1.238	-0.834	-0.891	-0.843	-0.04	-0.869	-0.824	0.593	0.234	-0.065	0.021	0.472
"YLL019C"	-0.4095	0.6475	-0.0535	1.971	1.624	2.0355	1.832	1.8805	1.9865	2.1885	1.021	0.6375	1.397	1.255	1.789	1.8515	1.9515	1.767	1.3115	0.013	0.0555	-0.264	0.1945	0.0055	0.0245	0.8285	0.943	0.823	0.9795	-0.304	1.395	1.358	-0.566	-0.619	-0.753	-0.565	-0.76
"YLR017W"	-0.637	-0.767	0.461	-2.358	-1.587	-1.636	-1.458	-1.606	-1.619	-2.415	-1.201	-1.288	-1.511	-1.357	-1.54	-1.891	-1.834	-2.326	-2.268	0.085	0.12	-0.156	0.163	-0.114	-0.071	-1.276	-1.077	-1.074	-0.826	0.079	-1.811	-0.924	-1.106	-0.653	-0.596	-0.904	0.006
"YLR060W"	-0.274	-1.157	0.175	-3.165	-2.617	-2.047	-2.296	-2.499	-2.849	-4.941	-2.672	-2.566	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.212	-0.082	0.268	0.245	0.156	0.423	-1.72	-1.77	-1.452	-2.018	-0.066	-2.55	-2.175	-0.835	-0.617	-0.885	-0.903	0.253
"YLR062C"	-0.283	-1.091	0.173	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-3.965	-3.18	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	0.023	0.353	0.35	0.374	-0.165	-0.039	-2.666	-1.934	-2.16	-1.658	0.404	-3.141	-2.876	1.124	1.604	1.712	1.48	1.13
"YLR156W"	-1.193	0.959	-0.206	1.281	1.462	1.837	1.612	2.511	3.06	3.101	1.183	0.986	1.719	1.84	2.087	2.291	3.877	3.302	3.197	0.34	-0.306	-0.539	-0.236	-0.239	-0.229	1.471	1.324	1.295	0.333	-0.128	1.326	1.08	0.179	0.419	0.087	0.104	-0.111
"YLR159W"	NaN	0.445	0.377	0.635	0.836	1.433	0.674	3.108	1.962	3.737	1.114	0.597	1.383	1.367	1.76	1.408	3.064	3.448	2.889	0.09	0.072	-0.427	-0.254	-0.246	-0.068	1.29	0.984	1.256	0.66	0.354	1.217	1.198	0.165	0.082	0.161	0.189	-0.751
"YLR161W"	-0.354	0.339	0.394	NaN	2.484	3.531	1.412	4.592	3.318	5.255	1.371	1.063	1.384	1.516	1.978	1.315	3.058	3.585	3.072	-0.001	0.198	-0.527	0.778	-0.156	-0.141	1.384	0.924	1.286	0.595	-0.278	1.097	0.981	-0.386	-0.067	-0.053	-0.278	0.005
"YLR164W"	-0.017	1.775	0.04	4.52	3.048	3.554	4.168	5.283	4.605	4.582	3.068	3.756	1.295	1.643	1.874	1.017	2.092	3.006	2.089	0.1	0.416	0.162	-0.138	-0.009	-0.241	2.222	2.041	1.839	2.486	-1.233	2.465	1.47	-0.377	-0.325	-0.38	-0.341	-0.803
"YLR175W"	0.095	-1.501	0.137	-5.607	-3.276	-2.921	-2.657	-2.484	-3.068	-3.401	-3.13	-3.152	-4.678	-2.413	-2.762	-3.408	-3.701	-4.364	-4.96	0.21	0.163	0.486	-0.793	0.521	0.435	-2.388	-2.612	-2.291	-2.553	-0.189	-3.796	-2.767	-0.267	0.976	1.002	0.818	0.14
"YLR196W"	-0.096	-0.842	-0.022	-5.083	-3.01	-3.156	-2.049	-1.898	-2.276	-4.437	-1.799	-1.477	-4.378	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	0.24	0.082	0.395	-1.098	0.242	0.274	-1.727	-2.058	-2.19	-2.405	-0.461	-2.053	-1.078	0.011	0.648	0.766	0.183	-0.504
"YLR197W"	-0.058	-1.17	-0.227	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-4.736	-3.258	-3.282	-5.671	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	0.131	0.049	0.619	0.031	0.348	0.412	-3.052	-3.145	-3.099	-2.81	-0.468	-3.736	-2.197	0.469	1.047	1.303	1.006	-1.025
