	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"985.constant 0.32 mM H2O2 (20 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"8204.steady state 29 dec C"	"8234.dtt 240 min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"12744.heat shock 17 to 37, 20 minutes"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"28838.P2Comp 06 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34351.wt_hypo_osmotic_shock_60min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YGR085C"	-2.966	-3.664	-3.301	-2.511	-3.406	-6.059	-3.071	-3.255	-3.013	-2.215	-1.609	-4.359	-2.106	-2.625	-2.77	1.081	0.979	0.563	-1.876	0.323	-2.908	-1.502	0.401	-1.92	0.539	0.272	0.2	0.333	-0.059	0.492	-3.52	-2.491	0.932	1.099	1.098
"YGR118W"	-2.6185	-3.085	-2.692	-2.681	-2.204	-5.471	-2.458	-2.209	-2.183	-2.326	-0.904	-3.851	-1.903	-1.997	-2.117	1.579	1.157	0.327	-1.681	-0.002	-2.633	-1.576	0.012	-1.167	0.017	0.091	0.105	0.072	0.046	-0.012	-2.942	-2.277	1.251	1.348	1.347
"YGR200C"	-2.659	-2.1245	-1.851	-1.376	-2.863	-3.668	-2.565	-2.446	-1.597	-1.625	-1.048	-0.958	-1.1	-1.274	-1.456	0.859	0.293	0.236	-0.897	0.083	-2.24	-0.683	-0.813	-0.538	-0.515	-0.158	-0.525	-0.612	-0.223	-0.141	-1.236	-1.18	0.884	0.759	0.758
"YHR010W"	-3.406	-3.8525	-3.281	-3.149	-3.508	-4.514	-3.343	-3.288	-3.007	-2.769	-1.219	-4.159	-2.399	-2.244	-2.541	1.55	1.153	0.233	-2.034	-0.291	-3.0485	-2.648	0.626	-1.187	0.076	0.273	0.138	0.101	-0.049	0.296	-3.266	-2.575	1.531	1.64	1.639
"YJL177W"	-3.2765	-3.7865	-3.846	-3.2	-3.255	-5.49	-3.409	-3.772	-3.428	-3.164	-0.92	-5.074	-2.17	-2.525	-2.421	1.507	1.267	0.594	-2.196	0.022	-3.293	-2.663	0.639	-1.782	0.501	0.319	0.421	0.371	0.238	0.232	-3.25	-2.986	1.102	1.112	1.111
"YJR123W"	-3.5655	-4.258	-3.276	-3.279	-4.381	-9.147	-3.809	-3.529	-3.442	-3.646	-1.149	-4.282	-2.083	-2.391	-2.635	1.916	1.517	0.357	-2.04	-0.275	-3.445	-2.141	0.928	-2.097	0.584	0.36	0.375	0.413	0.083	0.465	-3.755	-2.787	1.862	1.73	1.729
"YLR029C"	-2.241	-2.238	-2.641	-3.465	-3.615	-6.877	-2.777	-2.809	-2.78	-2.648	-1.287	-3.178	-1.893	-2.201	-2.595	1.834	1.187	0.202	-1.935	0.159	-1.757	-2.812	0.438	-0.869	0.337	0.228	0.135	-0.105	-0.168	0.1	-3.267	-2.565	0.821	0.589	0.588
"YLR061W"	-3.322	-3.851	-4.297	-4.115	-4.939	-6.591	-3.239	-3.818	-3.021	-3.058	-1.245	-4.326	-2.164	-2.433	-2.88	1.431	0.977	0.131	-1.984	-0.263	-2.697	-1.663	-0.297	-2.605	-0.748	-0.613	-0.449	-0.551	-0.463	-0.651	-2.915	-2.108	0.169	0.579	0.578
"YLR062C"	-3.557	-4.079	-4.418	-3.352	-5.705	-6.896	-3.6	-3.985	-3.965	-3.18	-0.871	-4.96	-2.666	-3.209	-3.706	1.506	1.269	0.312	-2.245	-0.549	-3.134	-2.254	0.555	-1.742	0.17	0.106	0.158	-0.014	0.006	-0.03	-3.141	-2.876	0.894	1.068	1.067
"YLR075W"	-1.85	-2.416	-3.127	-2.622	-1.991	-6.109	-2.552	-2.46	-2.807	-2.616	-0.657	-4.079	-1.489	-1.706	-1.888	1.334	1.246	0.485	-1.638	-0.215	-1.842	-1.807	0.213	-1.188	0.012	-0.046	0.135	-0.19	-0.135	-0.045	-3.5	-2.838	1.154	1.353	1.352
"YLR185W"	-2.305	-2.948	-3.498	-3.001	-2.578	-5.928	-2.94	-2.559	-2.616	-2.445	-0.069	-4.019	-2.046	-2.136	-2.209	1.634	1.254	0.444	-2.242	-0.165	-2.487	-1.091	0.609	-1.679	0.165	-0.181	0.18	-0.089	-0.183	-0.188	-3.237	-3.05	0.659	0.641	0.64
"YLR325C"	-2.61	-3.056	-3.555	-3.974	-2.337	-5.498	-3.178	-3.753	-2.76	-3.039	-0.84	-4.948	-2.81	-2.802	-3.314	1.573	1.259	0.532	-2.301	0.087	-2.735	-2.193	0.108	-2.062	-0.303	0.223	-0.045	-0.254	-0.091	-0.084	-3.397	-3.018	2.125	1.954	1.953
"YLR333C"	2.731	NaN	-3.067	-2.402	-3.011	-5.863	-3.538	-3.334	-2.939	-2.483	-0.63	-4.032	-1.898	-2.092	-2.057	1.445	1.149	0.447	-1.566	-0.172	NaN	-1.198	0.325	-1.692	-0.121	-0.289	0.037	-0.2	-0.055	-0.016	-3.031	-2.343	1.402	1.154	1.153
"YML060W"	-1.662	-1.678	-1.41	-1.29	-2.749	NaN	-2.14	-2.315	-1.141	-1.462	-0.41	-1.611	-1.492	-1.266	-1.684	0.374	0.196	0.283	-0.403	0.13	-1.262	-0.344	-0.099	-0.233	-0.012	0.06	-0.31	-0.694	-0.403	-0.323	-0.81	-0.84	-0.041	0.294	0.293
"YML073C"	-3.093	-3.742	-3.01	-3.061	-3.862	-6.033	-3.5	-3.371	-3.087	-2.501	-0.865	-4.919	-2.471	-2.561	-2.549	1.347	1.358	0.576	-2.025	-0.304	-3.187	-1.497	-0.439	-0.816	0.455	0.229	0.275	0.154	0.026	-0.166	-2.839	-2.454	0.751	0.84	0.839
"YMR116C"	-2.893	-3.016	-3.687	-4.292	-4.551	-6.865	-2.937	-3.905	-3.535	-3.312	-0.987	-3.586	-2.408	-2.851	-2.888	1.674	1.522	0.675	-1.666	0.178	-2.428	-3.479	0.15	-1.856	-0.144	-0.008	0.026	-0.157	0.031	0.106	-3.894	-3.433	2.673	2.517	2.516
"YMR242C"	-3.309	-3.708	-3.631	-3.819	-3.971	-6.226	-3.832	-4.338	-3.636	-3.62	-0.972	-4.84	-2.479	-2.59	-3.004	1.72	1.427	0.435	-2.26	0.006	-3.054	-2.566	0.933	-1.61	0.17	0.084	0.248	0.031	-0.222	-0.086	-3.582	-2.724	1.358	1.376	1.375
"YNL096C"	-2.881	-3.202	-3.765	-3.642	-4.038	-6.106	-3.331	-3.045	-2.761	-3.165	-1.025	-4.716	-2.906	-2.776	-3.041	1.36	1.064	0.375	-2.448	-0.482	-2.812	-1.281	0.861	-1.783	0.253	0.176	0.16	0.182	-0.065	0.265	-3.108	-2.343	0.848	0.995	0.994
"YNL119W"	-2.438	-3.435	-3.692	-2.694	-5.354	-6.231	-3.359	-3.366	-2.99	-2.998	-0.93	-3.55	-1.753	-1.955	-2.206	0.966	1.262	0.156	-1.613	-0.033	-2.524	-1.117	0.023	-2.353	-0.037	-0.331	-0.241	-0.037	0.147	-0.24	-3.264	-2.198	0.939	0.949	0.948
"YNL256W"	-1.584	-1.904	-1.34	-1.539	-2.448	-3.668	-1.695	-0.452	0.397	1.222	-0.803	-2.104	-1.429	-1.334	-1.45	0.502	0.751	-0.249	-0.618	-1.116	-2.203	-1.074	-1.148	-1.198	-0.475	-0.241	-0.481	-0.481	-0.248	-0.248	-1.636	-1.622	1.756	1.507	1.506
"YNL301C"	-2.335	-3.036	-2.551	-2.514	-5.123	-6.272	-2.943	-3.585	-3.098	-2.59	-1.646	-3.466	-1.992	-2.799	-2.781	1.856	1.381	0.315	-1.909	0.02	-2.136	-2.413	-0.067	-1.063	0.014	-0.051	0.26	-0.145	-0.191	-0.066	-3.527	-3.041	1.65	1.677	1.676
"YOR369C"	-2.946	-2.962	-4.255	-3.641	-3.724	-6.5475	-3.0405	-3.6415	-3.752	-3.809	-1.131	-3.998	-2.456	-2.858	-2.986	1.617	1.483	0.4045	-2.1875	0.256	-2.806	-2.766	0.094	-1.255	-0.466	0.072	0.209	-0.216	-0.187	-0.056	-4.066	-3.194	2.192	2.207	2.206
"YPL043W"	-4.198	-4.087	-2.8315	-2.8295	-2.4695	-3.79	-3.157	-2.2695	-1.9305	-2.047	-1.193	-3.89	-2.277	-2.069	-2.134	1.67	0.996	-0.2225	-1.6305	0.424	-4.555	-0.465	0.495	0.327	0.245	-0.279	-0.217	0.299	0.214	-0.003	-1.828	-1.162	0.326	0.495	0.494
"YPL090C"	-3.529	-3.965	-3.256	-2.7785	-4.364	-6.197	-3.398	-3.223	-3.3795	-3.2385	-1.165	-5.307	-2.412	-2.833	-2.954	1.588	1.336	0.399	-2.16	0.558	-3.272	-1.668	-0.022	-1.447	0.268	0.085	0.033	-0.08	-0.027	-0.193	-2.941	-2.515	1.763	1.668	1.667
"YPL142C"	-2.913	-3.225	-2.973	-2.7515	-3.5865	-5.604	-2.825	-3.3035	-2.8235	-2.16	-0.913	-4.155	-2.082	-2.303	-2.376	1.735	1.594	0.587	-1.7865	-0.178	-3.034	-2.612	0.083	-1.667	0.093	0.043	0.053	0.009	-0.021	-0.032	-3.379	-2.674	1.64	1.575	1.574
"YPL183C"	-1.925	-2.585	-2.069	-1.767	-4.1755	-3.957	-2.1075	-1.7485	-1.7965	-2.531	-0.973	-2.335	-1.757	-1.735	-1.38	-0.219	0.211	0.005	-1.281	-0.72	NaN	-0.383	-0.813	-0.158	-0.337	-0.475	-0.651	-0.6625	-0.4695	-0.4275	-1.4975	-0.8895	0.5435	0.3745	0.3735
"YPL220W"	-3.278	-3.871	-2.4215	-2.18	-3.187	-6.1465	-3.0375	-3.442	-3.3935	-2.852	-1.003	-3.51	-1.794	-2.548	-2.639	1.589	1.635	0.3965	-1.461	-0.373	-3.09	-2.112	-0.858	-1.424	0.015	-0.139	-0.042	-0.154	0.001	-0.028	-3.294	-2.435	1.98	1.942	1.941
"YPR010C"	-3.3095	-3.049	-1.686	-2.02033333333333	-1.86833333333333	-3.425	-1.99066666666667	-2.13833333333333	-1.50933333333333	-1.37666666666667	-0.505	-1.991	-1.6105	-1.8945	-1.5645	0.1505	0.5475	0.27	-1.50166666666667	-0.068	-3.0355	-0.539	-0.493	-0.502	-0.3505	0.131	-0.2	-0.137	0.2335	0.214	-2.3365	-1.523	1.236	0.696	0.695
"YPR044C"	-2.4	-2.752	-2.92933333333333	-2.74733333333333	-2.87	-4.76433333333333	-3.21966666666667	-2.78233333333333	-2.80733333333333	-2.81333333333333	-0.7695	-3.0915	-1.926	-2.14	-2.1115	1.593	1.372	0.146	-1.79966666666667	0.15	-2.5325	-2.119	0.607	-1.413	0.106	0.199	0.256	0.118	0.017	0.141	-2.315	-2.464	1.034	1.142	1.141
"YPR102C"	-3.37	-4.232	-3.2315	-3.2945	-4.045	-6.451	-3.5055	-4.118	-3.673	-3.277	-1.177	-4.644	-2.495	-2.723	-3.232	1.344	1.035	0.6345	-2.162	0.444	-3.007	-1.969	0.652	-2.195	-0.1	0.043	0.116	-0.207	-0.124	-0.015	-3.663	-2.864	1.255	1.129	1.128
