	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"519.2.5mM DTT 180 min"	"598.29 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"800.Heat Shock 015 minutes"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"979.wt_plus_gamma_30_min"	"4048.0.8M NaCl +FK506 - 30 min"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"8521.dun1- + 0.02% MMS - 120 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"
"YGL171W"	-4.302	-4.243	-2.091	-3.818	-3.208	-1.341	-0.054	1.03	-3.574	-5.822	-2.078	-4.649	-2.759	-0.011	-2.1	0.01	-1.316	-2.007	-3.247	-2.573	-1.828	-2.897	-2.938	0.596	-0.148	-0.034	0.058	0.362	0.29	0.133	-3.658	-1.215	-1.807	-3.355	-2.839	-2.722	-2.646	-3.848
"YGR123C"	-3.5875	-3.2965	-3.0495	-4.1895	-3.748	-0.971	0.185	0.996	-2.491	-4.447	-2.234	-4.328	-2.878	-0.898	-1.64	-0.141	-0.23	-1.22	-1.73	-1.141	-0.923	-1.647	-1.535	0.843	0.555	-0.3045	-0.159	0.033	-0.091	-0.263	-4.594	-0.4885	-0.577	-2.795	-1.547	-2.966	-2.403	-3.836
"YGR162W"	-2.26833333333333	-2.57833333333333	-1.89433333333333	-2.97266666666667	-3.149	-1.2785	-0.1995	0.8005	-1.9045	-2.589	-1.9595	-3.2845	-1.906	0.143	-1.837	0.0345	-0.587	-1.5535	-1.7475	-1.4005	-1.3635	-0.8165	-1.1905	0.081	0.1105	-0.406	-0.3645	0.096	-0.1625	-0.364	-2.80166666666667	-0.349333333333333	-0.561	-2.32	-1.616	-2.389	-2.517	-2.225
"YHL011C"	-2.744	-2.467	-2.107	-3.0145	-3.024	-0.971	0.029	1.023	-1.817	-2.604	-1.225	-3.592	-2.503	-0.59	-1.129	-0.008	-0.176	-1.019	-1.859	-1.437	-1.066	-2.057	-2.013	1.257	0.653	0.034	-0.118	-0.055	0.196	0.0025	-3.2715	-0.717	-0.815	-2.38	-1.532	-2.437	-2.033	-2.086
"YHR020W"	-2.592	-3.22	-2.5795	-3.3085	-3.731	-1.163	-0.216	0.868	-2.062	-4.019	-3.114	-4.045	-2.898	-0.621	-1.46	-0.16	-0.12	-1.212	-2.165	-1.735	-1.186	-1.753	-2.038	0.467	0.371	0.2265	-0.158	-0.307	-0.2	0.67	-3.5805	-0.294	-0.36	-3.021	-1.53	-2.574	-3.043	-3.861
"YHR052W"	-4.2445	-3.5175	-3.5215	-4.3935	-3.9395	-1.505	0.381	1.339	-2.417	-4.199	-2.239	-4.447	-2.565	-0.412	-2.447	0.119	-0.72	-2.417	-2.621	-1.95	-1.349	-2.318	-2.298	1.008	0.68	-0.0525	0.517	0.643	0.735	-0.1435	-4.9395	-0.665	-0.854	-2.827	-1.875	-2.212	-1.892	-3.47
"YHR066W"	-3.7505	-3.0515	-2.9815	-3.762	-3.552	-1.944	0.064	1.097	-2.046	-4.885	-1.572	-5.203	-2.974	-0.007	-2.029	0.466	-1.255	-1.659	-2.447	-1.738	-1.335	-2.494	-2.346	0.982	0.456	0.128	0.698	0.741	0.716	0.0555	-4.347	-1.197	-1.076	-3.068	-1.906	-2.219	-1.623	-2.382
"YHR094C"	-1.5965	-1.6415	-1.342	-2.1085	-1.284	NaN	0.048	0.216	-2.018	-0.469	-1.412	-2.55	-0.636	-0.498	1.302	0.221	0.158	1.464	1.751	1.441	0.529	0.81	1.283	0.738	-0.053	0.166	0.18	0.093	0.358	0.082	-1.473	0.332	0.38	-1.35	-1.254	-2.355	-1.953	-2.363
"YHR170W"	-5.3995	-4.622	-4.14	-4.723	-3.947	-1.877	0.508	1.292	-3.256	-4.51	-2.071	-4.858	-2.759	-0.558	-1.659	0.037	-0.607	-1.725	-2.244	-2.093	-0.835	-1.733	-1.888	0.824	0.327	-0.0285	0.319	0.314	0.522	0.109	-5.252	-0.476	-0.516	-3.576	-2.405	-2.772	-3.186	-3.601
"YIL064W"	-2.354	-2.7345	-2.1515	-2.514	-2.1275	-0.379	0.086	1.148	-1.887	-2.326	-0.964	-2.687	-2.125	-0.345	-0.997	0.051	-0.301	-1.059	-1.511	-1.65	-0.805	-1.392	-1.751	0.713	0.618	-0.245	-0.259	-0.311	-0.161	0.009	-2.1995	-0.027	-0.246	-2.286	-1.123	-2.318	-1.706	-2.035
"YKL009W"	-1.833	-3.58	-3.253	-4.1895	-4.13	-2.386	0.496	1.639	-2.745	-5.997	-3.38	-6.168	-3.144	-0.777	-1.886	0.251	-0.42	-2.265	-2.841	-2.079	-1.492	-2.592	-2.565	0.989	0.379	-0.1335	0.637	0.464	0.62	5.0E-4	-4.4285	-0.938	-0.81	-4.247	-2.782	-3.549	-2.602	-4.823
"YKL181W"	-2.313	NaN	-2.149	-2.822	-2.81	-1.065	0.221	1.201	-1.73	-3.28	-1.488	-4.28	-2.604	-0.882	-1.315	-0.212	-0.301	-1.164	-1.865	-1.322	-1.328	-2.131	-1.876	1.022	0.54	0.066	0.212	0.095	0.115	0.07	-2.802	-0.356	-0.364	-2.543	-1.721	-3.042	-2.367	-2.308
"YKR056W"	-4.01	-3.872	-2.945	-3.217	-3.127	-1.531	0.074	1.262	-2.566	-4.495	-2.343	-4.34	-2.379	-0.62	-2.462	-0.129	-1.037	-1.933	-2.896	-1.713	-1.662	-3.105	-2.539	0.802	0.011	-0.114	0.172	0.225	0.15	0.076	-3.682	-0.134	-0.828	-2.586	-2.146	-2.061	-1.199	-3.056
"YKR081C"	-4.459	-3.308	-1.58	-3.81	-3.431	-2.112	0.46	1.422	-2.31	-4.081	-2.469	-4.632	-3.278	-0.404	-2.166	0.336	-0.794	-1.865	-2.808	-1.645	-1.476	-2.276	-2.28	0.807	0.283	-0.052	0.3	0.418	0.602	0.043	-3.505	-1.134	-1.195	-2.666	-1.731	-2.514	-3.386	-3.261
"YLR129W"	-4.096	-3.022	-2.347	-3.676	-3.658	-2.112	-0.054	0.944	-3.455	-4.83	-3.089	-4.914	-3.12	0.093	-2.104	0.139	-0.708	-2.216	-2.343	-1.807	-1.667	-1.65	-1.427	0.443	0.073	-0.141	-0.11	0.012	0.029	-0.046	-4.108	0.192	-0.57	-4.374	-2.07	-3.858	-3.422	-4.119
"YLR130C"	-0.727	-1.071	-0.29	-0.467	-0.493	-0.421	-0.126	0.583	-0.575	-0.504	-0.975	-1.921	-2.418	-0.171	-0.982	-0.188	-0.451	-0.771	-1.052	-0.871	-1.29	-1.239	-1.256	0.466	0.196	-0.012	-0.083	-0.112	-0.262	0.015	-0.993	-0.07	-0.045	-0.947	-0.547	-1.355	-1.141	-0.886
"YLR180W"	-3.107	-3.001	-3.482	-3.526	-3.649	-0.231	0.24	1.367	-2.97	-4.201	-1.95	-5.707	-1.025	-0.523	-1.853	0.541	0.387	-1.451	-2.72	-3.127	-1.379	-2.466	-3.041	1.059	-0.097	-1.148	-0.76	-0.884	-0.85	-0.946	-3.682	-0.814	-0.851	-3.224	-1.384	-4.226	-3.264	-3.37
"YLR196W"	-5.425	-5.04	-3.221	-4.896	-4.532	-2.123	0.55	1.407	-3.946	-5.083	-3.156	-5.836	-2.858	-0.352	-2.107	0.24	-0.873	-1.656	-2.793	-1.956	-1.326	-2.637	-2.454	0.517	0.147	-0.434	0.242	0.274	0.446	-0.223	-5.097	-0.928	-1.033	-3.697	-2.702	-2.671	-2.901	-3.658
"YLR249W"	-2.818	-3.122	-3.317	-4.232	-4.758	-2.639	0.099	1.219	-1.851	-6.529	-4.043	-6.742	-3.879	-0.408	-2.185	0.257	-0.328	-2.165	-3.464	-2.334	-1.838	-2.703	-2.461	0.546	0.532	-0.35	-0.511	-0.536	-0.403	-0.136	-4.59	-0.204	-0.386	-3.998	-2.239	-4.627	-5.053	-5.085
"YLR276C"	-4.199	-3.855	-3.331	-3.732	-4.143	-1.755	0.222	1.168	-3.073	-4.467	-1.657	-5.399	-2.386	-0.237	-2.129	-0.088	-0.956	-1.864	-2.531	-1.558	-1.558	-2.431	-2.252	0.834	0.253	0.27	0.455	0.547	0.666	0.399	-2.51	-1.305	-1.336	-4.014	-2.707	-2.803	-2.141	-3.838
"YLR409C"	NaN	-3.176	-2.574	-3.696	-3.852	-0.312	-0.125	0.965	-3.427	-4.402	-2.6	-4.211	-2.308	-0.321	-1.957	0.013	-1.016	-1.383	-1.911	-1.548	-1.239	-1.565	-1.295	0.441	0.343	-0.024	-0.205	-0.143	0.007	-0.005	-4.473	0.029	-0.402	-2.812	-1.603	-2.584	-2.143	-3.231
"YML022W"	-1.818	-2.392	-2.188	-2.749	-2.982	-1.491	0.266	0.996	-1.288	-3.236	-1.782	-3.98	-3.223	-0.592	-1.389	-0.154	-0.135	-1.624	-1.859	-1.739	-1.156	-1.638	-1.892	0.726	0.4	-0.491	-0.002	-0.156	0.002	-0.467	-2.765	0.04	0.239	-2.245	-1.763	-3.371	-1.063	-2.661
"YML024W"	-1.177	-2.033	-2.347	-3.361	-3.373	-1.376	0.353	0.906	-1.0	-3.616	-3.016	-4.621	-3.523	-1.08	-1.385	-0.183	0.257	-1.567	-2.106	-1.671	-1.066	-1.567	-2.011	0.824	0.698	-0.447	-0.411	-0.146	-0.064	-0.346	-3.024	0.257	0.267	-2.692	-1.512	-2.411	-3.36	-2.891
"YNL060C"	-2.662	-3.546	-2.78	-3.921	-3.668	-1.662	-0.023	0.9	-2.01	-5.032	-2.244	-3.243	-2.119	0.182	-2.139	-0.108	-1.005	-1.813	-2.555	-1.449	-1.755	-2.391	-1.957	0.753	-0.031	-0.335	-0.326	-0.095	-0.203	-0.351	-4.389	-0.984	-1.212	-3.38	-2.089	-2.13	-1.761	-3.208
"YNL067W"	-2.389	-2.348	-2.563	-3.335	-3.738	-0.628	0.356	1.166	-1.353	-4.019	-2.193	-5.731	-2.866	-0.909	-0.814	0.53	0.554	-1.4	-2.232	-1.859	-0.753	-2.17	-2.392	0.882	0.657	-0.217	0.32	0.174	0.254	-0.059	-3.16	0.326	0.546	-2.636	-1.422	-2.256	-2.698	-3.107
"YNL209W"	-2.368	-2.469	-3.114	-4.441	-4.707	-1.467	0.179	0.958	-1.95	-3.795	-3.12	-5.803	-3.728	-0.595	-1.415	0.134	0.322	-1.338	-2.128	-1.821	-1.051	-1.61	-2.011	0.778	0.682	-0.054	-0.352	-0.37	-0.22	-0.098	-4.616	0.023	-0.11	-3.361	-2.694	-3.413	-4.586	-4.209
"YOR145C"	-3.98	-3.795	-2.871	-3.492	-3.402	-0.782	0.111	1.303	-2.2695	-4.1305	-1.7885	-3.4715	-2.7235	-0.286	-2.247	-0.001	-0.786	-2.0	-2.938	-1.588	-2.187	-3.287	-2.536	0.899	0.135	-0.009	0.353	0.284	NaN	0.102	-3.948	-0.661	-0.564	-3.644	-2.806	-3.265	-2.939	-4.493
"YOR243C"	-3.594	-3.234	-2.436	-3.633	-3.982	-1.9	0.039	1.139	-2.5655	-3.8055	-2.128	-4.3935	-2.588	-0.423	-2.009	-0.005	-0.703	-1.837	-1.872	-1.457	-1.498	-1.652	-1.335	0.7605	0.6085	0.0	0.261	0.255	0.121	-0.026	-4.099	-0.116	-0.19	-2.845	-1.727	-2.616	-1.759	-2.825
"YOR294W"	-4.574	-3.828	-3.73	-4.407	-3.632	-1.423	0.639	1.543	-3.3475	-5.6475	-1.914	-5.2465	-3.318	-0.204	-3.115	-0.128	-0.847	-3.09	-3.461	-1.971	-2.747	-3.216	-3.031	1.1465	0.0685	-0.333	-0.025	0.175	0.284	-0.13	-4.852	-1.136	-1.186	-4.841	-3.679	-3.042	-2.722	-5.145
"YPL226W"	-3.457	-3.002	-2.4945	-3.229	-4.183	-1.204	-0.103666666666667	0.906666666666667	-2.459	-4.86566666666667	-2.57633333333333	-5.67966666666667	-3.37333333333333	0.5735	-1.5835	-0.0735	-0.372666666666667	-0.891	-1.907	-1.6065	-1.068	-1.3845	-1.3565	0.748	0.288333333333333	-0.3115	-0.397	-0.0845	-0.2905	-0.259	-3.215	-0.176	-0.693	-3.076	-2.041	-3.793	-2.657	-3.811
"YPR110C"	-3.178	-3.084	-2.507	-3.52	-3.728	-1.7985	0.1595	1.068	-2.207	-5.7185	-3.2115	-6.318	-3.01	-0.622	-1.308	-0.091	-0.1825	-1.719	-2.308	-1.703	-1.435	-2.158	-2.174	0.475	0.6265	-0.157	0.029	0.041	-0.052	0.216	-3.168	-0.357	-0.265	-3.436	-2.354	-3.503	-2.851	-3.882
"YPR163C"	-2.552	-2.832	-2.415	-3.276	-3.939	-0.863	0.2055	1.048	-1.9175	-3.6815	-2.266	-5.4905	-2.5635	-0.426	-1.158	-0.06	-0.204	-1.315	-2.045	-1.884	-0.687	-1.688	-1.806	0.562	0.456	-0.448	0.187	0.436	0.209	-0.36	-3.572	-0.311	-0.101	-3.015	-1.939	-2.373	-3.506	-3.575
