	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"117.heat shock 60 min"	"118.heat shock 80 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"685.YP sucrose vs reference pool"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"986.constant 0.32 mM H2O2 (30 min) redo"	"990.constant 0.32 mM H2O2 (100 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7549.33C no sorbitol 5 min"	"7760.Na 45min"	"7764.Na+FK 45min"	"8193.steady state 15 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"8234.dtt 240 min"	"8235.dtt 480 min"	"12744.heat shock 17 to 37, 20 minutes"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"
"YER117W"	-1.836	-1.667	-1.868	-0.524	-0.227	-2.379	-2.386	-3.056	0.917	-1.13	-0.887	-2.982	-2.613	-2.377	-2.458	-1.15	-3.05	-3.141	-0.579	-0.247	-3.768	-1.917	-2.534	-2.571	-2.562	-1.783	-0.03	-0.004	-0.014	0.025	-1.82	-1.931	0.174	1.184	0.966	0.571	-1.573	0.391	-3.314	0.141	0.2935	-2.377	-3.319	-2.632	-3.238	-3.345	-2.147	-2.128	0.307
"YFL042C"	2.208	1.856	2.209	1.047	0.762	1.837	2.185	1.879	-0.63	-2.268	1.807	2.869	2.429	2.398	1.674	0.832	1.783	2.03	1.316	0.152	1.858	1.945	2.067	1.74	1.744	1.069	-0.045	0.152	0.063	0.279	1.832	1.341	0.25	-0.625	-0.515	-0.45	0.705	-0.349	1.923	-0.0405	-0.142	0.876	1.577	1.237	2.535	1.636	1.409	1.379	0.375
"YFR014C"	2.121	2.143	2.214	0.429	0.483	1.666	2.23	1.756	-0.693	1.363	1.033	3.37	2.231	2.562	1.353	0.256	2.178	1.757	1.247	0.59	2.067	1.696	1.853	1.688	0.106	1.115	-0.285	-0.164	0.113	0.695	1.406	1.277	0.019	-0.672	-0.573	-0.19	0.354	-0.261	1.78	0.002	0.043	2.353	2.37	2.128	3.16	1.658	1.65	1.73	-0.153
"YFR015C"	4.215	3.626	3.32	0.169	0.402	2.259	2.826	2.931	-0.524	1.371	0.121	3.886	2.992	3.694	2.785	-0.027	3.804	2.057	0.432	0.734	1.965	2.498	2.853	1.102	2.473	3.261	-0.901	-1.686	-0.137	1.469	2.024	1.997	0.545	-0.794	-1.397	-0.861	1.229	-0.204	3.341	0.7435	0.62	3.272	3.685	2.791	5.6	4.23	3.221	3.465	-0.625
"YGL076C"	-1.995	1.008	-2.09	-0.949	-0.635	-1.99	-2.744	-3.119	0.357	-1.333	-1.087	-3.969	-3.136	-2.73	-2.396	-1.338	-3.32	-2.996	-1.352	-0.131	-4.142	-2.037	-2.568	-2.648	-2.79	-2.376	0.077	-0.078	0.104	0.158	-1.847	-1.888	-0.145	1.119	0.934	0.642	-2.239	0.275	-2.656	0.4615	0.4065	-2.625	-4.003	-3.509	-3.347	-3.315	-2.544	-2.894	0.097
"YGL259W"	2.667	NaN	2.285	0.593	0.571	1.563	1.944	2.157	0.0	1.173	0.658	3.517	2.619	2.908	1.171	0.556	0.895	0.846	0.721	0.594	2.817	1.509	1.254	1.404	1.59	3.24	-0.219	-0.171	0.001	-0.343	0.971	1.075	0.188	-0.72	-1.402	-0.954	1.259	0.394	2.842	0.065	0.238	1.712	2.021	2.412	3.466	2.519	2.15	2.681	0.099
"YGR123C"	-3.5875	-2.638	-3.2965	-0.695	-0.732	-3.0495	-4.1895	-3.748	0.236	-1.265	-1.031	-4.447	-2.7	-2.234	-2.958	-1.067	-2.878	-2.97	-0.82	-0.117	-2.118	-1.549	-1.989	-1.536	-2.413	-1.299	0.108	-0.136	-0.2795	-0.479	-1.73	-1.647	0.31	0.99	0.843	0.555	-1.589	0.062	-4.594	-0.195	-0.098	-2.795	-2.403	-3.664	-3.836	-3.389	-2.052	-2.048	-0.015
"YGR205W"	2.0875	1.9995	2.0755	-0.0955	-0.2085	1.266	2.0825	2.303	-0.621	0.753	-0.024	3.199	1.843	2.465	0.73	0.477	2.671	2.095	1.276	-0.302	2.856	2.337	1.045	0.642	0.546	0.698	0.031	0.156	0.1935	1.169	1.057	1.244	0.322	-0.333	-0.222	-0.112	0.09	-0.17	2.2785	0.062	0.121	1.103	0.667	0.79	2.097	0.97	0.683	1.141	-0.141
"YGR245C"	-5.097	-5.457	-5.1995	-1.3965	-1.0535	-3.9345	-4.2355	-3.9115	0.055	-2.579	-1.802	-4.207	-2.765	-2.396	-3.177	-1.068	-3.273	-2.711	-2.905	-0.133	-3.164	-2.228	-2.367	-2.154	-2.446	-1.078	0.079	0.197	-0.3995	-0.44	-2.621	-2.046	-0.119	0.794	0.957	0.288	-2.034	0.092	-4.6765	-0.176	-0.308	-4.281	-2.292	-2.575	-3.415	-2.535	-1.342	-0.854	0.188
"YHR196W"	-4.423	-3.2925	-3.5265	-0.98	-0.888	-2.834	-3.894	-3.3595	0.401	-1.513	-1.221	-3.061	-2.692	-2.23	-1.847	-0.076	-2.461	-2.348	-1.3225	0.3525	-3.843	-2.204	-2.19	-1.992	-2.831	-1.011	0.437	0.521	0.0015	-0.04	-2.024	-1.575	-0.196	0.415	0.769	0.419	-1.346	-0.133	-3.967	0.431	0.267	-2.272	-1.605	-2.037	-2.306	-2.006	-1.626	-1.717	0.693
"YHR203C"	-1.486	-1.5815	-2.0645	-0.829	-0.7655	-1.915	-2.8785	-3.5975	0.671	-1.236	-1.061	-3.926	-2.827	-3.148	-2.51	-1.473	-3.917	-3.774	-1.0105	0.0915	-4.669	-2.276	-2.437	-2.591	-3.081	-1.717	-0.331	-0.441	0.204	-0.323	-2.455	-2.243	-0.273	0.703	0.756	0.586	-1.982	0.206	-2.809	0.444	0.258	-2.942	-4.467	-3.308	-3.717	-3.449	-2.785	-3.424	0.291
"YIL018W"	1.619	-2.245	-2.4325	-0.9795	-0.728	-2.2685	-3.509	-3.965	0.776	-1.193	-0.959	-4.365	-3.03	-2.782	-2.754	-1.014	-3.362	-3.505	-1.058	-0.391	-3.907	-1.842	-2.218	-2.606	-3.27	-1.985	-0.284	-0.39	0.074	-0.273	-1.963	-2.403	0.022	0.99	1.018	0.934	-2.148	0.481	-3.4165	0.321	0.384	-2.641	-4.277	-3.397	-4.06	-3.676	-2.806	-2.821	0.178
"YIR039C"	3.633	3.4175	3.2675	1.529	1.164	2.848	3.293	3.373	-1.047	2.068	1.331	4.648	3.836	3.921	1.409	0.778	1.581	1.932	1.122	0.63	3.871	2.453	1.744	1.941	2.212	2.498	0.721	0.434	-0.04	0.89	1.293	1.287	0.642	-1.155	-0.706	-0.951	1.735	0.515	3.736	0.753	0.463	2.835	2.417	2.921	4.051	2.778	2.53	3.2	2.152
"YJL177W"	-2.0	NaN	-2.4035	-0.9285	-0.7205	-2.211	-3.2765	-3.7865	0.763	-1.371	-0.963	-4.132	-3.846	-3.2	-2.648	-1.502	-3.409	-3.772	-1.528	-0.333	-5.074	-2.17	-2.525	-2.421	-2.278	-2.013	-0.142	-0.339	0.352	-0.224	-2.129	-2.455	-0.517	1.053	0.641	0.598	-2.196	0.135	-3.293	0.761	0.479	-2.626	-4.72	-4.004	-4.54	-4.115	-3.056	-3.266	0.099
"YJR123W"	-1.798	-2.13	-2.5565	-1.3045	-1.272	-1.912	-3.5655	-4.258	0.24	-1.317	-1.214	-3.844	-3.276	-3.279	-2.017	-1.138	-3.809	-3.529	-1.229	0.146	-4.282	-2.083	-2.391	-2.635	-3.543	-2.097	-0.387	-0.629	0.301	-0.382	-2.264	-2.373	-0.181	1.02	0.695	0.935	-2.04	0.27	-3.445	0.739	0.421	-2.744	-4.305	-3.113	-3.711	-4.025	-2.566	-3.587	0.163
"YKL099C"	-4.464	-4.014	-3.88	-0.851	-0.266	-2.796	-3.564	-3.037	0.577	-1.846	-1.081	-4.145	-2.015	-2.146	-2.489	-0.421	-2.585	-1.842	-1.695	0.174	-3.26	-1.746	-1.419	-1.618	-3.165	-0.703	-0.049	0.343	-0.089	-0.862	-2.597	-2.54	0.098	0.697	0.971	0.364	-1.348	-0.15	-3.926	0.041	-0.092	NaN	-1.88	-1.394	-3.486	-1.59	-1.288	-0.837	0.497
"YKR024C"	-3.382	-3.249	-3.489	-0.875	-0.664	-2.212	-3.285	-2.848	0.327	-1.873	-1.588	-4.227	-2.481	-2.732	-2.358	-0.47	-2.262	-2.227	-2.048	0.162	-2.134	-1.226	-0.372	-0.479	-0.863	-0.95	0.114	0.117	-0.147	-0.932	-2.204	-1.791	0.313	-0.447	0.319	0.147	-1.06	0.035	-3.49	0.156	-0.157	-1.518	-1.543	-0.879	-2.389	-1.827	-1.385	-1.426	-0.08
"YLL045C"	-1.746	-2.108	-2.105	-0.338	-0.361	-2.319	-3.116	-3.722	0.434	-1.25	-0.851	-3.851	-3.176	-2.506	-2.711	-0.863	-3.169	-3.335	-1.026	0.058	-3.66	-2.096	-2.604	-2.495	-3.021	-2.692	-0.098	-0.117	-0.056	0.136	-2.243	-1.924	0.038	1.356	0.864	0.857	-1.957	0.092	-3.545	0.905	0.261	-2.751	-3.449	-2.833	-3.788	-3.87	-2.635	-2.362	0.187
"YLR002C"	-4.273	-2.83	-3.029	-0.566	-0.261	-2.585	-3.425	-2.737	-0.13	-1.647	-1.397	-3.541	-1.701	-1.693	-1.928	-0.479	-2.611	-1.589	-1.19	-0.306	-2.747	-1.603	-1.661	-1.599	-3.265	-1.408	0.033	0.32	-0.324	-0.544	-2.016	-0.819	0.136	0.835	0.405	-0.058	-1.162	-0.255	-4.018	-0.072	-0.083	-2.317	-1.828	-1.445	-2.422	-2.55	-1.453	-0.718	0.395
"YLR003C"	-3.442	-2.921	-2.957	-0.762	-0.282	-2.644	-3.201	-3.212	0.406	-1.657	-1.142	-3.378	-2.664	-2.083	-1.976	-0.356	-2.206	-1.397	-1.539	-0.02	-3.393	-1.951	-1.333	-1.316	-3.316	-1.099	-0.139	0.234	0.212	-0.729	-1.985	-1.946	0.081	0.585	0.357	-0.145	-1.447	-0.099	-3.305	0.334	0.1	-2.573	-2.516	-1.754	-3.839	-2.794	-1.764	-0.815	0.205
"YLR048W"	-1.866	-1.381	-2.382	-0.993	-0.842	-2.16	-2.988	-4.313	0.574	-1.497	-1.264	-4.075	-2.679	-2.64	-2.627	-1.191	-3.296	-3.55	-1.452	0.102	-5.136	-2.08	-2.645	-2.575	-2.17	-2.181	-0.205	-0.441	0.123	-0.235	-2.071	-2.216	0.035	1.014	0.919	0.476	-1.94	0.323	-3.563	-0.128	0.268	-3.068	-4.39	-3.403	-4.032	-3.798	-2.576	-3.432	-0.08
"YLR222C"	-6.055	-4.536	-4.292	-0.763	-0.731	-2.648	-4.709	-3.682	0.113	-1.507	-1.2	-4.423	-1.933	-1.902	-2.391	-0.385	-2.384	-2.21	-1.351	0.461	-3.785	-1.613	-2.036	-2.29	-2.929	-1.223	0.267	0.333	-0.136	-0.531	-1.949	-1.55	0.135	0.485	0.823	0.412	-1.358	-0.107	-4.667	-0.422	0.056	-1.806	0.423	-1.501	-1.727	-1.391	-1.453	-0.719	-0.002
"YLR441C"	-1.911	-2.1	-1.733	-0.402	-0.194	-2.436	-3.181	-3.61	0.717	-1.457	-1.214	NaN	-3.118	-6.259	-1.982	-1.631	-3.365	-4.013	-0.983	-0.285	-5.658	-2.294	-2.747	-3.345	-3.986	-1.795	-0.117	-0.177	0.402	0.089	-2.771	-2.857	-0.38	1.297	0.775	0.943	-2.021	-0.134	-3.408	0.272	0.35	-2.634	-4.558	-3.19	-3.957	-3.819	-2.681	-2.638	0.705
"YLR448W"	-1.853	-1.909	-2.009	-0.716	-0.495	-1.814	-2.821	-3.482	0.55	-1.324	-0.848	-4.815	-3.882	-3.116	-2.157	-0.947	-3.425	-3.454	-1.699	-0.482	-4.891	-2.352	-2.521	-2.621	-3.192	-1.818	-0.074	-0.19	0.184	-0.141	-1.987	-1.972	-0.451	1.0	0.674	0.323	-2.034	0.363	-2.983	0.4	0.318	-2.6	-4.85	-3.788	-4.791	-4.505	-3.161	-3.636	0.251
"YML026C"	-1.59	-1.488	-2.104	-0.668	-0.582	-1.803	-3.139	-3.539	-0.399	-1.245	-1.184	-3.811	-3.779	-3.236	-2.504	-1.498	-3.779	-3.636	-0.996	0.12	-3.572	-2.525	-2.873	-2.821	-2.803	NaN	-0.141	-0.094	0.137	0.104	-2.403	-1.891	-0.21	1.005	0.927	0.1	-2.254	-0.126	-3.032	0.373	0.318	-2.416	-4.522	-3.396	-4.595	-3.765	-2.94	-3.307	0.177
"YML063W"	-2.023	-1.693	-1.871	-0.513	-0.227	-2.086	-3.191	-3.74	0.237	-1.377	-1.118	-4.408	-3.73	-3.027	-2.243	-1.224	-3.657	-3.146	-0.909	0.046	-5.57	-2.159	-2.658	-2.875	-3.364	-2.032	-0.165	-0.098	0.129	0.281	-2.549	-2.354	-0.103	0.959	1.033	0.737	-2.152	-0.148	-3.158	0.249	0.231	-2.792	-4.819	-3.531	-4.008	-3.578	-2.829	-3.392	0.397
"YML073C"	-2.182	-2.215	-2.294	-1.177	-0.931	-2.106	-3.093	-3.742	0.187	-1.098	-0.875	0.912	-3.01	-3.061	-2.298	-1.28	-3.5	-3.371	-1.614	-0.338	-4.919	-2.471	-2.561	-2.549	-2.624	NaN	-0.173	-0.111	-0.28	0.058	-1.591	-1.722	-0.04	1.37	0.643	0.837	-2.025	0.448	-3.187	0.295	0.266	-2.475	-2.783	-3.737	-3.765	-3.151	-2.415	-2.901	0.314
"YMR131C"	-4.819	-4.67	-4.183	-1.0	-0.71	-3.849	-4.525	-4.347	0.435	-1.713	-1.034	-5.631	-3.641	-3.811	-3.153	-0.65	-3.547	-2.98	-1.814	0.207	-4.277	-2.776	-2.829	-3.214	-5.241	-2.274	0.26	0.899	-0.17	-0.193	-3.012	-2.522	-0.274	0.791	0.774	0.656	-1.718	-0.13	-4.674	-0.012	-0.051	-3.866	-1.412	-2.944	-4.181	-2.68	-1.908	-2.616	0.074
"YMR142C"	-2.549	-1.512	-1.964	-0.667	0.051	-2.064	-3.395	-3.688	-0.314	-1.111	-0.913	-3.579	-3.719	-3.19	-2.458	-1.636	-3.048	-3.849	-1.284	0.442	-4.4	-2.393	-2.974	-2.468	-3.415	NaN	-0.096	0.042	0.076	0.222	-2.156	-2.0	-0.053	0.653	0.985	0.175	-2.075	-0.098	-3.22	0.304	0.292	-2.173	-4.355	-3.347	-4.039	-3.538	-3.031	-3.042	0.177
"YMR242C"	-2.278	-2.248	-2.539	-1.079	-0.796	-1.639	-3.309	-3.708	0.8	-1.353	-1.006	-4.702	-3.631	-3.819	-2.432	-1.253	-3.832	-4.338	-1.16	0.022	-4.84	-2.479	-2.59	-3.004	-3.133	-1.611	-0.295	-0.482	0.19	-0.416	-2.598	-2.755	-0.495	0.993	0.76	1.079	-2.26	-0.014	-3.054	0.697	0.543	-2.43	-4.158	-3.141	-4.607	-3.588	-2.771	-3.856	0.177
"YMR290C"	-3.64	-3.112	-3.689	-0.988	-1.127	-2.957	-3.89	-3.624	0.433	-1.911	-1.252	-5.132	-3.842	-3.455	-3.458	-0.68	-3.243	-3.378	-1.734	0.246	-4.614	-3.037	-3.295	-3.716	-3.665	-2.712	-0.043	0.031	-0.189	-0.472	-2.885	-2.648	0.417	0.92	1.215	0.354	-1.853	0.148	-4.129	0.254	0.202	-4.343	-4.028	-3.856	-4.544	-3.558	-3.243	-3.217	0.009
"YNL002C"	-4.666	-4.12	-4.07	-0.971	-0.611	-3.305	-4.559	-4.222	0.389	-1.766	-1.16	-5.196	-2.914	-2.785	-2.839	-0.578	-3.072	-2.59	-1.731	-0.547	-3.426	-2.209	-1.856	-2.186	-2.592	-2.007	-0.143	0.287	-0.226	-0.524	-2.774	-2.843	-0.012	0.991	0.91	0.378	-1.453	0.103	-4.603	0.081	-0.207	-3.481	-2.92	-2.649	-4.466	-2.41	-2.181	-2.211	0.303
"YNL061W"	-4.928	-4.17	-3.927	-0.686	-0.819	-4.143	-4.404	-3.948	0.451	-1.799	-1.163	-4.329	-2.031	-1.794	-2.724	-0.228	-2.519	-2.417	-2.061	-0.114	-3.268	-1.421	-1.555	-1.548	-1.357	0.404	0.173	0.303	-0.213	-0.494	-2.599	-2.111	0.649	0.911	0.823	0.101	-1.224	-0.024	-5.38	-0.086	-0.257	-3.925	-2.055	-1.808	-2.571	-1.387	-1.085	-1.055	0.145
"YNL096C"	-1.989	-1.724	-2.093	-1.02	-0.855	-1.957	-2.881	-3.202	0.13	-0.997	-0.833	-4.113	-3.765	-3.642	-2.454	-0.912	-3.331	-3.045	-0.666	-0.535	-4.716	-2.906	-2.776	-3.041	-4.096	-2.19	-0.166	-0.09	0.169	-0.273	-2.046	-1.701	-0.304	0.9	0.736	0.453	-2.448	-0.115	-2.812	0.538	0.386	-2.02	-3.52	-2.764	-3.087	-3.372	-2.098	-2.779	0.165
"YNL174W"	-5.157	-5.094	-4.699	-1.107	-0.802	-4.233	-5.579	-4.714	0.25	-2.427	-1.752	-5.141	-3.51	-3.428	-3.149	-0.96	-2.319	-2.439	-2.558	-0.066	-4.372	-2.731	-2.682	-2.061	-3.229	-0.825	-0.351	-0.047	-0.103	-0.717	-2.4	-2.392	-0.632	0.87	0.978	0.048	-2.295	0.101	-5.426	0.107	-0.288	-3.76	-1.035	-2.624	-3.816	-2.839	-1.053	-2.153	0.094
"YNL175C"	-5.334	-4.914	-4.901	-0.991	-0.513	-4.11	-4.362	-3.931	-0.385	-2.284	-1.567	-4.877	-2.65	-2.975	-3.06	-0.893	-2.575	-2.601	-2.234	-0.215	-4.587	-2.405	-2.804	-2.484	-3.809	-2.292	-0.147	0.033	-0.542	-0.514	-0.83	-2.034	-0.371	1.161	1.074	0.609	-2.163	-0.232	-5.147	-0.058	-0.283	-2.388	-0.8535	-1.5355	-2.5475	-1.882	-1.502	-1.818	0.702
"YOR206W"	-5.087	-4.715	-3.702	-0.722	-0.555	-3.585	-5.083	-4.513	0.147	-1.859	-1.39	-5.827	-2.568	-2.0395	-2.919	-0.1925	-3.1625	-1.9445	-2.182	0.133	-3.888	-2.026	-2.451	-2.637	-3.692	-1.55	0.272	0.378	-0.152	-0.64	-3.65	-2.398	0.228	0.5695	0.9085	0.334	-1.716	0.2435	-5.066	0.207	0.154	-3.839	-3.193	-2.539	-4.817	-2.585	-1.507	-2.379	0.465
"YOR293W"	-2.282	-1.741	-2.435	-0.854	-0.6	-2.205	-3.618	-3.854	0.599	-1.323	-0.998	-4.155	-3.7615	-3.19	-2.907	-1.2955	-3.442	-3.1085	-1.137	-0.016	-4.233	-2.537	-2.533	-2.507	-2.041	-1.537	-0.097	-0.063	0.191	0.003	-2.613	-2.238	-0.6405	0.8495	0.63	0.774	-2.6075	-0.334	-3.151	0.535	0.339	-3.047	-3.53	-3.262	-3.853	-3.23	-2.89	-3.271	0.1
"YPL079W"	-2.261	-2.147	-2.597	-0.812	-0.89	-2.277	-3.115	-3.828	0.504	-1.193	-0.924	-4.616	-4.1965	-3.787	-2.527	-1.563	-3.085	-3.172	-1.021	-0.273	-4.735	-2.781	-2.741	-3.087	-3.498	-1.496	-0.011	0.022	0.143	0.019	-2.574	-2.209	-0.489	0.9955	0.555	0.9105	-2.1725	0.227	-3.135	0.519	0.472	-1.936	-2.865	-2.753	-3.573	-3.431	-2.725	-2.785	0.111
"YPL090C"	-2.294	-1.862	-2.09	-0.769	-0.358	-2.497	-3.529	-3.965	0.086	-1.4	-0.979	-3.9615	-3.256	-2.7785	-2.01	-1.263	-3.398	-3.223	-1.515	0.379	-5.307	-2.412	-2.833	-2.954	-3.309	-1.174	-0.113	-0.095	-0.062	0.276	-2.805	-1.985	-0.304	1.158	0.898	0.804	-2.16	-0.0745	-3.272	0.768	0.358	-2.536	-4.244	-3.265	-4.101	-3.571	-2.951	-2.658	0.215
