	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"34368.batch 02X25 7"
"YFL002C"	-1.624	-4.836	-0.72	-0.853	-1.171	-1.723	-2.131	-0.736
"YFR002W"	-1.995	-7.825	-0.818	-0.976	-1.556	-2.295	-2.746	-0.728
"YFR009W"	-3.004	-4.932	-1.586	-1.585	-3.291	-3.978	-4.281	-0.623
"YGL027C"	-2.354	-4.731	-1.122	-1.538	-2.105	-2.719	-3.083	-0.698
"YGL049C"	-2.05	-4.12	-1.033	-1.097	-1.692	-1.763	-2.23	-0.767
"YGL115W"	-1.41	-3.416	0.284	-0.868	-1.21	-1.389	-1.566	-0.237
"YGL120C"	-4.088	-5.111	-1.739	-2.813	-2.866	-3.888	-4.137	-2.199
"YGL231C"	-1.893	-3.788	-0.85	-1.026	-1.455	-1.7	-1.822	-0.068
"YGL245W"	-4.799	-6.655	-1.699	-2.088	-3.552	-4.345	-4.779	-0.726
"YGR081C"	-1.378	-3.491	-0.735	-0.871	-1.742	-1.806	-2.296	-0.346
"YGR085C"	-3.406	-6.059	-3.013	-2.215	-3.306	-3.54	-4.179	-2.491
"YGR185C"	-5.306	-6.361	-2.6	-2.266	-4.576	-4.871	-5.006	-0.749
"YGR195W"	-2.179	-3.999	-0.971	-1.268	-1.872	-1.878	-1.911	-0.204
"YGR229C"	-2.847	-4.256	-1.987	-1.316	-2.401	-2.58	-3.391	-1.084
"YHL003C"	-2.186	-3.084	-1.135	-1.164	-1.585	-1.707	-1.741	-0.7
"YHR063C"	-3.309	-4.42	-0.927	-0.253	-2.162	-3.419	-3.036	-0.827
"YHR098C"	-2.065	-3.065	-1.159	-1.2865	-1.917	-1.925	-2.553	-0.603
"YHR121W"	-1.976	-4.718	-0.94	-0.899	-1.573	-1.881	-1.852	-0.417
"YHR129C"	-1.396	-2.678	-0.85	-0.898	-1.528	-1.313	-1.867	-0.167
"YIL021W"	-1.965	-3.289	-0.937	-0.841	-1.2	-1.693	-1.565	-0.843
"YIL110W"	-2.455	-3.072	-1.042	-1.689	-1.775	-2.473	-2.492	-1.074
"YJL014W"	-2.624	-3.962	-1.425	-1.317	-2.252	-3.068	-2.866	-0.401
"YJL073W"	-1.884	-3.2645	-1.004	-0.94	-1.2855	-1.7505	-1.523	-0.583
"YJL145W"	-2.136	-3.628	-1.336	-1.747	-2.303	-2.334	-2.853	-1.119
"YJL167W"	-2.323	-7.538	-1.667	-1.699	-2.066	-2.855	-2.924	-0.801
"YJL176C"	-1.496	-3.318	-0.305	-0.084	-1.533	-1.728	-1.645	0.163
"YJR007W"	-3.21	-8.057	-1.824	-1.91	-2.909	-3.009	-3.616	-0.994
"YJR043C"	-2.002	-2.641	-0.83	-1.083	-1.699	-2.504	-2.339	-0.811
"YJR139C"	-2.333	-4.462	-1.32	-1.529	-1.914	-2.388	-2.051	-0.039
"YKL122C"	-2.027	-4.576	-1.249	-1.64	-2.178	-2.544	-2.706	-0.471
"YKL172W"	-2.813	-5.305	-1.964	-1.426	-2.271	-2.723	-3.135	-0.609
"YKL212W"	-3.014	-4.806	-1.651	-1.64	-2.516	-2.929	-3.374	-0.866
"YKR001C"	-2.222	-5.109	-0.213	-0.344	-2.374	-2.626	-3.069	-0.05
"YKR003W"	-2.549	-5.089	-0.352	-0.268	-1.246	-1.672	-1.612	0.644
"YKR016W"	-1.418	-3.229	0.893	0.919	-1.089	-1.107	-1.686	0.034
"YKR026C"	-2.863	-3.755	-1.657	-1.681	-1.858	-2.363	-2.231	-0.971
"YKR056W"	-3.298	-4.34	-1.061	-1.63	-2.627	-3.787	-3.544	-0.758
"YKR059W"	-2.817	-4.998	-2.531	-2.238	-2.623	-2.96	-3.568	-1.931
"YLL024C"	-2.574	-5.009	-1.621	-1.443	-2.804	-3.024	-3.122	-0.667
"YLR056W"	-3.197	-3.977	-1.625	-1.158	-2.642	-2.935	-3.507	-0.427
"YLR061W"	-4.939	-6.591	-3.021	-3.058	-3.309	-3.833	-3.91	-2.108
"YLR100W"	-2.507	-4.853	-1.268	-1.167	-1.855	-2.159	-2.128	-0.008
"YLR101C"	-2.239	-3.161	-0.811	-1.629	-1.911	-2.069	-2.518	-0.124
"YLR188W"	-1.732	-2.848	-0.361	-0.196	-0.637	-1.07	-1.029	0.053
"YLR249W"	-4.146	-6.742	-3.557	-3.199	-3.883	-4.549	-4.992	-2.956
"YLR418C"	-1.172	-2.673	-0.452	-0.818	-1.243	-1.238	-1.829	-0.275
"YLR421C"	-0.74	-1.832	-0.461	-0.593	-0.63	-0.763	-0.823	0.334
"YML028W"	-3.312	-5.853	-1.366	-1.012	-1.597	-2.448	-2.489	0.097
"YML074C"	-2.837	-5.319	-1.664	-0.962	-2.826	-3.214	-3.466	-0.436
"YMR010W"	-1.643	-4.183	-0.737	-1.134	-1.189	-1.308	-1.893	-0.341
"YMR049C"	-4.225	-9.471	-2.163	-2.152	-3.3	-3.396	-4.217	-1.377
"YMR091C"	-1.458	-4.005	-1.052	-1.247	-1.396	-2.09	-2.24	-0.491
"YMR235C"	-3.534	-5.187	-1.879	-2.052	-2.838	-3.21	-3.756	-0.608
"YNL022C"	-1.611	-3.745	-1.173	-0.736	-1.606	-2.3	-2.325	-0.296
"YNL026W"	-1.792	-4.57	-0.633	-1.031	-1.742	-1.531	-1.966	0.019
"YNL059C"	-1.821	-3.096	-0.593	-0.378	-1.895	-2.027	-2.028	0.099
"YNL096C"	-4.038	-6.106	-2.761	-3.165	-3.644	-4.096	-4.68	-2.343
"YNL189W"	-2.367	-4.06	-1.183	-1.19	-2.058	-2.641	-3.084	-0.331
"YNL227C"	-1.51	-3.134	-0.931	-0.723	-1.403	-2.085	-1.89	0.292
"YNL254C"	-1.344	-2.788	0.083	-0.101	-0.777	-0.954	NaN	-0.239
"YNL297C"	-1.872	-3.457	0.1	-0.393	-1.545	-2.132	-2.222	-0.217
"YNR043W"	-2.934	-5.1565	-1.949	-1.8335	-2.655	-3.803	-3.856	-0.943
"YOL077C"	-3.02	-6.552	-2.917	-1.374	-3.299	-3.894	-4.326	-1.94
"YOR160W"	-2.6045	-4.2525	-0.599	-0.2445	-0.963	-1.386	-1.38	0.195
"YOR188W"	-1.4685	-3.8385	-0.9695	-0.6955	-1.695	-1.73	-2.104	-0.691
"YOR197W"	-1.971	-3.178	-0.7485	-0.8695	-1.165	-1.398	-1.64	0.377
"YOR209C"	-2.998	-6.004	-1.647	-1.516	-1.897	-2.681	-2.954	-1.105
"YOR239W"	-3.232	-5.0985	-1.633	-1.8425	-3.149	-3.934	-3.704	-0.525
"YOR270C"	-1.649	-4.932	-1.5115	-1.114	-1.912	-2.307	-2.635	0.209
"YOR272W"	-3.353	-4.712	-1.779	-1.376	-3.017	-3.307	-4.52	-1.167
"YOR280C"	-1.883	-4.249	-0.4395	-0.7295	-1.197	-1.828	-1.95	0.029
"YOR320C"	-1.2535	-3.6785	-1.051	-0.8435	-1.291	-1.454	-1.828	-0.088
"YOR323C"	-4.2845	-6.434	-2.106	-2.053	-2.742	-3.497	-3.428	-0.144
"YPL001W"	-1.671	-4.084	-0.654	-0.8085	-1.427	-1.38	-1.844	-0.372
"YPL094C"	-3.0415	-5.3055	-1.6665	-1.6385	-2.024	-2.284	-2.741	-0.479
"YPL158C"	-1.597	-3.676	-1.1435	-1.052	-1.362	-2.019	-1.818	0.308
"YPL239W"	-1.915	-3.907	-0.8005	-0.7085	-1.503	-2.384	-2.259	-0.507
"YPL263C"	-1.689	-4.9735	-1.281	-1.18966666666667	-1.742	-2.0455	-1.8115	-0.6705
"YPR033C"	-4.8805	-7.94	-2.759	-2.6225	-3.951	-4.382	-4.54	-1.289
"YPR108W"	-2.0125	-4.645	-1.428	-1.6305	-2.383	-3.07	-2.669	-0.056
"YPR118W"	-3.9965	-5.524	-2.305	-2.577	-2.882	-3.334	-3.538	-0.618
"YPR124W"	-1.3955	-3.1905	0.91	0.876	-1.235	-1.329	-1.857	0.047
"YPR171W"	-1.793	-3.482	-0.1795	-0.114	-0.443	-1.057	-0.965	-0.226
