	"497.Heat Shock 000 minutes"	"598.29 deg growth"	"684.YP fructose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"2064.Hypo-osmotic shock - 5 min"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"13065.Na/Na+FK 30min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32624.S1Comp 07 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32626.S1Comp 08 hr 55 min Sulfate Batch vs Chemostat Comparison"	"33361.delKin82(DBY10089) vs. wt (DBY8778)"	"34357.batch 02X25 1"	"34872.S4Comp 05 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34874.S4Comp 06 hr 05 min Sulfate Batch vs Chemostat Comparison (rescan)"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"42062.U3Comp 10 hr 08 min Uracil Batch vs Chemostat Comparison"	"42063.U3Comp 11 hr 10 min Uracil Batch vs Chemostat Comparison"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"	"42225.U2 Comp 09 hr 12 min Uracil Batch vs Chemostat Comparison"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YDR064W"	1.178	0.244	0.848	0.993	1.04	1.206	0.48	0.264	0.231	1.895	0.124	0.194	0.329	0.396	-0.36	0.075	0.886	0.928	1.01	1.306	0.526	1.003	0.794	0.5	0.6125	0.826	0.439	0.4715	0.3675	0.67	0.4945	0.6645	0.914	0.9075	1.444	1.418	1.187	0.015	1.949	1.476	0.535	0.542	1.366	2.217	2.722	2.031	2.514	2.945	1.143	0.046	0.562	0.235	0.606	0.641	1.05	0.64
"YDR418W"	1.215	0.291	0.835	1.21	1.134	2.098	0.382	0.543	0.066	2.482	0.106	0.334	0.438	0.545	0.253	0.441	0.998	0.679	1.744	1.436	0.545	1.111	0.829	0.712	0.927	0.874	0.47	0.558	0.222	0.796	0.584	0.67	0.861	1.354	1.658	1.894	1.103	1.042	1.576	1.13	0.466	0.509	0.871	0.849	2.312	1.771	1.739	0.693	0.613	0.096	0.281	1.561	1.722	1.273	1.259	1.272
"YER102W"	1.351	0.447	0.477	1.084	1.107	2.757	0.611	0.673	0.339	2.71	0.183	0.141	0.413	0.338	0.299	0.4	1.003	0.481	1.491	1.368	0.546	1.012	0.728	0.65	0.789	0.7	0.342	0.118	0.049	0.576	0.329	0.77	0.604	1.054	2.048	1.499	0.78	1.149	1.957	1.424	0.482	0.661	0.55	2.208	2.134	2.142	1.471	0.895	0.559	0.456	0.606	1.465	1.803	1.792	2.192	1.791
"YER131W"	1.224	0.505	0.591	1.29	1.25	2.084	0.687	0.564	0.233	2.33	0.309	0.465	0.521	0.469	0.487	0.586	0.975	0.501	1.781	1.329	0.715	1.014	1.42	0.819	0.701	0.9415	0.4895	0.266	0.2475	1.2575	0.4395	0.976	0.977	1.1975	1.964	1.619	0.579	0.822	1.696	0.859	0.363	0.537	0.789	2.56	2.555	3.292	1.999	1.87	1.652	0.297	0.587	0.905	1.066	1.137	0.979	1.136
"YFR031BC"	1.232	0.193	0.675	1.306	0.846	2.878	0.809	0.448	0.234	2.869	0.194	0.079	0.425	0.366	-0.05	0.135	0.823	0.909	1.634	1.315	0.526	0.924	0.587	0.394	0.669	0.691	0.697	0.379	0.165	1.236	0.542	0.578	0.703	1.005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.033	2.715	2.236	2.984	2.315	1.983	1.944	0.114	0.365	1.25	1.639	1.541	1.791	1.54
"YGL030W"	1.262	0.358	0.922	1.167	1.037	1.208	0.268	0.274	0.056	1.403	0.083	0.262	0.321	0.348	-0.101	0.367	0.775	0.938	1.337	1.572	0.566	1.163	0.888	0.479	0.6475	0.91	0.3545	0.271	0.242	0.7145	0.4565	0.8135	0.897	0.912333333333333	NaN	1.307	1.46	0.641	1.871	1.337	0.684	0.646	1.372	2.463	1.928	2.719	1.605	2.154	1.797	0.102	0.396	0.919	1.166	1.198	1.165	1.197
"YGL031C"	1.133	0.339	0.371	1.047	1.003	2.221	0.235	0.653	0.193	2.166	0.159	0.16	0.343	0.476	0.114	0.301	0.717	0.678	1.492	1.123	0.354	0.979	0.769	0.487	0.461	0.76	0.28	0.077	-0.045	1.167	0.237	1.047	0.709	1.103	2.64	2.129	1.087	1.023	1.776	1.385	0.609	0.572	1.207	2.366	2.388	1.907	1.526	1.497	0.829	0.048	0.64	1.3	1.41	1.434	1.668	1.433
"YGL076C"	1.317	0.222	0.804	1.147	1.006	2.346	0.602	0.398	0.185	2.882	0.36	0.375	0.661	0.609	-0.016	0.444	1.071	0.8	1.549	1.454	0.425	1.119	0.934	0.642	0.903	0.761	0.2475	0.308	0.216	0.6395	0.4065	0.624	0.7725	0.989666666666667	2.786	1.947	0.395	0.692	1.591	1.714	0.159	0.212	0.815	2.073	1.928	2.439	1.841	1.727	1.43	-0.027	0.197	1.232	1.139	1.352	1.414	1.351
"YGL102C"	1.138	0.434	0.748	1.09	0.982	1.605	0.498	0.672	0.042	1.606	0.047	0.227	0.255	0.167	0.231	0.656	0.511	0.437	1.818	1.179	0.568	1.168	0.956	0.6	0.699	1.117	0.456	0.432	0.266	0.555	0.546	0.498	0.812	0.7945	1.402	0.527	0.931	0.719	0.688	1.757	0.647	0.726	0.845	2.568	1.769	2.139	1.436	1.96	1.512	0.081	0.54	1.274	1.547	1.585	2.094	1.584
"YGL103W"	1.058	0.341	0.345	1.082	0.935	1.619	0.365	0.655	-0.118	1.398	-0.12	-0.008	0.034	0.053	0.039	0.094	0.562	0.173	1.32	0.885	0.383	1.053	0.715	0.553	0.774666666666667	0.936333333333333	0.479666666666667	0.451	0.296666666666667	0.416333333333333	0.509333333333333	0.724	0.729	0.7075	0.074	0.257	1.264	0.822	1.0	0.487	0.442	0.561	1.087	2.247	1.782	2.365	1.894	1.28	1.186	-0.128	0.519	1.076	1.158	1.182	1.388	1.181
"YGL123W"	1.27	0.321	0.44	1.264	1.189	2.601	0.495	0.709	-0.028	2.365	0.164	0.195	0.386	0.464	0.027	0.346	1.082	0.577	2.379	1.558	0.538	1.022	0.834	0.521	0.634	0.792	0.496	0.356	0.221	0.982	0.429	0.721	0.775	1.2125	1.628	1.591	1.076	1.037	1.729	1.622	0.588	0.465	0.837	1.972	1.964	1.446	2.245	1.315	0.748	0.217	0.374	1.486	1.831	1.768	2.135	1.767
"YGL147C"	1.427	0.275	0.589	1.186	1.241	3.056	0.506	0.688	0.06	2.757	0.127	0.236	0.337	0.323	0.326	0.446	0.815	0.572	1.579	1.209	0.568	1.176	0.692	1.059	0.91	1.022	0.57	0.097	-0.08	0.915	0.415	0.955	0.999	1.455	1.758	1.517	1.023	0.756	1.8865	1.8215	0.3095	0.169	1.053	1.171	1.2675	1.336	0.8455	1.4795	0.875	-0.013	0.4015	2.3065	2.4655	2.542	2.6695	2.541
"YGR027C"	1.159	0.387	0.613	1.017	0.858	1.564	0.559	0.821	0.035	1.487	0.196	0.399	0.467	0.315	0.238	0.602	0.81	0.453	1.42	1.221	0.494	1.142	1.471	1.13	0.796	0.938	0.71	0.313	0.128	0.621	0.355	0.628	0.465	0.8695	1.397	1.367	1.51	0.732	1.805	1.582	0.849	0.65	0.729	1.753	2.438	2.535	1.507	1.936	1.548	0.244	0.432	1.12	1.611	1.491	1.652	1.49
"YGR034W"	1.076	0.294	0.413	1.008	1.165	1.368	0.301	0.634	-0.124	1.181	0.014	0.087	0.14	0.207	0.049	0.111	0.814	0.777	1.731	1.35	0.369	0.89	0.827	0.229	0.347	0.656	0.246	0.213	0.223	0.825	0.145	0.541	0.619	0.6685	1.68	1.806	1.175	0.488	1.816	0.878	0.916	0.724	0.934	1.913	2.19	1.568	1.566	1.753	1.869	0.074	0.316	1.618	1.792	1.66	1.757	1.659
"YGR118W"	1.216	0.419	0.604	0.973	0.996	1.94	0.472	0.621	0.152	1.925	0.105	0.288	0.416	0.261	0.229	0.344	1.028	0.856	1.579	1.157	0.476	1.028	1.156	1.123	0.628	0.7885	0.261	0.227	0.1355	0.7	0.346	0.6025	0.5595	1.151	2.036	1.807	1.498	0.583	1.667	1.089	0.599	0.772	1.151	1.626	2.299	1.249	1.895	1.633	1.947	0.202	0.356	1.284	1.251	1.348	1.64	1.347
"YGR148C"	1.076	0.259	0.28	0.859	0.933	2.343	0.37	0.638	0.157	2.221	0.187	0.203	0.399	0.476	0.022	0.186	0.661	0.798	1.279	1.095	0.436	0.917	0.713	0.778	0.5395	0.778	0.214	0.2355	0.107	0.6945	0.098	0.7245	0.47	1.0645	2.432	2.219	0.764	0.698	1.705	1.099	0.646	0.576	0.951	1.999	2.006	2.162	1.846	1.511	1.095	-0.094	0.561	0.956	0.957	1.104	1.669	1.103
"YGR214W"	1.051	0.176	0.318	0.967	0.903	2.433	0.47	0.468	-0.054	2.471	0.209	0.296	0.508	0.448	0.128	0.13	0.94	0.622	1.223	1.316	0.266	1.082	0.825	0.484	0.729	0.44	0.266	0.247	0.26	0.56	0.243	0.283	0.45	0.904	1.603	1.872	1.408	0.3	1.586	1.76	0.585	0.523	1.083	2.685	2.445	2.247	0.768	2.361	2.596	0.103	0.314	1.337	1.824	1.504	1.725	1.503
"YHL033C"	1.291	0.416	0.732	1.299	1.093	2.169	0.613	0.558	-0.285	2.175	0.224	0.418	0.537	0.527	0.08	0.417	1.103	0.876	1.619	1.319	0.72	1.166	0.901	0.631	0.568	0.531	-0.078	0.261	0.139	0.514	0.209	0.371	0.49	1.649	1.465	1.647	0.457	0.755	1.643	0.886	0.652	0.485	1.086	2.37	2.511	2.362	0.957	1.796	1.767	0.102	0.452	1.482	1.446	1.327	1.36	1.326
"YHR010W"	1.491	0.262	0.587	1.068	0.826	1.923	0.498	0.753	0.287	2.096	0.127	-0.209	0.183	0.332	-0.034	0.15	0.943	0.749	1.55	1.153	0.394	1.103	0.843	0.771	0.632	0.888	0.242	0.285	0.061	0.777	0.41	0.585	0.615	0.91	1.561	2.103	1.121	0.627	1.538	1.139	0.768	0.792	0.879	2.706	2.066	1.793	1.458	1.379	1.393	-0.11	0.707	1.488	1.531	1.64	1.919	1.639
"YHR021C"	1.113	0.248	0.737	0.8	0.762	1.193	0.379	0.491	0.229	1.443	-0.054	0.018	0.661	0.253	0.189	0.07	0.938	0.554	1.139	1.069	0.313	0.702	0.776	0.463	0.729	0.807	0.136	0.476	0.188	0.608	0.252	0.439	0.521	0.62	1.216	1.399	1.658	0.535	1.598	0.739	0.914	0.77	0.701	2.497	1.957	1.5	0.653	1.986	0.945	-0.232	0.742	1.227	1.455	1.504	1.409	1.503
"YHR089C"	1.373	0.393	0.603	1.353	1.252	1.456	-0.112	-0.046	-0.533	1.687	-0.025	0.647	0.276	0.081	-0.45	-0.122	1.837	2.177	1.219	1.845	0.518	0.664	0.917	0.33	0.894	0.858	-0.072	-0.239	-0.196	0.354	0.017	0.509	0.745	0.519	0.817	0.665	0.803	0.339	1.173	1.611	0.187	0.765	-0.188	2.266	2.007	1.405	1.744	1.422	1.035	-0.273	0.418	2.856	2.022	1.924	1.932	1.923
"YHR141C"	1.024	0.515	0.957	1.451	0.967	1.113	0.641	1.101	-0.685	0.704	0.308	0.264	0.616	0.531	0.039	0.36	0.964	0.775	1.434	1.193	0.721	1.336	1.096	1.143	0.868	0.937	0.171	0.355	0.273	0.95	0.367	0.764	0.752	0.61	1.584	1.156	1.381	0.759	1.586	1.146	1.028	0.857	0.878	2.001	2.098	1.616	1.919	1.761	2.375	-0.148	0.935	1.423	1.603	1.636	1.503	1.635
"YHR203C"	1.231	0.133	0.555	1.011	0.884	2.714	0.32	0.587	0.172	2.739	0.117	0.138	0.323	0.318	0.264	0.398	1.242	0.597	2.0	1.286	0.246	0.703	0.756	0.586	0.651	0.706	0.261	0.281	0.125	0.615	0.258	0.508	0.677	1.151	0.765	0.908	0.617	0.635	1.552	0.671	0.56	0.497	0.998	2.11	2.246	1.79	1.532	0.99	0.906	-0.032	0.314	1.125	1.422	1.295	1.409	1.294
"YIL018W"	1.253	0.234	0.527	1.177	1.056	2.16	0.755	0.447	0.036	2.689	0.018	0.202	0.32	0.229	-0.233	0.156	0.649	0.831	1.312	1.332	0.582	0.99	1.018	0.934	0.579	0.718	0.293	0.288	0.203	0.613	0.384	0.669	0.695	0.847	0.092	0.827	1.14	0.374	0.818	0.641	0.802	0.674	0.72	1.412	2.172	1.173	0.761	1.552	1.889	0.211	0.426	1.416	1.83	1.737	2.013	1.736
"YIL133C"	1.02	0.26	0.535	0.983	0.899	2.261	0.428	0.405	-0.012	2.01	0.095	0.108	0.319	0.363	0.235	0.213	1.204	1.285	1.569	1.38	0.612	1.125	0.815	0.974	0.563	0.702	-0.01	0.228	0.045	0.638	0.353	0.843	0.621	1.057	1.577	1.623	0.863	0.493	1.383	0.456	0.458	0.439	1.278	2.371	2.48	2.667	1.931	1.907	1.73	0.026	0.355	0.802	1.127	1.164	1.191	1.163
"YJL177W"	1.302	0.311	0.52	1.042	0.893	2.613	0.545	0.61	0.319	2.74	0.173	0.202	0.394	0.367	0.25	0.292	1.029	0.852	1.507	1.267	0.365	1.053	0.641	0.598	0.728	0.694	0.154	0.336	0.2	0.947	0.479	0.413	0.689	1.39	1.059	0.834	0.427	0.899	1.009	0.689	0.586	0.504	0.471	1.798	2.365	1.95	1.564	1.005	0.798	0.211	0.336	1.023	1.102	1.112	1.471	1.111
"YJL190C"	1.36	0.504	1.055	1.453	1.126	2.636	0.515	0.699	-0.277	1.955	0.312	0.412	0.612	0.493	0.048	0.457	1.003	0.97	1.761	1.549	0.915	1.306	0.948	0.915	0.839	0.961	0.411	0.054	0.056	0.713	0.478	0.575	0.783	1.328	0.545	0.52	1.68	0.696	1.274	-0.004	0.641	0.593	0.941	2.013	2.303	1.92	2.08	1.186	1.623	0.321	0.754	2.24	2.404	2.38	2.606	2.379
"YJR123W"	1.3	0.235	0.423	1.246	1.081	2.779	0.321	0.788	0.177	2.581	0.171	0.133	0.357	0.4	0.56	0.345	1.136	0.755	1.916	1.517	0.329	1.02	0.695	0.935	0.789	0.801	0.467	0.319	0.286	0.901	0.421	0.444	0.616	1.079	0.903	0.909	1.412	1.017	0.659	1.609	0.391	0.291	0.902	1.93	2.383	2.53	1.396	1.977	1.523	0.091	0.303	1.667	1.862	1.73	1.95	1.729
"YJR145C"	1.17	0.282	0.549	1.341	0.963	2.605	0.392	0.622	0.142	2.789	0.189	0.054	0.365	0.336	0.381	0.232	1.202	0.668	1.834	1.194	0.494	1.013	0.57	0.403	0.805	0.866	0.479	0.331	0.295	0.818	0.514	0.311	0.639	1.168	1.052	1.977	0.894	0.957	1.06	1.381	0.61	0.573	0.469	1.942	2.165	2.098	1.052	1.653	1.0	-0.198	0.198	1.246	1.624	1.481	1.693	1.48
"YKL006W"	0.961	0.546	0.831	1.354	1.089	2.36	0.293	0.947	0.019	1.986	0.188	0.154	0.441	0.387	0.2	0.282	0.986	0.356	1.545	1.339	0.274	1.243	1.298	1.14	0.731	0.886	0.515	0.142	0.205	0.84	0.508	0.637	0.843	1.323	1.697	2.45	1.107	0.742	1.726	1.02	0.647	0.603	0.75	1.246	1.929	2.536	1.132	2.07	1.26	0.252	0.574	1.17	1.375	1.311	1.601	1.31
"YKR094C"	0.976	0.356	0.193	0.977	0.785	1.626	0.286	0.415	0.186	1.23	0.205	0.138	0.404	0.425	0.016	0.317	1.026	0.905	1.492	1.325	0.352	1.061	0.704	0.525	0.573	0.881	0.273	0.319	0.121	0.478	0.372	0.632	0.736	1.082	0.613	1.177	1.342	0.585	0.92	0.684	0.545	0.622	0.741	1.278	2.105	2.775	1.857	1.147	0.909	-0.052	0.434	1.048	1.157	1.157	1.257	1.156
"YLL044W"	1.121	0.218	0.452	1.115	1.006	2.306	0.51	0.501	-0.168	2.272	0.061	0.197	0.256	0.342	-0.086	0.24	0.996	0.87	1.189	1.265	0.324	1.065	0.984	0.838	0.842	0.762	0.184	0.177	0.218	0.903	0.229	0.8	0.44	1.653	1.199	0.339	0.503	0.919	0.404	1.018	0.595	0.521	0.839	1.688	2.004	1.912	1.217	1.089	1.221	-0.086	0.277	1.263	1.278	1.125	1.296	1.123
"YLR062C"	1.164	-0.017	0.974	1.05	1.07	1.963	0.667	0.55	0.127	2.319	0.306	0.224	0.518	0.507	0.023	0.516	0.842	0.812	1.506	1.269	0.189	1.124	0.823	0.537	0.77	0.798	0.484	0.365	0.14	0.751	0.437	0.611	0.956	1.178	1.34	1.678	0.795	0.622	1.753	1.148	0.558	0.577	1.485	2.296	2.025	2.99	1.984	1.13	0.68	0.056	0.242	0.945	0.894	1.068	1.135	1.067
"YLR264W"	0.631	0.228	0.897	0.922	0.819	1.822	0.234	0.813	0.01	1.55	0.317	0.385	0.441	0.631	-0.175	0.561	0.471	0.682	1.164	1.246	0.541	1.267	0.903	1.04	0.774	0.736	0.526	0.39	0.311	0.481	0.446	0.427	0.818	0.995	0.961	0.79	0.97	0.539	0.58	1.082	0.583	0.465	0.785	1.572	1.976	1.963	1.337	0.744	1.092	0.195	0.493	1.351	1.666	1.279	1.471	1.278
"YLR325C"	1.112	0.467	0.613	0.677	1.01	2.065	0.269	0.978	0.323	2.183	0.274	0.202	0.503	0.5	0.292	0.461	0.784	0.743	1.573	1.259	0.357	1.006	0.654	0.802	0.652	0.978	0.53	0.32	0.314	0.905	0.472	0.618	0.742	1.123	1.155	1.522	1.576	0.87	1.325	1.14	0.604	0.787	0.849	1.577	1.892	2.394	2.077	1.192	1.195	0.461	0.463	1.737	2.125	1.954	2.063	1.953
"YLR344W"	1.172	0.208	1.006	0.989	0.717	1.468	0.488	0.629	0.189	1.956	0.163	0.208	0.354	0.364	0.185	0.45	0.826	0.904	1.55	1.262	0.207	1.048	0.925	0.505	0.549	0.715	0.45	0.357	0.1	0.639	0.414	0.787	0.801	0.996	0.845	1.245	1.324	0.61	1.708	1.448	0.627	0.683	1.156	2.389	2.454	2.645	1.834	1.351	1.536	0.152	0.358	1.376	1.309	1.437	1.618	1.436
