	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YLR333C"	1.643	-3.011	-5.863	-2.939	-2.483	1.926
"YLR351C"	0.443	-2.285	-3.461	-0.929	-1.204	0.344
"YLR355C"	1.168	-5.125	-6.009	-2.705	-2.424	1.148
"YLR373C"	0.099	-1.399	-2.4195	-0.4985	-0.6395	-0.0605
"YLR388W"	1.261	-3.596	-5.506	-2.742	-2.362	1.216
"YLR429W"	0.255	-1.523	-2.959	-1.615	-1.45	0.411
"YML055W"	-0.67	-2.031	-2.858	-0.788	-1.027	-0.482
"YML064C"	1.091	-2.421	-3.73	-1.106	-1.274	0.509
"YML073C"	2.428	-3.862	-6.033	-3.087	-2.501	2.691
"YML105C"	0.015	-3.491	-5.249	-1.171	-1.701	0.501
"YMR079W"	0.665	-2.074	-3.648	-1.837	-1.777	0.952
"YMR205C"	0.051	-1.015	-4.53	-1.755	-1.654	0.594
"YMR229C"	0.5385	-4.4055	-5.288	-2.161	-2.184	1.3055
"YMR235C"	0.872	-3.534	-5.187	-1.879	-2.052	0.854
"YMR260C"	1.129	-2.549	-5.138	-2.366	-2.167	1.145
"YNL062C"	-0.373	-3.07	-6.263	-1.829	-2.065	0.269
"YNL071W"	0.8515	-1.795	-4.774	-1.0695	-1.813	0.5965
"YNL084C"	0.586	-1.945	-3.396	-0.477	-0.802	0.021
"YNL119W"	1.834	-5.354	-6.231	-2.99	-2.998	2.478
"YNL132W"	0.685	-4.956	-6.392	-2.521	-2.512	1.586
"YNL178W"	1.969	-4.338	-6.62	-3.272	-3.183	2.094
"YNL188W"	1.286	-1.648	-2.186	-0.996	-1.217	0.336
"YNL247W"	1.112	-3.191	-4.64	-2.13	-2.019	1.324
"YNL301C"	2.223	-5.123	-6.272	-3.098	-2.59	2.767
"YOR163W"	0.271	-1.226	-3.0605	-0.269	-1.0775	-0.306
"YOR209C"	1.139	-2.998	-6.004	-1.647	-1.516	1.301
"YOR210W"	0.375	-2.4525	-3.257	-1.4595	-1.5125	0.309
"YOR217W"	0.58	-1.8825	-3.81	-1.128	-1.051	0.83
"YOR224C"	1.091	-3.348	-4.849	-2.4505	-2.027	1.211
"YOR236W"	-0.912	-2.4345	-3.971	-1.0385	-1.4145	-0.432
"YOR276W"	0.832	-3.943	-4.3595	-1.99	-1.6405	0.983
"YOR326W"	0.154	-3.4635	-4.9875	-2.6115	-1.9335	0.798
"YPL028W"	-0.007	-3.482	-5.5385	-1.9625	-2.1645	0.748
"YPL037C"	1.278	-3.9955	-5.417	-2.148	-1.96	1.099
"YPL044C"	0.453	-2.688	-4.2355	-2.0175	-1.7795	0.592
"YPL079W"	2.125	-3.892	-6.4765	-3.0255	-3.112	1.834
"YPL094C"	-0.921	-3.0415	-5.3055	-1.6665	-1.6385	-0.566
"YPL106C"	-0.494	-2.219	-4.546	-1.2915	-1.5195	0.431
"YPL142C"	1.8475	-3.5865	-5.604	-2.8235	-2.16	1.267
"YPL143W"	1.6155	-3.35	-5.0395	-2.7815	-2.7985	1.645
"YPL198W"	2.2845	-4.3605	-6.879	-3.022	-2.766	2.698
"YPR013C"	-0.343	-1.511	-2.517	0.6015	0.696	0.189
"YPR033C"	0.653	-4.8805	-7.94	-2.759	-2.6225	1.295
"YPR102C"	2.3265	-4.045	-6.451	-3.673	-3.277	2.333
"YPR114W"	1.087	-2.9825	-3.903	-1.798	-1.748	1.367
"YPR131C"	0.16	-2.759	-4.176	-0.885	-1.2055	0.251
"YPR136C"	1.124	-2.427	-4.78933333333333	-1.433	-1.53033333333333	0.995
"YPR163C"	0.877	-2.9485	-5.4905	-2.6395	-2.0525	1.474
"YPR181C"	0.166	-2.057	-3.9085	-0.574	-1.7355	-0.101
