	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"684.YP fructose vs reference pool"	"685.YP sucrose vs reference pool"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1014.YPD 2 d (25C)"	"1107.alpha factor release sample025"	"1313.diauxic shift timecourse: 20.5 hr"	"1686.YP raffinose vs reference pool"	"2144.heat shock 37 to 37, 30 minutes"	"2554.Hypo-osmotic shock -15 minutes"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"13064.wt/crz1 Ca 30min (2)"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27101.P1Comp 07 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32251.DBY8778_heat_shock2_5min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"38154.03II01 batch p10"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"
"YER035W"	2.741	2.138	1.825	1.519	1.341	1.902	2.029	2.055	-0.606	-0.232	1.603	1.55	1.257	1.495	1.397	1.708	2.453	0.936	2.184	2.36	1.768	1.942	-0.278	1.133	-0.226	1.596	0.116	0.213	-0.548	-0.367	-0.927	-0.418	1.074	1.727	1.286	0.568	0.669	-0.298	0.592	0.731	0.653	2.67	2.226	2.996	2.573	3.211	2.549	2.111	2.997	1.293	-0.605
"YER053C"	2.85	2.795	2.643	2.668	2.428	2.934	2.753	2.329	-1.087	-1.102	2.398	2.821	2.282	1.835	1.065	5.109	4.471	4.23	3.485	3.54	2.992	2.804	-0.863	3.191	0.197	3.065	0.157	0.058	-0.992	-1.307	-0.94	-0.788	1.83	2.028	2.348	1.08	0.837	-0.964	0.715	0.871	0.305	2.706	4.334	3.745	3.487	4.803	3.805	3.368	3.532	2.375	-1.368
"YER079W"	3.045	2.635	2.953	2.488	0.855	2.434	2.913	2.437	-0.682	-0.635	1.681	2.015	1.986	2.044	1.536	4.036	3.925	3.354	3.195	3.24	3.069	2.862	-0.943	2.759	-0.155	2.328	-0.368	0.071	-1.094	-1.105	-0.934	-0.592	1.299	0.563	2.762	0.011	0.169	-0.604	0.436	0.437	0.734	1.874	4.179	4.035	3.482	4.583	3.964	3.215	3.941	2.657	-0.609
"YGL059W"	1.805	1.788	NaN	1.445	0.522	1.102	1.542	1.208	-0.163	-0.082	0.575	0.423	0.394	0.463	0.029	2.865	1.764	2.105	1.669	1.385	1.076	1.389	-0.152	2.634	-0.131	1.625	0.006	-0.039	-0.513	-0.616	-0.34	-0.431	0.74	1.419	2.049	-0.049	-0.095	-0.3595	0.3585	0.1995	0.2335	1.924	0.781	2.835	1.613	3.253	2.271	2.163	2.351	0.403	-0.008
"YGL120C"	-2.058	-3.316	-3.34	-3.231	-1.43	-3.301	-3.954	-3.877	0.35	0.059	-1.488	-2.25	-1.851	-1.325	-0.824	-4.557	-3.087	-2.692	-1.947	-2.298	-3.171	-3.229	0.082	-2.178	-0.116	-0.905	-0.388	0.287	0.734	0.712	0.295	0.099	-0.358	-2.122	-3.8	-0.595	0.082	0.537	-0.097	-0.079	0.2485	-2.799	-2.891	-3.416	-1.183	-3.546	-0.554	-2.329	-3.124	-1.316	-0.14
"YGR123C"	-1.982	-3.5875	-2.638	-3.2965	-1.1295	-3.0495	-4.1895	-3.748	0.372	0.236	-0.857	-1.835	-1.517	-1.265	-1.031	-4.447	-2.7	-2.234	-2.041	-1.859	-2.878	-2.97	0.271	-1.989	0.124	-1.299	0.115	0.219	0.657	0.747	0.567	0.351	-0.345	-1.7365	-4.594	-0.395	0.0345	0.7875	-0.443	0.2785	-0.692	-2.047	-2.403	-3.664	-1.262	-3.836	-3.389	-2.052	-2.048	-1.701	-0.015
"YGR127W"	1.8105	2.0945	1.8015	2.0255	1.0975	1.6685	2.161	2.077	-0.058	-0.152	0.75	1.326	1.017	1.262	0.549	2.335	1.652	1.856	1.474	1.819	1.786	1.861	-0.231	1.227	0.014	0.893	0.674	0.165	-0.084	-0.218	-0.212	-0.204	0.781	0.6365	2.175	0.2035	0.6825	0.2475	0.6925	0.8945	0.8265	1.948	2.508	1.709	1.516	2.788	2.319	1.811	2.445	1.955	-0.239
"YGR174C"	1.7315	1.5265	2.0575	1.478	1.5415	1.135	1.285	1.3405	-0.661	-0.485	1.168	1.625	1.732	1.334	0.846	3.717	3.294	2.305	1.833	2.02	1.735	1.85	-0.768	1.705	0.075	2.259	0.526	-0.235	-0.425	-0.332	-0.226	-0.295	0.786	2.342	1.809	0.5005	0.142	-1.0705	0.3185	0.277	0.758	0.804	3.235	3.542	2.336	3.947	3.312	2.576	2.911	2.397	-0.114
"YGR194C"	2.86	3.229	NaN	2.5445	1.043	2.0745	2.773	2.7325	-0.941	-0.459	1.556	1.892	1.643	1.395	0.68	4.003	2.833	2.612	2.036	2.661	2.62	1.158	-0.99	1.309	-0.053	1.789	0.624	-0.127	-0.83	-0.184	-0.715	-0.5	1.647	1.443	3.219	0.042	-0.378	-0.887	0.287	-0.348	-0.819	3.101	3.239	2.701	1.932	4.12	2.96	2.149	2.21	2.131	-1.111
"YHR066W"	-2.6315	-3.7505	-3.058	-3.0515	-1.4695	-2.9815	-3.762	-3.552	0.103	0.354	-1.993	-2.473	-2.073	-1.432	-1.036	-4.885	-2.062	-1.572	-1.589	-2.064	-2.974	-2.008	0.289	-1.41	0.045	-0.612	-0.873	-0.152	0.878	0.72	0.34	0.112	-1.419	-1.372	-4.347	-0.545	0.133	0.895	-0.167	-0.11	0.043	-2.551	-1.623	-1.898	-0.729	-2.382	-1.908	-1.368	-1.089	-1.669	0.538
"YJL057C"	2.413	2.575	2.9385	2.159	1.0315	1.742	2.351	2.617	-0.138	-0.222	1.386	1.37	1.642	1.514	1.336	3.25	1.984	1.19	3.767	1.957	2.494	1.069	-0.45	2.196	-0.281	0.472	-0.21	-0.278	-0.525	-0.462	-0.337	0.269	0.803	1.996	3.139	-0.009	0.351	0.616	0.595	0.689	0.248	1.839	2.27	2.823	2.532	4.046	2.559	2.652	2.786	2.999	0.012
"YJL141C"	1.997	2.1465	2.3545	2.071	0.8815	1.832	2.485	2.58	-0.528	-0.145	-0.085	0.57	0.608	0.568	0.043	3.509	2.039	1.989	2.212	2.43	2.008	1.927	-0.822	1.856	0.099	1.481	0.703	0.13	-0.126	-0.214	-0.016	0.256	1.115	1.359	2.56	-0.142	0.537	-0.244	0.111	0.943	0.38	2.015	1.731	1.132	1.195	3.165	1.852	1.338	2.136	1.541	-1.266
"YJL142C"	2.621	2.359	2.77	1.7625	0.372	2.327	2.1005	2.278	-0.076	-0.379	0.79	1.039	0.935	0.554	0.393	3.291	2.454	2.277	2.799	2.266	2.282	1.779	-0.408	2.03	0.07	0.886	-0.513	0.005	-0.196	-0.17	-0.004	0.271	1.437	1.042	2.292	0.435	-0.273	-0.112	-0.289	0.01	0.665	2.174	2.127	1.349	1.263	3.113	1.55	1.186	1.854	1.712	-0.893
"YJL155C"	1.8935	1.931	2.1955	1.423	0.5565	1.3205	1.4235	1.444	-0.322	-0.107	1.477	1.544	1.395	1.021	0.672	3.286	2.56	2.079	1.745	2.646	2.032	1.618	0.243	2.466	-0.239	2.013	-0.419	-0.208	-0.37	-0.545	-0.254	-0.183	1.115	2.385	1.8415	-0.064	0.136	0.459	0.361	0.422	0.362	0.513	3.737	3.76	2.479	3.452	3.254	2.793	2.891	1.659	-0.49
"YKL150W"	2.809	2.913	3.192	3.05	2.057	2.55	3.068	2.915	-1.52	-1.423	1.577	2.049	1.842	1.692	1.029	3.989	3.734	3.947	3.273	1.844	1.457	1.741	-0.691	3.772	-0.008	1.859	1.177	0.089	-0.704	-1.089	-0.63	-0.433	1.814	2.209	2.857	0.732	0.593	-0.932	0.679	0.976	0.031	1.699	2.7	3.344	2.601	4.12	3.616	3.503	2.794	3.112	-0.645
"YKR058W"	2.852	2.984	2.726	2.144	1.028	1.624	2.067	2.33	-0.939	-0.236	1.467	2.158	1.632	1.448	0.662	3.813	3.098	3.056	2.512	2.514	2.488	2.585	-1.041	2.099	-0.248	2.171	0.604	0.033	-0.927	-1.042	-0.515	-0.491	1.083	2.504	2.208	0.114	0.214	0.548	0.418	0.387	0.244	0.924	2.776	2.751	1.871	4.344	3.673	2.492	2.477	1.431	-0.371
"YLR186W"	-2.647	-2.522	NaN	-2.221	-1.543	-2.011	-2.976	-2.122	0.669	0.225	-0.517	-1.331	-0.634	-0.877	-0.815	-4.787	-2.844	-2.506	-2.174	-2.093	-3.036	-2.821	0.321	-2.069	-0.29	-2.005	0.183	0.258	0.398	0.507	0.245	0.059	-0.75	-2.09	-3.083	0.192	-0.434	0.544	-0.382	-1.129	-1.149	-2.648	-3.381	-2.552	-1.208	-4.173	-2.896	-1.936	-2.714	-1.736	0.247
"YMR110C"	2.134	2.615	2.502	2.414	1.848	2.26	2.565	2.824	-0.479	0.023	1.083	1.437	1.559	1.528	0.948	3.925	3.346	3.746	3.565	2.734	2.473	2.516	-0.511	2.995	-0.179	2.339	0.433	0.126	-0.58	-0.891	-0.61	0.468	1.147	2.645	2.675	0.057	1.062	-0.383	1.029	1.339	0.089	2.229	3.97	4.096	2.779	3.64	3.462	2.896	2.522	2.932	-0.857
"YMR239C"	-2.12	-3.656	-2.952	-2.175	-1.255	-2.426	-2.921	-2.351	0.09	0.311	-2.159	-2.534	-2.067	-1.873	-1.556	-4.414	-2.819	-2.693	-2.296	-2.129	-2.372	-1.709	0.116	-1.474	-0.035	-1.677	-0.944	-0.152	1.068	0.877	0.487	0.415	-0.852	-0.932	-3.237	-0.611	0.488	0.625	-0.269	-0.15	-0.586	-4.33	-3.048	-3.138	-2.128	-4.048	-2.804	-2.334	-1.097	-1.545	0.666
"YMR290C"	-2.333	-3.64	-3.112	-3.689	-1.56	-2.957	-3.89	-3.624	0.1	0.433	-1.482	-2.545	-2.5	-1.911	-1.252	-5.132	-3.842	-3.455	-3.073	-3.017	-3.243	-3.378	0.078	-3.295	0.132	-2.712	-0.516	0.369	0.893	1.004	0.521	0.295	-0.749	-2.957	-4.129	-0.428	-1.147	0.479	-0.946	-1.022	-0.588	-3.16	-4.028	-3.856	-2.84	-4.544	-3.558	-3.243	-3.217	-2.141	0.009
"YNL002C"	-3.547	-4.666	-4.12	-4.07	-2.094	-3.305	-4.559	-4.222	-0.06	0.389	-1.685	-2.627	-2.564	-1.766	-1.16	-5.196	-2.914	-2.785	-2.336	-1.894	-3.072	-2.59	0.539	-1.856	-0.152	-2.007	0.129	0.035	0.868	0.746	0.492	0.3	-1.402	-1.942	-4.603	-0.401	0.321	0.513	-0.062	0.053	0.333	-3.249	-2.92	-2.649	-1.781	-4.466	-2.41	-2.181	-2.211	-1.552	0.303
"YNL110C"	-3.468	-4.43	-5.407	-3.64	-1.669	-3.768	-4.56	-4.991	-0.025	0.297	-2.042	-2.66	-2.463	-1.926	-1.517	-5.108	-3.05	-2.608	-1.92	-1.55	-2.565	-1.986	0.367	-1.741	-0.179	-1.875	0.021	-0.34	0.859	0.743	0.464	0.233	-1.452	-1.5895	-5.064	-0.309	-0.636	-0.41	-0.176	-0.681	-0.275	-4.233	-3.18	-2.579	-1.804	-4.747	-2.546	-2.431	-1.608	-1.758	0.555
"YNL113W"	-1.831	-3.404	-2.327	-2.697	-1.305	-2.322	-2.536	-2.502	0.376	0.267	-0.943	-1.612	-1.457	-0.929	-0.375	-5.347	-3.34	-2.736	-2.957	-3.247	-3.971	-2.612	0.639	-1.673	-0.096	-0.895	0.342	0.176	1.139	0.765	0.423	0.385	-0.435	-1.302	-3.986	-0.113	1.121	0.523	0.241	0.716	0.764	-3.209	-2.809	-2.407	-1.621	-4.226	-2.606	-2.059	-1.773	-1.645	0.483
"YOR091W"	-2.076	-3.01	-1.939	-2.688	-0.957	-1.642	-2.72	-2.309	0.052	0.13	-1.362	-2.094	-1.799	-1.318	-0.783	-3.211	-2.424	-2.536	-1.957	-0.467	-1.597	0.6055	0.264	-1.125	-0.207	0.704	-0.708	-0.303	0.271	-0.022	-0.002	0.022	-0.515	-1.424	-2.366	-0.128	0.453	0.691	0.185	0.273	0.434	-3.107	-2.587	-1.87	-1.61	-3.639	-2.474	-2.19	-1.806	-2.128	0.595
"YOR145C"	-3.045	-3.98	-3.649	-3.795	-1.583	-2.871	-3.492	-3.402	0.385	0.312	-1.668	-2.441	-1.805	-1.614	-0.843	-4.1305	-2.03	-1.7885	-1.4615	-2.307	-2.7235	-1.903	0.315	-0.742	-0.002	-0.842	-0.035	0.241	0.569	0.657	0.392	0.242	-1.434	-1.589	-3.948	-0.281	-0.038	-0.238	0.148	0.084	-0.288	-3.355	-2.939	-2.352	-1.732	-4.493	-1.998	-1.893	-1.091	-1.933	-0.039
"YPL196W"	1.969	1.642	2.181	1.807	1.344	1.394	1.845	2.209	0.022	-0.852	1.301	1.186	1.292	0.9495	0.7325	3.0515	1.806	2.0705	1.65	2.308	1.9775	1.8525	-0.299	1.543	-0.172	1.068	0.662	0.0045	-0.444	-0.541	-0.255	-0.221	1.171	0.967	2.38	0.343	0.666	0.185	0.351	0.42	0.638	1.281	2.951	2.852	1.573	2.732	2.827	1.84	1.198	2.256	-0.365
