	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"
"YGR195W"	-2.179	-3.999	-0.699	-0.087	-1.242	-0.598	-0.971	-1.137	-0.914	-0.934	-1.872	-1.878	-1.911	-0.212	-0.099	0.202
"YGR276C"	-0.325	-2.175	0.455	-0.067	-0.63	-0.207	-0.21	-0.725	-0.539	-0.453	-0.997	-1.155	-1.637	0.443	0.495	0.226
"YGR285C"	-4.078	-6.1	-1.514	-0.524	-1.648	-1.332	-1.877	-3.556	-2.557	-2.811	-3.452	-4.07	-4.065	-1.291	-0.744	-0.665
"YHL033C"	-3.984	-6.65	-2.118	-1.028	-3.056	-3.153	-3.005	-4.25	-2.808	-2.523	-2.601	-2.923	-4.209	-1.169	-2.267	-0.807
"YHR068W"	-4.28	-6.532	-1.681	0.213	-2.873	-2.52	-2.526	-2.945	-1.927	-2.429	-2.724	-3.669	-3.425	-0.905	-0.795	-0.502
"YHR193C"	-3.11	-4.166	-0.768	-0.77	-1.819	-1.491	-1.955	-1.731	-1.494	-1.913	-1.778	-2.357	-2.845	-0.257	-0.456	-0.537
"YHR203C"	-3.782	-5.944	-2.51	-1.473	-3.917	-3.774	-3.412	-4.669	-2.437	-2.591	-2.575	-3.081	-3.941	-1.168	-2.11	-1.078
"YIL021W"	-1.965	-3.289	-0.441	-0.225	-0.499	-0.717	-0.937	-0.964	-1.198	-1.127	-1.2	-1.693	-1.565	-0.237	0.529	0.644
"YIL078W"	-5.192	-6.059	-1.516	-0.565	-2.282	-2.288	-2.5	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	-0.463	-0.622	0.018
"YIL110W"	-2.455	-3.072	-0.846	-0.323	-1.151	-1.135	-1.042	-2.093	-1.354	-1.444	-1.775	-2.473	-2.492	-0.308	-0.584	-0.462
"YJL073W"	-1.884	-3.2645	-0.5115	-0.039	-0.7215	-1.1435	-1.004	-1.2955	-0.8755	-0.5735	-1.2855	-1.7505	-1.523	-0.201	0.1205	0.057
"YJL088W"	2.133	1.36	2.917	4.13	-0.325	0.283	1.991	3.025	2.383	1.636	0.883	2.868	1.684	3.479	4.247	3.771
"YJL111W"	-3.38	-6.57	-0.37	-0.413	-1.929	-1.669	-1.796	-1.812	-1.213	-1.305	-1.573	-1.994	-2.239	0.261	0.133	-0.019
"YJL138C"	-3.125	-5.625	-1.395	-0.913	-1.273	-2.285	-1.674	-2.086	-1.763	-2.049	-2.542	-2.785	-3.522	-1.415	-1.853	-0.74
"YJL169W"	-2.464	-3.972	-0.191	-0.089	-1.308	-1.016	-0.927	-1.007	-0.865	-0.685	-0.932	-1.455	-1.448	-0.081	0.132	0.026
"YJR007W"	-3.21	-8.057	-1.049	-0.655	-1.588	-1.339	-1.824	-1.755	-1.848	-2.051	-2.909	-3.009	-3.616	-0.563	-0.572	-0.682
"YJR032W"	-2.635	-3.054	-0.481	-0.368	-1.562	-1.115	-0.935	-1.466	-0.808	-0.806	-1.546	-1.609	-1.727	0.005	0.366	0.004
"YJR152W"	1.141	-0.202	2.44	4.615	1.698	1.447	1.467	1.48	1.097	1.384	0.752	1.15	1.021	4.014	5.023	4.577
"YKL056C"	-3.426	-5.119	-1.652	-1.388	-1.914	-2.359	-2.371	-2.468	-1.741	-2.281	-2.754	-3.265	-3.483	-1.371	-1.988	-1.271
"YKL068W"	-1.98	-3.325	-0.664	0.002	-1.369	-1.594	-1.066	-0.846	-0.788	-0.482	-1.121	-1.563	-1.621	-0.387	-0.007	0.192
"YKL154W"	-2.701	-3.89	-0.271	-0.11	-1.149	-1.358	-1.136	-2.099	-1.477	-1.447	-1.765	-2.132	-2.222	0.032	0.122	0.474
"YKR026C"	-2.863	-3.755	-1.094	-0.538	-1.979	-1.969	-1.657	-1.723	-1.369	-1.003	-1.858	-2.363	-2.231	-0.611	-0.171	-0.117
"YKR059W"	-2.817	-4.998	-1.778	-0.787	-2.593	-2.103	-2.531	-2.018	-1.844	-2.106	-2.623	-2.96	-3.568	-1.247	-1.638	-0.774
"YLL044W"	-3.79	-6.48	-2.802	-1.254	-3.313	-3.031	-3.269	-3.872	-2.654	-2.736	-2.724	-3.494	-3.967	-1.532	-2.312	-0.952
"YLL045C"	-3.857	-6.618	-2.711	-0.863	-3.169	-3.335	-3.185	-3.66	-2.604	-2.495	-2.943	-3.021	-3.731	-1.497	-2.279	-0.703
"YLR057W"	-1.719	-4.294	-1.864	-0.319	-1.018	-1.124	-0.957	-1.007	-0.625	-0.718	-1.683	-1.94	-2.121	-0.427	-0.113	0.09
"YLR062C"	-5.705	-6.896	-2.606	-1.355	-3.6	-3.985	-3.965	-4.96	-3.209	-3.706	-4.299	-4.293	-5.234	-1.833	-2.11	-1.167
"YLR065C"	-1.93	-3.028	-0.773	-0.557	-1.082	-1.343	-1.411	-1.44	-1.07	-1.137	-1.477	-1.554	-1.642	-0.331	-0.076	-0.183
"YLR092W"	0.947	0.418	4.519	2.978	2.033	3.212	2.125	1.193	1.008	0.593	1.246	1.644	1.357	2.955	2.894	3.448
"YLR208W"	-1.968	-4.432	-0.117	-0.589	-1.163	-0.959	-1.568	-1.032	-1.454	-1.248	-1.898	-2.183	-2.499	-0.09	-0.323	-0.681
"YLR293C"	-3.488	-6.281	-1.204	-0.632	-2.107	-1.751	-2.233	-2.473	-1.45	-2.158	-2.379	-3.03	-3.186	-0.625	-0.706	-0.472
"YLR301W"	-3.676	-5.415	-0.024	-0.023	-1.53	-1.429	-1.605	-1.555	-0.925	-1.325	-2.581	-2.218	-2.268	0.54	0.764	0.669
"YLR314C"	-2.218	-5.585	0.41	0.216	-0.307	-0.846	-1.368	-2.781	-2.505	-2.761	-2.906	-3.447	-3.937	0.605	0.184	0.519
"YLR339C"	-4.988	-6.865	-2.669	-1.597	-2.453	-3.194	-3.201	-3.117	-2.647	-2.474	-2.461	-3.161	-3.973	-1.521	-2.354	-1.552
"YLR340W"	-4.11	-6.819	-2.513	-1.473	-2.128	-2.646	-3.015	-3.499	-2.703	-2.701	-2.702	-3.206	-4.105	-2.238	-2.367	-1.249
"YML008C"	-4.23	-4.829	-0.803	0.098	-1.558	-1.093	-1.94	-3.526	-2.014	-3.366	-3.358	-5.162	-3.504	0.727	1.113	0.623
"YMR010W"	-1.643	-4.183	0.222	-0.192	-1.002	-1.066	-0.737	-0.962	-1.367	-0.818	-1.189	-1.308	-1.893	0.107	-0.2	-0.521
"YMR033W"	-3.063	-4.454	0.124	-0.289	-1.114	-1.054	-1.514	-1.647	-1.244	-1.469	-1.745	-1.826	-1.988	0.473	0.504	0.197
"YMR116C"	-4.551	-6.865	-2.672	-1.577	-2.937	-3.905	-3.535	-3.586	-2.851	-2.888	-2.906	-3.561	-4.003	-1.882	-2.532	-1.845
"YMR142C"	-0.651	-6.693	-2.458	-1.636	-3.048	-3.849	-3.197	-4.4	-2.974	-2.468	-2.774	-3.415	-4.248	-1.116	-1.729	-0.915
"YMR242C"	-3.971	-6.226	-2.432	-1.253	-3.832	-4.338	-3.636	-4.84	-2.59	-3.004	-2.601	-3.133	-3.475	-1.243	-2.255	-0.992
"YMR307W"	-5.132	-5.877	-1.816	-0.576	-2.484	-2.482	-3.284	-3.55	-2.493	-3.39	-4.432	-5.016	-4.56	-1.093	-0.695	-0.416
"YNL016W"	-1.2125	-3.2085	-0.2735	-0.1915	-0.815	-0.6455	-1.4025	-0.997	-0.714	-0.745	-1.256	-1.271	-1.9635	0.1565	-0.2385	-0.311
"YNL049C"	-2.162	-4.607	-0.325	-0.198	-0.939	-0.677	-0.715	-0.992	-0.605	-0.505	-1.564	-1.776	-1.25	-0.02	-0.56	-0.451
"YNL119W"	-5.354	-6.231	-2.598	-1.052	-3.359	-3.366	-2.99	-3.55	-1.955	-2.206	-2.822	-2.843	-3.318	-1.461	-2.341	-1.364
"YNL256W"	-2.448	-3.668	0.177	-0.408	-1.695	-0.452	0.397	-2.104	-1.334	-1.45	-2.464	-3.25	-3.112	-0.254	0.068	-0.183
"YNL257C"	-3.196	-3.918	0.826	0.061	-0.286	0.401	-0.119	0.144	0.03	-0.031	-1.286	-1.451	-0.765	0.66	0.463	0.616
"YNL301C"	-5.123	-6.272	-2.514	-1.521	-2.943	-3.585	-3.098	-3.466	-2.799	-2.781	-2.652	-2.985	-3.448	-1.422	-2.619	-1.511
"YOL097C"	-0.491	-6.314	0.233	-0.09	-2.427	-2.464	-0.2345	-3.246	-2.609	-2.685	-3.398	-4.044	-4.151	-0.967	-0.788	-0.383
"YOR197W"	-1.971	-3.178	-0.551	-0.1805	-0.799	-0.625	-0.7485	-0.561	-0.675	-0.795	-1.165	-1.398	-1.64	-0.11	0.02	-0.487
"YOR209C"	-2.998	-6.004	-0.932	-0.3685	-1.3455	-1.865	-1.647	-1.744	-0.906	-1.227	-1.897	-2.681	-2.954	-0.196	-0.137	-0.019
"YOR232W"	-1.6365	-2.046	-0.493	-0.045	-0.606	-0.5265	-1.5795	-0.679	-1.406	-1.348	-1.334	-1.039	-1.303	0.492	0.391	0.379
"YOR236W"	-2.4345	-3.971	-1.269	0.0745	-1.8955	-1.3805	-1.0385	-1.393	-1.107	-0.62	-1.568	-2.695	-2.322	-0.212	-0.401	0.118
"YOR240W"	-2.8765	-3.6975	-0.2175	-0.221	-0.756	-1.1745	-1.3235	-1.328	-1.773	-1.486	-2.693	-3.23	-2.674	-0.117	0.066	0.348
"YOR241W"	-2.668	-6.523	-0.2095	0.053	-1.27	-0.8785	-1.0865	-1.509	-1.077	-1.0	-1.779	-2.794	-2.058	0.304	0.351	0.213
"YOR253W"	-2.7935	-5.157	-1.3035	-0.7445	-1.6705	-1.475	-1.538	-1.88	-1.139	-1.299	-1.872	-2.672	-2.633	-0.371	-0.095	-0.149
"YOR277C"	-3.25	-4.571	-1.2845	-0.5215	-1.7745	-1.802	-2.148	-2.305	-1.464	-2.047	-1.978	-2.103	-2.211	-0.306	-0.201	0.111
"YOR309C"	-4.234	-6.859	-3.07	-0.975	-3.709	-3.9105	-3.8235	-5.839	-3.704	-4.353	-4.746	-5.449	-5.009	-2.838	-2.504	-0.735
"YOR310C"	-4.7765	-7.1385	-3.101	-1.0005	-3.766	-3.585	-3.5415	-5.777	-3.838	-4.105	-4.745	-5.099	-4.866	-3.457	-2.411	-0.33
"YOR323C"	-4.2845	-6.434	-0.6435	-0.408	-1.9425	-2.061	-2.106	-1.211	-1.557	-1.382	-2.742	-3.497	-3.428	-0.258	0.468	0.264
"YPL010W"	-3.3685	-3.598	-0.244	-0.3755	-1.235	-1.4515	-1.946	-0.938	-1.349	-1.499	-2.935	-2.898	1.643	0.055	-0.074	-0.56
"YPL037C"	-3.9955	-5.417	-1.3405	-0.872	-1.813	-1.4435	-2.148	-2.203	-1.561	-1.872	-2.115	-3.222	-3.654	-0.62	-0.651	-0.541
"YPL038W"	-1.454	-3.1445	0.0655	-0.4375	-0.446	-0.6145	-0.6335	-1.085	-1.265	-0.935	-1.354	-1.42	-0.671	0.787	0.576	0.049
"YPL079W"	-3.892	-6.4765	-2.527	-1.563	-3.085	-3.172	-3.0255	-4.735	-2.741	-3.087	-3.015	-3.498	-4.547	-1.506	-2.132	-1.191
"YPL081W"	-3.4025	-6.801	-1.497	-0.895	-2.5355	-2.916	-2.428	-4.022	-2.849	-2.929	-2.789	-2.909	-3.725	-1.583	-1.819	-0.763
"YPL235W"	-0.762333333333333	-3.62066666666667	-0.012	-0.252	-0.891333333333333	-0.818666666666667	-1.12333333333333	-1.209	-1.0275	-1.3	-1.5825	-1.8145	-2.0025	0.207	0.1475	-0.058
"YPL237W"	-2.875	-5.7585	-0.95	-0.344	-1.791	-1.39	-1.8945	-2.288	-1.817	-1.927	-2.006	-2.44	-3.024	0.225	0.325	0.445
"YPL241C"	-1.9285	-3.6825	-0.355	-0.188	-1.49	-1.119	-0.605	-0.921	-0.924	-1.179	-1.429	-1.607	-1.54	-0.12	0.412	0.29
"YPR033C"	-4.8805	-7.94	-1.4745	-0.032	-2.32	-2.0735	-2.759	-2.203	-2.096	-2.55	-3.951	-4.382	-4.54	-0.609	-0.646	0.012
"YPR073C"	-2.26	-3.8865	0.4095	0.13	0.15	0.1475	-0.4335	-0.852	-0.766	-0.945	-2.444	-2.384	-2.0	1.005	1.074	0.956
"YPR187W"	-3.609	-5.408	-1.533	-0.3755	-2.283	-2.232	-2.16	-2.563	-1.816	-2.016	-2.28	-2.584	-3.22	-0.294	-0.625	0.138
