	"597.25 deg growth"	"598.29 deg growth"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"6824.Sporulation t0"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"8526.dun1- + 0.02% MMs - 30 min"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YFR037C"	-0.016	-0.239	NaN	2.202	0.447	NaN	NaN	NaN	3.728	1.485	NaN	NaN	0.874	-2.248	-0.364	-0.74	-0.794	-0.714	-1.247	-0.447	-0.912	-0.984	-0.358	-0.092	-0.015	-0.25	-0.175	0.457	-0.046	0.204	0.178	-0.7095	0.227	-0.174	0.004	0.0875	0.0405	-0.528333333333333	-0.501666666666667	-0.409666666666667	-0.257	-0.302666666666667	-0.591333333333333	-0.626666666666667	-0.09	-0.0443333333333333	-0.269	-1.17	-0.484	-0.671	-1.065	-0.554	-0.665	-0.233
"YGL096W"	-0.677	-0.766	2.584	1.584	2.437	2.098	2.524	2.862	3.258	1.847	1.968	2.442	2.098	-0.021	0.142	2.684	2.08	2.1	2.819	2.093	2.348	1.478	0.128	-0.121	-0.39	-0.084	-0.156	0.385	-0.323	0.147	-0.272	0.931	-0.2	0.083	-0.1	-0.047	0.404	0.8425	0.441	0.7385	0.4555	0.8405	0.9605	1.033	0.5515	0.342	0.836	2.372	3.654	2.706	1.257	0.48	1.116	0.736
"YGL156W"	-0.153	-0.387	4.377	4.521	4.625	4.645	5.069	5.027	5.027	2.749	3.372	3.335	3.32	3.359	-0.037	2.737	4.166	4.322	3.981	4.487	4.716	3.456	0.22	-0.324	0.149	0.718	1.091	0.0	-0.297	-0.289	0.602	3.83	-0.846	-0.907	-0.968	-1.808	-0.024	1.565	1.091	1.173	1.7085	1.6145	1.2625	0.4685	1.577	1.5395	1.3155	2.183	2.233	1.841	1.995	0.8995	1.0855	0.4305
"YGR151C"	0.647	0.244	-2.709	-1.974	-1.289	-1.803	-2.677	-1.671	-3.87	-1.059	-1.322	-1.824	-0.483	-2.381	-0.213	-2.68	-2.213	-2.815	-2.712	-1.696	-2.582	-2.109	-0.12	0.046	-0.17	0.239	-0.074	0.154	0.024	0.356	0.114	-1.997	0.376	0.294	0.198	0.304	-0.0725	-0.819	-0.924	-0.8065	-1.1815	-0.904	-0.845	-0.363	-0.2885	-1.1015	-1.129	-1.59	-1.703	-1.532	-1.724	-1.053	-0.758	-0.671
"YGR201C"	-0.133	0.136	5.046	4.249	4.063	4.377	5.158	4.49	4.974	2.246	3.062	2.97	2.896	3.228	0.015	2.855	2.842	3.597	2.109	2.914	5.103	3.769	0.31	0.21	-0.048	0.135	0.134	0.426	-0.031	-0.036	-0.0655	3.357	-0.588	-0.514	-0.859	-0.622	-0.089	1.617	1.637	1.413	1.837	1.619	1.767	1.484	0.513	0.425	0.82	2.239	2.238	1.833	2.151	0.793	0.834	0.838
"YGR243W"	0.241	-0.379	4.614	4.911	5.283	4.612	5.095	5.612	5.628	5.402	3.855	4.495	3.75	3.675	0.267	3.651	4.059	3.864	3.442	5.617	5.108	4.88	0.164	-0.049	0.253	0.031	0.007	0.079	0.037	0.261	-0.16	4.328	0.097	0.609	0.621	0.655	0.059	1.072	0.731	0.721	1.61	1.227	0.877	0.653	0.709	0.591	0.151	6.012	5.734	6.73	5.542	0.269	0.199	0.606
"YGR261C"	0.064	-0.161	-0.763	-0.985	-0.742	-0.824	-1.213	-1.464	-2.682	-0.186	-0.875	-0.822	-1.189	-1.363	0.169	-0.811	-1.146	-1.125	-0.876	-1.657	-2.505	-2.45	0.142	-0.015	-0.011	0.226	0.152	0.056	-0.01	0.345	0.058	-1.102	-0.288	-0.557	-0.245	-0.19	-0.135	0.752	0.255	-0.682	1.011	0.45	-0.716	-0.545	0.181	-0.012	-0.563	-0.84	-0.231	-0.702	-0.303	-0.134	-0.776	-0.306
"YGR264C"	0.09	0.044	-3.787	-2.696	-3.156	-3.156	-2.945	-3.206	-5.206	-1.795	-3.505	-3.321	-2.811	-3.49	0.362	-3.897	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	-0.079	-0.026	-0.231	-0.432	-0.287	-0.135	0.088	0.007	-0.043	-2.468	0.373	-0.992	0.034	-0.035	-0.292	-1.485	-0.983	-0.939	-1.15	-1.149	-1.865	-1.891	-1.244	-1.445	-1.914	-2.673	-3.33	-3.082	-2.066	-1.585	-2.247	-2.771
"YGR287C"	-0.424	-0.443	2.299	2.178	3.006	2.677	2.094	1.787	1.316	1.49	1.844	2.099	1.828	1.23	0.256	1.444	1.464	1.122	1.189	1.537	1.161	1.145	0.329	0.0345	0.671	0.475	0.574	-0.302	-0.217	0.143	0.2685	0.147	0.663	0.408	0.267	0.347	-0.317	0.461	0.142	-0.046	0.402	0.315	0.257	0.514	0.673	1.247	0.581	1.151	2.242	1.687	1.743	-0.08	0.638	0.471
"YGR289C"	-0.096	-0.147	4.002	2.79	2.471	1.805	1.993	3.2	2.956	2.726	2.287	2.614	2.402	2.166	0.122	2.822	1.653	2.371	2.278	3.52	3.978	2.396	0.25	-0.0215	0.52	0.146	0.325	-0.115	-0.116	0.064	-0.128	0.476	0.666	0.16	-0.012	-0.152	0.128	0.326	-0.164	0.516	0.915	1.403	1.661	1.37	0.856	0.867	1.205	3.187	4.308	3.322	2.479	0.62	0.8	-0.335
"YHR160C"	-0.426	-0.652	2.803	2.285	3.129	2.892	3.668	3.757	5.293	1.754	1.87	2.171	1.972	0.87	-0.16	2.914	1.936	1.829	2.887	3.407	3.939	3.173	0.333	-0.205	0.38	0.401	0.637	0.193	-0.147	0.018	-0.1905	1.422	-0.438	-0.071	-0.017	-0.127	-0.351	1.218	0.565	1.473	1.153	1.288	1.645	1.53	0.16	0.02	1.107	1.37	1.708	1.638	1.186	0.563	0.634	0.872
"YIL045W"	-0.237	-0.146	4.837	3.725	3.789	4.285	5.025	4.058	4.605	2.699	2.691	2.176	2.2	2.313	0.015	4.236	3.986	4.311	4.378	4.139	3.804	2.963	-0.009	-0.215	0.456	0.449	0.595	0.57	0.235	0.231	0.0895	2.832	0.573	-0.268	0.154	0.261	-0.194	1.352	0.914	1.201	1.431	1.681	1.541	1.717	1.966	1.782	1.294	2.929	3.875	2.985	3.3	1.364	1.425	0.638
"YIL057C"	-0.263	-0.468	4.935	6.561	7.093	6.563	6.542	5.5	6.544	5.73	6.057	6.302	1.241	6.257	-0.341	4.439	4.612	2.754	2.592	6.044	6.174	5.453	0.114	0.561	0.058	-0.224	-0.316	0.193	0.125	-0.016	-0.282	5.043	0.0	-0.038	0.305	0.113	-0.422	0.585	0.091	0.699	0.983	0.922	2.191	1.992	-0.237	0.821	1.059	5.812	3.196	5.445	4.052	0.263	-0.127	-0.318
"YIL097W"	0.0	-0.737	3.652	2.439	2.393	2.036	2.507	2.43	3.556	2.729	1.732	2.315	1.786	1.294	0.141	2.356	1.47	2.0	2.636	2.674	2.268	1.763	0.026	-0.257	0.191	0.664	0.564	0.407	0.178	0.136	0.292	1.203	-0.414	-0.516	-0.105	0.037	0.03	0.776	0.786	0.914	1.299	0.764	0.835	0.708	0.699	0.076	0.118	1.491	1.995	2.194	1.863	0.803	1.23	0.712
"YJL103C"	-0.743	-0.644	3.518	3.541	3.739	3.366	3.386	3.31	4.161	2.515	1.735	2.684	2.107	1.985	0.013	3.108	2.803	2.436	3.198	3.063	3.151	2.006	-0.094	0.129	0.569	0.276	0.531	-0.228	-0.075	-0.095	-0.587	0.352	-0.638	0.552	-0.318	-0.064	0.611	-0.082	0.193	0.283	-0.515	0.192	0.462	-0.122	0.234	0.21	0.074	3.146	2.897	3.1435	2.663	0.162	0.189	0.0455
"YJL116C"	0.196	-0.028	1.7	2.294	3.349	4.08	4.741	5.231	5.373	0.526	0.969	1.069	1.944	2.885	-0.009	0.015	2.676	3.619	3.157	3.183	3.735	3.029	0.489	-0.0685	-0.239	0.258	-0.112	0.156	0.204	0.331	-0.475	4.083	0.075	-0.084	-0.059	0.241	0.41	2.351	1.218	2.393	2.361	2.371	0.982	0.911	0.503	-0.805	0.931	1.549	0.551	1.788	4.248	0.374	0.876	0.964
"YJL221C"	-0.289	-0.364	2.795	2.403	2.926	2.899	1.331	1.289	1.46	1.809	1.723	2.396	2.034	1.365	0.11	1.53	1.706	1.16	1.231	1.388	0.87	0.959	0.437	0.0985	0.466	0.342	0.508	0.146	-0.125	0.058	-0.0415	1.132	-0.108	-0.155	0.298	0.183	-0.212	0.046	0.337	0.457	0.675	0.898	0.722	0.021	0.565	0.95	0.98	1.803	2.415	2.217	1.358	0.389	0.666	0.737
"YJR008W"	0.007	0.062	2.34	2.316	3.929	3.529	4.368	3.419	3.964	3.745	3.536	2.826	1.935	3.793	-0.089	3.467	3.586	3.187	3.699	4.553	5.21	4.377	0.038	-0.185	0.246	0.56	0.547	0.281	-0.187	-0.444	-0.3795	2.805	-0.03	0.049	0.002	0.091	0.504	1.209	1.07	1.408	1.208	1.394	1.148	0.982	0.493	-0.001	0.782	3.265	3.072	3.435	3.297	0.915	2.079	1.684
"YJR095W"	-0.485	-1.485	3.063	6.02	6.299	5.126	5.594	3.469	1.805	2.042	2.617	4.941	5.572	4.944	-0.493	4.935	5.227	3.101	4.211	2.301	2.27	1.776	0.343	-0.3205	0.11	-0.151	0.051	-0.008	-0.128	-0.06	-0.6125	3.258	0.366	0.323	0.331	0.183	-0.874	0.748	0.932	1.101	0.694	1.284	1.525	1.175	-1.253	0.436	1.441	4.975	0.306	4.678	2.657	0.204	0.194	0.923
"YKL093W"	-0.123	-0.114	5.448	4.655	4.714	4.393	4.525	4.208	4.369	2.966	3.199	3.212	2.953	3.082	0.042	4.872	3.902	2.916	2.536	2.725	3.515	2.14	0.06	0.125	-0.061	0.255	0.025	0.356	0.35	0.167	-0.047	2.745	-0.136	-0.183	0.103	0.11	0.024	0.655	0.278	0.695	0.923	0.87	1.101	0.76	0.076	-0.098	0.414	4.865	4.992	4.664	3.528	0.919	1.775	0.941
"YKL187C"	0.236	-0.211	3.195	4.289	4.917	4.657	5.015	3.151	5.575	1.311	1.255	3.166	3.771	3.338	-0.369	1.695	3.45	2.909	2.31	4.717	5.088	4.51	-0.094	-0.13	0.0	0.106	0.26	0.096	-0.004	-0.183	-0.381	2.083	-0.137	0.441	0.085	0.11	0.16	0.314	-0.487	0.227	-1.331	0.368	0.622	0.404	0.104	0.349	-1.264	3.123	2.958	3.799	2.829	0.479	0.422	0.515
"YKR009C"	-0.146	0.109	3.745	3.401	3.725	4.306	3.934	1.861	3.808	2.174	2.628	1.431	3.166	2.958	0.005	2.522	2.425	1.963	1.392	4.39	3.928	3.376	0.332	-0.41	-0.014	0.064	0.135	0.83	-0.056	0.196	-0.095	1.162	-0.36	-0.253	-0.439	-0.4	1.015	0.696	0.606	0.859	1.063	0.831	0.757	0.622	0.211	0.886	-0.436	2.304	2.707	2.301	2.722	0.297	0.508	1.346
"YLL019C"	-0.614	-0.6785	1.971	1.624	2.0355	1.832	1.8805	1.9865	2.1885	1.102	1.0635	1.257	1.021	0.6375	0.178	1.397	1.255	1.789	1.8515	1.9515	1.767	1.3115	0.013	0.1265	0.4765	0.394	0.5155	-0.273	0.018	0.021	0.033	1.933	-1.266	-1.688	-0.892	-1.067	-0.049	0.53	-0.825	0.335	0.564	0.635	0.54	0.362	-0.189	-0.223	-0.253	2.654	2.511	2.838	2.205	0.157	0.315	-0.606
"YLL041C"	-0.674	-0.532	4.794	5.323	5.655	5.102	4.997	4.796	5.281	2.48	2.342	2.74	2.712	2.855	0.18	4.827	4.436	3.693	3.746	4.25	4.703	3.334	-0.018	0.179	0.673	-0.224	0.062	-0.311	0.307	-0.256	-0.685	3.417	-0.385	-0.765	-0.119	-0.191	0.077	0.853	0.754	0.522	0.759	0.866	0.534	-0.246	-0.164	-0.24	-0.373	4.684	3.781	4.867	4.704	-1.16	-0.862	-0.563
"YLR142W"	-0.503	-0.185	3.095	4.015	5.049	5.05	5.354	5.307	6.188	5.754	5.646	4.467	4.387	4.716	-0.214	4.418	4.268	4.522	5.09	3.893	5.129	4.349	0.363	0.02	-0.841	-0.292	-0.551	0.179	-0.094	-0.043	-0.589	3.391	-0.847	-0.547	-0.321	-0.319	0.408	1.36	1.03	1.132	0.919	1.831	1.38	0.804	1.273	1.699	0.647	2.898	1.179	3.978	4.307	0.537	0.949	1.476
"YLR174W"	-0.464	-0.405	4.526	5.843	6.653	5.651	5.451	5.447	4.487	2.507	3.793	4.275	5.023	5.765	0.033	5.205	4.807	3.605	4.155	3.221	3.353	1.759	-0.06	0.133	0.347	0.507	0.768	0.263	0.33	-0.027	0.288	2.778	0.032	-0.104	0.172	0.053	0.464	0.424	0.628	0.785	0.443	0.915	0.89	0.472	0.381	-0.244	0.483	5.021	0.607	4.301	2.849	-0.114	0.935	-0.338
"YLR397C"	-0.157	-0.112	-2.71	-2.159	-1.356	-1.446	-1.044	-1.115	-1.226	-1.157	-1.514	-1.327	-0.722	-1.413	0.115	-1.345	-1.507	-0.787	-1.066	-1.272	-1.336	-1.225	-0.036	-0.115	-0.228	-0.502	-0.378	-0.31	-0.136	0.233	-0.173	-1.123	0.04	-0.288	-0.059	-0.171	0.47	-0.229	-0.152	-0.01	-1.143	-0.817	-0.066	-0.548	-0.814	0.33	-0.435	-0.832	-2.467	-1.639	-2.111	-0.37	-0.693	-0.376
"YML042W"	0.415	0.67	5.257	5.951	5.954	6.053	5.694	5.292	4.94	2.873	3.592	2.989	2.529	1.465	-0.461	4.969	5.064	3.866	4.298	3.56	3.618	2.209	0.312	0.007	-0.101	0.463	0.143	-0.14	-0.068	-0.131	0.181	2.684	0.048	-0.271	-0.186	-0.201	-0.016	0.676	0.742	0.827	0.553	1.183	0.541	0.358	1.155	0.173	0.114	3.574	3.546	3.933	3.97	0.562	0.979	0.715
"YML054C"	-0.458	-0.427	5.268	4.128	4.968	3.708	3.294	3.21	5.243	4.231	3.189	2.688	2.632	2.284	0.016	5.255	3.649	3.305	3.486	5.295	3.394	2.05	-0.106	-0.044	-0.063	0.229	-0.011	-0.392	-0.381	-0.346	-0.619	1.562	-0.205	-0.13	-0.002	-0.052	0.187	0.881	0.447	0.962	1.682	1.657	1.592	0.677	1.68	0.96	0.865	5.343	5.314	4.811	3.017	0.746	0.94	0.784
"YMR081C"	-0.261	-0.523	5.134	4.866	4.127	4.854	4.825	5.524	6.678	6.135	5.55	5.535	4.182	4.914	-0.161	5.537	4.601	3.765	5.056	4.13	4.987	4.226	0.305	0.193	-0.25	-0.135	-0.114	0.074	-0.271	0.041	-0.408	4.371	-0.085	0.012	0.018	-0.076	-0.18	0.523	0.384	0.299	0.89	1.173	1.289	1.031	0.006	1.236	-0.205	5.714	5.379	4.766	3.912	1.16	1.44	1.115
"YMR110C"	-0.118	-0.245	3.925	3.346	3.746	3.565	3.434	2.517	3.724	2.734	2.473	2.516	2.338	1.885	0.201	4.042	3.217	2.995	3.422	3.777	2.927	1.682	-0.312	0.097	0.383	0.253	0.437	-0.026	-0.116	-0.541	-0.174	2.645	-0.244	-0.572	-0.016	-0.016	0.158	1.062	0.64	1.029	0.687	1.339	1.079	0.089	0.938	1.158	0.99	4.096	3.64	3.462	2.522	0.681	0.199	1.331
"YMR140W"	-0.291	-0.617	1.778	1.401	1.148	1.244	1.308	1.17	1.377	2.186	1.253	1.69	1.471	1.204	0.086	0.996	0.561	1.261	1.422	1.579	2.006	0.92	-0.083	0.106	0.485	0.565	0.5	-0.01	-0.095	-0.059	0.197	1.396	0.017	-0.517	0.062	0.018	-0.202	0.691	0.394	0.287	0.965	0.654	0.304	0.26	0.545	0.269	-0.298	0.736	1.51	0.915	0.856	0.614	0.779	0.754
"YMR271C"	-0.188	-0.33	4.289	2.99	3.521	3.307	4.093	3.803	3.495	1.89	2.448	3.12	2.856	2.191	-0.301	3.829	2.495	3.065	3.758	3.825	3.1	1.606	0.151	-0.193	0.217	0.204	0.558	-0.075	-0.11	-0.091	0.301	2.576	0.068	-0.03	-0.161	-0.029	-0.081	1.805	1.997	1.73	1.943	2.023	1.895	1.387	0.593	1.636	1.515	2.473	2.63	2.408	1.194	1.444	2.284	1.363
"YNL009W"	0.143	0.084	2.337	2.658	3.346	3.36	3.931	2.976	3.672	2.261	2.636	1.965	2.771	2.567	0.016	2.794	3.455	2.625	2.456	4.699	4.803	3.897	-0.046	-0.017	0.209	0.645	0.186	0.212	-0.172	-0.013	-0.029	2.142	0.221	-0.033	0.47	0.374	0.116	0.45	0.435	0.627	0.272	0.758	0.164	0.305	0.089	-0.069	0.992	3.281	2.736	2.572	2.0	0.567	0.858	-0.233
"YNL096C"	0.013	0.286	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-2.087	-3.331	-3.045	-2.761	-3.165	0.255	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	-0.057	0.169	-0.123	-0.43	-0.409	-0.563	-0.25	0.803	-0.189	-2.8625	0.748	0.827	0.115	0.04	-0.187	-0.285	-1.281	-2.002	0.429	-0.971	-2.211	-1.683	-1.783	-2.749	-0.537	-2.764	-3.087	-3.372	-2.779	-0.905	-0.801	-0.694
"YNL144C"	-0.307	-0.345	NaN	0.024	NaN	1.831	NaN	2.502	-0.038	NaN	-2.909	NaN	2.296	2.448	-0.003	3.466	2.892	3.993	3.994	4.443	4.011	3.462	0.055	-0.18	-0.053	-0.125	-0.199	-0.06	-0.113	0.725	-0.17	3.585	0.182	0.191	0.173	0.307	-0.618	0.93	0.435	0.414	0.894	0.972	1.135	1.18	0.202	0.865	1.09	2.88	4.006	3.145	3.633	-0.083	-0.14	1.01
