	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"84.cdc15 190 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1254.mec1_plus_gamma_60_min"	"1664.cdc15 170 min"	"1665.cdc15 150 min"	"1668.cdc15 130 min"	"2141.Elutriation2:Sample2:Time1.0hrs"	"4048.0.8M NaCl +FK506 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8197.steady state 25 dec C"	"8228.dtt 015 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"13065.Na/Na+FK 30min (1)"	"16338.DES460 vs. DES460 YPD log phase control"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"21632..24 mM H2O2- 250 minutes"	"21662..24 mM H2O2- 230 minutes"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YDR324C"	0.352	0.028	-0.045	-3.512	-2.824	-1.838	-2.336	-3.184	-3.012	-0.311	-1.707	-1.539	-2.098	-3.361	-2.361	-1.762	-1.602	-1.715	-1.813	-1.208	-4.131	-2.225	-0.529	0.217	-2.212	-1.921	-1.118	-0.187	-2.573	-2.143	-2.391	-1.803	-2.306	0.101	-0.276	0.017	0.444	-0.286	-2.608	-1.498	0.8	0.724	0.766	0.127	-2.297	-3.039	-1.914	-1.672	-1.945	-2.099	0.284	0.708	-1.45	0.429	-3.609	1.548	0.173	2.651	-0.984	0.291	0.046	0.186	-2.29	-1.944	-1.4445	-1.857	-2.128	-1.1035	-3.2975	-2.27	-0.931	-1.0265	-0.3	-0.356	-0.565	-0.264	-0.353	-1.1195	-1.203	-1.8575	-1.0535	-1.1335	0.329	-0.5575	0.0475	0.132	-1.697	-1.8785	-1.4765	-0.943
"YER012W"	-0.186	0.024	0.028	0.339	0.276	0.024	0.252	0.428	0.202	-0.115	-0.258	0.237	0.539	0.0	-0.898	-0.883	-1.071	-0.934	-0.584	-1.382	-4.764	0.307	-0.127	0.182	-0.256	-0.913	-0.968	-0.146	-0.558	-0.659	-0.573	-0.795	-1.387	0.074	-0.043	0.024	-0.366	-0.056	-0.676	1.018	0.195	-0.048	0.362	0.171	-1.212	-0.673	-0.117	-1.223	-0.973	-0.473	-0.012	0.044	-0.26	0.007	0.964	-0.1775	0.366	-1.417	0.474	0.367	0.0845	0.5325	1.156	0.731	0.624	0.46	-0.048	0.028	1.099	0.153	0.058	0.166	0.486	0.621	0.37	0.265	0.139	0.078	0.003	-0.105	-0.051	0.581	0.209	0.296	0.303	0.366	1.304	0.916	0.758	0.037
"YER021W"	-0.167	-0.057	0.0865	0.743	0.732	0.363	0.642	0.791	0.658	-0.263	0.025	-0.142	0.458	0.253	0.134	0.385	-0.097	-0.207	-0.373	0.041	-2.881	0.03	0.013	0.397	0.193	0.099	-0.25	-0.095	0.597	0.285	-0.134	-0.229	-1.041	0.449	-0.059	-0.2675	-0.0425	-0.302	0.117	0.663	-0.118	0.2	-0.045	-0.059	0.022	0.471	0.602	0.173	0.303	0.811	0.302	0.476	0.165	-0.454	0.251	-0.03	0.682	-0.954	0.909	0.49	-0.051	-0.007	1.232	0.84	0.705	1.427	0.686	0.27	1.961	0.566	0.161	0.908	0.548	0.357	0.227	0.191	-0.093	-0.297	0.487	0.355	0.576	0.041	-0.07	-0.057	0.058	0.097	1.108	0.599	1.652	0.107
"YER126C"	0.704	0.495	-0.104	-3.132	-2.634	-1.396	-3.488	-4.626	-4.459	-0.197	-1.245	-1.479	-1.551	-4.455	-2.713	-2.384	-1.898	-1.167	-2.335	-2.608	-5.367	-2.806	-0.699	0.395	-2.355	-2.036	-1.58	0.705	-2.303	-1.4	-1.206	-1.723	-2.584	0.337	0.051	-0.783	-0.939	0.01	-2.191	-1.302	1.185	0.701	0.889	0.469	-1.979	-3.035	-2.036	-1.422	-2.942	-2.828	0.277	0.85	-1.491	-1.0895	-5.253	0.227	-0.131	-3.7255	-2.172	-0.377	-0.379	0.1515	-5.806	-2.916	-0.975	-2.489	-2.31	-0.265	-3.761	-2.961	-2.173	-1.909	0.022	0.14	-0.309	0.249	0.107	-3.045	-2.125	-3.062	-0.843	-0.303	0.626	0.127	0.066	0.048	-2.419	-2.383	-2.346	-2.005
"YER131W"	1.102	0.926	0.159	-1.816	-1.733	-1.954	-2.354	-3.171	-3.29	0.491	-1.185	-1.686	-0.663	-2.813	-3.262	-2.7	-2.3	-1.895	-2.47	-3.664	-6.55	-2.634	-1.156	0.548	-2.621	-2.795	-2.905	0.564	-4.139	-2.089	-2.2	-2.498	-2.654	0.431	0.353	0.161	0.286	0.554	-0.991	-0.6	0.975	0.501	1.781	1.329	-1.352	-1.891	-1.083	-1.543	-2.595	-2.302	0.715	1.42	-2.392	-2.4735	-3.097	1.2575	-0.0275	-2.035	-1.2575	-0.1915	0.1955	1.1975	-2.338	-1.525	-0.55	-3.884	-3.237	-2.657	-3.578	-4.068	-2.732	-3.858	0.239	0.558	0.315	-0.01	0.273	-1.756	-2.465	-3.708	-3.24	0.066	1.079	0.363	0.537	0.405	-0.726	-0.669	-1.525	-2.437
"YFR004W"	0.216	0.391	0.087	0.725	0.955	-0.078	0.914	1.01	0.53	0.78	0.94	0.384	0.218	1.379	0.497	0.608	0.457	-0.069	-0.659	-0.174	-2.481	0.841	0.411	0.07	0.677	0.678	0.154	-0.07	-0.142	0.047	-0.052	-0.123	-0.52	-0.015	0.018	-0.418	-0.141	0.39	0.224	0.845	-0.12	-0.185	0.476	-0.024	-0.225	0.391	0.617	0.136	0.431	0.425	0.392	0.415	0.302	0.1675	0.475	0.1165	0.1245	1.0235	0.4575	0.6985	0.4465	-0.2155	0.732	0.994	0.871	1.164	0.421	0.37	1.551	0.745	0.621	1.606	0.334	0.335	0.191	-0.015	0.698	0.43	0.312	0.421	0.145	0.506	0.177	0.811	0.736	0.643	0.768	1.244	1.425	0.938
"YFR050C"	-0.277	-0.15	-0.05	0.738	0.404	0.074	0.758	0.746	0.52	-0.241	0.407	0.136	0.545	0.155	-0.094	0.298	-0.322	-0.174	-0.139	-0.476	-3.392	-0.163	0.079	0.196	0.009	-0.08	-0.355	-0.046	0.644	0.266	-0.047	0.021	-1.442	0.205	0.08	0.051	-0.016	0.042	0.444	0.774	-0.145	-0.176	0.055	0.049	0.024	0.709	0.845	0.106	0.44	0.761	0.283	0.488	0.231	-0.089	0.225	0.281	-0.166	1.02	1.7	-0.467	-0.056	0.336	1.693	1.391	1.069	1.132	1.294	0.737	2.198	0.823	0.56	0.913	1.533	0.506	0.871	0.364	0.173	-0.001	0.197	0.305	0.552	0.799	0.831	0.355	0.449	0.335	1.209	1.641	1.334	0.814
"YFR052W"	-0.123	-0.021	0.392	1.115	0.936	0.819	1.046	1.152	0.899	-0.264	0.242	0.243	0.368	0.339	0.224	0.327	-0.407	-0.506	-0.527	-0.802	-3.955	0.024	0.342	0.329	0.327	0.273	-0.147	-0.154	0.839	0.395	0.04	-0.185	-0.993	0.134	0.112	0.129	0.277	0.148	0.718	0.935	-0.335	-0.047	0.031	-0.224	0.603	1.01	1.309	-0.193	0.242	0.832	-0.069	0.41	0.523	-0.96	1.156	0.366	0.187	-0.043	0.629	-0.335	0.185	-0.143	2.023	1.995	0.994	0.718	0.419	0.296	1.618	0.481	0.94	0.329	0.695	0.915	0.677	0.412	0.123	0.909	0.964	0.879	0.701	0.822	0.362	0.511	0.437	0.466	1.732	1.785	1.405	1.359
"YGL078C"	0.446	0.367	0.198	-4.33	-3.709	-1.968	-3.238	-4.399	-3.428	0.55	-1.967	-1.788	-3.193	-4.866	-2.556	-1.916	-1.553	-1.111	-2.045	-2.215	-4.455	-2.562	-0.23	0.557	-2.914	-2.134	-2.156	0.417	-4.196	-1.897	-1.879	-1.744	-1.515	0.142	-0.109	-0.147	0.29	-0.244	-2.446	-1.862	1.63	1.471	0.88	0.589	-2.395	-3.376	-2.165	-1.541	-2.267	-2.353	0.305	0.96	-1.775	-1.112	-4.147	-0.019	-0.307	-2.624	-2.185	-1.301	-0.717	0.19	-3.538	-2.819	-1.204	-3.53	-2.245	-1.151	-3.576	-1.995	-1.225	-0.948	-0.439	-0.348	-0.465	-0.039	-0.155	-2.828	-2.365	-2.616	-1.811	-0.215	0.882	0.026	0.0	-0.097	-2.503	-2.856	-2.593	-1.168
"YGL102C"	1.047	0.594	0.419	-1.212	-1.538	-1.406	-1.384	-2.074	-2.584	0.767	-0.97	-1.457	-1.085	-3.419	-2.825	-2.081	-1.973	-2.112	-2.356	-2.658	-5.65	-1.718	-1.171	-0.058	-3.301	-3.227	-3.132	0.672	-3.32	-1.921	-2.077	-2.144	-1.938	0.101	0.392	0.412	0.557	0.565	-0.56	-0.749	0.511	0.437	1.818	1.179	-1.149	-1.36	-1.229	-0.759	-1.66	-1.666	0.568	0.956	-1.881	-2.146	-2.437	0.555	0.104	-1.71	-1.743	-0.86	-0.674	0.7945	-2.289	-1.524	-0.613	-3.42	-2.202	-1.7	-3.272	-2.955	-2.203	-3.411	-0.3	-0.097	0.051	-0.148	-0.386	-1.217	-2.15	-3.529	-2.764	-0.2	1.048	0.647	0.726	0.755	-0.689	-0.751	-1.368	-1.716
"YGR103W"	0.72	-0.176	-0.529	-4.795	-5.229	-3.278	-4.485	-5.118	-3.624	0.97	-2.492	-2.381	-3.525	-4.825	-3.051	-3.013	-2.66	-2.148	-2.349	-1.948	-5.518	-2.869	-0.691	-0.045	-2.251	-2.402	-2.149	0.367	-4.861	-2.978	-2.918	-2.95	-3.578	0.268	-0.655	-0.63	-0.045	-0.467	-1.567	-1.403	2.11	1.99	1.499	1.233	-1.592	-3.571	-3.093	-1.225	-2.866	-3.724	0.359	0.818	-2.287	-2.468	-5.075	-0.224	-0.228	-3.487	-3.212	-1.148	-1.02	0.152	-4.921	-3.6885	-1.8095	-3.1195	-2.6665	-1.548	-4.287	-2.4	-2.155	-1.886	0.035	0.0745	-0.3095	0.0845	-0.0965	-2.101	-1.7455	-2.3075	-1.8465	-0.5135	0.6545	0.2725	0.167	0.106	-2.612	-2.781	-2.564	-1.818
"YGR123C"	0.347	-0.304	0.12	-3.5875	-3.2965	-1.9375	-3.0495	-4.1895	-3.748	-0.346	-0.683	-0.971	-0.929	-4.447	-2.7	-2.234	-2.041	-1.249	-2.224	-3.794	-4.328	-2.958	-1.067	0.063	-2.878	-2.97	-2.137	0.271	-2.118	-1.549	-1.989	-1.536	-2.413	0.318	-0.197	-0.24	0.045	-0.505	-1.64	-1.05	1.047	0.806	0.275	0.889	-1.22	-1.73	-1.141	-0.923	-1.647	-1.535	0.6	0.843	-1.589	-1.7365	-4.594	0.204	-0.0705	-2.099	-1.394	-0.761	-0.356	0.945	-2.795	-1.547	-0.279	-2.403	-3.664	-1.262	-3.836	-3.389	-2.052	-2.048	-0.24	0.033	-0.18	0.358	0.044	-1.757	-1.188	-1.103	-1.505	-0.42	0.817	-0.223	-0.141	0.068	-1.318	-2.132	-1.701	-1.032
"YGR128C"	0.099	-0.079	-0.009	-2.985	-3.042	-1.3415	-2.4315	-3.197	-2.749	0.909	-1.392	-1.474	-2.307	-3.032	-2.601	-2.603	-2.213	-1.732	-2.665	-2.66	-4.271	-2.83	-0.902	0.467	-2.816	-2.202	-1.622	0.357	-3.207	-1.88	-2.107	-2.236	-3.037	0.171	-0.187	0.293	0.157	-0.212	-1.961	-1.551	1.113	1.015	0.644	0.408	-1.643	-2.422	-1.522	-1.405	-1.874	-1.85	0.34	0.906	-1.173	-1.9935	-2.534	0.0515	0.278	-3.083	-1.7225	-0.8355	-0.692	0.4755	-2.714	-1.919	-0.878	-1.071	-0.84	-0.697	-0.921	-0.334	-1.481	-0.84	-0.54	-0.225	-0.378	-0.005	-0.091	-2.09	-1.597	-2.299	-1.038	0.131	1.13	0.113	0.017	0.023	-1.668	-2.01	-2.046	-1.123
"YGR160W"	0.985	0.216	0.586	-6.235	-5.9475	-4.248	-5.567	-6.207	-4.6575	1.047	-3.504	-3.092	-3.281	-4.796	-4.983	-4.886	-3.976	-2.766	-2.931	-2.479	NaN	-1.923	0.057	0.131	-2.892	-2.69	-2.008	0.379	-4.626	-3.397	-2.991	-3.408	-4.076	-0.31	-0.225	-0.174	0.153	-0.606	-3.109	-2.876	2.588	2.847	2.017	1.976	-3.117	-3.857	-2.834	-2.737	-3.507	-3.412	0.27	1.097	-2.325	-3.3665	-6.3385	0.609	-0.7205	-4.147	-3.2215	-1.658	-0.961	0.5265	-4.64	-4.207	-2.649	-2.945	-3.866	-2.427	-4.708	-4.059	-2.794	-1.755	-0.527	-0.625	-1.013	-0.175	-0.672	-4.016	-3.534	-3.889	-2.719	-0.511	1.001	0.298	0.238	0.314	-3.562	-4.044	-3.98	-2.601
