	"409.heat shock 25 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"4874.1M sorbitol - 90 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"21628..24 mM H2O2- 105 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21641..24 mM H2O2- 112 minutes"	"21643..24 mM H2O2- 140 minutes"	"21645..24 mM H2O2- 020 minutes"	"21648..24 mM H2O2- 030 minutes"	"21650..24 mM H2O2- 040 minutes"	"21655..24 mM H2O2- 014 minutes"	"21659..24 mM H2O2- 077 minutes"	"21663..24 mM H2O2- 063 minutes/redo"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"40946.H2O2_II_7_min"	"40961.MD_II_0_min"
"YGL076C"	-2.744	-3.969	-3.136	-2.73	-2.564	-2.401	-3.32	-4.142	-2.568	-2.648	0.171	-0.19	-0.219	-0.24	-0.316	-2.656	-0.487	-2.2815	-1.4805	-0.6005	-0.2445	0.0595	0.1515	-0.572	0.1045	-2.0235	-1.407	-4.003	-3.509	-2.778	-3.347	-3.315	-2.544	-2.894	0.1765	0.5125
"YGL103W"	-2.193	-3.452	-3.096	-2.876	-2.468	-2.344	-3.266	-3.07	-1.73	-2.048	-0.066	0.212	0.007	0.099	0.2	-2.243	-0.872666666666667	-2.24666666666667	-1.914	-0.581666666666667	-0.115	0.425	0.407	-0.0913333333333333	-0.0953333333333333	-2.47533333333333	-1.34266666666667	-2.976	-2.146	-1.398	-3.189	-2.934	-2.202	-2.821	-0.970333333333333	-0.541
"YGL121C"	2.106	2.903	4.642	4.908	4.899	4.115	3.028	3.623	2.795	3.85	0.327	0.311	-0.009	0.082	0.019	3.68	2.171	2.662	3.08	1.92	1.001	1.189	-0.011	1.312	-0.059	3.05	0.694	3.68	4.831	3.577	4.067	4.542	2.934	3.387	-0.222	-0.372
"YGL147C"	-4.102	-3.892	-3.111	-3.32	-3.389	-3.896	-3.0	-4.384	-2.874	-3.388	0.219	-0.118	-0.051	-0.216	-0.008	-3.829	-1.206	-2.386	-2.411	-0.994	-0.12	-0.153	0.236	-0.964	0.449	-2.569	-1.487	-3.1805	-2.6025	-3.0	-3.1585	-3.3875	-2.3945	-3.135	-0.923	-0.744
"YGR034W"	-3.059	-3.922	-3.172	-3.096	-2.637	-2.998	-3.268	-3.635	-2.022	-2.01	0.09	-0.189	-0.159	-0.031	0.033	-2.708	-1.36	-1.851	-2.279	-0.982	-0.533	-0.984	0.048	-0.673	-0.101	-2.72	-1.283	-2.986	-3.003	-2.725	-4.347	-3.643	-2.741	-2.179	-0.481	-1.004
"YGR085C"	-2.966	-3.713	-3.301	-2.511	-2.202	-2.146	-3.071	-4.359	-2.625	-2.77	0.084	0.366	0.168	0.319	0.258	-2.908	-0.732	-2.277	-1.731	-0.21	-0.218	1.306	0.814	0.761	0.771	-2.39	-1.059	-4.004	-2.792	-2.272	-3.45	-3.003	-2.048	-1.785	0.42	-0.656
"YGR118W"	-2.6185	-2.621	-2.692	-2.681	-2.455	-1.993	-2.458	-3.851	-1.997	-2.117	0.213	0.685	0.409	0.401	0.482	-2.633	-1.104	-1.9425	-1.528	-0.3165	-0.1625	0.808	0.4275	0.3675	0.3525	-2.2505	-1.443	-2.477	-2.162	-1.82	-2.13	-2.249	-1.697	-1.94	-0.1625	-0.798
"YGR146C"	1.6335	2.732	3.071	2.87	3.77	4.645	0.716	2.975	3.395	3.401	-0.124	-0.174	-0.015	0.137	0.395	1.646	1.3455	1.252	1.3005	0.7605	0.8375	0.5055	0.9405	-0.4105	0.5075	1.8055	0.0845	1.838	1.591	2.512	2.708	2.398	1.568	3.315	0.8075	0.855
"YGR148C"	-2.942	-3.45	-3.596	-3.464	-3.033	-2.615	-3.141	-5.063	-2.508	-2.896	-0.208	0.459	0.285	0.223	0.356	-2.591	-1.115	-2.094	-1.6535	-0.122	0.416	0.6635	0.651	0.4675	1.137	-2.135	-1.1095	-3.53	-2.779	-2.133	-3.103	-2.693	-1.897	-2.334	-0.1145	-0.7005
"YGR264C"	-2.2555	-3.787	-2.696	-3.156	-3.156	-3.206	-3.505	-3.897	-2.707	-3.468	-0.156	0.03	0.069	-0.052	-0.149	-2.154	-0.689	-2.82	-2.472	-1.508	-1.004	-0.364	-0.299	-0.576	-1.266	-2.172	-1.698	-3.556	-2.673	-1.736	-3.33	-3.082	-1.962	-2.066	-1.46	-1.335
"YHR010W"	-3.406	-3.693	-3.281	-3.149	-2.926	-3.025	-3.343	-4.159	-2.244	-2.541	0.269	0.208	0.14	0.177	0.041	-3.0485	-0.954	-2.255	-1.965	-0.491	-0.134	-0.249	0.682	-0.518	0.281	-2.495	-1.657	-3.363	-2.267	-2.283	-3.56	-2.961	-1.715	-2.978	-0.509	-1.939
"YHR104W"	4.658	3.691	1.878	1.323	1.523	0.775	1.606	2.561	2.913	3.122	0.24	0.68	0.622	0.418	0.536	5.319	1.947	3.05	2.605	1.03	0.376	-1.105	-1.258	0.082	-0.466	3.118	1.43	2.457	1.421	1.698	3.963	2.022	1.53	1.952	-0.17	0.663
"YIL052C"	-2.7275	-3.856	-3.261	-2.954	-2.61	-3.178	-2.82	-4.174	-2.271	-2.546	0.09	0.051	-0.012	0.178	0.101	-2.531	-0.746	-0.967	-1.057	-0.17	-0.185	0.433	0.673	0.019	0.375	-1.624	-0.24	-3.32	-2.562	-2.217	-2.821	-2.677	-1.94	-3.315	0.175	0.898
"YJL068C"	2.307	1.543	2.1	2.46	2.312	1.845	0.847	1.212	1.202	0.929	0.0	0.333	0.338	0.341	0.59	2.2315	1.262	0.712	1.283	1.139	0.541	-0.719	-0.926	-0.47	-0.611	0.466	-0.108	1.465	2.351	1.203	1.526	1.439	1.437	2.187	-1.187	-1.347
"YJL161W"	2.9465	4.563	3.611	3.93	3.112	3.361	2.121	3.842	3.222	3.992	0.292	-0.183	0.38	0.235	0.239	3.716	0.992	1.999	1.426	0.638	0.411	-0.581	-0.107	-0.09	-0.353	1.933	1.245	3.856	2.853	2.924	4.871	3.407	2.38	2.76	-1.468	-0.584
"YJL177W"	-3.2765	-4.132	-3.846	-3.2	-2.981	-2.747	-3.409	-5.074	-2.525	-2.421	0.273	0.067	-0.019	-0.016	0.057	-3.293	-0.452	-2.208	-1.404	-0.282	0.18	1.035	0.693	-0.786	0.101	-1.898	-1.87	-4.72	-4.004	-3.278	-4.54	-4.115	-3.056	-3.266	0.632	-0.768
"YJR073C"	3.1755	3.353	4.319	3.445	3.525	3.118	0.514	2.104	1.139	1.1	0.448	0.432	0.322	0.2	0.356	1.949	1.857	1.986	2.008	1.117	0.221	-0.156	-0.16	0.421	0.117	1.841	0.842	3.008	3.301	2.919	2.375	3.077	2.591	1.969	0.35	0.557
"YJR145C"	-2.8575	-4.507	-3.488	-3.177	-2.731	-2.413	-3.551	-4.857	-2.396	-2.336	0.555	0.02	-0.1	-0.238	-0.158	-2.7805	-0.652	-2.312	-1.852	-0.535	-0.372	0.162	0.213	-0.36	-0.06	-2.291	-1.511	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74	-2.94	-0.685	-1.894
"YKL006W"	-3.315	-4.299	-3.901	-3.389	-2.854	-3.16	-3.049	-4.545	-2.442	-2.791	0.164	0.186	-0.009	-0.011	0.308	-3.02	-0.791	-2.544	-1.943	-0.308	0.043	0.616	0.232	0.311	0.413	-2.501	-2.356	-4.432	-3.39	-2.92	-4.756	-4.221	-2.993	-3.593	0.108	0.136
"YKL067W"	2.207	2.333	2.596	3.159	2.571	2.321	1.617	2.54	1.923	2.243	0.262	0.321	0.172	0.158	0.409	2.22	1.41	1.695	0.986	1.327	0.514	0.432	-0.143	0.746	0.913	1.508	0.197	1.834	3.313	2.761	3.108	2.735	3.04	2.448	0.351	-1.158
"YKL085W"	2.557	4.338	4.621	4.735	3.853	3.112	2.52	3.733	2.72	2.135	0.116	0.41	0.385	0.428	0.598	2.286	1.671	2.146	1.978	1.503	0.897	1.107	0.246	1.117	0.094	2.281	0.598	3.126	3.575	3.463	2.917	3.615	3.704	3.219	0.747	0.321
"YKL150W"	3.068	3.989	3.734	3.947	3.273	2.136	1.457	4.228	3.772	3.627	0.529	-0.565	-0.565	-0.701	-0.713	2.857	1.31	1.881	1.857	1.274	0.974	0.495	-0.97	0.025	-0.193	1.777	2.215	2.7	3.344	2.601	4.12	3.616	3.503	2.794	-0.023	1.213
"YKR046C"	2.034	2.019	1.967	1.595	1.883	2.784	1.841	1.726	1.957	2.152	0.132	-1.761	-2.041	-2.324	-2.052	2.093	1.328	0.725	1.087	0.436	0.019	0.487	0.232	0.365	-0.468	1.404	0.255	2.081	1.626	1.556	1.834	2.303	1.054	2.377	0.504	0.703
"YLL044W"	-3.582	-4.871	-3.525	-3.158	-2.869	-2.963	-3.313	-3.872	-2.654	-2.736	-0.133	0.031	0.0	-0.213	-0.205	-3.517	-0.97	-2.952	-2.16	-0.748	-0.384	-0.806	-0.265	-1.008	-0.103	-2.673	-1.745	-3.189	-2.774	-2.055	-3.806	-2.77	-2.196	-2.935	-0.402	-0.345
"YLL045C"	-3.116	-3.851	-3.176	-2.506	-2.189	-2.221	-3.169	-3.66	-2.604	-2.495	0.18	0.23	0.123	0.182	-0.061	-3.545	-0.493	-2.707	-1.621	-0.333	-0.253	0.834	0.419	-0.202	0.242	-2.21	-1.493	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	-2.362	-0.325	0.884
"YLR061W"	-3.322	-4.925	-4.297	-4.115	-3.603	-3.127	-3.239	-4.326	-2.433	-2.88	0.433	0.156	0.033	0.142	0.164	-2.697	-1.073	-2.534	-1.593	-0.597	-0.295	0.063	0.724	-1.481	-0.033	-2.311	-1.674	-2.468	-2.246	-1.804	-4.004	-2.793	-2.94	-3.717	-0.393	0.14
"YLR178C"	6.066	5.949	5.421	4.881	5.219	4.93	3.832	3.6	2.561	2.885	0.458	0.928	0.763	0.831	0.788	6.29	3.234	4.758	4.367	2.609	1.238	-0.397	-0.074	1.871	-0.123	4.873	2.083	5.407	4.372	3.242	5.3	4.727	3.457	3.71	0.274	0.714
"YLR185W"	-2.305	-4.508	-3.498	-3.001	-2.551	-2.749	-2.94	-4.019	-2.136	-2.209	0.114	0.134	-0.011	0.017	0.342	-2.487	-0.903	-2.302	-2.13	-0.314	-0.646	-0.689	0.07	-0.19	0.381	-2.469	-1.406	-3.712	-3.007	-2.345	-3.488	-3.242	-2.643	-3.35	-1.37	0.722
"YLR327C"	5.199	4.027	4.45	2.868	4.348	1.507	5.562	3.561	3.253	3.422	-0.246	1.025	0.709	0.621	0.901	6.244	3.382	2.87	3.83	3.077	1.194	-0.4	0.696	1.559	0.13	3.294	1.779	6.94	6.324	5.267	4.86	5.963	5.223	5.412	-1.7	-1.721
"YLR333C"	2.731	-3.93	-3.067	-2.402	-2.401	-2.342	-3.538	-4.032	-2.092	-2.057	0.067	0.225	0.102	0.117	0.316	NaN	-0.997	-1.929	-1.8	-0.458	-0.119	0.343	-0.063	-0.338	0.884	-2.119	-1.053	-4.086	-2.673	-1.894	-3.582	-2.843	-2.359	-1.826	-0.456	-1.032
"YML024W"	-3.361	-3.616	-3.535	-3.016	-2.718	-3.285	-3.523	-3.455	-2.512	-2.583	-0.062	-0.411	-0.146	-0.064	-0.244	-3.024	-1.129	-2.496	-1.928	-0.549	-0.076	-0.437	-0.623	-1.016	0.724	-2.601	-1.787	-3.36	-1.947	-1.537	-2.891	-2.573	-1.907	-2.067	-0.789	-1.169
"YML026C"	-3.139	-3.811	-3.779	-3.236	-2.913	-3.29	-3.779	-3.572	-2.873	-2.821	-0.007	-0.242	-0.048	0.056	-0.073	-3.032	-1.063	-2.407	-1.783	-0.489	-0.288	0.453	-0.184	-0.262	0.429	-2.351	-0.448	-4.522	-3.396	-2.98	-4.595	-3.765	-2.94	-3.307	-0.789	-0.679
"YMR131C"	-4.525	-5.631	-3.641	-3.811	-2.698	-2.914	-3.547	-4.277	-2.829	-3.214	0.12	0.005	0.112	0.084	-0.305	-4.674	-1.157	-1.858	-1.222	-0.733	-0.317	0.22	-0.769	-0.89	-0.251	-2.27	-0.863	-1.412	-2.944	-2.054	-4.181	-2.68	-1.908	-2.616	-0.647	-0.822
"YMR142C"	-3.395	-3.579	-3.719	-3.19	-2.326	-2.822	-3.048	-4.4	-2.974	-2.468	0.053	-0.086	-0.269	-0.061	0.027	-3.22	-0.546	-1.802	-1.584	-0.7	-0.215	0.6	0.713	-0.247	0.236	-1.881	-0.278	-4.355	-3.347	-3.104	-4.039	-3.538	-3.031	-3.042	0.725	1.748
"YMR143W"	-3.145	-3.748	-3.175	-3.477	-3.087	-2.234	-3.563	-4.401	-2.703	-2.873	-0.115	-0.553	-0.362	-0.534	-0.306	-2.631	-1.139	-2.627	-2.351	-1.115	-0.584	0.187	1.439	-0.657	-0.223	-2.601	-2.108	-4.133	-3.647	-3.943	-4.75	-3.456	-3.199	-2.887	0.393	0.317
"YMR230W"	-2.593	-3.465	-3.053	-2.702	-2.699	-1.989	-2.924	-3.21	-2.361	-1.71	-0.152	-0.519	-0.347	-0.345	-0.26	NaN	-1.056	-2.281	NaN	-0.518	-0.34	0.028	-0.377	-0.961	0.585	-2.723	-0.726	-3.054	-2.758	-1.782	-3.802	-3.223	-2.456	-2.976	-0.952	-1.677
"YMR242C"	-3.309	-4.702	-3.631	-3.819	-3.001	-3.032	-3.832	-4.84	-2.59	-3.004	-0.025	-0.026	-0.048	0.069	0.118	-3.054	-0.71	-2.358	-1.606	-0.535	-0.008	0.476	0.165	-0.147	0.293	-2.31	-1.946	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	-3.856	0.384	0.269
"YNL055C"	2.503	3.045	3.733	3.137	2.56	1.79	1.705	3.605	2.257	2.534	0.373	0.613	0.074	0.411	0.566	2.153	1.665	1.177	1.359	0.761	0.471	-0.093	-0.491	-0.272	-0.067	1.591	1.212	1.702	1.996	1.582	1.948	2.793	2.231	2.221	0.628	0.642
"YNL067W"	-3.335	-4.019	-2.871	-2.193	-2.054	-2.908	-2.866	-4.131	-2.506	-2.759	0.599	0.32	0.174	0.254	0.068	-3.16	-0.829	-2.393	-2.091	-0.662	-0.248	-0.323	-0.277	-0.788	0.106	-2.453	-1.636	-2.698	-2.15	-2.329	-3.107	-2.534	-2.013	-2.982	-0.978	-1.51
"YNL141W"	-3.112	-5.105	-3.596	-3.239	-3.348	-3.35	-2.833	-3.709	-2.886	-3.361	-0.066	-0.634	-0.29	-0.337	-0.554	-3.291	-1.52	-3.239	-3.211	-1.64	-1.545	-0.893	-0.836	-0.145	-1.401	-2.94	-1.282	-2.449	-2.951	-1.429	-4.363	-3.307	-2.679	-3.949	-0.498	-0.158
"YNL162W"	-3.17	-3.953	-3.395	-3.14	-2.838	-2.163	-2.86	-3.999	-2.0	-2.0	-0.153	0.12	0.028	-0.006	0.199	-2.998	-0.858	-2.785	-2.324	-0.286	-0.236	-0.252	-0.015	-0.432	0.642	-2.852	-1.868	-2.704	-2.701	-2.189	-3.916	-3.323	-2.825	-3.105	-1.367	-0.609
"YNL178W"	-3.467	-4.244	-3.755	-3.785	-3.505	-3.159	-3.239	-4.97	-2.899	-2.981	-0.138	0.121	-0.04	-0.105	-0.072	-3.459	-0.944	-2.15	-2.21	-0.867	-0.394	-0.535	1.133	-0.602	-0.038	-2.248	-0.765	-2.898	-2.059	-1.999	-2.548	-2.616	-2.364	-2.764	-1.79	-1.889
"YNL200C"	3.269	4.582	3.797	3.537	4.197	2.818	2.15	3.003	3.51	2.912	-0.028	0.0	0.165	0.079	0.441	4.124	1.709	2.447	2.534	1.459	1.119	-0.061	-0.662	0.481	-0.401	2.717	1.551	4.514	4.524	3.391	4.527	4.165	3.064	3.548	1.067	-0.284
"YOR293W"	-3.618	-4.155	-3.7615	-3.19	-2.996	-2.697	-3.442	-4.233	-2.533	-2.507	-0.104	-0.264	-0.137	-0.1	-0.033	-3.151	-0.687	-2.037	-2.295	-0.431	-0.269	-0.221	-0.034	-0.662	0.717	-2.655	-1.471	-3.53	-3.262	-3.205	-3.853	-3.23	-2.89	-3.271	-0.331	-0.885
"YPL079W"	-3.115	-4.616	-4.1965	-3.787	-3.3525	-2.6495	-3.085	-4.735	-2.741	-3.087	-0.058	-0.206	-0.155	-0.188	0.039	-3.135	-0.694	-1.336	-1.307	-0.524	-0.199	-0.328	-0.086	-0.981	0.38	-1.665	-1.074	-2.865	-2.753	-2.74	-3.573	-3.431	-2.725	-2.785	0.6	0.803
"YPL087W"	-0.454	2.998	2.716	2.316	1.5655	2.0105	0.968	3.3	2.032	2.401	-0.308	-0.044	0.133	0.024	0.51	2.868	1.122	1.694	1.303	0.508	0.552	-0.205	-0.611	0.49	-0.608	1.966	0.74	2.46	2.058	1.85	2.77	2.742	1.903	2.352	-0.204	0.17
"YPL143W"	-1.077	-4.4445	-3.3605	-3.232	-3.2955	-2.7845	-3.0685	-4.372	-2.155	-2.195	0.333	-0.144	-0.247	0.33	-0.026	-0.986	-0.98	-2.347	-1.905	-0.436	-0.021	0.163	-0.05	-0.661	0.173	-2.864	-1.266	-2.893	-2.234	-1.996	-3.13	-2.792	-2.506	-2.952	-0.367	0.49
"YPR015C"	0.203	2.095	2.541	2.7235	2.422	2.691	1.4155	1.322	1.784	1.722	0.268	-0.283	-0.319	0.035	-0.671	0.7	1.788	1.974	1.786	1.323	1.142	0.377	-0.168	0.557	0.0	1.858	1.061	1.3545	1.6015	0.866	1.0515	1.847	0.7395	1.5555	-0.366	-0.417
