	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"
"YLR276C"	-3.174	-5.399	-0.106
"YLR288C"	-1.515	-3.767	0.955
"YLR325C"	-2.337	-5.498	0.408
"YLR333C"	-3.011	-5.863	0.542
"YLR339C"	-4.988	-6.865	0.974
"YLR367W"	-2.78	-6.716	0.804
"YLR378C"	-1.61	-4.082	0.381
"YLR386W"	-1.399	-3.703	0.38
"YLR388W"	-3.596	-5.506	0.687
"YLR412W"	-1.827	-4.156	0.924
"YLR421C"	-0.74	-1.832	0.199
"YLR433C"	-1.165	-3.462	0.712
"YLR434C"	-1.783	-2.483	0.705
"YML063W"	-4.048	-13.273	0.424
"YML074C"	-2.837	-5.319	0.512
"YML078W"	-1.133	-3.857	1.026
"YMR010W"	-1.643	-4.183	0.309
"YMR044W"	-0.036	-0.637	0.444
"YMR047C"	-1.2605	-3.61	0.331
"YMR074C"	-1.14	-3.406	0.609
"YMR129W"	-1.351	-3.503	0.24
"YMR132C"	-1.469	-2.963	0.003
"YMR149W"	-1.442	-3.396	0.924
"YMR212C"	-2.04	-6.75	0.647
"YMR234W"	-1.313	-2.626	0.293
"YMR236W"	-0.353	-2.703	0.461
"YMR264W"	-0.762	-3.464	0.68
"YMR289W"	-1.469	-2.452	0.644
"YNL026W"	-1.792	-4.57	0.108
"YNL035C"	-2.242	-4.036	0.268
"YNL064C"	-1.228	-3.31	0.482
"YNL067W"	-2.84	-5.731	0.273
"YNL085W"	-2.342	-5.369	0.571
"YNL099C"	-0.442	-1.595	0.088
"YNL152W"	-1.893	-3.141	-0.011
"YNL178W"	-4.338	-6.62	0.607
"YNL182C"	-5.862	-2.532	-0.428
"YNL228W"	-1.08	-3.325	-0.522
"YNL291C"	-2.472	-4.479	0.475
"YNL302C"	-2.1925	-4.746	0.456
"YNL316C"	-1.309	-3.472	0.222
"YNR023W"	0.462	-2.6275	-0.638
"YOL039W"	-2.068	-7.971	0.768
"YOL064C"	-1.157	-2.52	0.406
"YOL139C"	-2.31	-5.5	-0.067
"YOR157C"	-1.899	-4.5095	-0.032
"YOR176W"	-1.862	-3.661	0.684
"YOR196C"	-0.6645	-4.7485	-0.105
"YOR209C"	-2.998	-6.004	0.435
"YOR260W"	-2.507	-4.639	0.123
"YOR270C"	-1.649	-4.932	0.644
"YOR320C"	-1.2535	-3.6785	0.529
"YOR323C"	-4.2845	-6.434	-0.396
"YPL001W"	-1.671	-4.084	-0.087
"YPL013C"	-0.2605	-2.0065	0.598
"YPL028W"	-3.482	-5.5385	1.073
"YPL048W"	-3.2175	-4.579	0.656
"YPL066W"	-1.628	-2.461	0.15
"YPL081W"	-3.4025	-6.801	0.025
"YPL094C"	-3.0415	-5.3055	0.532
"YPL117C"	-1.2295	-3.918	0.303
"YPL142C"	-3.5865	-5.604	0.55
"YPL158C"	-1.597	-3.676	0.363
"YPL195W"	-1.607	-4.488	-0.146
"YPL220W"	-3.187	-6.1465	0.383
"YPL234C"	-0.717	-3.269	0.117
"YPL238C"	-2.431	-4.788	0.547
"YPR029C"	-1.735	-4.2395	0.574
"YPR033C"	-4.8805	-7.94	0.401
"YPR036W"	-2.899	-5.024	-1.793
"YPR060C"	-2.069	-3.801	-0.083
"YPR080W"	-2.848	-5.6305	0.57
"YPR129W"	-1.8015	-6.025	0.092
"YPR163C"	-2.9485	-5.4905	0.544
"YPR173C"	-1.224	-3.6935	0.071
