	"809.DBY7286 37degree heat - 20 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6361.DBYyap1- 37degree heat - 20 min (redo)"
"YJR087W"	0.3055	-2.136	-3.553	-0.394	-0.447	-0.634	-1.125	-1.669	-1.145	0.056
"YJR145C"	-1.7845	-3.54	-6.528	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	-1.93
"YKL021C"	-0.7745	-2.503	-3.469	-1.537	-1.655	-1.492	-2.25	-2.126	-2.619	-0.9795
"YKL056C"	-1.046	-3.426	-5.119	-1.669	-1.741	-2.281	-2.754	-3.265	-3.483	-1.1915
"YKR026C"	-0.228	-2.863	-3.755	-1.296	-1.369	-1.003	-1.858	-2.363	-2.231	-0.479
"YKR056W"	-1.013	-3.298	-4.34	-1.639	-1.597	-1.637	-2.627	-3.787	-3.544	-0.816
"YKR082W"	0.305	-2.473	-2.648	-1.054	-0.885	-1.249	-1.45	-1.895	-2.598	-0.17
"YLL014W"	-0.232	-2.05	-2.693	-0.779	-0.555	-0.928	-0.869	-0.831	-1.191	-0.112
"YLL035W"	-0.383	-2.821	-3.138	-1.466	-1.355	-1.239	-1.67	-2.017	-1.979	-0.418
"YLR003C"	-0.805	-3.993	-3.267	-1.951	-1.333	-1.316	-2.966	-3.316	-3.421	-0.962
"YLR060W"	-0.273	-4.941	-5.967	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.708
"YLR061W"	-0.693	-4.939	-6.591	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	-0.817
"YLR062C"	-1.524	-5.705	-6.896	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	-1.928
"YLR083C"	-1.173	-3.767	-5.137	-1.494	-2.031	-2.545	-2.29	-3.88	-3.36	-1.513
"YLR100W"	-0.174	-2.507	-4.853	-0.746	-1.184	-1.09	-1.855	-2.159	-2.128	-0.375
"YLR101C"	-0.036	-2.239	-3.161	-1.115	-1.073	-1.203	-1.911	-2.069	-2.518	-0.325
"YLR183C"	-1.439	-3.664	-3.782	-1.069	-1.133	-1.434	-1.791	-3.695	-3.132	-1.275
"YLR195C"	-0.267	-3.103	-2.38	-0.778	-0.97	-1.176	-2.67	-2.925	-2.939	-0.446
"YLR196W"	-1.52	-4.437	-5.836	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	-1.454
"YLR222C"	-0.94	-3.721	-4.745	-1.613	-2.036	-2.29	-3.081	-2.929	-3.119	-0.913
"YLR262C"	0.107	-1.526	-3.035	-0.047	-0.195	-0.15	-0.815	-1.042	-0.484	-0.164
"YLR268W"	0.074	-2.229	-3.316	-0.439	-0.815	-0.594	-0.943	-1.415	-1.039	-0.284
"YLR285W"	NaN	-2.874	-2.515	-1.842	-2.107	-2.586	-2.037	-2.315	-2.333	-1.415
"YLR291C"	-0.447	-3.037	-4.762	-1.21	-1.186	-1.283	-1.783	-2.216	-2.363	-0.463
"YLR301W"	0.228	-3.676	-5.415	-1.36	-0.925	-1.325	-2.581	-2.218	-2.268	-0.05
"YLR339C"	-1.401	-4.988	-6.865	-1.977	-2.647	-2.474	-2.461	-3.161	-3.973	-1.958
"YLR447C"	-0.254	-1.09	-3.159	-0.361	-0.659	-1.032	-0.886	-1.877	-1.621	-0.804
"YLR448W"	-1.538	-3.552	-5.971	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	-1.725
"YML063W"	-1.764	-4.048	-13.273	-2.159	-2.658	-2.875	-3.123	-3.364	-4.059	-1.98
"YML073C"	-1.748	-3.862	-6.033	-2.471	-2.561	-2.549	-2.401	-2.624	-3.718	-1.867
"YMR033W"	-0.025	-3.063	-4.454	-1.273	-1.244	-1.469	-1.745	-1.826	-1.988	-0.295
"YMR093W"	-0.414	-3.98	-4.21	-1.991	-1.912	-2.558	-2.591	-3.429	-3.183	-0.483
"YMR131C"	-1.248	-5.052	-6.665	-2.776	-2.829	-3.214	-4.236	-5.241	-4.266	-1.363
"YMR217W"	-2.139	-4.735	-5.29	-2.652	-3.341	-4.118	-3.713	-4.205	-4.469	-2.116
"YMR229C"	-1.3185	-4.4055	-5.288	-2.78	-2.897	-2.0525	-3.7195	-3.685	-3.93	-1.2375
"YMR307W"	-1.358	-5.132	-5.877	-1.413	-2.493	-3.39	-4.432	-5.016	-4.56	-1.484
"YNL048W"	0.085	NaN	NaN	0.026	-0.301	-0.377	-1.253	-1.71	-1.887	-0.134
"YNL079C"	0.347	-2.802	-4.703	-0.034	-0.764	-0.464	-1.383	-2.486	-3.23	-0.281
"YNL084C"	0.309	-1.945	-3.396	-0.577	-0.53	-0.673	-1.386	-1.735	-1.919	0.241
"YNL089C"	-0.258	-2.333	-2.142	-1.017	-1.872	-1.565	-1.866	-1.819	-2.26	-0.411
"YNL119W"	-1.224	-5.354	-6.231	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	-1.761
"YNL130C"	0.928	-1.94	-2.872	-0.488	-0.874	-0.669	-0.934	-1.411	-1.614	0.606
"YNL132W"	-1.718	-4.956	-6.392	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	-1.837
"YNL153C"	-0.183	-2.968	-3.338	-1.309	-1.594	-1.341	-1.523	-2.302	-1.649	-0.7
"YNL227C"	-0.333	-1.51	-3.134	-0.906	-0.898	-0.729	-1.403	-2.085	-1.89	-0.689
"YNL301C"	-1.64	-5.123	-6.272	-1.992	-2.799	-2.781	-2.652	-2.985	-3.448	-1.9
"YNL320W"	0.623	-2.678	-4.0	-0.454	-0.735	-0.44	-1.665	-1.971	-1.215	0.216
"YOR164C"	-0.136	-2.555	-4.0095	-0.36	-0.909	-1.072	-1.603	-1.956	-2.107	-0.447
"YOR165W"	-0.301	-1.1925	-3.5345	-0.462	-0.559	-0.753	-1.611	-1.996	-2.281	-0.487
"YOR198C"	-0.566	-4.452	-5.562	-1.543	-2.3	-2.828	-4.384	-4.657	-4.415	-0.817
"YOR253W"	-0.661	-2.7935	-5.157	-1.318	-1.139	-1.299	-1.872	-2.672	-2.633	-0.853
"YOR276W"	-1.074	-3.943	-4.3595	-1.547	-1.789	-1.815	-1.759	-1.888	-2.356	-1.212
"YOR305W"	-0.064	-1.6535	-2.672	-0.732	-0.719	-1.206	-1.227	-1.264	-1.883	-0.296
"YOR321W"	0.264	-2.096	-3.7905	-0.18	-0.275	-0.345	-1.374	-1.619	-2.487	0.0
"YPL037C"	-0.705	-3.9955	-5.417	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	-1.009
"YPL226W"	-0.5685	-3.95033333333333	-5.67966666666667	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	-0.7595
"YPL227C"	-0.324	-4.7425	-5.218	-1.37	-1.842	-2.429	-2.071	-2.143	-1.501	-0.532
"YPL243W"	-0.239	-4.1455	-5.276	-1.042	-1.377	-1.873	-2.602	-3.541	-3.544	-0.471
"YPR033C"	-0.853	-4.8805	-7.94	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	-1.174
"YPR072W"	0.244	-2.898	-2.576	-0.762	-1.049	-1.217	-2.507	-2.585	-2.634	0.104
"YPR073C"	0.307	-2.26	-3.8865	-0.564	-0.766	-0.945	-2.444	-2.384	-2.0	-0.032
"YPR114W"	0.06	-2.9825	-3.903	-1.276	-1.338	-1.177	-1.633	-1.738	-2.533	-0.066
"YPR118W"	-1.296	-3.9965	-5.524	-1.488	-2.594	-2.077	-2.882	-3.334	-3.538	-1.435
"YPR144C"	-0.934	-3.129	-4.2065	-1.327	-1.4	-1.22	-1.687	-2.51	-2.411	-0.878
"YPR145W"	-0.296	-3.737	-5.02	-1.892	-2.228	-2.21	-3.369	-3.625	-3.498	-0.727
