	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"584.17 deg growth"	"686.YP ethanol vs reference pool"	"800.Heat Shock 015 minutes"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1017.YPD 7 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7765.Na+FK 60min"	"7985.cdc47-1 ts grown at 34C versus 37C"	"8247.steady state 36 dec C: y14n095"	"11466.yO1 test hyb"	"12061.Pomona College Bio164: dna2-1/WT"	"12744.heat shock 17 to 37, 20 minutes"	"17695.Missouri Western State College Galactose Cy5 (exp 1)"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"
"YER066W"	0.607	0.35	0.16	0.713	0.415	-0.958	0.376	0.464	0.071	2.075	1.536	0.935	0.992	0.84	1.286	0.569	0.623	0.531	0.461	0.267	0.493	0.973	0.313	1.096	0.074	0.008	0.945	1.014	0.991	-0.199	0.133	0.98	0.458	0.87	-0.315	-0.103	-0.202	2.465	1.233	0.876	2.74	1.547	1.785	1.135	0.058	0.697	1.041	1.119	0.897
"YER150W"	5.585	4.101	4.447	4.749	4.983	-1.943	1.091	1.714	3.069	6.012	5.312	5.241	4.681	5.023	4.88	2.376	4.953	4.743	4.495	4.382	4.289	4.768	3.832	4.737	3.092	0.484	4.764	3.727	4.749	1.02	1.191	4.503	0.762	6.349	1.9805	1.763	2.0645	7.981	7.796	6.325	6.994	6.618	5.594	4.621	3.122	4.459	5.499	5.656	5.392
"YFL020C"	0.324	0.096	-0.173	0.326	0.628	-0.431	0.458	0.13	0.31	1.022	1.295	1.328	1.355	1.349	1.595	0.584	0.222	0.323	0.877	0.726	0.606	1.219	-0.092	1.05	0.066	0.237	1.071	0.631	0.83	-0.198	-0.094	0.806	-1.7035	0.156	0.127	0.4035	0.459	3.449	2.349	1.517	1.735	1.133	1.815	2.137	0.518	1.568	1.348	2.488	1.923
"YFL030W"	1.824	1.183	0.837	1.449	1.241	-2.0	2.563	0.747	0.337	5.129	6.226	5.464	5.205	4.117	4.727	1.381	2.573	2.7	3.876	3.816	-0.438	2.121	2.743	1.126	0.663	0.133	1.716	0.854	1.167	-0.666	0.148	1.752	-1.3825	1.361	-0.014	-0.1875	0.0835	4.615	5.946	4.669	3.875	5.276	5.619	4.065	-0.173	1.816	2.932	3.118	2.799
"YGL121C"	2.016	1.052	1.054	2.106	1.184	-1.445	1.352	0.278	1.063	2.903	4.642	4.908	4.899	5.197	4.115	1.088	2.02	3.028	3.66	3.542	3.479	4.271	1.518	0.52	1.158	0.25	1.238	0.106	0.781	0.619	-0.24	4.881	-0.463	3.68	-0.288	1.055	1.5425	3.68	4.831	3.577	4.067	4.542	2.934	3.387	0.315	3.159	2.787	3.403	3.322
"YGR236C"	0.282	0.592	-0.1315	0.0455	0.678	-0.802	1.495	0.78	0.253	5.885	5.633	4.84	5.548	6.013	4.335	0.723	4.797	4.716	5.412	5.567	5.087	4.451	3.301	1.257	-0.108	0.035	0.874	0.156	0.531	0.223	-0.204	4.122	-1.72	1.557	2.195	0.302	-0.034	6.492	7.961	4.95	6.284	6.182	5.837	5.338	0.258	1.386	2.972	NaN	2.895
"YGR243W"	3.233	2.825	2.767	1.0685	2.8095	-0.041	1.771	1.723	0.759	4.614	4.911	5.283	4.612	5.095	5.612	1.109	5.402	3.855	4.495	3.75	3.675	5.108	3.092	4.936	0.383	0.079	4.645	4.334	4.276	0.011	0.3	4.328	-2.69	3.3865	0.434	0.349	0.935	6.112	6.012	5.015	5.734	6.73	5.893	5.542	-0.115	1.791	3.444	2.05	2.218
"YGR256W"	2.1355	2.0465	2.1975	2.7845	3.052	-0.625	1.661	0.661	-0.03	3.72	2.681	1.8	3.671	3.059	2.565	1.648	0.846	2.806	3.158	3.0	1.857	1.439	1.778	2.477	1.378	0.173	2.341	1.549	2.243	0.56	0.556	4.405	-0.518	3.622	0.405	0.924	1.225	5.292	4.157	4.348	5.625	4.269	3.003	5.491	-0.011	3.426	4.817	3.603	2.748
"YIL045W"	1.198	1.0975	0.757	1.7175	1.4795	-0.791	1.113	0.542	0.324	4.837	3.725	3.789	4.285	5.025	4.058	1.688	2.699	2.691	2.176	2.2	2.313	3.804	0.594	3.234	-0.038	0.57	1.75	1.892	1.491	-0.671	-0.188	2.832	-3.828	1.9585	-1.351	1.069	0.495	2.782	2.929	2.827	3.875	2.985	2.251	3.3	0.033	1.893	2.0	2.916	2.223
"YIL136W"	2.297	4.5115	3.5705	4.093	3.794	-0.9	2.292	1.621	0.386	5.349	6.184	4.276	6.125	3.55	3.821	3.374	3.633	3.895	4.339	3.863	-1.402	3.938	2.318	2.974	3.293	0.745	3.756	2.993	3.592	-1.693	0.387	5.48	-0.778	3.8555	-0.052	1.631	1.132	5.402	5.624	5.235	5.469	5.356	5.332	4.327	1.107	2.611	3.858	4.147	2.034
"YIL160C"	1.737	1.4315	1.371	1.8465	1.4665	-0.802	0.648	0.806	0.155	1.861	2.199	1.468	3.608	1.457	1.303	1.287	1.71	2.985	2.78	2.553	1.425	2.531	0.689	1.59	0.235	0.077	3.195	1.698	3.289	-1.916	0.397	2.345	-0.451	2.218	0.661	0.795	0.974	4.359	4.486	2.106	4.398	4.048	2.759	2.605	0.033	1.145	2.512	4.129	1.458
"YJL048C"	1.1105	2.2155	1.284	2.0455	1.085	-1.139	0.991	0.911	-0.069	3.61	2.909	3.215	3.749	3.083	2.646	1.066	2.857	2.751	2.485	2.429	2.308	2.013	1.382	1.011	1.033	-0.91	1.159	0.8	0.983	0.264	0.212	1.714	-0.469	2.562	-0.639	0.542	0.604	3.428	3.625	2.146	3.542	3.681	2.98	2.911	0.203	1.197	1.91	1.443	0.916
"YKL026C"	2.2195	1.669	1.275	2.0745	1.793	-0.57	0.848	0.788	-0.138	4.553	3.42	4.251	4.429	4.068	3.618	1.697	3.587	3.848	3.239	3.305	3.067	3.97	3.191	1.806	1.571	0.432	1.522	0.762	1.317	0.059	-0.837	1.288	-0.39	2.634	-0.337	0.704	1.121	3.937	5.449	4.434	3.949	4.063	3.2	3.668	0.083	4.005	3.417	4.872	4.16
"YKL093W"	2.467	1.872	1.138	1.891	2.147	-0.77	1.139	1.052	0.501	5.448	4.655	4.714	4.393	4.525	4.208	0.562	2.966	3.199	3.212	2.953	3.082	3.515	2.314	2.515	0.595	0.356	1.688	1.52	1.784	0.346	0.319	2.745	-1.265	2.213	0.345	0.307	-0.321	4.428	4.865	2.992	4.992	4.664	3.337	3.528	-0.304	2.271	2.899	3.144	3.011
"YKL217W"	2.197	0.928	0.874	1.43	1.7	-1.538	2.059	1.433	0.031	5.715	6.332	5.482	5.515	5.188	5.504	0.66	4.078	3.919	4.968	4.881	4.935	7.178	4.249	1.312	0.302	-0.126	0.923	0.461	1.219	0.221	0.317	3.157	-1.75	2.407	0.28	-0.395	0.868	5.399	6.083	4.87	3.813	6.592	6.498	5.542	-0.521	1.861	3.396	3.863	3.437
"YKR049C"	1.562	1.271	1.158	2.04	2.185	-1.699	1.985	1.143	0.384	3.555	2.854	1.31	3.364	0.882	1.824	1.362	0.907	2.343	2.234	2.243	1.215	1.504	0.577	1.017	0.993	0.272	1.93	1.086	1.542	-0.35	0.323	2.423	-1.085	2.4	-0.735	0.378	0.76	3.364	3.734	2.665	3.098	3.224	2.542	3.696	0.211	2.216	3.131	3.24	1.172
"YML042W"	1.768	1.318	0.718	1.38	1.322	-0.236	2.306	0.888	0.375	5.257	5.951	5.954	6.053	5.694	5.292	0.764	2.873	3.592	2.989	2.529	1.465	3.618	2.581	1.155	0.3	-0.14	1.152	0.383	0.98	0.392	0.159	2.684	0.633	2.41	-0.329	0.327	0.507	4.904	3.574	3.605	3.546	3.933	3.265	3.97	-0.087	2.003	3.367	5.058	4.894
"YMR081C"	1.638	0.696	0.796	1.351	1.75	-1.071	0.727	0.398	0.064	5.134	4.866	4.127	4.854	4.825	5.524	1.08	6.135	5.55	5.535	4.182	4.914	4.987	2.79	1.049	-0.379	0.074	0.25	0.322	0.177	-0.049	-0.182	4.371	0.585	2.226	-0.141	-0.015	0.936	6.135	5.714	4.436	5.379	4.766	3.029	3.912	-0.427	2.26	2.769	2.807	2.795
"YMR107W"	2.852	2.562	1.082	2.503	2.073	-0.365	1.557	0.831	0.157	4.775	5.066	5.686	5.593	6.861	4.338	1.36	5.83	6.054	6.663	6.747	6.04	5.373	2.797	1.796	0.89	-0.092	2.132	0.772	1.578	0.485	-0.406	4.765	-1.747	3.527	1.392	1.48	1.525	5.704	5.68	5.268	4.73	5.59	4.421	5.462	-0.552	3.53	4.929	5.166	4.599
"YMR206W"	3.517	1.91	1.115	1.678	1.726	-0.765	1.33	1.232	-0.412	5.096	5.169	3.275	4.362	3.877	2.807	2.55	3.54	4.576	4.842	3.871	3.132	3.712	2.575	0.472	0.106	0.045	0.835	0.408	1.231	0.03	-0.692	3.1365	-1.822	2.805	0.153	0.387	0.233	2.638	5.044	2.713	5.241	5.047	3.103	4.036	-0.126	2.251	2.396	2.997	1.744
"YNL195C"	4.678	3.81	1.953	2.014	2.055	-1.419	2.437	1.496	0.433	4.925	4.482	3.332	4.392	5.139	4.666	3.192	4.075	4.163	4.35	4.4	3.919	4.489	2.791	4.202	2.339	0.039	3.862	1.459	3.564	0.364	0.339	4.8645	0.136	3.361	1.285	0.577	0.724	4.582	5.316	4.473	4.625	5.372	4.191	4.489	0.494	3.139	3.583	5.53	3.331
"YPL134C"	1.251	0.868	0.801	0.948	1.0	-0.3655	1.659	0.763	0.3	3.9795	5.404	5.113	4.7625	3.908	3.98	1.313	2.6525	2.3025	2.5845	1.805	2.747	1.27	1.706	0.761	0.222	0.11	1.041	0.612	0.814	-0.424	-0.0315	2.314	-0.895	1.113	0.456	0.505	0.013	2.122	3.316	2.763	2.188	3.624	3.62	3.406	-0.629	0.511	1.147	1.641	1.263
"YPL223C"	2.002	1.704	1.406	1.613	1.517	-0.7385	2.657	0.9325	-0.548	4.9555	5.0085	2.3165	7.1635	6.4685	6.2495	2.4405	2.121	5.348	6.028	6.5395	5.975	5.563	2.391	3.897	1.876	0.072	4.62	2.139	4.14	0.19	0.6815	6.243	-1.0	3.307	2.22	3.12	4.131	4.937	6.236	6.362	4.709	6.428	4.971	7.354	-0.104	3.282	5.661	5.454	3.489
