	"686.YP ethanol vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1253.mec1_plus_gamma_45_min"	"1254.mec1_plus_gamma_60_min"	"1255.mec1_plus_gamma_90_min"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"7985.cdc47-1 ts grown at 34C versus 37C"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13096.Missouri Western State College 10 uM DAPI Cy5 4 hrs (exp 2)"	"30773.Pomona/Brown Sir3x red"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"
"YDR275W"	0.6245	1.553	2.2955	2.594	2.161	3.009	3.1575	3.166	1.749	2.036	2.324	3.0055	1.5585	2.794	2.3525	-0.5415	-0.587	-0.5815	-0.0385	-0.1265	-0.0595	-0.008	-0.2335	0.186	0.004	-0.0665	-0.735	1.9415	0.0365	0.182	-0.073	-0.1705	1.091	1.3175	0.078	0.0685	-0.0305
"YDR284C"	-0.726	2.017	1.49	0.929	0.991	0.996	0.608	-1.533	1.47	0.85	0.387	0.425	-0.716	-0.73	-1.084	-0.073	-0.007	-0.005	0.083	0.185	-0.028	0.544	0.527	0.351	0.538	0.556	-0.983	0.426	-0.105	0.023	-0.293	-0.111	1.175	0.435	0.642	0.611	0.512
"YDR330W"	0.782	2.295	1.69	1.847	2.105	1.968	2.016	2.462	0.645	1.156	1.505	1.56	1.389	1.401	0.954	0.361	-0.193	0.15	-0.042	0.06	1.511	1.652	1.576	1.211	1.616	1.801	-0.067	1.113	-0.189	-0.172	0.257	0.04	1.569	1.451	-0.395	-0.425	-0.119
"YDR358W"	0.879	4.268	3.057	2.909	3.162	3.18	3.398	2.209	1.563	1.366	2.181	1.908	0.632	1.315	1.563	0.11	-0.014	0.064	0.473	-0.183	2.009	2.686	2.506	1.758	2.545	2.596	0.404	1.765	-0.441	-0.358	-0.095	0.044	3.478	2.433	-0.635	-0.721	0.507
"YDR447C"	-0.646	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-4.249	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	0.056	0.207	0.545	0.176	0.458	-1.723	-2.33	-1.793	-1.376	-2.456	-2.291	0.168	-2.1165	0.5775	0.304	-0.0945	-0.285	-4.358	-3.418	0.646	0.703	0.658
"YDR449C"	-0.233	-6.037	-3.454	-2.969	-2.991	-2.208	-2.675	-3.482	-3.29	-1.835	-2.032	-2.698	-2.119	-2.85	-2.152	0.046	0.058	0.328	0.026	0.016	-1.819	-2.425	-1.492	-1.423	-1.902	-1.927	-0.256	-1.891	0.872	-0.014	-0.236	-0.379	-3.477	-1.731	0.056	0.009	0.047
"YDR450W"	-0.344	-3.254	-2.797	-2.204	-1.895	-2.039	-1.925	-2.6	-4.313	-2.118	-2.576	-2.784	-2.988	-2.959	-3.465	0.173	0.48	0.518	0.282	0.082	-1.487	-2.182	-1.523	-1.045	-1.786	-1.692	-0.16	-1.056	0.552	0.3125	-0.3845	0.131	-3.594	-3.453	0.625	0.677	0.742
"YDR471W"	-0.975	-3.952	-3.834	-3.394	-2.619	-2.514	-2.857	-3.599	-4.253	-2.034	-2.122	-2.633	-0.472	-2.405	-2.908	0.15	0.322	0.174	0.415	0.09	-1.902	-2.14	-1.212	-1.379	-2.072	-1.654	0.285	-1.7695	0.185	0.14	0.31	-0.12	-3.608	-3.311	0.627	0.666	0.635
"YEL011W"	1.083	4.662	3.869	4.663	4.646	4.72	4.761	5.15	4.997	3.795	3.906	3.266	3.642	5.213	4.068	0.041	-0.028	0.186	-0.352	0.261	2.28	2.248	1.944	1.646	1.416	1.67	-0.423	2.6905	0.203	0.381	-0.3375	0.1565	3.83	2.462	0.163	0.129	0.016
"YEL012W"	0.951	3.329	3.222	3.376	2.713	2.665	3.0	3.657	3.408	2.354	2.721	2.891	2.976	2.45	2.286	0.096	0.116	0.044	0.04	0.116	1.195	2.012	2.003	0.733	0.984	1.434	0.044	1.722	-0.153	-0.1185	-0.9535	-0.0495	3.596	3.65	0.104	0.14	0.097
"YEL040W"	-2.322	-3.201	-3.812	-3.508	-3.911	-4.238	-3.616	-3.786	-3.017	-4.284	-4.461	-3.561	-3.111	-3.855	-3.066	-0.029	0.121	-0.107	-0.591	-0.115	-1.299	-1.21	-0.969	-1.415	-1.528	-1.389	-0.812	-3.1215	-0.113	-0.1205	0.371	0.1445	-2.439	-2.048	0.416	0.467	0.483
"YER053C"	1.366	5.109	4.471	4.23	3.485	2.531	3.671	1.901	5.592	3.349	3.191	3.802	2.864	2.744	2.153	-0.918	-1.444	-1.677	-0.595	0.076	2.236	2.883	3.088	1.823	2.537	2.125	1.135	2.028	-0.273	-0.494	0.364	0.147	4.803	3.805	0.146	0.086	0.118
"YER074W"	-0.673	-3.675	-3.209	-3.607	-2.262	-2.096	-2.671	-3.067	-5.146	-2.436	-2.823	-2.735	-2.339	-2.829	-3.947	0.266	0.509	0.428	0.089	-0.062	-1.263	-2.053	-1.285	-0.909	-2.034	-2.096	-0.016	-2.253	0.126	0.139	0.18	-0.336	-1.229	-1.032	0.513	0.376	0.271
"YER079W"	1.059	4.036	3.925	3.354	3.195	3.349	2.322	2.836	3.75	2.737	2.759	2.969	3.182	2.788	2.172	-0.925	-1.282	-1.014	-0.126	0.181	2.807	3.163	2.888	2.669	2.758	2.968	0.072	0.563	-0.023	-0.346	-0.354	-0.064	4.583	3.964	0.291	0.426	0.405
"YER127W"	-0.434	-3.292	-2.064	-1.821	-1.672	-1.949	-2.155	-2.611	-1.589	1.466	-1.363	-1.279	-1.098	-2.485	-1.946	0.346	0.3	0.18	0.2	-0.317	-1.62	-1.641	-0.933	-1.291	-2.207	-1.783	-0.163	-1.479	-0.118	-0.0035	-0.291	-0.057	-3.601	-3.002	0.327	0.202	0.091
"YER179W"	0.476	NaN	2.7	-2.0	NaN	NaN	3.624	1.807	1.424	0.732	0.823	0.147	1.15	1.151	0.568	-0.146	-0.639	-0.191	0.008	-0.26	1.667	1.806	1.505	1.255	1.585	1.864	-0.434	0.4225	0.093	0.259	-1.275	0.036	1.013	0.25	-1.345	-1.23	-1.599
"YGL097W"	-0.872	-1.806	-1.291	-1.065	-1.469	-1.88	-2.214	-3.311	-0.928	-0.763	-0.786	-1.446	-1.203	-1.641	-1.241	-0.301	-0.525	-0.402	0.065	0.173	-1.22	-1.249	-1.174	-0.876	-1.26	-1.177	0.635	-1.755	0.21	-0.005	-1.314	0.389	-0.748	-1.611	0.526	0.359	0.337
"YGL103W"	-0.924	-3.452	-3.096	-2.876	-2.468	-2.373	-2.344	-1.452	-3.07	-1.762	-1.73	-2.048	-1.308	-1.735	-2.438	-0.324	-0.169	-0.099	0.039	0.34	-1.238	-1.333	-0.977	-0.995	-1.636	-1.202	0.229	-1.88166666666667	0.497666666666667	0.417666666666667	0.101333333333333	-0.07	-3.189	-2.934	0.442	0.561	0.686
"YGL156W"	2.447	4.377	4.521	4.625	4.645	5.069	5.027	5.027	2.737	4.166	4.322	3.981	4.487	4.716	3.456	-0.107	-0.545	-0.27	0.22	-0.324	0.438	1.196	1.081	0.5	0.685	1.189	-0.014	3.83	-0.968	-1.808	-0.776	0.131	2.233	1.841	-0.4735	-0.6185	-0.5845
"YGL219C"	0.537	1.602	1.874	1.397	0.591	0.944	0.612	1.542	1.834	0.954	0.829	1.118	0.935	0.55	0.43	-0.459	-0.393	-0.572	-0.061	0.168	0.734	0.749	0.543	0.758	0.653	0.594	0.167	0.578	0.259	0.476	-0.319	0.157	1.995	1.038	-0.288	-0.008	-0.017
"YGR034W"	-0.845	-3.922	-3.172	-3.096	-2.637	-2.107	-2.998	-3.052	-3.635	-2.067	-2.022	-2.01	-1.301	-1.401	-2.48	-0.223	0.206	0.234	0.049	0.21	-1.586	-2.077	-1.514	-0.867	-1.605	-1.776	-0.017	-1.469	0.27	0.116	0.543	-0.694	-4.347	-3.643	0.916	0.724	0.754
"YGR110W"	1.155	3.059	3.408	3.575	2.845	3.106	3.427	4.541	3.976	2.805	2.625	2.566	2.578	4.305	3.146	-0.089	-0.178	0.04	-0.112	-0.054	1.158	1.658	1.88	0.701	0.743	1.094	-0.253	2.049	-0.3975	-0.537	-1.1695	0.295	3.213	3.774	-0.353	-0.222	-0.241
"YGR201C"	1.412	5.046	4.249	4.063	4.377	5.158	4.49	4.974	2.855	2.842	3.597	2.109	2.914	5.103	3.769	0.299	0.326	0.088	0.31	0.21	1.331	2.126	2.283	1.132	1.407	1.546	-0.318	3.357	-0.859	-0.622	-0.934	0.098	2.238	1.833	0.663	-0.131	0.031
"YGR214W"	-1.254	-4.3	-2.826	-2.795	-2.24	-1.862	-2.776	-3.03	-4.842	-1.984	-2.119	-1.46	-0.955	-1.925	-3.246	-0.399	0.056	-0.047	0.128	0.356	-1.306	-2.222	-1.645	-1.191	-2.061	-1.791	-0.859	-1.905	0.396	0.496	0.193	-0.096	-3.805	-2.3	0.585	0.523	0.51
"YGR234W"	-0.526	-2.039	2.015	1.269	0.337	-2.175	-2.037	-3.567	-1.598	-0.405	-2.118	-3.518	-3.826	-4.345	-4.526	0.168	0.217	0.0	-0.767	0.328	-0.872	-1.766	-2.362	-0.638	-1.639	-2.371	0.432	-1.864	0.922	0.96	-0.062	0.153	-1.486	0.914	0.084	0.071	0.108
"YGR237C"	0.698	1.585	1.356	1.713	1.608	2.064	1.971	0.718	1.123	1.272	1.863	2.24	0.798	0.208	-0.298	-0.361	-0.243	-0.523	-0.08	0.019	1.678	2.043	1.968	1.117	1.786	1.935	0.265	1.075	-0.456	-0.397	-0.592	0.542	1.508	0.653	-0.842	-0.454	-0.5
"YGR243W"	1.771	4.614	4.911	5.283	4.612	5.095	5.612	5.628	3.651	4.059	3.864	3.442	5.617	5.108	4.88	-1.046	-0.98	-0.07	0.164	-0.049	4.944	4.579	4.645	4.334	3.985	4.276	0.011	4.328	0.621	0.655	-1.927	0.091	5.734	6.73	0.242	0.123	0.198
"YHL021C"	1.052	5.13	4.387	4.461	4.022	3.563	3.435	2.651	3.904	3.646	3.694	2.488	3.741	4.27	4.189	-0.529	-0.31	-0.683	-0.56	0.4235	3.59	3.443	3.832	2.99	3.239	3.337	0.431	2.717	-0.357	-0.364	-0.053	0.238	6.624	4.847	-1.301	-1.242	-1.013
"YHR080C"	0.193	1.941	1.991	1.729	1.78	1.729	2.163	1.526	1.659	1.173	2.129	2.365	2.045	1.23	1.157	-0.529	-0.137	-0.098	-0.036	0.11	-0.507	0.104	0.08	0.114	0.051	0.286	0.44	0.671	-0.139	-0.468	-0.157	0.001	2.273	1.43	0.053	0.034	0.887
"YHR163W"	-0.841	-1.664	-2.277	-2.022	-1.925	-1.514	-1.646	-2.869	-0.834	-1.125	-1.314	-1.439	-0.397	-2.471	-2.366	-0.278	0.291	-0.052	-0.216	0.2245	-0.171	-0.013	0.218	-0.688	-0.561	-0.468	-0.886	-1.939	0.025	-0.135	-1.292	0.093	-1.001	-1.617	0.417	0.31	0.282
"YHR183W"	-1.529	-0.9555	-1.161	-1.3185	-0.9165	-1.2015	-0.4545	-0.7	-1.1675	-1.2305	-0.834	-1.302	-0.768	-0.6495	-1.6165	-0.218	-0.5405	-0.6285	-0.124	0.211	-0.488	-0.411	-0.511	-0.677	-0.551	-0.6505	-0.1495	-1.3965	-0.1515	-0.0215	-0.433	-0.1045	-1.5505	-1.5255	0.595	0.5595	0.5045
"YHR196W"	-0.508	-3.061	-2.692	-2.23	-1.968	-1.4	-1.573	-2.447	-3.843	-2.204	-2.19	-1.992	-2.264	-2.831	-2.681	0.239	0.193	0.053	0.126	0.0015	-1.65	-2.024	-1.232	-0.885	-1.575	-1.655	-0.431	-2.135	0.11	0.141	0.064	0.161	-2.306	-2.006	0.194	0.167	0.245
"YHR203C"	-2.628	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	-0.329	-0.014	-0.266	0.264	0.204	-1.777	-2.455	-1.726	-1.356	-2.243	-1.865	-0.02	-2.302	0.073	0.156	0.475	0.138	-3.717	-3.449	0.56	0.497	0.591
"YIL018W"	-1.109	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	-0.331	-0.161	0.029	-0.233	0.074	-1.261	-1.963	-1.389	-1.349	-2.403	-4.283	-1.203	-2.495	0.22	0.186	0.438	0.152	-4.06	-3.676	0.802	0.674	0.561
"YIL045W"	1.113	4.837	3.725	3.789	4.285	5.025	4.058	4.605	4.236	3.986	4.311	4.378	4.139	3.804	2.963	-0.365	-0.293	-0.216	-0.009	-0.215	2.141	2.037	1.75	1.892	1.915	1.491	-0.671	2.832	0.154	0.261	-0.123	0.097	3.875	2.985	0.044	-0.007	-0.226
"YIL146C"	0.798	2.334	2.196	2.111	2.234	2.539	2.94	3.637	2.306	1.867	2.177	2.693	3.595	3.491	2.947	-0.298	-0.079	0.022	0.285	-0.3585	0.41	0.761	0.807	0.245	0.383	0.471	-0.065	1.477	-0.583	-0.309	-0.187	0.374	1.024	1.778	0.413	0.431	0.445
"YIR012W"	-0.85	-4.7	-3.151	-2.338	-2.719	-2.544	-2.595	-3.791	-1.585	-1.366	-1.684	-1.486	-1.547	-2.217	-2.528	-0.36	-0.423	-0.189	0.194	0.0135	-1.772	-2.396	-1.897	-1.406	-2.158	-2.125	0.076	-1.751	-0.138	0.062	-0.523	0.015	-3.439	-2.222	0.368	0.257	0.338
"YJL014W"	-1.0	-1.884	-1.661	-1.298	-1.283	-1.494	-1.383	-2.624	-1.546	-1.338	-1.558	-1.58	-2.252	-3.068	-2.866	-0.304	-0.037	-0.261	0.045	0.1285	-1.296	-0.971	-0.795	-1.01	-1.033	-0.78	0.392	-1.31	-0.03	-0.093	0.101	0.223	-1.344	-1.416	0.28	0.072	0.292
"YJL066C"	1.51	3.176	3.323	3.479	2.755	2.79	3.462	4.019	2.344	1.306	2.029	2.063	3.576	3.436	2.791	-0.173	-0.575	-0.443	-0.228	0.0695	1.574	1.874	1.89	1.186	1.424	1.574	-0.066	2.401	-0.372	-0.249	-0.35	-0.063	4.144	3.6	-0.098	-0.278	-0.079
"YJL080C"	-1.147	-2.655	-2.64	-1.679	-1.79	-1.719	-1.923	-3.029	-2.248	-1.823	-2.293	-2.334	-2.401	-2.866	-3.001	-0.385	-0.107	-0.033	0.026	0.2	-0.807	-1.073	-1.032	-0.445	-0.46	-0.596	-0.324	-1.086	-0.519	-0.485	-0.005	0.064	-1.905	-1.8825	0.0155	0.0275	0.103
"YJL103C"	0.688	3.518	3.541	3.739	3.366	3.386	3.31	4.161	3.108	2.803	2.436	3.198	3.063	3.151	2.006	-0.309	0.011	-0.124	-0.094	0.129	0.448	1.066	0.805	0.197	0.758	0.867	0.224	0.352	-0.318	-0.064	-0.983	NaN	2.897	3.1435	-0.074	-0.305	-0.216
"YJL142C"	0.451	3.291	2.454	2.277	2.799	2.882	2.902	3.007	1.589	1.747	2.03	2.375	2.807	2.87	2.161	-0.317	-0.024	-0.134	-0.167	1.162	1.611	1.455	1.357	1.266	1.338	1.257	-0.133	1.042	0.148	0.061	-0.374	0.152	3.113	1.55	0.163	0.06	0.061
