	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"117.heat shock 60 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"800.Heat Shock 015 minutes"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"12744.heat shock 17 to 37, 20 minutes"	"21634..24 mM H2O2- 155 minutes"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33417.delKIN82_heat shock _60min_repeat"	"33779.delYPL230w_stationary_phase_5hours"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"40946.H2O2_II_7_min"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40956.H2O2_II_100_min"	"40957.H2O2_II_120_min"	"40958.H2O2_II_140_min"	"40960.H2O2_II_180_min"	"40962.MD_II_7_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40973.MD_II_100_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YLR061W"	-1.678	-2.212	-1.092	-1.901	-3.322	-3.851	-1.105	-1.577	-0.745	-4.925	-4.297	-4.115	-3.603	-3.127	-4.939	-6.591	-2.641	-3.239	-3.818	-4.326	-2.164	-2.88	-3.309	-3.833	-3.91	-0.171	-0.1	-2.697	0.611	-2.529	-1.166	-0.598	-0.737	-4.004	-0.603	-0.748	-0.651	-0.393	-1.112	-1.222	-2.006	-2.22	-1.462	-1.314	-1.135	-0.205	-0.26	-0.623	-0.326	-2.442	-1.637	-1.564	-1.508	-2.199
"YLR175W"	-4.176	-3.679	-1.078	-3.07	-4.552	-4.902	-1.501	-4.195	-1.183	-5.607	-3.276	-2.921	-2.657	-3.068	-3.401	-5.468	-3.43	-3.996	-3.068	-4.678	-2.413	-3.408	-3.701	-4.364	-4.96	-0.983	-0.937	-4.431	0.105	-4.177	-3.986	-1.759	-0.234	-4.338	-0.22	-0.15	-0.003	-0.16	-4.035	-3.423	-3.083	-2.593	-2.074	-1.981	-0.951	-1.875	-0.852	-0.749	-1.014	-2.056	-2.507	-2.004	-2.305	-1.628
"YLR180W"	-3.107	-3.001	-0.91	-3.482	-3.526	-3.649	-1.682	-2.97	-0.445	-4.201	-3.807	-1.95	-3.516	-2.401	-2.127	-5.707	0.753	-1.025	-0.963	-1.373	-1.681	-1.876	-0.98	-1.344	-1.312	-0.714	-0.652	-3.682	-0.817	-3.224	-4.226	-1.305	-0.514	-3.37	0.559	0.139	0.101	-0.155	-1.772	-2.626	-2.753	-1.942	-2.22	-1.55	-0.818	-1.436	-0.535	-1.121	-0.982	-1.042	-1.777	-2.172	-2.633	-3.405
"YLR249W"	-2.818	-3.122	-0.962	-3.317	-4.232	-4.758	-1.649	-1.851	-1.547	-6.529	-4.864	-4.043	-3.482	-3.637	-4.146	-6.742	-2.985	-3.879	-4.141	-4.679	-2.712	-3.778	-3.883	-4.549	-4.992	-0.731	-0.904	-4.59	0.062	-3.998	-4.627	-1.47	-0.246	-5.085	0.107	-0.159	0.391	-0.578	-2.492	-2.945	-3.861	-4.463	-2.262	-1.802	-1.075	-1.965	-0.78	-1.2	-0.957	-3.492	-2.717	-2.727	-3.921	-3.381
"YLR449W"	-3.266	-2.903	-0.561	-3.009	-3.738	-3.97	-1.626	-1.984	-1.541	-6.206	-3.515	-3.262	-2.978	-3.758	-5.497	NaN	-3.248	-2.597	-2.104	-3.782	-2.95	-3.547	-3.6	-4.626	-3.56	-0.401	-0.345	-4.241	0.139	-5.408	-2.699	-1.152	-0.754	-4.694	0.346	0.508	0.525	0.506	-0.54	-2.127	-1.93	-1.773	-1.571	-1.376	-0.417	-0.382	0.159	-0.37	-1.124	-1.78	-1.515	-1.865	-2.983	-1.407
"YML056C"	-3.762	-3.158	-1.19	-3.16	-2.963	-3.376	-1.807	-2.066	-1.09	-3.967	-3.497	-3.275	-3.12	-3.786	-2.698	-5.251	-2.85	-3.243	-3.63	-2.774	-1.718	-2.674	-1.337	-2.566	-2.751	-0.598	-1.2	-3.776	-0.209	-4.017	-2.625	-2.294	-1.124	-4.322	-0.427	-0.399	0.022	-0.882	-1.982	-2.557	-2.921	-2.551	-2.237	-1.625	-0.866	-1.221	-0.398	-0.401	-1.679	-3.068	-3.468	-2.885	-5.009	-3.48
"YMR131C"	-4.819	-4.183	-1.0	-3.849	-4.525	-4.347	-1.212	-3.041	-1.034	-5.631	-3.641	-3.811	-2.698	-2.914	-5.052	-6.665	-3.153	-3.547	-2.98	-4.277	-2.776	-3.214	-4.236	-5.241	-4.266	-1.074	-0.906	-4.674	-0.263	-3.866	-3.736	-2.16	-0.442	-4.181	0.123	-0.204	-0.448	-0.647	-2.897	-2.568	-2.513	-2.742	-3.442	-1.935	-0.196	-1.12	-1.122	-0.55	-0.233	-2.206	-1.411	-4.809	-7.036	-4.159
"YMR217W"	-2.517	-3.444	-0.95	-2.705	-2.964	-3.238	-1.12	-1.424	-1.698	-5.293	-3.056	-3.049	-2.634	-3.785	-4.735	-5.29	-2.699	-3.48	-2.869	-4.287	-2.652	-4.118	-3.713	-4.205	-4.469	-1.272	-1.289	-3.402	0.448	-4.738	-3.741	-2.564	-0.379	-4.222	0.069	0.107	0.189	-0.602	-1.192	-1.984	-2.54	-3.332	-2.324	-0.769	-0.475	-0.835	-0.756	0.157	-1.221	-3.57	-2.348	-3.536	-4.109	-2.568
"YMR305C"	-2.952	-3.681	-0.71	-2.537	-3.401	-3.573	-0.351	-2.656	0.637	-3.802	-1.387	-0.443	-1.439	-1.885	-2.654	-4.237	-2.558	-2.097	-2.213	-1.774	-0.784	-2.906	-1.996	-3.198	-3.355	-0.486	-0.372	-3.114	0.192	-3.913	-3.166	-1.181	-0.372	-3.526	0.157	0.508	0.781	1.539	-0.411	-0.83	-1.938	-2.234	-0.651	-1.661	-0.64	-0.158	-0.83	-0.665	0.379	-1.623	-1.679	-0.616	0.332	-1.527
"YMR309C"	-2.218	-1.773	-0.864	-1.41	-2.53	-3.055	-0.707	-1.927	-1.018	-3.127	-2.334	-1.924	-1.851	-1.52	-3.731	-3.516	-1.571	-2.787	-2.363	-3.374	-1.914	-2.303	-3.144	-3.173	-3.384	-0.544	-0.656	-2.63	-0.456	-2.073	-4.188	-1.199	-0.486	-3.181	0.155	0.026	-0.013	-1.197	-3.447	-2.857	-2.476	-2.415	-1.323	-1.642	-0.433	-1.882	-1.047	-0.998	-1.104	-2.4	-2.741	-2.429	-2.721	-1.735
