	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"297.Kb vs. Ctrl"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"810.DES460 (wild type) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7530.DBY msn2msn4 37C - 20 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"8197.steady state 25 dec C"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"12744.heat shock 17 to 37, 20 minutes"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"
"YDR496C"	-2.7945	-5.251	-3.9025	0.376	-2.1745	-3.671	-4.953	-4.7405	-0.96	-1.257	-3.2695	-2.809	-3.1645	-4.393	-2.7355	-4.5275	-1.0335	0.0765	-1.118	-2.065	-0.5775	0.7515	0.722	0.3905	0.18	-5.1875	0.163	-3.216
"YER141W"	1.19	1.943	1.809	-0.033	1.151	1.671	2.227	2.026	0.552	0.134	1.24	1.179	3.443	0.498	1.12	1.202	0.198	0.068	0.602	0.801	0.511	-0.301	-0.372	-0.015	0.095	1.78	0.1485	2.159
"YGL029W"	-1.856	-4.276	-3.685	-0.088	-1.452	-2.755	-4.337	-3.57	-1.36	-0.695	-3.043	-2.603	-3.653	-2.985	-2.591	-2.881	-1.07	-0.139	-1.092	-2.004	-0.663	1.508	0.634	0.123	0.328	-3.874	-0.453	-1.19
"YGR123C"	-1.982	-3.5875	-3.2965	0.125	-1.1295	-3.0495	-4.1895	-3.748	-1.327	-1.415	-1.835	-1.517	-4.447	-4.328	-2.958	-2.878	0.35	-0.141	-1.365	-0.801	-0.913	0.275	0.889	0.6	0.357	-4.594	0.2875	-2.795
"YHL013C"	-0.4445	-1.5535	-1.2005	0.103	-0.525	-1.4695	-1.598	-1.5895	-0.362	-0.024	-1.181	-0.914	-1.592	-2.833	-0.995	-1.516	-0.347	0.038	-0.496	-0.958	0.135	0.225	0.11	0.134	0.21	-1.9045	-0.095	-0.85
"YHR052W"	-3.848	-4.2445	-3.5175	0.281	-1.499	-3.5215	-4.3935	-3.9395	-0.951	-0.683	-1.975	-1.663	-4.199	-4.447	-2.516	-2.565	0.038	0.119	-1.0745	-1.026	-0.463	0.835	0.892	0.495	0.14	-4.9395	0.071	-2.827
"YHR062C"	-1.5065	-2.1055	-1.882	-0.011	-0.9225	-1.8745	-2.1985	-2.079	-1.022	-0.018	-1.256	-0.769	-2.847	-4.381	-1.691	-2.092	0.8	0.019	-0.617	-1.14	-0.556	-0.297	0.031	0.082	0.183	-2.44	0.01	-2.353
"YHR066W"	-2.6315	-3.7505	-3.0515	0.285	-1.4695	-2.9815	-3.762	-3.552	-0.877	-0.54	-2.473	-2.073	-4.885	-5.203	-2.29	-2.974	-0.354	0.466	-0.9025	-1.541	-0.254	0.275	0.291	0.383	0.01	-4.347	-0.185	-3.068
"YHR170W"	-3.765	-5.3995	-4.622	0.26	-2.085	-4.14	-4.723	-3.947	-1.568	-1.421	-2.518	-2.551	-4.51	-4.858	-2.326	-2.759	-0.812	0.037	-1.9105	-1.32	-0.95	1.65	0.916	0.458	0.296	-5.252	0.187	-3.576
"YJL141C"	1.997	2.1465	2.071	-0.094	0.8815	1.832	2.485	2.58	0.437	0.211	0.57	0.608	3.509	1.514	2.045	2.008	0.38	-0.226	0.2405	0.771	0.081	-0.028	-0.196	-0.163	-0.286	2.56	-0.068	1.778
"YJL164C"	2.1985	3.007	2.5085	0.222	1.16	2.594	3.178	2.788	1.594	0.604	2.135	1.957	2.713	1.183	2.268	2.024	0.713	0.116	1.4765	1.982	1.25	-0.957	-0.531	-0.315	-0.022	3.0105	-0.239	2.22
"YKL085W"	2.143	2.516	2.611	-0.022	1.299	1.578	2.557	2.992	0.058	0.529	1.869	1.498	4.338	0.748	1.028	2.52	0.113	-0.293	1.215	1.329	-0.59	0.488	0.241	0.205	-0.014	2.286	0.254	1.868
"YKR056W"	-3.646	-4.01	-3.872	0.239	-1.497	-2.945	-3.217	-3.127	-0.89	-0.68	-2.718	-2.101	-4.495	-4.34	-2.352	-2.379	-0.231	-0.129	-0.816	-1.379	-0.85	0.502	0.529	0.494	-0.045	-3.682	-0.185	-2.586
"YLL008W"	-2.364	-4.973	-4.981	-0.132	-2.133	-3.751	-4.808	-4.019	-1.357	-1.147	-3.718	-3.309	-5.659	-6.113	-3.126	-2.364	-0.367	-0.01	-1.31	-1.752	-1.106	0.683	0.524	0.109	0.03	-4.642	-0.11	-4.08
"YLR002C"	-4.018	-4.273	-3.029	0.276	-1.145	-2.585	-3.425	-2.737	-0.997	-0.984	-2.267	-2.081	-3.541	-4.959	-1.928	-2.611	-0.653	0.14	-1.211	-1.755	-0.478	0.501	0.175	0.414	0.054	-4.018	-0.167	-2.317
"YLR003C"	-2.628	-3.442	-2.957	-0.087	-1.386	-2.644	-3.201	-3.212	-0.978	-0.27	-2.267	-2.257	-3.378	-3.267	-1.976	-2.206	-1.1	0.049	-0.962	-1.517	-0.481	0.764	0.416	0.387	-0.094	-3.305	0.093	-2.573
"YLR009W"	-2.705	-4.735	-4.564	-0.152	-1.697	-2.897	-4.204	-3.864	-0.8	-0.981	-2.25	-2.132	-4.675	-5.388	-2.78	-2.737	-0.306	-0.064	-1.069	-1.049	-0.461	1.123	0.471	0.206	0.139	-4.344	-0.094	-3.436
"YLR196W"	-4.71	-5.425	-5.04	0.201	-2.108	-3.221	-4.896	-4.532	-1.245	-1.289	-2.562	-2.364	-5.083	-5.836	-2.118	-2.858	-1.133	0.24	-1.454	-1.159	-0.815	1.194	0.764	0.536	0.096	-5.097	-0.121	-3.697
"YLR221C"	-1.904	-3.146	-2.286	-0.053	-1.074	-2.172	-2.998	-2.528	-1.198	-0.371	-2.179	-1.971	-2.998	-1.577	-1.622	-1.591	-0.935	0.144	-0.824	-1.55	-0.578	1.051	0.421	0.005	-0.083	-3.231	-0.086	-3.034
"YNL002C"	-3.547	-4.666	-4.07	0.027	-2.094	-3.305	-4.559	-4.222	-1.244	-1.141	-2.627	-2.564	-5.196	-3.468	-2.839	-3.072	-1.265	-0.059	-1.349	-1.586	-0.56	0.996	0.499	0.216	0.328	-4.603	0.0375	-3.481
"YNL061W"	-3.447	-4.928	-3.927	0.227	-1.752	-4.143	-4.404	-3.948	-1.65	-1.215	-2.673	-2.373	-4.329	-4.27	-2.724	-2.519	-0.93	-0.042	-1.362	-1.247	-0.584	1.295	0.673	0.336	-0.049	-5.38	-0.0205	-3.925
"YNL110C"	-3.468	-4.43	-3.64	-0.099	-1.669	-3.768	-4.56	-4.991	-1.327	-0.968	-2.66	-2.463	-5.108	-3.296	-1.641	-2.565	-1.274	-0.088	-1.333	-2.171	-0.705	1.185	0.542	0.343	0.186	-5.064	0.017	-4.907
"YNL174W"	-2.195	-5.157	-4.699	0.105	-2.362	-4.233	-5.579	-4.714	-1.815	-1.352	-2.857	-2.718	-5.141	-4.409	-3.149	-2.319	-1.213	0.29	-1.95	-3.085	-1.138	1.087	0.673	0.38	0.275	-5.426	0.192	-3.76
"YNL308C"	-3.076	-3.929	-1.689	0.026	-1.5	-2.757	-3.366	-3.336	-0.933	-0.686	-3.186	-2.995	-4.351	-2.686	-2.473	-2.614	-0.677	0.145	-1.181	-1.591	-0.354	1.218	0.07	0.256	0.275	-3.272	0.05	-4.586
"YNR002C"	3.157	3.999	1.509	-0.442	1.188	2.301	2.855	2.921	-1.528	0.923	1.473	2.246	3.522	2.4305	1.168	1.8715	0.494	0.126	0.782	1.54	-0.074	-0.907	-0.72	-0.0635	-0.083	2.872	0.022	2.957
"YOR145C"	-3.045	-3.98	-3.795	0.175	-1.583	-2.871	-3.492	-3.402	-0.779	-0.683	-2.441	-1.805	-4.1305	-3.4715	-1.3615	-2.7235	-0.966	-0.001	-1.002	-1.825	-1.044	1.174	0.337	0.234	0.119	-3.948	0.021	-3.644
"YOR146W"	-2.407	-3.231	-2.681	0.206	-1.628	-3.597	-3.42	-3.036	-1.698	-0.346	-2.093	-1.987	-3.402	-3.7465	-2.384	-2.648	-0.294	0.047	-0.928	-0.958	-0.253	0.994	0.34	0.3405	0.118	-4.259	0.14	-2.594
"YOR161C"	3.522	4.001	3.086	0.055	2.634	3.119	3.816	4.021	1.503	0.359	2.735	2.659	2.4685	-2.084	2.054	1.032	0.759	0.416	1.683	1.963	0.373	-0.903	-0.612	-0.3245	0.137	4.326	0.003	3.637
"YOR294W"	-3.856	-4.574	-3.828	0.312	-1.804	-3.73	-4.407	-3.632	-1.537	-0.443	-2.434	-2.234	-5.6475	-5.2465	-2.791	-3.318	-1.288	-0.128	-1.199	-1.818	-0.954	0.727	0.564	0.528	0.104	-4.852	0.066	-4.841
"YPL146C"	-2.261	-3.196	-2.458	0.012	-0.984	-2.143	-3.003	-3.135	-0.591	-0.414	-2.267	-2.0755	-2.239	-3.5085	-1.4725	-2.007	-0.284	-0.045	-0.974	-0.818	-0.236	0.795	0.775	0.614	0.321	-3.416	-0.207	-2.623
"YPR047W"	1.661	1.379	1.455	-0.123	1.036	1.11	1.493	1.163	0.356	0.365	1.328	1.0325	2.9395	-1.4475	1.0285	1.354	0.317	0.099	0.743	0.928	0.168	-0.501	-0.675	0.0405	-0.273	1.152	0.187	1.465
"YPR142C"	-2.213	-3.13	-2.475	-0.317	-1.59	-1.934	-3.21	-3.322	-1.119	-0.336	-2.19	-1.8545	-2.3555	-3.138	-1.3705	-2.0655	-1.038	-0.076	-0.41	-1.317	-0.228	0.722	0.255	0.1615	0.129	-3.649	0.149	-1.951
