	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"
"YMR091C"	0.795	-4.005	-1.396	-2.09	-2.24	0.447
"YMR093W"	1.541	-4.21	-2.591	-3.429	-3.183	1.346
"YMR121C"	0.784	-4.199	-2.277	-2.155	-2.582	0.58
"YMR142C"	1.005	-6.693	-2.774	-3.415	-4.248	0.033
"YMR205C"	0.932	-4.53	-1.0	-1.671	-2.366	0.929
"YMR212C"	1.556	-6.75	-2.693	-2.627	-2.761	1.025
"YMR235C"	0.714	-5.187	-2.838	-3.21	-3.756	0.718
"YMR247C"	1.094	-2.271	-2.104	-2.2935	-2.7345	0.53
"YNL001W"	0.792	-3.241	-1.116	-1.395	-1.761	0.113
"YNL085W"	1.073	-5.369	-2.001	-2.706	-3.291	0.011
"YNL121C"	0.6545	-4.5485	-1.056	-1.3065	-2.038	0.794
"YNR025C"	-0.121	-3.7705	-1.02	-1.495	-1.514	-0.822
"YNR043W"	1.738	-5.1565	-2.655	-3.803	-3.856	0.766
"YOR163W"	0.224	-3.0605	-0.809	-1.31	-1.484	0.519
"YOR175C"	1.344	-3.7925	-1.33	-1.323	-1.64	-0.229
"YOR209C"	0.632	-6.004	-1.897	-2.681	-2.954	-0.291
"YOR239W"	0.346	-5.0985	-3.149	-3.934	-3.704	-0.12
"YOR260W"	1.47	-4.639	-2.257	-2.577	-3.081	0.728
"YOR276W"	0.652	-4.3595	-1.759	-1.888	-2.356	0.443
"YOR326W"	1.311	-4.9875	-3.585	-3.591	-2.795	1.334
"YPL037C"	0.852	-5.417	-2.115	-3.222	-3.654	0.112
"YPL053C"	0.348	-4.4065	-0.891	-1.562	-2.032	1.012
"YPL081W"	0.609	-6.801	-2.789	-2.909	-3.725	0.268
"YPL090C"	1.044	-6.197	-3.292	-3.309	-4.719	0.444
"YPL091W"	0.492	-3.471	-1.614	-1.738	-2.295	-0.497
"YPL183C"	1.58	-3.957	-2.512	-2.745	-3.056	0.882
"YPL238C"	0.384	-4.788	-1.843	-2.517	-2.586	1.108
"YPL240C"	-0.141	-3.749	-1.788	-2.471	-2.867	-0.179
"YPL243W"	0.8765	-5.276	-2.602	-3.541	-3.544	1.158
"YPL266W"	0.539	-3.1595	-1.746	-1.809	-2.022	0.862
"YPR033C"	1.4175	-7.94	-3.951	-4.382	-4.54	1.05633333333333
"YPR080W"	0.707	-5.6305	-1.689	-2.389	-3.139	0.573
"YPR118W"	0.799	-5.524	-2.882	-3.334	-3.538	1.456
"YPR163C"	0.88	-5.4905	-2.642	-2.895	-2.82	0.467
"YPR187W"	0.4095	-5.408	-2.28	-2.584	-3.22	0.768
"YPR190C"	0.6985	-3.101	-1.601	-1.95	-2.429	-0.476
