	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"963.1 mM Menadione (120 min)redo"	"964.1 mM Menadione (160 min) redo"	"971.1mM Menadione (40 min) redo"	"974.1 mM Menadione (80 min) redo"	"975.1 mM Menadione (105 min) redo"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1661.1 mM Menadione (50 min)redo"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YGL123W"	-0.807	-3.781	-3.726	-3.62	-4.004	-5.982	-4.112	-3.654	-0.952	-1.027	-1.284	-0.52	-1.005	-1.26	-1.019	-3.511	-2.414	-2.278	-2.388	-2.65	-3.558	-0.648	-1.574	-2.323	-2.087	-2.138	-2.024	-2.288	-2.703	-2.36	-2.5535	-2.2415	-4.217	-3.27	-4.123	-3.488	-2.693	-2.743
"YGL135W"	-0.854	-3.221	-2.455	-2.942	-3.418	-5.687	-3.217	-3.23	NaN	-0.076	NaN	0.167	-0.247	-0.021	-0.249	-3.581	-2.512	-2.692	-2.267	-2.874	-3.825	-0.036	-1.778	-2.546	-2.004	-2.237	-2.539	-2.193	-2.4725	-2.147	-2.382	-2.336	-3.443	-2.903	-3.617	-3.009	-1.968	-2.509
"YGL245W"	-0.535	-1.773	-1.565	-2.145	-4.799	-6.655	-1.774	-1.33	-0.042	-0.372	-0.222	-0.307	-0.018	-0.292	-0.2	-1.847	-1.589	-2.121	-3.552	-4.345	-4.779	-0.24	0.269	-0.327	-0.632	-0.537	-0.67	-1.3635	-1.233	-1.363	-1.9905	-1.5255	-0.889	-0.955	-0.706	-0.834	-0.29	-1.196
"YGR148C"	-1.095	-3.45	-3.464	-2.615	-3.884	-5.757	-3.141	-3.011	-0.123	-0.227	-0.726	-0.136	-0.228	-0.241	-0.243	-5.063	-2.508	-2.896	-3.022	-3.649	-4.092	-0.042	-1.064	-2.108	-1.621	-1.901	-1.746	-2.029	-2.5285	-2.6695	-2.344	-2.332	-3.53	-2.779	-3.103	-2.693	-1.897	-2.334
"YGR151C"	-0.544	-2.709	-1.289	-1.671	-3.87	-3.928	-1.322	-1.824	0.141	-0.257	0.032	0.16	-0.502	-0.149	-0.288	-2.68	-2.815	-2.712	-1.696	-2.582	-2.109	-0.048	-0.619	-0.567	-0.742	-0.3	-1.022	-0.819	-0.5135	-0.924	-1.1815	-0.904	-0.837	-1.59	-1.703	-1.532	-0.634	-1.724
"YGR185C"	-0.299	-3.192	-1.695	-2.168	-5.306	-6.361	-1.442	-1.736	-0.149	0.017	-0.059	-0.437	-0.003	0.206	0.033	-2.754	-2.531	-2.944	-4.576	-4.871	-5.006	0.128	-0.412	-0.817	-0.325	-0.772	-0.521	-0.813	-0.933	-0.618	-0.776	-0.799	-3.17	-2.768	-2.136	-2.312	-2.205	-2.277
"YHR025W"	-1.053	-3.632	-1.47	-1.868	-2.666	-5.429	-2.472	-2.269	-1.424	-0.968	-0.299	-1.116	-0.931	-1.227	-1.206	-1.781	-1.97	-1.896	-1.471	-2.319	-2.178	-0.966	-0.124	-0.884	-0.464	-1.078	-1.073	-1.314	-0.532	-0.899	-1.503	-1.664	-3.915	-2.334	-3.0	-1.597	-1.63	-2.276
"YIL018W"	-1.096	-4.365	-2.782	-2.78	-3.492	-5.749	-3.362	-3.505	-0.4875	-0.6605	-0.7075	-0.2295	-0.553	-0.7365	-0.5755	-3.907	-2.218	-2.606	-2.661	-3.27	-3.914	-0.3725	-1.261	-1.963	-1.389	-2.403	-4.283	-2.594	-2.705	-2.628	-2.284	-2.339	-4.277	-3.397	-4.06	-3.676	-2.806	-2.821
"YJL145W"	-0.223	-2.076	-1.277	-2.509	-2.136	-3.628	-1.713	-1.117	0.317	0.801	0.121	0.468	0.557	0.498	0.049	-1.535	-1.678	-1.482	-2.303	-2.334	-2.853	0.477	-0.692	-0.896	-0.637	-0.815	-1.351	-1.028	-0.958	-1.073	-1.422	-1.651	-0.529	-0.792	-1.581	-1.582	-1.22	-1.063
"YJR069C"	-0.519	-2.056	-1.414	-2.017	-3.527	-4.151	-1.806	-1.64	0.009	-0.353	0.282	0.195	0.181	-0.218	-0.274	-1.021	-1.358	-1.09	-1.656	-1.806	-1.42	-0.217	-0.921	-0.786	-0.603	-1.094	-1.097	-0.422	-0.328	-0.09	-0.674	-0.524	-1.467	-1.181	-1.685	-2.036	-1.662	-2.416
"YJR123W"	-0.576	-3.844	-3.279	-3.124	-4.381	-9.147	-3.809	-3.529	-0.342	-0.744	-0.886	-0.652	-0.329	-0.254	-0.607	-4.282	-2.391	-2.635	-2.639	-3.543	-4.006	-0.284	-1.517	-2.264	-1.907	-2.373	-2.137	-2.099	-2.499	-2.141	-1.941	-1.938	-4.305	-3.113	-3.711	-4.025	-2.566	-3.587
"YLL045C"	-1.088	-3.851	-2.506	-2.221	-3.857	-6.618	-3.169	-3.335	-0.395	-0.731	-0.704	-0.641	-0.364	-0.404	-0.501	-3.66	-2.604	-2.495	-2.943	-3.021	-3.731	-0.451	-1.212	-2.243	-1.5	-1.924	-1.585	-1.945	-2.135	-2.025	-1.727	-1.625	-3.449	-2.833	-3.788	-3.87	-2.635	-2.362
"YLR060W"	-0.643	-3.165	-2.047	-2.849	-4.941	-5.967	-2.093	-1.988	-0.799	-0.947	0.288	-0.484	-0.713	-0.832	-0.453	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	-0.656	-0.832	-1.345	-0.976	-1.106	-0.9	-1.071	-0.518	-0.692	-1.027	-1.01	-2.734	-2.666	-2.64	-2.996	-2.646	-3.346
"YLR062C"	-1.029	-4.53	-3.352	-4.077	-5.705	-6.896	-3.6	-3.985	-0.577	-0.291	-0.465	-0.14	-0.267	-0.192	-0.268	-4.96	-3.209	-3.706	-4.299	-4.293	-5.234	-0.282	-0.791	-1.826	-1.148	-2.069	-1.789	-2.044	-2.76	-2.254	-1.827	-2.249	-3.806	-3.723	-4.54	-4.001	-2.894	-3.419
"YLR340W"	-0.845	-2.59	-2.566	-2.876	-4.11	-6.819	-2.128	-2.646	-1.501	-1.273	-1.033	-0.597	-1.186	-1.298	-1.001	-3.499	-2.703	-2.701	-2.702	-3.206	-4.105	-1.183	0.169	-0.986	-0.705	-1.445	-1.663	-2.792	-2.563	-3.069	-3.157	-2.974	-4.14	-3.346	-3.405	-3.289	-2.708	-3.543
"YML008C"	-0.446	-2.795	-1.034	-2.236	-4.23	-4.829	-1.558	-1.093	0.377	0.475	0.442	-0.463	0.168	0.401	0.219	-3.526	-2.014	-3.366	-3.358	-5.162	-3.504	0.563	-0.028	-0.537	-0.652	-0.807	-0.813	-0.907	-1.01	-0.209	-1.38	-0.915	-3.199	-2.808	-2.241	-2.487	-2.113	-3.059
"YML063W"	-0.83	-4.408	-3.027	-2.904	-4.048	-13.273	-3.657	-3.146	-0.021	-0.018	-0.08	0.111	-0.028	-0.014	-0.258	-5.57	-2.658	-2.875	-3.123	-3.364	-4.059	0.073	-1.72	-2.549	-1.757	-2.354	-2.098	-1.646	-1.109	-1.061	-1.547	-1.506	-4.819	-3.531	-4.008	-3.578	-2.829	-3.392
"YML074C"	-0.08	-2.476	-1.152	-2.161	-2.837	-5.319	-1.258	-1.23	-0.522	-0.615	-0.753	-0.486	-0.336	-0.35	-0.156	-1.88	-1.207	-1.673	-2.826	-3.214	-3.466	-0.402	0.445	-0.293	-0.28	0.224	-0.329	-0.803	-0.604	-1.299	-1.006	-1.042	-1.353	-1.494	-1.384	-1.274	-1.659	-1.561
"YNL301C"	-0.795	-2.992	-2.514	-3.266	-5.123	-6.272	-2.943	-3.585	-0.242	-0.411	-0.539	-0.569	0.241	-0.502	-0.387	-3.466	-2.799	-2.781	-2.652	-2.985	-3.448	0.155	-1.103	-1.892	-1.408	-1.944	-2.088	-2.332	-3.067	-2.413	-2.58	-1.996	-4.167	-3.163	-4.02	-3.032	-2.764	-3.161
"YNR043W"	-0.293	-3.5005	-1.672	-2.628	-2.934	-5.1565	-2.5105	-1.9175	-0.647	-0.554	-0.543	-0.465	-0.825	-0.752	-0.476	-1.36	-2.078	-2.382	-2.655	-3.803	-3.856	-0.575	0.255	-0.219	-0.131	-0.519	-0.663	-1.252	-0.97	-0.572	-1.596	-1.066	-1.759	-1.955	-2.193	-1.673	-1.696	-2.285
"YOL097C"	-0.846	-4.26	-0.7835	-2.768	-0.491	-6.314	-2.427	-2.464	-0.637	-0.693	-1.568	-0.406	-0.497	-0.338	-0.427	-3.246	-2.609	-2.685	-3.398	-4.044	-4.151	-0.674	-1.099	-1.846	-1.576	-1.674	-1.734	-1.379	-1.328	-0.928	-1.634	-1.593	-2.626	-2.945	-3.063	-3.051	-2.335	-2.523
"YOL150C"	2.824	0.4305	0.816	1.756	0.3385	-1.8365	-0.293	0.242	3.513	4.264	3.298	3.013	3.909	3.588	3.493	0.876	2.05	2.952	0.645	0.182	0.084	4.092	3.292	4.208	4.324	3.699	3.404	2.08	0.921	1.965	1.713	1.671	1.679	1.168	1.266	1.05	0.598	1.7
"YOL151W"	3.824	0.455	0.139	1.462	1.182	-3.604	-0.288	0.276	4.397	5.186	4.291	3.564	4.995	4.51	4.338	1.029	2.542	2.986	0.484	0.347	0.096	4.721	2.871	4.044	4.365	3.741	4.092	1.372	0.899	1.948	0.904	1.669	1.881	1.317	2.082	1.592	0.66	1.927
"YOR260W"	0.041	-2.6835	-1.3015	-1.833	-2.507	-4.639	-2.1155	-1.8705	0.241	0.48	0.158	0.105	0.228	0.036	0.002	-1.898	-1.513	-1.624	-2.257	-2.577	-3.081	0.306	-0.298	-0.145	0.055	-0.035	0.005	-0.609	-0.832	-0.875	-0.822	-0.598	-2.096	-1.909	-2.099	-1.944	-1.556	-2.111
"YOR369C"	-0.795	-3.6225	-3.641	-3.7395	-3.724	-6.5475	-3.0405	-3.6415	-0.607	-0.793	-0.778	-0.259	-0.493	-0.795	-0.525	-3.998	-2.858	-2.986	-2.456	-2.662	-3.502	-0.699	-1.519	-2.104	-1.873	-1.97	-2.181	-3.018	-3.516	-2.766	-4.062	-2.656	-3.362	-2.395	-3.032	-3.003	-2.641	-3.203
"YPL090C"	-1.378	-3.9615	-2.7785	-2.203	-4.364	-6.197	-3.398	-3.223	-0.068	-0.433	-0.411	-0.79	-0.023	-0.141	-0.207	-5.307	-2.833	-2.954	-3.292	-3.309	-4.719	-0.273	-2.093	-2.805	-2.023	-1.985	-1.805	-2.13	-2.419	-1.668	-1.859	-1.724	-4.244	-3.265	-4.101	-3.571	-2.951	-2.658
"YPR060C"	-0.141	-3.5465	-2.8645	-3.377	-2.069	-3.801	-1.7345	-1.7935	-0.256	-0.096	-0.177	0.028	-0.092	-0.003	-0.174	-2.71	-1.98	-2.627	-2.107	-3.352	-2.894	0.081	-0.554	-0.717	-0.873	-0.815	-1.129	-1.004	-0.457	-0.784	-0.724	-1.285	-2.631	-1.945	-2.784	-2.741	-2.38	-2.719
