	"686.YP ethanol vs reference pool"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"896.Amino acid + adenine starvation 2 h"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"11466.yO1 test hyb"	"12732.Nitrogen Depletion 4 h"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13062.wt/crz1 Ca 15min (2)"	"14946.Hydrostatic pressure (C2 vs P2)"	"30319.usv1("	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"
"YKL093W"	1.139	0.915	5.448	4.655	4.714	4.393	4.525	4.208	4.369	0.562	0.19	-0.045	3.212	2.953	3.082	4.872	3.902	2.916	2.536	2.725	3.515	2.314	2.745	-0.074	1.924	2.544	1.743	1.753	2.33	0.706	0.898	0.514	-0.136	-0.183	0.103	0.11	0.365	-0.217	0.001	4.428	4.865	2.992	4.664	3.337	3.528	3.144	3.011	-0.433	-0.097
"YKL221W"	0.0	-0.031	0.339	-0.315	0.252	0.688	1.742	1.399	2.449	-0.07	-0.538	0.436	0.797	2.486	1.388	1.314	0.941	2.035	3.264	2.869	2.6	0.291	1.345	-0.331	0.25	0.24	0.982	1.837	2.151	0.013	0.164	-0.228	-0.171	0.249	-0.159	-0.183	-0.338	-0.518	0.182	0.466	0.811	1.615	1.057	0.315	2.381	0.075	0.839	-0.21	-1.351
"YKR046C"	1.155	0.257	2.019	1.967	1.595	1.883	2.062	2.784	2.157	1.119	0.427	0.412	1.285	1.321	1.142	1.726	1.388	1.957	2.152	2.781	2.063	2.092	2.559	-0.163	1.657	2.167	2.136	2.618	1.142	0.047	0.522	0.26	0.116	-0.168	-0.065	-0.043	0.505	-0.32	-0.319	2.081	1.626	1.556	2.303	1.054	2.377	1.769	0.878	-0.826	-0.277
"YKR097W"	3.251	0.024	5.028	6.83	7.19	6.862	7.33	5.367	5.07	0.035	0.367	-0.412	0.58	5.974	6.148	6.922	6.534	5.735	5.448	6.528	6.693	4.283	5.059	-0.571	1.384	2.05	3.289	3.323	4.123	0.091	-0.244	-0.162	0.014	0.283	0.23	0.174	0.343	-0.196	-0.104	4.862	5.975	3.416	5.295	5.763	4.982	5.505	4.865	0.574	0.234
"YLL019C"	0.6475	0.21	1.971	1.624	2.0355	1.832	1.8805	1.9865	2.1885	1.0215	0.144	0.517	1.257	1.021	0.6375	1.397	1.255	1.789	1.8515	1.9515	1.767	1.507	1.933	-0.0885	0.729	0.8285	0.943	0.823	0.9795	0.4595	0.2615	0.051	-1.266	-1.688	-0.892	-1.067	-0.668	-0.08	0.884	2.302	2.654	2.889	2.838	2.632	2.205	1.395	1.358	-0.354	-0.183
"YLL023C"	1.177	1.033	3.606	2.665	2.517	2.475	1.663	2.152	1.323	1.039	0.293	-0.139	1.569	1.092	0.693	2.958	2.037	1.972	2.401	1.843	1.413	1.738	1.412	-0.708	0.67	0.926	1.254	0.578	1.126	-0.08	-0.344	-0.452	-0.189	-0.657	-0.533	-0.284	0.31	-0.858	0.713	2.0	1.656	1.537	2.303	1.613	2.147	3.09	2.576	-0.183	-0.13
"YLL027W"	0.513	-0.339	1.043	1.93	2.151	1.734	1.425	1.493	2.08	0.666	0.137	0.554	1.03	1.238	1.253	1.21	1.252	1.264	1.344	1.09	0.931	1.113	1.003	-0.119	0.63	0.941	0.646	0.846	0.227	0.35	0.807	0.63	-0.321	-0.132	0.185	0.243	0.261	0.054	0.411	2.361	1.569	1.436	1.717	2.031	1.96	1.984	1.81	0.104	-0.077
"YLL041C"	1.796	0.27	4.794	5.323	5.655	5.102	4.997	4.796	5.281	1.219	0.375	0.422	2.74	2.712	2.855	4.827	4.436	3.693	3.746	4.25	4.703	2.991	3.417	-0.088	0.627	1.415	1.799	1.493	2.09	-0.235	-0.029	-0.327	-0.385	-0.765	-0.119	-0.191	0.812	-0.036	-0.47	3.903	4.684	4.285	4.867	4.49	4.704	1.284	1.738	-1.176	-0.445
"YLR030W"	0.206	0.186	0.766	0.813	1.066	1.56	2.222	1.815	-0.326	0.643	-0.958	-0.097	0.17	1.002	1.676	0.418	1.107	1.835	1.373	1.044	1.07	0.566	0.799	-0.111	-0.052	1.284	1.515	1.196	2.007	0.175	-0.098	-0.043	-0.033	-0.227	-0.293	-0.287	-0.11	-0.442	-0.252	0.592	0.774	0.463	0.847	0.536	1.576	1.284	0.058	-0.064	-0.17
"YLR142W"	1.781	0.049	3.095	4.015	5.049	5.05	5.354	5.307	6.188	3.541	0.401	2.974	4.467	4.387	4.716	4.418	4.268	4.522	5.09	3.893	5.129	3.052	3.391	2.169	5.382	5.132	4.875	5.459	5.902	2.017	0.8	3.325	-0.847	-0.547	-0.321	-0.319	-2.157	-0.671	0.259	3.775	2.898	3.279	3.978	2.474	4.307	3.59	3.102	-0.011	-0.006
"YLR158C"	0.571	-0.019	1.174	1.579	1.125	1.39	1.247	1.511	1.285	1.02	-0.243	0.596	0.536	0.525	0.522	1.634	1.317	1.008	1.293	2.22	2.532	0.409	1.517	0.784	1.931	1.245	2.295	1.898	1.793	0.306	0.44	1.18	-0.236	-0.309	-0.368	-0.378	-0.211	0.239	0.62	1.208	1.811	0.81	0.817	1.312	1.602	2.283	1.637	0.104	-0.039
"YLR160C"	0.69	0.068	1.158	1.388	1.107	1.35	1.303	1.421	1.177	0.872	0.238	0.444	0.292	0.623	0.346	2.955	1.134	1.054	1.378	2.273	2.442	0.366	1.503	0.977	1.646	1.341	2.316	1.732	1.752	0.157	0.225	1.0	-0.176	-0.34	-0.584	-0.308	-0.128	0.198	0.291	0.943	1.714	1.079	1.597	1.092	1.154	2.117	1.42	0.059	0.231
"YLR174W"	2.874	0.228	4.526	5.843	6.653	5.651	5.451	5.447	4.487	1.445	-0.221	0.748	4.275	5.023	5.765	5.205	4.807	3.605	4.155	3.221	3.353	3.768	2.778	0.37	0.855	2.207	2.065	2.598	3.548	0.331	0.429	0.512	0.032	-0.104	0.172	0.053	0.352	0.423	0.277	0.917	5.021	4.133	4.301	4.563	2.849	4.685	4.478	-0.721	0.094
"YLR254C"	0.888	-0.047	1.819	0.982	1.325	1.582	1.899	2.064	0.755	0.841	0.328	0.162	1.765	1.261	1.006	0.463	0.25	1.234	1.112	0.448	0.626	0.598	0.83	0.154	0.874	1.242	2.187	NaN	1.938	0.293	0.535	0.521	0.09	0.236	0.348	0.323	0.014	-0.08	-0.403	1.099	1.252	0.386	0.604	0.541	1.415	1.256	0.708	-0.176	-0.448
"YLR297W"	1.209	0.604	2.207	2.178	1.77	1.789	2.673	1.514	3.323	0.59	0.674	0.544	1.5	1.825	1.59	2.59	1.606	2.134	2.89	3.611	3.29	1.862	2.641	-0.446	0.861	1.54	1.778	1.582	1.827	-0.607	-0.985	-0.758	0.054	0.465	0.034	-0.052	-0.208	-1.021	0.106	2.904	2.174	2.277	1.796	1.812	1.901	2.397	2.127	-0.395	-0.606
"YLR312C"	1.801	1.737	4.821	5.627	6.446	5.561	5.97	4.818	6.051	1.361	0.493	-0.056	2.674	4.286	4.34	4.955	5.214	4.896	5.569	6.764	7.043	2.783	3.462	0.371	4.649	4.618	4.916	4.296	5.025	1.404	0.89	1.022	0.064	-0.121	0.035	-0.001	0.124	-0.967	0.079	3.148	4.818	3.267	4.667	4.284	4.571	2.931	2.954	-1.377	-1.021
"YLR356W"	1.594	0.59	4.015	3.302	3.078	3.514	3.078	3.806	3.964	1.522	-0.09	0.826	2.031	1.543	1.833	1.792	1.217	1.214	1.174	1.86	2.207	2.27	2.111	-0.06	1.115	0.803	0.697	0.664	0.632	0.4	0.293	0.357	-0.266	-0.342	-0.182	-0.221	0.376	-0.445	-0.869	2.523	2.366	1.711	2.324	1.576	3.074	3.044	1.79	-0.486	-0.445
"YML042W"	2.306	0.267	5.257	5.951	5.954	6.053	5.694	5.292	4.94	0.764	0.856	0.029	2.989	2.529	1.465	4.969	5.064	3.866	4.298	3.56	3.618	2.581	2.684	-0.172	1.605	2.403	1.957	0.91	1.878	0.701	0.435	0.851	0.048	-0.271	-0.186	-0.201	0.104	-0.654	0.088	4.904	3.574	3.605	3.933	3.265	3.97	5.058	4.894	0.271	0.279
"YMR081C"	0.727	2.39	5.134	4.866	4.127	4.854	4.825	5.524	6.678	1.08	1.019	0.039	5.535	4.182	4.914	5.537	4.601	3.765	5.056	4.13	4.987	2.79	4.371	-0.452	2.369	3.016	3.007	3.482	3.108	0.102	-0.109	-0.001	-0.085	0.012	0.018	-0.076	0.125	-0.797	-0.163	6.135	5.714	4.436	4.766	3.029	3.912	2.807	2.795	-0.289	-0.097
"YMR118C"	0.646	0.064	1.566	2.237	2.784	3.914	5.005	4.013	3.37	0.754	-0.041	0.266	2.062	3.038	3.051	2.625	2.637	3.669	3.896	3.917	3.997	2.03	4.034	-0.176	0.76	3.12	3.327	3.427	3.886	0.053	-0.007	-0.273	0.462	0.021	0.444	0.473	0.4	-0.208	-0.266	1.914	3.07	3.019	3.693	1.817	3.974	3.018	3.073	0.23	0.622
"YMR181C"	0.967	1.399	3.744	3.384	3.752	3.55	3.817	4.43	4.005	1.895	0.754	0.87	2.607	2.761	2.933	3.306	2.566	2.301	3.282	2.567	2.312	2.042	2.3685	-0.184	2.108	2.483	2.205	2.343	2.628	0.529	0.405	-0.069	-0.604	1.047	-0.387	-0.317	0.21	-0.403	-0.447	1.237	2.144	1.733	2.183	1.517	3.497	3.171	3.165	-0.62	-0.803
"YNL117W"	2.512	0.092	4.201	6.739	5.741	6.63	5.482	4.27	1.0	0.527	-0.223	0.952	2.415	6.774	5.751	4.764	3.868	3.325	4.285	3.313	2.979	3.696	5.7225	0.194	1.262	1.762	2.504	2.844	2.616	0.686	0.636	0.986	0.123	0.268	0.229	0.379	0.332	-0.212	-0.248	2.388	5.666	4.173	4.998	6.407	3.865	6.432	5.259	-0.276	-0.173
"YOR392W"	0.29	-0.144	0.6085	0.1995	0.5645	1.056	1.4165	2.73	1.1095	-0.1005	-0.5855	-0.3695	1.195	2.355	1.802	1.156	1.014	1.163	1.801	2.163	1.598	0.862	0.958	-0.033	1.337	1.544	2.147	2.19	2.218	0.0	-0.465	-0.403	-0.207	0.281	-0.089	-0.202	-0.062	-0.726	-0.354	0.651	0.471	0.21	0.728	0.232	0.308	1.174	0.884	0.036	0.128
"YPL054W"	1.771	0.353	3.8355	5.1395	4.8575	4.304	5.5145	5.759	5.7125	3.3675	0.663	0.98	5.1485	4.589	0.651	5.006	4.065	4.256	4.91	5.184	5.018	2.322	4.457	1.64	4.466	4.26	4.568	4.886	4.785	3.153	2.021	2.446	-0.694	-0.568	-0.207	-0.275	-0.22	-0.192	-0.811	3.025	3.262	2.468	3.741	3.176	4.439	3.272	2.936	-3.64	-4.066
"YPR127W"	0.862	0.278	2.9265	2.1185	2.5575	3.008	3.103	2.7765	1.3845	0.4455	-0.019	-0.494	1.2175	1.0135	0.7545	1.284	1.523	3.269	3.256	1.207	0.888	0.547	3.102	-0.057	0.607	1.012	0.698	0.817	1.29	-0.109	-0.503	-0.72	0.206	0.124	0.308	0.241	0.901	-0.243	-0.016	2.993	2.529	3.148	2.334	2.039	2.319	3.336	2.587	-0.237	-0.623
