	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"650.alpha factor release sample017"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"1107.alpha factor release sample025"	"1673.alpha factor release sample021"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"8235.dtt 480 min"	"12744.heat shock 17 to 37, 20 minutes"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"30319.usv1("	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"34360.batch 02X25 4"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YGL148W"	-1.712	-2.027	-0.668	-1.735	-2.05	-2.295	0.037	-1.064	-1.223	0.167	-0.472	-0.854	-3.561	0.123	0.257	0.038	-0.758	0.317	0.877	-0.188	-1.1	-0.406	-2.451	0.656	0.036	-1.604	-2.144	-1.529	-0.751	-3.932	-3.123	-1.847	0.024	-3.287	-1.262	-0.892
"YGR123C"	-3.5875	-3.2965	-1.1295	-3.0495	-4.1895	-3.748	-0.214	-2.491	-1.145	-0.857	-1.835	-1.517	-4.447	0.124	0.234	-0.141	-0.96	-0.493	-0.841	-1.262	-1.589	0.062	-4.594	-0.864	0.044	-2.047	-2.795	-1.547	-2.966	-2.403	-3.836	-1.757	-1.288	-1.318	-2.132	-1.701
"YHL011C"	-2.744	-2.467	-0.997	-2.107	-3.0145	-3.024	-0.026	-1.817	-0.434	-0.687	-1.603	-1.5	-2.604	0.116	0.226	-0.008	-0.885	-0.397	-0.853	-0.231	-0.296	0.252	-3.2715	-1.067	0.424	-2.169	-2.38	-1.532	-2.437	-2.033	-2.086	-2.085	-0.615	-1.084	-1.117	-1.384
"YHR052W"	-4.2445	-3.5175	-1.499	-3.5215	-4.3935	-3.9395	-0.505	-2.417	-0.384	-1.274	-1.975	-1.663	-4.199	-0.033	0.153	0.119	-1.296	-1.003	-1.822	-1.184	-1.408	-0.055	-4.9395	-1.459	0.331	-2.268	-2.827	-1.875	-2.212	-1.892	-3.47	-3.048	-1.794	-2.249	-1.949	-2.227
"YHR070W"	-2.474	-2.0355	-0.898	-0.7915	-2.001	-1.843	-0.391	-1.262	-0.152	-1.282	-1.602	-1.157	-1.932	0.007	0.14	0.212	0.309	-0.539	-0.569	-0.538	-0.73	-0.043	-2.7915	-0.838	0.542	-1.039	-1.695	-1.291	-0.278	-1.016	-1.42	-1.722	0.261	-1.649	-2.343	-1.175
"YHR080C"	1.1355	0.7865	0.508	0.957	1.152	0.949	-0.191	0.555	0.006	0.461	0.714	0.92	1.941	-0.177	-0.0885	-0.036	0.363	0.182	0.81	-0.073	0.109	-0.294	1.292	0.526	-0.292	0.986	0.99	0.429	-0.257	1.858	2.273	0.348	NaN	-0.446	-0.823	-0.396
"YHR089C"	-4.5225	-3.658	-1.2945	-3.523	-4.938	-4.6915	-0.37	-2.977	-1.506	-0.732	-1.926	-2.485	-3.409	-0.106	0.086	-0.45	-1.81	-0.474	-1.732	-1.234	-1.661	0.137	-4.9325	-1.622	0.529	-2.896	-3.579	-1.269	-3.412	-2.523	-3.956	-2.851	-0.64	-1.909	-1.913	-2.256
"YJL098W"	-3.1635	-1.658	-0.8515	-1.5795	-2.0255	-1.935	-0.328	-0.811	-0.462	-1.692	-2.128	-1.781	-1.54	-0.21	-0.05	0.133	0.322	-1.35	-0.238	-0.933	-0.415	0.55	-2.449	-1.437	0.032	-2.48	-2.532	-1.71	-2.078	-1.696	-2.4785	-1.193	-0.53	-1.69	-2.2875	-1.351
"YJL122W"	-3.1605	-2.6115	-1.086	-2.3555	-3.015	-2.6085	-0.174	-2.0	-1.164	-1.064	-2.04	-2.031	-4.13	-0.184	-0.017	0.194	-1.355	-1.236	-1.937	-1.316	-1.155	0.571	-2.9625	-1.665	0.749	-2.578	-3.081	-2.605	-2.196	-2.529	-3.406	-1.743	-1.368	-2.23	-2.161	-2.194
"YJL161W"	3.34	3.0215	1.9675	2.924	2.9465	2.6305	-0.397	1.56	1.038	1.731	2.506	2.738	4.563	0.004	-0.057	0.132	0.406	0.182	0.443	0.485	1.854	0.773	3.716	0.534	-0.235	2.201	3.191	2.158	1.714	3.856	4.871	3.507	0.868	2.378	3.202	2.271
"YJR070C"	-4.6905	-4.824	-2.426	-3.895	-4.828	-4.332	-0.196	-3.794	-1.881	-1.091	-2.536	-2.577	-5.317	0.112	0.101	-0.067	-0.423	-0.333	-1.582	-1.079	-2.021	-0.124	-4.7655	-1.769	0.728	-2.778	-3.81	-2.429	-4.096	-3.069	-3.754	-2.357	-1.624	-1.64	-2.535	-2.011
"YKL181W"	-2.313	NaN	-0.766	-2.149	-2.822	-2.81	0.484	-1.73	-0.864	-0.672	-1.655	-1.54	-3.28	0.2	0.644	-0.212	-0.337	-0.434	-0.78	-0.64	-1.0	0.452	-2.802	-0.911	0.902	-1.865	-2.543	-1.721	-3.042	-2.367	-2.308	-1.939	-1.415	-1.289	-1.624	-1.049
"YLR175W"	-4.176	-3.679	-1.829	-3.07	-4.552	-4.902	-0.052	-4.195	-1.436	-1.304	-2.338	-2.257	-5.607	0.018	0.175	0.21	-1.179	-0.69	-1.76	-1.352	-1.58	0.079	-4.431	-1.303	0.071	-3.342	-4.177	-1.884	-3.986	-3.995	-4.338	-2.713	-1.658	-2.978	-2.879	-2.89
"YLR178C"	6.029	5.987	3.824	5.265	6.066	5.98	0.289	1.398	1.606	2.674	4.583	3.987	5.949	-0.06	-0.739	0.108	0.283	0.823	-0.265	1.116	2.276	0.277	6.29	0.543	0.186	3.297	4.402	3.913	4.754	5.407	5.3	4.82	2.036	-2.35	4.76	4.833
"YLR197W"	-4.98	-4.044	-1.636	-3.638	-4.76	-5.179	-0.224	-3.466	-2.02	-1.149	-2.263	-2.63	-5.817	0.069	0.42	0.131	-1.26	-0.529	-1.574	-0.988	-1.869	0.175	-5.072	-1.161	0.377	-2.322	-4.496	-2.603	-4.151	-4.983	-4.545	-3.015	-1.95	-2.647	-2.994	-2.559
"YLR221C"	-3.146	-2.286	-1.074	-2.172	-2.998	-2.528	-0.157	-1.949	-1.359	-1.239	-2.179	-1.971	-2.998	0.127	0.177	0.144	-1.311	-0.851	-1.526	-0.692	-1.559	-0.407	-3.231	-1.204	-0.028	-2.169	-3.034	-2.382	-2.79	-1.916	-3.361	-1.541	-1.191	-1.255	-1.794	-1.033
"YLR435W"	-2.95	-2.628	-0.869	-2.012	-2.917	-2.415	-0.256	-1.704	-1.472	-1.276	-1.935	-1.756	-4.216	-0.059	0.163	0.176	-1.427	-0.498	-1.181	-0.745	-1.591	0.155	-3.297	-1.543	0.285	-2.429	-2.231	-2.112	-2.319	-2.298	-4.563	-0.794	-1.457	-1.753	-1.535	-1.683
"YML004C"	2.415	2.252	1.078	1.902	2.217	2.599	0.399	0.709	0.54	0.968	1.5	1.659	1.393	-0.136	0.24	0.228	0.342	0.342	0.673	0.937	0.689	-0.367	2.787	1.048	-0.324	1.255	2.326	2.024	1.396	2.317	2.385	2.464	0.748	2.194	2.854	2.584
"YMR110C"	2.615	2.414	1.848	2.26	2.565	2.824	0.165	0.902	1.016	1.083	1.437	1.559	3.925	-0.179	-0.129	-0.312	0.308	0.383	0.957	1.111	0.952	-0.079	2.675	0.926	-0.332	2.229	2.545	1.675	1.23	3.97	3.64	2.152	0.419	2.488	2.47	2.932
"YMR131C"	-4.819	-4.183	-1.969	-3.849	-4.525	-4.347	-0.291	-3.041	-2.233	-1.061	-2.255	-2.188	-5.631	-0.125	0.198	-0.015	-1.786	-0.615	-1.767	-1.36	-1.718	-0.13	-4.674	-1.264	0.897	-2.123	-3.866	-3.136	-3.736	-1.412	-4.181	-2.03	-1.253	-2.149	-3.389	-2.21
"YMR197C"	2.306	1.506	0.707	2.121	2.282	1.924	-0.15	0.636	0.311	0.902	1.482	1.502	1.437	-0.189	0.065	0.254	0.432	0.422	0.932	0.671	0.417	-0.211	2.301	1.136	-0.021	1.357	1.769	1.517	1.494	0.438	0.908	0.85	0.31	0.662	1.88	1.723
"YMR250W"	6.007	5.491	4.027	5.246	5.448	5.563	0.288	1.403	0.902	2.822	3.78	4.002	4.705	-0.356	-0.525	1.356	0.61	1.53	0.518	1.331	1.807	-0.474	5.984	1.151	-1.13	4.217	4.606	3.471	4.16	5.331	5.68	5.241	1.352	4.48	5.204	6.07
"YMR290C"	-3.64	-3.689	-1.56	-2.957	-3.89	-3.624	-0.005	-2.19	-2.197	-1.482	-2.545	-2.5	-5.132	0.132	0.596	-0.092	-1.015	-0.763	-1.839	-1.688	-1.853	0.148	-4.129	-1.696	1.133	-3.16	-4.343	-3.775	-3.98	-4.028	-4.544	-2.21	-1.858	-1.701	-1.911	-2.141
"YNL002C"	-4.666	-4.07	-2.094	-3.305	-4.559	-4.222	-0.219	-3.653	-2.167	-1.685	-2.627	-2.564	-5.196	-0.152	0.334	-0.059	-1.678	-0.882	-2.134	-1.345	-1.453	0.103	-4.603	-1.47	0.618	-3.249	-3.481	-2.594	-3.245	-2.92	-4.466	-2.619	-2.033	-2.083	-1.86	-1.552
"YNL062C"	-3.459	-2.934	-0.927	-2.143	-3.093	-2.844	-0.118	-1.873	-1.31	-1.303	-1.917	-1.508	-4.157	0.077	0.303	-0.003	-0.582	-0.675	-1.032	-0.681	-1.0	-0.057	-2.71	-1.069	0.489	-3.32	-4.112	-2.584	-2.778	-2.698	-2.838	-1.431	-1.674	-1.693	-1.255	-1.669
"YNL075W"	-3.86	-3.164	-1.324	-2.558	-3.304	-2.768	-0.162	-2.359	-0.99	-1.244	-2.078	-1.5	-4.782	-0.096	0.044	-0.203	-1.289	-0.757	-1.805	-1.028	-1.121	0.126	-3.301	-1.178	0.98	-3.326	-2.935	-2.361	-2.748	-2.459	-3.779	-1.93	-1.9	-2.202	-2.141	-1.961
"YNL110C"	-4.43	-3.64	-1.669	-3.768	-4.56	-4.991	-0.38	-3.311	-2.2	-2.042	-2.66	-2.463	-5.108	-0.179	0.239	-0.088	-1.872	-1.085	-2.112	-1.219	-2.027	-0.192	-5.064	-1.785	0.86	-4.233	-4.907	-3.471	-3.973	-3.18	-4.747	-2.002	-2.107	-2.512	-2.299	-1.758
"YNL195C"	4.678	3.81	0.881	1.953	2.014	2.055	0.18	1.496	0.474	1.321	2.618	2.512	4.925	-0.224	-0.408	-0.145	-0.173	-0.167	-0.066	0.259	1.175	0.072	3.361	0.225	-0.206	2.937	2.819	0.889	1.155	4.582	4.625	3.139	0.282	2.651	3.703	3.318
"YNL209W"	-2.368	-2.469	-0.983	-3.114	-4.441	-4.707	0.222	-1.95	-1.941	0.035	-0.693	-1.204	-3.795	0.223	0.1645	0.134	-0.553	-0.154	-0.608	-0.692	-1.517	0.611	-4.616	-0.519	0.088	-2.126	-3.361	-2.694	-3.413	-4.586	-4.209	-2.057	-1.591	-1.703	-2.213	-1.979
"YNL248C"	-4.791	-4.315	-2.601	-3.398	-4.455	-4.373	-0.12	-3.395	-1.793	-1.354	-2.425	-2.173	-5.716	0.19	0.239	0.124	-1.778	-0.631	-1.852	-1.498	-1.978	0.061	-4.868	-1.518	0.963	-3.442	NaN	-2.886	-5.118	-4.652	-6.193	-3.661	-2.122	-2.94	-3.256	-3.147
"YNR054C"	-3.072	-1.849	-1.199	-2.561	-3.745	-2.256	-0.547	-0.952	-0.1965	-1.437	-1.723	-1.964	-1.6465	-0.14	-0.005	-0.094	-0.372	-0.842	-0.957	-0.9685	-0.96	-0.216	-3.271	-1.182	0.138	-2.435	-3.275	-1.802	-2.06	0.252	-2.609	-0.653	-0.123	-1.304	-1.736	-1.631
"YOR004W"	-4.757	-3.548	-2.269	-2.903	-3.62	-3.212	-0.264	-2.306	-0.829	-2.134	-2.836	-2.823	-1.3775	-0.051	0.073	0.021	-1.837	-1.397	-2.457	-0.678	-1.917	0.026	-3.591	-2.014	0.381	-2.63	-4.082	-3.247	-3.651	-2.596	-4.043	-1.907	-1.824	-2.396	-2.152	-2.29
"YOR108W"	-1.76	-1.668	-1.221	-1.964	-1.896	-1.619	0.45	-0.7245	-0.0615	-0.619	-1.239	-0.844	-0.6095	0.218	0.158	-0.036	-0.961	0.495	-0.966	-1.17	0.4145	0.239	-2.164	0.103	0.214	-2.059	-1.751	-1.28	-1.457	-2.566	-2.985	-2.767	-1.115	-2.02	-2.795	-1.479
"YOR145C"	-3.98	-3.795	-1.583	-2.871	-3.492	-3.402	-0.214	-2.2695	-1.2125	-1.668	-2.441	-1.805	-4.1305	-0.002	0.256	-0.001	-1.019	-0.992	-0.924	-1.2825	-1.1325	0.505	-3.948	-1.531	0.787	-3.355	-3.644	-2.806	-3.265	-2.939	-4.493	-1.536	-2.585	-2.139	-1.717	-1.933
"YOR206W"	-5.087	-3.702	-1.66	-3.585	-5.083	-4.513	-0.239	-3.849	-1.8605	-1.977	-2.894	-2.77	-5.827	-0.064	0.079	-0.2	-1.778	-1.189	-2.025	-1.676	-1.716	0.2435	-5.066	-1.705	1.099	-3.782	-3.839	-2.816	-4.003	-3.193	-4.817	-2.166	-2.892	-2.558	-2.475	-2.141
"YOR243C"	-3.594	-3.234	-0.62	-2.436	-3.633	-3.982	-0.028	-2.5655	-1.5515	-1.209	-1.985	-1.827	-3.8055	0.092	0.18	-0.005	-1.098	-0.485	-1.497	-0.7165	-1.1555	-0.016	-4.099	-1.0	0.686	-2.442	-2.845	-1.727	-2.616	-1.759	-2.825	-1.862	-1.245	-1.778	-3.197	-1.962
"YOR289W"	3.218	3.068	2.317	2.572	2.935	2.676	0.035	1.0725	0.578	1.567	2.084	2.367	4.4405	-0.169	0.009	0.125	0.589	0.427	0.374	1.607	1.6655	-0.0245	3.401	0.714	0.015	2.535	2.723	2.032	1.83	3.785	3.745	2.136	0.322	2.241	2.584	2.062
"YOR294W"	-4.574	-3.828	-1.804	-3.73	-4.407	-3.632	-0.579	-3.3475	-1.7325	-1.927	-2.434	-2.234	-5.6475	-0.101	0.314	-0.128	-1.07	-1.394	-1.843	-1.377	-1.381	-0.029	-4.852	-1.542	0.971	-3.894	-4.841	-3.679	-3.042	-2.722	-5.145	-1.895	-2.638	-2.096	-2.075	-1.907
"YOR310C"	-5.053	-4.365	-2.299	-3.309	-4.639	-3.004	-0.107	-3.57	0.19	-1.362	-2.348	-2.686	-6.006	-0.06	0.126	0.202	-1.306	-0.68	-1.71	-1.645	-1.8115	0.287	-4.948	-1.398	0.319	-3.619	-4.326	-3.006	-4.099	-4.564	-5.14	-3.033	-2.438	-2.639	-2.241	-2.539
"YPL247C"	3.7175	2.8855	1.5785	2.3165	3.0315	3.09	-0.268	1.28066666666667	0.396333333333333	1.36866666666667	1.94866666666667	1.773	3.12633333333333	-0.367	0.138	-0.1675	0.2765	0.51	-0.3105	0.941666666666667	1.00233333333333	-0.115333333333333	3.357	-0.001	-0.738	2.389	2.541	1.455	2.472	3.502	3.868	1.937	0.849	3.156	2.514	2.679
"YPR110C"	-3.178	-3.084	-1.163	-2.507	-3.52	-3.728	-0.151	-2.207	-1.421	-0.888	-1.572	-2.073	-5.7185	-0.038	0.311	-0.091	-1.228	-0.369	-1.375	-0.778	-1.359	0.23	-3.168	-1.271	0.716	-2.665	-3.436	-2.354	-3.503	-2.851	-3.882	-2.538	-1.483	-1.564	-2.129	-1.842
"YPR137W"	-2.433	-1.82	-0.622	-2.027	-2.094	-2.127	-0.561	-1.5625	-0.023	-1.347	-1.601	-1.288	-3.344	-0.124	-0.117	-0.048	-0.453	-0.867	-0.763	-1.093	-1.5645	-0.1975	-2.92	-1.163	0.809	-2.458	-2.642	-1.378	-2.138	-3.399	-3.954	-2.193	-1.656	-2.054	-2.518	-1.705
"YPR150W"	2.0	1.616	0.656	1.322	2.082	1.819	0.3215	0.3385	0.5045	0.1805	1.1125	1.161	4.325	-0.171	0.351	0.058	0.229	-0.318	-0.502	-0.2925	0.688	0.2635	3.039	0.254	-0.118	1.471	1.965	2.041	1.335	3.296	2.251	2.062	-0.559	1.031	2.556	2.354
"YPR163C"	-2.552	-2.832	-1.119	-2.415	-3.276	-3.939	-0.521	-1.9175	-1.3005	-0.355	-1.102	-1.6565	-3.6815	-0.189	0.119	-0.06	-0.87	-0.043	-0.551	-0.673	-1.1135	-0.317	-3.572	-0.546	0.244	-2.218	-3.015	-1.939	-2.373	-3.506	-3.575	-1.488	-1.416	-1.475	-1.728	-1.088
