	"54.Elutriation2:Sample2:Time2.5hrs"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"974.1 mM Menadione (80 min) redo"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1249.mec1_plus_gamma_5_min"	"1252.mec1_plus_gamma_30_min"	"4048.0.8M NaCl +FK506 - 30 min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8234.dtt 240 min"	"12734.Nitrogen Depletion 12 h"	"13065.Na/Na+FK 30min (1)"	"13066.Na/Na+FK 30min (2)"	"14947.Hydrostatic pressure (C1 vs P1)"	"17694.Missouri Western State College 10 uM DAPI Cy5 12 hrs (exp 2)"	"21657..24 mM H2O2- 063 minutes"	"28837.P2Comp 04 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"33776.DBY8778(wt)_stationary_phase_1day"	"33782.delYPL230w_stationary_phase_1day"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"42224.U2 Comp 08 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"
"YGR148C"	0.258	-3.45	-3.596	-3.464	-3.033	-2.615	-3.884	-5.757	-1.051	-1.141	-3.141	-3.011	-2.956	-2.722	-0.241	-5.063	-2.508	-2.896	-3.022	-3.649	-4.092	-0.156	-0.309	-0.7	-2.108	-1.621	-0.658	-1.901	-1.746	-2.548	-1.848	0.6945	0.522	-0.056	-0.0235	-2.6455	0.509	-2.133	-2.334	0.56	0.091	-0.55	-0.728
"YHL021C"	-0.86	5.13	4.387	4.461	4.022	3.435	2.651	1.842	1.715	5.062	4.726	4.548	3.755	-0.71	0.398	3.904	3.694	2.488	3.741	4.27	4.189	2.255	-0.495	4.431	3.443	3.832	2.99	3.239	3.337	1.811	0.073	0.346	-0.345	-1.311	0.35	2.258	-2.236	3.722	3.995	0.491	2.168	-1.493	1.572
"YHL033C"	1.098	-3.758	-2.864	-2.635	-1.944	-2.205	-3.984	-6.65	-1.028	-1.783	-3.056	-3.153	-3.005	-2.318	-0.678	-4.25	-2.808	-2.523	-2.601	-2.923	-4.209	-0.101	-0.034	-0.876	-2.309	-1.718	-0.863	-1.866	-2.127	-1.747	-1.93	0.514	0.245	0.185	0.098	-3.325	0.799	-1.946	-1.18	0.654	0.013	1.08	-0.637
"YHR010W"	1.091	-3.693	-3.281	-3.149	-2.926	-3.025	-3.508	-4.514	-1.125	-1.864	-3.343	-3.288	-3.007	-2.769	-0.25	-4.159	-2.244	-2.541	-1.71	-2.032	-2.684	-0.571	-0.322	-1.158	-1.972	-1.452	-1.084	-1.912	-1.667	-2.034	-2.0	0.777	0.53	-0.081	-0.052	-2.818	0.063	-2.283	-2.978	0.558	0.282	0.648	-0.077
"YHR194W"	-0.013	2.375	2.265	1.032	1.648	1.783	0.074	-0.829	0.236	1.153	0.937	0.17	0.639	0.895	-0.1795	1.43	1.045	1.065	1.724	1.573	1.765	-0.183	-0.235	1.045	0.944	0.887	0.869	0.909	0.923	0.339	0.642	0.369	-0.067	-0.612	-0.427	0.74	0.059	-0.173	0.649	-0.02	0.132	0.395	0.264
"YHR203C"	0.411	-3.926	-2.827	-3.148	-2.671	-2.895	-3.782	-5.944	-1.473	-1.998	-3.917	-3.774	-3.412	-3.049	-0.0705	-4.669	-2.437	-2.591	-2.575	-3.081	-3.941	-0.423	-0.252	-1.394	-2.455	-1.726	-1.356	-2.243	-1.865	-1.982	-2.621	0.615	0.668	0.751	-0.141	-2.988	-0.125	-2.46	-3.424	0.133	-0.062	-0.288	-0.473
"YIL131C"	-0.209	-2.024	-1.208	-0.852	-0.675	-1.749	-2.028	-4.479	-0.378	-1.189	-1.119	-0.503	-0.704	0.756	0.0355	-0.914	-1.235	-1.681	-1.725	-2.595	-1.95	-0.428	0.428	-1.215	-1.731	-1.687	-0.887	-1.27	-1.135	-0.246	-0.092	-0.208	-0.105	0.648	-0.089	-2.503	-0.068	-0.854	-1.707	0.504	-0.768	-0.796	-0.462
"YIL158W"	-0.57	-1.567	-0.956	-0.262	-0.953	-1.39	-2.029	-4.055	-0.793	-1.08	-1.363	-0.719	-1.634	-1.694	-0.6655	-0.327	-1.481	-1.23	-0.87	-1.108	-1.551	-0.178	0.112	-1.11	-1.483	-1.064	-1.141	-1.527	-1.567	-0.545	-1.049	0.542	0.684	-0.065	0.101	-0.702	-0.008	-0.401	-1.326	0.231	-0.299	0.121	-0.413
"YJL177W"	0.675	-4.132	-3.846	-3.2	-2.981	-2.747	-3.255	-5.49	-1.502	-1.729	-3.409	-3.772	-3.428	-3.164	-0.075	-5.074	-2.525	-2.421	-1.768	-2.278	-2.905	-0.07	-0.367	-1.063	-2.129	-1.64	-1.431	-2.455	-2.061	-2.196	-2.547	0.947	0.606	0.218	-0.474	-3.107	0.405	-3.278	-3.266	0.092	-0.675	-0.127	-0.659
"YJL189W"	0.381	-3.545	-2.317	-2.319	-2.282	-1.644	-2.901	-4.28	-0.329	-1.433	-2.446	-2.278	-1.716	-1.833	0.062	-3.49	-1.78	-2.141	-1.577	-2.282	-2.837	-0.377	-0.213	-0.951	-1.438	-1.127	-0.748	-1.552	-1.383	-2.0	-0.667	0.308	0.003	-0.012	-0.29	-1.362	0.178	-2.818	-1.966	0.054	-0.212	0.138	-0.364
"YJL190C"	0.994	-3.794	-3.553	-3.267	-2.958	-3.287	-3.585	-6.079	-1.801	-2.845	-3.969	-3.744	-3.536	-3.062	0.172	-4.469	-3.105	-3.227	-2.941	-3.365	-3.524	-0.265	-0.382	-1.232	-2.412	-1.772	-1.163	-2.255	-2.211	-2.139	-2.635	0.713	0.433	0.666	-0.479	-4.086	0.516	-3.608	-3.497	-0.03	-0.372	1.662	0.01
"YJR106W"	-0.146	1.148	1.483	1.766	1.437	1.795	1.0	0.206	0.633	0.926	0.663	0.813	1.007	0.694	-0.144	1.0	0.855	0.877	1.715	1.744	1.322	-0.152	-0.182	0.403	0.719	0.557	0.261	0.333	0.356	0.86	0.06	0.561	-0.319	-0.564	-0.087	-0.524	-0.751	0.122	0.512	-0.035	0.195	1.04	-0.063
"YJR145C"	0.667	-4.507	-3.488	-3.177	-2.731	-2.413	-3.54	-6.528	-1.641	-1.781	-3.551	-3.547	-3.597	-3.707	0.016	-4.857	-2.396	-2.336	-2.519	-3.105	-3.178	-0.244	-0.205	-1.291	-2.162	-1.723	-1.407	-2.369	-1.818	-1.921	-2.272	0.818	0.43	0.215	-1.065	-2.65	-0.204	-2.551	-2.94	0.259	-0.276	-0.629	-0.358
"YKL006W"	0.738	-4.299	-3.901	-3.389	-2.854	-3.16	-2.835	-5.113	-1.399	-2.6	-3.049	-3.027	-2.997	-2.743	-0.201	-4.545	-2.442	-2.791	-1.939	-2.29	-2.843	-0.541	-0.372	-1.03	-2.111	-1.56	-1.268	-2.103	-1.94	-2.167	-2.189	0.84	0.216	0.411	0.028	-3.267	-0.104	-2.92	-3.593	0.343	-0.578	0.348	-0.706
"YKR106W"	-0.237	1.647	0.942	0.935	1.367	0.01	1.043	-0.483	0.187	0.48	0.319	0.597	0.694	0.487	0.126	1.05	1.607	1.864	2.564	2.83	2.317	-0.372	0.055	0.337	0.796	0.771	0.313	0.644	0.695	0.0	0.801	-0.124	0.142	0.051	-0.683	1.026	0.372	0.376	0.577	-0.031	0.013	0.157	-0.315
"YLL004W"	-0.233	-2.058	-1.449	-1.227	-2.256	-2.542	-0.83	-3.568	0.432	-0.215	-0.75	-0.983	0.302	-0.578	-0.172	-1.123	-0.953	-1.281	-1.508	-1.7	-0.656	0.239	0.212	-0.792	-1.13	-0.634	-1.04	-0.669	-0.964	-0.341	0.189	-0.36	-0.218	1.362	-0.359	0.608	0.033	-0.576	-0.726	0.264	-0.101	-0.784	0.1
"YLL044W"	0.757	-4.871	-3.525	-3.158	-2.869	-2.963	-3.79	-6.48	-1.254	-1.665	-3.313	-3.031	-3.269	-2.156	-0.27	-3.872	-2.654	-2.736	-2.724	-3.494	-3.967	-0.106	-0.069	-1.079	-2.344	-1.619	-1.183	-2.075	-2.07	-2.173	-1.93	0.903	0.519	0.166	-0.016	-2.82	0.281	-2.055	-2.935	0.324	-0.157	0.586	-0.717
"YLR264W"	0.703	-3.105	-2.523	-2.018	-1.862	-1.693	-2.597	-5.152	-1.164	-2.792	-2.945	-2.94	-2.616	-2.15	0.087	-3.525	-2.241	-2.158	-1.649	-2.334	-2.391	0.247	-0.013	-0.359	-1.665	-1.642	-0.313	-1.413	-1.913	-1.688	-1.844	0.481	-0.147	0.131	-0.191	-3.277	-0.629	-1.49	-2.667	0.484	-0.259	0.877	0.05
"YLR333C"	0.774	-3.93	-3.067	-2.402	-2.401	-2.342	-3.011	-5.863	-1.394	-1.82	-3.538	-3.334	-2.939	-2.483	0.067	-4.032	-2.092	-2.057	-1.584	-2.45	-2.848	-0.286	-0.057	-0.562	-1.8	-1.502	-0.711	-1.76	-1.922	-1.566	-1.875	1.092	0.701	-0.198	-0.547	-2.74	-0.059	-1.894	-1.826	0.125	-0.7	0.91	-0.304
"YML024W"	NaN	-3.616	-3.535	-3.016	-2.718	-3.285	-3.909	-4.621	-1.631	-1.809	-3.523	-3.666	-3.004	-3.408	-0.432	-3.455	-2.512	-2.583	-1.81	-2.221	-2.415	-0.552	-0.082	-1.385	-2.106	-1.671	-1.066	-1.567	-2.011	-2.253	-1.538	0.457	0.225	0.422	0.118	-3.104	-0.362	-1.537	-2.067	0.685	-0.328	0.361	0.438
"YML026C"	NaN	-3.811	-3.779	-3.236	-2.913	-3.29	-4.268	-5.271	-1.498	-2.084	-3.779	-3.636	-3.131	-3.217	-0.325	-3.572	-2.873	-2.821	-2.898	-2.803	-2.821	-0.312	-0.184	-1.288	-2.403	-1.985	-1.303	-1.891	-2.065	-2.254	-1.637	0.548	0.545	-0.09	0.366	-2.371	0.329	-2.98	-3.307	0.155	-0.111	0.949	-0.296
"YMR001C"	-0.732	-1.137	-0.867	0.187	-0.562	-1.732	-2.913	-3.219	-0.55	-1.375	-0.825	-1.094	-1.485	-2.528	-0.3	-1.97	-2.089	-2.337	-2.372	-2.823	-2.825	-0.409	0.263	-1.091	-1.435	-1.153	-0.648	-0.824	-0.81	-0.249	-1.91	-0.026	0.811	-0.306	-0.287	0.679	0.953	-1.926	-1.375	-0.227	-1.588	-0.55	-0.383
"YMR230W"	NaN	-3.465	-3.053	-2.702	-2.699	-1.989	-3.24	-4.541	-0.908	-1.958	-2.924	-2.999	-2.959	-3.013	0.033	-3.21	-2.361	-1.71	-1.57	-1.442	-2.394	-0.467	-0.363	-1.198	-2.107	-1.795	-0.816	-1.571	-1.981	-2.1	-1.531	0.99	0.457	-0.433	-0.034	-2.796	0.321	-1.782	-2.976	-0.015	0.145	-0.315	-0.318
"YMR242C"	0.822	-4.702	-3.631	-3.819	-3.001	-3.032	-3.971	-6.226	-1.253	-2.004	-3.832	-4.338	-3.636	-3.62	0.146	-4.84	-2.59	-3.004	-2.601	-3.133	-3.475	-0.245	-0.463	-1.524	-2.598	-2.072	-1.85	-2.755	-2.478	-2.26	-2.447	0.825	0.211	0.098	-0.0335	-3.061	0.055	-2.446	-3.856	0.305	-0.379	-0.152	-0.514
"YNL026W"	-0.312	0.503	0.535	-0.058	-0.935	-1.046	-1.792	-4.57	-0.351	0.339	0.0	-0.467	-0.633	-1.031	0.248	1.129	-0.536	-0.769	-1.742	-1.531	-1.966	0.026	-0.069	-0.713	-0.835	-1.143	-0.966	-0.823	-1.247	0.154	-0.952	-0.052	-0.035	0.497	-0.744	0.878	-0.15	-0.17	-1.077	-0.294	0.469	-0.546	0.165
"YNL162W"	0.228	-3.953	-3.395	-3.14	-2.838	-2.163	-2.858	-6.425	-1.052	-1.564	-2.86	-2.872	-2.421	-2.763	-0.024	-3.999	-2.0	-2.0	-1.742	-2.487	-3.468	-0.297	-0.421	-1.181	-2.109	-1.436	-1.282	-2.23	-1.918	-2.288	-1.199	0.639	0.684	0.004	-0.8075	-3.365	0.577	-2.189	-3.105	0.491	-0.282	-0.241	-0.332
"YNL178W"	0.541	-4.244	-3.755	-3.785	-3.505	-3.159	-4.338	-6.62	-1.624	-0.279	-3.239	-3.307	-3.272	-3.183	0.01	-4.97	-2.899	-2.981	-2.958	-3.483	-3.871	-0.514	-0.324	-0.721	-1.991	-1.931	-0.422	-1.803	-1.852	-2.233	-2.566	0.744	0.721	-0.002	-0.1645	-2.804	0.001	-1.999	-2.764	0.587	-0.805	0.805	-0.1
"YOR293W"	0.56	-4.155	-3.7615	-3.19	-2.996	-2.697	-2.7875	-4.496	-1.2955	-2.2545	-3.442	-3.1085	-3.0195	-2.64	-0.621	-4.233	-2.533	-2.507	-1.856	-2.041	-3.118	-0.538	-0.408	-1.529	-2.613	-1.918	-1.397	-2.238	-2.131	-2.6075	-1.92	0.372	0.332	-0.562	-0.474	-2.991	-0.341	-3.205	-3.271	0.002	-0.707	1.34	-0.12
"YOR312C"	0.761	-3.8645	-3.381	-2.919	-2.263	-2.2895	-3.3005	-4.8175	-1.33	-2.054	-2.99	-3.177	-3.0	-2.5975	-0.07	-4.638	-2.511	-2.402	-2.039	-1.569	-3.224	-0.304	-0.152	-1.537	-2.549	-1.732	-1.545	-2.5	-2.243	-2.1775	-1.929	0.769	0.207	-0.312	0.013	-1.439	0.285	-3.512	-2.886	-0.335	-0.446	0.632	-0.491
"YOR315W"	-0.276	-3.8935	-2.27	-0.98	-2.459	-2.966	-2.9775	-4.3035	-0.0995	-2.563	-1.742	-1.8235	-1.979	-1.3625	-0.03	-2.638	-2.502	-3.165	-2.855	-2.774	-2.784	-1.271	-0.236	-1.706	-2.864	-2.75	-1.863	-2.342	-2.827	-0.8885	-2.335	0.366	0.176	0.256	0.409	-1.359	0.19	-1.281	-1.879	0.354	-0.579	-0.062	0.02
"YOR369C"	0.729	-3.6225	-4.255	-3.641	-2.7865	-3.7395	-3.724	-6.5475	-1.6065	-0.692	-3.0405	-3.6415	-3.752	-3.809	-0.795	-3.998	-2.858	-2.986	-2.456	-2.662	-3.502	-0.53	-0.479	-1.052	-2.104	-1.873	-1.053	-1.97	-2.181	-2.1875	-2.35	0.859	0.504	0.221	-0.605	-3.601	-0.792	-1.842	-3.203	0.928	-0.554	0.628	0.262
"YPL079W"	-0.405	-4.616	-4.1965	-3.787	-3.3525	-2.6495	-3.892	-6.4765	-1.563	-1.7255	-3.085	-3.172	-3.0255	-3.112	-0.461	-4.735	-2.741	-3.087	-3.015	-3.498	-4.547	-0.427	-0.359	-1.381	-2.574	-1.965	-1.758	-2.209	-2.429	-2.1725	-2.001	0.393	0.19	0.2	-0.293	-2.037	0.427	-2.74	-2.785	0.414	-0.371	-0.507	-0.721
"YPL090C"	0.657	-3.9615	-3.256	-2.7785	-2.4215	-2.203	-4.364	-6.197	-1.263	-1.463	-3.398	-3.223	-3.3795	-3.2385	-0.141	-5.307	-2.833	-2.954	-3.292	-3.309	-4.719	-0.203	-0.193	-1.418	-2.805	-2.023	-1.131	-1.985	-1.805	-2.16	-2.127	0.784	0.441	0.175	-0.084	-1.911	-0.396	-3.165	-2.658	0.205	-0.452	0.43	-0.174
"YPL142C"	0.366	-3.1395	-2.973	-2.7515	-2.2525	-1.891	-3.5865	-5.604	-1.525	-2.088	-2.825	-3.3035	-2.8235	-2.16	0.019	-4.155	-2.303	-2.376	-2.148	-2.632	-2.979	0.064	0.008	-0.63	-1.852	-1.366	-0.847	-1.839	-2.009	-1.7865	-1.836	0.745	0.525	0.136	0.108	-3.138	0.297	-2.696	-3.35	0.123	-0.728	1.092	0.125
"YPL143W"	0.549	-4.4445	-3.3605	-3.232	-3.2955	-2.7845	-3.35	-5.0395	-1.482	-2.2805	-3.0685	-3.1305	-2.7815	-2.7985	0.0	-4.372	-2.155	-2.195	-1.391	-1.972	-2.941	-0.229	-0.087	-1.053	-1.826	-1.186	-1.473	-1.99	-2.186	-2.0015	-1.324	0.825	0.545	0.288	-0.115	-2.197	0.889	-1.996	-2.952	0.719	-0.066	0.669	0.001
"YPR023C"	0.057	1.1175	1.9785	1.9495	1.7455	1.4555	1.615	-0.7275	-0.2815	0.3435	0.8005	0.5575	0.711	1.0075	0.136	1.439	1.065	1.404	2.027	2.346	1.562	0.568	0.385	0.503	0.655	0.746	0.116	0.421	0.468	0.7425	0.612	-0.041	-0.109	-0.65	-0.435	0.515	-0.408	0.375	1.135	-0.24	-0.082	-0.51	-1.051
"YPR044C"	0.211	-3.163	-2.92933333333333	-2.74733333333333	-2.52066666666667	-2.388	-2.87	-4.76433333333333	-1.36566666666667	-1.62633333333333	-3.21966666666667	-2.78233333333333	-2.80733333333333	-2.81333333333333	-0.3495	-3.0915	-2.14	-2.1115	-1.2955	-1.702	-1.9615	-0.108	-0.102	-0.607	-1.535	-1.1145	-0.976	-1.5965	-1.486	-1.79966666666667	-1.805	0.82	0.708	-0.305	-0.424	-3.336	0.652	-1.954	-2.877	0.036	-0.126	0.322	-0.6
"YPR102C"	0.667	-3.521	-3.2315	-3.2945	-3.3515	-2.6455	-4.045	-6.451	-1.274	-1.4375	-3.5055	-4.118	-3.673	-3.277	-0.051	-4.644	-2.723	-3.232	-3.352	-3.749	-4.692	-0.234	-0.473	-0.955	-2.388	-1.826	-1.25	-2.23	-2.126	-2.162	-2.243	0.768	0.812	0.285	-0.16	-2.905	0.584	-2.344	-3.247	0.381	-0.296	-0.034	-0.354
"YPR119W"	-0.544	-2.692	-2.3105	-1.0915	-1.6945	-1.976	-4.6155	-4.3695	-0.8855	-2.2045	-1.235	-0.8395	-2.3625	-2.5025	-0.076	-2.424	-2.207	-4.062	-3.433	-3.885	-3.308	-0.559	0.293	-1.751	-2.144	-1.781	-0.991	-0.974	-0.956	-0.3225	-3.195	0.377	0.018	-0.481	-0.501	-0.245	-0.392	-3.005	-1.893	-0.686	-1.133	-0.289	-0.412
