	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"811.DES459 (mec1) + heat 20 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"963.1 mM Menadione (120 min)redo"	"971.1mM Menadione (40 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1103.alpha factor release sample028"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7536.25C -- 30 min"	"8233.dtt 120 min"	"8282.Gal induced MCM1 vs. Glucose"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12744.heat shock 17 to 37, 20 minutes"	"21628..24 mM H2O2- 105 minutes"	"21631..24 mM H2O2- 190 minutes"	"21659..24 mM H2O2- 077 minutes"	"33779.delYPL230w_stationary_phase_5hours"	"40952.H2O2_II_56_min"
"YDR203W"	1.177	1.009	0.39	0.816	1.02	1.273	-0.595	-0.66	1.74	0.857	2.299	0.521	0.683	0.806	-0.44	0.822	1.285	1.417	0.732	0.641	0.586	0.683	0.605	0.931	0.263	0.964	-0.286	-0.336	0.075	-0.586	0.25	-0.312	0.262	0.101	1.755	-0.569	0.338	-0.1825	1.4515	0.7325
"YDR350C"	0.738	0.642	0.396	0.963	1.101	0.914	-0.245	-0.194	0.995	1.018	1.218	1.226	1.336	1.517	-0.632	0.487	0.973	1.19	0.088	0.335	0.331	0.388	0.124	1.952	1.112	1.603	-0.131	-0.188	-0.137	-0.169	0.454	-0.111	-0.186	0.179	1.049	0.387	-0.11	0.915	1.411	1.136
"YDR413C"	-2.496	-2.392	-1.602	-1.803	-2.779	-2.502	1.14	1.079	-1.733	-1.172	-2.622	-2.121	-1.802	-1.42	-2.057	-1.357	-1.399	-1.215	-0.523	-0.468	-0.585	-0.551	-0.869	-2.337	-1.725	-1.594	0.543	0.208	-0.231	1.008	-0.698	0.703	0.039	-0.236	-2.652	-0.944	-0.564	-0.768	-2.336	-2.112
"YDR526C"	-1.556	-1.038	-0.695	-0.941	-1.065	-1.093	0.708	0.276	-0.621	-0.264	-1.863	-0.752	-0.428	-0.471	-2.413	0.241	-1.064	-0.725	0.457	-0.167	0.191	-0.061	-0.455	-1.005	-0.86	-0.776	0.267	0.22	-0.005	0.001	-0.662	0.36	0.011	0.193	-1.265	-0.774	-0.395	-0.605	-0.92	-0.073
"YEL054C"	-2.122	-2.095	-1.518	-2.314	-1.907	-3.528	1.093	1.203	-2.603	-1.431	-3.654	-2.711	-2.761	-2.98	-7.056	-2.484	-3.039	-3.52	-0.37	-0.606	-0.57	-0.425	-0.807	-3.347	-2.336	-2.579	0.582	0.091	0.346	1.242	-1.16	0.156	0.269	-0.158	-3.251	-0.5215	0.312	-2.2965	-3.815	-1.5205
"YER102W"	-1.613	-2.227	-1.599	-1.876	-2.922	-3.415	1.351	1.084	-2.845	-0.401	-3.932	-3.965	-3.177	-3.64	-6.434	-2.571	-3.101	-3.625	0.191	-0.011	-0.156	0.023	-0.685	-4.286	-2.008	-2.593	0.638	0.299	0.334	1.003	-0.711	0.415	0.222	-0.128	-2.712	-0.907	0.326	-2.373	-2.385	-1.374
"YFR031BC"	-1.637	-2.494	-1.317	-2.027	-3.278	-3.975	1.232	1.306	-2.877	0.975	-4.567	-3.823	-3.84	-4.702	-7.029	-2.484	-3.328	-3.949	-1.104	-0.953	-1.525	-0.931	-1.188	-4.74	-2.253	-2.912	-0.03	-0.05	0.492	0.823	-0.779	NaN	0.364	-0.142	-3.021	-0.761	0.007	-2.905	NaN	NaN
"YGL031C"	-1.911	-2.424	-1.829	-1.886	-3.443	-3.97	1.133	1.047	-3.232	-1.333	-3.366	-4.285	-3.732	-3.683	-5.763	-2.209	-3.041	-2.881	0.02	-0.035	-0.456	-0.153	-0.655	-5.191	-2.42	-2.899	0.321	0.114	0.194	0.717	-1.034	1.098	0.35	0.393	-3.282	-0.838	0.295	-2.166	-2.773	-1.852
"YGL102C"	-1.212	-1.538	-1.406	-1.384	-2.074	-2.584	1.138	1.09	-2.115	-1.085	-3.419	-2.825	-2.081	-2.658	-5.65	-1.718	-3.301	-3.227	-0.471	-0.64	-0.77	-0.517	-0.696	-3.32	-1.921	-2.144	0.229	0.231	0.021	0.511	-0.774	0.511	0.107	0.391	-2.437	-0.904	-0.077	-2.343	-3.272	-1.344
"YGL147C"	-2.372	-3.006	-1.899	-2.704	-4.102	-4.319	1.427	1.186	-2.743	-0.941	-3.892	-3.111	-3.32	-3.921	-7.507	-2.882	-3.0	-3.753	0.148	0.365	-0.069	0.008	-0.672	-4.384	-2.459	-3.388	0.336	0.326	0.431	0.815	-1.177	0.661	-0.008	0.076	-3.829	-1.206	-0.121	-2.569	-3.1585	-3.253
