	"497.Heat Shock 000 minutes"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"4872.1M sorbitol - 60 min"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8197.steady state 25 dec C"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"15638.Ca+FK 60min (2)"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"34350.wt_hypo_osmotic_shock_30min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34365.batch 02X25 6"	"34368.batch 02X25 7"
"YIL078W"	0.897	-0.876	-2.907	-2.075	-2.498	-5.192	-6.059	-2.282	-2.288	-2.5	-2.462	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	-0.751	0.141	0.529	0.175	-0.529	-0.809	-1.737	-1.78	-0.715	-1.447	-1.466	0.213	-2.348	0.305	0.336	-0.122	-1.36	-2.548	0.012	0.145	-1.874	-1.442
"YJR123W"	1.3	-1.147	-3.844	-3.276	-2.46	-4.381	-9.147	-3.809	-3.529	-3.442	-3.646	-4.282	-2.391	-2.635	-2.639	-3.543	-4.006	-1.305	0.56	0.6315	0.153	-0.962	-1.517	-2.264	-1.907	-1.58	-2.373	-2.137	0.329	-2.153	0.266	0.161	-0.431	-2.761	-4.025	0.36	0.591	-3.755	-2.787
"YKL180W"	1.141	-0.685	-2.661	-2.738	-1.633	-2.561	-5.237	-2.625	-3.204	-2.593	-2.296	-4.629	-2.351	-2.354	-2.059	-2.04	-2.857	-0.868	0.469	0.589	0.599	-1.123	-1.234	-2.003	-1.241	-0.999	-1.883	-1.742	0.611	-2.393	-0.131	-0.174	-0.25	-2.213	-2.962	0.267	0.41	-4.065	-2.998
"YLL045C"	1.394	-1.547	-3.851	-3.176	-1.64	-3.857	-6.618	-3.169	-3.335	-3.185	-2.744	-3.66	-2.604	-2.495	-2.943	-3.021	-3.731	-0.956	0.223	0.399	0.338	-1.297	-1.212	-2.243	-1.5	-0.871	-1.924	-1.585	0.549	-2.165	0.158	0.219	0.131	-2.875	-3.87	0.356	0.515	-2.778	-2.191
"YLR060W"	0.836	-0.984	-3.165	-2.617	-2.499	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	-0.685	-0.212	0.462	0.268	-0.446	-0.832	-1.345	-0.976	-0.7	-1.106	-0.9	0.331	-2.464	-0.058	-0.301	-0.066	-1.403	-2.996	-0.144	0.037	-2.55	-2.175
"YLR185W"	1.047	-1.103	-4.508	-3.498	-2.201	-2.578	-5.928	-2.94	-2.559	-2.616	-2.445	-4.019	-2.136	-2.209	-2.015	-2.479	-3.065	-0.631	-0.006	0.576	0.342	-1.03	-0.748	-1.553	-1.116	-0.814	-2.083	-1.909	0.258	-2.023	0.318	0.507	0.676	-2.345	-3.242	-0.181	0.378	-3.237	-3.05
"YLR333C"	1.149	-0.606	-3.93	-3.067	-1.851	-3.011	-5.863	-3.538	-3.334	-2.939	-2.483	-4.032	-2.092	-2.057	-1.584	-2.45	-2.848	-0.562	0.246	NaN	0.348	-0.732	-1.233	-1.8	-1.502	-0.711	-1.76	-1.922	0.389	-1.748	0.51	0.544	-1.037	-1.894	-2.843	-0.289	0.067	-3.031	-2.343
"YLR388W"	1.213	-0.766	-3.12	-2.544	-1.98	-3.596	-5.506	-3.204	-3.058	-2.742	-2.362	-4.025	-2.671	-2.555	-2.232	-2.581	-3.193	-0.646	0.202	0.611	0.412	-0.981	-0.946	-1.714	-1.218	-0.993	-1.874	-2.12	0.529	-2.034	0.131	0.25	0.267	-2.25	-3.521	-0.035	0.091	-3.334	-2.537
"YNL162W"	1.123	-1.168	-3.953	-3.395	-2.175	-2.858	-6.425	-2.86	-2.872	-2.421	-2.763	-3.999	-2.0	-2.0	-1.742	-2.487	-3.468	-1.181	-0.03	0.621	0.354	-1.284	-1.564	-2.109	-1.436	-1.282	-2.23	-1.918	0.283	-1.852	0.268	0.288	-0.114	-2.189	-3.323	-0.38	0.022	-2.553	-2.223
"YNL178W"	1.181	-1.559	-4.244	-3.755	-1.857	-4.338	-6.62	-3.239	-3.307	-3.272	-3.183	-4.97	-2.899	-2.981	-2.958	-3.483	-3.871	-0.721	0.438	0.697	0.383	-0.856	-0.953	-1.991	-1.931	-0.422	-1.803	-1.852	0.331	-2.479	0.88	0.949	-0.117	-1.999	-2.616	0.169	0.244	-3.881	-2.957
"YPL010W"	0.272	-0.619	-1.4195	-1.158	-1.5815	-3.3685	-3.598	-1.235	-1.4515	-1.946	-1.8565	-0.938	-1.349	-1.499	-2.935	-2.898	1.643	-0.625	-0.009	0.422	0.157	-0.207	-1.231	-1.392	-1.208	-1.021	-1.178	-1.438	0.2025	-1.143	0.026	0.054	0.396	0.095	-0.803	-0.007	0.185	-0.291	-0.314
"YPL037C"	0.835	-0.982	-2.6595	-2.081	-1.975	-3.9955	-5.417	-1.813	-1.4435	-2.148	-1.96	-2.203	-1.561	-1.872	-2.115	-3.222	-3.654	-0.333	-0.106	0.387	0.18	-0.326	-0.983	-1.391	-1.373	-0.522	-1.135	-1.78	0.3735	-1.648	0.499	0.4	-0.019	-1.219	-1.831	-0.054	0.118	-1.412	-1.687
"YPL079W"	0.688	-1.356	-4.616	-4.1965	-2.3565	-3.892	-6.4765	-3.085	-3.172	-3.0255	-3.112	-4.735	-2.741	-3.087	-3.015	-3.498	-4.547	-1.381	0.031	0.431	0.053	-1.109	-2.117	-2.574	-1.965	-1.758	-2.209	-2.429	0.3395	-1.673	0.284	0.34	0.068	-2.74	-3.431	-0.011	0.042	-2.489	-2.116
"YPL198W"	1.284	-0.965	-4.269	-3.194	-2.218	-4.3605	-6.879	-3.4825	-3.3185	-3.022	-2.766	-3.875	-2.227	-2.449	-2.487	NaN	-3.133	-0.849	-0.237	0.375	0.173	-1.119	-1.095	-2.043	-1.497	-1.242	-1.951	-2.099	0.361	-1.633	0.352	0.283	0.219	-3.0615	-4.5575	0.4195	0.4225	-3.028	-2.2705
"YPL227C"	0.594	0.823	-2.422	-3.0985	-2.495	-4.7425	-5.218	-1.9845	-2.778	-2.437	-2.036	-2.537	-1.842	-2.429	-2.071	-2.143	-1.501	-0.417	0.006	0.433	0.197	-0.688	-0.844	-0.992	-1.092	-0.725	-0.934	-0.652	0.1965	-1.654	0.139	0.068	0.028	-1.535	-2.313	-0.126	-0.32	-1.118	-1.415
"YPL245W"	0.623	-0.297	-2.523	-2.6785	-2.759	-3.98	-3.717	-1.167	-1.9545	-1.596	-3.1895	-0.908	-1.32	-1.548	-0.959	-2.016	-1.767	-0.671	-0.197	-0.109	-0.42	-0.881	-0.847	-1.198	-1.308	-0.636	-1.179	-1.372	-0.0275	-1.34	0.141	0.271	-0.025	-0.805	-1.6765	-0.2675	-0.23	-0.571	-0.783
"YPR102C"	1.367	-0.995	-3.521	-3.2315	-2.7315	-4.045	-6.451	-3.5055	-4.118	-3.673	-3.277	-4.644	-2.723	-3.232	-3.352	-3.749	-4.692	-0.955	0.219	0.813	0.337	-0.822	-1.647	-2.388	-1.826	-1.25	-2.23	-2.126	0.671	-2.384	0.446	0.519	0.071	-2.344	-3.517	0.043	-0.003	-3.663	-2.864
"YPR118W"	1.07	-0.574	-2.848	-3.0	-2.706	-3.9965	-5.524	-2.525	-2.5375	-2.305	-2.577	-1.735	-2.594	-2.077	-2.882	-3.334	-3.538	-1.174	0.036	0.66	0.173	-1.092	-1.345	-1.782	-1.233	-1.305	-1.917	-1.787	0.33	-1.794	0.023	-0.046	-0.215	-1.123	-2.086	0.086	0.188	-0.932	-0.618
"YPR163C"	1.032	-1.532	-3.6815	-2.265	-1.8375	-2.9485	-5.4905	-2.5635	-2.469	-2.6395	-2.0525	-3.136	-2.05	-2.325	-2.642	-2.895	-2.82	-1.158	-0.06	0.628	0.385	-1.13	-1.315	-2.045	-1.884	-0.687	-1.688	-1.806	0.4825	-2.145	-0.247	-0.331	-0.347	-1.955	-2.873	-0.2	-0.146	-1.861	-1.509
