	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"297.Kb vs. Ctrl"	"298.Tunicamycin vs. Ctrl"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"599.37 deg growth"	"684.YP fructose vs reference pool"	"685.YP sucrose vs reference pool"	"686.YP ethanol vs reference pool"	"799.Heat Shock 005 minutes"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1172.pho80 mutant vs wild type"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7549.33C no sorbitol 5 min"	"7985.cdc47-1 ts grown at 34C versus 37C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"8234.dtt 240 min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"8286.mcm1-1 +pRS-MCM7 vs. wild type + pRS-MCM7"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12744.heat shock 17 to 37, 20 minutes"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"16338.DES460 vs. DES460 YPD log phase control"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34365.batch 02X25 6"	"37279.CC SP 1A  Sulfate-Phosphate Chemostat Comparison"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"37281.CC SP 3A  Sulfate-Phosphate Chemostat Comparison"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YER150W"	2.798	5.585	4.101	3.259	-0.644	0.572	4.447	4.749	4.983	-0.474	-1.204	-0.98	1.091	0.539	3.186	1.498	2.704	1.594	3.382	6.012	5.312	5.241	4.681	5.023	4.88	4.953	4.743	4.495	4.382	5.006	4.196	4.129	5.159	1.877	-0.07	3.847	3.832	1.763	2.807	1.862	1.02	-1.0	-1.532	-0.242	1.854	0.09	-0.944	0.3455	6.349	-0.1995	0.0425	0.075	4.957	7.981	7.796	6.325	6.994	6.618	5.594	4.621	4.459	5.656	1.065	0.156	1.081	-0.707	-0.633	-0.792	3.673	4.15	3.586
"YGR008C"	3.769	3.569	3.526	2.106	0.686	2.586	3.322	3.458	3.861	1.688	-0.823	-0.873	1.131	-0.365	2.929	2.632	2.762	2.054	3.108	3.053	2.638	2.899	2.712	2.633	2.238	3.62	3.51	2.45	3.055	2.838	2.526	2.956	3.458	0.97	3.872	2.943	2.5	0.983	2.673	1.423	1.23	-1.326	-1.738	-0.675	1.497	1.523	0.854	-0.005	3.879	0.722	-0.2	0.132	3.801	5.3	5.554	3.966	5.566	4.887	3.59	2.98	4.242	4.035	1.56	1.644	1.428	-0.867	-1.0	-1.113	4.148	2.895	3.801
"YGR043C"	3.734	5.04	5.049	4.045	0.016	0.356	2.61	5.232	4.833	2.233	-1.778	-2.476	2.559	-1.189	3.406	2.325	3.252	2.661	3.773	5.679	4.9	5.707	5.692	6.003	5.571	4.673	4.765	4.955	3.827	5.014	5.207	5.063	5.593	-0.028	0.11	3.962	3.122	0.904	3.686	0.762	1.869	-2.494	-3.271	-2.986	2.619	0.554	0.162	-0.157	5.961	-0.034	0.147	0.118	4.675	5.792	5.627	4.968	6.098	5.083	4.91	5.837	2.404	3.555	0.137	-0.694	0.132	-0.511	-0.536	0.074	1.892	3.438	3.213
"YGR088W"	5.667	6.373	5.936	3.673	0.14	1.476	4.829	5.213	6.038	1.174	-1.339	-1.178	1.426	-0.186	4.755	3.305	4.299	2.375	4.414	6.03	3.589	5.131	5.593	6.165	5.734	3.901	3.493	3.678	3.823	4.878	5.242	6.064	6.265	0.373	0.056	3.937	3.389	-0.175	4.393	1.017	0.556	-1.728	-2.415	-1.791	2.235	1.241	0.136	0.192	6.94	0.026	-0.283	0.118	4.824	4.087	3.753	4.258	6.174	5.244	3.587	5.949	2.199	3.89	-0.192	0.191	-2.128	-0.413	-0.948	-0.287	1.834	2.635	3.092
"YGR248W"	5.5605	6.0655	5.962	4.6435	-0.553	1.2	5.4885	6.052	5.5355	0.247	-1.17	-1.16	1.093	-0.629	3.9495	1.995	2.772	1.547	4.584	5.321	3.744	3.592	4.192	4.402	2.991	3.979	3.461	3.003	2.767	4.094	3.926	4.358	4.952	0.947	0.584	4.372	2.897	2.127	4.0465	2.681	1.673	-1.259	-1.298	-1.211	1.281	1.261	0.924	0.082	7.005	0.257	-0.125	0.097	4.665	6.168	6.124	5.273	6.811	5.604	4.018	4.819	3.377	3.843	-0.923	0.204	1.248	-1.0	-1.645	-1.086	3.488	3.097	4.161
"YHR138C"	3.098	3.445	2.5555	1.8635	0.237	0.428	2.6055	3.239	3.2655	1.179	-0.604	-0.533	1.379	-0.914	2.421	1.476	1.935	1.311	2.371	1.82	1.858	2.84	2.388	3.006	2.612	2.388	2.4	1.92	2.565	2.435	2.254	2.655	3.218	0.345	NaN	1.329	1.35	0.922	2.202	0.447	0.19	-1.565	-1.99	-1.165	1.457	0.811	0.604	0.297	3.7435	-0.164	0.332	-0.18	3.561	3.498	3.114	3.143	2.652	2.302	2.584	2.256	2.229	2.668	1.929	1.596	1.683	-1.311	-1.008	-1.324	2.628	2.836	2.293
"YHR140W"	1.692	2.763	2.129	2.7715	-0.402	0.584	2.249	2.5795	2.139	1.331	-0.17	-0.193	0.263	-0.705	1.985	2.381	2.313	1.684	1.512	3.244	1.975	2.698	2.314	2.51	1.949	0.179	1.19	0.41	1.418	2.921	2.11	2.125	2.401	-1.238	0.171	0.863	1.033	-0.272	1.7315	-0.541	0.051	-1.29	-0.825	-0.637	0.554	-0.604	-0.738	0.174	3.218	-0.221	0.334	-0.681	2.645	3.287	2.9	2.509	3.676	2.973	1.775	2.155	1.185	2.68	-0.432	-0.57	-0.337	0.712	0.646	0.508	1.636	2.559	1.375
"YIL124W"	2.0505	2.2175	2.189	1.106	0.388	0.41	1.694	2.2555	2.264	0.493	-0.025	0.075	0.464	-0.338	1.183	1.484	1.284	1.272	1.661	3.361	1.465	2.32	2.426	1.692	1.983	0.85	1.347	0.995	0.315	2.356	2.184	1.623	1.961	-0.033	0.353	1.628	1.01	0.869	0.738	0.834	-0.82	0.474	0.053	0.187	0.755	-0.642	-0.272	-0.134	2.3215	0.157	-0.037	0.15	1.882	1.322	1.04	1.005	2.64	1.287	0.895	0.867	1.641	1.145	0.385	0.207	0.361	0.236	0.324	0.376	2.465	2.626	2.636
"YIR037W"	1.4695	1.4315	1.3675	1.108	0.639	0.708	1.249	1.6065	1.702	0.513	0.311	0.224	1.005	-0.327	1.1955	1.482	1.271	1.431	1.789	2.365	2.359	2.605	2.529	2.554	2.21	0.718	1.584	1.617	0.942	2.657	1.952	1.864	2.343	0.025	-0.025	1.184	0.924	0.866	0.763	0.718	-0.363	0.162	0.28	0.127	1.059	-0.213	-0.115	-0.35	1.691	-0.024	0.007	-0.085	1.153	2.251	2.551	1.775	2.719	2.741	2.341	2.351	1.874	1.528	0.595	0.444	0.569	0.427	0.416	0.33	2.575	2.989	2.033
"YIR038C"	2.3635	2.9845	2.406	2.5725	0.379	0.492	2.3685	2.499	2.734	0.893	-0.457	0.045	1.136	-1.085	1.809	1.693	2.127	1.826	2.489	2.688	2.939	2.784	3.094	3.422	2.764	1.247	2.004	2.091	1.659	2.776	2.776	2.764	3.481	-0.295	0.017	2.245	2.037	1.204	1.509	0.669	-0.451	-0.672	-0.742	-0.473	1.598	-0.59	0.064	-0.179	2.6325	0.081	-0.367	0.043	1.822	2.945	3.199	2.621	4.229	3.133	2.934	3.154	2.472	2.331	0.763	0.584	0.706	0.127	0.08	0.077	2.282	2.855	1.961
"YJL161W"	3.198	3.34	3.0215	1.284	0.16	1.127	2.924	2.9465	2.6305	0.612	-0.415	0.263	0.874	-1.0	2.707	3.473	3.025	1.951	2.738	4.563	3.611	3.93	3.112	3.653	3.361	2.941	2.121	2.448	1.568	3.842	2.787	3.222	3.992	0.513	0.005	2.18	2.331	1.104	1.7285	1.593	0.18	1.807	-1.3	-1.126	1.854	0.501	0.108	-0.008	3.716	0.194	-0.009	-0.511	3.191	3.856	2.853	2.924	4.871	3.407	2.38	2.76	3.507	3.2	1.388	0.856	0.999	-0.778	-0.903	-0.862	2.378	3.202	2.271
"YJR096W"	2.743	3.153	3.311	1.34	0.245	1.039	3.07	3.2195	3.4165	1.353	-0.322	-1.127	1.195	-0.197	2.6275	3.181	3.899	3.157	2.827	5.037	3.379	3.713	3.638	3.572	3.478	3.16	2.524	1.951	1.994	3.887	3.031	4.068	4.407	0.913	-0.261	3.067	1.771	1.065	2.6445	0.956	1.096	-0.481	-0.758	-0.496	1.503	0.648	0.702	-0.261	3.707	0.208	0.028	0.096	2.099	4.119	3.857	2.962	3.463	3.161	2.762	3.428	2.387	2.989	0.74	0.625	0.644	-0.763	-0.452	-0.652	2.925	4.063	3.516
"YKL065C"	1.437	1.8295	1.748	0.9805	0.223	-1.317	1.8165	2.421	2.16	0.459	0.064	0.081	0.76	-0.058	1.6065	1.666	1.574	1.338	1.602	2.829	2.06	2.136	2.103	1.702	2.264	1.684	1.777	1.371	1.006	2.29	1.709	1.632	1.968	0.42	-0.07	1.983	0.943	0.54	1.1325	0.863	0.452	-0.555	-0.694	-0.557	1.354	0.526	0.756	-0.364	2.257	-0.064	0.067	0.07	2.334	1.61	2.093	0.712	1.89	1.541	0.987	1.912	1.921	2.152	0.631	0.543	0.483	0.049	0.075	0.084	1.763	2.767	1.678
