	"49.Elutriation2:Sample2:Time0.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"513.2.5mM DTT 015 min"	"514.2.5mM DTT 030 min"	"584.17 deg growth"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1309.diauxic shift timecourse: 18.5 hr"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7761.Na 60min"	"8234.dtt 240 min"	"9838.CLN3 induction 30 minutes"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21641..24 mM H2O2- 112 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"21660..24 mM H2O2- 120 minutes"	"21661..24 mM H2O2- 049 minutes/redo"	"21662..24 mM H2O2- 230 minutes"	"21666..24 mM H2O2- 055 minutes"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"30462.Pomona/Brown Sir3xpol2-12 red"	"30463.Pomona/Brown pol2-12 red"	"30773.Pomona/Brown Sir3x red"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"
"YER067W"	2.205	4.551	5.719	5.641	2.816	4.993	5.958	6.295	-0.221	-0.375	-0.901	3.247	4.803	4.993	3.838	6.406	5.001	5.077	4.451	4.364	3.816	5.893	2.363	5.941	6.056	5.252	4.292	3.451	3.489	3.258	1.778	2.045	3.68	3.522	1.631	4.274	3.174	0.033	1.684	3.347	3.214	5.494	3.162	1.064	-0.448	3.029	6.706	4.028	3.659	1.107	3.992	4.47	1.07	3.554	0.207	4.042	0.468	0.235	0.51	0.555	1.031	1.374	0.848	-0.45	-0.051	1.927	1.705	0.793	0.808	5.257	4.359	3.463	6.041	5.036	4.169	4.367	3.569	3.118	3.149	0.548	0.038
"YGL059W"	1.131	1.805	1.788	1.445	0.522	1.102	1.542	1.208	-1.053	-0.481	-1.239	0.531	0.716	1.131	0.492	2.865	1.764	2.105	1.669	2.225	1.894	1.385	0.269	1.076	1.389	1.78	2.345	1.784	2.634	2.629	1.513	1.076	0.606	1.876	-0.054	1.265	0.442	0.698	-0.036	-0.043	0.424	2.021	1.309	0.97	-0.087	1.419	2.049	-0.258	0.777	0.683	1.046	0.325	0.252	2.112	0.283	1.923	-0.095	0.3205	0.3585	0.1995	0.289	0.2335	0.278	0.091	0.137	1.194	0.735	0.884	1.131	0.781	2.835	1.613	3.253	2.271	2.163	2.351	-0.701	1.521	1.77	-0.365	-0.809
"YGR008C"	1.994	3.769	3.569	3.526	2.289	3.322	3.458	3.861	-0.402	-0.106	-0.113	2.929	2.632	2.762	2.054	3.053	2.638	2.899	2.712	2.633	2.238	3.62	1.177	3.51	2.45	2.669	2.838	2.526	2.956	3.458	2.619	2.046	2.815	2.943	0.759	2.541	2.673	0.244	1.868	2.115	2.452	2.252	2.708	1.497	0.199	1.966	3.879	4.048	3.764	2.318	2.984	4.271	1.51	3.604	0.142	4.323	0.778	0.6765	0.634	2.0275	0.712	2.3385	0.411	0.302	0.132	2.936	1.844	1.999	2.621	5.3	5.554	3.966	5.566	4.887	3.59	2.98	3.795	4.035	3.124	1.673	0.884
"YGR043C"	1.359	3.734	5.04	5.049	3.768	2.61	5.232	4.833	-0.585	-0.016	-0.767	3.406	2.325	3.252	2.661	5.679	4.9	5.707	5.692	6.003	5.571	4.673	1.282	4.765	4.955	1.719	5.014	5.207	5.063	5.593	5.207	6.53	2.13	3.962	1.552	4.853	3.686	0.11	1.385	1.719	1.588	3.433	5.539	2.619	-0.798	4.615	5.961	1.864	2.283	1.215	2.043	3.123	1.142	1.606	0.276	4.599	2.2535	1.3635	1.9815	2.2925	2.669	1.9875	0.093	0.498	0.118	4.163	4.187	7.966	4.62	5.792	5.627	4.968	6.098	5.083	4.91	5.837	3.37	3.555	3.447	1.688	0.147
"YGR088W"	1.768	5.667	6.373	5.936	3.332	4.829	5.213	6.038	-0.598	-0.595	-1.234	4.755	3.305	4.299	2.375	6.03	3.589	5.131	5.593	6.165	5.734	3.901	2.144	3.493	3.678	2.396	4.878	5.242	6.064	6.265	5.206	6.919	1.851	3.937	3.124	5.535	4.393	-0.85	3.093	3.602	3.816	4.425	4.802	2.235	0.334	4.381	6.94	2.695	2.079	0.565	2.267	1.892	0.171	4.799	0.477	4.574	2.851	1.396	2.682	2.442	2.339	1.424	0.342	0.457	0.118	2.244	4.377	4.106	2.84	4.087	3.753	4.258	6.174	5.244	3.587	5.949	3.814	3.89	3.224	2.652	1.532
"YHR171W"	0.507	2.397	2.2195	1.7555	0.9915	1.331	1.603	1.524	-0.896	-0.694	-0.83	0.442	1.081	1.074	0.827	1.739	1.485	1.89	1.318	2.008	1.617	1.516	-1.074	1.007	1.599	0.982	2.083	1.529	1.836	2.195	1.282	1.617	0.185	1.164	-0.638	0.761	0.3715	0.0	0.249	0.443	0.186	2.424	1.032	0.719	-0.23	1.858	1.6435	1.104	1.094	0.324	1.947	1.17	-0.149	2.22	0.62	2.749	0.302	0.536	0.569	0.788	0.616	0.475	1.699	-0.105	0.204	-0.686	-0.385	-0.589	-0.532	-0.397	-0.086	-0.114	0.367	-0.501	0.204	0.542	0.592	0.797	1.3	0.1	-0.005
"YJR008W"	1.479	4.05	3.38	2.6695	0.7225	2.33	2.81	2.208	0.228	-0.214	-0.307	-0.0895	2.289	2.899	2.473	2.34	2.316	3.929	3.529	4.368	3.419	3.745	0.365	3.536	2.826	0.786	3.467	3.586	3.187	3.699	4.553	5.21	1.313	1.931	1.34	1.838	1.377	0.028	0.772	1.224	1.331	2.807	1.765	1.014	-1.223	2.805	2.806	1.886	1.386	0.703	2.499	2.21	-0.037	2.661	0.05	1.429	1.209	0.994	1.408	1.394	1.148	0.982	0.536	0.345	0.166	1.112	1.405	1.507	1.0	3.648	3.265	2.533	3.072	3.435	2.523	3.297	2.472	2.944	2.817	0.574	-0.426
"YJR096W"	1.135	2.743	3.153	3.311	2.992	3.07	3.2195	3.4165	-0.658	-0.585	-1.0	2.6275	3.181	3.899	3.157	5.037	3.379	3.713	3.638	3.572	3.478	3.16	1.085	2.524	1.951	2.354	3.887	3.031	4.068	4.407	2.657	2.925	2.48	3.067	0.507	1.841	2.6445	0.102	1.931	2.383	2.208	3.388	2.208	1.503	-0.299	2.59	3.707	2.368	3.127	0.917	2.26	2.778	1.021	2.849	-0.366	4.284	2.203	1.367	1.998	2.341	2.735	2.153	0.184	0.532	0.096	1.564	2.441	2.267	1.901	4.119	3.857	2.962	3.463	3.161	2.762	3.428	2.94	2.989	2.551	0.896	0.206
"YKL124W"	0.555	0.868	1.258	1.206	0.675	1.193	1.036	0.766	-0.65	-0.013	-0.747	0.337	0.952	1.185	0.983	1.903	1.965	2.202	2.028	2.103	2.176	1.521	-0.386	1.344	1.974	0.472	2.162	1.862	2.086	2.271	2.09	2.043	0.634	0.85	0.26	1.573	0.334	-0.009	0.477	0.612	0.212	0.978	0.955	0.894	-0.067	1.337	0.796	-0.066	0.492	0.158	0.889	0.441	-0.272	2.618	0.166	0.09	0.819	0.516	0.223	0.76	0.369	0.452	-0.14	-0.017	0.137	0.061	0.693	0.689	0.496	0.855	0.485	0.673	1.068	-1.708	0.786	0.131	0.221	1.15	0.81	-0.06	-0.068
"YKL168C"	0.665	0.731	2.35	1.08	0.221	1.07	1.918	1.282	-0.422	-1.072	-1.148	0.69	0.646	0.835	0.04	2.13	1.275	1.248	1.642	2.55	1.796	1.164	-0.229	1.158	1.094	1.236	0.94	0.91	1.36	1.759	0.828	0.577	0.869	0.922	-0.395	0.832	0.469	0.053	0.364	0.627	0.136	1.164	0.604	0.211	-0.006	1.433	1.488	0.592	0.802	0.256	1.442	0.562	-0.256	0.795	0.154	0.364	0.32	-0.325	-0.006	0.458	0.057	0.256	-0.137	-0.062	0.226	0.593	-0.185	0.178	0.559	1.999	1.709	0.979	2.172	1.37	0.708	1.072	1.137	1.003	0.867	0.197	-0.121
"YLR258W"	1.369	4.492	4.617	4.273	2.589	3.655	4.262	4.866	-0.497	-0.021	-2.035	2.89	2.688	3.62	2.056	4.602	3.602	4.226	3.358	2.68	3.089	3.115	1.456	2.686	2.614	2.801	5.214	4.198	3.429	3.18	2.454	2.872	2.481	3.533	0.974	2.986	2.296	-0.173	0.986	1.171	1.209	3.093	2.207	1.204	-0.425	1.921	4.686	3.208	1.714	-0.184	1.511	3.216	0.391	2.681	0.214	2.707	0.32	0.418	0.381	0.215	0.165	-0.368	0.212	0.014	0.129	0.886	0.636	1.115	0.617	3.968	3.416	2.076	5.121	3.888	3.318	2.343	2.693	3.295	2.639	1.5	-0.018
"YML068W"	-0.044	0.353	0.804	0.104	0.016	0.351	0.731	0.276	-1.222	-2.07	-0.352	0.431	0.788	0.759	0.239	1.09	0.955	1.417	1.223	1.532	1.646	0.764	-0.65	0.398	0.829	0.501	1.049	0.878	0.656	1.074	0.68	1.165	0.129	0.768	-0.299	0.2	0.816	0.168	0.466	0.867	0.841	0.248	0.208	0.37	-0.705	0.668	0.351	0.26	0.278	0.223	0.714	-0.018	0.099	0.433	0.294	0.824	0.004	0.057	0.202	0.068	0.186	-0.158	0.006	0.032	0.123	-0.486	-1.104	-0.659	-0.318	-0.064	0.211	-0.767	0.338	0.243	-0.486	0.323	0.811	1.106	0.952	-0.069	-0.339
"YMR090W"	1.286	2.465	3.078	2.946	2.551	3.018	3.436	3.281	-0.165	0.388	0.192	2.422	2.706	2.689	2.765	4.168	3.054	3.581	3.593	4.013	4.32	2.465	0.549	2.556	2.982	4.963	4.083	3.384	3.555	4.32	3.506	3.008	1.64	2.57	1.257	3.705	1.713	0.154	2.241	2.355	2.373	2.386	4.225	1.734	0.657	2.826	3.497	5.497	5.172	2.892	3.412	5.26	2.87	4.093	0.642	5.116	1.632	1.075	1.922	1.984	1.958	1.963	-0.014	0.273	0.11	2.239	2.98	2.726	3.135	3.749	3.663	3.666	3.446	3.111	2.718	3.037	4.86	4.568	4.047	2.0	0.837
"YMR139W"	1.146	1.536	1.925	1.824	1.164	1.541	2.023	1.993	-0.169	0.226	-0.405	1.035	1.507	1.55	1.183	3.263	2.401	2.436	2.325	2.162	1.223	2.222	-0.263	2.003	1.496	1.337	2.543	1.587	1.225	1.679	1.299	1.243	0.453	1.562	0.119	1.56	0.951	0.148	0.764	0.925	0.764	1.477	1.436	0.749	0.172	1.198	1.885	0.809	0.434	0.377	0.84	0.852	0.336	0.126	0.011	1.443	1.262	0.132	-0.189	0.695	0.356	-0.032	0.108	0.162	0.17	-0.242	0.006	0.231	0.153	2.121	2.043	0.851	2.001	1.737	1.455	1.156	1.47	1.872	1.565	0.049	-0.09
"YMR250W"	2.075	5.161	6.007	5.491	4.027	5.246	5.448	5.563	-0.89	-0.361	-1.437	3.891	3.439	3.5	2.661	4.705	4.159	3.979	4.174	4.516	NaN	2.816	1.784	2.923	2.601	4.477	5.655	5.109	4.892	4.741	4.634	4.682	2.279	3.373	1.259	3.727	3.856	-0.399	1.368	1.664	2.509	3.101	3.663	1.807	-0.241	4.413	5.984	4.152	3.331	1.328	2.91	3.531	0.698	3.632	2.028	4.48	1.536	1.123	1.404	1.66	1.507	0.587	0.35	0.5475	0.2185	2.871	2.551	2.957	2.864	5.331	5.018	3.436	5.68	4.944	4.024	3.524	5.579	6.752	4.731	2.523	0.49
"YOL053C"	1.092	5.372	5.885	5.308	4.9935	5.3505	5.206	5.407	-1.0505	-0.0475	0.262	3.255	2.946	2.67	2.8975	4.002	3.321	3.25833333333333	4.15733333333333	4.29266666666667	3.22366666666667	3.184	1.582	4.233	3.30166666666667	3.1045	3.9015	3.6715	3.731	3.896	4.5965	5.0025	1.881	2.615	1.7705	3.872	3.9015	-0.5625	1.974	2.136	2.5685	3.7735	4.1155	2.41866666666667	-1.1535	4.049	6.449	5.251	3.722	1.7935	3.9875	5.1465	1.277	4.1845	0.47	6.1375	2.9925	1.825	2.9895	2.757	2.989	3.343	0.166	0.303	0.0635	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.4915	1.3015
"YOR228C"	1.106	1.345	1.372	0.932	0.389	0.709	1.83	1.12	-0.868	-0.751	-0.802	0.475	0.295	1.157	0.512	3.3105	2.6875	2.42	2.232	1.9255	2.4005	1.617	-0.404	1.4945	1.547	0.874	4.0	2.58	1.844	2.244	1.683	1.828	0.511	1.12	0.094	1.096	0.333	0.001	0.691	0.538	0.761	1.268	0.625	0.6295	-0.22	1.21	1.368	1.167	0.966	0.364	1.05	0.902	-0.05	0.465	0.143	0.876	0.383	0.537	0.269	0.398	0.36	-0.098	0.218	0.535	0.154	0.745	0.61	0.863	0.421	1.566	1.587	0.561	2.326	2.13	0.722	1.012	1.417	1.777	1.639	0.135	0.285
"YOR289W"	1.282	2.96	3.218	3.068	2.317	2.572	2.935	2.676	-0.909	-0.265	0.051	2.263	2.271	3.023	3.049	4.4405	3.0065	3.8215	3.2295	4.1875	3.0405	2.535	0.1905	2.721	2.9015	2.047	2.948	2.726	3.378	3.636	2.725	2.161	1.284	2.399	0.516	1.195	1.61	-0.009	0.846	1.084	0.922	2.024	2.136	1.6655	0.214	3.277	3.401	1.916	1.483	1.189	0.84	2.116	1.146	1.955	0.192	2.306	1.012	0.777	0.937	1.016	0.752	0.503	0.336	0.168	0.1	0.812	0.53	1.25	1.305	3.785	3.484	2.364	3.745	3.176	2.549	2.774	1.982	2.557	2.123	0.914	0.557
"YPL004C"	0.992	2.638	3.048	2.525	1.992	2.254	2.241	2.589	-0.088	0.041	-0.4	1.918	2.31	1.896	1.098	2.962	1.8025	2.449	2.109	1.6325	1.689	2.034	0.4685	1.4925	1.224	0.922	3.013	2.417	1.835	2.007	2.822	1.866	1.18	1.956	0.893	2.453	1.369	-0.302	0.613	0.975	0.493	1.918	2.41	0.386	0.004	1.961	2.2	1.899	1.142	-0.046	0.989	2.006	0.483	1.834	0.083	2.589	0.277	0.328	0.317	0.09	0.015	-0.767	0.054	0.147	0.157	-0.086	0.56	0.243	0.69	2.73	2.358	1.924	3.09	2.61	1.146	0.623	2.859	2.8	2.529	0.55	0.159
