	"408.heat shock 29 to 37, 20 minutes"	"684.YP fructose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2554.Hypo-osmotic shock -15 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"5358.1M sorbitol - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34356.delPPT1_hypo_osmotic_shock_60min"
"YHR047C"	-0.2145	0.1	0.13	0.152	-0.68	-1.098	-1.862	-1.732	-2.047	-3.032	-4.423	-0.188	-0.437	-0.614	0.114	-1.632	-1.63	-1.978	-3.102	-3.056	0.113	0.456	-0.23	0.071	0.038	-0.235	-1.841	-0.1	-1.7	-0.857	-0.805	0.243
"YHR123W"	0.605	0.822	-0.265	-0.208	0.46	-1.168	-1.05	-1.555	-1.135	-3.763	-4.132	-1.118	-1.492	-1.439	-2.046	-1.965	-2.024	-2.917	-2.775	-2.647	0.109	-0.305	0.254	0.274	-0.295	0.177	-1.21	-0.108	-2.221	-2.231	-1.326	0.568
"YJL002C"	-0.433	0.427	0.367	0.351	-0.573	-1.243	-1.454	-1.243	-1.658	-2.469	-4.487	-1.154	-1.141	-1.766	-0.803	-0.942	-1.17	-1.748	-2.556	-2.618	-0.085	0.173	-0.075	-0.054	-0.152	-0.541	-1.272	-0.011	-1.076	-1.344	-0.567	0.363
"YJL097W"	-0.3285	0.49	0.189	0.272	-0.492	-0.355	-0.584	-1.604	-2.089	-2.596	-4.683	-1.112	-0.608	-0.944	-1.483	-1.025	-1.409	-1.461	-2.558	-2.276	0.237	0.169	-0.165	-0.147	-0.406	-0.362	-1.401	0.553	-0.544	-0.877	-0.856	0.0495
"YJL145W"	-1.124	0.303	0.504	0.415	-1.178	-2.076	-0.742	-1.431	-2.509	-2.136	-3.628	-1.713	-1.117	-1.336	-1.747	-1.678	-1.482	-2.303	-2.334	-2.853	0.329	0.133	-0.225	-0.171	0.227	-1.0165	-1.334	0.521	-0.792	-1.582	-1.22	-0.423
"YJR007W"	-1.276	0.293	0.742	-0.487	-1.041	-2.169	-2.107	-1.68	-2.662	-3.21	-8.057	-1.588	-1.339	-1.824	-1.91	-1.848	-2.051	-2.909	-3.009	-3.616	0.511	0.14	-0.054	0.028	-0.148	-0.8075	-1.685	0.309	-2.16	-1.44	-1.636	0.255
"YKL080W"	-0.44	0.606	0.72	0.482	-0.877	-1.609	-1.941	-1.25	-1.469	-4.229	-5.94	-0.874	-0.756	-1.461	-1.699	-1.299	-1.962	-2.874	-2.944	-2.866	0.145	0.246	0.172	0.176	0.108	-0.692	-1.244	0.345	-1.463	-1.391	-1.68	0.434
"YKL122C"	-0.607	0.534	0.549	0.423	-0.81	-1.219	-1.091	-1.321	-1.025	-2.027	-4.576	-1.162	-0.85	-1.249	-1.64	-1.296	-1.282	-2.178	-2.544	-2.706	0.013	-0.067	-0.006	0.063	0.071	-0.754	-0.857	0.334	-0.911	-1.142	-0.993	0.179
"YKL212W"	-0.292	0.208	0.381	0.092	-0.537	-1.431	-0.845	-1.247	-1.079	-3.014	-4.806	-1.409	-1.065	-1.651	-1.64	-1.656	-1.598	-2.516	-2.929	-3.374	0.18	0.429	-0.068	0.176	-0.203	-0.453	-1.089	-0.224	-1.607	-1.481	-1.072	-0.265
"YKR082W"	-0.348	0.061	0.217	0.305	-0.522	-0.889	-0.731	-0.67	-1.122	-2.473	-2.648	-0.702	-0.565	-0.832	-1.633	-0.885	-1.249	-1.45	-1.895	-2.598	0.22	0.02	-0.053	-0.336	-0.363	-0.17	-0.573	-0.145	-1.24	-0.893	-0.412	-0.156
"YLR101C"	-0.385	0.373	0.097	0.42	-0.224	-0.755	-0.823	-1.233	-1.344	-2.239	-3.161	-0.868	-0.075	-0.811	-1.629	-1.073	-1.203	-1.911	-2.069	-2.518	0.041	-0.04	0.068	-0.178	-0.17	-0.325	-1.499	0.186	-1.166	-0.663	-1.074	-0.035
"YLR153C"	-0.229	0.261	0.1	0.01	-0.814	-1.873	-0.454	-0.867	-1.497	-4.481	-5.598	-1.207	-1.394	-0.269	-0.671	-1.29	-2.312	-3.578	-3.672	-3.394	0.318	0.152	-0.102	0.084	0.007	-0.493	-0.699	0.052	-1.149	-1.016	0.837	0.226
"YLR208W"	-0.401	0.308	0.588	0.711	-0.463	-0.669	-0.814	-1.266	NaN	-1.968	-4.432	-1.163	-0.959	-1.568	-2.018	-1.454	-1.248	-1.898	-2.183	-2.499	0.257	-0.029	-0.252	-0.148	-0.107	-0.44	-1.044	0.141	-0.841	-1.02	-0.821	-0.108
"YLR291C"	-0.839	0.037	0.624	0.702	-0.802	-1.858	-1.83	-1.482	-1.792	-3.037	-4.762	-1.324	-1.096	-1.104	-2.027	-1.186	-1.283	-1.783	-2.216	-2.363	0.074	0.062	-0.181	-0.116	0.006	-0.463	-1.532	0.041	-1.747	-1.191	-1.555	-0.046
"YLR293C"	-0.839	0.601	0.877	1.013	-1.218	-3.594	-2.565	-2.207	-2.675	-3.488	-6.281	-2.107	-1.751	-2.233	-2.661	-1.45	-2.158	-2.379	-3.03	-3.186	0.276	0.315	0.078	-0.083	0.527	-0.733	-2.235	0.557	-2.525	-2.422	-1.899	0.512
"YLR328W"	-0.41	0.322	0.194	0.248	0.012	-1.458	-1.902	-1.272	-2.078	-1.935	-4.106	0.105	-0.258	-0.537	-0.369	-1.037	0.634	-1.734	-2.256	-2.558	0.122	-0.105	0.12	0.247	0.067	-0.169	-1.355	-0.177	-1.482	-2.042	-1.28	0.088
"YML074C"	-0.677	0.133	-0.024	-0.136	-1.095	-2.476	-1.538	-0.951	-2.161	-2.837	-5.319	-1.258	-1.23	-1.664	-0.962	-1.207	-1.673	-2.826	-3.214	-3.466	0.244	0.335	-0.02	0.128	-0.277	-0.69	-1.767	0.225	-1.494	-1.274	-1.659	0.219
"YMR208W"	-0.056	-0.09	0.058	0.359	-0.62	-1.479	-0.871	-0.82	-1.063	-2.542	-3.618	-0.766	-0.389	-0.674	-1.088	-0.931	-1.136	-1.98	-2.454	-2.354	-0.139	-0.068	-0.022	-0.153	-0.305	-0.276	-0.6815	0.236	-1.148	-1.026	-1.051	0.136
"YMR235C"	-0.903	0.603	0.731	0.601	-0.555	-1.54	-1.493	-1.783	-1.785	-3.534	-5.187	-1.622	-1.883	-1.879	-2.052	-2.046	-2.046	-2.838	-3.21	-3.756	0.161	0.165	0.196	0.451	0.325	-1.014	-1.782	0.315	-1.514	-1.573	-1.264	-0.076
"YNL079C"	0.149	0.302	0.258	-0.036	-0.559	0.929	-0.574	-0.891	-1.362	-2.802	-4.703	0.338	-0.148	-1.01	-0.652	-0.764	-0.464	-1.383	-2.486	-3.23	0.134	0.023	-0.054	-0.101	-0.022	-0.281	-1.2105	0.336	0.248	0.193	-0.044	0.106
"YNL154C"	0.018	0.145	0.281	0.349	-0.484	-0.952	-1.147	-1.0	-1.128	-1.871	-3.909	-0.647	-0.405	-1.037	-0.547	-0.946	-1.374	-1.346	-2.5	-2.113	-0.022	0.102	-0.208	-0.092	-0.073	-0.129	-1.3335	0.098	-0.9	-0.623	-0.899	-0.005
"YNL189W"	-0.381	0.295	0.315	0.291	-0.53	-0.717	-0.902	-1.084	-1.349	-2.367	-4.06	-0.86	-0.875	-1.183	-1.19	-1.33	-1.294	-2.058	-2.641	-3.084	0.254	0.097	-0.273	-0.263	0.114	-0.413	-1.6445	-0.057	-0.016	-0.868	-0.664	0.012
"YNR043W"	-0.956	0.105	0.308	0.7105	-0.812	-3.5005	-1.574	-1.86	-2.628	-2.934	-5.1565	-2.5105	-1.9175	-1.949	-1.8335	-2.078	-2.382	-2.655	-3.803	-3.856	0.634	0.55	-0.264	-0.532	-0.371	-1.007	-1.878	0.565	-1.955	-1.673	-1.696	0.298
"YOR198C"	-0.236	0.459	0.516	0.2155	0.191	-1.0295	-1.3675	-1.6725	-1.933	-4.452	-5.562	-0.8245	-1.185	-1.262	-0.9675	-2.3	-2.828	-4.384	-4.657	-4.415	0.433	0.329	0.253	0.15	-0.098	-0.817	-2.297	-0.061	-2.131	-1.557	-2.015	0.078
"YOR239W"	-0.692	-0.115	-0.073	0.2635	-0.421	-1.208	-1.1765	-1.31	-2.145	-3.232	-5.0985	-0.9345	-1.0745	-1.633	-1.8425	-2.053	-2.15	-3.149	-3.934	-3.704	0.276	0.23	-0.205	0.159	0.184	-0.933	-1.366	0.1695	-0.884	-0.426	-0.439	0.279
"YOR253W"	-0.892	0.388	0.445	0.6095	-0.953	-2.29	-1.46	-1.575	-1.759	-2.7935	-5.157	-1.6705	-1.475	-1.538	-2.16	-1.139	-1.299	-1.872	-2.672	-2.633	-0.067	0.097	-0.146	-0.354	-0.223	-0.853	-0.978	0.558	-1.537	-1.738	-1.234	-0.221
"YOR323C"	-0.454	0.329	0.361	0.1355	-0.816	-2.5575	-1.757	-1.941	-2.0305	-4.2845	-6.434	-1.9425	-2.061	-2.106	-2.053	-1.557	-1.382	-2.742	-3.497	-3.428	0.283	0.269	0.153	0.162	0.031	-0.792	-1.603	0.371	-2.03	-1.64	-1.589	0.209
"YOR326W"	0.245	0.202	-0.016	-0.12	-1.069	-2.4275	-1.475	-1.329	-1.6295	-3.4635	-4.9875	-1.3825	-1.3315	-2.6115	-1.9335	-1.82	-2.099	-3.585	-3.591	-2.795	0.115	0.422	0.117	0.07	0.183	0.366	-1.467	-0.041	-1.568	-1.215	-0.751	-0.225
"YPL028W"	-0.479	0.502	0.365	0.3075	-0.632	-1.971	-0.917	-1.3315	-1.7105	-3.482	-5.5385	-1.178	-1.1795	-1.9625	-2.1645	-1.336	-1.006	-1.692	-2.17	-2.948	0.722	0.801	-0.256	0.064	0.009	-0.464	-1.486	-0.029	-0.712	-0.915	-1.324	0.323
"YPL037C"	-0.849	0.421	0.69	0.915	-0.961	-2.6595	-1.9235	-1.975	-2.12	-3.9955	-5.417	-1.813	-1.4435	-2.148	-1.96	-1.561	-1.872	-2.115	-3.222	-3.654	0.27	0.319	-0.106	-0.248	-0.218	-1.009	-1.648	0.593	-1.607	-1.831	-1.289	0.144
"YPL243W"	-0.442	-0.198	0.515	0.76	-0.704	-1.27	-1.109	-1.456	-1.5805	-4.1455	-5.276	-1.0	-1.0065	-1.315	-1.5105	-1.377	-1.873	-2.602	-3.541	-3.544	0.133	0.074	-0.062	-0.169	-0.137	-0.471	-1.188	0.237	-1.14	-1.503	-1.355	-0.291
