	"406.heat shock 37 to 37, 20 minutes"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2144.heat shock 37 to 37, 30 minutes"	"2558.1M sorbitol vs. YPD - basal"	"8233.dtt 120 min"	"12733.Nitrogen Depletion 8 h"	"12741.Nitrogen Depletion 1 h"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34347.wt_hypo_osmotic_shock_0min"	"34348.wt_hypo_osmotic_shock_7min"	"34351.wt_hypo_osmotic_shock_60min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34359.batch 02X25 3"	"34365.batch 02X25 6"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"44524.first half PM prep, array 2"
"YDR025W"	0.183	-1.44	-1.76	-2.011	-1.284	-1.745	-3.904	-3.393	-6.697	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.383	0.236	-0.766	-3.299	-2.25	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-2.535	0.301	0.346	0.459	0.624	0.196	-3.528	0.273	1.082
"YDR037W"	0.146	-1.26	-0.954	-1.716	-1.316	-0.38	-4.313	-4.551	-5.224	-1.971	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	0.216	0.106	-0.22	-1.739	-0.304	-4.284	-3.366	-2.4	-4.204	-3.541	-2.204	-3.047	0.247	0.692	0.443	0.196	0.304	-1.813	0.027	0.73
"YDR086C"	-0.607	0.279	-0.092	-0.915	-0.853	0.34	-1.062	-2.628	-2.225	-1.742	-1.124	-1.247	-1.278	-1.361	-1.972	-1.414	0.299	0.142	1.007	0.447	0.722	-1.708	-1.5745	-1.006	-1.4515	-1.309	-1.141	-1.384	0.1785	0.1175	0.1155	-0.1145	0.2975	-1.263	0.001	0.3195
"YDR245W"	-0.4565	-0.908	-0.4415	-0.66	-0.604	-0.188	0.179	-1.932	-3.6715	-1.5075	-1.4375	-1.4085	-1.39	-1.7115	-2.2845	-2.201	0.046	-0.0405	-0.3695	-0.29	-0.171	-1.844	-2.011	-1.61	-1.8525	-1.6895	-1.6385	-1.94	-0.4085	-0.0625	0.176	0.0445	0.3775	-0.701	0.1425	0.6145
"YDR262W"	0.1835	0.324	1.066	1.4435	0.46	0.535	1.7335	3.3725	2.869	2.2555	2.2405	3.0895	3.2615	4.491	4.8085	4.03	-0.00599999999999999	-0.325	0.703	1.5505	0.5795	2.14	2.6925	2.8525	1.7955	2.334	2.1775	2.708	-0.105	-0.0335	0.0115	0.294	-0.0355	2.064	0.2105	0.585
"YDR313C"	0.148	0.789	0.088	0.369	0.039	0.346	2.369	2.161	0.084	1.484	1.141	2.304	2.311	2.992	2.624	1.746	-0.08	-0.2	-0.224	1.086	0.336	2.226	1.983	2.889	2.852	2.095	1.738	3.986	0.0	0.094	0.063	0.448	-0.082	1.65	0.046	-1.148
"YDR382W"	0.52	-1.487	-2.091	-2.294	-2.044	-1.574	-2.138	-2.459	-5.686	-4.02	-2.332	-2.897	-2.877	-2.565	-3.137	-3.471	0.579	-0.085	-0.629	-3.213	-2.932	-3.02	-2.308	-2.018	-2.783	-2.473	-2.08	-2.899	0.514	0.213	0.436	0.866	0.108	-3.834	0.604	0.97
"YDR417C"	0.626	-1.605	-1.684	-2.536	-1.709	-1.833	-3.705	-4.279	-5.062	-4.223	-2.458	-2.573	-2.986	-2.861	-3.022	-3.606	0.379	-0.054	-0.545	0.189	-2.598	-3.553	-2.61	-1.768	-3.585	-3.332	-2.261	-2.404	0.341	0.306	0.451	0.671	0.286	-3.526	0.327	0.967
"YDR418W"	1.032	-0.969	-1.369	-2.651	-1.894	-1.861	-3.707	-3.074	-5.866	-4.449	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	0.677	0.077	-0.616	-3.879	-2.823	-4.005	-2.423	-1.873	-3.263	-3.057	-2.027	-3.381	0.238	0.296	0.487	0.545	0.329	-3.519	0.433	1.215
"YDR450W"	-0.025	-1.698	-2.605	-2.423	-1.837	-1.439	-3.254	-2.6	NaN	-4.313	-2.118	-2.576	-2.784	-2.988	-2.959	-3.465	0.428	0.458	-0.795	-2.815	-1.939	-3.787	-3.762	-2.344	-3.594	-3.453	-2.352	-2.575	-0.238	-0.1	0.064	0.596	0.501	-2.605	0.128	1.353
"YDR500C"	0.856	-0.752	-0.948	-1.229	-0.983	-1.042	-2.796	-2.587	-2.649	-3.376	-1.917	-1.925	-1.831	-1.422	-1.041	-2.16	0.4	0.074	-0.743	-2.783	-2.011	-2.971	-2.436	-1.455	-3.3	-2.439	-1.961	-2.211	-0.055	-0.237	0.117	0.485	-0.072	-2.681	0.43	0.24
"YEL054C"	0.478	-1.722	-2.188	-2.603	-2.173	-1.88	-3.654	-2.98	-7.056	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	0.396	0.53	-1.16	-3.541	-2.067	-4.422	-2.487	-3.239	-3.815	-2.936	-2.194	-2.75	0.858	0.407	0.331	0.71	0.46	-3.7	0.591	0.536
"YER015W"	-0.193	NaN	0.184	0.052	0.021	0.087	2.172	3.101	0.363	3.359	2.401	1.979	2.609	2.833	1.972	1.943	-0.2	NaN	-0.148	0.87	-0.239	0.8055	1.098	0.789	0.968	0.847	0.718	0.6375	0.1275	-0.4	-0.4845	0.233	-0.607	-0.781	-0.7095	-0.2135
"YER117W"	0.143	-0.825	-1.455	-2.019	-1.321	-1.428	-2.982	-2.832	-5.642	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.583	-0.028	-0.824	-2.734	-2.116	-3.319	-2.632	-2.403	-3.238	-3.345	-2.147	-2.128	-0.362	-0.402	-0.178	0.214	0.66	-2.922	0.381	0.352
"YGL076C"	0.541	-0.927	-1.19	-2.349	-1.633	-1.867	-3.969	-3.976	-5.667	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	0.069	0.45	-0.865	-2.969	-2.099	-4.003	-3.509	-2.778	-3.347	-3.315	-2.544	-2.894	0.592	0.507	0.551	0.629	-0.175	-2.783	-0.125	0.489
"YGL135W"	0.804	-0.978	-1.118	-2.804	-2.361	-2.254	-3.221	-3.418	-5.687	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	0.52	-0.254	-0.585	-3.473	-2.497	-3.443	-2.903	-2.236	-3.617	-3.009	-1.968	-2.509	-0.177	-0.184	0.16	0.263	0.192	-3.261	0.378	0.735
"YGL192W"	-0.06	-0.471	-0.585	0.151	-0.046	-0.031	2.077	3.302	2.778	2.506	1.691	1.824	2.073	3.832	4.675	3.934	0.269	-0.433	0.156	0.001	0.227	1.888	1.801	1.754	1.486	1.636	1.521	1.38	0.414	0.353	0.109	0.333	-0.5	1.524	0.062	-0.578
"YGR102C"	0.284	-0.533	-0.155	0.065	-0.081	-0.06	-0.069	2.28	0.51	0.57	0.731	1.527	1.603	2.742	3.579	3.222	-0.055	-0.162	-0.008	0.635	0.495	1.227	1.361	1.649	1.459	1.082	0.807	1.242	NaN	0.172	0.244	0.105	-0.061	1.275	-0.444	-0.784
"YGR118W"	-0.3575	-1.646	-2.006	-2.204	-1.873	-1.409	-2.621	-2.204	-5.471	-3.851	-1.903	-1.997	-2.117	-1.76	-2.214	-3.141	0.468	0.063	-0.543	-1.851	-1.246	-2.477	-2.162	-1.82	-2.13	-2.249	-1.697	-1.94	-0.176	-0.109	0.105	0.456	0.518	-2.942	-0.055	0.684
"YGR148C"	-0.094	-1.41	-1.472	-3.095	-2.716	-1.586	-3.45	-3.884	-5.757	-5.063	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	0.218	-0.008	-1.027	-3.258	-1.355	-3.53	-2.779	-2.133	-3.103	-2.693	-1.897	-2.334	0.229	0.418	0.569	0.763	0.555	-2.951	0.011	0.683
"YGR173W"	0.229	-1.611	-1.394	-1.243	-0.655	-0.955	-3.271	-2.218	-3.699	-1.546	-1.279	-1.36	-0.91	-1.919	-1.996	-2.168	0.02	0.414	-0.615	-1.53	-0.761	-2.164	-1.798	-0.735	-2.139	-1.259	-0.642	-1.525	-0.32	-0.133	0.062	0.089	0.135	-1.523	-0.503	0.678
"YHR020W"	0.476	-1.092	-1.163	-1.683	-0.828	-1.939	-4.019	-2.69	-4.045	-2.195	-1.642	-1.649	-1.837	-1.718	-2.26	-2.19	0.087	0.178	-1.172	-2.133	-1.144	-3.043	-2.822	-1.496	-3.861	-2.387	-2.242	-2.486	0.166	0.367	0.119	0.234	0.05	-1.982	-0.072	0.145
"YHR203C"	0.5205	-1.147	-1.267	-2.585	-1.621	-2.357	-3.926	-3.782	-5.944	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	0.441	0.123	-0.611	-3.65	-2.11	-4.467	-3.308	-2.46	-3.717	-3.449	-2.785	-3.424	-0.097	0.006	0.145	0.427	0.419	-4.293	0.168	1.691
"YIL018W"	-0.146	-1.108	-2.298	-2.824	-2.493	-2.153	-4.365	-3.492	-5.749	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	0.491	0.08	-0.777	-3.591	-2.548	-4.277	-3.397	-2.864	-4.06	-3.676	-2.806	-2.821	0.0	-0.277	0.139	0.1	-0.086	-3.555	0.597	0.826
"YIL052C"	-0.18	-1.829	-1.952	-2.49	-2.029	-1.371	-3.856	-2.895	-6.278	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	0.403	-0.111	-0.843	-2.937	-1.821	-3.32	-2.562	-2.217	-2.821	-2.677	-1.94	-3.315	0.721	0.135	0.24	-0.19	0.231	-3.128	0.191	1.12
"YJL100W"	-0.3245	0.069	-0.282	-0.36	0.217	0.39	2.209	1.025	0.397	1.078	0.526	0.893	0.969	-0.451	1.22	0.952	-0.234	-0.709	0.149	0.572	0.182	1.2405	0.8455	0.6825	1.778	1.344	0.3145	1.1395	0.2235	-0.0965	0.0885	-0.088	-0.1795	1.112	-0.0915	0.152
"YJL188C"	-0.4035	-1.235	-1.829	-2.075	-1.392	-0.978	-2.525	-2.786	-4.633	-3.453	-1.897	-1.885	-1.929	-2.169	-2.54	-2.776	0.404	0.006	-0.913	-1.376	-1.182	-2.879	-1.947	-2.436	-2.777	-2.447	-2.254	-2.01	0.219	0.174	0.207	0.166	0.616	-2.16	-0.012	-0.071
"YJL190C"	-0.1905	-1.46	-1.944	-2.911	-2.272	-1.982	-3.794	-3.585	-6.079	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	0.57	0.009	-1.038	-3.532	-2.806	-4.772	-3.912	-3.608	-4.874	-4.273	-3.311	-3.497	-0.227	-0.227	0.131	0.274	0.422	-3.692	0.722	0.921
"YJR043C"	-0.019	-0.395	-0.309	-0.868	-0.435	0.044	-2.211	-2.002	-2.641	-1.626	-0.981	-0.996	-1.074	-1.699	-2.504	-2.339	-0.063	0.286	-0.016	-0.142	0.776	-2.57	-2.65	-1.52	-2.68	-1.994	-1.516	-1.817	0.349	-0.051	0.329	0.247	0.32	-1.174	-0.373	0.265
"YJR123W"	0.5805	-1.771	-2.022	-2.317	-1.807	-2.227	-3.844	-4.381	-9.147	-4.282	-2.083	-2.391	-2.635	-2.639	-3.543	-4.006	0.319	-0.012	-0.837	-3.404	-1.982	-4.305	-3.113	-2.761	-3.711	-4.025	-2.566	-3.587	0.164	0.141	0.375	0.414	0.513	-3.755	0.482	1.152
"YJR145C"	0.5215	-2.316	-1.182	-2.537	-1.542	-2.239	-4.507	-3.54	-6.528	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	0.764	0.045	-0.856	-3.331	-2.084	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74	-2.94	-0.107	-0.198	-0.004	0.388	0.606	-3.905	0.347	1.606
"YKL006W"	-0.245	-1.314	-1.495	-2.018	-1.646	-1.656	-4.299	-2.835	-5.113	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	0.501	-0.138	-0.959	-3.013	-2.306	-4.432	-3.39	-2.92	-4.756	-4.221	-2.993	-3.593	0.066	-0.106	0.062	0.255	0.39	-3.514	0.659	0.921
"YKL014C"	-0.436	-1.255	-0.73	-0.8525	-0.921	-0.53	-0.782	-2.13	-2.7895	-2.185	-1.51	-1.767	-1.4065	-1.294	-2.075	-1.805	0.322	0.4635	-0.382	-2.1595	-1.257	-1.7485	-1.6725	-1.2555	-2.495	-1.7965	-1.356	-1.49	-0.8565	-0.282	-0.307	-0.323	-0.3665	-1.483	0.101	0.298
"YKL021C"	-0.0215	-1.089	-0.97	-1.129	-0.802	-0.462	-2.005	-2.503	-3.469	-2.158	-1.537	-1.655	-1.492	-2.25	-2.126	-2.619	0.08	-0.003	-0.587	-0.934	-0.427	-2.221	-1.862	-1.29	-2.274	-1.591	-1.403	-1.971	-0.648	-0.143	-0.507	-0.172	0.113	-1.016	-0.073	0.807
"YKL050C"	-0.11	-0.646	0.124	-0.49	-0.202	-0.038	1.443	3.353	0.498	0.806	2.384	4.351	4.561	2.659	2.578	1.692	-0.224	-0.386	-0.263	0.939	0.295	1.385	1.309	2.428	1.288	1.522	0.51	2.987	-0.159	-0.392	0.012	-0.006	-0.079	3.984	-0.486	0.275
"YKL093W"	-0.83	-0.704	-0.652	1.15	1.233	0.501	5.448	4.369	0.273	4.872	3.902	2.916	2.536	2.725	3.515	2.14	-0.181	-0.697	0.06	1.924	0.898	4.428	4.865	2.992	4.992	4.664	3.337	3.528	0.155	-0.141	-0.257	0.037	-0.175	3.144	0.245	0.843
"YKL107W"	-0.402	0.226	-0.143	-0.15	-0.3	0.325	1.977	2.551	0.927	0.377	1.672	3.239	2.313	2.83	4.046	3.889	-0.162	-0.459	0.043	0.332	0.068	0.468	2.498	2.107	1.177	2.125	1.052	2.807	0.278	0.065	0.143	-0.071	-0.049	2.837	-0.192	-0.066
"YKL146W"	0.277	0.042	-0.105	0.028	0.16	0.045	1.781	1.449	0.144	2.188	1.466	1.453	1.611	2.189	2.953	1.873	-0.067	-0.235	0.275	0.317	-0.266	1.406	1.528	0.932	0.867	1.56	1.094	0.592	-0.429	-0.368	-0.046	-0.253	-0.822	0.866	-0.183	0.205
"YKR009C"	0.115	0.229	0.35	0.74	0.415	0.148	3.745	3.808	2.401	2.522	2.425	1.963	1.392	4.39	3.928	3.376	-0.134	-0.723	0.236	0.921	0.262	1.071	2.304	1.02	2.707	2.301	2.185	2.722	0.04	0.59	0.201	-0.117	0.939	2.501	0.251	-0.016
"YKR076W"	-0.864	0.0	0.766	1.172	0.553	0.639	3.875	4.215	-0.113	3.911	4.278	4.042	4.538	4.985	4.234	3.654	-0.353	0.059	0.603	2.489	1.894	3.013	2.863	1.964	4.538	3.998	2.687	3.66	0.161	1.086	0.453	-0.129	-0.461	2.512	0.183	-0.131
"YKR081C"	-0.174	-2.174	-2.112	-1.773	-1.322	-1.033	-4.081	-2.08	-4.632	-3.734	-2.064	-2.119	-2.118	-2.282	-2.696	-2.515	0.139	-0.006	-1.255	-1.95	-1.678	-3.386	-2.103	-1.623	-3.261	-2.433	-1.814	-1.48	-0.13	0.119	-0.303	-0.157	-0.463	-2.38	0.15	0.659
"YLL045C"	0.036	-1.686	-2.353	-2.573	-1.975	-1.94	-3.851	-3.857	-6.618	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.515	0.326	-0.864	-2.953	-2.279	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	-2.362	-0.009	0.364	0.388	0.521	0.486	-2.778	0.41	0.865
"YLR029C"	0.378	-0.889	-0.743	-1.826	-1.74	-1.807	-3.174	-3.615	-6.877	-3.178	-1.893	-2.201	-2.595	-2.242	-2.378	-2.987	0.365	0.1	-0.62	-2.763	-1.119	-3.518	-2.733	-2.594	-3.637	-2.766	-2.153	-2.685	0.015	0.131	0.135	0.308	0.165	-3.267	0.145	1.153
"YLR062C"	0.484	-1.742	-2.107	-2.662	-2.004	-1.641	-4.53	-5.705	-6.896	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	0.045	0.347	-0.932	-3.446	-2.11	-3.806	-3.723	-3.681	-4.54	-4.001	-2.894	-3.419	-0.273	-0.167	0.158	0.584	0.374	-3.141	0.126	0.598
"YLR076C"	0.277	-1.188	-1.909	-2.402	-1.739	-1.356	-3.332	-1.78	-4.142	-3.015	-1.22	-1.575	-1.453	-1.198	-1.871	-1.996	0.309	0.464	-0.625	-1.864	-1.267	-4.238	-2.762	-2.446	-3.867	-3.418	-2.353	-2.473	-0.081	-0.246	0.221	0.212	0.391	-3.557	0.163	0.854
"YLR083C"	0.276	-1.549	-1.0	-1.335	-1.358	-1.582	-3.703	-3.767	-5.137	-3.208	-1.494	-2.031	-2.545	-2.29	-3.88	-3.36	0.358	-0.166	-0.585	-2.227	-1.283	-3.186	-2.942	-1.706	-3.492	-2.869	-2.182	-2.82	-0.538	-0.474	0.072	0.257	-0.189	-2.06	0.513	0.511
"YLR164W"	-0.022	0.162	-0.014	0.155	0.664	0.62	4.52	4.582	0.128	1.295	1.643	1.874	1.017	2.092	3.006	2.089	-0.242	-1.079	0.272	1.963	0.427	1.391	2.314	2.341	2.636	3.124	1.587	3.638	-0.164	-0.326	0.101	0.152	-0.299	2.465	0.396	0.425
"YLR249W"	1.207	-2.522	-2.639	-2.52	-1.853	-2.738	-6.529	-4.146	-6.742	-4.679	-2.712	-3.131	-3.778	-3.883	-4.549	-4.992	0.273	0.109	-1.146	-2.684	-2.995	-5.053	-5.102	-2.604	-5.085	-4.9	-3.269	-3.19	-0.293	0.107	-0.027	0.136	-0.089	-4.673	0.921	0.492
"YLR264W"	0.513	-1.26	-1.879	-1.987	-1.686	-1.137	-3.105	-2.597	-5.152	-3.525	-2.236	-2.241	-2.158	-1.649	-2.334	-2.391	0.533	-0.038	-0.934	-2.072	-2.318	-3.507	-2.202	-1.49	-3.145	-2.797	-2.013	-2.667	-0.293	-0.487	-0.068	0.126	0.195	-3.353	0.418	0.428
"YLR311C"	-0.716	-0.047	-0.515	0.699	0.377	0.253	3.535	3.182	3.563	2.587	1.807	2.447	3.128	3.92	3.702	3.13	-0.321	-0.277	-0.198	2.186	0.499	3.194	4.272	2.736	3.89	4.89	3.742	4.728	-0.108	-0.089	-0.141	-0.094	-0.368	1.105	-0.172	-0.123
"YLR346C"	-0.89	0.461	0.626	0.882	0.13	0.302	0.918	1.542	0.471	0.88	1.318	2.26	2.52	2.849	2.638	2.241	-0.182	NaN	0.024	1.521	0.074	1.203	2.35	1.824	0.714	3.589	1.221	1.866	NaN	-0.017	-0.263	0.103	0.159	4.441	0.617	0.147
"YLR372W"	0.512	-0.949	-1.798	-2.084	-1.827	-1.474	-4.565	-2.731	-4.512	-4.078	-2.106	-2.838	-3.773	-2.844	-3.456	-3.544	0.133	-0.251	-0.75	-2.774	-1.313	-3.386	-2.674	-2.156	-3.936	-3.603	-2.623	-3.925	-0.503	-0.508	-0.216	0.318	-0.209	-3.718	0.563	0.851
"YLR441C"	0.268	-1.187	-2.006	-2.485	-2.114	-1.741	NaN	NaN	-12.655	-5.658	-2.294	-2.747	-3.345	-3.329	-3.986	-4.389	0.415	0.185	-0.724	-3.258	-1.532	-4.558	-3.19	-2.531	-3.957	-3.819	-2.681	-2.638	0.22	0.064	0.23	0.41	0.814	-3.731	0.236	0.951
"YLR448W"	-0.478	-1.655	-2.368	-2.804	-1.88	-1.716	-4.815	-3.552	-5.971	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	0.051	0.291	-0.868	-3.647	-2.649	-4.85	-3.788	-3.07	-4.791	-4.505	-3.161	-3.636	0.476	0.416	0.314	0.513	-0.017	-3.657	0.245	0.646
"YML024W"	-0.115	-1.328	-1.376	-2.449	-1.751	-1.208	-3.616	-3.909	-4.621	-3.455	-2.442	-2.512	-2.583	-1.81	-2.221	-2.415	0.397	-0.044	-0.802	-2.88	-1.982	-3.36	-1.947	-1.537	-2.891	-2.573	-1.907	-2.067	0.22	-0.26	0.19	-0.265	0.495	-3.047	0.448	0.435
"YML026C"	-0.127	-1.633	-1.515	-2.467	-1.536	-1.499	-3.811	-4.268	-5.271	-3.572	-2.525	-2.873	-2.821	-2.898	-2.803	-2.821	0.289	-0.005	-0.902	-2.879	-1.992	-4.522	-3.396	-2.98	-4.595	-3.765	-2.94	-3.307	-0.327	-0.273	-0.09	0.238	0.584	-3.213	0.264	0.999
"YML063W"	0.601	-1.511	-1.866	-2.716	-2.087	-1.693	-4.408	-4.048	-13.273	-5.57	-2.159	-2.658	-2.875	-3.123	-3.364	-4.059	0.507	0.29	-0.682	-3.262	-1.595	-4.819	-3.531	-2.707	-4.008	-3.578	-2.829	-3.392	-0.066	-0.009	0.149	0.225	0.831	-3.41	0.232	1.335
"YML073C"	0.476	-1.441	-1.77	-2.66	-2.111	-1.668	0.912	-3.862	-6.033	-4.919	-2.471	-2.561	-2.549	-2.401	-2.624	-3.718	0.341	0.361	-0.892	-3.463	-2.576	-2.783	-3.737	-2.652	-3.765	-3.151	-2.415	-2.901	0.374	0.294	0.275	0.167	-0.043	-2.839	0.211	0.268
"YMR118C"	-0.207	-0.485	-0.174	1.188	0.769	0.248	1.566	3.37	0.688	2.625	2.637	3.669	3.896	3.917	3.997	2.908	0.036	-0.102	0.0	0.76	-0.007	1.914	3.07	3.019	1.55	3.693	1.817	3.974	-0.715	-0.656	-0.161	-0.289	0.073	3.018	-0.196	0.0
"YMR142C"	0.119	-1.713	-1.568	-2.447	-2.086	-1.601	-3.579	-0.651	-6.693	-4.4	-2.393	-2.974	-2.468	-2.774	-3.415	-4.248	0.33	0.393	-0.769	-3.112	-1.729	-4.355	-3.347	-3.104	-4.039	-3.538	-3.031	-3.042	0.059	0.156	0.155	0.295	0.432	-3.238	0.196	0.432
"YMR143W"	-0.421	-1.162	-1.184	-2.543	-2.038	-1.804	-3.748	-2.287	-4.466	-4.401	-2.562	-2.703	-2.873	-2.88	-3.111	-3.545	0.41	-0.045	-0.76	-3.549	-2.476	-4.133	-3.647	-3.943	-4.75	-3.456	-3.199	-2.887	0.173	0.03	0.307	0.403	-0.032	-3.488	0.092	0.967
