	"49.Elutriation2:Sample2:Time0.0hrs"	"106.heat shock 05 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"801.Heat Shock 030inutes"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2560.29C to 33C - 15 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"8520.DES460 + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"34350.wt_hypo_osmotic_shock_30min"	"34351.wt_hypo_osmotic_shock_60min"	"40951.H2O2_II_49_min"	"42391.CC LS 1A Leucine-Sulfate Chemostat Comparison"
"YGL135W"	-0.125	0.027	-2.285	-2.468	-3.231	-3.984	-0.702	-1.282	-1.569	-3.221	-2.455	-2.548	-2.301	-2.942	-3.418	-5.687	-2.615	-1.432	0.119	-3.217	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	-0.293	-0.198	-0.631	-0.72	-0.506	-0.566	-0.722	-2.233	-0.168	-3.406	0.718	-2.824	-1.612	-3.443	-3.617	-0.024	0.16	-1.505	-1.099
"YGL195W"	-0.8025	0.179	-0.824	-0.5445	-0.528	-0.71	-0.7445	-1.3075	-0.307	-1.338	-1.248	-0.5865	-0.955	-1.078	-1.5115	-3.33	-0.448	-0.0325	-0.2485	-1.199	-2.169	-1.356	-2.0895	-2.3115	-2.4845	-2.527	-2.439	0.1685	-0.721	-0.4155	-0.431	-0.461	-0.4265	-0.3895	-0.5745	-0.045	-0.742	-0.107	-0.5165	-0.2955	-1.0155	-1.1255	-0.034	-0.008	-3.045	0.0985
"YGR145W"	-0.839	-0.843	-5.902	-3.702	-3.7955	-3.4415	-1.8235	-2.293	-1.251	-4.245	-1.808	-1.15	-1.077	-0.983	-2.133	-4.024	-1.819	-0.654	0.423	-2.214	-3.496	-2.143	-1.897	-1.466	-2.519	-3.279	-3.084	-1.626	-0.743	-1.666	-1.592	-1.275	-1.106	-1.075	-1.336	-0.271	-4.7725	0.462	-4.182	-3.769	-2.313	-4.009	-0.189	-0.576	-3.247	0.268
"YHR170W"	-1.172	-1.1565	-4.622	-4.14	-4.723	-3.947	-1.2945	-1.526	-1.627	-4.51	-2.071	-1.573	-1.404	-2.063	-2.573	-4.858	-2.326	-0.84	-0.218	-2.759	-2.314	-1.433	-2.149	-1.819	-2.036	-2.758	-2.443	-1.321	-0.636	-1.052	-1.528	-1.479	-1.253	-1.224	-1.761	-0.306	-5.252	0.837	-3.576	-2.405	-3.186	-3.601	-0.506	-0.782	-3.22	0.555
"YHR203C"	-0.72	-0.092	-2.0645	-1.915	-2.8785	-3.5975	-0.7715	-1.3645	-1.34	-3.926	-3.148	-2.671	-2.372	-2.895	-3.782	-5.944	-2.51	-1.473	0.056	-3.917	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	-0.362	0.017	-0.319	-0.342	-0.356	-0.537	-0.391	-2.302	-0.635	-2.809	0.651	-2.942	-1.743	-4.467	-3.717	0.033	0.145	-2.535	-0.609
"YIL018W"	-0.608	-0.294	-2.4325	-2.2685	-3.509	-3.965	-0.667	-1.079	-1.189	-4.365	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-2.754	-1.014	-0.403	-3.362	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	-0.418	-0.079	-0.299	-0.4	-0.417	-0.409	-0.454	-2.495	-0.411	-3.4165	0.579	-2.641	-1.895	-4.277	-4.06	-0.116	0.139	-2.277	-0.308
"YJL177W"	-0.368	-0.36	-2.4035	-2.211	-3.2765	-3.7865	-0.9155	-1.46	-1.134	-4.132	-3.2	-2.981	-0.605	-2.747	-3.255	-5.49	-2.648	-1.502	-0.361	-3.409	-5.074	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	-0.367	0.119	-0.106	-0.229	-0.379	-0.327	-0.417	-2.348	-0.442	-3.293	0.728	-2.626	-1.553	-4.72	-4.54	0.319	0.421	-1.068	-0.47
"YJL190C"	-1.343	-0.201	-2.525	-2.8085	-3.022	-3.838	-0.8685	-1.301	-0.854	-3.794	-3.267	-2.958	-2.413	-3.287	-3.585	-6.079	-3.053	-1.801	-0.085	-3.969	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	-0.176	0.122	-0.064	-0.298	-0.671	-0.598	-0.548	-2.43	-0.484	-3.7855	0.839	-3.078	-2.014	-4.772	-4.874	-0.198	0.131	-2.517	0.298
"YKL006W"	-0.958	-0.4415	-2.75	-1.949	-3.315	-3.5445	-0.6715	-1.2065	-1.025	-4.299	-3.389	-2.854	-2.383	-3.16	-2.835	-5.113	-2.919	-1.399	0.013	-3.049	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	-0.277	-0.132	-0.071	-0.023	-0.4	-0.243	-0.324	-2.458	-0.285	-3.02	0.731	-2.654	-1.672	-4.432	-4.756	0.034	0.062	1.525	0.143
"YKL009W"	-1.545	-1.549	-3.58	-3.253	-4.1895	-4.13	-1.2135	-1.678	-1.429	-5.997	-3.38	-2.839	-2.973	-2.449	-3.082	-6.168	-3.014	-0.576	-0.234	-3.144	-4.341	-2.546	-2.432	-2.856	-2.349	-3.318	-2.938	-1.116	-1.109	-1.06	-1.029	-1.115	-0.969	-1.076	-2.269	-0.201	-4.4285	0.699	-4.247	-2.782	-2.602	-4.823	-0.758	-0.77	NaN	0.079
"YKL143W"	-1.614	-1.233	-4.765	-3.755	-3.979	-3.248	-1.686	-2.149	-3.108	-4.748	-2.281	-1.954	-1.458	-1.805	-2.312	-3.827	-4.588	-0.424	0.414	-2.756	-2.734	-1.821	-1.815	-1.965	-2.215	-3.005	-2.585	-1.994	-1.413	-1.329	-1.233	-0.995	-0.769	-0.908	-1.367	-0.594	-4.275	0.761	-4.409	-3.625	-2.618	-3.914	-0.475	-0.802	-3.604	-0.811
"YLL008W"	-1.921	-0.639	-4.981	-3.751	-4.808	-4.019	-1.64	-1.904	-2.763	-5.659	-3.627	-2.64	-2.165	-3.282	-2.899	-6.113	-3.126	-0.852	-0.056	-2.364	-3.473	-2.41	-2.154	-2.612	-2.386	-2.487	-2.92	-1.45	-0.911	-1.029	-0.87	-0.943	-0.705	-0.737	-1.906	-0.613	-4.642	0.686	-4.08	-2.614	-1.915	-3.042	-0.221	-0.754	-2.604	-0.976
"YLL044W"	-0.738	0.066	-2.526	-2.196	-3.582	-4.162	-0.86	-1.477	-1.909	-4.871	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-2.802	-1.254	-0.383	-3.313	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	-0.452	0.009	-0.32	-0.235	-0.395	-0.397	-0.546	-2.227	-0.573	-3.517	0.842	-2.328	-1.637	-3.189	-3.806	0.441	0.368	-2.146	-0.978
"YLL045C"	-0.597	0.047	-2.105	-2.319	-3.116	-3.722	-0.864	-1.434	-1.667	-3.851	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-2.711	-0.863	-0.056	-3.169	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	-0.311	0.226	-0.447	-0.164	-0.446	-0.457	-0.381	-2.165	-0.82	-3.545	0.676	-2.751	-1.345	-3.449	-3.788	0.356	0.388	-1.125	-0.832
"YLR048W"	-0.832	-0.442	-2.382	-2.16	-2.988	-4.313	-1.2	-1.702	-0.881	-4.075	-2.64	-2.034	-2.257	-1.88	-3.645	-3.72	-2.627	-1.191	-0.307	-3.296	-5.136	-2.08	-2.645	-2.575	-2.294	-2.17	-3.634	-0.231	-0.045	-0.363	-0.496	-0.574	-0.387	-0.395	-2.293	-0.772	-3.563	0.512	-3.068	-1.806	-4.39	-4.032	0.252	0.285	-1.291	NaN
"YLR197W"	-1.452	-0.841	-4.044	-3.638	-4.76	-5.179	-1.654	-2.503	-2.02	-5.817	-3.173	-2.795	-2.789	-3.255	-4.736	-5.242	-3.387	-1.088	0.259	-3.899	-5.671	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	-1.497	-0.419	-1.07	-1.006	-0.958	-0.966	-1.143	-2.488	-0.423	-5.072	0.837	-4.496	-2.603	-4.983	-4.545	-0.03	0.025	-1.671	-1.673
"YLR249W"	-1.964	-0.204	-3.122	-3.317	-4.232	-4.758	-1.608	-2.153	-2.299	-6.529	-4.043	-3.482	-3.403	-3.637	-4.146	-6.742	-2.985	-0.973	-0.432	-3.879	-4.679	-2.712	-3.131	-3.778	-3.883	-4.549	-4.992	-0.742	-0.403	-0.731	-0.904	-0.938	-0.9	-0.823	-3.421	-0.194	-4.59	0.412	-3.998	-2.239	-5.053	-5.085	0.152	-0.027	-2.945	-2.039
"YLR388W"	-0.587	0.042	-2.382	-1.861	-2.879	-3.074	-0.993	-1.48	-0.835	-3.12	-2.264	-1.926	-1.98	-1.738	-3.596	-5.506	-2.593	-1.483	0.116	-3.204	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	-0.166	0.18	-0.298	-0.59	-0.751	-0.779	-0.66	-2.034	-0.27	-2.761	0.593	-2.178	-1.161	-3.674	-3.762	-0.035	0.373	-1.207	0.158
"YLR449W"	-0.587	-0.419	-2.903	-3.009	-3.738	-3.97	-1.358	-1.414	-1.719	-6.206	-3.262	-2.978	-2.79	-3.758	-5.497	NaN	-3.248	-1.162	-0.388	-2.597	-3.782	-2.95	-3.268	-3.547	-3.6	-4.626	-3.56	-1.405	-0.205	-0.401	-0.345	-0.474	-0.502	-0.159	-2.199	-0.392	-4.241	0.569	-5.408	-2.249	-3.658	-4.694	0.263	0.08	-2.127	-0.332
"YML026C"	NaN	0.036	-2.104	-1.803	-3.139	-3.539	-0.966	-1.399	-1.005	-3.811	-3.236	-2.913	-2.934	-3.29	-4.268	-5.271	-2.504	-1.498	-0.103	-3.779	-3.572	-2.525	-2.873	-2.821	-2.898	-2.803	-2.821	-0.198	0.174	-0.421	-0.596	-0.699	-0.584	-0.991	-1.928	-0.104	-3.032	0.533	-2.416	-1.558	-4.522	-4.595	-0.119	-0.09	-1.576	0.488
"YML063W"	-0.394	0.216	-1.871	-2.086	-3.191	-3.74	-0.808	-1.251	-1.388	-4.408	-3.027	-2.778	-2.416	-2.904	-4.048	-13.273	-2.243	-1.224	-0.155	-3.657	-5.57	-2.159	-2.658	-2.875	-3.123	-3.364	-4.059	-0.169	0.558	-0.355	-0.409	-0.485	-0.44	-0.629	-2.071	-0.561	-3.158	0.686	-2.792	-2.048	-4.819	-4.008	0.251	0.149	-2.003	2.968
"YMR131C"	-1.03	-0.798	-4.183	-3.849	-4.525	-4.347	-1.327	-1.821	-2.233	-5.631	-3.811	-2.698	-2.414	-2.914	-5.052	-6.665	-3.153	-0.65	-0.133	-3.547	-4.277	-2.776	-2.829	-3.214	-4.236	-5.241	-4.266	-1.343	-0.245	-1.074	-0.906	-0.881	-0.606	-0.866	-1.789	-0.405	-4.674	0.408	-3.866	-3.136	-1.412	-4.181	-0.288	-0.536	-2.568	-1.926
"YMR242C"	-0.508	-0.277	-2.539	-1.639	-3.309	-3.708	-0.772	-1.335	-1.34	-4.702	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-2.432	-1.253	-0.291	-3.832	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	-0.407	-0.057	-0.223	-0.194	-0.368	-0.45	-0.333	-2.4615	-0.41	-3.054	0.63	-2.43	-1.144	-4.158	-4.607	0.084	0.248	-1.628	0.255
"YNL069C"	-0.986	-0.203	-1.976	-1.954	-2.865	-3.347	-0.879	-1.367	-0.575	-3.663	-2.506	-1.993	-1.978	-2.285	-4.006	-4.824	-2.585	-1.387	-0.302	-3.44	-4.269	-1.921	-2.199	-2.466	-2.107	-2.509	-3.665	-0.226	-0.11	-0.2	-0.376	-0.505	-0.373	-0.484	-2.137	-0.526	-2.91	0.608	-2.543	-1.261	-3.601	-3.741	0.151	0.187	-1.19	-0.234
"YNL110C"	-0.787	-1.359	-3.64	-3.768	-4.56	-4.991	-1.169	-1.967	-2.2	-5.108	-2.608	-1.92	-1.698	-2.472	-1.487	-3.296	-1.641	-0.367	0.382	-2.565	-4.151	-2.141	-1.741	-2.144	-2.154	-2.985	-3.387	-1.474	-1.452	-1.457	-1.374	-1.108	-1.396	-1.41	-1.5895	-0.442	-5.064	0.835	-4.907	-3.471	-3.18	-4.747	-0.272	-0.465	-3.113	-0.244
"YNL112W"	-1.538	-0.839	-4.018	-3.939	-4.081	-3.89	-1.153	-2.266	-3.952	-3.476	-2.775	-1.708	-1.19	-2.147	-1.052	-3.27	-1.112	-0.182	-0.142	-1.809	-1.974	-1.768	-1.688	-1.699	-1.197	-2.356	-1.536	1.15	-0.505	-2.01	-1.615	-0.98	-1.298	-1.078	-1.4685	-0.092	-3.744	0.841	-4.902	-4.336	-2.809	-4.027	-0.757	-0.986	-3.642	-1.854
"YOL077C"	-1.531	-1.563	-5.04	-4.336	-5.22	-4.28	-1.588	-2.172	-1.0455	-5.186	-3.087	-2.568	-2.817	-2.79	-3.02	-6.552	-2.1355	-0.837	0.267	-4.174	-3.705	-2.565	-2.549	-3.046	-3.299	-3.894	-4.326	-1.609	-1.222	-1.19	-1.046	-0.89	-0.767	-0.911	-2.39	-0.447	-4.7	1.012	-4.969	-3.866	-2.855	-5.145	-0.244	-0.323	-3.742	0.364
"YOR095C"	-1.355	-0.918	-4.288	-3.939	-4.34	-4.285	-1.27	-2.27	-1.319	-1.698	-0.288	-0.614	-1.113	-3.275	-2.7255	-4.37	0.482	-1.226	-0.483	-3.469	-1.726	-0.824	-1.933	-2.497	-2.868	-3.333	-3.068	-1.727	-0.87	-1.263	-1.098	-0.869	-1.021	-1.296	-1.164	-0.305	-3.778	1.034	-3.665	-3.086	-3.423	-4.298	-0.703	-0.586	-4.286	-1.45
"YPL142C"	-1.098	-0.067	-1.932	-2.625	-2.913	-3.225	-0.78	-0.99	-0.6385	-3.1395	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.427	-1.525	0.0885	-2.825	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.046	0.256	-0.111	-0.392	-0.385	-0.394	-0.415	-2.011	-0.355	-3.034	0.62	-2.333	-1.691	-3.763	-3.677	0.043	0.053	-1.81	-0.5
"YPL220W"	-0.563	-0.077	-2.404	-2.267	-3.278	-3.871	-0.801	-1.265	-1.263	-3.389	-2.18	-2.214	-2.1715	-2.2495	-3.187	-6.1465	-2.8915	-1.351	-0.2335	-3.0375	-3.51	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	-0.338	-0.142	-0.423	-0.604	-0.494	-0.708	-0.598	-1.925	-0.331	-3.09	0.674	-2.654	-2.004	-3.366	-3.554	-0.139	-0.042	-2.098	0.389
"YPL226W"	-1.8195	-0.877	-3.002	-2.4945	-3.229	-4.183	-1.431	-1.755	-1.164	-4.86566666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-2.472	-0.600333333333333	-0.518666666666667	-3.37333333333333	-4.0095	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	-0.8535	-0.783	-0.6695	-0.6865	-0.7095	-0.7495	-0.606	-1.7375	-0.3285	-3.215	0.141	-3.076	-2.041	-2.657	-3.811	-0.067	-0.16	-2.5635	-2.124
"YPR110C"	-0.524	-0.679	-3.084	-2.507	-3.52	-3.728	-0.629	-1.314	-1.421	-5.7185	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-6.318	-2.6255	-0.9515	-0.326	-3.01	-3.88	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	-0.882	-0.409	-0.593	-0.473	-0.671	-0.799	-0.474	-2.108	-0.752	-3.168	0.634	-3.436	-2.354	-2.851	-3.882	-0.477	-0.491	-1.995	-1.051
"YPR144C"	-0.583	-1.347	-4.211	-2.783	-3.783	-3.366	-1.589	-1.485	-1.378	-3.855	-2.235	-1.9295	-0.6445	-1.9405	-3.129	-4.2065	-2.4285	-0.7625	-0.2825	-2.0425	-2.256	-1.327	-1.4	-1.22	-1.687	-2.51	-2.411	-0.859	-1.227	-1.038	-0.684	-0.585	-0.38	-0.413	-1.298	-0.2	-4.107	0.398	-3.213	-2.381	-2.991	-3.937	-0.394	-0.355	-2.264	-2.013
