	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"11466.yO1 test hyb"	"12061.Pomona College Bio164: dna2-1/WT"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"28847.P2Comp 10 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28848.P2Comp 10 hr 35 min Phosphate Batch vs Chemostat Comparison2"	"28849.P2Comp 10 hr 50 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33261.delKIN82_heat shock _30min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"
"YDR096W"	2.715	2.372	2.281	2.565	2.549	1.729	3.784	2.911	3.051	3.058	2.906	3.751	3.511	2.071	2.127	2.135	1.735	1.58	1.85	2.169	2.377	2.916	3.613	3.341	3.088	2.342	-1.206	-1.861	0.636	0.761	0.492	0.016	-0.102	2.518	0.22	-0.054	-0.469	1.2895	0.839	0.3495	-0.019	1.2715	1.286
"YDR148C"	1.266	1.391	1.308	1.634	1.746	0.701	2.92	3.978	3.726	3.633	2.151	3.152	1.873	1.233	1.906	1.862	1.727	1.245	3.077	3.112	2.886	3.127	2.367	2.21	1.758	2.724	1.35	-1.17	1.099	0.956	0.845	0.753	0.779	1.71	1.194	1.006	0.706	0.654	0.323	-0.034	-0.01	3.376	2.528
"YDR529C"	1.334	1.146	1.227	1.631	1.548	0.347	2.473	2.394	2.948	1.753	1.667	2.074	2.127	2.109	1.792	1.637	1.664	1.516	2.996	2.486	2.052	2.002	2.544	2.181	1.592	NaN	-0.025	-0.152	0.638	1.24	1.082	0.856	1.29	2.531	-0.757	0.158	0.643	1.321	1.282	0.53	0.793	3.917	2.364
"YDR534C"	1.876	1.913	-0.049	-0.708	-0.469	-0.735	0.744	1.194	1.523	1.904	0.856	1.625	2.589	0.616	0.955	1.332	1.423	0.948	1.032	0.726	0.339	1.185	1.606	1.347	1.292	0.559	-1.503	-1.263	-0.165	0.063	0.407	-0.333	0.303	0.304	0.204	0.908	0.494	1.491	0.859	0.159	-0.117	0.298	0.485
"YEL011W"	5.079	3.123	2.585	3.093	2.441	3.125	4.662	3.869	4.663	4.646	4.72	4.761	5.15	4.014	2.876	3.74	3.022	2.308	4.997	3.795	3.906	3.266	3.642	5.213	4.068	2.6905	-0.1605	-1.716	3.079	2.224	1.999	1.253	1.514	2.474	0.763	0.8265	0.28	2.707	1.084	0.942	0.59	1.65	3.83
"YEL024W"	2.328	2.182	1.869	2.004	1.771	0.363	3.871	4.61	4.009	3.979	3.509	3.632	3.238	2.147	2.151	2.122	1.702	1.991	3.986	3.281	2.635	2.156	2.171	2.77	1.823	2.36	-1.8285	-0.908	0.92	1.058	0.686	0.392	0.52	1.645	0.2295	0.221	0.2705	1.441	2.327	0.316	0.809	3.587	2.609
"YER015W"	0.415	0.1	-0.585	0.923	0.766	0.052	2.172	2.385	3.584	3.301	3.005	2.769	3.101	1.224	1.095	1.623	1.816	0.843	3.359	2.401	1.979	2.609	2.833	1.972	1.943	0.745	-0.9385	-1.436	0.87	1.58	0.953	-0.251	0.077	1.085	-0.1325	0.1775	0.043	0.1875	-0.0735	-0.475	-0.452	1.098	0.968
"YER150W"	5.585	4.101	4.447	4.749	4.983	2.704	6.012	5.312	5.241	4.681	5.023	4.88	5.748	4.953	4.743	4.495	4.382	4.289	5.006	4.196	4.129	5.159	5.697	4.768	3.976	4.503	0.762	-0.8905	1.06	1.411	1.186	0.59	0.626	6.349	2.743	2.8735	2.2365	4.957	3.453	2.26	1.731	7.796	6.994
"YGL121C"	2.016	1.052	1.054	2.106	1.184	2.273	2.903	4.642	4.908	4.899	5.197	4.115	4.92	2.02	3.028	3.66	3.542	3.479	3.623	2.924	2.795	3.85	4.249	4.271	3.19	4.881	-0.463	-1.551	2.29	1.888	2.165	2.349	1.777	3.68	0.234	0.172	0.585	-0.057	-0.249	0.09	0.492	4.831	4.067
"YGL126W"	0.579	0.3815	-0.2925	-0.738	-0.339	-0.518	0.444	0.2365	0.7215	0.6235	0.341	1.278	0.4265	0.7815	0.263	1.075	1.0275	-0.063	1.019	0.6565	0.472	0.872	1.2075	1.119	0.7805	0.7075	-1.5165	-1.6935	-0.964	-0.228	-0.1275	-0.6015	-0.3525	-0.325	-0.830333333333333	-0.867666666666667	-0.334666666666667	-0.303	-0.6455	0.238	-0.82	-0.368	-0.2665
"YGL156W"	3.625	3.375	3.179	3.485	2.874	2.125	4.377	4.521	4.625	4.645	5.069	5.027	5.027	2.749	3.372	3.335	3.32	3.359	2.737	4.166	4.322	3.981	4.487	4.716	3.456	3.83	0.894	-1.522	3.063	3.122	2.52	2.321	2.341	3.58	1.9645	0.674	0.8525	0.46	0.3615	0.7325	0.03	2.183	2.233
"YGL187C"	0.789	0.336	0.367	0.441	0.37	-0.525	2.889	4.099	3.745	3.063	2.506	3.064	2.333	1.625	1.581	2.086	1.817	1.923	3.543	2.934	2.386	2.576	2.551	1.845	0.97	2.122	-0.962	-0.784	0.093	0.828	0.325	0.042	0.282	-0.425	-0.755	-0.9045	-0.7275	0.174	-0.163	-0.286	-0.26	4.027	2.366
"YGL188C"	0.08	-0.085	-0.217	-0.714	-0.328	-0.57	2.537	3.151	3.451	2.698	2.621	2.555	2.152	0.915	0.854	1.299	1.415	-0.385	2.496	1.827	1.412	1.859	2.033	1.246	0.729	1.775	-1.734	-1.708	0.198	0.753	0.27	0.0	0.082	-0.634	-1.0205	-0.7845	-1.4035	0.369	0.068	-0.22	0.035	3.053	1.221
"YGL191W"	1.432	0.865	1.325	1.464	1.522	0.496	2.252	3.271	3.144	2.566	2.571	2.095	3.652	2.011	1.736	2.578	1.952	2.511	2.806	2.892	2.225	2.502	3.079	2.957	2.465	1.85	-0.692	0.342	0.987	1.342	1.358	0.917	1.09	1.23	-0.0255	-0.567	-0.5285	1.151	0.791	0.332	0.647	4.404	2.257
"YGL215W"	0.186	-0.4825	-0.1785	0.0455	0.2705	-0.1525	-0.5845	0.435	0.4545	0.4085	0.4455	-0.0655	1.101	0.013	-0.2975	0.468	0.2325	-0.286	0.6775	0.4365	0.8335	0.703	1.126	1.1155	0.493	0.271	-1.073	-0.638	0.007	-0.5245	-0.523	-0.898	-0.675	0.6605	-0.536333333333333	-0.414666666666667	-0.540666666666667	0.44	0.253	0.387	0.705	1.062	0.857
"YGR043C"	5.04	5.049	2.61	5.232	4.833	3.252	5.679	4.9	5.707	5.692	6.003	5.571	5.458	4.673	4.765	4.955	3.827	4.843	5.014	5.207	5.063	5.593	5.207	6.53	5.288	4.615	-1.526	-1.433	1.446	3.238	3.293	2.744	3.369	5.961	1.51	1.1585	1.1165	4.675	3.421	2.446	2.493	5.627	6.098
"YGR052W"	4.091	2.885	2.401	2.785	1.368	1.755	4.665	2.352	2.589	2.514	4.334	2.977	5.562	3.012	1.987	1.781	1.57	1.23	3.732	3.544	3.966	5.377	5.182	5.982	5.515	3.136	-0.098	-0.501	-1.007	0.092	-0.715	-1.734	-2.144	4.102	1.104	-0.1645	0.775	2.098	2.14	1.661	0.169	2.384	4.507
"YGR182C"	0.6515	0.3325	0.3295	0.7845	0.823	0.428	1.187	1.651	2.039	1.075	1.031	1.202	1.721	1.102	0.957	0.975	0.842	0.6	2.497	1.371	1.238	1.824	1.983	1.256	0.593	1.024	-0.107	-1.533	0.029	0.26	0.397	0.292	0.631	1.19	-0.51	-0.205	0.42	1.949	0.869	-0.091	-0.003	3.508	2.308
"YGR183C"	1.02	0.8015	1.0275	1.456	1.041	0.456	2.516	2.937	3.093	2.609	1.742	3.487	3.414	1.924	1.266	1.583	1.511	1.834	2.594	2.333	1.945	2.742	3.301	3.204	2.341	1.505	-0.333	-0.95	0.537	0.538	0.509	0.294	0.907	1.352	1.737	1.63	1.548	1.145	1.985	-0.37	1.139	3.35	2.247
"YGR243W"	3.233	2.825	2.767	1.0685	2.8095	-0.562	4.614	4.911	5.283	4.612	5.095	5.612	5.628	5.402	3.855	4.495	3.75	3.675	3.651	4.059	3.864	3.442	5.617	5.108	4.88	4.328	-2.69	-0.802	-0.361	-0.182	-0.513	-0.825	-1.29	3.3865	1.396	1.136	0.679	4.307	2.934	1.535	1.82	6.012	5.734
"YHR051W"	1.3665	1.0225	1.058	1.313	1.449	0.404	2.562	3.688	3.419	2.769	2.012	2.399	2.191	1.784	1.64	1.91	1.879	1.817	3.332	2.68	2.112	1.853	2.322	1.808	1.49	1.741	-0.887	-0.776	0.52	0.902	0.456	0.121	0.066	1.196	-0.347	-0.143	0.194	1.271	-0.011	0.241	1.02	3.999	2.435
"YHR096C"	5.573	4.401	3.4085	5.0375	5.238	1.699	4.284	5.741	5.093	5.155	5.155	4.52	5.687	4.524	4.426	4.823	4.644	4.582	3.276	4.069	4.974	4.183	5.745	6.472	5.826	2.974	-1.716	-1.973	2.108	3.156	2.415	2.23	3.201	6.7425	0.595	0.638	1.018	1.871	1.333	0.574	0.687	5.478	4.216
"YIL160C"	1.737	1.4315	1.371	1.8465	1.4665	-0.912	1.861	2.199	1.468	3.608	1.457	1.303	2.603	1.71	2.985	2.78	2.553	1.425	1.77	0.562	0.722	0.463	2.237	2.531	1.794	2.345	-0.451	-0.69	0.329	1.054	0.509	0.989	0.512	2.218	0.136	0.208	-0.52	0.68	0.001	-0.434	0.211	4.486	4.398
"YJL066C"	2.484	2.363	2.0645	2.2855	2.4895	0.422	3.176	3.323	3.479	2.755	2.79	3.462	4.019	1.801	1.811	1.934	1.663	1.583	2.344	1.306	2.029	2.063	3.576	3.436	2.791	2.401	-1.305	0.344	0.289	0.269	0.147	0.269	0.059	2.9045	0.567	0.843	0.843	1.4	1.878	1.626	1.79	2.947	4.144
"YJL166W"	1.501	1.835	1.4775	2.2645	1.883	0.672	3.137	3.667	3.5	3.101	2.498	3.751	3.849	2.392	2.57	2.339	2.197	2.526	3.028	2.833	2.507	2.963	3.264	3.664	3.32	1.113	-0.81	-1.748	1.237	1.203	0.888	0.837	1.48	2.077	0.152	-0.145	0.432	1.03	0.496	0.109	0.314	3.65	2.806
"YJR078W"	0.979	0.7125	0.826	0.4385	0.2295	-0.504	0.326	1.707	1.298	2.658	1.754	1.271	1.471	-0.144	0.295	1.172	2.262	1.381	0.489	0.766	0.764	0.763	1.36	1.629	1.047	2.919	-0.275	-1.663	0.719	0.247	0.204	-0.033	0.11	0.8925	0.456	0.808	0.717	-0.402	-0.601	-0.432	-0.557	1.65	-0.252
"YKL109W"	3.026	2.615	2.322	2.127	2.389	0.416	3.944	4.619	4.678	3.512	3.345	3.204	3.232	3.343	3.076	3.27	2.936	2.799	4.55	3.416	3.126	3.018	3.054	2.687	2.59	2.198	0.453	-1.199	-0.238	1.309	0.216	-0.028	-0.101	2.019	0.106	0.19	1.395	0.877	0.587	0.166	-0.338	3.213	3.231
"YKL187C"	3.147	2.346	1.793	3.596	3.674	0.198	3.195	4.289	4.917	4.657	5.015	3.151	5.575	1.311	1.255	3.166	3.771	3.338	1.695	3.45	2.909	2.31	4.717	5.088	4.51	2.083	0.111	-1.311	0.259	0.455	0.572	0.901	-0.015	4.123	-1.204	0.661	-0.484	1.256	0.001	-0.117	-0.011	3.123	2.958
"YKL217W"	2.197	0.928	0.874	1.43	1.7	-0.528	5.715	6.332	5.482	5.515	5.188	5.504	6.057	4.078	3.919	4.968	4.881	4.935	5.204	5.036	4.489	4.2	6.184	7.178	6.94	3.157	-1.75	-1.386	-0.225	0.068	0.003	0.252	0.489	2.407	-0.886	-0.221	-1.059	1.206	-0.526	-0.958	-0.367	6.083	3.813
"YKR097W"	0.121	0.327	0.427	0.746	0.112	0.378	5.028	6.83	7.19	6.862	7.33	5.367	5.07	1.13	0.807	0.58	5.974	6.148	6.922	6.534	5.735	5.448	6.528	6.693	5.565	5.059	-0.876	-0.821	1.384	2.05	3.289	3.323	4.123	0.572	-0.631	0.55	0.585	0.14	0.27	0.003	-0.118	5.975	-0.139
"YLL041C"	2.665	2.605	1.933	2.775	2.977	0.588	4.794	5.323	5.655	5.102	4.997	4.796	5.281	2.48	2.342	2.74	2.712	2.855	4.827	4.436	3.693	3.746	4.25	4.703	3.334	3.417	-0.941	-0.938	0.627	1.415	1.799	1.493	2.09	2.274	-1.002	-0.842	-0.582	1.509	1.575	0.433	1.315	4.684	3.781
"YLR152C"	2.636	1.721	1.48	1.719	2.0	1.462	3.02	3.055	3.169	2.494	2.878	3.394	2.332	1.06	1.266	2.246	2.27	1.941	3.177	2.356	2.243	2.305	2.593	2.377	1.395	1.466	-0.279	-1.476	0.501	0.787	0.786	0.141	0.342	2.145	-0.728	-0.886	0.287	1.779	0.618	0.141	0.321	1.735	2.323
"YLR395C"	0.736	0.643	0.407	0.832	0.885	-0.124	1.93	2.713	2.793	2.278	2.066	2.005	1.17	1.497	1.492	1.422	1.297	1.174	2.788	2.213	1.866	2.062	1.837	1.494	0.907	1.154	-1.0	-1.44	0.458	0.681	0.405	0.334	0.606	0.715	-0.541	-0.581	-0.529	-0.03	-0.155	-0.414	-0.025	3.275	0.94
"YML042W"	1.768	1.318	0.718	1.38	1.322	1.612	5.257	5.951	5.954	6.053	5.694	5.292	4.94	2.873	3.592	2.989	2.529	1.465	4.969	5.064	3.866	4.298	3.56	3.618	2.209	2.684	0.633	-1.248	1.605	2.403	1.957	0.91	1.878	2.41	0.217	0.368	0.758	1.381	0.329	-0.513	-0.113	3.574	3.546
"YML089C"	1.81	0.135	-0.415	0.883	-0.064	-0.523	0.403	1.546	1.874	1.59	0.395	0.573	1.013	0.594	0.947	-0.034	1.819	0.824	1.186	1.142	0.273	0.731	1.191	1.504	0.35	1.326	-1.199	-1.437	-0.594	-0.083	-0.469	-0.868	-0.7	0.652	-0.21	-0.154	-0.572	-0.739	-0.96	-0.87	-1.24	0.548	-0.13
"YMR081C"	1.638	0.696	0.796	1.351	1.75	0.541	5.134	4.866	4.127	4.854	4.825	5.524	6.678	6.135	5.55	5.535	4.182	4.914	5.537	4.601	3.765	5.056	4.13	4.987	4.226	4.371	0.585	-0.924	2.369	3.016	3.007	3.482	3.108	2.226	0.159	-0.284	-0.148	0.985	0.562	0.383	-0.766	5.714	5.379
"YMR256C"	0.706	0.759	0.881	1.095	1.248	0.525	1.956	3.733	3.752	3.004	2.535	2.231	2.263	2.129	1.388	2.064	1.834	1.596	2.619	2.226	1.955	2.039	3.598	3.098	2.096	1.843	-2.69	-2.662	0.724	1.701	1.387	0.97	1.196	1.387	-0.761	-1.113	-0.841	-0.006	-0.18	-0.199	-0.098	2.949	1.861
"YMR271C"	1.746	1.485	1.379	1.968	1.82	2.932	4.289	2.99	3.521	3.307	4.093	3.803	3.495	1.89	2.448	3.12	2.856	2.191	3.829	2.495	3.065	3.758	3.825	3.1	1.606	2.576	-0.4305	-1.2595	0.706	1.784	1.928	1.036	1.538	2.359	0.958	1.213	0.828	-0.24	-0.238	-0.354	-0.349	2.473	2.63
"YNL104C"	0.785	0.348	0.518	0.471	0.735	-0.393	-0.487	1.479	1.511	1.325	0.997	0.31	1.373	-0.53	-0.278	0.201	0.355	0.033	0.066	0.763	0.701	-0.124	1.458	1.339	0.842	0.938	-0.7135	-0.1825	-1.574	-1.072	-1.014	-1.206	-0.782	0.561	-1.267	-1.115	-0.797	-0.247	-0.457	-0.386	-0.443	0.054	-0.175
"YNL270C"	0.733	0.369	-0.181	-0.247	-0.387	-1.226	0.792	1.39	1.663	2.542	1.226	0.455	0.907	0.285	0.106	0.431	1.429	0.846	0.608	0.193	0.668	1.39	2.03	1.854	1.678	1.612	-1.105	-1.3	-0.55	0.138	0.073	0.476	-0.289	0.014	1.012	-0.082	0.205	-0.132	-0.315	-0.514	-1.047	0.34	0.837
"YNL334C"	0.43	-0.133	0.31	0.561	0.431	-0.197	NaN	NaN	4.02	4.304	0.012	NaN	3.877	0.12	1.449	0.508	0.588	0.713	0.725	0.954	1.479	1.69	1.301	1.246	0.945	0.942	-0.444	-1.394	0.212	0.405	0.282	0.69	0.879	0.919	-0.287	-0.411	-0.106	-0.464	-0.536	0.091	0.055	1.159	0.419
"YNR002C"	3.999	1.509	2.301	2.855	2.921	0.09	3.522	3.679	4.1155	3.544	3.295	4.0245	4.399	2.168	1.8715	2.342	0.9535	1.804	2.865	4.327	3.175	1.676	5.416	5.477	4.078	2.55	-1.513	-1.605	0.184	0.837	0.074	0.076	-0.034	2.872	2.25	1.938	2.067	2.957	1.376	-0.018	0.3	4.09	2.62
"YOL036W"	0.521	0.011	0.51	0.725	0.519	0.286	0.231	0.406	2.37	0.155	0.5655	1.05	2.392	-0.007	0.601	1.122	0.4595	0.681	0.507	0.558	0.443	0.767	1.715	0.484	0.134	0.52	-1.011	-0.307	-0.031	0.045	-0.371	-0.086	-0.379	0.533	0.017	-0.121	-0.145	-0.251	-0.552	0.038	0.456	0.325	0.035
"YOL147C"	-0.459	-0.934	-0.259	-0.467	-0.202	-0.799	-1.3275	1.217	2.947	3.12	1.455	0.66	2.857	0.2585	-1.098	0.459	0.667	1.9405	0.636	0.984	1.414	0.791	2.634	2.054	1.667	1.821	-1.286	-1.181	0.973	1.307	0.751	1.131	1.869	-0.391	-1.335	-1.405	-1.482	-0.094	-0.035	0.138	-0.51	0.518	-0.86
"YOL154W"	0.217	0.219	0.524	0.648	0.284	-0.512	0.221	1.169	1.981	1.271	0.662	0.6455	0.946	0.9535	0.338	0.252	0.977	0.182	1.013	0.774	0.88	0.531	1.429	2.561	0.493	1.096	-1.226	-1.009	0.201	0.33	0.46	0.299	0.386	0.46	0.729	0.089	-0.197	-0.024	0.111	-0.122	-0.598	0.423	-0.639
"YOR100C"	2.64	1.901	1.778	1.643	1.35	0.083	2.5745	3.042	3.0	4.674	3.108	2.0975	2.225	1.6705	2.076	1.23	3.278	3.0865	3.743	3.88	2.802	3.605	4.227	4.288	3.467	2.346	0.591	-2.226	-0.222	0.883	1.672	1.183	1.716	2.005	1.966	1.936	2.038	2.042	1.676	0.255	0.574	2.532	1.34
"YOR220W"	2.667	2.539	2.425	2.923	2.555	1.567	3.7725	2.959	2.657	2.843	2.673	3.276	4.0665	3.0705	3.113	2.4945	2.2515	2.808	3.838	3.019	2.692	2.751	3.747	4.082	3.593	1.74	-0.818	0.1	1.385	0.692	0.871	0.5	1.179	2.684	1.692	1.139	1.346	2.514	1.5	1.264	0.882	2.91	2.732
"YPL187W"	-1.83	-0.659	-2.322	-0.214	-0.415	-1.195	-0.2505	0.674	0.2055	1.8565	0.4945	1.321	-0.534	-0.9115	0.239	1.2425	1.3095	0.112	0.16	-0.392	0.135	0.26	0.657	0.719	0.666	1.323	-0.941	-1.19	-0.332	-0.129	-0.003	-1.042	-0.444	NaN	-0.999	-0.891	-0.071	-1.0245	-0.894	-1.102	-2.0245	0.269	-1.0205
"YPL201C"	-0.385	NaN	-1.585	-0.729	-1.115	-0.61	4.0985	4.1215	4.803	3.3225	3.2325	2.2945	4.55	2.6365	2.6935	2.2215	2.69	1.9285	4.28	2.754	1.464	2.346	4.567	4.691	4.339	3.767	-0.508	-0.678	-0.254	-0.619	-0.175	-0.183	-0.2	-1.036	0.114	-0.025	0.356	-1.046	-1.525	-1.353	-2.119	4.745	3.811
"YPR001W"	1.014	0.758	0.778	1.282	0.585	0.391	1.917	3.0525	4.424	4.3615	4.5105	2.722	5.855	1.1355	1.419	1.174	2.076	1.8285	2.313	4.226	1.274	2.072	5.929	4.205	2.415	1.947	-0.987	-1.667	-0.506	-0.026	-0.084	-0.501	-0.207	0.599	0.273	0.294	0.634	0.319	-0.387	-0.522	-0.572	3.178	-0.005
"YPR006C"	1.443	0.949	0.441	1.146	1.459	0.465	1.438	3.5645	3.262	4.219	1.5965	1.8145	3.0495	1.4595	1.7945	1.5415	3.017	2.138	1.982	2.182	1.0	1.461	3.572	2.115	1.501	1.807	-1.191	-2.565	1.179	0.977	0.118	0.18	0.009	2.002	0.212	-0.213	-0.235	0.264	0.372	0.1005	-0.1205	1.216	0.3585
