	"89.cdc15 100 min"	"91.cdc15 140 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"811.DES459 (mec1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"976.wt_plus_gamma_5_min"	"980.wt_plus_gamma_45_min"	"982.wt_plus_gamma_90_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1168.PHO81c vs. wild type, exp.1"	"1170.pho85 delete vs. wild type"	"1249.mec1_plus_gamma_5_min"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8289.MCM7 formaldehyde x-linked in veg. cells. IP'd w/ polyclonal AB"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"17676.Na+FK 45min (4)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"38154.03II01 batch p10"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YCR047C"	-0.26	0.059	-0.873	-1.725	NaN	-1.831	-2.278	-2.227	-2.268	-0.7875	1.123	0.955	-1.942	-1.199	-0.6895	-0.331	-1.466	-1.493	-1.147	-0.784	-0.678	-0.276	-0.637	-0.621	-0.126	0.16	-0.737	0.045	-0.437	0.796	-1.016	-0.174	0.111	0.294	-0.1645	-0.3515	-0.423	-0.4965	-0.025	-0.506	-0.387	-1.181	-0.365	-0.825	-0.979	0.003	-0.407	-0.565	-0.657	-1.072	-1.536	-1.448	-0.935	-1.451	-1.761	0.387	-0.639	-0.4365	-0.1855	-0.47	-2.277	-0.937	-2.443	-2.699	-1.867	-1.51	-1.384	-0.687	-2.293	-1.951	-0.907	-1.122	-1.136	-0.185	-0.46	-0.599	-0.856	-0.84	-0.174
"YCR055C"	0.108	-0.078	-1.508	-4.1	NaN	-3.895	-3.121	-3.998	-3.454	-0.9775	0.77	0.841	-3.998	-1.585	-1.724	-1.3865	-6.518	-3.193	-3.059	-2.704	-1.766	-1.97	-3.878	-6.433	-3.38	-0.798	-2.1	-3.796	-3.655	-2.132	-1.874	-0.604	-0.502	-0.678	-2.6155	-1.6915	-1.403	-1.6	-2.2405	-3.105	-2.4225	NaN	NaN	-1.628	-0.924	-0.782	-2.259	-1.524	-1.299	-1.936	-2.904	-2.096	-1.54	-1.969	-2.123	0.307	-1.703	-2.079	-0.659	-1.924	-4.055	-2.7325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.085	-0.091	-0.503	-0.52	-0.629	-0.526
"YDL031W"	0.054	0.108	-2.218	-2.88	-2.123	-2.3335	-2.1535	-2.805	-2.451	-0.343	0.7675	0.4335	-1.2305	-0.459	-1.7765	-0.82	-2.5295	-1.061	-1.48	-0.963	-1.4395	-1.4865	-2.9525	-3.3365	-1.2945	-0.384	-1.2675	-2.234	-1.5645	-1.2865	-0.7395	0.1625	0.007	-0.168	-2.49	-1.401	-1.0975	-1.1425	-1.8345	-1.8005	-1.127	-0.016	-1.277	-0.845	-0.614	-0.224	-0.664	-0.989	-0.6915	-0.7915	-1.3565	-1.355	0.0705	-0.546	-1.206	-0.447	-0.955	-1.361	-1.525	-0.799	-2.6385	-0.946	-2.583	-1.757	-1.283	-1.024	-0.845	-1.181	-2.16	-0.888	-0.525	-0.516	-1.356	0.118	-0.863	-0.74	-0.415	-0.785	-0.153
"YDL062W"	-0.086	-0.287	-2.058	-3.223	-3.007	-2.714	-2.741	-3.056	-2.043	-0.678	0.109	0.698	-1.919	-1.313	-2.494	-0.685	-2.463	-1.977	-1.768	-1.336	-1.903	-1.244	-2.106	-2.509	-1.33	-0.128	-1.592	-1.918	-1.869	-1.181	-1.395	0.086	-0.193	-0.341	-1.915	-2.153	-1.846	-1.663	-0.976	-1.327	-1.243	-0.602	-1.237	-1.014	-0.959	-1.246	-3.101	-1.608	-1.633	-2.125	-2.052	-2.053	-0.938	-1.431	-1.628	-1.051	-0.947	-1.743	-1.924	-0.993	-3.168	-1.173	-1.685	-1.693	-2.009	-1.896	-1.723	-3.159	-2.908	-2.697	-1.452	-1.718	-1.873	0.212	-0.51	-0.492	-0.722	-0.017	-0.953
"YDL063C"	0.525	-0.34	-0.926	-3.209	-2.218	-3.024	-2.945	-2.864	-2.304	-1.0	1.0	0.922	-1.93	-2.141	-2.076	-0.696	0.085	-2.723	-3.169	-2.319	-1.975	-1.826	-1.564	-3.701	-2.057	-0.931	-1.508	-0.719	-0.923	-0.324	-0.812	-0.136	-0.358	-0.683	-2.168	-1.871	-1.236	-1.876	-1.864	-1.229	-1.954	-0.426	-1.189	-0.652	-1.524	-1.667	-1.427	-1.539	-1.059	-1.208	-1.966	-2.2	-1.362	-1.489	-1.406	-1.101	-1.1	-2.177	-2.064	-1.124	-3.467	-2.404	-3.005	-2.816	-2.525	-2.72	-2.274	-2.579	-3.127	-2.796	-1.54	-0.883	-2.531	-0.168	-0.556	-0.939	-0.518	-0.834	-0.888
"YDL191W"	-0.052	-0.106	-0.333	-1.605	-1.367	-1.918	-1.445	-2.102	-2.434	-0.561	0.722	0.713	-0.548	-1.308	-2.056	-0.854	-1.985	-2.367	-2.75	-2.497	-1.853	-1.975	-2.737	-5.192	-1.704	-0.956	-1.309	-2.911	-2.813	-2.518	-0.128	-0.519	-0.313	-0.25	-3.616	-2.354	-1.999	-2.077	-1.362	-1.942	-2.86	-0.698	-0.509	-0.325	-0.926	-1.556	-0.67	0.112	-1.007	-1.163	-1.646	-1.405	-0.503	-1.627	-1.818	-0.445	-2.212	-1.959	-0.227	-0.76	-1.898	-1.7165	-2.167	-1.176	-1.135	-1.351	-3.35	-2.399	-3.234	-2.557	-1.83	-2.46	-1.593	-0.17	0.514	0.73	0.044	0.418	0.092
"YER126C"	-0.531	-0.725	-2.129	-3.132	-5.661	-2.634	-3.488	-4.626	-4.459	-1.115	1.185	0.966	-2.724	-2.146	-1.767	-1.051	-4.455	-2.713	-2.384	-1.898	-1.167	-2.335	-2.608	-5.367	-2.806	-0.699	-1.149	-2.355	-2.036	-1.58	-1.557	0.117	0.135	-0.059	-2.303	-1.4	-1.206	-1.723	-1.575	-2.584	-2.842	-0.211	-1.603	-1.498	-1.044	-1.176	-2.191	-0.966	-1.302	-1.979	-3.035	-2.036	-1.422	-2.942	-2.828	-0.261	-1.0895	-1.082	-1.185	-1.223	-5.253	-3.7255	-5.806	-2.916	-3.166	-1.501	-2.489	-2.31	-3.761	-2.961	-2.173	-1.909	-2.346	-0.316	-0.495	0.1	-0.427	-0.767	0.379
"YGL135W"	1.282	0.783	-0.599	-1.664	-2.365	-2.285	-2.468	-3.231	-3.984	-1.162	1.101	0.43	-1.047	-1.569	-2.804	-2.254	-3.221	-2.573	-2.455	-2.548	-2.301	-2.942	-3.418	-5.687	-2.615	-1.432	-1.34	-3.217	-3.23	-3.119	-0.503	-0.328	0.084	-0.025	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	0.094	-0.555	-0.065	-0.146	-1.595	-1.206	-0.198	-1.193	-1.778	-2.546	-2.004	-1.336	-2.237	-2.539	-0.551	-2.233	-3.473	-2.046	-2.497	-3.406	-1.702	-2.824	-1.612	-1.861	-1.859	-3.443	-2.903	-3.617	-3.009	-1.968	-2.509	-1.329	0.247	0.217	0.069	0.044	-0.125	-0.165
"YGL147C"	-0.325	-0.469	-0.626	-2.372	-2.337	-3.006	-2.704	-4.102	-4.319	-1.473	1.186	1.241	-1.272	-2.115	-2.743	-1.954	-3.892	-3.111	-3.32	-3.389	-2.422	-3.896	-3.921	-7.507	-2.882	-1.185	-1.716	-3.0	-3.753	-3.466	-0.733	-0.768	-0.343	0.6	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	-0.07	-1.197	-0.493	-0.389	-1.568	-0.927	0.16	-0.956	-1.576	-2.522	-2.212	-1.326	-2.365	-2.897	0.128	-2.532	-3.553	-1.167	-2.428	-3.829	-1.574	-2.3925	-1.8665	-2.087	-2.3285	-3.1805	-2.6025	-3.1585	-3.3875	-2.3945	-3.135	-1.7215	0.218	-0.5	-0.5765	-0.1075	-0.492	-0.867
"YGR034W"	0.591	0.223	-0.775	-2.251	-2.125	-2.191	-2.26	-3.059	-2.884	-0.845	1.008	1.165	-1.764	-1.034	-2.272	-1.25	-3.922	-3.172	-3.096	-2.637	-2.107	-2.998	-3.052	-6.281	-2.746	-1.028	-2.052	-3.268	-2.935	-2.282	-0.376	-0.499	-0.333	-0.191	-3.635	-2.067	-2.022	-2.01	-1.301	-1.401	-2.48	-0.252	-0.192	-0.518	-0.193	-1.283	-1.06	-0.157	-1.19	-1.586	-2.077	-1.514	-0.867	-1.605	-1.776	0.141	-1.469	-2.891	-1.611	-2.06	-2.708	-2.024	-2.451	-0.862	-2.186	-1.714	-2.986	-3.003	-4.347	-3.643	-2.741	-2.179	-1.784	0.239	-0.194	0.064	0.009	-0.071	-0.413
"YGR079W"	0.35	0.254	-3.894	-2.785	-4.644	-3.48	-2.556	-3.142	-2.355	-0.642	1.141	1.027	-1.664	-1.366	-1.003	-0.497	-3.414	-2.981	-1.325	-2.425	-0.983	-1.655	-0.848	-1.922	-1.323	-0.081	-0.747	-2.597	-2.126	-1.074	-0.729	0.115	0.192	-0.027	-0.503	-0.787	-0.398	-0.338	-0.11	0.041	-0.611	0.166	-0.483	-0.971	-0.343	-0.582	-2.203	-1.173	-0.953	-1.89	-2.09	-1.583	-1.187	-1.73	-1.993	-0.021	-1.583	0.105	-0.444	-0.329	-3.774	-2.557	-3.401	-2.499	-1.94	-1.17	-1.857	-2.988	-2.99	-2.303	-1.399	-0.04	-1.663	-0.26	-0.479	-0.99	-0.936	-1.062	-1.349
"YGR187C"	-0.115	-0.789	-3.135	-2.837	-0.1165	-2.2925	-1.6905	-2.126	-2.5625	-0.454	0.756	0.569	-1.843	0.251	-1.618	-0.433	-2.942	-2.082	-1.876	-1.392	-1.08	-1.208	-2.024	-3.678	-1.765	-0.073	-0.972	-2.234	-2.079	-1.08	-1.167	-0.067	-0.464	-0.407	-2.27	-1.613	-1.609	-1.84	-2.77	-2.482	-2.043	-0.139	-0.916	-1.181	-0.836	-1.047	-1.405	-0.675	-2.296	-1.448	-1.77	-1.27	-1.021	-1.439	-1.414	-0.221	-1.119	-1.413	-1.138	-0.594	-2.453	-2.082	-2.287	-1.638	-2.193	-1.306	-2.525	-2.662	-3.256	-2.5	-0.898	-1.778	-2.017	0.274	-0.555	-0.398	-0.487	-0.612	-0.176
"YGR245C"	-0.123	-0.952	-2.6095	-5.097	-5.457	-5.1995	-3.9345	-4.2355	-3.9115	-0.626	1.156	1.066	-2.202	-1.935	-2.429	-1.484	-4.207	-2.765	-2.396	-1.545	-1.475	-2.045	-2.482	-3.799	-3.177	-1.068	-1.517	-3.273	-2.711	-0.475	-2.187	-0.048	0.194	-0.4	-3.164	-2.228	-2.367	-2.154	-2.194	-2.446	-3.203	-0.692	-1.671	-1.863	-1.044	-1.078	-1.64	-0.59	-1.57	-1.451	-2.621	-2.539	-1.117	-2.046	-2.492	-0.15	-1.263	-1.672	-2.587	-1.375	-4.6765	NaN	-4.281	-2.645	-2.373	-2.036	-2.292	-2.575	-3.415	-2.535	-1.342	-0.854	-2.56	-0.261	-1.044	-0.794	-0.71	-1.186	-0.68
"YHL021C"	-0.591	0.432	5.6195	5.88	5.7395	5.508	4.666	5.5395	5.718	1.052	-3.339	-3.322	2.162	0.882	2.819	1.435	5.13	4.387	4.461	4.022	3.563	3.435	2.651	1.842	3.387	1.715	5.062	4.726	4.548	3.755	2.544	0.128	-0.701	-0.462	3.904	3.646	3.694	2.488	3.741	4.27	4.189	1.348	0.38	2.255	1.964	2.987	4.431	3.006	3.413	3.59	3.443	3.832	2.99	3.239	3.337	0.105	2.717	1.234	2.016	1.444	5.9365	4.794	6.107	5.446	5.07	3.393	6.428	4.596	6.624	4.847	4.725	3.995	3.841	0.03	1.572	1.952	1.786	1.855	2.244
"YHR010W"	0.669	0.665	-1.2885	-2.471	-1.8605	-2.255	-2.0245	-3.406	-3.8525	-0.678	1.068	0.826	-1.609	-0.82	-2.214	-1.401	-3.693	-3.281	-3.149	-2.926	-2.458	-3.025	-3.508	-4.514	-2.294	-1.125	-1.864	-3.343	-3.288	-3.007	-0.484	-0.381	-0.358	-0.172	-4.159	-2.399	-2.244	-2.541	-1.71	-2.032	-2.684	-0.346	-0.321	-0.571	-0.266	-1.584	-1.158	-0.011	-1.106	-1.441	-1.972	-1.452	-1.084	-1.912	-1.667	-0.065	-2.412	-3.231	-0.975	-1.53	-3.0485	-1.93	-2.868	-1.146	-2.166	-1.183	-3.363	-2.267	-3.56	-2.961	-1.715	-2.978	-1.777	0.418	-0.077	0.292	0.1	-0.005	0.0
"YHR141C"	0.302	0.611	-1.2265	-2.292	-1.703	-1.6565	-2.4395	-2.726	-3.094	-0.476	1.451	0.967	-0.903	-0.017	-1.998	-0.803	-2.32	-2.364	-2.143	-1.635	-1.491	-1.631	-2.472	-3.64	-2.495	-0.517	-1.502	-2.31	-2.677	-2.575	-0.2	-0.034	0.079	0.401	-2.888	-1.591	-1.753	-1.569	-1.819	-1.838	-2.014	0.238	-0.518	-0.064	-0.557	-1.618	-0.613	0.207	-1.212	-1.298	-1.818	-1.192	-0.506	-1.568	-1.745	-0.174	-1.582	-2.268	-1.283	-1.76	-3.0435	-1.416	-2.364	-1.307	-1.851	-1.767	-3.763	-2.729	-3.686	-3.203	-2.487	-2.359	-1.609	0.378	-0.148	0.343	0.228	0.078	-0.061
"YHR148W"	0.463	0.137	-1.6105	-3.0225	-1.8445	-2.0375	-2.8705	-3.2345	-2.692	-0.267	1.341	0.758	-1.426	0.03	-1.706	-0.369	-3.086	-1.904	-1.665	-1.259	-1.042	-1.63	-2.321	-3.377	-1.802	-0.207	-1.649	-1.557	-1.816	-0.327	-1.354	0.178	-0.275	-0.005	-1.58	-0.968	-0.949	-0.812	-0.851	-0.995	-0.267	0.387	-0.87	-1.355	-0.981	-0.662	-2.068	-1.049	-1.697	-2.063	-2.43	-1.54	-1.509	-2.013	-1.969	0.429	-1.486	-0.508	-0.852	-0.79	-3.95	-2.946	-2.565	-2.119	-2.035	-1.764	-1.681	-1.749	-2.893	-1.982	-1.373	-1.562	-1.811	0.169	-0.765	-0.339	-0.412	-0.482	-0.588
