	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"13070.Ca/Ca+FK 15min (2)"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YDR064W"	1.178	0.993	-0.243	-3.874	-3.241	-2.585	-2.577	-2.639	-2.597	-3.761	-5.03	-2.511	-2.228	-2.718	-2.943	-2.527	-2.531	-3.199	0.351	-0.285	-0.0555	-0.36	-0.734	0.137	-1.489	-1.026	-2.324	-1.878	-1.996	0.6125	0.142	0.0105	0.4715	0.3675	0.4945	-1.3945	-1.471	-1.701	-1.779	-1.751	-1.635
"YDR071C"	0.498	0.462	0.434	0.37	-0.7	-0.661	-0.825	-1.203	-1.492	-2.459	-4.374	-0.581	-0.648	-0.696	-0.953	-1.937	-3.125	-2.557	0.182	0.123	0.175	0.015	-0.076	0.282	-0.108	-0.143	-0.318	-0.491	-1.47	-0.032	0.061	0.139	0.24	0.231	0.224	-1.753	-1.866	-1.903	-2.259	-0.711	-2.091
"YDR076W"	-0.608	0.215	0.208	1.087	1.409	1.842	1.842	1.414	1.889	1.053	1.212	1.065	0.626	0.75	0.755	0.645	0.826	0.694	-0.521	0.073	0.0535	0.236	0.143	-0.303	1.42	1.264	1.297	1.246	0.732	0.337	0.116	0.203	0.025	-0.159	0.186	1.07	1.581	1.733	1.19	1.435	1.09
"YDR091C"	0.962	0.996	-0.671	-3.288	-2.045	-1.789	-1.68	-1.547	-1.362	-3.384	-4.4	-2.03	-1.631	-1.728	-2.044	-2.636	-3.222	-3.423	0.006	0.041	-0.2525	0.11	-0.898	-0.04	-2.074	-1.731	-1.652	-1.604	-1.376	0.136	-0.013	-0.028	-0.385	-0.362	0.006	-2.627	-2.36	-2.595	-1.098	-2.9	-1.659
"YDR101C"	1.358	1.377	-0.561	-4.306	-3.203	-3.082	-2.55	-2.315	-2.948	-4.145	-4.667	-1.752	-2.005	-1.96	-2.252	-2.862	-3.177	-3.516	0.113	-0.128	-0.248	0.107	-1.27	-0.233	-2.352	-1.867	-2.477	-2.261	-2.013	-0.222	0.204	0.01	-0.578	-0.547	0.016	-2.827	-2.477	-2.576	-2.129	-3.128	-2.094
"YDR161W"	0.387	1.259	-0.325	-4.61	-2.37	-2.197	-2.192	-1.24	-2.356	-2.842	-4.816	-0.877	-1.46	-1.406	-1.537	-2.298	-2.511	-2.286	0.153	-0.554	0.2925	0.168	-0.653	0.015	-0.995	-0.846	-1.549	-1.617	-1.526	0.26	0.173	0.341	-0.31	-0.403	-0.32	-1.006	-1.144	-1.806	-2.259	-1.824	-1.36
"YDR176W"	0.117	-0.023	-0.159	0.574	0.515	1.204	0.825	1.059	0.558	-1.115	-2.124	-0.152	0.302	0.32	0.343	-0.624	-1.183	-0.823	-0.234	0.193	0.097	-0.149	0.392	-0.124	0.731	0.39	1.106	0.639	0.3585	-0.188	0.125	0.1255	0.0245	-0.073	-0.1575	0.9965	0.963	0.9775	0.403	0.337	0.5405
"YDR233C"	0.702	0.443	-0.06	-0.276	0.153	-0.81	-0.675	-0.513	-1.091	-2.587	-3.48	-1.566	-0.294	-0.467	-0.606	-2.047	-2.27	-2.451	0.202	0.055	-0.062	0.064	-0.897	0.175	-0.934	-0.494	-0.909	-0.675	-0.709	0.3765	-0.0985	0.013	0.2795	0.2705	0.184	-1.671	-2.0785	-2.1955	-0.864	-1.8	-1.9495
"YDR245W"	0.6025	0.504	-0.4725	0.179	-1.6455	-1.349	-1.899	-1.947	-1.19	-1.932	-3.6715	-1.5755	-1.4375	-1.4085	-1.39	-1.7115	-2.2845	-2.201	NaN	-0.0335	-0.15	0.0415	-0.7845	0.047	-0.7865	-0.801	-0.7905	-1.01	-1.29866666666667	0.0296666666666667	0.198	0.169333333333333	0.00966666666666667	-0.0213333333333333	0.00233333333333333	-1.06033333333333	-1.21633333333333	-1.672	-1.79366666666667	-1.20233333333333	-2.03466666666667
"YDR341C"	0.688	0.703	-0.975	-3.559	-2.27	-1.485	-1.763	-1.574	-1.681	-3.212	-5.262	-2.134	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	0.152	0.178	0.174	0.1	-1.081	0.023	-2.215	-1.98	-1.833	-1.888	-1.562	0.487	0.041	0.102	-0.301	-0.3	-0.332	-1.986	-3.202	-3.139	-1.96	-2.088	-2.352
"YDR382W"	1.065	1.111	-0.522	-2.138	-2.015	-2.237	-1.342	-1.738	-1.546	-2.459	-5.686	-2.776	-2.332	-2.897	-2.877	-2.565	-3.137	-3.471	0.211	-0.041	0.342	0.555	-0.669	0.007	-0.639	-0.637	-0.979	-1.369	-1.905	0.578	0.316	0.475	0.195	0.202	0.318	-2.23	-2.352	-2.566	-1.788	-2.43	-2.838
"YDR385W"	0.964	0.949	-0.853	-2.252	-1.858	-1.887	-1.775	-1.783	-1.985	-3.158	-5.463	-1.065	-1.038	-1.431	-1.529	-1.848	-2.214	-3.65	0.207	0.612	0.229	-0.147	0.046	0.076	-1.417	-1.352	-1.462	-1.335	-1.86	0.158	-0.018	-0.111	-0.428	-0.02	-0.615	-2.561	-3.868	-3.422	-2.794	-2.877	-2.375
"YDR429C"	1.021	0.747	-0.111	-2.84	-2.516	-2.442	-2.563	-1.914	-2.02	-1.165	-3.313	-0.64	-1.899	-1.916	-2.126	-1.576	-1.579	-1.738	-0.12	0.033	-0.199	-0.031	-1.012	0.031	-2.142	-1.436	-2.121	-2.023	-2.084	0.329	-0.121	-0.046	0.228	0.129	-0.027	-2.018	-2.161	-2.958	-2.88	-3.064	-2.112
"YDR447C"	1.205	1.022	-0.83	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-5.332	-2.813	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	-0.061	0.04	-0.1	0.176	-0.582	0.458	-2.33	-1.793	-2.456	-2.291	-2.1165	0.765	0.5775	0.304	0.3055	0.0755	0.512	-0.807	-2.603	-2.5185	-2.652	-2.1805	-2.4665
"YEL015W"	-0.181	0.0	-0.039	0.171	-0.232	0.216	-0.008	-0.479	-0.694	-2.25	-2.076	-0.365	-0.444	-0.869	-0.511	-0.71	-1.26	-0.232	0.007	-0.031	0.189	-0.033	0.19	-0.088	-0.032	0.071	0.087	0.219	-0.387	-0.2955	-0.201	-0.153	-0.1905	-0.186	-0.358	-1.2605	-1.127	-1.429	-1.0655	-1.684	-1.24
"YEL040W"	0.687	0.681	-1.092	-3.201	-3.812	-3.508	-3.911	-4.238	-3.616	-3.786	-4.551	-3.347	-4.284	-4.461	-3.561	-3.111	-3.855	-3.066	0.044	-0.073	-0.363	-0.591	-0.594	-0.115	-1.21	-0.969	-1.528	-1.389	-3.1215	-0.482	-0.113	-0.1205	-0.205	-0.301	0.191	-2.901	-2.1515	-2.8375	-2.6615	-2.2145	-2.394
"YER006W"	1.191	0.969	-0.986	-4.011	-2.738	-2.065	-2.285	-1.487	-2.061	-2.345	-4.571	-1.673	-1.622	-2.01	-1.682	-2.195	-2.03	-3.232	0.049	0.166	-0.345	-0.159	-1.321	-0.234	-2.718	-2.356	-2.241	-2.757	-1.125	0.4125	0.1695	0.2635	-0.584	-0.385	-0.1275	-1.7425	-1.146	-1.504	-1.2425	-2.6585	-1.589
"YER031C"	0.517	0.594	-0.347	-0.898	-1.016	-0.637	-1.025	-1.399	-1.638	-1.835	-4.144	-1.251	-0.227	-0.58	-0.58	-0.886	-1.885	-1.955	0.0	-0.173	0.029	-0.006	-0.137	0.285	-0.535	-0.301	-1.215	-0.949	-1.034	0.038	-0.099	0.216	0.406	0.571	0.258	-0.641	-0.998	-1.07	-1.621	-1.746	-1.709
"YER055C"	1.085	1.029	-0.068	-3.198	-2.991	-2.662	-2.51	-2.576	-1.65	-2.242	-5.075	-2.025	-1.572	-1.841	-1.202	-1.279	-2.06	-2.707	0.336	0.477	0.253	0.041	-0.294	0.143	-2.731	-1.65	-2.402	-2.442	-2.391	0.68	-0.081	-0.061	0.383	0.302	-0.268	-2.111	-1.346	-1.227	-1.943	-1.658	-1.33
"YFR028C"	0.695	0.506	-0.256	-1.14	-1.025	-0.58	-0.627	-1.456	-0.875	-2.027	-4.271	-1.037	-0.829	-1.142	-1.447	-1.092	-1.864	-1.575	-0.128	0.131	-0.072	0.191	-0.065	0.047	0.269	0.278	0.412	0.43	-1.1065	0.01	0.1125	0.0205	0.014	5.0E-4	0.1975	-0.839	-0.5045	-1.319	-2.0155	-1.38	-0.713
"YGL030W"	1.262	1.167	-0.828	-3.613	-2.888	-2.582	-1.861	-2.363	-2.008	-3.668	-5.484	-2.6	-2.059	-2.592	-2.534	-1.668	-2.044	-3.011	0.199	-0.106	0.133	-0.101	-0.467	-0.008	-1.538	-1.155	-1.841	-2.095	-1.6485	0.6475	0.269	0.2045	0.271	0.242	0.4565	-1.7385	-1.7925	-2.2635	-1.561	-2.1535	-1.241
"YGL031C"	1.133	1.047	-0.862	-3.366	-4.285	-3.732	-2.9	-1.846	-3.104	-3.683	-5.763	-3.063	-2.42	-2.475	-2.899	-2.92	-3.061	-3.473	0.308	0.12	0.117	0.114	-0.255	0.194	-2.226	-1.763	-2.016	-1.743	-2.655	0.461	0.165	0.267	0.077	-0.045	0.237	-1.243	-1.623	-2.49	-1.071	-1.421	-1.852
"YGL099W"	0.834	0.843	-0.368	-3.43	-2.011	-2.123	-1.774	-2.004	-2.335	-2.895	-5.764	-1.291	-1.738	-1.805	-1.984	-2.516	-3.273	-3.42	0.124	-0.19	-0.31	0.157	-0.339	-0.013	-1.31	-0.941	-1.384	-1.23	-2.114	0.408	0.023	0.075	-0.256	-0.246	-0.227	-1.837	-1.194	-0.896	-1.465	-0.864	-1.769
"YGL123W"	1.27	1.264	-0.807	-3.781	-3.757	-3.726	-3.265	-2.802	-3.62	-4.004	-5.982	-3.701	-2.071	-2.414	-2.278	-2.388	-2.65	-3.558	0.497	-0.336	0.42	0.027	-0.514	0.274	-2.323	-2.087	-2.138	-2.024	-2.357	0.634	0.421	0.408	0.356	0.221	0.429	-1.946	-1.262	-1.944	-2.434	-2.333	-2.058
"YGL135W"	1.167	1.101	-0.854	-3.221	-2.573	-2.455	-2.548	-2.301	-2.942	-3.418	-5.687	-3.119	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	0.502	-0.295	-0.246	-0.045	-0.656	0.176	-2.546	-2.004	-2.237	-2.539	-2.233	0.718	0.551	0.488	0.286	0.108	0.333	-2.952	-2.219	-2.349	-2.729	-1.685	-3.256
"YGL147C"	1.427	1.186	-1.071	-3.892	-3.111	-3.32	-3.389	-2.422	-3.896	-3.921	-7.507	-3.466	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	0.343	-0.329	-0.229	0.326	-0.625	0.431	-2.522	-2.212	-2.365	-2.897	-2.532	0.91	0.7	0.778	0.097	-0.08	0.415	-3.054	-2.675	-2.553	-2.436	-2.63	-3.298
"YGL231C"	0.846	0.534	0.019	-0.43	-0.57	-0.528	-0.78	-0.521	-0.906	-1.893	-3.788	-0.85	-0.64	-0.361	-0.357	-1.455	-1.7	-1.822	0.052	0.162	0.167	-0.082	-0.407	0.153	0.393	0.181	-0.001	-0.27	-0.525	0.486	0.357	0.37	0.225	0.37	0.291	-1.747	-1.154	-1.364	-1.064	-1.058	-1.687
"YGR027C"	1.159	1.017	-0.705	-3.433	-2.572	-1.843	-1.632	-1.57	-1.697	-2.797	-5.39	-2.612	-1.612	-1.779	-1.889	-1.187	-1.867	-2.368	0.162	0.662	0.642	0.238	-0.355	0.319	-1.308	-1.106	-1.482	-1.504	-1.824	0.796	0.235	0.274	0.313	0.128	0.355	-1.135	-2.379	-1.549	-2.133	-1.965	-1.517
"YGR061C"	0.2555	0.2595	-0.4115	-1.1505	-1.4555	-1.015	-1.0655	-1.003	-1.6865	-2.8345	-3.447	-1.048	-1.1355	-1.7575	-1.891	-1.7885	-1.6345	-2.528	-0.344	0.231	0.0825	-0.0275	0.1655	-0.2455	-1.631	-1.904	-0.4785	-0.566	0.329	-0.073	-0.187	-0.206	-0.03	-0.1255	0.265	-2.215	-2.278	-1.68	-1.48	-1.8825	-1.3055
"YGR118W"	1.216	0.973	-0.445	-2.621	-2.692	-2.681	-2.455	-2.097	-1.993	-2.204	-5.471	-2.183	-1.903	-1.997	-2.117	-1.76	-2.214	-3.141	0.138	-0.009	-0.016	0.229	-0.411	0.3825	-1.737	-1.367	-1.832	-1.647	-2.095	0.628	0.2235	0.2275	0.227	0.1355	0.346	-2.046	-1.282	-1.9475	-2.2295	-2.0795	-1.421
"YGR119C"	0.644	0.419	-0.049	-0.136	-0.242	-0.13	-0.018	0.23	-0.707	-1.721	-3.791	-0.968	-0.752	-0.671	-0.753	-0.707	-1.376	-1.087	0.02	0.084	0.229	-0.134	0.082	-0.003	0.103	-0.12	0.295	0.201	-0.7635	0.1785	0.1575	0.168	-0.0915	0.145	-0.2315	-1.23	-0.7875	-1.395	-1.603	-2.0375	-0.838
"YGR148C"	1.076	0.859	-1.095	-3.45	-3.596	-3.464	-3.033	-2.31	-2.615	-3.884	-5.757	-2.956	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	0.127	0.13	0.201	0.022	-0.24	0.25	-2.108	-1.621	-1.901	-1.746	-2.7095	0.5395	0.014	0.0495	0.2355	0.107	0.098	-1.466	-1.5835	-1.8265	-1.9105	-1.6245	-1.9535
"YGR214W"	1.051	0.967	-0.927	-4.3	-2.826	-2.795	-2.24	-1.862	-2.776	-3.03	-5.16	-2.7	-1.984	-2.119	-1.46	-0.955	-1.925	-3.246	0.302	-0.233	0.007	0.128	-0.469	0.356	-2.222	-1.645	-2.061	-1.791	-1.905	0.729	0.396	0.496	0.247	0.26	0.243	-1.289	-2.049	-2.769	-1.662	-2.078	-2.448
"YHR128W"	1.092	0.833	-0.741	-4.359	-3.335	-2.68	-3.111	-3.159	-3.742	-4.967	-6.006	-3.361	-2.425	-3.051	-3.482	-3.191	-3.494	-3.516	0.195	-0.218	-0.976	0.062	-1.564	0.0725	-1.948	-1.706	-1.979	-2.009	-1.769	0.916	0.27	0.315	0.724	0.559	0.384	-3.173	-2.944	-3.448	-3.644	-3.711	-4.039
"YHR201C"	0.563	0.454	0.268	-0.362	-0.829	-1.539	-1.634	-2.046	-1.721	-1.811	-4.155	-1.009	-1.228	-1.193	-1.428	-1.103	-1.632	-2.134	-0.078	-0.227	0.236	-0.051	-0.51	-0.014	-0.259	-0.196	-0.349	-0.385	-1.989	0.169	0.075	0.042	0.151	0.127	-0.169	-2.032	-2.503	-1.963	-1.803	-1.503	-2.003
"YHR203C"	1.231	1.011	-0.754	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-5.944	-3.412	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	0.219	-0.367	0.242	0.264	-0.357	0.204	-2.455	-1.726	-2.243	-1.865	-2.302	0.651	0.073	0.156	0.281	0.125	0.258	-1.873	-2.602	-2.385	-2.351	-1.792	-2.356
"YHR216W"	1.01	0.917	-0.463	-2.62	-2.056	-2.143	-1.201	-1.128	-2.045	-3.15	-4.943	-3.038	-0.935	-2.088	-2.767	-2.237	-2.621	-2.913	-0.225	-0.039	0.148	0.163	-0.198	0.1095	-1.597	-1.137	-1.652	-1.444	-1.783	0.513	0.071	-0.039	-0.213	-0.115	-0.27	-2.215	-2.531	-3.136	-2.892	-3.571	-3.232
"YIL018W"	1.253	1.177	-1.096	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-3.056	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	0.301	-0.261	0.19	-0.233	-0.823	0.074	-1.963	-1.389	-2.403	-4.283	-2.495	0.579	0.22	0.186	0.288	0.203	0.384	-1.868	-1.447	-2.534	-1.725	-1.992	-2.409
"YIL020C"	0.637	0.642	0.109	-1.861	-1.374	-1.435	-1.753	-1.542	-1.241	-2.251	-3.447	-0.702	-1.062	-1.134	-1.135	-1.853	-1.943	-1.728	0.186	0.204	0.224	-0.158	-0.462	-0.0545	-0.75	-0.514	-0.972	-0.345	-1.289	0.385	0.245	0.206	0.463	0.419	0.319	-1.614	-0.398	-0.964	-1.371	-1.504	-1.836
"YIL052C"	1.095	0.998	-0.646	-3.856	-3.261	-2.954	-2.61	-2.22	-3.178	-2.895	-6.278	-2.559	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	0.265	0.126	0.257	0.24	-0.392	0.236	-1.273	-0.905	-1.141	-1.223	-1.743	0.798	0.302	0.266	0.23	0.147	0.595	-0.897	-2.091	-1.332	-1.838	-0.85	-0.966
"YIL078W"	0.897	0.771	-0.856	-2.907	-2.075	-2.018	-2.219	-2.498	-1.911	-5.192	-6.059	-2.5	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.017	0.181	-0.049	0.141	-0.506	0.1345	-1.737	-1.78	-1.447	-1.466	-2.348	0.344	0.305	0.336	-0.401	-0.293	-0.202	-1.36	-2.063	-2.818	-2.344	-3.662	-2.433
"YIR012W"	1.162	0.869	-0.225	-4.7	-3.151	-2.338	-2.719	-2.544	-2.595	-3.791	-4.69	-2.137	-1.366	-1.684	-1.486	-1.547	-2.217	-2.528	0.111	-0.318	-0.162	0.194	-0.968	0.0135	-2.396	-1.897	-2.158	-2.125	-1.751	0.396	-0.138	0.062	-0.158	-0.123	-0.303	-2.658	-1.857	-3.403	-2.956	-1.67	-2.629
"YJL002C"	0.0	0.367	0.09	-1.243	-1.923	-1.637	-1.454	-1.243	-1.658	-2.469	-4.487	-1.766	-0.838	-0.942	-1.17	-1.748	-2.556	-2.618	0.157	0.161	0.181	-0.075	-0.106	0.138	-0.544	-0.479	-0.63	-0.436	-1.272	-0.011	0.165	0.164	0.065	0.091	0.009	-1.208	-1.172	-2.38	-1.902	-3.091	-2.224
"YJL008C"	0.613	0.702	0.193	-1.55	-2.184	-1.244	-1.301	-1.15	-2.213	-1.423	-4.824	-1.406	-0.919	-0.666	-0.879	-0.839	-1.61	-1.722	0.029	-0.012	0.217	-0.13	-0.007	0.024	-0.896	-0.518	-0.781	-0.293	-2.239	0.191	0.007	-0.207	0.189	0.455	-0.29	0.097	-0.75	-0.56	-1.025	-2.32	-1.314
"YJL069C"	1.0	0.854	-0.713	-4.742	-2.843	-2.261	-2.587	-2.233	-2.386	-3.072	-6.298	-2.033	-1.774	-1.863	-1.855	-1.613	-1.653	-2.017	-0.013	-0.255	-0.32	-0.09	-0.685	-0.174	-2.329	-1.711	-2.035	-1.743	-0.549	0.299	-0.103	0.114	-0.363	-0.4	0.178	-2.407	-1.973	-2.789	-3.229	-2.615	-3.111
"YJL109C"	0.335	0.3375	-0.83	-2.165	-1.7305	-1.4565	-1.5415	-0.849	-1.647	-2.408	-2.278	-1.009	-2.2595	-2.532	-2.726	-3.225	-3.2785	-3.3735	-0.242	0.463	-0.3015	-0.025	-0.3985	-0.0193333333333333	-1.2615	-1.151	-0.6225	-0.641	-1.6855	0.1295	0.0995	0.1595	-0.121	-0.019	-0.263	-2.1535	-2.0845	-1.9915	-2.6275	-1.9955	-2.1055
"YJL167W"	0.581	0.156	0.187	-0.95	-0.387	-0.252	-0.611	-1.069	-0.982	-2.323	-7.538	-1.667	0.288	-0.704	-0.897	-2.066	-2.855	-2.924	0.031	0.062	0.037	-0.056	-0.093	0.2745	-0.336	-0.227	-0.551	-0.857	-0.698	0.063	-0.068	-0.225	-0.066	-0.155	-0.316	-1.907	-2.638	-2.232	-3.372	-3.705	-1.151
"YJL177W"	1.302	1.042	-0.717	-4.132	-3.846	-3.2	-2.981	-0.605	-2.747	-3.255	-5.49	-3.428	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	0.263	0.11	0.264	0.25	-0.537	0.352	-2.129	-1.64	-2.455	-2.061	-2.348	0.728	0.107	0.093	0.336	0.2	0.479	-1.197	-3.497	-1.949	-2.596	-1.541	-1.624
"YJL188C"	1.008	1.159	-0.874	-2.525	-2.39	-2.043	-1.864	-1.323	-1.808	-2.786	-4.633	-2.519	-1.897	-1.885	-1.929	-2.169	-2.54	-2.776	0.223	-0.154	-0.289	0.017	0.011	0.2065	-1.518	-1.071	-1.135	-1.4	-1.525	0.568	0.278	0.316	0.062	0.067	0.414	-1.943	-1.485	-1.412	-2.083	-1.571	-1.667
"YJL189W"	1.089	0.91	-0.691	-3.545	-2.317	-2.319	-2.282	-1.647	-1.644	-2.901	-4.28	-1.716	-1.87	-1.78	-2.141	-1.577	-2.282	-2.837	0.052	0.038	-0.214	-0.058	-0.046	0.1395	-1.438	-1.127	-1.552	-1.383	-1.034	0.746	0.175	0.302	0.254	0.199	0.235	-2.178	-2.1	-1.431	-2.298	-2.053	-2.524
"YJL190C"	1.36	1.453	-1.094	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-6.079	-3.536	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	0.252	0.086	0.362	0.048	-0.463	0.2805	-2.412	-1.772	-2.255	-2.211	-2.43	0.839	0.457	0.454	0.054	0.056	0.478	-2.48	-2.383	-2.905	-2.64	-1.849	-2.584
