	"29.alpha factor release sample016"	"35.alpha factor release sample015"	"37.alpha factor release sample018"	"49.Elutriation2:Sample2:Time0.0hrs"	"52.Elutriation2:Sample2:Time1.5hrs"	"78.cdc 15 010 min"	"497.Heat Shock 000 minutes"	"634.Elutriation2:Sample2:Time6.5hrs"	"650.alpha factor release sample017"	"651.alpha factor release sample019"	"781.Heat Shock 000 minutes (series 2)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"2141.Elutriation2:Sample2:Time1.0hrs"	"2142.cdc15 110 min"	"4872.1M sorbitol - 60 min"	"8213.steady state 36 dec C"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YDR064W"	-0.142	-0.191	-0.223	-1.077	0.576	-0.3075	1.178	0.054	-0.047	0.086	0.993	-0.36	-3.874	-3.241	-2.585	-2.577	-3.761	-5.03	-3.208	-3.138	-2.511	-2.495	-3.65	-2.228	-2.718	-2.943	-2.527	-2.531	-3.199	-0.006	0.108	-0.028	0.1225	-0.36	-0.127	-1.996	-2.588	-2.002	-0.604	-1.7135	-0.9425	-1.53	-1.4985	-1.31	-2.292	-2.803	-2.319	-2.891	-2.804	-2.287	-2.842
"YDR091C"	0.115	-0.403	0.3	-0.759	0.465	0.406	0.962	-0.265	-0.071	-0.465	0.996	-0.21	-3.288	-2.045	-1.789	-1.68	-3.384	-4.4	-2.925	-2.268	-2.03	-2.498	-2.971	-1.631	-1.728	-2.044	-2.636	-3.222	-3.423	0.15	0.507	-0.014	0.062	0.11	-0.176	-1.376	-2.31	-1.977	-1.02	-0.813	-1.036	-1.136	-1.094	-1.21	-3.117	-2.299	-1.712	-2.953	-2.242	-1.817	-1.095
"YDR165W"	-0.052	-0.416	-0.051	-0.868	0.208	0.662	0.933	-0.153	-0.239	-0.59	1.095	-0.159	-4.096	-2.538	-2.179	-2.247	-3.111	-5.309	-3.015	-2.243	-1.636	-1.883	-3.057	-1.816	-1.396	-1.582	-1.767	-2.409	-2.23	0.317	0.217	-0.03	-0.078	-0.044	0.05	-1.0245	-1.555	-0.764	-0.7325	-0.7515	-0.8035	-1.6785	-0.859	-0.6595	-2.479	-2.722	-1.934	-3.205	-2.632	-2.085	-2.255
"YDR382W"	0.493	0.056	0.362	0.285	0.946	-0.45	1.065	0.664	-0.081	-0.108	1.111	-0.105	-2.138	-2.015	-2.237	-1.342	-2.459	-5.686	-1.95	-2.886	-2.776	-2.394	-4.02	-2.332	-2.897	-2.877	-2.565	-3.137	-3.471	0.383	0.522	1.268	0.295	0.555	0.259	-1.905	-3.213	-2.461	-2.021	-2.642	-2.38	-2.465	-2.542	-2.194	-3.02	-2.308	-2.018	-2.783	-2.473	-2.08	-2.899
"YDR417C"	0.329	0.077	0.084	-0.348	0.733	-1.162	1.045	0.237	NaN	0.314	0.832	0.305	-3.705	-2.778	-2.992	-2.407	-4.279	-5.062	-3.58	-3.209	-2.864	-2.95	-4.223	-2.458	-2.573	-2.986	-2.861	-3.022	-3.606	0.095	0.144	0.566	-1.497	0.078	-0.119	-2.149	0.189	-2.343	-2.109	-2.113	-1.908	-1.889	-2.037	-1.934	-3.553	-2.61	-1.768	-3.585	-3.332	-2.261	-2.404
"YDR418W"	0.212	0.126	0.178	-0.416	0.809	-0.076	1.215	0.267	0.205	0.296	1.21	0.005	-3.707	-3.13	-2.7	-2.237	-3.074	-5.866	-3.315	-3.181	-2.797	-2.605	-4.449	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	0.167	0.153	0.653	0.536	0.253	-0.282	-2.345	-3.879	-2.678	-2.181	-2.336	-1.931	-2.168	-2.252	-1.729	-4.005	-2.423	-1.873	-3.263	-3.057	-2.027	-3.381
"YEL054C"	0.395	-0.048	0.453	-0.558	0.76	-1.415	1.093	0.317	-0.325	-0.226	1.203	-0.191	-3.654	-2.711	-2.761	-1.871	-2.98	-7.056	-3.039	-3.52	-3.003	-2.232	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	0.46	0.582	0.96	0.158	0.091	-0.107	-2.202	-3.541	-2.696	-1.457	-0.843	-1.543	-1.681	-1.0095	-1.0365	-4.422	-2.487	-3.239	-3.815	-2.936	-2.194	-2.75
"YER055C"	0.115	0.305	-0.14	-0.295	0.39	-0.1825	1.085	-0.05	NaN	0.169	1.029	-0.202	-3.198	-2.991	-2.662	-2.51	-2.242	-5.075	-0.301	-1.722	-2.025	-2.064	-0.64	-1.572	-1.841	-1.202	-1.279	-2.06	-2.707	0.433	0.307	-0.234	-0.154	0.041	-0.512	-2.391	-1.428	-1.916	-1.54	-1.108	-1.765	-1.269	-1.481	-1.887	-2.631	-2.627	-1.803	-2.981	-2.572	-2.387	-1.609
"YER117W"	0.208	-0.031	0.241	-0.599	0.687	-0.286	1.276	0.448	-0.229	-0.285	1.391	-0.19	-2.982	-2.613	-2.377	-1.817	-2.832	-5.642	-3.05	-3.141	-2.843	-2.483	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.347	0.39	0.757	0.499	0.308	0.291	-1.876	-2.734	-1.852	-2.231	-1.4345	-2.3395	-2.312	-2.2055	-1.8655	-3.319	-2.632	-2.403	-3.238	-3.345	-2.147	-2.128
"YFL001W"	-0.1745	-0.041	0.1045	-0.0735	0.279	1.008	0.454	-0.234	-0.411	-0.1525	0.3175	-0.0165	-1.1485	-0.863	-0.7635	-0.53	-0.973	-3.684	-0.4645	-0.2435	-0.2395	-1.032	-0.682	-0.425	-0.614	-0.8135	-0.5555	-1.229	-1.2565	0.0825	0.0985	0.209	0.0785	0.106	0.128	-0.5	-0.311	-0.472	-0.239666666666667	-0.207	-0.352666666666667	0.0863333333333333	0.0413333333333333	-0.434666666666667	-0.2705	-0.8095	-1.003	-0.9165	-1.241	-0.531	-0.817
"YGL076C"	-0.132	-0.032	-0.223	-0.443	0.542	-0.42	1.317	0.05	-0.192	0.077	1.147	-0.206	-3.969	-3.136	-2.73	-2.564	-3.976	-5.667	-3.32	-2.996	-2.857	-1.957	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	0.18	0.051	0.313	0.135	-0.016	-0.432	-1.8735	-2.969	-2.237	-1.71533333333333	-2.02033333333333	-1.996	-1.935	-1.64166666666667	-1.78433333333333	-4.003	-3.509	-2.778	-3.347	-3.315	-2.544	-2.894
"YGL135W"	0.435	0.215	0.402	-0.125	1.179	-0.223	1.167	0.085	0.094	-0.11	1.101	-0.02	-3.221	-2.573	-2.455	-2.548	-3.418	-5.687	-3.217	-3.23	-3.119	-2.071	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	0.274	0.527	0.896	0.264	-0.045	-0.477	-2.233	-3.473	-2.732	-2.193	-2.147	-2.329	-2.382	-2.336	-2.1295	-3.443	-2.903	-2.236	-3.617	-3.009	-1.968	-2.509
"YGL147C"	0.018	0.211	-0.046	-0.062	1.065	-0.162	1.427	-0.081	-0.001	0.235	1.186	0.128	-3.892	-3.111	-3.32	-3.389	-3.921	-7.507	-3.0	-3.753	-3.466	-3.166	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	0.278	0.336	0.404	-0.294	0.326	-0.087	-2.532	-3.553	-2.765	-3.366	-2.845	-2.44	-3.9735	-3.5525	-2.253	-3.1805	-2.6025	-3.0	-3.1585	-3.3875	-2.3945	-3.135
"YGL173C"	-0.0625	0.0025	-0.0685	-0.264	-0.3875	-0.2	-0.063	-0.2055	0.0435	0.172	-0.2885	0.052	0.045	0.1575	0.423	-0.086	-0.041	-2.2335	-0.3585	-0.6575	-0.1095	-0.963	-0.434	-0.8205	-1.4025	-1.3675	-1.9365	-1.9345	-1.9675	-0.2135	0.222	-0.5565	-0.171	-0.032	-0.625	-0.777	-0.9835	-1.326	-0.3325	-0.6815	-0.1715	-0.316	-0.143	-0.01	0.4545	0.05	-0.664	0.0195	-0.142	-0.0445	-0.4505
"YGR085C"	0.195	-0.091	0.268	-0.14	0.939	0.228	1.473	0.156	-0.141	0.039	1.133	0.434	-3.713	-3.301	-2.511	-2.202	-3.406	-6.059	-3.071	-3.255	-3.013	-2.215	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.444	0.573	0.765	0.665	0.278	-0.153	-2.156	-2.722	-2.078	-1.729	-1.502	-2.19	-1.734	-1.815	-1.935	-4.004	-2.792	-2.272	-3.45	-3.003	-2.048	-1.785
"YGR118W"	-0.008	0.017	-0.016	-0.604	0.585	0.11	1.216	-0.382	0.028	0.184	0.973	0.078	-2.621	-2.692	-2.681	-2.455	-2.204	-5.471	-2.458	-2.209	-2.183	-2.326	-3.851	-1.903	-1.997	-2.117	-1.76	-2.214	-3.141	0.078	0.165	0.224	0.56	0.229	-0.33	-2.095	-1.851	-1.232	-1.7625	-1.576	-2.0465	-1.9165	-1.8975	-1.74	-2.477	-2.162	-1.82	-2.13	-2.249	-1.697	-1.94
"YGR148C"	-0.069	0.025	0.254	-0.668	0.717	0.225	1.076	-0.416	0.16	0.132	0.859	-0.248	-3.45	-3.596	-3.464	-3.033	-3.884	-5.757	-3.141	-3.011	-2.956	-2.722	-5.063	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	-0.113	0.328	0.132	0.549	0.022	-0.509	-2.7095	-3.258	-1.848	-2.029	-2.6695	-2.0235	-2.344	-2.332	-1.92	-3.53	-2.779	-2.133	-3.103	-2.693	-1.897	-2.334
"YHR082C"	0.058	0.082	-0.1	0.601	-0.117	0.209	-0.949	-0.088	0.211	0.298	-0.76	-0.043	0.43	1.254	1.142	1.05	1.345	-0.695	2.581	0.874	1.052	0.531	0.57	0.571	1.169	1.174	0.527	0.301	0.094	0.086	0.368	-0.067	-0.222	-0.04	0.294	1.012	0.873	0.71	0.709	0.389	0.434	0.691	0.662	0.497	1.349	0.697	0.784	0.672	1.036	0.793	1.093
"YIL110W"	-0.194	-0.37	0.139	-0.199	-0.113	0.595	1.05	-0.221	0.037	0.167	0.92	-0.265	-2.095	-1.733	-1.333	-1.395	-2.455	-3.072	-1.151	-1.135	-1.042	-1.689	-2.093	-1.381	-1.354	-1.444	-1.775	-2.473	-2.492	0.007	-0.161	-0.178	0.236	-0.125	-0.143	-1.14	-0.821	-1.012	-0.643	-0.638	-0.715	-0.552	-0.751	-0.877	-2.022	-1.619	-1.081	-2.182	-1.8	-1.251	-1.099
"YJL188C"	0.266	-0.185	0.242	0.179	0.317	0.1485	1.008	-0.234	-0.345	-0.106	1.159	0.011	-2.525	-2.39	-2.043	-1.864	-2.786	-4.633	-2.24	-2.745	-2.519	-1.879	-3.453	-1.897	-1.885	-1.929	-2.169	-2.54	-2.776	0.168	0.295	0.628	0.6935	0.017	-0.395	-1.525	-1.376	-0.569	-0.927	-1.456	-1.602	-0.93	-0.025	-1.439	-2.879	-1.947	-2.436	-2.777	-2.447	-2.254	-2.01
"YJL189W"	0.166	-0.277	0.101	0.258	0.662	0.209	1.089	-0.561	-0.138	-0.168	0.91	-0.267	-3.545	-2.317	-2.319	-2.282	-2.901	-4.28	-2.446	-2.278	-1.716	-1.833	-3.49	-1.87	-1.78	-2.141	-1.577	-2.282	-2.837	-0.177	0.265	0.371	0.577	-0.058	-0.697	-1.034	-1.798	-0.667	-0.892	-0.38	-0.9	-0.827	-0.749	-0.628	-2.736	-2.597	-2.818	-2.888	-2.522	-2.288	-1.966
"YJL191W"	-0.25	-0.443	-0.429	-0.744	0.387	-0.1905	0.709	-0.286	-0.18	-0.274	0.645	-0.076	-3.452	-1.944	-1.991	-1.784	-2.009	-3.556	-2.533	-2.223	-1.537	-1.523	-2.213	-1.492	-1.749	-1.921	-0.939	-1.399	-2.138	-0.358	0.185	0.136	0.2555	0.078	-0.017	-0.482	-2.221	-1.112	-1.747	-1.877	-1.431	-1.445	-1.24	-1.106	-2.593	-2.512	-2.552	-3.407	-2.434	-2.23	-2.497
"YJR105W"	-0.013	-0.084	-0.265	-1.327	0.735	1.284	0.654	0.128	-0.199	-0.237	0.563	-0.387	-2.77	-1.093	-1.685	-1.401	-1.424	-4.641	-2.087	-1.587	-2.56	-2.033	-1.343	-1.292	-1.307	-1.709	-1.362	-1.023	-1.04	-0.09	0.356	0.6	1.713	0.057	0.665	-0.87	-1.488	-1.158	-0.048	-0.238	0.055	-0.085	-0.319	-0.476	-2.371	-1.138	-1.597	-2.447	-1.661	-1.64	-2.373
"YJR145C"	0.0	0.135	-0.195	-0.446	0.72	-1.175	1.17	-0.024	0.135	0.239	1.341	-0.008	-4.507	-3.488	-3.177	-2.731	-3.54	-6.528	-3.551	-3.547	-3.597	-3.707	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	0.359	0.18	0.351	1.062	0.381	-0.211	-2.312	-3.331	-2.272	-2.054	-2.42	-2.329	-2.09	-2.324	-2.053	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74	-2.94
"YKL068W"	0.062	-0.435	-0.015	-0.276	0.224	0.205	0.507	0.09	-0.122	0.002	0.496	-0.228	-2.131	-1.194	-0.749	-1.562	-1.98	-3.325	-1.369	-1.594	-1.066	-1.063	-0.846	-0.525	-0.788	-0.482	-1.121	-1.563	-1.621	0.171	0.353	0.055	-0.139	0.014	0.262	-0.515	-0.511	-0.255	-0.665	-0.346	-0.776	-0.9	-0.573	-0.544	-1.778	-1.692	-1.618	-1.99	-1.247	-1.421	-1.324
"YKL073W"	0.178	0.447	0.134	-0.635	-0.233	-0.96	0.022	-0.043	0.507	0.4	-0.087	0.221	-1.767	-1.697	-1.279	-0.85	-2.672	-3.282	-1.348	-1.282	-1.264	-1.963	-1.805	-0.99	-0.985	-1.089	-2.148	-2.623	-3.195	-0.307	0.023	-0.562	-0.966	-0.069	-0.498	-0.838	-1.364	-1.623	0.183	-0.342	-0.015	-0.151	-0.052	-0.47	-2.546	-1.74	-1.566	-1.835	-1.673	-1.506	-1.478
"YKL081W"	0.248	0.444	0.114	-1.046	0.744	-0.402	1.515	0.036	0.5	0.446	1.025	-0.537	-3.858	-3.184	-2.035	-2.096	-4.49	-5.155	-3.28	-3.157	-3.837	-3.37	-3.635	-2.171	-3.222	-3.654	-2.997	-2.811	-3.497	0.115	0.389	-0.004	-0.217	-0.042	-0.222	-2.502	-3.204	-3.391	-0.684	-0.667	-0.603	-0.823	-0.833	-1.001	-3.076	-3.449	-2.509	-3.386	-3.054	-2.989	-3.704
"YLL044W"	-0.077	-0.028	-0.121	-0.738	0.926	-0.415	1.121	-0.011	0.232	-0.22	1.115	-0.37	-4.871	-3.525	-3.158	-2.869	-3.79	-6.48	-3.313	-3.031	-3.269	-2.156	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	-0.165	0.597	0.295	0.302	-0.086	-0.391	-2.227	-3.04	-1.93	-2.545	-2.689	-2.077	-2.203	-2.889	-1.932	-3.189	-2.774	-2.055	-3.806	-2.77	-2.196	-2.935
"YLL045C"	0.141	-0.393	0.086	-0.597	0.968	-0.33	1.394	0.432	-0.06	0.093	1.348	-0.167	-3.851	-3.176	-2.506	-2.189	-3.857	-6.618	-3.169	-3.335	-3.185	-2.744	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.417	0.325	0.933	0.349	0.223	0.294	-2.165	-2.953	-1.749	-1.945	-2.025	-2.084	-1.727	-1.625	-1.751	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	-2.362
"YLR029C"	0.194	-0.2	0.154	0.038	1.193	-0.145	1.094	0.338	-0.174	0.111	0.903	-0.206	-3.174	-2.641	-3.465	-2.572	-3.615	-6.877	-2.777	-2.809	-2.78	-2.648	-3.178	-1.893	-2.201	-2.595	-2.242	-2.378	-2.987	0.396	0.582	0.973	0.554	-0.158	-0.282	-2.49	-2.763	-1.952	-2.134	-2.812	-2.499	-2.636	-2.514	-2.519	-3.518	-2.733	-2.594	-3.637	-2.766	-2.153	-2.685
"YLR060W"	-0.582	-0.06	-0.426	-0.945	0.258	0.141	0.836	0.456	-0.06	0.189	0.614	-0.118	-3.165	-2.617	-2.047	-2.296	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.012	-0.054	-0.285	0.016	-0.212	0.125	-2.464	-1.534	-1.72	-1.071	-0.692	-1.031	-1.027	-1.01	-1.192	-2.734	-2.666	-1.403	-2.64	-2.996	-2.646	-3.346
"YLR062C"	-0.497	0.153	-0.468	-0.374	0.701	-0.256	1.164	0.01	-0.001	0.125	1.05	-0.16	-4.53	-4.418	-3.352	-3.067	-5.705	-6.896	-3.6	-3.985	-3.965	-3.18	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	0.005	-0.186	0.39	0.463	0.023	-0.191	-2.675	-3.446	-2.666	-2.044	-2.254	-2.916	-1.827	-2.249	-2.767	-3.806	-3.723	-3.681	-4.54	-4.001	-2.894	-3.419
"YLR309C"	-0.023	0.176	0.03	-0.137	-0.064	0.235	-0.106	-0.349	0.197	0.177	-0.488	0.071	0.466	0.252	1.114	1.662	0.805	0.961	0.278	0.609	0.234	0.184	-0.773	-0.522	0.043	0.054	-0.531	-0.606	-1.562	-0.161	0.345	-0.388	-0.276	-0.418	-0.156	0.116	-0.186	0.059	-0.136	-0.201	0.063	-0.075	0.001	0.295	-0.791	-0.362	-0.131	-0.023	-0.084	-0.188	0.337
"YLR333C"	0.111	0.204	-0.035	-0.552	0.843	0.131	1.149	-0.113	0.197	-0.182	0.802	0.117	-3.93	-3.067	-2.402	-2.401	-3.011	-5.863	-3.538	-3.334	-2.939	-2.483	-4.032	-1.898	-2.092	-2.057	-1.584	-2.45	-2.848	-0.24	0.506	0.259	0.631	0.246	0.072	-1.748	-2.565	-1.875	-1.388	-1.198	-1.331	-1.618	-1.369	-1.281	-4.086	-2.673	-1.894	-3.582	-2.843	-2.359	-1.826
"YMR202W"	-0.132	-0.224	0.107	-0.847	0.376	-0.557	0.632	0.125	-0.214	0.359	0.617	-0.301	-3.652	-2.101	-2.009	-1.785	-4.391	-5.431	-1.983	-1.581	-1.907	-1.33	-1.406	-1.172	-1.63	-1.208	-2.263	-2.876	-2.931	-0.067	0.02	0.293	0.6035	-0.052	-0.015	-1.541	-0.257	-0.976	-0.509	-0.292	-0.473	-0.263	-0.752	-0.475	-3.376	-2.583	-2.939	-3.34	-2.624	-2.11	-1.758
"YMR242C"	0.281	0.143	0.224	-0.508	0.329	-0.839	1.262	-0.013	-0.016	0.146	1.333	0.2	-4.702	-3.631	-3.819	-3.001	-3.971	-6.226	-3.832	-4.338	-3.636	-3.62	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.015	-0.009	0.488	-0.458	0.442	-0.401	-2.4615	-3.185	-2.447	-2.524	-2.566	-2.316	-2.049	-2.431	-1.988	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	-3.856
