	"81.cdc15 090 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"681.YP galactose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"2560.29C to 33C - 15 min"	"5240.DES460 (wt) - mock irradiation - 60 min"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"8234.dtt 240 min"	"8282.Gal induced MCM1 vs. Glucose"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"14761.Ca 30min (1)"	"15181.Ca 30min (2)"	"15182.Ca 60min (2)"	"15638.Ca+FK 60min (2)"	"17472.Ca+FK 15min (5)"	"17618.Ca+FK 60min (5)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34874.S4Comp 06 hr 05 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"34877.S4Comp 08 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YLL023C"	0.351	1.094	2.164	0.263	2.068	1.316	0.719	1.571	2.334	2.261	-0.435	0.339	-0.526	-0.682	1.033	1.763	3.606	2.665	2.517	2.475	1.663	2.152	1.039	-0.139	1.64	1.569	0.693	0.898	2.958	2.037	1.972	2.401	2.386	1.738	1.438	0.112	0.173	-0.073	1.317	-0.608	-0.077	0.262	-0.452	2.488	0.869	0.879	-0.038	0.492	2.014	-0.162	-0.056	1.699	2.0	1.656	1.537	3.532	2.303	1.613	2.147	-0.37	-0.791	-0.629
"YLR129W"	0.19	-4.191	-4.096	-2.921	-3.022	-1.526	-1.034	-2.347	-3.676	-3.658	0.833	0.241	0.944	0.869	-0.178	-0.492	-4.83	-2.28	-3.089	-2.498	-2.028	-2.718	-3.214	-0.355	-3.12	-2.647	-2.333	-0.548	-3.861	-2.137	-1.99	-2.481	-2.79	-1.825	-0.739	0.119	0.77	0.394	-1.327	0.155	0.335	0.065	-0.441	-4.108	-1.205	-1.812	-1.13	-0.58	-2.339	-0.954	0.013	-4.374	-3.422	-2.781	-1.86	-4.119	-2.843	-2.213	-1.072	0.803	-0.021	0.459
"YLR175W"	0.022	-4.217	-4.176	NaN	-3.679	-2.134	-1.829	-3.07	-4.552	-4.902	1.215	-0.89	1.304	1.12	-0.548	-1.193	-5.607	-3.276	-2.921	-2.657	-2.484	-3.068	-3.43	-0.302	-3.996	-3.068	-3.152	-0.352	-4.678	-2.413	-2.762	-3.408	-1.355	-1.941	-1.287	-0.41	-0.198	-0.432	-1.58	1.082	0.609	-0.265	-0.015	-4.431	-1.317	-1.543	-0.43	-0.189	-2.326	0.631	-0.329	-4.177	-3.995	-3.16	-1.549	-4.338	-2.959	-2.455	-2.526	-0.277	0.295	0.325
"YLR196W"	0.115	-4.71	-5.425	-5.709	-5.04	-1.973	-2.108	-3.221	-4.896	-4.532	1.483	-0.397	1.407	1.059	-0.604	-0.56	-5.083	-3.01	-3.156	-2.049	-1.898	-2.276	-2.118	0.058	-2.858	-2.859	-1.477	-0.905	-4.378	-2.182	-2.66	-2.604	-1.575	-2.767	-1.306	-0.178	0.57	0.125	-1.12	0.048	0.222	-0.134	-0.476	-5.097	-1.483	-1.58	-0.518	-0.461	-1.995	-0.572	-0.377	-3.697	-2.901	-2.83	-2.024	-3.658	-2.412	-1.969	-2.265	0.105	0.173	0.141
"YLR197W"	-0.026	-3.755	-4.98	-4.31	-4.044	-2.606	-1.636	-3.638	-4.76	-5.179	1.23	-0.622	1.252	1.224	0.046	-1.163	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-3.387	0.259	-3.899	-3.238	-3.282	-0.858	-5.671	-2.611	-3.067	-3.716	-0.805	-1.633	-1.497	-0.287	-0.197	-0.314	-1.869	0.266	-0.069	-0.315	-0.576	-5.072	-1.484	-1.783	-0.211	-0.468	-1.851	-0.053	-0.165	-4.496	-4.983	-3.17	-1.095	-4.545	-3.045	-2.593	-2.321	0.706	0.486	0.354
"YLR198C"	-0.111	-2.631	-4.57	-4.094	-4.694	-2.132	-1.876	-3.371	-4.643	-4.805	0.626	0.046	0.538	0.338	-0.071	-0.89	-5.143	-2.989	-3.1	-2.376	-2.064	-2.252	-3.057	0.307	-3.471	-3.106	-2.5	-0.771	-5.282	-2.521	-3.21	-3.479	-1.322	-2.048	-1.379	-0.166	-0.38	0.045	-1.66	1.175	0.534	-0.046	-0.423	-4.143	-2.002	-1.912	-0.797	-0.305	-3.295	-0.9	-0.124	-3.4	-2.271	-2.674	-0.872	-3.761	-2.805	-1.946	-1.701	0.671	0.555	0.783
"YLR356W"	-0.017	2.147	2.487	-0.834	1.967	2.031	1.419	1.848	2.234	2.179	-1.222	0.439	-1.105	-0.95	0.59	0.842	4.015	3.302	3.078	3.514	3.078	3.806	1.522	0.826	2.083	2.031	1.833	1.08	1.792	1.217	1.214	1.174	3.088	2.27	1.7	1.077	0.071	0.612	1.604	-0.526	-0.481	0.39	0.357	2.688	2.409	2.211	0.652	0.423	3.011	0.725	-0.402	2.01	2.523	2.366	1.711	3.571	2.324	1.576	3.074	-1.303	-0.969	-0.921
"YLR449W"	0.073	-1.748	-3.266	-3.157	-2.903	-1.724	-1.394	-3.009	-3.738	-3.97	0.94	-0.121	1.105	0.852	-0.229	-0.76	-6.206	-3.515	-3.262	-2.978	-2.79	-3.758	-3.248	-0.388	-2.597	-2.104	-2.049	-0.897	-3.782	-2.95	-3.268	-3.547	-2.619	-1.866	-1.405	0.374	0.539	0.646	-2.041	1.851	0.533	-0.057	-0.898	-4.241	-1.902	-2.254	-0.626	-0.585	-2.546	-0.432	0.289	-5.408	-3.658	-2.81	-1.715	-4.694	-2.945	-2.791	-2.535	0.167	0.989	0.637
"YML093W"	0.102	-3.602	-4.507	2.565	-2.615	-1.452	-1.73	-2.741	-3.357	-3.472	1.211	-0.504	1.05	0.767	-0.345	-0.583	-4.947	-2.836	-1.941	-1.822	-1.272	-2.007	-2.751	-0.327	-2.797	-2.437	-1.659	-0.721	-3.309	-1.656	-1.961	-2.236	-0.837	-1.186	-0.938	0.292	0.692	0.062	-1.695	0.522	0.398	0.232	-0.168	-3.703	-1.333	-1.252	-0.33	-0.571	-1.188	-0.37	-0.748	-7.708	-2.999	-2.533	-2.258	-4.548	-2.489	-2.192	-2.403	0.531	-0.034	0.039
"YMR110C"	0.376	2.134	2.615	2.502	2.414	0.622	1.848	2.26	2.565	2.824	-0.955	-0.165	-1.172	-0.793	0.729	1.284	3.925	3.346	3.746	3.565	3.434	2.517	2.145	-0.005	2.473	2.516	1.885	1.068	4.042	3.217	2.995	3.422	2.401	2.339	1.534	-0.076	-0.241	-0.418	0.952	-0.851	-0.541	0.343	-0.025	2.675	1.778	1.947	0.695	0.016	1.948	0.009	-0.2	2.545	3.97	4.096	2.779	3.64	3.462	2.896	2.522	-0.634	-0.882	-0.564
"YMR131C"	NaN	-3.068	-4.819	-4.67	-4.183	-2.431	-1.969	-3.849	-4.525	-4.347	1.141	-0.036	0.906	0.972	-0.077	-0.589	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-3.153	-0.133	-3.547	-2.98	-3.081	-0.664	-4.277	-2.776	-2.829	-3.214	-1.268	-2.274	-1.343	0.043	0.462	0.002	-1.718	1.113	0.615	-0.093	-0.433	-4.674	-1.638	-1.145	-0.265	-0.097	-1.937	-0.2	-0.013	-3.866	-1.412	-2.944	-2.054	-4.181	-2.68	-1.908	-2.616	0.762	0.545	0.468
"YMR139W"	-0.248	1.536	1.925	2.009	1.824	0.515	1.164	1.541	2.023	1.993	-0.851	0.724	-0.797	-0.929	0.329	0.569	3.263	2.401	2.436	2.325	2.162	1.223	1.441	-0.349	2.003	1.496	1.236	0.839	2.543	1.587	1.225	1.679	1.562	1.499	0.933	-0.097	0.01	-0.145	0.749	-0.833	-0.017	0.073	-0.172	1.885	0.844	1.85	0.284	0.664	2.407	0.159	0.794	1.96	2.121	2.043	0.851	2.001	1.737	1.455	1.156	-0.061	-0.072	-0.822
"YMR290C"	0.395	-2.333	-3.64	-3.112	-3.689	-2.627	-1.56	-2.957	-3.89	-3.624	0.988	-0.649	1.028	1.098	-0.349	-1.323	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-3.458	-0.38	-3.243	-3.378	-2.846	-0.356	-4.614	-3.037	-3.295	-3.716	-2.735	-2.712	-1.38	0.446	0.563	0.188	-1.853	0.335	0.743	-0.323	0.218	-4.129	-2.08	-2.49	-0.464	-0.442	-2.171	-0.355	-0.086	-4.343	-4.028	-3.856	-2.84	-4.544	-3.558	-3.243	-3.217	1.041	0.885	0.379
"YNL002C"	-0.6255	-3.547	-4.666	-4.12	-4.07	-1.784	-2.094	-3.305	-4.559	-4.222	1.243	-0.004	1.183	1.119	-0.236	-0.754	-5.196	-2.914	-2.785	-2.336	-1.951	-2.475	-2.839	0.02	-3.072	-2.59	-2.177	-0.558	-3.426	-2.209	-1.856	-2.186	-2.77	-2.007	-1.411	-0.552	0.139	-0.096	-1.453	1.044	0.944	-0.095	0.195	-4.603	-1.705	-1.696	-0.305	-0.294	-2.639	-0.231	0.785	-3.481	-2.92	-2.649	-1.781	-4.466	-2.41	-2.181	-2.211	-0.006	0.577	0.144
"YNL015W"	0.952	2.601	2.433	3.341	3.124	1.885	1.924	2.455	3.302	2.984	-1.648	0.543	-1.704	-1.611	0.8	0.77	4.235	4.867	4.844	4.633	3.952	3.875	1.889	0.562	3.342	3.085	2.338	1.925	2.964	3.342	2.817	2.895	3.546	2.68	1.601	-0.242	-0.52	-0.315	1.721	-1.932	0.365	-0.424	1.635	3.501	3.379	2.978	2.493	2.24	2.624	2.112	-0.409	2.636	2.8	3.339	2.117	2.634	3.327	3.061	2.362	-0.855	-1.537	-0.279
"YNL060C"	-0.113	-1.731	-2.662	-2.419	-3.546	-1.721	-1.567	-2.78	-3.921	-3.668	0.647	-0.774	0.9	0.795	-0.201	-0.705	-5.032	-2.43	-2.244	-2.105	-0.912	-2.428	-2.061	-0.152	-2.119	-1.685	-1.577	-0.436	-2.933	-1.673	-1.634	-1.725	-2.052	-1.749	-1.393	-0.149	0.049	-0.118	-1.36	NaN	NaN	-0.288	-0.373	-4.389	-1.856	-1.97	-0.512	0.2	-3.386	-0.199	0.055	-3.38	-1.761	-2.147	-1.607	-3.208	-2.173	-1.48	-0.534	-0.41	0.185	-0.034
"YNL062C"	-0.123	-2.043	-3.459	-1.549	-2.934	-1.18	-0.927	-2.143	-3.093	-2.844	1.074	-0.856	0.899	0.774	-0.229	-0.595	-4.157	-2.785	-2.295	-2.256	-1.556	-2.835	-2.538	-0.343	-2.304	-2.254	-2.065	-0.108	-2.028	-1.559	-1.91	-1.803	-1.185	-0.73	-0.87	-0.08	-0.004	-0.037	-1.0	0.854	0.791	-0.271	0.021	-2.71	-1.389	-1.567	-0.426	0.043	-2.052	0.089	-0.044	-4.112	-2.698	-2.338	-1.801	-2.838	-2.509	-1.871	-2.066	0.547	0.617	-0.466
"YNL132W"	-0.221	-2.988	-4.679	NaN	-5.146	-2.394	-2.972	-3.658	-3.329	-4.954	1.008	-0.1	0.683	0.542	-0.452	-1.099	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-3.883	-1.023	-3.285	-3.141	-2.512	-0.612	-4.353	-2.313	-2.799	-2.936	-1.976	-1.988	-1.657	0.872	1.17	0.561	-1.974	0.916	0.758	-0.305	-1.084	-3.45	-1.999	-1.934	-0.826	-0.43	-2.688	-0.292	-0.171	-4.311	-2.994	-2.948	-2.325	-3.989	-2.673	-2.3	-1.776	0.433	0.522	-0.55
"YNL174W"	-0.358	-2.195	-5.157	-5.094	-4.699	-1.913	-2.362	-4.233	-5.579	-4.714	0.965	-0.786	0.755	0.772	-0.038	-0.972	-5.141	-3.51	-3.428	0.252	-2.478	-2.797	-3.149	0.155	-2.319	-2.439	-2.135	-0.929	-4.372	-2.731	-2.682	-2.061	-2.402	-0.825	-1.681	-0.061	0.374	0.213	-2.295	1.214	0.695	-0.593	-0.419	-5.426	-1.716	-2.425	-0.746	-0.512	-2.499	0.239	-0.085	-3.76	-1.035	-2.624	-2.333	-3.816	-2.839	-1.053	-2.153	0.409	0.013	0.438
"YNL200C"	NaN	3.958	4.143	4.374	3.376	3.204	2.855	3.17	3.269	3.585	-1.755	1.232	-2.308	-1.611	0.464	0.34	4.582	3.797	3.537	4.197	4.951	2.818	1.214	0.028	2.15	2.624	1.835	0.148	3.003	2.005	3.51	2.912	3.953	3.0	1.849	-0.928	-0.438	-0.888	1.613	-1.05	-0.148	-0.185	-0.656	4.124	2.555	2.492	1.612	0.683	3.362	1.376	-0.268	1.738	4.514	4.524	3.391	4.527	4.165	3.064	3.548	-1.689	-1.956	-0.715
"YNL308C"	-0.098	-3.076	-3.929	-2.764	-1.689	-0.755	-1.5	-2.757	-3.366	-3.336	0.658	0.02	0.756	0.635	-0.398	-0.483	-4.351	-2.623	-2.15	-2.256	-1.607	-1.693	-2.473	0.173	-2.614	-2.202	-1.906	-0.437	-3.207	-1.872	-1.62	-2.065	-1.28	-0.831	-1.321	-0.204	-0.055	-0.106	-1.01	1.125	0.507	-0.211	0.583	-3.272	-1.768	-1.536	-0.318	-0.291	-2.623	-0.209	0.053	-4.586	-1.512	-2.337	-1.138	-3.307	-2.409	-1.94	-2.419	-0.501	0.109	0.009
"YNL313C"	-0.044	-3.06	-3.472	-3.287	-3.026	-1.419	-1.175	-2.399	-2.935	-3.02	0.923	-0.606	0.673	0.694	-0.532	-0.79	-4.999	-2.695	-2.073	-2.007	-1.538	-2.126	-2.852	-0.58	-3.129	-2.948	-1.914	-0.479	-2.839	-1.544	-1.333	-1.551	-1.598	-1.687	-0.925	0.531	0.535	0.386	-0.962	0.721	0.433	-0.083	-0.8	-3.009	-1.226	-1.239	-1.246	-0.428	-2.292	-0.575	0.227	-2.824	-1.867	-1.835	-1.525	-3.85	-2.129	-1.672	-1.421	0.526	0.165	-0.316
"YOR206W"	0.083	-3.294	-5.087	-4.715	-3.702	-2.15	-1.66	-3.585	-5.083	-4.513	1.184	-0.672	1.088	0.951	-0.41	-0.863	-5.827	-2.568	-2.0395	-1.991	-2.0975	-2.174	-2.919	-0.0905	-3.1625	-1.9445	-1.9925	-0.799	-3.888	-2.026	-2.451	-2.637	-1.092	-1.55	-1.193	-0.374	0.37	-0.037	-1.716	0.753	0.813	-0.037	-0.137	-5.066	-1.76	-1.528	-0.617	-0.393	-2.693	-0.486	-0.433	-3.839	-3.193	-2.539	-1.324	-4.817	-2.585	-1.507	-2.379	0.509	0.346	0.368
"YOR289W"	-0.504	2.96	3.218	3.265	3.068	2.084	2.317	2.572	2.935	2.676	-1.821	1.049	-2.163	-0.707	1.314	2.227	4.4405	3.0065	3.8215	3.2295	4.1875	3.0405	1.86	0.922	2.721	2.9015	2.4635	2.311	2.948	2.726	3.378	3.636	2.399	2.164	1.079	-0.943	-0.977	-0.84	1.6655	-1.506	-0.496	-0.258	1.155	3.401	4.197	3.766	1.623	0.966	4.065	1.645	-0.704	2.723	3.785	3.484	2.364	3.745	3.176	2.549	2.774	-2.12	-1.568	-1.376
"YOR309C"	0.198	-3.819	-4.991	-4.198	-4.328	-1.906	-2.537	-3.697	-5.523	-5.514	0.423	-0.066	0.3	0.8	-0.003	-0.986	-6.798	-4.4185	-4.0545	-4.227	-3.75	-3.942	-3.07	-0.2935	-3.709	-3.9105	-2.194	-0.444	-5.839	-3.084	-3.704	-4.353	-2.034	-2.569	-1.217	-0.12	-0.237	-0.42	-1.968	1.16	0.612	-0.142	-0.735	-4.939	-1.903	-1.846	-0.927	-0.307	-3.189	-0.143	-0.192	-2.102	-2.543	-3.28	-1.503	-4.097	-3.518	-2.477	-3.672	-0.413	0.659	0.647
"YOR386W"	-0.362	1.708	2.727	3.105	2.222	1.367	1.44	1.766	2.451	2.202	-2.104	0.678	-1.632	-1.582	0.271	0.493	3.0	1.9635	2.3705	1.8745	1.632	2.254	1.266	0.269	2.07	2.3485	1.0315	0.932	2.511	1.731	1.421	1.399	2.634	1.947	1.849	-0.016	0.384	0.172	-0.124	-0.394	-0.218	0.591	0.774	2.629	0.977	1.172	-0.183	0.132	2.0	-0.124	0.337	2.376	2.983	2.397	0.599	3.712	2.72	1.672	1.332	-0.011	-0.62	0.136
"YPL087W"	0.247	2.703	2.869	2.766	2.348	1.994	1.789	2.014	-0.454	2.728	-1.381	0.678	-1.658	-1.5505	0.69	0.783	2.998	2.716	2.316	1.5655	1.1645	2.0105	1.194	0.1305	0.968	0.6095	-0.191	0.729	3.3	1.769	2.032	2.401	2.755	2.459	1.614	-0.835	-0.925	-1.027	1.1485	-0.952	-0.247	-0.252	-0.867	2.868	2.968	2.849	1.621	0.183	2.435	0.224	-0.234	1.826	2.46	2.058	1.85	2.77	2.742	1.903	2.352	-1.003	-0.766	-0.732
