	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"680.YP glucose vs reference pool"	"684.YP fructose vs reference pool"	"685.YP sucrose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"802.Heat Shock 060 minutes"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"2555.Hypo-osmotic shock -30 minutes"	"2560.29C to 33C - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"7535.25C -- 15 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14946.Hydrostatic pressure (C2 vs P2)"	"14947.Hydrostatic pressure (C1 vs P1)"	"15180.Ca 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28838.P2Comp 06 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"38154.03II01 batch p10"	"42051.L1CompR 18 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42053.L1CompR 26 hr 40 min Leucine Batch vs Chemostat Comparison"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42226.U2 Comp 10 hr 05 min Uracil Batch vs Chemostat Comparison"	"42231.U2 Comp 31 hr 35 min Uracil Batch vs Chemostat Comparison"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42388.CC UL 1A Uracil-Leucine Chemostat Comparison"
"YBR183W"	1.629	2.18	2.642	2.195	2.332	1.253	1.841	2.479	2.801	2.592	-0.013	-0.0045	0.302	-0.234	-0.994	-1.068	1.258	-0.378	-0.341	-0.277	1.762	1.838	1.999	0.906	4.661	3.119	2.557	3.002	3.003	3.081	1.909	2.486	2.418	2.43	-0.037	4.392	2.7675	2.6755	3.223	0.0735	3.01	1.914	-0.177	0.791	2.813	0.721	0.239	-0.885	-0.777	-1.249	-0.856	-0.564	1.526	1.606	2.046	2.151	1.795	1.899	-0.146	-0.165	1.234	1.823	-2.485	-1.629	2.809	1.262	-1.255	-1.584	1.503	3.6995	4.7735	3.864	-0.446	-1.757	2.512	4.031	3.236	3.09	3.705	3.348	2.563	4.716	3.579	3.13	3.325	3.132	3.051	1.145	-1.323	-1.681	-3.58	-1.084	-0.298	-1.598	-1.591	-1.015	-0.539	-0.904	-0.54
"YBR230C"	2.081	3.818	3.52	3.472	3.132	2.275	2.459	3.122	3.534	3.545	-1.7635	-2.4445	-1.5805	-1.0455	-2.044	-1.673	1.337	-0.895	-1.205	-1.978	2.475	2.736	2.952	2.762	3.909	4.829	4.066	4.149	3.987	1.894	1.695	2.361	2.09	2.594	-0.997	3.9215	3.331	3.341	3.5615	-1.7095	1.039	1.984	-1.367	2.101	2.493	1.638	2.008	-0.414	-0.976	-1.119	-0.309	-0.063	2.063	2.993	3.214	1.482	2.31	2.487	-0.724	-0.903	1.338	3.762	-0.567	-0.982	3.751	2.634	-0.568	-0.398	2.656	2.988	3.622	3.622	-1.069	-1.381	3.382	2.284	1.482	2.939	3.455	4.448	3.661	4.138	4.11	4.81	4.233	2.38	3.492	2.414	-1.548	-2.242	-5.204	NaN	-0.794	-1.391	-1.383	-2.962	-0.883	-1.452	-1.098
"YBR241C"	0.829	1.651	3.084	-0.554	2.719	2.835	1.545	2.322	2.947	2.743	-1.688	-0.656	-0.196	-0.3205	-1.543	-2.075	0.851	0.111	-1.136	-2.654	0.736	1.084	1.761	1.688	3.303	3.763	0.478	4.068	0.41	2.564	1.343	0.314	2.04	1.841	-0.791	1.666	0.6665	0.99	1.879	-2.4115	3.148	1.985	-2.284	1.633	1.597	0.684	0.957	-2.031	-0.464	-1.031	-1.756	-0.364	1.635	2.473	2.175	0.974	1.565	1.969	-0.503	-1.131	1.617	3.102	-1.493	-1.268	3.139	1.885	-1.235	-1.797	1.89	2.734	2.2535	2.9315	-1.062	-2.115	1.47	3.143	2.026	1.563	3.507	3.03	2.881	3.953	3.821	2.781	3.891	3.092	2.736	1.291	-0.609	-2.381	-2.576	-1.245	-1.615	-0.911	-1.618	-2.71	-0.856	-1.061	-0.441
"YBR280C"	1.766	2.744	3.136	2.722	2.851	1.776	1.21	2.257	2.891	2.629	-1.6735	-0.2875	-0.5585	-0.255	-1.562	-0.986	1.06	-1.021	-0.38	-1.523	0.741	1.102	1.367	1.046	2.703	2.477	1.27	2.679	1.453	0.699	1.484	1.413	1.906	2.32	-0.724	1.4435	0.9345	1.3275	1.7525	-0.4025	2.377	1.667	0.246	1.214	1.005	1.08	1.052	-1.313	-0.718	-1.026	-0.484	-0.688	0.842	1.298	1.313	0.416	0.915	1.181	-1.341	-1.061	1.183	2.813	-1.994	-1.059	2.82	2.107	-0.266	-0.912	2.54	2.57	1.357	1.6095	0.354	-0.114	1.327	2.337	1.731	1.308	2.287	2.026	1.505	2.655	2.466	1.779	2.342	1.918	1.322	0.861	-2.037	-1.461	-2.148	-2.142	-2.374	-1.236	-0.108	-0.601	-0.167	-0.55	-0.511
"YBR285W"	1.452	2.946	4.12	2.904	3.533	1.735	2.031	3.148	3.296	2.217	-2.4135	-0.7655	-0.8055	-0.99	-1.539	-2.392	1.86	-1.453	-3.688	-1.823	0.659	1.596	2.84	1.165	5.001	2.557	3.596	4.25	4.138	3.476	3.134	4.193	4.339	2.983	-0.636	1.341	2.8995	1.986	2.2705	-2.9205	1.849	1.321	-1.089	1.389	2.024	0.975	1.719	-0.273	-0.592	-0.844	-0.78	-0.958	1.321	1.942	1.905	0.697	1.225	1.324	-0.298	-0.156	0.714	2.024	-1.097	-1.621	3.932	3.648	-0.993	-1.101	3.878	3.968	3.104	2.4345	0.204	-2.634	0.851	3.643	2.068	2.028	1.198	1.896	2.71	4.112	2.158	0.947	2.795	2.475	2.671	1.72	0.285	NaN	-1.452	NaN	-0.863	NaN	-1.654	-0.642	0.546	-1.463	-0.309
"YCL040W"	3.417	4.831	5.519	1.287	5.154	3.7	3.804	5.018	5.207	5.214	-2.88	-2.0095	-1.447	-0.7895	-2.918	-3.13	2.022	-1.029	-1.805	-1.895	3.313	3.815	4.084	3.626	4.499	4.476	3.079	4.747	2.387	2.984	2.737	2.224	3.471	2.856	-1.644	3.747	2.6125	2.614	2.987	-1.627	2.015	1.693	-1.813	3.797	3.514	2.475	2.652	-3.343	-1.071	-2.56	-2.287	-1.521	3.305	3.526	4.473	3.028	3.59	3.871	-2.032	-1.633	1.493	3.454	-0.461	-0.41	4.979	4.162	-1.332	-2.231	3.996	5.5255	4.8075	5.678	-3.902	-3.441	4.445	4.858	4.531	4.662	3.517	2.938	1.92	4.137	3.593	2.812	2.55	3.842	3.4	3.569	-2.712	-1.266	-1.1	-0.57	-1.572	-2.675	-0.701	-0.72	-2.08	-2.3	-2.794
"YCL042W"	2.861	3.918	4.777	5.142	4.337	3.066	2.76	3.835	3.97	3.781	-2.849	-1.9365	-1.4795	-1.2745	-2.673	-2.869	1.456	-1.164	-1.065	-1.783	2.534	3.073	2.656	3.094	3.554	3.258	2.876	3.631	1.706	2.663	1.765	1.298	2.579	2.225	-1.58	2.0135	1.2485	1.576	1.6935	-0.4895	1.555	0.873	-1.769	3.23	1.556	2.108	2.491	-2.735	-2.413	1.0	-2.279	-1.327	3.118	2.921	3.026	2.515	2.831	3.419	-1.868	-1.649	1.29	2.183	-2.115	-0.737	4.141	2.405	-1.005	-1.8	2.544	4.17	2.7485	3.8275	-2.799	-2.684	2.556	2.162	1.341	1.114	3.923	3.167	1.637	3.902	3.874	2.762	1.39	2.368	2.398	2.29	-1.495	-0.375	-0.712	0.484	0.141	-1.342	1.43	0.008	-1.888	-2.217	NaN
"YDL021W"	1.482	2.474	3.424	NaN	3.324	2.9	2.756	3.148	3.494	3.332	-2.3075	-0.2655	-0.2895	-1.1095	-2.736	-0.9	1.016	-0.122	-2.628	-2.13	1.334	1.074	2.187	2.679	4.326	2.82	3.169	3.319	3.581	4.032	2.903	2.699	2.783	1.974	-0.787	2.5845	2.6055	2.917	2.5455	-2.152	2.123	1.755	-5.296	2.512	1.519	1.74	1.928	-3.483	-3.343	-3.849	-2.689	-2.346	0.704	1.659	1.936	0.632	1.033	1.263	-1.585	-2.03	1.061	3.368	-2.229	-2.034	4.177	2.666	-1.426	-2.025	2.869	2.956	1.1135	1.229	-0.227	-0.804	2.279	3.206	2.967	2.511	2.73	2.54	1.909	3.793	2.345	2.246	2.342	1.818	1.52	2.836	-3.492	-1.773	-1.587	-0.506	0.593	-0.119	-0.397	-0.856	-1.309	-1.805	-2.569
"YDL110C"	1.684	3.292	3.1445	4.5095	3.069	1.6435	2.025	2.459	2.9395	2.6665	-0.941	-0.893	-0.1085	-0.6175	-1.5245	-1.6525	1.573	-0.89	-1.0405	-0.187	2.3825	2.6335	2.2515	2.3245	3.383	2.755	1.3365	3.018	1.6685	2.2555	2.6415	2.924	2.739	2.393	-0.5295	1.85	0.892	1.033	1.585	-1.3325	-0.198	-0.034	-0.6725	2.574	3.4035	2.706	2.2425	-0.5955	-1.187	0.138	-1.8775	-0.3275	2.402	2.8415	2.8635	2.115	2.5575	2.407	-0.9425	-1.006	1.307	2.433	-1.268	-0.7805	2.954	2.542	-0.899	-1.073	2.6615	3.3115	4.5765	3.6725	-1.1325	-0.982	2.064	2.969	2.37	2.72	3.715	2.305	2.342	4.078	3.05	2.171	2.55	1.113	0.582	1.603	-0.777	-1.122	-0.777	-1.34	0.21	-0.8	0.379	-0.456	-0.725	-2.509	-1.078
"YDL204W"	1.42	3.317	5.01	0.311	5.128	3.772	3.181	3.877	4.936	4.887	-2.803	-2.356	-0.343	-2.506	-2.746	-2.85	1.601	-1.567	-1.675	-1.525	2.347	3.701	4.204	3.549	5.851	4.733	4.685	5.32	5.69	5.571	3.859	4.975	4.604	4.28	-2.465	4.66	4.854	5.274	5.34	-2.114	4.234	3.477	-1.624	3.242	4.511	2.616	4.125	-0.662	-0.805	-0.702	-0.707	-1.015	3.455	4.067	4.561	3.189	3.761	4.115	-0.867	-1.464	1.978	4.52	-1.454	-0.46	5.38	3.647	-2.982	-4.587	3.582	4.309	3.58	4.036	-1.737	-0.668	2.925	3.876	2.026	0.667	5.526	4.943	4.367	5.864	4.642	3.788	4.76	3.492	3.424	3.209	1.333	NaN	1.17	1.702	-0.039	1.385	-0.758	-0.298	0.511	1.788	0.593
"YDL222C"	2.205	4.852	5.532	5.359	5.486	4.18	3.112	4.452	4.933	5.493	-2.524	-1.263	-1.273	-1.474	-3.606	-4.298	2.021	-2.581	-0.915	-1.123	0.883	3.042	1.765	3.588	2.058	0.991	0.351	1.661	0.519	0.864	1.194	1.3	1.177	1.593	-0.243	1.591	0.927	1.395	1.213	-1.559	1.018	1.346	NaN	1.782	2.326	2.774	3.997	-1.155	-0.941	-0.144	-1.675	-1.254	3.739	3.922	3.845	1.796	2.785	2.677	-1.465	-1.538	2.359	2.428	-0.697	-0.246	5.7	5.24	-1.048	NaN	4.923	4.601	4.364	4.427	-1.651	-0.705	4.903	5.632	3.848	4.011	5.702	4.814	3.717	6.788	5.657	4.132	4.017	3.688	2.572	2.661	-0.441	NaN	-0.451	-3.168	-1.684	-1.039	-0.758	-0.554	-1.327	NaN	NaN
