	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YGR027C"	-5.39	-0.707
"YGR056W"	-2.933	-0.41
"YGR099W"	-1.572	-0.349
"YGR117C"	-2.599	1.2165
"YGR279C"	-1.868	-0.289
"YGR283C"	-2.758	0.631
"YHL004W"	-4.149	0.514
"YHL034C"	-3.26	1.784
"YHR025W"	-5.429	0.826
"YHR030C"	-2.279	1.1905
"YHR045W"	-3.8995	1.437
"YHR061C"	-2.912	2.346
"YHR068W"	-6.532	2.683
"YHR073W"	-2.844	0.796
"YHR163W"	-4.663	1.091
"YIL007C"	-2.424	1.109
"YIL018W"	-5.749	1.224
"YIL039W"	-4.517	-1.524
"YIL052C"	-6.278	0.441
"YIL064W"	-2.687	2.519
"YIL133C"	-5.79	1.983
"YIL138C"	-3.747	1.142
"YIL142W"	-4.403	1.675
"YJL004C"	-2.688	0.972
"YJL096W"	-2.711	1.806
"YJL124C"	-5.188	1.412
"YJL125C"	-4.009	0.89
"YJL157C"	-7.731	1.745
"YJL159W"	-4.456	1.804
"YJL190C"	-6.079	-0.904
"YJR009C"	-4.161	0.687
"YJR024C"	-4.204	-0.339
"YJR056C"	-3.794	0.032
"YJR062C"	-2.648	1.405
"YJR069C"	-4.151	2.077
"YJR070C"	-7.226	0.073
"YJR087W"	-3.553	0.575
"YJR123W"	-9.147	-0.776
"YJR129C"	-2.455	0.11
"YKL006W"	-5.113	1.355
"YKL017C"	-3.434	1.453
"YKL024C"	-5.4	1.24
"YKL040C"	-3.129	1.335
"YKL080W"	-5.94	5.981
"YKL164C"	-3.934	2.461
"YKL179C"	-3.305	1.769
"YKL180W"	-5.237	-0.223
"YKL191W"	-4.342	1.901
"YKL192C"	-3.443	0.597
"YKR036C"	-3.022	0.531
"YKR068C"	-2.174	1.027
"YKR070W"	-3.904	0.959
"YKR094C"	-4.383	0.596
"YKR099W"	-3.055	0.899
"YLL035W"	-3.138	1.875
"YLL045C"	-6.618	1.167
"YLR019W"	-2.53	0.959
"YLR021W"	-4.075	0.633
"YLR029C"	-6.877	1.165
"YLR049C"	-2.816	-1.666
"YLR063W"	-4.23	2.379
"YLR071C"	-2.691	1.14
"YLR076C"	-4.142	0.391
"YLR153C"	-5.598	2.225
"YLR166C"	-1.802	1.989
"YLR241W"	-3.69	1.505
"YLR253W"	-2.717	0.783
"YLR263W"	-6.165	-1.994
"YLR269C"	-2.2	1.315
"YLR337W"	-2.9175	1.5345
"YLR340W"	-6.819	-0.04
"YLR388W"	-5.506	-0.724
"YLR439W"	-4.311	0.264
"YML021W"	-3.917	1.018
"YML115C"	-3.577	1.671
"YMR006C"	-3.323	1.289
"YMR009W"	-2.192	0.634
"YMR112C"	-2.998	1.383
"YMR116C"	-6.865	0.772
"YMR132C"	-2.963	0.499
"YMR163C"	-2.462	0.554
"YMR237W"	-4.233	2.0155
"YMR310C"	-3.842	1.6145
"YMR314W"	-2.497	1.2165
"YNL058C"	-2.758	1.4775
"YNL067W"	-5.731	-0.6485
"YNL069C"	-4.824	-0.2935
"YNL076W"	-2.959	2.2075
"YNL099C"	-1.595	0.479
"YNL118C"	-5.007	2.4655
"YNL129W"	-3.084	2.181
"YNL130C"	-2.872	1.451
"YNL147W"	-2.664	0.628
"YNL168C"	-3.351	1.939
"YNL291C"	-4.479	-0.929
"YNL302C"	-4.746	0.397
"YNL313C"	-5.714	2.198
"YNL327W"	-3.662	1.109
"YOL039W"	-7.971	-1.542
"YOL040C"	-6.413	4.667
"YOL093W"	-4.67	0.485
"YOL139C"	-5.5	1.105
"YOR122C"	-3.762	1.83
"YOR157C"	-4.5095	0.294
"YOR197W"	-3.178	1.293
"YOR201C"	-2.872	0.446
"YOR205C"	-3.583	0.066
"YOR207C"	-9.516	2.32
"YOR209C"	-6.004	-0.824
"YOR241W"	-6.523	0.624
"YOR278W"	-2.5325	-0.554
"YOR280C"	-4.249	-0.017
"YOR297C"	-2.3585	0.704
"YOR312C"	-4.8175	0.407
"YOR315W"	-4.3035	1.467
"YOR322C"	-2.371	1.848
"YPL001W"	-4.084	0.87
"YPL028W"	-5.5385	1.478
"YPL044C"	-4.2355	2.401
"YPL063W"	-3.318	1.882
"YPL066W"	-2.461	0.663
"YPL210C"	-3.50166666666667	1.68
"YPL246C"	-3.7775	3.469
"YPR033C"	-7.94	-1.078
"YPR080W"	-5.6305	0.691
"YPR163C"	-5.4905	-1.062
"YPR169W"	-3.2805	1.506
"YPR178W"	-2.2465	1.008
