	"40.alpha factor release sample029"	"42.alpha factor release sample022"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"515.2.5mM DTT 045 min"	"519.2.5mM DTT 180 min"	"585.21 deg growth"	"597.25 deg growth"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"971.1mM Menadione (40 min) redo"	"1249.mec1_plus_gamma_5_min"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"6377.constant 0.32 mM H2O2 (40 min) rescan"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8234.dtt 240 min"	"12744.heat shock 17 to 37, 20 minutes"	"13068.Na/Na+FK 45min (2)"	"14712.Ca 15min (1)"	"15180.Ca 15min (2)"	"17472.Ca+FK 15min (5)"	"17677.Na+FK 60min (4)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"
"YLR009W"	0.579	0.27	-2.705	-4.735	-4.564	-2.897	-4.204	-3.864	-0.965	-1.922	0.606	0.52	-2.235	-4.675	-5.388	-0.411	-1.929	-0.8	-0.064	0.358	-1.5	-2.563	-2.802	-2.013	-2.197	-2.902	-2.825	-1.555	-4.344	-0.385	-2.856	-2.849	-3.247	-2.344	-3.489	-3.436	-1.875	-1.829	-0.494	0.373	-3.361	-2.46	-2.082	-2.653	-2.19	0.328	-0.097	-0.586
"YLR221C"	-0.083	-0.219	-1.904	-3.146	-2.286	-2.172	-2.998	-2.528	-1.249	NaN	0.777	0.722	-2.043	-2.998	-1.577	-0.377	-1.417	-1.061	0.144	0.492	-1.527	-1.486	-2.46	-2.021	-1.05	-2.325	-2.724	-1.559	-3.231	-0.395	-1.987	-1.88	-2.299	-2.051	-2.169	-3.034	-2.382	-2.79	-0.393	-0.045	-3.361	-1.191	-0.833	-1.794	-1.033	0.247	-0.644	-0.518
"YLR435W"	-0.042	-0.002	-2.312	-2.95	-2.628	-2.012	-2.917	-2.415	-0.973	-1.48	0.294	0.28	-1.902	-4.216	-3.819	-0.516	-1.605	-0.452	0.176	0.445	-1.102	-2.323	-2.747	-2.318	-1.772	-2.528	-2.588	-1.591	-3.297	-0.453	-1.63	-1.86	-1.873	-2.143	-2.429	-2.231	-2.112	-2.319	-0.475	-0.187	-4.563	-1.457	-1.067	-1.535	-1.683	0.334	-0.305	-0.423
"YMR131C"	0.056	0.136	-3.068	-4.819	-4.183	-3.849	-4.525	-4.347	-1.074	-1.497	0.221	0.153	-1.871	-5.631	-6.665	-0.523	-1.375	-0.677	-0.015	0.361	-1.424	-2.0	-3.012	-2.205	-1.855	-2.522	-2.8	-1.718	-4.674	-0.628	-2.526	-2.228	-1.937	-1.8	-2.123	-3.866	-3.136	-3.736	-0.433	-0.069	-4.181	-1.253	-1.347	-3.389	-2.21	0.595	-0.523	-0.038
"YNL002C"	0.249	-0.023	-3.547	-4.666	-4.07	-3.305	-4.559	-4.222	-0.179	-0.891	0.581	0.443	-2.677	-5.196	-3.468	-0.272	-1.79	-1.244	-0.059	0.475	0.1295	-1.398	-2.774	-1.803	-1.355	-2.843	-2.776	-1.453	-4.603	-0.02	-2.334	-2.612	-2.639	-3.183	-3.249	-3.481	-2.594	-3.245	-0.887	-0.177	-4.466	-2.033	-1.986	-1.86	-1.552	0.375	-0.327	-0.54
"YNL061W"	-0.18	0.192	-3.447	-4.928	-3.927	-4.143	-4.404	-3.948	-1.308	-1.971	0.88	0.786	-2.446	-4.329	-4.27	-0.646	-1.324	-0.494	-0.042	0.312	-1.771	-1.7	-2.599	-1.44	-1.586	-2.111	-2.07	-1.224	-5.38	-0.562	-2.816	-2.646	-2.95	-1.981	-3.059	-3.925	-2.946	-2.461	-0.558	0.087	-2.571	-1.847	-2.265	-0.944	-1.501	1.636	-0.401	-0.924
"YNL110C"	-0.157	-0.233	-3.468	-4.43	-3.64	-3.768	-4.56	-4.991	-1.687	NaN	1.289	1.075	-2.683	-5.108	-3.296	-0.776	-1.673	-1.369	-0.088	0.501	-0.798	-2.395	-3.662	-2.623	-2.07	-3.62	-3.346	-2.027	-5.064	-0.563	-2.547	-2.308	-2.701	-2.816	-4.233	-4.907	-3.471	-3.973	-0.503	0.585	-4.747	-2.107	-2.462	-2.299	-1.758	0.603	-0.627	-0.627
"YNL151C"	-0.118	-0.066	-1.51	-2.707	-2.055	-2.682	-2.835	-2.667	-1.421	-2.005	0.785	0.76	-1.246	-1.688	-2.706	-0.539	-0.78	-0.353	-0.217	0.468	-1.429	-1.069	-1.545	-0.912	-0.942	-1.41	-1.578	-1.115	-3.201	0.03	-2.047	-1.731	-1.749	-1.429	-2.213	-2.152	-1.745	-2.456	-0.57	-0.025	-3.425	-2.08	-1.666	-1.302	-0.945	0.325	-0.539	-0.43
"YNL174W"	-0.102	-0.254	-2.195	-5.157	-4.699	-4.233	-5.579	-4.714	-0.973	-2.393	0.489	0.316	-3.257	-5.141	-4.409	-0.582	-1.825	-1.233	0.29	0.444	-1.676	-0.751	-2.4	-2.57	-0.803	-2.392	-2.87	-2.295	-5.426	-0.155	-2.751	-3.06	-2.499	-3.421	-2.201	-3.76	-2.801	-2.503	-0.796	-0.308	-3.816	-1.586	-1.731	-0.957	-1.539	0.476	-0.43	-0.565
"YOL041C"	0.2295	0.0085	-1.68	-2.77	-2.082	-1.6425	-1.833	-2.018	-0.7205	-1.492	0.5745	0.1565	-1.615	-2.40666666666667	-1.15	-0.6315	-0.753	-0.459	0.054	0.226	-0.8135	-0.9155	-1.271	-0.95	-0.4275	-0.7895	-0.742	-1.5195	-2.6195	-0.26	-0.9095	-1.0	-1.6065	-1.495	-2.31	-2.0805	-1.261	-1.599	-0.9855	-0.584	-2.5355	-0.9895	-0.646	-1.4105	-1.2985	0.252	-0.204	-0.3185
"YOR145C"	0.275	-0.116	-3.045	-3.98	-3.795	-2.871	-3.492	-3.402	-1.052	-0.782	0.211	0.051	-1.606	-4.1305	-3.4715	-0.63	-1.21	-0.972	-0.001	0.266	-1.803	-2.0	-2.938	-1.588	-2.187	-3.287	-2.536	-1.1325	-3.948	-0.301	-3.1	-2.784	-3.41	-2.036	-3.355	-3.644	-2.806	-3.265	-0.159	-0.067	-4.493	-2.585	-1.048	-1.717	-1.933	0.057	-0.148	-0.748
"YOR287C"	0.266	-0.123	-1.639	-3.97	-2.174	-2.322	-3.247	-2.585	-1.505	-2.829	0.908	0.791	-1.875	-3.973	-2.752	-0.784	-1.247	-1.018	-0.023	0.297	0.902	-0.942	-1.823	-1.581	-0.557	-1.374	-1.938	-2.1335	-2.646	0.099	-2.765	-2.718	-2.953	-1.826	-3.301	-3.942	-2.391	-2.109	-1.634	-0.686	-3.411	-2.004	-2.133	-1.171	-1.882	0.802	-0.929	-0.899
"YOR294W"	-0.2	0.269	-3.856	-4.574	-3.828	-3.73	-4.407	-3.632	-1.719	-1.423	0.859	0.679	-2.027	-5.6475	-5.2465	-1.025	-1.799	-1.186	-0.128	0.434	-1.087	-3.09	-3.461	-1.971	-2.747	-3.216	-3.031	-1.381	-4.852	-0.757	-2.729	-2.527	-3.102	-2.77	-3.894	-4.841	-3.679	-3.042	-0.489	-0.036	-5.145	-2.638	-1.992	-2.075	-1.907	0.619	-0.496	-0.7
"YPL093W"	-0.334	0.1195	-2.2675	-1.3915	-4.676	-2.816	-2.793	-3.3145	-0.492	-1.525	0.6525	0.5	-1.1205	-1.728	-2.24066666666667	-0.382	-0.7195	-0.377	0.0735	-0.047	-1.071	-1.7935	-1.7975	-0.8205	-1.139	-1.2435	-0.9085	-0.144666666666667	-3.7325	-0.637	-1.9545	-1.655	-1.747	-1.039	-2.378	-2.6515	-2.061	-2.7585	-0.73	-0.5345	-2.5385	-1.525	-1.1615	-1.344	-1.8765	0.4085	-0.223	-0.3845
"YPR143W"	-0.108	-0.328	-2.688	-3.07	-2.179	-2.433	-3.115	-2.963	-1.0355	-1.222	1.2215	0.971	-1.837	-1.922	-3.332	-0.52	-1.024	-0.975	-0.15	0.536	-1.04	-0.709	-1.404	-1.302	-0.087	-1.163	-1.721	-1.1915	-3.674	-0.108	-1.459	-1.434	-1.482	-1.962	-2.271	-2.33	-1.733	-1.854	-1.162	-0.548	-3.13	-2.047	-1.451	-1.257	-1.118	0.702	-0.91	-0.943
