	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"
"YHR133C"	-1.453	-1.885	-3.501	-1.622	-1.64	-1.82	-2.45
"YHR208W"	-1.397	-3.12	-4.064	-1.934	-2.263	-2.683	-2.939
"YIL018W"	-2.488	-3.492	-5.749	-3.056	-2.661	-3.27	-3.914
"YIL096C"	-1.145	-1.96	-3.119	-0.843	-1.288	-1.637	-1.667
"YIL110W"	1.513	-2.455	-3.072	-1.042	-1.775	-2.473	-2.492
"YIL138C"	-0.564	-2.433	-3.747	-0.803	-1.524	-2.298	-1.906
"YIR004W"	-0.086	-0.769	-1.697	-0.228	-0.702	-1.046	-1.035
"YJL002C"	-1.243	-2.469	-4.487	-1.766	-1.748	-2.556	-2.618
"YJL059W"	0.325	-0.054	-2.246	0.144	-0.006	-0.326	-0.066
"YJL081C"	-0.905	-1.725	-4.519	-0.553	-1.259	-1.944	-1.52
"YJL145W"	-1.431	-2.136	-3.628	-1.336	-2.303	-2.334	-2.853
"YJL189W"	-1.647	-2.901	-4.28	-1.716	-1.577	-2.282	-2.837
"YJR080C"	0.373	-1.371	-4.219	0.084	-0.585	-1.108	-1.325
"YJR118C"	-0.394	-1.327	-2.497	-0.854	-0.882	-1.108	-1.366
"YKL008C"	-0.863	-1.196	-3.176	-0.886	-0.848	-1.235	-1.783
"YKL056C"	-1.541	-3.426	-5.119	-2.371	-2.754	-3.265	-3.483
"YKL077W"	-0.296	-1.385	-3.224	-0.831	-0.722	-1.046	-1.627
"YKL172W"	-1.845	-2.813	-5.305	-1.964	-2.271	-2.723	-3.135
"YKL181W"	-1.708	-1.818	-4.28	-1.935	-1.023	-2.292	-2.779
"YKL204W"	0.013	-1.387	-3.668	0.264	-0.532	-0.891	-1.163
"YKL212W"	-1.247	-3.014	-4.806	-1.651	-2.516	-2.929	-3.374
"YKR016W"	0.657	-1.418	-3.229	0.893	-1.089	-1.107	-1.686
"YKR028W"	-0.742	-2.477	-4.381	-0.908	-1.296	-1.963	-2.574
"YKR097W"	7.33	5.07	4.713	5.974	6.528	6.693	5.565
"YLR002C"	-1.168	-3.154	-4.959	-1.157	-2.578	-3.265	-3.45
"YLR052W"	-0.007	-0.773	-3.393	-0.337	-0.249	-0.572	-1.445
"YLR061W"	-2.908	-4.939	-6.591	-3.021	-3.309	-3.833	-3.91
"YLR065C"	-1.191	-1.93	-3.028	-1.411	-1.477	-1.554	-1.642
"YLR101C"	-1.233	-2.239	-3.161	-0.811	-1.911	-2.069	-2.518
"YLR208W"	-1.266	-1.968	-4.432	-1.568	-1.898	-2.183	-2.499
"YLR215C"	-0.197	-1.236	-3.445	-0.725	-0.778	-1.038	-1.746
"YLR293C"	-2.207	-3.488	-6.281	-2.233	-2.379	-3.03	-3.186
"YLR313C"	-0.113	-1.199	-2.959	0.131	-0.49	-0.677	-1.226
"YLR409C"	-1.629	-3.204	-4.211	-1.928	-2.713	-3.315	-3.47
"YML008C"	-0.575	-4.23	-4.829	-1.94	-3.358	-5.162	-3.504
"YMR047C"	-0.448	-1.2605	-3.61	-0.414	-0.7645	-1.0335	-1.4915
"YMR060C"	-0.348	-1.14	-3.1725	-0.2465	-0.4165	-0.756	-0.9875
"YMR099C"	-0.547	-1.645	-5.036	-0.43	-0.713	-1.558	-1.892
"YMR132C"	-0.706	-1.469	-2.963	0.28	-1.058	-0.888	-1.14
"YMR163C"	0.113	-1.126	-2.462	0.508	-0.617	-0.784	-1.126
"YMR217W"	-2.518	-4.735	-5.29	-2.622	-3.713	-4.205	-4.469
"YMR220W"	-0.681	-1.869	-3.12	-0.905	-1.468	-2.008	-1.728
"YMR226C"	0.091	-0.582	-2.394	0.062	0.139	-0.392	-0.665
"YMR229C"	-2.443	-4.4055	-5.288	-2.161	-3.7195	-3.685	-3.93
"YMR235C"	-1.783	-3.534	-5.187	-1.879	-2.838	-3.21	-3.756
"YNL032W"	-0.122	-1.24	-2.495	-0.397	-0.438	-0.771	-1.32
"YNL066W"	-4.141	-4.175	-5.451	-2.475	-2.02	-3.425	-3.757
"YNL178W"	-1.857	-4.338	-6.62	-3.272	-2.958	-3.483	-3.871
"YNL189W"	-1.084	-2.367	-4.06	-1.183	-2.058	-2.641	-3.084
"YNL303W"	-1.893	-2.836	-3.619	-1.485	-2.533	-2.398	-3.2
"YNL317W"	0.561	-0.748	-2.822	0.207	-0.357	-0.711	-0.694
"YOL033W"	0.338	-1.169	-1.382	0.255	-0.449	-0.773	-0.956
"YOR184W"	0.091	-1.887	-4.7005	-0.567	-0.937	-1.224	-2.221
"YOR206W"	-2.0975	-3.681	-6.4785	-2.2495	-3.151	-3.692	-3.694
"YOR209C"	-1.2605	-2.998	-6.004	-1.647	-1.897	-2.681	-2.954
"YOR253W"	-1.575	-2.7935	-5.157	-1.538	-1.872	-2.672	-2.633
"YOR272W"	-1.682	-3.353	-4.712	-1.779	-3.017	-3.307	-4.52
"YOR306C"	-0.7195	-1.3125	-3.4875	-0.6725	-0.786	-1.237	-1.263
"YOR321W"	0.039	-2.096	-3.7905	-0.701	-1.374	-1.619	-2.487
"YOR322C"	-0.0335	-0.363	-2.371	-0.0375	0.048	-0.418	-0.984
"YPL037C"	-1.975	-3.9955	-5.417	-2.148	-2.115	-3.222	-3.654
"YPL053C"	-0.7795	-1.561	-4.4065	-1.1555	-0.891	-1.562	-2.032
"YPL079W"	-2.3565	-3.892	-6.4765	-3.0255	-3.015	-3.498	-4.547
"YPL081W"	-2.508	-3.4025	-6.801	-2.428	-2.789	-2.909	-3.725
"YPL091W"	-1.442	-1.9175	-3.471	-0.895	-1.614	-1.738	-2.295
"YPL094C"	-1.14	-3.0415	-5.3055	-1.6665	-2.024	-2.284	-2.741
"YPL145C"	-0.775	-1.659	-4.3865	-1.177	-2.014	-2.71	-3.192
"YPL177C"	2.1955	-0.303	-2.265	0.9605	-0.775	-1.176	-0.975
"YPL225W"	-0.1305	-0.893	-2.987	-0.3375	-0.513	-0.966	-1.232
"YPL237W"	-2.029	-2.875	-5.7585	-1.8945	-2.006	-2.44	-3.024
"YPL273W"	-2.792	-3.722	-5.69966666666667	-2.69266666666667	-2.794	-3.21	-3.3575
"YPR033C"	-2.534	-4.8805	-7.94	-2.759	-3.951	-4.382	-4.54
"YPR090W"	-0.091	-1.41	-3.97	-0.2715	-0.76	-1.15	-1.379
"YPR107C"	-0.14	-1.3245	-3.49	0.251	-0.524	-1.0	-1.585
"YPR110C"	-2.8345	-3.662	-6.318	-2.285	-2.993	-3.212	-3.358
"YPR144C"	-0.6445	-3.129	-4.2065	-1.2035	-1.687	-2.51	-2.411
"YPR187W"	-1.511	-3.609	-5.408	-2.16	-2.28	-2.584	-3.22
"YPR188C"	-0.495	-1.7495	-3.36	-0.6505	-0.846	-1.162	-1.668
