	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YGL205W"	-0.187	0.246	1.031	1.504	3.723	3.208	2.819	1.951	5.153	1.069	1.511	1.495	2.487	1.859	0.747	0.402	3.556	3.796	4.177	-0.208	-0.669	0.199	-0.18	0.202	-0.747	-0.915	-0.369	-0.319	0.016	-1.425
"YGR110W"	0.994	1.025	3.059	3.408	3.575	2.845	3.106	3.427	4.541	2.006	1.881	2.242	2.425	2.361	2.625	2.566	2.578	4.305	3.146	0.198	0.228	-0.16	-0.17	0.173	-0.513	-0.497	-0.585	-0.593	0.4635	1.535
"YGR201C"	0.724	1.272	5.046	4.249	4.063	4.377	5.158	4.49	4.974	2.246	3.062	2.97	2.896	3.228	3.597	2.109	2.914	5.103	3.769	-0.069	-0.43	0.135	0.134	-0.036	0.078	0.064	0.653	0.556	-0.081	-0.026
"YHR160C"	0.501	0.594	2.803	2.285	3.129	2.892	3.668	3.757	5.293	1.754	1.87	2.171	1.972	0.87	1.829	2.887	3.407	3.939	3.173	-0.344	-0.455	0.401	0.637	0.018	0.114	0.218	0.394	0.081	0.835	0.348
"YIL101C"	2.836	2.507	4.085	3.455	3.613	3.609	3.977	2.863	4.152	3.241	2.324	2.418	1.78	1.936	3.227	2.8	4.566	4.346	4.03	-0.923	-0.448	0.711	0.337	-0.295	-0.403	-0.242	0.074	0.116	0.178	-0.626
"YIL120W"	0.138	0.33	1.649	1.536	1.395	1.32	1.525	1.822	4.578	0.769	0.832	0.799	1.319	1.289	0.996	2.065	0.518	3.061	2.677	-0.404	0.614	0.013	0.2	-0.189	-0.101	-0.324	0.341	0.114	0.397	0.321
"YIL146C"	-0.251	-0.074	2.334	2.196	2.111	2.234	2.539	2.94	3.637	0.723	1.068	0.997	1.658	1.857	2.177	2.693	3.595	3.491	2.947	-0.112	-0.495	0.35	0.1	-0.275	-0.125	-0.073	0.116	-0.01	0.348	1.106
"YIR038C"	1.915	2.489	2.688	2.939	2.784	3.094	3.422	2.764	4.672	1.247	2.004	2.091	1.659	1.539	2.764	3.481	4.704	4.358	3.022	0.185	0.3	0.708	1.189	-0.161	0.322	0.278	0.319	0.697	-0.179	1.133
"YJL066C"	1.725	1.585	3.176	3.323	3.479	2.755	2.79	3.462	4.019	1.801	1.811	1.934	1.663	1.583	2.029	2.063	3.576	3.436	2.791	0.148	0.14	0.787	0.866	0.048	-0.151	0.014	-0.301	0.011	-0.043	0.691
"YJL163C"	1.559	1.842	3.842	2.233	3.424	2.79	3.922	3.8	5.291	1.602	1.835	1.743	1.552	1.668	4.047	4.772	5.26	5.571	4.674	0.168	0.333	1.107	1.296	-0.174	-0.039	0.263	0.058	0.123	-0.207	1.813
"YJR008W"	1.126	1.421	2.34	2.316	3.929	3.529	4.368	3.419	3.964	3.745	3.536	2.826	1.935	3.793	3.187	3.699	4.553	5.21	4.377	-0.746	-0.746	0.56	0.547	-0.444	0.126	0.232	0.052	-0.03	0.183	1.17
"YKL050C"	-0.755	-0.843	1.443	0.631	1.612	3.19	4.636	NaN	3.353	0.124	0.451	1.181	1.798	1.481	4.351	4.561	2.659	2.578	1.692	-0.516	-0.321	0.124	0.887	-0.295	-0.106	-0.303	-0.232	-0.151	0.424	0.998
"YKL107W"	0.167	0.184	1.977	2.059	2.503	3.68	4.957	3.01	2.551	1.921	2.906	3.458	3.261	3.268	3.239	2.313	2.83	4.046	3.889	-0.312	-0.146	0.177	0.416	-0.152	-0.267	-0.427	-0.333	-0.3	0.053	0.327
"YKL124W"	0.67	0.588	1.903	1.965	2.202	2.028	2.103	2.176	2.289	1.521	1.344	1.974	1.638	1.21	2.086	2.271	2.09	2.043	1.423	-0.539	0.01	0.286	0.391	0.187	0.318	0.377	0.382	0.215	-0.137	0.479
"YKL146W"	0.312	0.677	1.781	2.54	1.784	2.024	1.679	1.376	1.449	0.45	0.495	0.635	0.464	0.39	1.453	1.611	2.189	2.953	1.873	-0.461	-0.093	0.609	0.61	-0.186	-0.053	-0.018	-0.06	0.01	0.491	-1.423
"YKR009C"	0.487	0.863	3.745	3.401	3.725	4.306	3.934	1.861	3.808	2.174	2.628	1.431	3.166	2.958	1.963	1.392	4.39	3.928	3.376	-0.039	0.114	0.064	0.135	0.196	-0.089	0.0	0.041	-0.111	0.305	-0.286
"YLL019C"	0.435	0.557	1.971	1.624	2.0355	1.832	1.8805	1.9865	2.1885	1.102	1.0635	1.257	1.021	0.6375	1.789	1.8515	1.9515	1.767	1.3115	0.057	-0.043	0.394	0.5155	0.021	0.0055	0.0245	-0.0045	-0.1305	0.003	0.532
"YLL020C"	0.742	0.631	2.548	2.425	2.819	2.393	2.931	3.266	3.846	1.718	1.37	1.193	1.519	1.423	2.494	2.677	3.623	3.679	3.754	0.045	0.185	0.292	0.374	-0.303	-0.337	0.063	-0.222	-0.229	0.082	0.07
"YLR156W"	0.212	0.529	1.281	1.462	1.837	1.612	2.511	3.06	3.101	0.756	0.34	0.48	1.183	0.986	2.087	2.291	3.877	3.302	3.197	-0.257	-0.123	0.0	-0.114	-0.27	-0.239	-0.229	0.118	-0.44	0.184	1.368
"YLR159W"	-0.279	0.444	0.635	0.836	1.433	0.674	3.108	1.962	3.737	0.52	0.588	0.133	1.114	0.597	1.76	1.408	3.064	3.448	2.889	-0.058	0.022	0.0	0.223	-0.049	-0.246	-0.068	-0.177	0.092	0.367	1.026
"YLR161W"	-0.235	0.493	NaN	2.484	3.531	1.412	4.592	3.318	5.255	2.037	NaN	-0.334	1.371	1.063	1.978	1.315	3.058	3.585	3.072	-0.169	0.002	0.138	0.108	0.185	-0.156	-0.141	-0.05	0.122	0.463	0.967
"YLR267W"	0.712	1.011	3.007	2.31	3.381	3.192	4.31	2.601	NaN	1.874	2.094	1.679	2.11	2.199	2.601	2.018	3.065	4.708	3.573	-0.094	0.058	0.032	0.225	-0.368	-0.203	-0.308	-0.286	-0.06	0.12	1.723
"YLR311C"	0.164	-0.202	3.535	3.882	4.224	3.277	3.765	2.811	3.182	1.644	1.481	2.026	2.73	2.447	2.447	3.128	3.92	3.702	3.13	-0.249	-0.367	-0.263	-0.09	-0.009	-0.764	-0.712	-0.383	-0.353	0.129	0.171
"YLR345W"	1.594	1.581	3.284	2.557	2.973	2.201	2.879	2.964	4.453	2.564	2.391	1.773	1.801	1.588	2.672	2.873	4.165	4.077	3.495	-0.114	0.185	1.431	1.329	-0.225	0.737	0.52	0.421	0.398	-0.031	1.319
"YMR118C"	-0.373	-0.202	1.566	2.237	2.784	3.914	5.005	4.013	3.37	0.42	0.486	2.062	3.038	3.051	3.669	3.896	3.917	3.997	2.908	-0.089	0.06	-0.046	-0.13	0.24	-0.167	-0.137	0.0	-0.105	0.212	0.208
"YNL203C"	0.592	1.229	1.537	2.51	3.194	3.245	2.947	3.013	4.465	1.367	2.131	2.006	2.16	2.442	0.926	0.876	3.52	4.085	3.894	-0.043	-0.069	-0.131	-0.009	-0.453	-0.492	-0.425	-0.271	-0.815	0.256	-0.875
"YNL223W"	0.652	0.912	2.732	2.157	2.221	2.465	2.269	2.643	2.323	1.626	1.524	1.265	1.291	1.189	1.911	2.195	1.917	2.141	1.362	-0.654	-0.646	0.624	0.628	-0.19	0.243	0.239	0.107	0.032	0.361	0.671
"YNR002C"	1.473	2.246	3.522	3.679	4.1155	3.544	3.295	4.0245	4.399	2.168	1.8715	2.342	0.9535	1.804	3.175	1.676	5.416	5.477	4.078	-0.085	-0.065	0.356	0.374	-0.108	0.024	-0.154	0.122	0.239	0.21	1.511
"YOL147C"	-0.627	-0.391	-1.3275	1.217	2.947	3.12	1.455	0.66	2.857	0.2585	-1.098	0.459	0.667	1.9405	1.414	0.791	2.634	2.054	1.667	0.167	-0.049	-0.007	-0.008	-0.082	-0.048	-0.118	0.013	0.154	0.01	-1.427
"YOR031W"	0.204	0.736	2.7555	1.852	1.0025	2.213	0.9345	2.678	6.023	2.296	0.0615000000000001	2.258	1.24	3.299	3.88	4.039	5.635	5.711	5.6	0.057	-0.056	0.205	0.263	-0.149	-0.174	0.012	-0.142	-0.022	0.418	0.93
"YOR032C"	0.898	0.976	1.409	0.91	1.8835	2.276	2.372	2.21	3.784	1.292	2.203	1.9435	1.946	2.901	2.599	2.772	3.53	4.701	3.536	-0.817	-2.225	-0.915	-0.746	0.089	-1.05	-1.081	-0.918	-0.641	0.692	2.603
"YOR152C"	0.714	0.774	3.13	2.73	2.6355	2.7555	2.9555	3.1825	3.475	1.069	1.5555	1.336	1.4745	1.5545	1.874	1.565	2.547	2.341	1.885	-0.224	0.52	0.27	0.181	-0.409	0.196	-0.207	0.104	0.254	0.217	0.131
"YOR178C"	1.479	1.12	4.6505	3.5155	4.543	3.9715	4.7535	4.727	4.682	3.6495	2.579	2.623	2.2575	2.2275	5.508	5.525	6.246	5.242	4.229	-0.03	0.047	-0.301	-0.484	-0.087	-0.343	-0.206	-0.21	-0.292	-0.146	0.603
"YPL057C"	0.784	0.653	2.419	1.9525	2.5335	2.288	2.0105	2.2905	2.9095	2.3175	2.1055	1.4065	1.4615	0.881	2.323	1.854	3.195	2.604	2.503	0.1	0.214	0.086	-0.259	-0.008	-0.547	-0.484	-0.571	-0.448	0.146	-0.873
"YPL147W"	0.636666666666667	0.719666666666667	2.51633333333333	2.51233333333333	3.635	3.046	3.802	3.194	5.74466666666667	3.24133333333333	2.73866666666667	2.89133333333333	2.694	2.44766666666667	2.074	2.4785	4.8195	4.6645	4.599	0.293	0.171	-0.003	0.1205	0.173	0.181	0.0115	0.0835	0.0295	0.178	-2.946
"YPR026W"	1.4505	1.0415	3.8095	3.0925	3.4835	3.5355	3.8265	3.212	4.272	2.0895	1.8575	1.9465	1.637	1.72	3.589	3.048	3.736	3.344	3.193	-0.005	0.056	0.832	0.601	-0.095	-0.295	0.101	-0.164	-0.293	0.237	-0.1965
"YPR149W"	1.57	1.389	2.8295	1.962	2.3805	2.3205	2.2755	2.2675	3.236	1.6055	1.288	1.665	1.378	-0.115	2.769	2.816	3.463	2.756	2.263	0.21	0.207	0.383	0.614	0.14	0.409	0.208	-0.096	0.305	-1.182	0.551
