	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"12744.heat shock 17 to 37, 20 minutes"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15636.Ca+FK 30min (2)"	"17677.Na+FK 60min (4)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"
"YHR142W"	-0.3905	-0.1515	0.103	-0.124	-0.1615	0.3475	0.114	-0.105	-0.287	-0.526	-0.088	0.102	-0.622	-0.661	-1.533	-2.576	-0.679	-0.449	-0.788	-0.545	0.409	0.757	0.504	0.685	0.283	-0.109	0.171	-0.657	-0.5	-0.2855	-0.811	-1.082	-0.55	-0.833	-1.127	-0.929	-0.173	0.491	-0.679	0.253	0.573	-0.772	-0.939	-1.155	-0.356	-0.21	-0.938	-1.035	-0.648	0.091	-0.132	-0.734
"YJR059W"	1.78033333333333	2.28033333333333	2.626	2.37733333333333	2.494	1.13133333333333	1.715	2.22833333333333	2.14233333333333	0.744	1.449	1.2675	1.377	1.419	-0.012	-2.041	1.405	1.27	-0.1035	-0.3175	2.8745	2.872	2.922	2.318	2.5115	2.69	2.6385	0.85	-1.55	1.689	1.394	0.903	0.02	1.207	1.051	0.276	-0.185	1.52	1.67	2.086	1.805	-0.343	0.405	0.757	0.444	1.299	0.229	0.764	0.826	0.564	-0.368	1.967
"YKL025C"	0.1785	0.0615	0.6755	0.5855	0.451	0.3915	0.5605	0.686	0.621	-0.019	0.129	0.142	0.568	0.392	-1.357	-1.823	0.078	0.398	-1.419	-1.546	0.915	1.026	0.982	0.711	0.884	1.038	0.924	0.1	-1.957	0.483	-0.372	0.418	0.11	-0.128	-0.656	-0.666	-0.624	0.763	0.012	0.531	0.343	-0.77	-0.141	-0.545	-0.434	-0.545	-1.233	-0.432	-0.741	0.037	-0.889	-0.126
"YKL036C"	1.9065	2.475	2.7835	3.0415	2.617	1.8955	2.4385	2.76	3.208	0.404	1.542	1.932	0.948	0.672	-0.816	-1.605	0.741	0.305	0.375	-0.054	1.774	1.483	2.048	1.822	0.804	1.608	2.055	0.051	0.139	3.4625	1.242	0.967	0.674	1.074	1.178	0.169	1.295	2.793	1.233	2.378	1.332	0.568	0.424	0.731	0.388	1.222	-0.097	-0.096	0.257	0.003	-0.475	0.585
"YKL104C"	0.215	0.138	0.671	0.594	0.52	0.557	0.38	0.692	0.548	-0.184	0.405	0.756	0.008	-0.078	-2.463	-3.649	-0.898	-1.051	-2.85	-2.774	0.012	0.151	0.253	0.341	-0.135	0.371	0.568	-0.408	-1.549	0.208	-0.613	-1.067	-1.444	-0.611	-1.123	-0.742	-0.398	0.828	0.181	0.965	0.996	-0.767	-0.855	-0.655	-0.969	-2.036	-1.336	-0.21	-0.921	-0.068	-0.819	-0.889
"YLL018C"	0.289	0.217	0.333	0.957	-0.061	-0.066	-0.199	-0.0035	-0.317	-0.149	-0.429	-0.574	-0.5545	-1.064	-2.2175	-5.451	-0.565	-0.8095	-0.401	-1.0055	0.467	0.796	0.391	0.545	0.086	-0.124	0.011	-1.2965	-1.2725	-0.4825	-0.584	-1.1495	-0.4955	-0.795	-0.975	-0.776	-0.3355	0.072	-0.321	-0.626	-0.692	-1.179	-0.971	-0.349	-0.848	-1.249	-1.218	-1.404	-1.308	-1.255	-1.533	-0.337
"YLR314C"	0.407	0.547	0.589	0.667	0.308	-0.379	0.281	-0.056	0.009	-0.682	0.182	-0.101	-0.859	-1.783	-2.218	-5.585	-2.505	-2.761	-3.447	-3.937	0.287	0.333	0.284	0.529	-0.021	0.282	0.127	-1.17	-0.526	0.041	-0.261	-0.599	-0.352	-0.575	-0.397	-0.253	-0.391	0.342	0.005	-0.087	0.197	-1.957	-2.039	-1.746	-1.03	-1.259	-0.71	-0.524	-0.622	-0.515	-1.262	-0.668
"YLR378C"	-0.549	-0.402	-0.079	5.14	-0.501	-0.3	-0.273	-0.061	0.054	-1.37	0.244	0.377	-0.693	-0.989	-1.61	-4.082	-1.096	-1.191	-1.826	-1.68	0.221	0.769	0.681	0.891	-0.15	-0.015	0.225	-0.957	-2.4	0.101	-0.982	-2.112	-1.338	-1.174	-1.853	-0.916	-0.828	0.435	-0.254	0.127	0.144	-1.378	-1.227	-1.248	-1.704	-1.817	-3.641	-1.444	-1.76	-0.511	-1.618	-1.574
"YML052W"	0.0355	0.4975	0.0095	-0.4665	-0.497	0.1475	-0.1345	-0.4	-0.309	-1.3205	-0.025	-0.041	-1.049	-2.939	-2.3895	-4.119	-0.678	-1.205	-0.3035	-1.0655	-0.0035	-0.3775	-0.397	-0.467	0.1945	-0.134	-0.3265	-1.2395	-1.704	-0.084	-1.247	-2.119	-2.239	-1.3165	-1.9085	-2.4095	-0.719	-0.1115	-0.2795	-0.7005	-0.925	-1.8455	-1.848	-1.681	-1.2805	-2.288	-2.049	-2.1335	-2.3385	-2.282	-3.061	-0.4225
"YML085C"	0.228	0.619	0.382	0.057	-0.042	-0.242	-0.138	-0.252	-0.096	-0.448	0.143	0.158	-0.889	-2.478	-3.379	-4.526	-1.408	-1.564	-2.298	-2.55	0.285	0.214	0.807	0.173	NaN	1.943	2.392	-1.886	-2.256	0.014	-0.386	-0.923	-0.653	-0.356	-0.852	-1.299	-0.419	0.252	0.355	0.228	0.084	-0.984	-1.277	-0.829	-0.425	-1.206	-0.313	-1.52	-1.662	-1.193	-1.524	-1.407
"YMR092C"	0.674	1.142	1.666	1.679	1.484	0.979	1.184	1.518	1.591	0.826	1.014	0.886	0.073	-0.179	-1.311	-3.503	0.277	0.188	-1.529	-2.055	0.687	0.629	1.075	1.207	0.441	0.757	0.992	-0.19	-2.455	1.438	0.2	0.565	0.406	0.407	0.564	0.858	0.711	1.713	0.815	1.376	0.621	0.261	0.825	0.234	-0.132	-0.347	-1.843	-1.101	-1.001	-0.339	-1.302	-0.662
"YMR203W"	-0.085	-0.101	NaN	-0.021	0.042	0.61	0.239	0.144	0.052	-0.279	0.444	0.559	-0.171	-0.86	-1.421	-4.985	-0.813	-0.723	-1.231	-1.861	0.127	0.512	0.642	0.775	0.128	0.281	0.215	-0.76	-2.135	-0.091	-0.251	-0.686	-0.473	-0.555	-0.97	-0.192	-0.542	0.764	-0.442	0.2	0.328	-0.935	-0.948	0.311	-0.462	-0.386	-2.751	-1.598	-1.647	-1.329	-1.802	-0.672
"YMR215W"	0.146	-0.033	-0.384	-1.103	-1.193	-0.389	-0.826	-1.022	-0.936	-1.66	-0.497	-0.709	-1.01	-3.881	-3.705	-4.406	-2.081	-3.365	-2.956	-3.467	-0.79	-0.712	-1.233	-1.4	-0.414	-0.497	-0.899	-2.702	-1.9785	-1.114	-1.333	-2.388	-2.485	-1.452	-2.546	-1.963	-1.994	-0.757	-0.98	-0.919	-0.905	-2.595	-2.288	-2.789	-1.7	-3.226	-3.776	-2.586	-2.739	-2.197	-2.507	-2.017
"YNL283C"	-0.524	-0.406	-0.304	-0.743	-0.782	-0.247	-0.315	-0.396	-0.49	-0.634	-0.044	0.171	-0.791	-1.905	-1.051	-2.024	-0.593	-1.031	-0.11	-0.954	0.011	0.353	0.086	-0.174	0.18	0.107	-0.135	-1.035	-1.585	-0.674	-0.812	-1.103	-0.607	-0.75	-1.436	-1.275	-0.684	-0.232	-0.274	-0.006	0.379	-0.536	-1.557	-1.704	-0.606	-1.987	-1.122	-1.192	-1.938	-1.23	-2.136	-0.73
"YNL287W"	-0.057	-0.603	0.093	0.04	-0.018	-0.103	0.103	0.233	0.1	-0.406	-0.088	-0.164	-0.849	-0.596	-2.621	-3.454	-0.779	-1.013	-2.841	-3.164	0.02	0.355	0.305	0.286	0.121	0.419	0.48	-0.624	-2.073	0.147	-0.087	-0.526	-0.194	-0.44	-1.09	-0.758	-0.707	-0.476	0.005	0.402	-0.007	-1.328	-1.42	-1.313	-1.107	-0.271	-1.221	-0.508	-0.996	-0.659	-0.906	-1.375
"YNR013C"	0.094	-0.318	0.198	-0.201	-0.032	0.287	0.055	0.146	-0.049	-0.885	-0.733	-0.445	0.0815	-0.1105	-0.475	-1.599	-1.385	-0.969	-2.107	-2.29	0.031	0.489	0.112	0.065	-0.169	-0.359	-0.031	-0.858	-1.831	-0.083	-0.724	-1.074	-0.798	-0.995	-1.243	-1.296	-1.144	0.386	-0.131	-0.106	0.048	-1.511	-0.91	-1.124	-0.98	-1.173	-0.267	-0.554	-0.729	-1.585	-0.641	-0.999
"YOL030W"	0.063	0.287	0.359	-0.02	-0.013	-0.227	0.346	0.194	0.178	-0.203	0.199	0.351	-0.315	-1.2335	-0.1635	-1.9685	-0.376	-0.968	-2.047	-2.204	0.383	0.539	0.689	0.669	0.263	0.561	0.545	-1.303	-3.351	0.103	-0.653	-1.335	-1.365	-0.581	-1.165	-1.355	-0.196	1.504	-0.286	0.106	0.185	-1.192	-0.62	-0.586	-0.523	-0.917	-2.411	-1.689	-1.844	-1.927	-1.552	-1.735
"YOR161C"	2.026	3.522	4.001	3.236	3.086	2.634	3.119	3.816	4.021	1.761	2.735	2.659	1.305	1.1705	-0.5185	-2.084	1.331	2.717	0.641	0.206	3.946	3.281	3.838	3.915	3.134	3.494	3.886	1.835	-1.147	4.326	3.126	1.496	-0.076	3.108	0.954	-0.736	1.417	4.548	2.778	3.637	2.295	0.898	1.382	1.126	0.17	2.276	0.367	1.64	1.938	2.181	0.595	0.715
"YOR250C"	0.183	0.854	0.544	0.596	0.206	0.11	0.057	0.523	0.642	-0.149	0.451	0.228	0.344	0.3175	-2.128	-5.506	-0.152	0.048	-0.83	-0.747	0.939	1.009	1.048	0.979	0.564	0.679	0.563	-0.058	-1.718	0.801	-0.432	-0.906	-0.446	-0.278	-0.942	-0.087	0.001	1.184	-0.218	0.498	0.253	-1.074	-1.225	-1.138	-0.815	-0.231	-0.457	0.393	0.117	0.446	-0.309	-0.827
"YPL169C"	0.138	0.293	0.173	0.204	0.018	-0.206	0.102	0.106	-0.042	-0.531	-0.1935	-0.1535	-0.153	-0.708	-0.2285	-3.9205	-0.666	-0.286	-0.881	-0.787	0.062	-0.169	-0.014	0.018	-0.526	-0.063	0.068	-0.624	-1.562	0.167	-0.487	-0.232	-0.299	-0.371	-0.513	-0.684	-0.235	0.979	-0.354	0.069	-0.08	-0.814	-0.536	-1.136	-0.881	-0.434	-0.65	-1.255	-0.513	-0.13	-0.579	-0.698
"YPR181C"	-0.043	-0.354	0.171	-0.03	-0.141	-0.176	0.044	0.003	0.1	-0.627	-0.047	0.3945	-0.5595	-1.004	-2.057	-3.9085	-0.898	-0.641	-1.196	-1.542	-0.09	0.509	0.297	0.291	-0.175	0.013	0.18	-1.163	-2.144	0.044	-1.178	-1.373	-1.02	-1.076	-2.092	-0.279	-0.592	0.713	-0.562	0.18	-0.249	-1.661	-1.35	-1.641	-1.174	-1.979	-4.274	-1.901	-1.719	-0.485	-1.517	-2.074
