	"497.Heat Shock 000 minutes"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"813.MHY1 (dun1) + heat 20 min"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8204.steady state 29 dec C"	"8229.dtt 030 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"21660..24 mM H2O2- 120 minutes"	"28852.P2Comp 12 hr 22 min Phosphate Batch vs Chemostat Comparison2"	"30773.Pomona/Brown Sir3x red"	"40960.H2O2_II_180_min"
"YER145C"	0.644	1.48	0.604	-0.019	-1.834	-1.544	-3.836	-5.091	-1.471	-1.118	-0.786	-0.621	-1.863	-1.163	-1.536	-2.549	-2.941	-0.205	-0.068	0.022	0.194	-1.5505	0.055	0.017	-0.6845	-1.289	-0.0095	-0.396
"YFR013W"	0.222	-0.231	0.362	-0.288	-0.116	-0.168	-1.774	-3.723	0.358	-0.351	-0.255	-0.706	-0.299	-0.598	-1.523	-1.998	-1.759	-0.042	0.012	-0.13	0.172	-0.104	-0.057	-0.1205	0.1405	-0.621	-0.027	0.024
"YFR044C"	0.414	0.175	0.198	0.272	-1.41	-1.632	-3.87	-5.917	-0.044	-0.269	-1.039	-1.546	-0.706	-0.82	-0.889	-1.826	-2.142	0.13	0.063	0.034	0.304	-1.522	0.259	0.163	-0.332	-1.0935	0.331	-0.042
"YGL001C"	0.376	-0.494	0.287	-0.386	-1.369	-1.474	-2.878	-4.137	-0.744	-0.576	0.039	-0.673	-0.843	-1.195	-1.719	-2.358	-2.176	0.099	0.137	-0.104	-0.01	-1.066	-0.432	-0.094	0.144	-1.119	0.002	-0.911
"YGL026C"	0.429	-0.932	0.336	0.03	-0.768	-0.135	-3.132	-4.669	-1.878	-1.383	-1.626	-1.543	-0.678	-0.839	-1.868	-2.181	-2.636	0.201	0.025	0.187	-0.012	-1.134	-0.014	-0.096	0.513	1.091	0.425	0.795
"YGL157W"	-0.416	-2.29	-0.769	0.748	-3.853	-3.767	-3.578	-6.107	-1.481	-1.996	-1.999	-2.143	-2.738	-2.628	-2.488	-2.817	-3.666	0.085	0.099	0.08	-0.475	-2.632	-0.325	-0.113	0.69	0.547	-0.128	-0.02
"YGL202W"	0.531	-0.833	0.573	-0.67	-1.935	-1.435	-3.334	-4.405	-1.664	-1.938	-2.233	-1.883	-1.963	-2.379	-2.119	-2.237	-2.614	0.182	-0.072	0.388	0.454	-2.572	-0.011	-0.128	0.018	-1.0585	0.223	0.493
"YGL245W"	0.521	-1.136	0.55	-1.348	-1.475	-2.145	-4.799	-6.655	-1.774	-1.33	-1.699	-2.088	-1.589	-2.121	-3.552	-4.345	-4.779	0.338	0.202	0.257	0.525	-1.658	0.199	0.216	-0.219	-0.9315	0.257	-0.236
"YGR001C"	0.739	-0.29	0.333	-0.693	-0.842	-0.607	-2.12	-3.271	-0.573	-0.842	-0.824	-1.121	-0.879	-0.942	-1.426	-1.682	-2.24	0.205	0.244	0.294	0.264	-0.542	0.211	0.268	0.517	-1.061	-0.315	-0.505
"YGR185C"	0.667	-0.665	0.691	-1.289	-2.13	-2.168	-5.306	-6.361	-1.442	-1.736	-2.6	-2.266	-2.531	-2.944	-4.576	-4.871	-5.006	-0.065	0.0675	0.411	0.695	-2.438	-0.002	-0.011	0.122	-0.14	0.247	0.298
"YHR019C"	1.111	-1.258	0.875	-1.072	-1.831	-2.048	-4.051	-5.077	-3.299	-2.825	-2.664	-2.76	-2.109	-2.06	-3.117	-3.721	-4.387	0.107	0.0315	0.338	0.377	-1.834	-0.009	0.239	0.019	-1.515	0.257	-0.29
"YHR064C"	0.709	-1.126	0.778	-1.671	-1.77	-1.712	-3.329	-5.238	-3.074	-2.229	-2.559	-0.22	-1.754	-2.25	-2.957	-3.678	-3.675	-0.025	-0.0065	0.155	0.664	-2.056	0.195	0.172	-0.099	0.556	0.507	-0.99
"YHR068W"	0.968	-1.125	0.941	-0.95	-3.015	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-1.119	-1.927	-2.429	-2.724	-3.669	-3.425	-0.023	-0.0565	0.036	0.663	-2.29	0.084	0.06	-0.018	-0.805	0.103	-0.663
"YHR098C"	0.248	-1.001	-0.012	0.196	-0.96	-0.638	-2.065	-3.065	-0.7985	-1.1425	-1.159	-1.2865	-1.2075	-1.218	-1.917	-1.925	-2.553	-0.1005	0.118666666666667	0.141	0.336	-2.4395	-0.206	-0.265	-0.259	-0.7055	0.2865	-0.344
"YJR007W"	1.053	-0.919	0.742	-1.041	-1.68	-2.662	-3.21	-8.057	-1.588	-1.339	-1.824	-1.91	-1.848	-2.051	-2.909	-3.009	-3.616	-0.148	0.099	0.375	0.592	-1.685	0.089	0.114	-0.06	0.494	-0.02	-0.414
"YKL056C"	0.909	-1.453	1.083	-1.194	-1.541	-1.771	-3.426	-5.119	-1.914	-2.359	-2.371	-2.389	-1.741	-2.281	-2.754	-3.265	-3.483	-0.211	0.2585	0.059	0.817	-1.777	0.932	0.736	-0.632	-1.132	0.125	0.404
"YKL152C"	0.523	-0.972	0.461	0.015	0.058	-0.785	-3.152	-4.943	-1.08	-1.083	-2.237	-1.871	0.348	-0.245	-1.713	-1.83	-2.83	-0.022	0.208	0.184	0.253	-0.203	0.43	0.357	0.275	0.96	0.135	0.665
"YKL153W"	0.427	-1.374	-0.069	-0.529	-0.669	-0.956	-3.54	-5.051	-1.511	-1.751	-2.882	-2.267	0.359	-0.755	-1.986	-2.039	-2.818	-0.218	0.295	0.213	0.397	-0.232	0.421	0.337	0.226	0.936	0.244	0.005
"YLR020C"	0.606	-0.484	0.57	-0.295	-0.962	-0.385	-1.106	-2.701	-1.178	-1.232	-0.706	-0.986	-1.134	-0.832	-1.019	-1.266	-1.711	-0.292	-0.245	0.297	0.53	-0.345	0.031	-0.196	-0.009	0.68	0.219	0.281
"YLR060W"	0.836	-1.157	0.614	-0.609	-2.499	-2.849	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	-2.397	-2.667	-3.118	-3.713	-4.371	-0.153	0.076	0.303	0.317	-2.464	-0.058	-0.301	0.381	-1.787	0.239	0.458
"YLR208W"	0.589	-0.592	0.588	-0.463	-1.266	NaN	-1.968	-4.432	-1.163	-0.959	-1.568	-2.018	-1.454	-1.248	-1.898	-2.183	-2.499	-0.107	0.063	0.041	0.456	-1.044	0.101	0.045	-0.037	-1.075	0.35	-0.348
"YLR291C"	0.708	-0.737	0.624	-0.802	-1.482	-1.792	-3.037	-4.762	-1.324	-1.096	-1.104	-2.027	-1.186	-1.283	-1.783	-2.216	-2.363	0.006	-0.027	0.19	0.359	-1.532	-0.005	-0.067	0.066	1.398	0.157	-0.775
"YLR292C"	0.535	-0.336	0.6	0.187	-0.855	-0.297	-1.605	-3.717	-0.964	-1.033	-0.893	-0.887	-1.241	-0.63	-1.388	-1.751	-1.71	-0.073	-0.076	0.303	0.455	-0.984	-0.049	-0.06	0.564	-0.393	0.16	0.712
"YLR293C"	0.886	-1.282	0.877	-1.218	-2.207	-2.675	-3.488	-6.281	-2.107	-1.751	-2.233	-2.661	-1.45	-2.158	-2.379	-3.03	-3.186	0.527	0.168	0.535	0.595	-2.235	0.406	0.387	0.009	-0.368	0.092	-0.548
"YLR314C"	0.109	-0.501	0.098	-0.739	-1.783	-1.658	-2.218	-5.585	-0.307	-0.846	-1.368	-1.023	-2.505	-2.761	-2.906	-3.447	-3.937	0.07	0.203	0.323	0.194	-1.17	0.068	-0.065	0.137	1.514	0.008	-0.293
"YLR340W"	1.063	-1.031	1.164	-1.728	-2.963	-2.876	-4.11	-6.819	-2.128	-2.646	-3.015	-2.689	-2.703	-2.701	-2.702	-3.206	-4.105	0.03	0.378	0.523	0.828	-2.949	0.326	0.357	-0.59	-1.172	0.222	0.931
"YLR372W"	0.939	-0.988	1.022	-1.827	-2.818	-3.001	-2.731	-4.512	-3.069	-2.683	-2.643	2.656	-2.838	-3.773	-2.844	-3.456	-3.544	-0.997	-0.066	0.189	0.445	-2.188	0.238	0.236	-0.726	-2.244	0.133	-1.215
"YML085C"	0.453	-0.692	0.198	-0.958	-2.478	-1.372	-3.379	-4.526	-1.307	-1.049	-2.04	-2.802	-1.408	-1.564	-1.907	-2.298	-2.55	0.102	0.027	0.301	0.345	-1.886	0.044	-0.067	0.197	-1.317	0.26	-0.185
"YMR017W"	-0.692	0.436	-0.374	0.291	1.684	0.271	2.858	4.246	1.021	1.373	1.603	0.243	0.619	1.867	2.08	2.127	2.376	0.174	-0.528	-0.206	-0.848	-0.577	-0.072	-0.059	-0.282	-0.888	0.152	-0.249
"YMR114C"	-0.646	0.604	-0.848	0.265	2.847	2.327	4.1	4.572	2.095	2.582	2.58	2.319	2.032	2.343	3.614	3.555	3.502	0.028	-0.008	-0.263	-0.48	1.879	0.125	0.032	-0.228	-0.601	0.225	-0.469
"YMR130W"	0.623	-0.83	0.607	-0.25	-1.614	-1.215	-1.972	-3.845	-1.058	-1.571	-0.671	-1.168	-1.36	-1.47	-2.339	-2.247	-2.295	-0.365	0.169	0.405	0.362	-1.328	-0.077	0.0	0.46	0.298	-0.202	-0.495
"YMR215W"	0.545	-1.0	0.507	-0.941	-3.881	-1.933	-3.705	-4.406	-1.896	-1.984	-2.601	-3.639	-2.081	-3.365	-2.939	-2.956	-3.467	-0.102	0.067	0.187	0.209	-2.702	0.223	0.147	-0.819	-1.981	0.169	0.365
"YMR235C"	0.788	-1.348	0.731	-0.555	-1.783	-1.785	-3.534	-5.187	-1.622	-1.883	-1.879	-2.052	-2.046	-2.046	-2.838	-3.21	-3.756	0.325	-0.11	0.291	0.181	-1.782	0.123	-0.02	0.094	0.001	0.1645	0.479
"YMR237W"	-0.122	-0.41	-0.171	0.639	-0.894	-1.08	-2.955	-4.233	0.281	-0.21	-0.509	-0.68	-0.651	-0.65	-1.452	-1.947	-2.335	0.413	-0.065	0.098	-0.003	-0.828	-0.061	-0.126	0.2	-0.844	0.1355	0.231
"YOR239W"	0.045	-0.538	-0.073	-0.421	-1.31	-2.145	-3.232	-5.0985	-0.9345	-1.0745	-1.633	-1.8425	-2.053	-2.15	-3.149	-3.934	-3.704	0.184	0.021	-0.0365	0.2135	-1.366	-0.2655	-0.1615	-0.293	1.135	0.155	-0.194
"YOR254C"	0.5	-1.067	0.296	-0.171	-1.671	-1.5485	-2.192	-6.426	-2.053	-1.8245	-2.018	-1.4845	-1.904	-1.86	-2.354	-2.689	-2.309	-0.377	0.019	0.046	0.5455	-1.174	-0.192	0.005	-0.03	NaN	0.143	-0.951
"YOR260W"	0.805	-0.503	0.712	-0.287	-1.6735	-1.833	-2.507	-4.639	-2.1155	-1.8705	-1.6575	3.0405	-1.513	-1.624	-2.257	-2.577	-3.081	-0.106	-0.043	0.119	0.243	-1.54	0.031	0.232	-0.334	-0.727	0.165	-0.778
"YOR323C"	0.575	-0.775	0.361	-0.816	-1.941	-2.0305	-4.2845	-6.434	-1.9425	-2.061	-2.106	-2.053	-1.557	-1.382	-2.742	-3.497	-3.428	0.031	0.227	0.451	0.4405	-1.603	0.142	0.093	0.366	-0.924	0.15	0.106
"YPL028W"	0.515	-0.766	0.365	-0.632	-1.3315	-1.7105	-3.482	-5.5385	-1.178	-1.1795	-1.9625	-2.1645	-1.336	-1.006	-1.692	-2.17	-2.948	0.009	0.225	0.072	-0.06	-1.486	-0.201	-0.121	-0.221	1.133	0.106	0.313
"YPL037C"	0.835	-0.462	0.69	-0.961	-1.975	-2.12	-3.9955	-5.417	-1.813	-1.4435	-2.148	-1.96	-1.561	-1.872	-2.115	-3.222	-3.654	-0.218	0.237	0.0525	0.382	-1.648	0.499	0.4	-0.149	0.974	0.134	-0.09
"YPL048W"	0.13	-1.022	0.073	-0.423	-1.6885	-1.898	-3.2175	-4.579	-1.1285	-1.2575	-1.4725	1.47	-1.113	-0.823	-1.535	-1.925	-2.183	0.406	-0.059	0.122	0.2405	-0.719	-0.196	-0.193	0.489	0.883	0.125	0.24
"YPL094C"	0.436	-0.635	0.41	-0.416	-1.14	-1.143	-3.0415	-5.3055	-1.5125	-1.1815	-1.6665	-1.6385	-1.142	-1.061	-2.024	-2.284	-2.741	0.067	-0.205	-0.076	0.2385	-0.981	-0.104	-0.114	-0.076	-0.212	0.143	0.115
"YPL220W"	1.277	-1.189	1.154	-2.333	-2.1715	-2.2495	-3.187	-6.1465	-3.0375	-3.442	-3.3935	-2.852	-2.548	-2.639	-2.247	-2.571	-3.926	0.383	0.236	0.3965	0.7055	-1.925	0.448	0.378	-1.007	-2.745	0.216	-0.89
"YPL243W"	0.625	-0.823	0.515	-0.704	-1.456	-1.5805	-4.1455	-5.276	-1.0	-1.0065	-1.315	-1.5105	-1.377	-1.873	-2.602	-3.541	-3.544	-0.137	0.174	0.3375	0.4795	-1.188	0.019	0.072	-0.147	-2.115	0.154	-1.036
"YPR033C"	0.789	-0.59	0.6725	-1.113	-2.534	-2.142	-4.8805	-7.94	-2.32	-2.0735	-2.759	-2.6225	-2.096	-2.55	-3.951	-4.382	-4.54	0.089	0.242	0.16	0.3525	-2.107	0.003	0.112	0.131	-1.347	0.327	-0.012
"YPR074C"	0.666	-1.655	0.5385	-0.795	-3.2975	-2.2945	-5.337	-5.42	-3.374	-2.2005	-3.7185	-4.2955	-2.351	-3.162	-3.369	-3.61	-3.663	-0.28	0.099	0.4185	0.0355	-3.132	-0.493	-0.229	-0.348	-1.52	0.172	-0.122
"YPR118W"	1.07	-0.94	0.7795	-0.791	-2.706	-3.095	-3.9965	-5.524	-2.525	-2.5375	-2.305	-2.577	-2.594	-2.077	-2.882	-3.334	-3.538	0.058	-0.027	0.318	0.6755	-1.794	0.023	-0.046	0.366	-0.886	0.177	-1.022
"YPR129W"	0.218	0.202	0.207	-0.473	-1.3305	-1.0935	-1.8015	-6.025	-0.2165	-0.4075	-1.057	-0.8035	-1.085	-1.288	-1.298	-2.61	-2.139	-0.007	0.135	0.056	0.38	-0.88	0.072	0.126	-0.198	1.811	0.088	0.532
