	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"516.2.5mM DTT 060 min"	"517.2.5mM DTT 090 min"	"686.YP ethanol vs reference pool"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"1012.YPD 12 h (25C)"	"1173.PHO4c vs. wild type"	"1301.PHO81c vs. wild type, exp.2"	"4872.1M sorbitol - 60 min"	"7539.25C -- 90 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"32253.DBY8778_heat_shock2_15min"	"33779.delYPL230w_stationary_phase_5hours"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40955.H2O2_II_77_min"
"YDR417C"	-2.075	-1.608	-2.715	-3.361	-0.138	-0.744	-1.09	-1.257	-1.053	-0.737	-0.623	-3.705	-2.778	-2.992	-2.407	-2.511	-3.327	-4.279	-5.062	-0.995	-4.223	-0.109	-0.278	0.078	1.424	-2.149	-2.642	0.423	0.292	-1.745	-3.585	-1.238	-2.106	-2.199	-1.947
"YDR418W"	-1.94	-1.617	-2.789	-3.411	0.227	-0.496	-0.817	-1.178	-1.012	-0.736	-0.618	-3.707	-3.13	-2.7	-2.237	-2.192	-2.976	-3.074	-5.866	-1.059	-4.449	-0.295	-0.187	0.253	1.436	-2.345	-2.74	0.287	0.634	-2.105	-3.263	-1.737	-1.863	-0.484	-1.131
"YDR447C"	-2.299	-2.149	-3.242	-3.562	-0.149	-0.743	-0.646	-1.542	-1.567	-1.217	-0.98	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-5.332	-1.447	-4.249	-0.816	-0.57	0.176	1.164	-2.1165	-2.593	0.5775	0.304	-3.102	-4.358	-1.4305	-2.86	-2.8305	-1.946
"YFR031BC"	-2.494	-2.027	-3.278	-3.975	0.065	-0.511	-1.727	-1.486	-1.45	-1.145	-0.911	-4.567	-3.823	-3.84	-2.931	-2.798	-2.801	-4.702	-7.029	-1.452	-4.74	-0.155	-0.064	-0.05	1.315	-2.438	-3.021	0.501	0.098	NaN	NaN	1.203	NaN	1.711	NaN
"YGL031C"	-2.424	-1.886	-3.443	-3.97	-0.118	-0.485	-1.231	-1.235	-1.404	-1.087	-1.004	-3.366	-4.285	-3.732	-2.9	-1.846	-3.104	-3.683	-5.763	-1.287	-5.191	-0.781	-0.449	0.114	1.123	-2.655	-3.282	0.165	0.267	-2.401	-2.773	-1.701	-1.852	-1.796	-0.81
"YGL123W"	-2.557	-2.339	-3.47	-4.378	0.09	-0.264	-1.693	-1.236	-1.272	-1.163	-0.869	-3.781	-3.757	-3.726	-3.265	-2.802	-3.62	-4.004	-5.982	-1.784	-3.511	0.078	-0.033	0.027	1.558	-2.357	-3.308	0.421	0.408	-2.292	-4.123	-1.047	-2.466	-2.204	-1.845
"YGL135W"	-2.285	-2.468	-3.231	-3.984	0.179	-0.584	-1.162	-1.323	-1.448	-1.169	-0.935	-3.221	-2.573	-2.455	-2.548	-2.301	-2.942	-3.418	-5.687	-1.432	-3.581	0.021	0.097	-0.045	1.413	-2.233	-3.406	0.551	0.488	-2.824	-3.617	-1.505	-3.45	-2.507	-1.573
"YGL147C"	-3.006	-2.704	-4.102	-4.319	-0.033	-0.648	-1.473	-1.232	-1.516	-1.188	-0.829	-3.892	-3.111	-3.32	-3.389	-2.422	-3.896	-3.921	-7.507	-1.185	-4.384	0.109	-0.094	0.326	1.209	-2.532	-3.829	0.7	0.778	-2.3925	-3.1585	-2.793	-3.253	-3.352	-3.271
"YGR034W"	-2.191	-2.26	-3.059	-2.884	0.263	-0.166	-0.845	-1.131	-1.2	-1.029	-0.786	-3.922	-3.172	-3.096	-2.637	-2.107	-2.998	-3.052	-6.281	-1.028	-3.635	0.203	0.344	0.049	1.35	-1.469	-2.708	0.27	0.116	-2.451	-4.347	-1.818	-2.289	-1.38	-1.817
"YGR085C"	-1.952	-2.023	-2.966	-3.664	-0.111	-0.994	-0.601	-1.064	-1.229	-0.866	-0.548	-3.713	-3.301	-2.511	-2.202	-2.29	-2.146	-3.406	-6.059	-1.043	-4.359	0.027	0.283	0.278	0.979	-2.156	-2.908	0.237	0.236	-2.338	-3.45	-1.471	-1.698	-1.091	-0.521
"YGR118W"	-1.6645	-1.6245	-2.6185	-3.085	-0.108	-0.738	-0.939	-0.9	-0.852	-0.571	-0.491	-2.621	-2.692	-2.681	-2.455	-2.097	-1.993	-2.204	-5.471	-0.865	-3.851	-0.336	-0.207	0.229	1.157	-2.095	-2.633	0.2235	0.2275	-1.32	-2.13	-1.5	-2.0035	-2.339	-1.9305
"YGR128C"	-3.042	-2.4315	-3.197	-2.749	-0.547	-0.54	-0.425	-2.352	-1.509	-0.92	-0.693	-3.032	-2.601	-2.603	-2.213	-1.732	-2.665	-2.66	-4.271	-0.902	-3.207	0.021	-0.295	0.096	0.408	-1.9935	-2.534	0.0155	-0.023	-2.714	-0.921	-2.6405	-2.081	-2.224	-1.589
"YGR148C"	-2.184	-1.777	-2.942	-3.2425	0.107	-0.354	-0.934	-1.236	-1.39	-1.075	-1.034	-3.45	-3.596	-3.464	-3.033	-2.31	-2.615	-3.884	-5.757	-1.051	-5.063	-0.927	-0.475	0.022	1.095	-2.7095	-2.591	0.014	0.0495	-1.752	-3.103	-1.5625	-1.505	-1.8415	-1.356
"YGR158C"	-1.3315	-0.914	-1.451	-1.544	0.351	-0.933	-0.555	-1.001	-0.671	-0.606	-0.411	-2.111	-0.958	-0.975	-1.675	-1.137	-1.405	-2.12	-2.421	-0.417	-1.205	0.183	0.052	-0.275	0.295	-0.8485	-1.6075	0.172	0.214	-1.299	-2.299	-1.874	-1.3705	-1.5995	-0.8945
"YHL033C"	-2.059	-1.953	-3.0445	-3.793	-0.298	-1.0	-0.792	-1.286	-1.302	-0.933	-0.531	-3.758	-2.864	-2.635	-1.944	-1.277	-2.205	-3.984	-6.65	-1.028	-4.25	-0.038	0.005	0.08	1.319	-1.956	-3.1585	0.154	0.246	-1.58	-0.001	-1.605	-1.516	-1.527	-0.719
"YHR170W"	-4.622	-4.14	-4.723	-3.947	-1.518	-1.652	-0.829	-2.551	-1.78	-1.288	-0.517	-4.51	-1.901	-2.071	-1.573	-1.404	-2.063	-2.573	-4.858	-0.84	-2.314	-0.089	-0.127	0.037	0.916	-1.761	-5.252	0.423	0.199	-3.576	-3.601	-3.22	-3.476	-3.076	-1.465
"YIL018W"	-2.4325	-2.2685	-3.509	-3.965	0.018	-0.223	-1.109	-1.216	-1.193	-0.959	-0.72	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-1.014	-3.907	-0.114	0.087	-0.233	1.332	-2.495	-3.4165	0.22	0.186	-2.641	-4.06	-2.277	-2.962	-2.689	-2.031
"YIL034C"	1.207	1.2025	1.549	1.7445	0.472	0.513	-0.21	0.893	0.719	0.767	0.486	0.464	0.108	0.196	-0.269	-0.092	-0.282	-0.032	-2.651	-0.116	0.942	-0.181	0.166	-0.093	-0.389	-0.049	2.023	-0.158	-0.089	1.256	1.331	1.363	1.497	1.394	0.648
"YIL062C"	0.6645	1.1375	1.1165	1.187	0.193	0.172	-0.682	0.968	0.895	0.688	0.451	1.172	-0.149	-0.014	-0.332	-0.509	-0.473	-1.634	-3.897	0.013	0.557	-0.063	0.204	0.152	-0.13	-0.503	1.349	-0.039	0.088	0.479	1.263	1.706	1.077	0.938	0.841
"YJL177W"	-2.4035	-2.211	-3.2765	-3.7865	-0.038	-0.873	-1.171	-1.454	-1.371	-0.963	-0.773	-4.132	-3.846	-3.2	-2.981	-0.605	-2.747	-3.255	-5.49	-1.502	-5.074	-0.537	-0.366	0.25	1.267	-2.348	-3.293	0.107	0.093	-2.626	-4.54	-1.068	-1.95	-1.926	-1.104
"YJR063W"	-2.1255	-2.576	-2.555	-2.2705	-1.158	-0.971	-0.516	-1.153	-0.993	-0.608	-0.141	-3.233	-2.702	-2.518	-2.034	-2.513	-2.698	-2.37	-3.68	-0.544	-2.236	0.0	0.164	0.019	0.799	-1.026	-3.415	0.106	0.195	-1.276	-2.958	-1.63	-1.898	-1.369	-1.322
"YJR145C"	-2.2535	-1.8995	-2.8575	-3.3335	0.038	-0.632	-1.487	-1.453	-1.379	-1.129	-0.708	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-3.54	-6.528	-1.641	-4.857	0.052	-0.065	0.381	1.194	-2.312	-2.7805	0.394	0.212	-2.804	-4.108	-1.389	-2.371	-2.718	-1.636
"YKL006W"	-2.75	-1.949	-3.315	-3.5445	0.046	-0.335	-1.288	-1.293	-1.268	-0.864	-0.785	-4.299	-3.901	-3.389	-2.854	-2.383	-3.16	-2.835	-5.113	-1.399	-4.545	-0.306	-0.277	0.2	1.339	-2.458	-3.02	0.242	0.523	-2.654	-4.756	1.525	NaN	NaN	NaN
"YKL180W"	-1.947	-2.16	-2.81	-3.531	-0.194	-0.795	-0.73	-1.169	-1.02	-0.838	-0.547	-2.661	-2.738	-2.549	-1.831	-1.633	-1.857	-2.561	-5.237	-1.079	-4.629	-0.694	-0.175	0.469	1.285	-2.393	-3.37	-0.131	-0.174	-1.891	-3.071	-1.671	-1.168	-1.15	0.001
"YKL181W"	NaN	-2.149	-2.822	-2.81	-0.692	-0.737	-0.912	-1.54	-1.193	-0.807	-0.438	-3.28	-1.879	-1.488	-1.945	-1.708	-1.771	-1.818	-4.28	-0.603	-1.405	0.457	-0.002	-0.212	1.037	-1.417	-2.802	-0.006	-0.091	-2.543	-2.308	-2.619	-2.113	-2.191	-0.937
"YKR094C"	-2.14	-2.109	-2.994	-3.29	-0.006	-0.406	-1.08	-0.868	-0.919	-0.757	-0.572	-3.138	-2.914	-2.619	-2.274	-1.978	-2.41	-2.464	-4.383	-0.963	-2.785	0.46	0.155	0.016	1.325	-2.035	-2.821	0.52	0.292	-2.445	-3.694	-0.123	-1.76	-1.329	-0.228
"YLL044W"	-2.526	-2.196	-3.582	-4.162	-0.381	-0.703	-1.193	-1.415	-1.356	-0.936	-0.504	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-1.254	-3.872	-0.275	-0.078	-0.086	1.265	-2.227	-3.517	0.284	0.343	-2.328	-3.806	-2.146	-2.632	-1.041	-1.827
"YLL045C"	-2.105	-2.319	-3.116	-3.722	-0.545	-0.5	-0.971	-1.27	-1.25	-0.851	-0.395	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-0.863	-3.66	-0.157	0.016	0.223	1.284	-2.165	-3.545	0.158	0.219	-2.751	-3.788	-1.125	-1.421	-1.64	-0.815
"YLR061W"	-2.212	-1.901	-3.322	-3.851	-0.232	-0.853	-1.105	-1.287	-0.966	-0.745	-0.539	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-6.591	-1.362	-4.326	-0.182	-0.326	0.078	0.977	-2.482	-2.697	-0.116	-0.133	-2.529	-4.004	-1.222	-2.006	-2.22	-1.314
"YLR062C"	-2.343	-2.335	-3.557	-4.079	-0.189	-1.236	-1.091	-1.241	-1.17	-0.933	-0.901	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-6.896	-1.355	-4.96	-0.574	-0.063	0.023	1.269	-2.675	-3.134	0.105	0.185	-2.944	-4.54	-0.944	-1.001	-1.958	0.117
"YLR083C"	-2.035	-1.6	-1.568	-2.248	-0.688	-0.688	-0.926	-1.504	-1.204	-0.893	-0.783	-3.703	-2.067	-1.922	-1.598	-2.021	-2.216	-3.767	-5.137	-0.549	-3.208	0.258	0.033	0.145	0.8	-2.297	-2.311	-0.101	-0.063	-2.0	-3.492	-2.194	-2.355	-2.957	-1.313
"YLR180W"	-3.001	-3.482	-3.526	-3.649	-0.051	-0.275	-1.682	-0.811	-0.666	-0.445	0.001	-4.201	-3.807	-1.95	-3.516	-2.387	-2.401	-2.127	-5.707	0.908	-1.373	0.283	0.423	0.541	1.421	-3.458	-3.682	0.19	0.146	-3.224	-3.37	-2.626	-2.753	-1.942	-1.55
"YLR325C"	-1.721	-1.92	-2.61	-3.056	-0.637	-0.925	-1.043	-1.195	-0.98	-0.894	-0.674	-4.528	-3.555	-3.974	-3.918	-2.681	-3.034	-2.337	-5.498	-1.48	-4.948	-0.775	-0.374	0.292	1.259	-2.253	-2.735	0.574	0.455	-1.941	-2.866	-1.761	-2.545	-2.072	-1.779
"YLR372W"	-2.614	-1.814	-2.438	-2.835	-0.164	-0.118	-0.988	-1.157	-0.866	-0.637	-0.608	-4.565	-3.104	-2.096	-2.432	-2.818	-3.001	-2.731	-4.512	-0.23	-4.078	-0.361	-0.311	-0.081	0.888	-2.188	-2.623	0.238	0.236	-2.375	-3.936	-1.72	-1.726	-2.139	-1.513
"YLR388W"	-2.382	-1.861	-2.879	-3.074	-0.205	-0.82	-0.744	-0.961	-1.106	-0.753	-0.505	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-3.596	-5.506	-1.483	-4.025	0.002	0.211	0.202	1.6	-2.034	-2.761	0.131	0.25	-2.178	-3.762	-1.207	-1.052	-1.495	-0.274
"YNL067W"	-2.348	-2.563	-3.335	-3.738	0.159	-0.47	-0.339	-0.889	-0.86	-0.738	-0.013	-4.019	-2.871	-2.193	-2.054	-1.807	-2.908	-2.84	-5.731	-1.248	-4.131	0.087	-0.179	0.53	1.002	-1.5625	-3.16	0.377	0.393	-2.636	-3.107	-1.892	-2.14	-2.168	-1.406
"YNL069C"	-1.976	-1.954	-2.865	-3.347	-0.176	-0.389	-0.839	-0.985	-0.932	-0.764	-0.534	-3.663	-3.006	-2.506	-1.993	-1.978	-2.285	-4.006	-4.824	-1.387	-4.269	-0.624	-0.412	0.164	1.387	-2.137	-2.91	0.3	0.292	-2.543	-3.741	-1.19	-2.126	-1.631	-0.63
"YNL119W"	-2.262	-2.092	-2.438	-3.435	0.321	-0.178	-0.865	-1.313	-1.27	-1.03	-0.898	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-6.231	-1.052	-3.55	0.122	-0.283	-0.324	1.262	-1.92	-2.524	0.084	0.018	-2.669	-4.042	-1.879	-2.164	-2.084	-1.087
"YNL162W"	-2.384	-1.97	-3.17	-3.58	0.111	-0.209	-0.96	-1.061	-0.954	-0.581	-0.666	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-6.425	-1.052	-3.999	-0.571	-0.633	-0.03	1.099	-1.852	-2.998	0.268	0.288	-2.02	-3.916	-2.052	-2.624	-2.857	-2.178
"YNL228W"	-1.737	-1.536	-1.385	-0.9	-0.464	-0.429	0.181	-2.073	-1.307	-0.728	-1.14	-2.997	-1.801	-0.924	-1.612	-0.644	-0.884	-1.08	-3.325	-0.34	-2.291	-0.175	-0.254	-0.046	-0.546	-0.603	-1.161	0.218	0.203	-2.047	-3.72	-2.613	-2.476	-2.241	-0.779
"YNL239W"	0.685	1.078	1.626	1.334	0.526	0.399	0.3	1.211	1.485	1.395	1.131	0.653	1.306	1.708	1.842	1.462	0.55	-0.107	-2.549	1.612	1.947	0.353	0.465	0.041	0.48	0.8585	1.306	-0.142	-0.182	0.911	0.533	2.06	2.061	1.705	2.769
"YNR012W"	-2.495	-2.29	-1.97	-2.087	-0.973	-0.997	-0.155	-1.845	-1.409	-0.867	-0.511	-0.8845	-0.088	0.158	0.3045	0.005	0.704	-0.1025	-1.0965	0.254	-2.118	0.246	0.006	0.006	0.482	-1.04	-2.652	0.234	0.434	-2.416	-2.489	-2.594	-2.787	-2.651	-0.876
"YOR004W"	-3.548	-2.903	-3.62	-3.212	-1.624	-1.916	-0.982	-2.823	-2.164	-1.583	-0.861	-1.3775	-2.901	-0.943	-0.096	-0.1845	-1.3515	-3.012	-5.273	1.0485	-2.961	-0.291	-0.395	0.021	0.852	-1.929	-3.591	0.471	0.326	-4.082	-4.043	-2.6	-2.915	-2.398	-2.879
"YOR155C"	1.365	1.327	1.431	1.144	-0.178	0.106	-0.098	0.967	1.285	1.006	0.86	0.719	0.383	0.3585	0.2425	0.476	0.3935	-0.15	-2.0505	0.701	1.008	0.767	0.742	-0.014	0.029	0.777	0.918	-0.218	-0.359	1.547	0.609	0.466	-0.653	-1.044	-0.65
"YOR166C"	-0.22	-0.108	-0.292	-0.495	-0.077	0.493	0.359	-0.588	-0.658	-0.395	-0.28	-0.3525	0.1	0.084	0.2205	0.5125	0.1965	-0.097	-3.2855	0.1655	-0.652	0.062	-0.077	0.123	-0.357	0.215	-0.713	-0.008	-0.025	-1.141	-1.154	-1.18	-1.282	-1.077	-0.328
"YOR168W"	-0.982	-1.092	-1.309	-1.42	-0.62	-0.965	-0.857	-1.24	-0.91	-0.758	-0.692	-1.809	-1.703	-1.762	-1.3715	-1.261	-1.7945	-1.984	-4.808	-0.4865	-2.516	0.159	0.041	-0.074	0.656	-1.844	-1.415	0.142	0.221	-1.694	-1.407	-2.073	-1.871	-2.446	-1.283
"YOR272W"	-3.645	-3.098	-2.566	1.0	-1.256	-1.521	-0.572	-2.516	-1.686	-1.065	-0.509	-4.8145	-2.3895	-2.6015	-1.5575	-1.682	-1.968	-3.353	-4.712	-0.7375	-3.311	-0.154	-0.135	0.167	0.465	-1.264	-2.217	0.396	0.392	-3.187	-3.502	-3.546	-2.98	-3.332	-1.119
"YOR310C"	-4.365	-3.309	-4.639	-3.004	-0.471	-1.295	-1.081	-2.686	-1.831	-1.366	-1.016	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-1.0005	-5.777	0.203	-0.079	0.202	1.186	-2.849	-4.948	-0.037	0.008	-4.326	-5.14	-3.031	-3.155	-2.87	-0.929
"YOR312C"	-2.612	-1.995	-2.723	-3.7	0.153	-0.749	-0.553	-1.423	-1.361	-1.05	-0.952	-3.8645	-3.381	-2.919	-2.263	-2.227	-2.2895	-3.3005	-4.8175	-1.33	-4.638	-0.549	-0.529	0.298	1.432	-1.883	-2.873	-0.105	0.045	-3.057	-4.531	-1.235	-1.352	-1.725	-0.503
"YPL081W"	-2.158	-1.543	-2.931	-3.841	-0.379	-0.793	-0.796	-1.065	-0.8	-0.646	-0.588	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-3.4025	-6.801	-0.895	-4.022	-0.415	-0.656	0.099	0.791	-1.844	-2.52	0.145	0.101	-1.967	-3.939	-1.508	-1.652	-2.062	-0.791
"YPL090C"	-2.09	-2.497	-3.529	-3.965	-0.716	-1.406	-1.0	-1.202	-1.4	-0.979	-0.996	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-6.197	-1.263	-5.307	-0.396	-0.288	-0.045	1.336	-2.061	-3.272	0.227	0.112	-2.536	-4.101	-2.5	-1.392	-1.734	-1.241
"YPL142C"	-1.932	-2.625	-2.913	-3.225	-0.4775	-1.0	-0.787	-0.87	-0.9545	-0.7835	-0.6675	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-1.525	-4.155	-0.876	-0.314	0.2	1.594	-2.011	-3.034	0.301	0.513	-2.333	-3.677	-1.81	-2.248	-1.627	-1.55
"YPL198W"	-1.747	-2.023	-3.084	-3.342	0.0595	-0.7555	-0.931	-1.312	-1.127	-0.9245	-0.693	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-6.879	-1.2855	-3.875	0.081	-0.235	-0.237	1.437	-1.633	-2.581	0.352	0.283	-2.3655	-3.4955	-1.619	-1.531	-1.154	-0.728
"YPL220W"	-2.404	-2.267	-3.278	-3.871	0.3395	-0.519	-1.189	-1.339	-1.541	-1.1745	-0.8905	-3.389	-2.4215	-2.18	-2.214	-2.1715	-2.2495	-3.187	-6.1465	-1.351	-3.51	-0.199	-0.132	0.081	1.635	-1.925	-3.09	0.448	0.378	-2.654	-3.554	-2.098	-2.256	-2.574	-1.104
"YPL226W"	-3.002	-2.4945	-3.229	-4.183	-1.153	-1.06733333333333	-1.114	-1.997	-1.50333333333333	-1.065	-0.477666666666667	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-0.600333333333333	-4.0095	0.761	-0.019	-0.0735	1.0285	-1.7375	-3.215	-0.148	-0.0335	-3.076	-3.811	-2.5635	-2.1345	-2.386	-1.548
"YPR043W"	-1.857	-1.888	-2.447	-2.429	5.0E-4	-0.4885	-0.4	-0.645	-0.786	-0.6375	-0.7	-2.5775	-2.728	-2.4415	-1.9305	-1.707	-1.435	-1.9405	-4.426	-0.825	-2.953	-0.506	-0.388	-0.07	1.3	-1.909	-1.976	0.34	0.134	-1.898	-3.516	-1.006	-1.977	-1.032	-1.678
"YPR044C"	-1.9475	-1.783	-2.4	-2.752	-0.283	-0.752	-0.976	-0.751333333333333	-0.650333333333333	-0.648666666666667	-0.554	-3.163	-2.92933333333333	-2.74733333333333	-2.52066666666667	-2.15066666666667	-2.388	-2.87	-4.76433333333333	-1.36566666666667	-3.0915	-0.396	-0.028	-0.088	1.372	-2.074	-2.5325	0.346	0.497	-1.457	-2.862	-1.742	-1.495	-1.4	-0.859
