	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"584.17 deg growth"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"1013.YPD 1 d (25C)"	"1300.DBY7286 Low-Pi vs. High-Pi"	"2560.29C to 33C - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"4784.29C to 33C - 90 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12732.Nitrogen Depletion 4 h"	"12744.heat shock 17 to 37, 20 minutes"	"13060.wt/crz1 Na 45min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15183.Ca+FK 5min (3)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17618.Ca+FK 60min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"28839.P2Comp 07 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"28841.P2Comp 08 hr 19 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"33779.delYPL230w_stationary_phase_5hours"	"42369.CC PU 3A Phosphate-Uracil Chemostat Comparison"	"42370.CC PU 3B Phosphate-Uracil Chemostat Comparison"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"
"YDL031W"	-2.218	-2.88	-2.3335	-2.1535	-2.805	-2.451	-0.293	-1.012	-0.8265	-0.1535	-0.42	-2.5295	-3.3365	0.7065	-1.401	-0.614	-0.997	-0.664	-0.0155	-0.5365	-0.141	-0.9815	-0.7915	-1.3565	-1.355	-0.546	-1.206	0.1515	-2.6385	0.193	-0.968	-0.931	-1.209	-0.806	-0.569	-1.381	-1.674	-1.222	0.041	-0.946	-1.487	0.097	-0.256	-2.583	-2.16	-0.591	0.299	0.757	-0.845
"YDL072C"	1.925	1.895	1.51	1.618	1.813	2.009	-0.536	1.242	0.96	0.27	0.449	2.88	-2.459	-0.154	0.656	0.395	1.036	1.293	0.452	0.635	0.115	0.964	0.785	1.336	1.476	1.06	1.247	-0.941	1.938	-0.206	1.144	1.867	0.955	1.764	0.754	0.299	1.048	1.803	0.566	2.255	2.552	-0.39	-1.017	1.98	2.416	-0.541	0.706	-0.536	0.845
"YDL151C"	-1.635	-2.551	-2.268	-1.124	-2.315	-2.527	-0.429	-0.626	-0.881	-0.135	-0.428	-2.901	-3.108	-0.321	-1.217	-0.914	-0.801	-1.638	-0.255	-0.616	-0.053	-0.478	-1.092	-1.272	-0.681	-1.56	-1.191	-0.053	-2.934	-0.135	-1.039	-1.117	-1.652	-0.997	-0.827	-0.922	-1.008	-0.531	-0.046	-1.063	-1.053	0.517	0.21	-3.143	-0.8635	-0.3615	0.333	0.113	-0.2175
"YDL166C"	-0.89	-1.776	-1.35	-1.387	-1.864	-1.585	-0.52	-0.487	-0.485	-0.249	-0.533	-1.55	-2.628	-0.314	-0.913	-0.644	-0.448	-1.323	-0.203	-0.312	-0.074	-0.496	-1.455	-1.334	-1.168	-1.175	-1.423	0.3	-1.853	0.177	-1.188	-1.193	-1.286	-1.24	-0.825	-1.146	-1.16	-1.248	0.364	-1.297	-1.13	-0.265	-0.235	-1.469	-1.481	-0.3	0.249	0.348	-0.028
"YDR060W"	-1.1235	-2.954	-1.678	-1.598	-1.5655	-1.223	-1.3295	-0.712	-1.8005	-0.217	-0.8055	-3.4175	-0.918	0.0985	-1.317	-0.294	-0.452	-1.411	-0.125	-0.219	0.0635	-0.8365	-1.2565	-1.628	-1.349	-0.8725	-1.035	-0.108	-2.5035	-0.1085	-2.0095	-1.8815	-1.9205	-2.745	-1.195	-2.79	-3.732	-2.149	-0.44	-2.491	-2.84	0.7985	-0.173	-1.805	-2.2405	-0.191	0.145	0.342	-0.597
"YDR391C"	2.3	2.866	2.203	2.222	2.543	2.198	-0.059	1.04	1.329	1.668	2.009	3.005	-0.924	0.511	0.638	0.579	1.328	2.341	-0.004	1.095	0.172	0.954	1.855	2.406	2.32	2.259	2.223	-0.26	2.907	-0.168	2.088	4.02	2.919	4.003	1.897	1.377	2.849	3.216	0.763	2.07	2.054	-1.151	-0.115	3.456	3.318	-0.41	0.282	0.613	-0.821
"YDR412W"	-2.971	-2.735	-2.09	-1.984	-2.552	-2.649	-0.017	-0.817	-1.067	-0.253	-0.426	-2.38	-3.774	0.304	-1.576	-0.656	-1.237	-0.638	-0.317	-0.73	-0.377	-1.033	-0.562	-1.139	-0.694	-0.762	-1.264	0.368	-2.914	0.217	-1.399	-1.488	-1.338	-1.242	-0.626	-1.254	-1.827	-1.107	-0.274	-1.812	-1.237	0.339	-0.265	-2.5	-2.305	0.393	-0.106	0.06	0.618
"YGL029W"	-1.856	-4.276	-3.685	-2.755	-4.337	-3.57	0.742	-1.144	-1.36	-0.421	-0.361	-3.653	-2.985	-0.102	-1.777	-0.892	-1.306	-1.812	-0.587	-0.772	-0.361	-1.092	-1.638	-2.553	-1.917	-2.472	-2.769	0.944	-3.874	-0.388	-2.146	-2.307	-2.689	-2.615	-1.315	-2.028	-2.743	-2.568	-0.827	-2.408	-2.714	0.473	-0.3155	-1.19	-3.548	-0.579	0.316	0.422	-0.629
"YGR086C"	1.771	1.9	1.682	1.347	1.766	1.876	-1.102	0.834	0.9	-0.014	1.003	1.422	-1.023	NaN	1.31	0.614	0.911	2.507	0.282	0.766	0.207	0.601	1.618	2.011	1.959	2.192	2.099	-0.197	2.105	-0.251	2.538	1.994	2.343	2.123	2.463	2.639	2.523	3.183	0.9	3.195	2.924	-0.468	-0.807	1.81	2.095	0.528	-0.436	-0.653	0.74
"YGR111W"	1.5195	1.7315	1.748	1.239	1.854	1.9695	-0.64	1.3555	0.945	0.757	1.202	2.76	-2.029	0.248	1.288	0.416	1.216	1.583	-0.036	1.362	0.4225	0.794	1.074	1.444	1.545	1.619	1.846	0.246	1.747	0.1125	1.183	1.5825	1.1315	1.806	0.7755	1.322	2.029	2.44	0.705	1.8865	2.3505	-0.562	0.0565	1.723	2.046	0.671	-0.35	-0.714	0.465
"YHL012W"	-1.584	-3.1785	-2.6885	-1.335	-2.4345	-1.7405	0.532	-0.604	-0.695	-0.285	-0.324	-1.028	-1.655	-0.08	-0.657	-0.123	-0.354	-0.792	-0.169	-0.351	-0.253	-0.2975	-0.401	-0.878	-0.942	-0.705	-0.841	0.087	-2.8315	0.316	-1.551	-1.097	-1.539	-1.967	-1.565	-1.223	-1.522	-1.432	-0.043	-0.978	-2.288	0.947	0.708	-1.374	0.903	-0.076	0.219	-0.365	0.028
"YHR066W"	-2.6315	-3.7505	-3.0515	-2.9815	-3.762	-3.552	0.24	-0.87	-0.877	-0.258	-0.142	-4.885	-5.203	-0.128	-1.611	-1.146	-1.0	-2.029	-0.188	-0.366	-0.228	-0.9025	-1.659	-2.447	-1.738	-2.494	-2.346	1.045	-4.347	-0.207	-2.269	-2.765	-2.571	-2.504	-2.195	-1.612	-1.998	-2.15	-0.659	-3.667	-3.295	-0.13	-0.106	-3.068	-2.382	-0.189	-0.287	0.538	-0.528
"YHR070W"	-2.69	-2.474	-2.0355	-0.7915	-2.001	-1.843	-0.39	-0.5985	-0.95	-0.348	-0.21	-1.932	-3.167	NaN	-0.67	-0.491	-0.602	0.042	0.262	-0.467	-0.3845	-0.587	-0.02	-0.669	-0.794	-0.468	-0.322	-0.509	-2.7915	0.024	-1.121	-1.347	-1.391	-1.807	0.036	-1.665	-1.677	-2.164	-0.652	-3.581	-1.915	-0.384	-0.197	-1.695	-1.42	0.041	-0.267	-0.043	-0.253
"YHR088W"	-2.3875	-5.1145	-4.6805	-3.058	-3.613	-2.3075	-0.618	-1.018	-1.268	-0.061	-0.502	-5.002	-3.112	-0.19	-1.295	-1.246	-1.449	-1.129	-0.221	-1.192	-0.485	-1.0915	-1.231	-3.561	-1.727	-1.811	-2.252	0.329	-3.3645	0.282	-1.503	-2.284	-1.629	-2.489	-1.036	-1.298	-2.425	-3.581	-0.394	-1.946	-2.323	0.591	-0.089	-2.779	-2.768	-0.276	0.215	0.416	-0.07
"YHR148W"	-1.6105	-3.0225	-2.0375	-2.8705	-3.2345	-2.692	0.15	-0.581	-1.397	-0.176	-0.355	-3.086	-3.377	0.434	-0.968	-0.981	-0.671	-2.068	-0.131	-0.342	0.0325	-0.7345	-2.063	-2.43	-1.54	-2.013	-1.969	0.412	-3.95	-0.162	-1.372	-1.428	-2.046	-1.566	-1.5	-1.198	-2.008	-1.694	-0.019	-2.946	-1.944	0.329	0.334	-2.565	-2.893	0.146	-0.464	0.2	-0.334
"YIL019W"	-2.3275	-4.4845	-3.631	-3.3725	-2.9215	-2.461	-0.226	-1.0535	-2.215	0.005	-0.203	-2.459	-3.212	-0.112	-0.557	-1.248	-1.219	-0.974	-0.052	-0.88	-0.205	-1.149	-0.826	-2.101	-1.513	-2.081	-2.613	0.474	-3.595	0.036	-2.327	-3.565	-2.97	-3.018	-2.35	-1.419	-2.366	-2.979	-0.145	-2.516	-2.439	0.426	-0.22	-4.534	-4.006	-0.539	0.319	0.528	-0.668
"YIL079C"	-3.893	-3.9025	-2.136	-1.946	-2.453	-2.085	-0.916	-0.597	-0.625	0.008	0.011	-3.035	-2.545	0.0055	-1.6	-1.175	-0.7	-1.306	-0.031	-0.236	-0.2335	-0.416	-1.147	-1.303	-0.535	-1.123	-1.083	0.437	-2.469	-0.126	-2.323	-2.17	-2.714	-1.885	-1.903	-1.877	-1.329	-1.851	0.017	-0.662	-0.001	0.252	-0.424	-2.469	-3.364	0.019	-0.091	0.397	-0.749
"YIL096C"	-2.468	-2.835	-2.2225	-1.884	-0.384	-2.05	-0.18	-0.973	-1.224	-0.155	-0.589	-2.516	-3.119	0.681	-1.122	-0.672	-0.853	-1.181	0.051	-0.572	-0.3415	-1.2935	-1.245	-1.959	-1.959	-1.383	-1.453	0.319	-1.556	0.227	-1.624	-2.11	-2.353	-2.241	-1.585	-1.197	-1.898	-2.298	-0.166	-1.501	-2.323	0.179	-0.551	-2.651	-2.167	0.357	0.041	0.376	-0.013
"YJL098W"	-2.174	-3.1635	-1.658	-1.5795	-2.0255	-1.935	-0.394	-0.454	-0.187	-0.282	-0.765	-1.54	-1.494	NaN	-0.916	2.248	-0.112	-2.214	0.441	0.495	-0.328	-0.3915	-1.757	-0.298	-1.367	-0.635	-0.725	0.504	-2.449	-0.048	-1.446	-1.253	-2.637	-1.769	-0.876	-2.565	-2.005	-1.262	-0.454	-1.651	-1.421	0.292	0.024	-2.532	-2.4785	-0.278	-0.22	0.1885	-0.713
"YJR002W"	-3.138	-3.52066666666667	-2.819	-2.21066666666667	-2.34	-3.20666666666667	-0.368	-0.999333333333333	-1.1625	-0.1575	-0.718	-2.9885	-4.416	-0.24	-1.302	-0.779	-1.1615	-1.4075	-0.1305	-0.718	-0.211666666666667	-1.00966666666667	-1.3115	-2.0865	-1.753	-1.7065	-1.7065	0.1565	-3.31866666666667	-0.203	-1.54	-1.803	-1.913	-2.31	-1.49	-1.603	-1.865	-2.1325	-1.019	-0.062	-4.135	-0.868	-0.306	-3.252	-2.426	-0.56	0.113	0.508	-0.826
"YKL035W"	4.094	2.459	4.283	2.527	1.539	2.1225	-1.003	2.815	2.738	1.706	2.339	3.076	-2.294	0.693	1.737	1.201	2.709	2.435	0.464	2.43	0.8065	2.503	2.237	3.062	3.076	2.695	2.942	-0.849	4.293	-0.689	1.787	2.256	1.943	2.018	1.43	2.425	3.321	3.537	1.05	2.844	3.616	-1.5	-0.677	3.568	3.697	0.896	-0.886	-1.594	1.576
"YKL191W"	-2.053	-2.458	-2.92	-2.358	-2.347	-1.981	-0.868	-0.609	-1.012	0.005	-0.374	-2.611	-4.342	0.067	-0.152	-1.079	-1.315	-1.454	0.368	-1.401	-0.06	-0.787	-0.854	-1.484	-1.085	-1.892	-1.631	-0.293	-2.641	-0.014	-1.221	-1.897	-1.412	-2.044	-0.977	-1.83	-2.169	-2.362	-0.456	-1.867	-0.91	-0.167	-0.267	-2.759	-2.326	0.107	0.212	0.491	-0.277
"YKR011C"	2.771	2.754	3.114	2.849	3.092	2.411	-0.146	1.489	2.172	0.757	2.088	2.562	-1.776	0.709	1.505	1.277	0.898	2.477	-0.384	1.148	0.09	1.42	2.375	2.968	2.696	2.517	2.312	-0.261	2.868	-0.335	2.601	2.944	2.144	3.112	2.141	2.102	2.618	1.898	-0.423	2.361	1.712	0.725	-0.372	2.828	2.508	0.413	-0.076	-0.679	0.665
"YKR024C"	-2.831	-3.382	-3.489	-2.212	-3.285	-2.848	0.02	-0.648	-0.568	-0.353	-0.395	-4.227	NaN	0.162	-1.226	-1.174	-1.17	-1.941	-0.029	-0.584	-0.147	-0.635	-1.982	-2.204	-1.977	-1.791	-1.689	0.049	-3.49	0.264	-2.248	-1.997	-2.177	-2.155	-1.04	-2.312	-2.167	-1.386	0.161	-1.781	-1.463	-0.548	0.26	-1.518	-2.389	-0.473	-0.032	-0.08	-0.545
"YLR003C"	-2.628	-3.442	-2.957	-2.644	-3.201	-3.212	0.128	-0.805	-0.978	-0.289	-0.348	-3.378	-3.267	-0.02	-1.951	-0.895	-1.163	-1.374	-0.291	-0.713	0.212	-0.962	-1.627	-1.985	-1.287	-1.946	-1.909	0.731	-3.305	0.058	-1.875	-2.208	-1.952	-2.329	-0.924	-2.223	-2.654	-2.502	-0.22	-1.938	-1.965	-0.394	0.383	-2.573	-3.839	0.074	0.151	0.205	-0.197
"YLR196W"	-4.71	-5.425	-5.04	-3.221	-4.896	-4.532	0.124	-1.52	-1.245	-0.604	-0.56	-5.083	-5.836	-0.446	-2.182	-0.792	-1.306	-2.107	-0.018	-1.087	-0.191	-1.454	-1.656	-2.793	-1.956	-2.637	-2.454	-0.098	-5.097	-0.316	-2.335	-1.034	-2.266	-2.435	-2.113	-2.064	-2.536	-1.995	-0.572	-2.15	NaN	-0.217	0.338	-3.697	-3.658	-0.334	0.263	0.423	-0.47
"YLR276C"	-3.536	-4.199	-3.855	-3.331	-3.732	-4.143	0.18	-1.215	-0.993	-0.531	-0.728	-4.467	-5.399	0.151	-1.977	-0.844	-1.356	-2.129	-0.236	-0.897	-0.192	-1.363	-1.864	-2.531	-1.558	-2.431	-2.252	0.69	-2.51	-0.486	-2.297	-2.375	-2.253	-2.416	-1.541	-2.232	-3.239	-2.537	-0.502	-3.609	-1.452	0.009	0.765	-4.014	-3.838	-0.254	0.302	0.532	0.144
"YLR400W"	-2.423	-2.37	-2.461	-2.663	-2.832	-2.585	-0.834	-0.605	-1.166	-0.18	-0.448	-1.932	-1.167	0.115	-1.02	-0.667	-0.679	-1.061	0.106	-0.442	-0.327	-0.328	-0.986	-1.464	-0.754	-0.645	-1.087	-0.236	-2.708	-0.144	-1.836	-1.76	-3.146	-2.651	-1.45	-1.466	-1.538	-2.826	-1.44	-3.061	NaN	0.474	-0.176	-1.734	-1.727	-0.483	0.121	0.178	0.654
"YLR401C"	-4.37	-3.667	-2.889	-2.202	-3.179	-2.451	-0.553	-0.283	-1.292	-0.116	-0.271	-3.761	-3.133	0.133	-1.179	-0.866	-0.721	-1.714	-0.233	-0.342	-0.08	-1.05	-1.411	-1.783	-0.998	-1.679	-1.421	0.185	-3.769	-0.064	-2.354	-2.306	-1.798	-2.352	-0.605	-2.197	-1.726	-1.384	-0.053	-0.938	-1.41	0.332	-0.189	-4.366	-2.921	-0.169	-0.022	0.389	-0.69
"YMR169C"	3.194	2.717	2.1645	1.609	2.2055	2.4185	-1.4375	2.5335	2.076	1.0795	1.964	2.206	1.4155	0.5635	1.7675	0.8385	1.5805	2.3205	0.526	2.265	0.023	2.8295	2.137	2.0095	2.429	2.175	3.141	-0.1035	3.1995	-0.286	2.438	2.706	2.8295	2.6905	2.4055	2.52	2.6035	2.3815	0.5115	4.81	3.0005	-0.5745	-0.453	2.106	3.5495	0.166	-0.7405	-0.943	0.522
"YNL060C"	-1.731	-2.662	-3.546	-2.78	-3.921	-3.668	NaN	-0.981	-1.337	-0.201	-0.705	-5.032	-3.243	0.006	-1.673	-0.783	-1.393	-2.139	0.034	-0.916	-0.109	-0.804	-1.813	-2.555	-1.449	-2.391	-1.957	0.013	-4.389	-0.076	-2.3	-2.692	-2.442	-3.038	-1.918	-2.335	-2.461	-3.386	-0.199	-3.679	-2.724	1.848	-0.023	-3.38	-3.208	-0.109	0.105	0.066	-0.245
"YNL061W"	-3.447	-4.928	-3.927	-4.143	-4.404	-3.948	0.24	-1.279	-1.65	-0.208	-0.594	-4.329	-4.27	-0.114	-1.421	-0.819	-1.141	-2.327	0.089	-0.845	-0.213	-1.362	-1.7	-2.599	-1.44	-2.111	-2.07	0.212	-5.38	-0.207	-2.222	-2.816	-3.009	-2.646	-1.805	-1.852	-2.079	-2.95	-0.34	-1.877	-1.981	0.33	0.61	-3.925	-2.571	-0.127	-0.088	0.145	-0.401
"YNL110C"	-3.468	-4.43	-3.64	-3.768	-4.56	-4.991	0.312	-1.165	-1.327	-0.371	-0.781	-5.108	-3.296	0.117	-2.141	-1.074	-1.474	-2.56	-0.475	-0.956	-0.203	-1.333	-2.395	-3.662	-2.623	-3.62	-3.346	1.162	-5.064	-0.305	-2.328	-2.547	-2.48	-2.308	-1.323	-1.712	-2.18	-2.701	-0.066	-4.105	-2.816	0.378	-0.667	-4.907	-4.747	-0.241	0.453	0.555	-0.627
"YNL186W"	-1.978	-1.898	-2.0	-1.115	-1.893	-1.963	-0.797	-0.017	0.119	-0.24	-0.151	-2.195	-2.658	-0.33	-0.724	-0.578	-0.248	-1.702	0.002	0.196	0.031	-0.169	-1.893	-2.049	-1.385	-1.562	-1.447	0.046	-1.972	-0.027	-2.583	-1.762	-2.429	-1.834	-0.696	-2.07	-0.888	-1.808	0.101	-2.569	-1.799	0.12	-0.001	-1.645	-1.954	0.134	-0.268	0.197	-0.484
"YNL299W"	-2.255	-3.4	-1.678	-1.939	-1.848	-1.7	-0.604	-0.693	-0.504	-0.484	-0.543	-3.382	NaN	0.181	-1.073	-1.064	-1.012	-1.984	-0.149	-0.589	-0.281	-0.687	-2.207	-2.343	-1.818	-1.054	-1.089	0.423	-2.202	0.252	-1.796	-1.871	-2.347	-1.955	-0.52	-1.257	-1.502	-0.537	-0.782	-2.778	-1.903	-0.798	-0.66	-1.881	-1.644	-0.093	0.168	0.443	-0.344
"YNL308C"	-3.076	-3.929	-1.689	-2.757	-3.366	-3.336	-0.53	-0.7	-0.933	-0.398	-0.483	-4.351	-2.686	0.078	-1.872	-1.026	-1.321	-0.733	-0.343	-0.989	-0.256	-1.181	-0.485	-1.605	-1.238	-1.613	-1.902	0.752	-3.272	0.051	-2.614	-2.602	-2.365	-2.545	-1.337	-2.18	-2.764	-2.623	-0.209	-1.833	-1.794	-0.228	-0.18	-4.586	-3.307	-0.164	-0.319	0.626	-1.082
"YNR003C"	-1.515	-2.607	-2.109	-2.322	-0.339	-2.07	-0.788	-0.988	-1.203	-0.152	-0.657	-1.3085	-4.7665	0.139	-1.018	-0.812	-1.056	-1.163	0.091	-1.028	-1.1	-0.83	-1.176	-2.262	-2.06	-2.032	-2.168	0.032	-2.321	0.508	-0.751	-1.169	-0.968	-1.298	-1.041	-0.436	-1.454	-1.341	0.273	-2.276	-1.474	-1.628	0.157	-3.409	-3.32	-0.175	0.059	0.209	-0.349
"YNR054C"	-2.316	-3.072	-1.849	-2.561	-3.745	-2.256	-0.563	-0.333	-0.84	-0.526	-0.783	-1.6465	-0.975	0.338	-1.369	-1.012	-0.877	-1.121	-0.304	-0.422	0.048	-0.98	-0.734	-1.675	-0.914	-1.531	-1.814	0.07	-3.271	-0.128	-1.549	-2.032	-1.625	-1.781	-1.76	-1.4	-1.741	-2.393	-0.35	-2.343	-1.678	0.675	0.333	-3.275	-2.609	-0.312	0.071	0.407	-0.533
