	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"836.1.5 mM diamide (40 min)"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YIL015W"	-0.366	0.451	0.2905	0.0885	0.515	-0.39	0.194	-2.151	-2.442	-0.263	-3.634	-4.048	-1.829	-1.144	-1.253	-2.971	-3.632	-2.395	-1.746	-2.415	-2.74	-2.546	-3.25	-0.714	-0.951	-1.435	-0.554	-2.054	0.071	0.033	-1.185	-1.894	1.144	-1.072	-1.881	-2.984	-0.757	-0.974	-0.242	-0.503	-0.094	-0.992
"YJL097W"	0.5095	0.8215	-0.3585	-0.3285	-0.0955	0.363	-0.078	-0.584	-1.604	-2.089	-2.596	-4.683	-0.837	-1.112	-0.608	-0.944	-1.483	-0.265	-1.025	-1.409	-1.461	-2.558	-2.276	-0.683	-0.773	-0.332	-1.395	-1.401	0.501	-0.3255	-0.544	-0.6625	-0.4285	-0.877	-0.856	-1.1655	0.219	0.2675	-0.4665	-0.292	-0.3195	-0.5395
"YJR001W"	-0.098	0.3765	-0.3555	0.082	-0.042	-0.0145	0.394	-0.573	-1.18	-0.868	-2.83	-3.551	-0.092	-0.391	-0.415	-1.103	-1.332	-0.178	-0.567	-0.442	-1.449	-1.449	-1.784	-0.364	-0.318	-0.549	-0.504	-1.244	0.141	-0.345	-0.963	-1.191	-0.184	-0.406	-0.649	-0.855	0.191	0.729	0.532	0.28	0.9	-0.581
"YJR087W"	1.0715	0.2955	0.4425	0.2725	0.3025	0.412	0.367	-0.442	-0.617	-1.308	-2.136	-3.553	0.204	-0.393	-0.444	-0.568	-1.166	-0.394	-0.447	-0.634	-1.125	-1.669	-1.145	0.677	0.515	0.366	0.3	-0.598	0.775	-1.075	-0.624	-0.514	-0.349	-0.617	-0.934	-1.287	0.661	0.233	0.314	0.075	0.692	0.795
"YJR088C"	0.5125	0.4045	0.619	0.6115	0.506	0.5115	0.134	0.068	-0.212	-0.121	-1.838	-3.175	-0.402	-0.354	-0.518	-0.753	-0.5	-0.018	-0.446	-0.384	-0.879	-1.194	-1.086	0.825	0.566	0.289	0.668	-0.176	0.816	-0.978	-0.398	-0.227	-0.447	-0.539	-0.483	-0.824	0.522	0.277	0.598	0.403	0.564	0.417
"YJR118C"	0.366	-0.1025	-0.1015	-0.106	-0.003	-0.2795	0.353	-0.361	-0.394	-0.61	-1.327	-2.497	-0.087	-0.784	1.02	-0.854	-1.223	-0.51	-0.598	-0.53	-0.882	-1.108	-1.366	-0.535	-0.709	-0.418	-0.797	-0.594	0.069	-0.231	0.047	-0.166	-0.545	-0.546	-0.683	-1.826	0.315	-0.004	-0.544	-0.566	0.014	-0.636
"YJR139C"	0.4215	0.5135	-0.3385	0.143	0.363	0.393	0.527	-1.072	-1.226	-0.736	-2.333	-4.462	-0.592	-0.156	-0.816	-1.32	-1.529	-0.158	-0.762	-1.269	-1.914	-2.388	-2.051	-0.32	-1.07	-1.268	-1.009	-1.02	0.6575	-0.849	-0.553	-0.868	-0.807	-0.835	-0.178	-1.115	0.384	0.274	-0.034	-0.039	0.725	0.092
"YJR142W"	0.4255	0.4165	0.568	0.3405	0.618	0.617	0.073	0.028	-0.689	-0.261	-2.83	-2.392	0.355	0.371	0.373	-0.416	-0.544	-0.416	-0.772	-0.821	-1.581	-2.204	-2.058	-0.161	-0.049	0.222	-0.07	-0.213	0.5995	0.39	0.117	-0.303	0.254	-0.102	-0.569	-1.603	0.775	0.638	0.868	0.768	1.51	0.313
"YKL080W"	-0.164	-0.2495	-0.94	-0.44	-0.299	-0.465	-0.067	-1.941	-1.25	-1.469	-4.229	-5.94	-0.555	-0.874	-0.756	-1.461	-1.699	-0.824	-1.299	-1.962	-2.874	-2.944	-2.866	0.173	-0.281	-0.424	-0.672	-1.244	-0.091	-0.902	-1.463	-1.51	-1.025	-1.391	-1.68	-2.233	0.151	-0.218	-0.932	-0.662	0.647	-0.718
"YKL154W"	-1.219	-0.868	-0.639	-0.251	-0.477	-0.971	-0.05	-1.327	-1.486	-1.312	-2.701	-3.89	-1.526	-1.149	-1.358	-1.136	-0.702	-1.194	-1.477	-1.447	-1.765	-2.132	-2.222	-0.879	-1.145	-0.584	-1.08	-1.175	-0.758	-2.361	-2.137	-1.684	-2.702	-2.572	-1.419	-1.102	-0.427	-0.876	-0.861	-0.564	-0.923	-0.306
"YLR060W"	-0.412	-0.453	-0.649	-0.87	-1.031	-1.141	-0.578	-2.296	-2.499	-2.849	-4.941	-5.967	-1.197	-2.093	-1.988	-2.672	-2.566	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.685	-1.345	-0.976	-1.106	-2.464	-0.964	-2.734	-2.666	-1.403	-2.64	-2.996	-2.646	-3.346	-1.952	-1.591	-2.55	-2.175	-0.664	-2.153
"YLR115W"	-0.887	-0.077	0.158	0.018	0.183	0.093	0.301	-0.497	-0.356	-0.879	-2.383	-2.017	0.207	-0.499	-0.025	-0.366	-0.304	-0.531	-0.275	-0.456	-1.909	-2.318	-2.333	-0.189	0.082	0.03	-0.135	-0.313	-0.004	-0.774	-0.438	-0.927	0.307	-0.026	-0.891	-0.875	0.788	0.32	0.092	0.038	0.398	0.582
"YLR178C"	5.463	6.029	5.987	5.265	6.066	5.98	4.18	5.219	4.399	4.93	3.362	2.132	3.516	3.832	3.455	2.573	-0.17	2.231	2.561	2.885	1.214	2.418	1.556	3.899	4.242	4.453	3.766	4.248	6.29	5.407	4.372	3.242	5.3	4.727	3.457	3.71	4.82	5.256	5.052	2.849	4.833	4.465
"YLR209C"	-0.05	0.238	0.173	0.106	0.371	0.101	0.285	-0.473	-1.747	-1.52	-2.896	-3.171	0.087	0.046	-0.214	-0.524	-1.124	-0.089	-0.605	-0.964	-1.123	-1.447	-1.271	-0.272	-0.305	-0.311	-0.38	-1.471	-0.081	0.079	-0.494	-0.785	-0.132	0.065	-0.236	-1.583	0.477	0.244	0.123	-0.046	0.626	-0.171
"YML031W"	-0.46	-0.362	-1.066	-0.483	-0.75	-0.886	0.054	-0.794	-1.017	-1.313	-3.731	-3.953	-1.295	-1.333	-0.997	-1.039	-1.611	-0.824	-1.039	-1.033	-1.68	-1.828	-2.276	-0.879	-0.691	-0.667	-0.675	-0.533	-0.902	-1.956	-1.245	-1.59	-0.961	-0.737	-1.43	-2.0	-0.478	-0.689	-0.653	-0.459	-0.502	-0.54
"YML064C"	0.2	0.048	-0.411	-0.079	-0.642	-0.427	-0.06	-1.549	-1.739	-1.415	-2.421	-3.73	-0.188	-0.713	-0.962	-1.106	-1.274	-0.652	-0.612	-1.432	-1.338	-1.457	-1.948	0.511	0.387	0.384	0.271	-0.947	-0.061	-0.411	-0.678	-0.807	-0.398	-0.634	-0.66	-1.512	-0.111	0.034	-0.131	-0.239	0.446	-1.14
"YMR109W"	0.0845	0.283	0.36	0.189	0.556	-0.0375	-0.0775	-0.4565	-0.5635	-0.5495	-0.3935	-2.609	-0.3965	-0.6475	-0.213	-0.289	-0.7595	-0.769	-0.572	-0.2265	-0.876	-1.5025	-1.3055	-0.246	-0.493	-0.4195	-0.1395	0.116	0.275	-0.152	-0.978	-0.908	-0.136	-0.618	-0.707	-1.536	-0.181	-0.292	-0.687	-0.696	-0.141	-0.505
"YMR130W"	-0.396	-0.751	-1.039	-0.135	-0.429	-0.613	0.044	-1.924	-1.614	-1.215	-1.972	-3.845	-1.1	-1.058	-1.571	-0.671	-1.168	-1.422	-1.36	-1.47	-2.339	-2.247	-2.295	-1.11	-1.08	-1.055	-1.205	-1.328	-0.427	-2.163	-2.01	-1.221	-1.106	-1.807	-1.402	-1.158	-0.502	-0.797	-0.697	-0.912	0.251	-0.983
"YMR170C"	4.153	5.429	5.057	4.008	5.21	5.684	3.099	3.746	1.825	2.011	NaN	0.924	3.917	3.8	2.053	2.599	2.058	3.541	5.035	5.147	3.996	4.985	4.814	4.06	4.235	4.323	3.461	3.427	6.459	4.934	4.039	3.912	6.253	4.167	2.972	3.706	4.253	5.329	5.089	4.66	5.472	3.751
"YMR202W"	-0.154	-0.541	-1.159	-0.639	-0.781	-1.184	-0.009	-1.785	-2.236	-2.852	-4.391	-5.431	-1.019	-1.983	-1.581	-1.907	-1.33	-1.172	-1.63	-1.208	-2.263	-2.876	-2.931	-1.294	-1.91	-1.918	-1.988	-1.541	-1.257	-3.376	-2.583	-2.939	-3.34	-2.624	-2.11	-1.758	-0.314	-0.61	-0.868	-0.68	-0.474	-0.916
"YMR220W"	-0.254	0.071	-0.435	0.273	0.332	0.254	-0.046	-1.413	-0.681	-0.969	-1.869	-3.12	-0.886	-0.64	-0.506	-0.905	-1.473	-0.952	-0.492	-0.881	-1.468	-2.008	-1.728	-0.565	-0.345	-0.25	-0.894	-0.883	0.599	-1.144	-1.199	-1.26	-0.754	-1.128	-0.836	-0.983	-0.237	0.518	0.729	0.495	0.808	-0.442
"YMR250W"	5.161	6.007	5.491	5.246	5.448	5.563	3.833	4.174	4.516	NaN	1.937	1.279	2.816	2.923	2.601	2.186	1.134	5.109	4.892	4.741	4.634	4.682	4.084	3.727	4.187	3.663	3.676	4.413	5.984	5.331	5.018	3.436	5.68	4.944	4.024	3.524	5.241	5.579	6.752	4.731	6.07	4.1
"YMR307W"	-1.001	-1.097	-1.382	-1.236	-1.764	-1.803	-0.462	-1.909	-3.74	-1.803	-5.132	-5.877	-1.724	-2.484	-2.482	-3.284	-3.878	-1.413	-2.493	-3.39	-4.432	-5.016	-4.56	-2.023	-1.82	-1.04	-2.047	-3.1665	-1.567	-4.574	-3.18	-2.725	-2.866	-2.995	-1.549	-2.736	-0.995	-1.776	-2.72	-2.29	-0.869	-2.506
"YOR323C"	0.287	-0.073	-0.182	-0.454	-0.217	-0.42	-0.025	-1.757	-1.941	-2.0305	-4.2845	-6.434	-1.2325	-1.9425	-2.061	-2.106	-2.053	-0.904	-1.557	-1.382	-2.742	-3.497	-3.428	-0.415	-0.803	-0.754	-1.114	-1.603	0.092	-2.366	-2.03	-1.94	-1.927	-1.64	-1.589	-1.584	-0.558	-0.555	-0.626	-0.144	-1.393	-0.64
"YPL028W"	0.149	-0.058	-0.459	-0.479	-0.077	-0.697	0.09	-0.917	-1.3315	-1.7105	-3.482	-5.5385	-1.0855	-1.178	-1.1795	-1.9625	-2.1645	-0.033	-1.336	-1.006	-1.692	-2.17	-2.948	-0.476	-0.598	-0.767	-1.076	-1.486	-0.12	-0.916	-0.712	-1.204	-1.478	-0.915	-1.324	-2.228	0.674	0.846	0.482	0.22	0.763	0.176
"YPL195W"	0.015	0.389	0.518	0.271	0.245	0.35	-0.0715	-0.4135	-0.355	0.103	-1.607	-4.488	0.294	-0.3705	-0.6575	-0.544	-0.989	-0.666	-0.626	-0.938	-1.595	-1.621	-1.904	0.102	-0.315	-0.308	0.182	-0.346	0.585	-0.032	-0.267	-0.6085	-0.5865	-0.3525	-1.233	-0.193	0.255	0.1515	0.6965	0.26	0.611	-0.509
"YPL218W"	0.296	-0.014	-0.263	-0.12	0.257	0.257	0.27	-0.693	-0.866	-0.543	-1.4675	-3.296	-0.611	-0.5445	-0.4695	-1.426	-1.5405	-0.406	-0.739	-0.787	-0.387	-0.615	-1.062	-0.427	-1.059	-0.907	-1.152	-0.432	0.643	-0.944	-0.729	-1.236	-1.052	-0.474	-0.846	-1.447	0.33	-0.157	-0.12	-0.01	-0.204	-0.43
"YPR073C"	0.527	0.319	0.48	0.512	0.647	NaN	-0.021	-0.168	-0.621	-0.072	-2.26	-3.8865	0.3455	0.15	0.1475	-0.4335	-0.4515	-0.564	-0.766	-0.945	-2.444	-2.384	-2.0	0.222	-0.054	0.008	-0.012	-0.54	1.012	-0.943	-0.545	-0.482	-0.579	-0.241	-0.298	-1.171	0.34	0.549	0.572	0.259	0.766	0.445
"YPR108W"	0.871	0.998	0.811	0.958	0.851	0.682	1.356	-0.878	-1.293	-0.8	-2.0125	-4.645	0.239	-0.2	-1.1295	-1.428	-1.6305	-0.783	-0.763	-1.136	-2.383	-3.07	-2.669	-0.001	-0.12	0.224	-0.182	-1.062	0.942	-0.632	-0.553	-0.349	-0.294	-1.063	-0.587	-0.618	0.566	0.25	-0.158	-0.056	0.771	0.24
"YPR114W"	-0.32	-0.237	-0.494	-0.674	-0.596	-0.274	-0.2705	-1.7955	-2.1515	-1.837	-2.9825	-3.903	-0.8685	-1.418	-1.604	-1.798	-1.748	-1.276	-1.338	-1.177	-1.633	-1.738	-2.533	-0.77	-0.777	-0.372	-0.831	-1.335	0.315	-1.61	-1.335	-1.32	-0.936	-1.344	-1.093	-1.556	-0.03	-0.158	-0.782	-0.939	0.286	-0.429
