	"104.alpha factor release sample024"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"942.starv_in_H2O_1_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1107.alpha factor release sample025"	"1313.diauxic shift timecourse: 20.5 hr"	"4782.DBYtrr1 vs. wild type DBY7286"	"4872.1M sorbitol - 60 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"8286.mcm1-1 +pRS-MCM7 vs. wild type + pRS-MCM7"	"12744.heat shock 17 to 37, 20 minutes"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"14763.Ca 60min (1)"	"15182.Ca 60min (2)"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42382.CC LS 2A Leucine-Sulfate Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YNL110C"	-0.145	-4.43	-5.407	-3.64	-3.768	-4.56	-4.991	1.332	-5.108	-3.05	-1.92	-2.565	0.367	-0.179	-1.875	-0.074	-0.088	-2.395	-3.662	-2.623	-2.07	-3.62	-3.346	0.57	0.022	-5.064	-0.453	0.079	-0.189	0.017	-4.907	-3.18	-2.579	-1.804	-4.747	-2.546	-2.431	-1.608	-0.451	0.845	-0.627	0.838	-0.959	0.075
"YNL162W"	-0.13	-2.024	-1.886	-2.384	-1.97	-3.17	-3.58	1.123	-3.953	-3.395	-2.838	-2.86	0.758	0.065	-1.624	0.106	-0.03	-1.564	-2.109	-1.436	-1.282	-2.23	-1.918	-0.421	0.004	-2.998	-0.514	0.135	-0.334	-0.5945	-2.02	-2.704	-2.701	-2.189	-3.916	-3.323	-2.825	-3.105	0.144	0.206	0.01	0.405	-0.155	-0.38
"YNL194C"	0.11	5.751	5.035	4.078	3.57	4.628	4.437	-4.215	5.233	3.747	4.22	3.832	-1.334	0.027	3.796	0.736	0.057	3.28	3.68	2.673	2.008	3.187	3.576	0.573	-0.112	5.952	-0.537	-0.87	0.618	-0.0355	3.456	4.012	4.173	4.168	4.692	4.34	3.634	3.692	0.786	-1.288	0.376	-0.473	0.519	-0.07
"YNL195C"	0.0	4.678	4.181	3.81	1.953	2.014	2.055	-2.671	4.925	4.482	4.392	4.163	-0.571	-0.224	2.791	0.521	-0.145	3.054	4.083	3.862	1.459	3.081	3.564	0.446	-0.461	3.361	0.314	-1.14	-0.206	0.2235	2.819	4.582	5.316	4.473	4.625	5.372	4.191	4.489	0.568	-0.881	-0.343	-0.587	0.642	-1.083
"YNL209W"	0.2415	-2.368	-2.962	-2.469	-3.114	-4.441	-4.707	1.383	-3.795	-3.591	-3.471	-3.728	0.767	0.223	-1.452	-0.961	0.134	-1.338	-2.128	-1.821	-1.051	-1.61	-2.011	-0.118	0.071	-4.616	-0.128	-0.315	-0.646	0.5345	-3.361	-4.586	-3.709	-2.704	-4.209	-4.158	-3.075	-2.368	-0.014	0.322	0.803	-0.403	-0.297	-0.25
"YNL248C"	0.0	-4.791	-4.364	-4.315	-3.398	-4.455	-4.373	1.117	-5.716	-3.559	-3.442	-3.866	0.042	0.19	-1.381	-0.494	0.124	-2.371	-2.958	-1.972	-1.687	-2.005	-1.857	0.256	-0.422	-4.868	-0.517	-0.146	-0.259	0.195	NaN	-4.652	-4.217	-2.416	-6.193	-3.878	-3.385	-3.227	0.407	-0.187	0.076	0.291	-0.535	-0.818
"YNL255C"	0.013	-2.307	-1.78	-1.949	-2.087	-1.674	-2.303	1.207	-2.297	-1.542	-0.91	-1.708	0.445	0.179	-1.068	-0.059	0.099	0.24	-0.655	-0.907	-0.1	-1.201	-1.528	0.109	0.29	-2.084	-0.113	-0.031	-0.326	0.025	-1.791	-2.446	-1.888	-0.798	-2.147	-1.189	-1.154	-1.609	0.198	0.473	-0.204	0.367	-0.235	-0.436
"YNR014W"	-0.219	4.132	3.469	3.411	2.714	3.398	3.096	-2.233	1.8495	0.759	0.074	1.795	-0.717	0.026	0.606	0.903	-0.223	3.382	3.173	2.702	2.496	2.92	2.462	0.269	-0.353	3.438	-0.33	-1.079	-0.727	0.174	1.723	1.438	0.699	0.38	3.301	1.234	0.347	0.629	-0.424	0.022	-0.483	0.569	-0.502	-0.321
"YNR034W"	0.196	2.393	2.101	2.102	1.529	2.195	2.193	-1.212	1.1025	0.669	0.8665	0.71	-0.238	-0.321	0.76	0.237	0.159	2.755	3.39	2.794	2.477	2.793	2.466	-0.096	-0.171	2.115	0.086	0.16	-0.06	-0.222	2.138	1.425	0.764	1.342	1.423	1.342	0.179	2.174	0.73	-0.689	0.238	-1.006	0.006	0.01
"YOL084W"	-0.799	7.338	6.842	5.814	3.893	4.889	5.198	-4.858	3.98	2.867	5.506	1.682	0.228	-0.389	2.999	0.495	-0.119	4.466	4.039	4.815	1.316	3.062	2.77	-0.122	-0.187	6.093	-0.528	-1.033	-0.437	0.017	1.878	2.604	3.522	1.705	3.145	3.857	2.381	3.183	-1.891	1.285	-1.038	0.191	0.154	-0.227
"YOL121C"	-0.016	-1.91	-1.914	-2.133	-1.946	-3.131	-3.578	1.161	-1.946	-2.3835	-1.5685	-1.922	0.794	0.262	-1.826	-0.155	0.285	-0.861	-1.375	-0.927	-0.783	-1.672	-1.497	-0.002	0.173	-3.406	-0.827	0.039	0.013	0.042	-2.478	-3.912	-2.653	-2.14	-3.465	-2.982	-2.546	-2.879	0.126	0.078	-0.064	0.261	-0.611	-0.812
"YOL127W"	-0.025	-1.953	-1.89	-2.203	-1.985	-3.195	-3.601	1.172	-4.1025	-1.8795	-3.156	-1.0185	0.82	0.337	-1.67	0.093	0.289	-1.393	-1.856	-1.521	-1.145	-1.955	-1.871	0.282	0.745	-2.867	-0.29	1.464	1.243	-0.521	-2.233	-3.393	-2.333	-2.293	-3.103	-2.261	-2.342	-2.917	-0.134	0.557	0.071	0.457	-1.085	-1.322
"YOR054C"	-0.182	1.632	1.523	1.664	1.02	1.984	1.737	-0.734	1.631	0.745	2.0535	1.2535	0.577	-0.33	0.64	0.049	-0.278	1.418	1.504	1.038	1.259	1.762	1.615	0.225	0.183	1.895	-0.055	-0.207	-0.271	0.074	0.951	1.868	1.662	1.262	2.229	2.032	1.31	1.882	-0.298	-0.017	-0.087	-0.091	0.191	0.735
"YOR161C"	-1.38	4.001	3.236	3.086	3.119	3.816	4.021	-2.377	2.4685	0.4165	1.305	1.032	-1.784	-0.98	1.71	-0.707	0.416	3.281	3.838	3.915	3.134	3.494	3.886	-0.165	0.234	4.326	-0.24	-0.642	-1.394	0.003	3.637	1.615	0.898	1.382	2.792	1.126	0.17	2.276	-0.814	0.641	-0.804	-0.837	-0.555	-2.407
"YOR178C"	-0.274	3.206	3.13	2.615	1.968	2.423	2.529	-1.449	4.6505	3.5155	3.9715	2.579	-1.04	-0.31	2.585	0.266	0.291	-0.337	-0.359	-0.606	0.139	0.213	0.082	0.047	-0.144	3.243	-0.24	0.276	0.19	0.213	0.061	1.503	0.471	1.354	2.364	0.468	0.164	1.444	-0.084	-0.239	0.056	0.261	-0.15	-0.322
"YOR273C"	-0.47	3.782	1.599	3.0665	3.497	3.987	3.9945	-2.699	2.881	2.48366666666667	2.58366666666667	0.701666666666667	-0.7695	-0.278	2.066	-0.1415	0.0425	2.292	2.22	1.6695	2.2765	2.421	2.3945	0.725	0.106	3.7365	-0.609	-1.021	-0.893	0.187	3.611	0.167	0.54	0.274	2.858	1.322	1.437	0.585	-0.546	0.599	-0.381	0.551	0.023	-0.455
"YOR293W"	0.067	-2.282	-1.741	-2.435	-2.205	-3.618	-3.854	1.033	-4.155	-3.7615	-2.996	-3.442	0.626	0.213	-1.537	-0.075	-0.036	-2.072	-2.613	-1.918	-1.397	-2.238	-2.131	0.192	0.462	-3.151	-0.942	0.112	-0.003	0.035	-3.047	-3.53	-3.262	-3.205	-3.853	-3.23	-2.89	-3.271	0.085	0.147	0.269	-0.406	-0.118	-0.241
"YOR317W"	0.065	3.889	0.735	3.626	2.837	2.87	3.276	-2.003	2.1185	0.834	1.4275	0.92	-0.505	0.013	1.731	-1.069	0.05	1.308	1.33	1.118	1.142	1.439	1.666	-0.415	-0.325	4.014	-0.717	-0.254	-0.316	0.219	2.113	1.543	1.727	0.497	2.338	2.485	1.416	1.569	-0.205	0.368	0.8	-0.79	0.28	0.473
"YOR369C"	-0.067	-1.398	-1.705	-2.084	-2.312	-2.946	-2.962	1.029	-3.6225	-4.255	-2.7865	-3.0405	0.649	0.263	-1.649	-0.044	0.217	-1.519	-2.104	-1.873	-1.053	-1.97	-2.181	0.256	0.225	-2.806	-0.685	-0.228	-0.119	-0.123	-2.698	-3.362	-2.395	-1.842	-3.032	-3.003	-2.641	-3.203	0.499	0.598	0.31	0.344	0.046	-0.038
"YOR374W"	-0.268	6.023	5.497	5.435	4.793	5.107	5.196	-3.698	3.814	3.737	4.754	3.9755	-1.1	-0.503	2.88	0.126	-0.468	3.434	4.197	4.026	2.6	3.521	3.774	-0.104	-0.434	5.624	-0.371	-0.603	-0.448	0.135	5.156	4.248	4.075	3.07	4.363	3.921	2.721	2.469	-0.819	0.853	-0.657	0.318	0.089	0.275
"YPL004C"	-0.151	3.048	2.832	2.525	2.254	2.241	2.589	-0.934	2.962	1.8025	2.109	1.4925	-0.562	-0.217	1.669	-0.837	-0.26	1.641	2.317	2.41	1.502	2.437	2.236	-0.522	-0.484	2.2	0.203	0.221	-0.183	0.157	3.003	2.73	2.358	1.924	3.09	2.61	1.146	0.623	-0.268	0.159	0.1	-0.235	0.21	0.457
"YPL043W"	-0.198	-4.246	-2.686	-4.0	-3.773	-4.198	-4.087	0.604	-4.668	-2.8315	-2.0985	-3.157	0.309	-0.013	-1.632	0.188	-0.112	-2.339	-2.772	-2.128	-1.506	-2.207	-2.26	0.424	-0.1325	-4.555	-0.013	-0.302	-0.292	0.191	-3.988	-3.093	-2.958	-2.833	-4.308	-2.784	-2.516	-1.302	-0.025	-0.297	-0.466	0.156	-1.348	-0.722
"YPL079W"	-0.307	-2.261	-2.147	-2.597	-2.277	-3.115	-3.828	0.688	-4.616	-4.1965	-3.3525	-3.085	0.672	0.085	-1.496	0.148	0.031	-2.117	-2.574	-1.965	-1.758	-2.209	-2.429	-0.575	-0.058	-3.135	-0.364	0.277	0.111	-0.574	-1.936	-2.865	-2.753	-2.74	-3.573	-3.431	-2.725	-2.785	-0.041	0.134	-0.077	-0.028	-0.573	-1.115
"YPL081W"	-0.167	-2.088	-1.226	-2.158	-1.543	-2.931	-3.841	0.427	-4.5065	-3.3595	-3.083	-2.5355	0.633	0.068	-1.813	0.175	0.099	-2.363	-2.576	-1.786	-2.106	-2.383	-2.29	-0.74	-0.266	-2.52	0.353	0.437	0.504	-0.095	-1.967	-3.083	-2.359	-1.427	-3.939	-2.717	-2.656	-3.157	-0.027	-0.001	0.037	-0.257	-0.685	-0.632
"YPL090C"	0.1	-2.294	-1.862	-2.09	-2.497	-3.529	-3.965	0.955	-3.9615	-3.256	-2.4215	-3.398	0.491	-0.043	-1.174	-0.278	-0.045	-2.093	-2.805	-2.023	-1.131	-1.985	-1.805	0.558	0.445	-3.272	-0.231	-0.333	-0.416	0.123	-2.536	-4.244	-3.265	-3.165	-4.101	-3.571	-2.951	-2.658	-0.168	0.155	-0.11	-0.243	-0.294	-0.35
"YPL186C"	-1.563	3.741	3.288	3.149	2.445	2.982	2.824	-2.379	4.53	4.047	4.3765	3.634	-0.792	-0.387	2.117	1.303	0.206	0.251	1.293	1.83	0.418	1.595	1.175	1.55	0.932	3.423	-0.529	-0.002	0.713	0.07	3.248	3.028	3.716	3.007	3.997	3.587	1.863	4.312	-1.095	0.562	-1.533	0.502	-0.29	-0.894
"YPL220W"	0.064	-1.847	0.52	-2.404	-2.267	-3.278	-3.871	1.277	-3.389	-2.4215	-2.214	-3.0375	0.968	0.447	-2.396	-0.008	0.081	-1.42	-2.457	-2.005	-1.023	-2.078	-2.022	-0.373	0.249	-3.09	-0.281	0.099	0.334	0.216	-2.654	-3.366	-2.375	-1.67	-3.554	-2.774	-2.352	-3.007	-0.112	0.138	0.503	-0.233	-0.169	-0.324
"YPL230W"	-0.13	4.974	4.291	4.618	3.373	4.328	4.009	-2.977	5.7835	4.1855	4.299	4.669	-1.239	0.091	1.862	1.354	-0.203	3.397	3.667	3.445	2.464	3.243	3.113	1.315	-0.36	4.608	0.274	-1.173	-0.09	0.099	2.809	4.381	3.913	2.496	-1.432	1.055	-1.089	-0.368	0.269	0.044	-0.088	-0.476	0.492	0.414
"YPL247C"	-0.134	3.7175	3.1825	2.8855	2.3165	3.0315	3.09	-1.7005	3.12633333333333	2.68633333333333	2.16	1.923	-1.221	-0.367	NaN	0.081	-0.1675	2.5345	2.9995	2.6075	2.1785	2.611	2.5025	0.462	0.206	3.357	0.737	-0.303	-0.08	0.264	2.541	3.502	2.62	1.528	3.868	2.856	1.362	1.934	-0.153	-0.359	-0.262	-0.917	-0.968	-2.536
"YPR044C"	-0.432	-1.3805	-1.4165	-1.9475	-1.783	-2.4	-2.752	0.9015	-3.163	-2.92933333333333	-2.52066666666667	-3.21966666666667	0.481	0.127	-1.324	0.103	-0.088	-1.0815	-1.535	-1.1145	-0.976	-1.5965	-1.486	0.15	-0.131	-2.5325	-0.812	0.279	-0.038	0.179	-1.457	-2.586	-2.282	-1.954	-2.862	-2.352	-2.43	-2.877	0.164	0.396	-0.662	0.609	-0.571	-1.039
"YPR102C"	0.009	-2.11	-1.829	-2.298	-2.206	-3.37	-4.232	1.367	-3.521	-3.2315	-3.3515	-3.5055	0.704	0.174	-1.781	-0.226	0.219	-1.647	-2.388	-1.826	-1.25	-2.23	-2.126	0.444	0.696	-3.007	-0.251	-0.009	0.025	0.117	-2.5	-3.927	-2.614	-2.344	-4.015	-3.517	-2.547	-3.247	-0.003	0.253	0.005	0.272	-0.369	-0.381
"YPR163C"	-0.041	-2.552	-2.883	-2.832	-2.415	-3.276	-3.939	1.032	-3.6815	-2.265	-1.717	-2.5635	0.082	-0.189	-1.271	-0.483	-0.06	-1.315	-2.045	-1.884	-0.687	-1.688	-1.806	-0.259	0.723	-3.572	-0.342	-0.156	-0.371	0.195	-3.015	-3.506	-3.14	-1.955	-3.575	-2.873	-2.034	-2.32	-0.092	0.194	-0.644	0.591	-0.577	-0.007
