	"104.alpha factor release sample024"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"942.starv_in_H2O_1_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1107.alpha factor release sample025"	"1313.diauxic shift timecourse: 20.5 hr"	"4782.DBYtrr1 vs. wild type DBY7286"	"4872.1M sorbitol - 60 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"8286.mcm1-1 +pRS-MCM7 vs. wild type + pRS-MCM7"	"12744.heat shock 17 to 37, 20 minutes"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"14763.Ca 60min (1)"	"15182.Ca 60min (2)"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42382.CC LS 2A Leucine-Sulfate Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YDR204W"	-0.195	2.454	2.245	2.273	1.933	2.734	2.548	-0.935	3.146	2.65	2.334	1.659	-0.767	-0.17	0.723	0.272	0.118	1.384	1.811	2.125	0.871	1.507	1.569	0.046	0.218	2.994	0.0905	0.2335	0.189	0.1315	2.346	2.974	2.529	1.351	2.826	1.883	1.659	1.307	-0.077	-0.301	0.012	0.441	0.189	-0.17
"YDR258C"	-0.317	4.872	-0.357	4.2775	3.929	4.8035	5.243	-3.217	3.2635	2.98	2.991	2.6905	-0.675	-0.2165	2.874	0.368	-0.497	2.065	1.9925	2.052	2.245	2.175	2.0325	1.321	0.935	5.3975	0.2745	0.4265	0.154	0.1405	5.397	3.298	2.859	3.29	4.282	3.529	2.673	3.635	0.748	-1.064	1.267	-1.296	1.912	2.116
"YDR312W"	0.003	-3.237	-2.732	-2.335	-2.086	-2.512	-2.345	1.168	-2.564	-1.147	-0.536	-1.829	0.295	-0.002	-0.519	-0.174	0.281	-1.445	-2.148	-1.425	-0.951	-1.776	-2.069	0.55	0.124	-3.04	-0.182	-0.118	-0.01	0.003	-2.314	-1.874	-1.157	-0.826	-2.572	-1.141	-0.295	-0.263	-0.091	-0.058	-0.533	0.005	0.849	0.497
"YDR343C"	-0.039	4.7885	1.569	3.7425	3.826	4.3375	5.046	-3.1095	3.2935	1.843	0.758	3.4155	-1.03	0.321	3.083	0.2665	-0.0955	-0.2835	-0.5995	-0.7515	-0.1585	-0.021	0.2255	1.627	0.892	4.8385	-0.2125	-0.8455	-0.974	0.14	4.516	6.835	5.151	4.147	6.429	5.549	4.177	4.265	-0.04	1.163	1.22	0.298	0.937	1.309
"YDR380W"	-0.037	5.331	4.505	4.696	4.835	5.562	5.325	-3.548	0.787	2.896	4.403	0.066	-0.477	-0.106	1.067	-0.558	-0.326	2.727	3.44	3.386	1.259	2.279	2.576	-1.543	-0.296	5.956	0.407	0.397	0.036	-0.017	4.633	0.148	1.303	1.239	0.31	2.044	2.547	2.67	-0.007	0.049	-0.506	0.711	-0.409	-0.304
"YDR413C"	0.236	-2.496	-2.582	-2.392	-1.803	-2.779	-2.502	1.14	-2.622	-2.121	-1.452	-1.399	0.163	0.15	-0.966	-0.228	0.208	-0.736	-1.14	-0.978	-0.414	-1.054	-1.243	0.125	0.002	-2.652	0.295	-0.256	-0.054	-1.041	-2.964	-1.835	-1.046	-0.642	-2.336	-1.502	-1.256	-1.422	0.034	-0.355	0.488	0.126	0.22	0.086
"YDR417C"	-0.037	-1.534	-1.693	-2.075	-1.608	-2.715	-3.361	1.045	-3.705	-2.778	-2.407	-3.58	0.489	0.367	-2.146	-0.327	0.078	-1.423	-2.03	-1.427	-1.301	-2.082	-2.022	-0.542	-0.014	-2.642	-0.867	0.487	0.119	-0.093	-1.745	-3.553	-2.61	-1.768	-3.585	-3.332	-2.261	-2.404	-0.514	0.147	-0.501	0.015	-0.286	0.303
"YDR447C"	-0.42	-1.927	NaN	-2.299	-2.149	-3.242	-3.562	1.205	-4.882	-3.934	-3.26	-3.574	0.742	-0.061	-1.67	-0.192	0.176	-1.723	-2.33	-1.793	-1.376	-2.456	-2.291	-0.489	0.034	-2.593	-1.0535	-0.1735	0.107	-0.285	-3.102	-3.67	-2.356	-1.471	-4.358	-3.418	-2.211	-3.223	-1.347	-0.236	-0.732	0.875	0.127	-0.128
"YDR471W"	0.115	-2.267	-1.873	-2.818	-1.805	-3.206	-3.84	1.0	-3.952	-3.834	-2.619	-3.144	0.802	0.178	-1.643	-0.157	0.415	-1.902	-2.14	-1.212	-1.379	-2.072	-1.654	-0.382	0.0	-3.29	-0.04	0.3345	0.1225	-0.12	-2.211	-3.645	-2.464	-1.986	-3.608	-3.311	-2.499	-2.873	0.322	0.555	0.628	-0.311	0.223	0.471
"YDR516C"	0.13	3.855	3.535	3.356	2.828	3.245	3.346	-1.621	3.637	2.518	2.064	3.26	-2.54	0.349	1.443	-0.265	0.255	2.806	3.179	2.703	2.812	3.332	2.937	-0.149	-0.477	2.996	-0.078	0.311	0.557	0.113	3.683	3.694	2.42	1.293	4.37	3.235	2.456	3.112	-0.324	0.409	0.774	0.484	0.751	1.225
