	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"8233.dtt 120 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"28846.P2Comp 10 hr 5 min Phosphate Batch vs Chemostat Comparison2"	"28847.P2Comp 10 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28848.P2Comp 10 hr 35 min Phosphate Batch vs Chemostat Comparison2"	"38152.03II01 batch p8"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40969.MD_II_56_min"
"YDR211W"	-0.666	-2.225	-1.706	-4.77	-2.051	-2.022	-1.299	-1.28	-1.43	-2.119	-2.043	-3.034	0.109	-0.221	0.381	0.467	0.472	0.404	-0.6585	-0.9595	-0.526	-0.1195	-0.1965	-0.925	-1.87	-1.8185	-1.65	-2.364	-1.2315	-1.348
"YDR321W"	-0.771	-3.554	-3.093	-4.43	-3.362	-2.857	-2.273	-2.389	-2.828	-2.704	-2.582	-2.75	-0.053	-0.305	-0.425	-0.308	-0.113	-0.126	-1.477	-1.057	-0.295	-0.788	-0.884	-1.441	-2.671	-3.009	-4.335	-2.664	-1.929	-3.642
"YDR341C"	-0.767	-3.559	-3.212	-5.262	-2.587	-2.942	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	0.152	-0.408	0.005	0.144	0.024	0.144	-0.049	-0.895	-0.566	-0.302	0.054	-0.613	-1.313	-1.64	-2.047	-1.454	-1.449	-1.566
"YDR385W"	-0.622	-2.252	-3.158	-5.463	-2.682	-2.538	-1.038	-1.431	-1.529	-1.848	-2.214	-3.65	0.207	-0.289	-0.421	-0.341	-0.107	-0.086	-1.476	-1.294	-1.452	-1.891	-1.658	-0.435	-1.998	-2.451	-3.1	-1.291	-1.531	-3.076
"YDR395W"	-0.599	-2.27	-1.29	-2.19	-2.39	-2.87	-1.567	-1.298	-1.928	-2.834	-3.05	-3.691	0.076	-0.346	0.026	0.044	-0.169	-0.129	0.151	0.376	-0.478	0.608	0.004	-0.669	-0.752	-1.397	-2.231	-0.638	-0.771	-1.071
"YER006W"	-0.854	-4.011	-2.345	-4.571	-1.934	-2.857	-1.622	-2.01	-1.682	-2.195	-2.03	-3.232	0.049	-0.971	0.017	0.394	0.165	0.271	-0.295	0.0905	-0.116	-0.3015	0.386	-1.02	-1.258	-1.799	-1.2915	-1.2495	-1.6315	-1.2705
"YER049W"	-0.133	-2.916	-3.769	-4.541	-2.359	-3.216	-1.832	-2.135	-2.046	-2.64	-3.518	-2.735	0.093	-0.475	-0.194	-0.075	-0.228	-0.449	-0.117	0.082	-0.656	0.289	0.064	0.075	-2.99	-1.544	-2.162	-1.691	-1.205	-0.314
"YGL099W"	-0.775	-3.43	-2.895	-5.764	-2.454	-2.755	-1.738	-1.805	-1.984	-2.516	-3.273	-3.42	0.124	-1.056	0.219	0.237	0.086	0.171	-0.706	-0.8755	0.2425	-0.1105	-0.448	-1.375	-3.014	-2.756	-1.888	-1.175	-0.874	-3.526
"YGR061C"	-1.4195	-1.1505	-2.8345	-3.447	-1.6965	-1.835	-1.1355	-1.7575	-1.891	-1.7885	-1.6345	-2.528	-0.344	-1.0805	-0.577	-0.344	-0.288	-0.186	-0.464333333333333	-0.0533333333333333	-0.648	-0.438666666666667	-0.331333333333333	-0.8545	-1.7555	-1.914	-2.2585	-2.133	-1.54	-1.868
"YGR162W"	-0.736	-2.589	-0.459	-3.2845	-1.906	-1.6895	-1.425	-1.1185	-1.5615	-1.4775	-1.614	-1.8905	0.257	-0.96	-0.3645	0.096	-0.1625	-0.3165	0.516666666666667	-0.0616666666666667	-0.459333333333333	-0.452	-0.444333333333333	-1.506	-1.64033333333333	-1.90833333333333	-1.96133333333333	-1.47166666666667	-1.25533333333333	-2.19633333333333
"YGR173W"	-0.443	-3.271	-2.218	-3.699	-2.709	-1.546	-1.279	-1.36	-0.91	-1.919	-1.996	-2.168	-0.074	-0.615	0.473	0.574	0.638	-0.305	-0.3225	-0.1715	-0.452	-0.3425	-0.014	-1.088	-2.202	-0.5965	-2.019	-2.173	-0.8225	-0.539
"YGR228W"	-0.347	-0.989	-3.591	-3.357	-1.584	-2.018	-1.452	-1.636	-2.0	-1.052	-2.915	-2.078	0.15	-0.236	-0.064	0.216	0.119	-0.129	-0.055	-0.427	-0.467	-0.279	0.47	-0.128	-0.857	-1.374	-1.097	-0.962	-0.65	-0.828
"YGR264C"	-1.042	-3.787	-5.206	-4.616	-3.505	-3.897	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	0.071	-0.568	0.03	0.069	-0.052	-0.149	-1.488	-1.445	-1.181	-0.597	-0.852	-1.167	-1.979	-2.475	-2.845	-2.239	-2.046	-3.481
"YHL011C"	-0.018	-2.604	-2.023	-3.592	-2.503	-1.801	-0.989	-1.128	-1.272	-1.25	-1.552	-1.5	0.116	-0.231	-0.118	-0.055	0.196	0.074	-1.51	-1.095	-0.236	-0.84	-0.878	-1.084	-1.746	-2.302	-2.095	-1.778	-1.573	-2.228
"YHR020W"	-0.81	-4.019	-2.69	-4.045	-2.898	-2.195	-1.642	-1.649	-1.837	-1.718	-2.26	-2.19	0.291	-1.172	-0.158	-0.307	-0.2	-0.279	-1.505	-0.87	-1.148	-1.19	-0.721	-1.795	-2.031	-1.903	-2.306	-1.471	-2.453	-2.475
"YHR049W"	0.298	-2.308	-3.623	-4.702	-2.158	-1.102	-0.826	-1.17	-1.96	-1.968	-2.952	-2.443	-0.327	-0.988	0.389	0.191	0.058	0.292	0.847	0.235	-0.439	-0.282	-0.213	-0.439	-2.187	-1.014	-2.495	NaN	-1.622	-1.229
"YHR063C"	0.288	-1.836	-3.309	-4.42	-0.605	-2.142	-1.217	-1.385	-1.916	-2.162	-3.419	-3.036	0.195	0.466	0.546	0.29	0.263	0.398	-0.253	-0.154	-0.028	0.131	0.246	0.586	-1.321	-0.699	0.854	-2.184	-0.565	1.05
"YHR065C"	-0.596	-4.558	-3.857	-4.644	-1.784	-2.379	-1.197	-1.073	-1.503	-1.762	-2.801	-2.479	-0.114	-1.107	0.622	0.294	0.517	0.552	0.946	-0.143	-0.404	0.42	0.466	-0.75	-1.69	-0.515	-1.576	NaN	-1.634	-1.677
"YHR128W"	-0.373	-4.359	-4.967	-6.006	-3.351	-2.2	-2.425	-3.051	-3.482	-3.191	-3.494	-3.516	0.195	-1.224	-0.376	-0.632	-0.792	-0.789	-0.019	-0.776	0.989	-0.348	0.472	-0.678	-2.441	-2.644	-2.222	-2.467	-1.653	-1.517
"YHR193C"	-0.327	-1.48	-3.11	-4.166	-1.819	-1.731	-1.558	-1.494	-1.913	-1.778	-2.357	-2.845	0.008	-0.116	0.059	0.007	-0.145	-0.179	-0.157	-0.798	0.355	-0.45	-0.05	0.454	-0.871	-1.503	-1.31	-1.228	-1.222	-2.115
"YIL078W"	-0.468	-2.907	-5.192	-6.059	-2.282	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.017	-0.001	0.095	0.133	-0.002	-0.013	-0.13	0.213	-0.519	-0.037	-0.458	-0.444	-1.608	-1.901	-0.97	-2.028	-1.684	-1.753
"YJL138C"	-0.26	-2.487	-3.125	-5.625	-1.273	-2.086	-0.932	-1.763	-2.049	-2.542	-2.785	-3.522	0.091	-0.314	-0.108	-0.14	-0.085	0.1	-0.571	1.388	-1.037	-1.322	-0.782	-0.367	-1.827	-0.918	-1.505	-0.887	-0.875	-1.022
"YJL183W"	-0.336	-2.65	-2.097	-4.986	-2.067	-1.695	-0.997	-1.436	-1.333	-1.66	-2.208	-2.121	-0.094	-0.542	0.111	0.093	0.018	0.037	0.364	-0.4	0.175	-1.302	-1.036	0.053	-1.596	-0.698	-2.069	-2.015	-1.237	-2.329
"YJR032W"	-0.462	-2.197	-2.635	-3.054	-1.562	-1.466	-0.901	-0.808	-0.806	-1.546	-1.609	-1.727	0.046	0.126	0.173	0.394	0.233	0.112	-0.118	-0.882	-0.645	-0.535	-0.409	-0.5	-1.705	-1.177	-1.498	-1.866	-0.991	-2.812
"YJR069C"	0.283	-2.056	-3.527	-4.151	-1.806	-1.021	-1.033	-1.358	-1.09	-1.656	-1.806	-1.42	-0.0915	0.202	0.469	0.16	0.331	0.183	-0.73	-0.068	-0.398	-0.421	-0.309	-0.124	-1.324	-1.458	-0.579	-1.675	-1.523	-1.195
"YKL056C"	-0.459	-3.205	-3.426	-5.119	-1.914	-2.468	-1.669	-1.741	-2.281	-2.754	-3.265	-3.483	0.287	-0.599	-0.244	-0.391	-0.273	-0.061	-1.273	-0.41	-1.478	-1.062	-0.969	-0.864	NaN	-1.796	-2.04	-2.387	-1.494	-2.102
"YKL172W"	-1.134	-4.354	-2.813	-5.305	-2.545	-3.248	-1.664	-1.613	-2.079	-2.271	-2.723	-3.135	0.072	-1.19	0.503	0.667	0.589	0.485	-0.196	-0.683	-0.347	-0.293	-0.753	-2.038	-1.783	-1.824	-1.086	-1.137	-0.664	-1.413
"YKL181W"	-0.438	-3.28	-1.818	-4.28	-2.604	-1.405	-0.995	-1.301	-1.128	-1.023	-2.292	-2.779	0.2	-0.64	0.212	0.095	0.115	0.06	-1.232	-1.868	-1.179	-1.072	-0.856	-1.289	-2.619	-2.113	-2.191	-2.38	-0.937	-3.679
"YKR026C"	-0.459	-3.144	-2.863	-3.755	-1.979	-1.723	-1.296	-1.369	-1.003	-1.858	-2.363	-2.231	0.123	-0.262	0.165	0.456	0.157	-0.013	0.409	-0.201	-0.667	-0.624	-0.244	-0.376	-0.999	-1.752	-2.53	-2.056	-1.539	0.255
"YKR059W"	-0.24	-2.144	-2.817	-4.998	-2.593	-2.018	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	0.175	-0.184	0.06	-0.228	0.19	0.059	-0.843	-0.439	-0.652	-0.899	-0.943	-0.41	-1.632	-2.2	-2.321	-2.153	-1.003	-1.892
"YKR082W"	-0.627	-0.889	-2.473	-2.648	-0.702	-1.922	-1.054	-0.885	-1.249	-1.45	-1.895	-2.598	-0.075	-0.488	-0.184	-0.011	-0.135	-0.204	-0.55	-0.764	-0.235	-0.565	0.005	-0.476	-1.797	-1.176	-1.007	-0.766	-0.416	-0.829
"YLR083C"	-0.783	-3.703	-3.767	-5.137	-2.718	-3.208	-1.494	-2.031	-2.545	-2.29	-3.88	-3.36	-0.167	-0.585	-0.269	-0.259	-0.256	-0.083	-0.733	-1.12	-1.2	-1.51	-1.266	-1.326	-2.194	-2.355	-2.957	-1.566	-1.313	-2.672
"YLR175W"	-0.71	-5.607	-3.401	-5.468	-3.996	-4.678	-2.413	-2.762	-3.408	-3.701	-4.364	-4.96	0.018	-1.352	0.521	0.435	0.238	-0.142	-1.386	-1.479	-1.864	-1.477	-1.034	-2.978	-3.423	-3.083	-2.593	-2.074	-1.981	-2.056
"YLR243W"	-0.149	-2.943	-1.955	-3.657	-1.171	-1.95	-1.292	-1.413	-1.404	-1.542	-2.373	-1.983	-0.043	-0.195	0.164	0.538	0.288	0.081	0.798	-0.628	-0.027	-1.531	-0.253	-0.649	-1.419	-1.442	-1.197	-1.356	-0.494	-2.186
"YLR249W"	-0.574	-6.529	-4.146	-6.742	-3.879	-4.679	-2.712	-3.131	-3.778	-3.883	-4.549	-4.992	0.174	-1.146	-0.511	-0.536	-0.403	-0.33	-2.013	-2.52	-1.592	-2.163	-1.674	-2.449	-2.945	-3.861	-4.463	-2.262	-1.802	-3.492
"YLR264W"	-0.866	-3.105	-2.597	-5.152	-2.945	-3.525	-2.236	-2.241	-2.158	-1.649	-2.334	-2.391	0.338	-0.934	0.29	-0.418	0.019	0.162	-2.188	-2.034	-2.448	-1.753	-2.235	-1.056	-3.008	-2.899	-2.481	-2.579	-2.683	-3.351
"YLR291C"	-0.367	-1.858	-3.037	-4.762	-1.324	-1.003	-1.21	-1.186	-1.283	-1.783	-2.216	-2.363	0.033	-0.104	0.011	0.026	0.019	-0.025	0.262	0.035	-0.167	-0.776	-0.316	0.219	-0.977	-1.173	-1.11	-0.018	-0.416	-1.95
"YLR372W"	-0.608	-4.565	-2.731	-4.512	-3.069	-4.078	-2.106	-2.838	-3.773	-2.844	-3.456	-3.544	0.085	-0.75	0.092	-0.083	-0.011	0.123	-1.883	-0.81	-1.447	-0.786	-2.213	-1.233	-1.72	-1.726	-2.139	-2.047	-1.513	-2.64
"YLR409C"	-0.78	-4.402	-3.204	-4.211	-2.308	-2.708	-1.92	-2.024	-2.286	-2.713	-3.315	-3.47	0.054	-1.494	-0.205	-0.143	0.007	-0.174	-0.48	-0.961	1.341	-1.214	-0.404	-1.271	-3.246	-0.932	-2.001	-1.539	-1.402	-1.568
"YML022W"	-0.554	-3.236	-3.146	-3.98	-3.223	-2.802	-1.809	-2.266	-2.26	-2.846	-3.092	-3.144	0.212	-0.876	-0.002	-0.156	0.002	0.066	-2.384	-1.591	0.229	-1.505	-1.75	-1.07	-2.41	-2.739	-2.787	-1.557	-1.853	-2.752
"YML056C"	-0.293	-3.967	-2.698	-5.251	-3.243	-2.774	-1.718	-2.437	-2.674	-1.337	-2.566	-2.751	NaN	-0.875	-0.477	-0.617	-0.275	0.023	-1.079	0.093	-0.351	-1.28	-0.486	NaN	-2.557	-2.921	-2.551	-2.237	-1.625	-3.068
"YMR006C"	-0.932	-1.865	-2.8	-3.323	-1.491	-2.057	-0.277	-1.499	-2.06	-1.986	-1.756	-2.16	NaN	-0.726	-0.776	-0.454	-0.284	-0.295	0.442	0.547	0.325	-0.37	-0.641	-0.821	-2.09	-1.532	-2.077	-0.644	-0.094	-1.483
"YMR033W"	-0.135	-0.915	-3.063	-4.454	-1.114	-1.647	-1.273	-1.244	-1.469	-1.745	-1.826	-1.988	NaN	0.106	0.333	0.391	0.402	0.019	-0.671	-0.364	-0.691	-0.458	-0.789	-0.396	-0.539	-1.021	-1.368	-0.993	-0.777	0.313
"YMR093W"	-0.591	-1.169	-3.98	-4.21	-2.075	-3.288	-1.991	-1.912	-2.558	-2.591	-3.429	-3.183	0.007	-1.264	0.229	0.04	0.087	0.053	0.108	0.079	0.681	-0.594	0.121	-1.352	-2.335	-2.58	-2.454	-2.058	-1.454	-1.652
"YMR131C"	-0.623	-5.631	-5.052	-6.665	-3.547	-4.277	-2.776	-2.829	-3.214	-4.236	-5.241	-4.266	-0.125	-1.36	0.005	0.112	0.084	-0.305	-1.086	-1.47	-0.659	-0.191	-0.875	-2.149	-2.568	-2.513	-2.742	-3.442	-1.935	-2.206
"YMR146C"	0.009	-2.391	-1.725	-4.642	-1.638	-1.464	-1.331	-1.339	-1.621	-1.793	-1.962	-3.093	-0.007	-0.334	0.088	0.046	-0.099	-0.157	-0.112	0.146	-0.108	-0.425	-0.048	0.016	-0.446	-0.707	-0.058	-0.109	-0.418	-1.088
"YMR212C"	-0.61	-0.996	-2.04	-6.75	-1.253	-1.181	-1.075	-1.572	-1.78	-2.693	-2.627	-2.761	0.05	-0.365	0.409	0.12	0.184	0.118	-0.483	-0.401	1.016	-0.422	-1.02	-0.374	-0.754	-1.349	-0.912	-1.099	-0.632	NaN
"YMR217W"	-0.768	-5.293	-4.735	-5.29	-3.48	-4.287	-2.652	-3.341	-4.118	-3.713	-4.205	-4.469	0.087	-1.348	-0.688	-0.657	-0.394	-0.338	-0.951	-1.414	-1.645	-0.781	-0.96	-2.497	-1.984	-2.54	-3.332	-2.324	-0.769	-3.57
"YMR290C"	-0.428	-5.132	-3.509	-5.217	-3.243	-4.614	-3.037	-3.295	-3.716	-3.219	-3.665	-2.938	0.132	-1.688	-0.334	-0.35	-0.259	-0.37	-0.016	0.235	-1.332	-0.533	0.049	-1.701	-2.743	-2.311	-3.104	-1.514	-0.914	-1.98
"YMR308C"	-0.601	-1.769	-3.091	-4.033	-1.731	-2.386	-1.539	-2.014	-1.774	-2.239	-2.796	-2.451	0.085	-0.8	-0.127	-0.093	-0.154	0.001	-1.077	0.364	-0.784	-0.526	-0.768	-0.956	-2.171	-1.594	-1.689	-1.528	-1.295	-2.485
"YMR309C"	-0.452	-3.127	-3.731	-3.516	-2.787	-3.374	-1.914	-1.926	-2.303	-3.144	-3.173	-3.384	-0.106	-0.749	-0.101	-0.063	-0.065	-0.139	0.508	0.423	-1.532	-0.234	-0.449	-1.376	-2.857	-2.476	-2.415	-1.323	-1.642	-2.4
"YNL010W"	0.193	-1.718	-1.296	-4.52	-1.758	-1.705	-1.502	-1.834	-1.936	-2.483	-2.738	-3.396	0.035	0.334	0.035	-0.03	-0.02	0.033	-0.385	-0.426	0.097	-0.214	-0.226	0.428	-0.793	-1.308	-1.066	-1.11	-0.831	-1.392
"YNL154C"	-0.543	-0.952	-1.871	-3.909	-0.647	-2.02	-1.071	-0.946	-1.374	-1.346	-2.5	-2.113	0.06	-0.195	0.467	0.378	0.179	0.327	-0.212	0.299	-1.116	0.259	-0.46	0.101	-1.26	-1.362	-1.669	-1.339	-0.408	-0.623
"YNL163C"	-0.59	-2.176	-3.636	-4.2975	-1.5625	-1.58	-0.935	-0.9985	-0.648	-2.331	-2.9335	-0.995	-0.0445	-0.7145	-0.0025	0.0775	0.149	0.2145	-0.816	-0.0505	0.2615	0.342	0.1385	NaN	-2.3905	-1.168	-1.4595	-2.147	-0.255	0.2865
"YNL174W"	-1.256	-5.141	-4.079	-4.409	-2.319	-4.372	-2.731	-2.682	-2.061	-3.046	-3.229	-3.118	0.014	-1.881	-0.028	0.184	0.145	0.069	1.271	1.494	-0.62	-1.285	-0.185	-1.772	-2.734	-3.361	-3.661	-1.461	-2.042	-4.173
"YNL178W"	-0.811	-4.244	-4.338	-6.62	-3.239	-4.97	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	0.149	-0.658	0.121	-0.04	-0.105	-0.072	-2.395	-2.201	-3.26	-1.367	-2.681	-1.532	-2.018	-2.698	-3.094	-2.348	-2.536	-1.766
"YNL182C"	-0.751	-4.184	-5.862	-2.532	-2.667	-3.931	-2.613	-2.5	-2.685	-3.434	-3.351	-2.827	0.246	-1.204	0.034	0.088	0.181	-0.054	-0.681	-0.792	-0.842	-0.58	-0.671	-2.403	-2.917	-3.551	-2.861	-1.756	-2.089	-3.559
"YNL209W"	-0.486	-3.795	-4.055	-5.803	-3.728	-4.059	-2.262	-2.633	-2.99	-3.596	-3.829	0.396	0.223	-0.692	-0.352	-0.37	-0.22	-0.244	-1.316	-2.013	-2.451	-1.82	-1.508	-1.703	-1.719	-2.986	-1.809	-1.604	-1.695	-2.941
"YNL247W"	-0.257	-2.799	-3.191	-4.64	-2.34	-2.936	-1.062	-1.899	-2.277	-2.658	-3.388	-2.515	0.033	-0.583	0.497	0.291	0.432	0.294	-1.426	-1.635	-0.555	-0.847	-0.819	-0.908	-1.188	-0.618	-0.778	-1.505	-0.186	-0.761
"YOL077C"	-0.929	-5.186	-3.02	-6.552	-4.174	-3.705	-2.565	-2.549	-3.046	-3.299	-3.894	-4.326	0.035	-1.67	-0.046	0.218	0.219	0.147	-0.562	-2.367	-0.613	-1.491	-1.147	-2.418	-3.742	-2.522	-2.623	-2.653	-1.858	-2.396
"YOL097C"	-0.794	-4.26	-0.491	-6.314	-2.427	-3.246	-2.063	-2.609	-2.685	-3.398	-4.044	-4.151	-0.099	-0.366	0.21	0.377	-0.002	-0.08	-0.452	-0.673	-0.594	-0.559	-0.455	-1.266	-1.499	-2.01	-2.156	-2.172	-0.711	-0.707
"YOL127W"	-0.609	-4.1025	-1.335	-2.676	-1.0185	-4.436	-2.11	-1.935	-2.11	-1.546	-2.041	-3.172	0.337	-0.747	0.424	0.083	0.063	0.244	0.259	-0.096	-1.026	-0.431	-0.682	-0.899	1.469	1.459	-0.249	-0.762	0.131	-2.021
"YOL139C"	0.009	-3.143	-2.31	-5.5	-1.666	-2.365	-1.489	-1.408	-1.945	-1.487	-1.966	-2.188	0.057	-0.079	0.329	0.107	0.092	0.065	-0.283	0.046	-0.308	-0.612	-0.261	0.134	-2.109	-1.346	-2.307	-1.42	-1.451	-1.977
"YOR021C"	-0.473	-2.468	-1.103	-2.956	-2.17	-1.602	-1.352	-1.123	-1.513	-0.652	-1.443	-0.968	-0.034	-0.493	0.223	0.091	0.145	0.05	0.187	0.253	0.13	0.116	0.326	-0.052	-1.531	-2.254	-1.488	-1.6	-1.853	-1.116
"YOR047C"	-0.52	-1.182	-1.5735	-2.665	0.123	-2.193	-1.754	-1.241	-1.54	-1.36	-2.452	-1.611	-0.102	0.608	0.019	-0.142	-0.252	-0.159	0.034	-0.345	-0.367	0.174	-1.005	-0.365	-1.905	-1.044	-0.734	-1.367	-0.81	-0.534
"YOR151C"	-0.125	-1.3025	-1.0045	-3.5555	-1.062	-1.851	-0.909	-1.275	-1.622	-0.973	-1.754	-2.127	-0.029	-0.284	0.433	0.252	-0.006	0.157	0.863	-0.048	-0.748	-0.059	-0.119	-0.189	-1.218	-1.108	-1.097	-0.893	-0.164	-0.693
"YOR168W"	-0.692	-1.809	-1.984	-4.808	-1.5105	-2.516	-1.423	-1.54	-1.525	-2.348	-2.353	-2.604	0.056	-0.836	0.332	0.391	0.271	0.158	-1.02	0.351	-0.563	-1.034	-0.361	-0.41	-2.073	-1.871	-2.446	-1.977	-1.283	-1.371
"YOR169C"	-0.389	-1.8345	-1.656	-3.934	-2.193	-2.535	-1.69	-1.416	-1.758	-2.363	-2.16	-3.14	0.255	-0.5595	-0.264	-0.011	0.059	-0.126	0.563	-0.338	-1.325	-0.147	-0.819	-0.361	-2.204	-2.602	-2.504	-1.728	-1.73	-1.544
