	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"497.Heat Shock 000 minutes"	"686.YP ethanol vs reference pool"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"4872.1M sorbitol - 60 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"18418.2mM MD 170min"	"18424.2mM MD 055min"	"18428.2mM MD 030min"	"21654..24 mM H2O2- 275 minutes"	"21662..24 mM H2O2- 230 minutes"	"30773.Pomona/Brown Sir3x red"	"33780.delYPL230w_stationary_phase_7hours"
"YCL059C"	0.576	0.325	0.974	-0.7355	-1.722	-1.081	-1.769	-2.558	-5.277	-1.283	-1.197	-3.4015	-1.887	-1.4885	-1.846	-2.0685	-3.0265	-2.4555	0.019	0.0035	-0.011	-0.73	0.45	-1.421	0.763	0.606	-0.154	-0.102	-2.396
"YCR002C"	0.236	-0.04	0.424	-0.894	-1.293	-1.572	-1.667	-3.669	-5.182	-0.658	-1.575	-1.074	-0.8665	-1.1235	-1.597	-2.564	-2.9535	-2.7005	0.072	0.0355	0.106	-1.48	0.303	-0.358	0.595	-0.979	-0.137	0.049	-1.257
"YCR013C"	0.251	0.127	-0.2875	-0.735	0.95	0.742	0.949	-3.099	-5.566	-1.264	-1.02	-0.731	0.8845	1.107	0.635	-1.827	-2.591	-3.6275	0.056	0.0775	0.455	0.07	0.681	0.16	-0.362	0.868	0.134	0.138	-1.652
"YCR057C"	0.119	0.069	0.732	-0.898	-2.651	-1.732	-2.636	-3.423	-5.109	-1.301	-1.536	-1.667	-1.605	-1.7665	-1.5195	-1.962	-2.812	-2.1505	0.055	0.0055	0.111	-1.771	-0.007	-0.67	-0.149	-0.015	-0.66	0.203	-2.48433333333333
"YDL135C"	0.1535	0.086	0.03	-0.116	-0.673	-0.522	-1.211	-1.586	-4.374	-0.165	0.761	-0.437	-0.708	-0.523	-0.552	-1.246	-1.998	-1.559	0.0695	0.257	0.247	-0.644	-0.026	-0.4725	0.1765	-0.251	0.082	0.117	-0.568
"YDL150W"	-0.0715	0.0075	NaN	-0.305	-0.601	-0.448	-1.089	-1.728	-3.715	-0.97	-0.525	-2.606	-1.645	-1.402	-1.259	-1.456	-1.824	-1.598	-0.1305	-0.157	0.237	0.032	-0.529	-0.1575	-1.102	0.005	-0.033	-0.104	-2.591
"YDL225W"	-0.009	0.201	-0.379	-0.07	-0.435	-0.872	-1.155	-2.271	-3.558	-0.621	-0.882	-1.031	-0.537	-0.981	-1.021	-0.994	-1.953	-1.522	0.06	-0.057	0.073	-0.459	0.3045	-0.302	0.024	0.068	0.165	0.189	-0.719
"YDR002W"	-0.048	0.091	0.515	-0.537	-1.054	-1.992	-1.109	-2.756	-4.542	-1.99	-1.796	-2.073	-1.447	-1.309	-0.91	-1.672	-2.746	-2.987	-0.131	0.03	0.179	-1.802	-1.4125	-1.2705	-1.4615	-0.52	-0.134	0.228	-1.465
"YDR023W"	0.121	0.082	0.322	1.176	-1.347	-2.164	-2.077	-2.907	-5.745	-1.813	-1.696	-3.05	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	0.047	-0.019	0.317	-2.091	-1.065	0.444	-0.105	-0.043	-0.045	0.282	-1.66
"YDR025W"	0.296	0.003	0.692	-1.0	-2.573	-2.592	-2.705	-3.393	-6.697	-3.471	-3.326	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.181	-0.035	0.298	-1.7675	-2.13966666666667	-1.08966666666667	-0.249333333333333	-0.861	-0.168	-0.1195	-3.552
"YDR071C"	-0.054	-0.042	0.498	-0.191	-0.825	-1.203	-1.492	-2.459	-4.374	-0.581	-0.861	-0.965	-0.648	-0.696	-0.953	-1.937	-3.125	-2.557	0.182	0.015	0.207	-1.47	-0.1565	0.106	-0.4475	0.116	0.119	0.161	-0.713
"YDR087C"	0.147	0.027	0.873	-0.867	-1.909	-2.277	-3.312	-3.817	-4.944	-1.204	-1.594	-1.886	-1.819	-1.373	-2.022	-1.73	-3.407	-2.893	0.061	0.311	0.07	-1.782	0.395	-1.2435	-0.626	0.52	0.174	-0.476	-3.436
"YDR101C"	0.441	0.099	1.358	-0.843	-2.55	-2.315	-2.948	-4.145	-4.667	-1.752	-2.552	-2.52	-2.005	-1.96	-2.252	-2.862	-3.177	-3.516	0.113	0.107	0.191	-2.013	-0.7145	-1.0715	-0.542	-0.515	-0.227	-0.103	-2.294
"YDR117C"	0.456	0.21	0.17	-0.671	-0.838	-0.837	-0.535	-1.737	-2.494	-0.634	-1.141	-0.957	-1.292	-0.967	-1.278	-1.618	-1.45	-1.497	0.013	0.349	-0.025	-0.613	0.594	-0.1425	0.1055	0.323	0.206	0.151	-0.635
"YDR158W"	-0.005	0.06	0.567	-0.482	-0.799	-1.356	-0.19	-3.546	-5.115	-1.965	-1.881	-1.393	-0.514	-0.996	-1.763	-3.109	-3.802	-4.509	0.042	0.129	0.583	0.253	-0.022	0.352	0.492	-0.053	0.689	-0.157	-1.752
"YDR161W"	0.04	0.016	0.387	-0.893	-2.192	-1.24	-2.356	-2.842	-4.816	-0.877	-1.278	-1.951	-1.46	-1.406	-1.537	-2.298	-2.511	-2.286	0.153	0.168	0.442	-1.526	-0.994	-0.999	-0.321	-0.018	0.322	-0.259	-1.162
"YDR165W"	0.114	0.06	0.933	-0.581	-2.247	-1.905	-2.27	-3.111	-5.309	-1.636	-1.883	-3.057	-1.816	-1.396	-1.582	-1.767	-2.409	-2.23	0.27	-0.044	0.793	-1.0245	-0.1255	-0.641	-0.8805	-0.032	0.174	-0.157	-2.632
"YDR303C"	-0.114	-0.363	-0.559	-0.493	-0.969	-0.635	-0.708	-2.132	-7.617	-0.134	-0.667	-1.458	-0.884	-0.741	-0.902	-2.494	-2.18	-2.511	-0.34	-0.165	0.364	-0.762	0.099	-0.466	0.096	-0.463	-0.66	0.273	-1.282
"YDR341C"	0.039	0.073	0.688	-0.658	-1.763	-1.574	-1.681	-3.212	-5.262	-2.134	-2.218	-2.942	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	0.152	0.1	-0.093	-1.562	-0.189	0.237	0.254	0.004	-0.248	0.213	-1.941
"YDR454C"	0.195	0.048	0.952	-0.541	-0.938	-1.715	-1.528	-2.876	-4.275	-2.414	-2.283	-1.427	-0.963	-1.608	-1.534	-1.835	-2.466	-2.28	0.117	0.129	0.095	-1.702	-1.37	-1.601	-1.026	-0.601	-0.078	0.113	-1.127
"YEL042W"	0.294	-0.116	0.745	-0.433	-0.736	-1.264	-1.261	-3.201	-4.334	-1.329	-1.924	-1.851	-1.109	-1.705	-1.658	-1.896	-2.665	-3.071	0.134	-0.007	0.571	-1.2195	-0.27425	-0.75075	0.40425	0.4295	0.169	0.386	-1.963
"YEL054C"	0.502	0.199	1.093	-0.77	-1.871	-1.511	-2.981	-2.98	-7.056	-3.003	-2.232	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	0.369	0.091	0.343	-2.202	-1.5125	-0.40875	0.485	-0.3985	0.0665	0.1225	-2.936
"YER009W"	0.031	-0.072	0.3	-0.807	-0.827	-1.398	-0.688	-2.671	-4.765	-2.143	-1.906	-1.108	-0.939	-1.407	-1.465	-2.034	-2.393	-2.025	0.441	-0.029	0.668	-0.484	-0.76325	-0.674	-0.03	-0.357	-0.016	-0.173	-1.084
"YER043C"	0.553	0.477	1.109	-1.172	-2.553	-2.767	-3.397	-4.78	-6.476	-3.096	-3.18	-3.583	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	0.405	-0.103	0.714	-1.415	-0.4185	-0.0355	0.2545	-0.447	-0.445	0.21	-2.202
"YER086W"	0.236	0.171	0.938	-0.928	-1.076	-1.236	-1.424	-3.61	-5.173	-2.311	-2.028	-2.719	-1.373	-1.847	-1.837	-2.624	-2.882	-3.77	0.265	0.09	0.134	-0.886	-0.286	0.229	-0.0745	-0.289	0.3	-0.133	0.245
"YER090W"	0.077	0.047	0.672	-0.608	-1.299	-1.569	-1.173	-3.804	-5.004	-1.889	-1.861	-1.857	-0.616	-1.078	-1.311	-2.327	-2.585	-3.495	0.15	-0.122	-0.432	-0.819	0.675	0.5805	-0.518	-0.184	-0.373	0.015	-0.297
"YER102W"	0.532	0.436	1.351	-1.525	-2.924	-2.3	-2.578	-3.64	-6.434	-3.37	-3.204	-4.286	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	0.501	0.299	0.564	-2.388	-1.6615	-1.3825	-0.548	-1.067	0.005	0.011	-2.329
"YER118C"	0.507	0.423	0.606	-0.744	-0.898	-0.913	-1.822	-2.598	-3.457	-0.87	-1.557	-1.7	-0.974	-1.116	-1.35	-1.371	-2.206	-1.965	0.503	0.143	0.187	-1.1755	-0.70875	-0.99	0.166	0.1445	0.283	0.02	-2.193
"YER127W"	-0.219	-0.082	1.253	-0.434	-1.672	-1.949	-2.155	-2.611	-4.439	-1.435	1.661	-1.589	1.466	-1.363	-1.279	-1.098	-2.485	-1.946	0.063	0.2	0.339	-1.479	-0.804666666666667	-1.39075	-0.463	-0.298	-0.0675	-0.057	-3.002
"YER131W"	0.242	0.098	1.224	-1.21	-2.3	-1.895	-2.47	-3.664	-6.55	-2.905	0.589	-4.139	-2.089	-2.2	-2.498	-2.105	-2.654	-3.304	0.356	0.487	0.56	-2.4735	-1.05433333333333	-1.8175	-0.635	-0.146	0.1955	0.0585	-4.068
"YER145C"	0.837	0.746	0.644	1.48	-0.47	-1.834	-1.544	-3.836	-5.091	-0.786	-0.621	0.206	-0.392	-1.863	-1.163	-1.536	-2.549	-2.941	0.817	-0.067	0.029	-1.5505	0.74375	0.76825	-0.0705	0.002	0.2805	-0.0095	-2.311
"YER162C"	0.082	0.102	-0.499	0.524	2.02	2.241	1.633	3.374	3.649	1.656	1.782	1.282	1.124	1.724	1.546	2.103	2.72	2.163	-0.126	-0.319	-0.08	1.636	-0.09	-0.644666666666667	-1.07	0.6255	0.25	0.0225	1.466
"YER164W"	0.164	-0.006	-0.068	-0.316	-0.022	0.319	-0.238	-1.33	-3.903	-0.43	-0.089	-0.613	-0.603	-0.339	-0.589	-1.061	-1.577	-2.102	-0.164	-0.486	0.123	-0.0915	0.105333333333333	-0.361	0.00866666666666667	0.428	0.1675	0.3015	-0.399
"YFL002C"	0.467	0.279	0.935	-0.222	-1.038	-0.974	-0.661	-1.624	-4.836	-0.72	-0.853	-1.444	-0.761	-1.06	-1.266	-1.171	-1.723	-2.131	-0.012	-0.108	-0.015	0.023	-0.645333333333333	-0.50725	-0.343	-0.4695	0.0095	-0.252	-0.585
"YFL045C"	0.604	0.313	0.87	-1.298	-1.88	-1.85	-2.231	-2.163	-4.897	-2.463	-2.891	-2.228	-1.282	-1.424	-2.201	-1.923	-2.307	-2.378	0.532	0.031	0.741	-0.93	-1.35625	-1.06575	-0.246	-0.6975	-0.298	-0.194	-1.949
"YFR002W"	-0.078	0.215	0.455	-0.142	-0.074	-0.461	-0.567	-1.995	-7.825	-0.818	-0.976	-1.099	-0.666	-0.587	-0.567	-1.556	-2.295	-2.746	-0.091	-0.042	-0.069	-0.007	-0.41275	0.141333333333333	0.37675	0.508	0.3365	-0.147	-0.34
"YFR028C"	0.081	-0.279	0.695	-0.237	-0.627	-1.456	-0.875	-2.027	-4.271	-1.037	-1.293	-1.141	-0.829	-1.142	-1.447	-1.092	-1.864	-1.575	-0.128	0.191	0.134	-1.1065	-0.288	-0.54375	0.4282	-0.0195	5.0E-4	0.1	-0.743
"YFR044C"	-0.072	-0.085	0.414	0.175	-0.324	-1.41	-1.632	-3.87	-5.917	-1.039	-1.546	1.368	0.355	-0.706	-0.82	-0.889	-1.826	-2.142	-0.042	0.24	0.251	-1.522	0.969	1.27166666666667	0.0753333333333333	-0.215	-0.216	0.331	0.409
"YGL001C"	-0.007	0.032	0.376	-0.494	-0.912	-1.369	-1.474	-2.878	-4.137	0.039	-0.673	-0.745	-0.098	-0.843	-1.195	-1.719	-2.358	-2.176	0.081	0.317	0.314	-1.066	-0.623	1.0595	0.753	-0.484	0.087	0.002	-0.564
"YGL016W"	0.213	0.0325	0.233	-0.539	-0.604	-1.474	-1.127	-3.034	-4.265	-1.104	-1.391	-1.719	-0.997	-1.815	-1.608	-2.599	-3.554	-2.639	0.0545	0.106	0.373	-1.374	-0.2645	-1.022	0.0105	0.201	-0.258	0.185	-0.881
"YGL021W"	-0.311	-0.732	0.059	-0.423	-1.292	-2.697	-1.335	-2.714	-5.572	-1.086	-2.056	-1.377	-1.041	-1.254	-2.515	-2.192	-3.105	-2.246	-0.826	0.296	0.147	-1.476	-0.67	0.15	1.27433333333333	-0.392	0.241	0.374	-1.007
"YGL049C"	0.282	0.234	-0.045	-0.521	-0.919	-0.946	-0.555	-2.05	-4.12	-1.033	-1.097	-1.227	-0.75	-0.621	-0.562	-1.692	-1.763	-2.23	0.02	-0.035	0.088	-0.776	-0.5335	-0.7205	-0.4525	-0.547	0.154	-0.051	-1.503
"YGL050W"	0.24	0.016	0.55	-0.054	-0.788	-0.71	-1.231	-1.73	-2.381	-0.557	-0.638	-1.029	-0.833	-0.732	-0.359	-0.824	-0.874	-1.231	0.14	-0.311	0.284	-0.706	-0.229	-0.5435	-0.476	0.309	-0.095	-0.259	-1.239
"YGL076C"	0.175	0.02	1.317	-0.842	-2.564	-2.446	-2.401	-3.976	-5.667	-2.857	-1.957	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	0.275	-0.016	0.565	-1.8735	-1.7195	-1.15	0.003	-0.393	-0.0685	-0.0315	-3.315
"YGL077C"	-0.036	-0.256	0.132	-0.842	-1.05	-1.539	-1.395	-3.716	-3.533	-1.313	-1.711	-0.726	-0.842	-1.683	-1.693	-2.529	-2.903	-2.463	-0.094	0.431	0.815	-1.243	-0.71	-1.22333333333333	0.0633333333333333	-0.855	-0.156	0.251	0.565
"YGL099W"	-0.044	0.056	0.834	-1.079	-1.774	-2.004	-2.335	-2.895	-5.764	-1.291	-1.425	-2.755	-1.738	-1.805	-1.984	-2.516	-3.273	-3.42	0.124	0.157	0.335	-2.114	-1.0975	-0.155	-0.317666666666667	-0.759	-0.121	0.164	-2.525
"YGL135W"	0.478	0.294	1.167	-1.162	-2.548	-2.301	-2.942	-3.418	-5.687	-3.119	-2.071	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	0.502	-0.045	0.671	-2.233	-1.8375	-1.2205	0.296	-0.532	-0.704	0.149	-3.009
"YGL147C"	0.509	0.261	1.427	-1.473	-3.389	-2.422	-3.896	-3.921	-7.507	-3.466	-3.166	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	0.343	0.326	0.902	-2.532	-2.29233333333333	-0.847	0.389333333333333	-1.182	-0.548	0.071	-3.3875
"YGL232W"	-0.014	0.017	0.553	-0.088	-0.348	-0.412	-1.617	-2.079	-2.628	-0.3	-0.56	-1.152	-0.845	-1.042	-1.033	-1.825	-1.906	-2.353	-0.038	-0.39	-0.025	-0.912	-0.313	-0.4045	-0.4115	-0.14	0.002	-0.403	-0.675
"YGL238W"	0.002	0.025	0.242	-0.667	-1.08	-0.967	-1.048	-1.585	-4.337	-1.39	-1.824	-1.481	-1.294	-1.238	-1.24	-1.654	-1.937	-2.674	0.071	0.04	0.316	-0.873	-0.223666666666667	-0.293666666666667	-0.142333333333333	-0.354	-0.131	0.339	-0.923
"YGL245W"	0.451	0.143	0.521	-1.136	-1.579	-1.475	-2.145	-4.799	-6.655	-1.699	-2.088	-1.847	-1.416	-1.589	-2.121	-3.552	-4.345	-4.779	0.065	-0.194	0.039	-1.658	-0.602666666666667	0.555333333333333	0.512666666666667	-0.627	-0.552	0.257	-0.834
"YGL253W"	0.624	0.612	0.705	-1.728	-2.185	-1.924	-0.458	-2.17	-4.666	-0.793	-0.699	-0.799	-0.067	-0.348	-0.677	-1.66	-1.811	-2.803	0.544	0.038	0.609	-1.286	-0.023	0.3005	0.937666666666667	-0.703	-0.269	0.172	-1.462
"YGR061C"	0.167	0.179	0.2555	-0.907	-1.0655	-1.003	-1.6865	-2.8345	-3.447	-1.048	-1.7135	-1.835	-1.1355	-1.7575	-1.891	-1.7885	-1.6345	-2.528	-0.344	-0.0275	0.108	0.329	0.02	-0.148	-0.6205	-0.457	-0.2845	0.024	-0.8895
"YGR085C"	0.287	0.271	1.473	-0.601	-2.202	-2.29	-2.146	-3.406	-6.059	-3.013	-2.215	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.272	0.278	0.538	-2.156	-1.216	-1.597	-0.7035	-0.984	0.019	0.177	-3.003
"YGR122W"	0.11	0.221	0.0	-0.047	1.026	1.324	0.695	0.156	-2.288	0.461	0.722	0.805	0.677	0.886	1.104	-0.399	-0.911	-1.032	0.094	-0.041	0.219	0.658	0.6215	0.489	0.27125	0.129	0.0425	0.155	0.86
"YGR124W"	0.523	0.515	0.585	-1.414	-1.917	-2.741	-2.43	-2.597	-4.207	-1.518	-0.014	-2.554	-1.658	-2.324	-2.426	-2.945	-3.169	-3.758	0.447	-0.188	0.286	-2.916	-0.21075	-0.2275	0.03225	-0.3555	-0.463	0.3015	-2.662
"YGR135W"	-0.054	0.084	0.312	-0.047	-0.057	-0.491	-0.524	-1.553	-4.32	-0.99	-0.726	-0.353	-0.181	-0.565	-0.551	-1.689	-1.765	-1.935	0.029	-0.046	0.32	-0.9925	0.1545	0.32925	0.17025	-0.0095	0.3075	0.1475	-0.885
"YGR148C"	0.242	-0.073	1.076	-0.934	-3.033	-2.31	-2.615	-3.884	-5.757	-2.956	-2.722	-5.063	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	0.127	0.022	0.527	-2.7095	0.07075	-0.2935	-0.463	0.3	0.05	0.117	-2.693
"YGR175C"	0.049	0.178	0.767	-0.186	0.64	0.235	-1.083	-3.074	-4.5	-1.563	-1.196	-1.38	0.5	0.085	-0.251	-2.53	-2.628	-3.285	-0.233	0.31	-0.032	0.106	-0.07725	-0.28175	-0.05525	-0.46	-0.3525	0.272	-0.395
"YGR185C"	0.07	0.39	0.667	-0.665	-1.31	-2.13	-2.168	-5.306	-6.361	-2.6	-2.266	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	-0.005	0.181	-0.156	-2.438	-0.223	-0.351	-0.142	-0.102	0.086	0.247	-2.312
"YGR199W"	-0.124	0.065	-0.076	0.255	0.35	0.161	0.495	-1.35	-2.439	-0.835	-0.822	1.228	0.201	-0.153	0.08	-1.2	-1.04	-1.731	0.084	0.197	0.395	0.151	0.3865	-0.043	0.0155	0.035	-0.118	0.15	-0.17
"YGR200C"	-0.282	0.036	0.888	-0.601	-1.152	-1.152	-1.306	-2.863	-3.668	-1.597	-1.625	-0.958	-1.1	-1.274	-1.456	-1.861	-2.863	-2.446	0.108	-0.037	0.252	-1.091	0.0864999999999999	-0.0015	-0.433	-1.024	-0.481	0.178	-0.82
"YGR204W"	0.317	0.386	-0.078	-1.0	-1.306	-0.834	-0.835	-1.538	-5.27	-0.539	-0.019	-0.735	-0.524	-0.669	-0.989	-1.97	-1.483	-2.095	0.193	-0.09	0.275	-1.658	0.109	0.679	0.57	0.53	0.017	0.491	-1.657
"YGR229C"	0.177	0.105	0.6	-0.267	-0.754	-1.164	-0.943	-2.847	-4.256	-1.987	-1.316	-1.823	-0.983	-1.569	-1.658	-2.401	-2.58	-3.391	0.106	0.076	0.0	-1.347	-1.086	-0.66	-0.0685	-0.395	-0.282	0.164	-1.098
"YGR236C"	-0.538	-0.813	-0.807	1.495	5.548	6.013	4.335	5.413	6.474	5.567	5.087	2.582	2.144	3.123	3.07	4.433	4.451	5.04	0.0385	0.085	-0.875	4.122	0.4065	0.8795	0.267	-0.354	0.051	-0.731	6.182
"YGR265W"	0.261	0.113	0.397	-1.25	-1.777	-2.017	-2.576	-2.202	-3.223	-1.703	-2.118	-2.827	-1.933	-2.395	-2.652	-2.824	-2.827	-2.343	0.01	-0.055	0.122	-0.76	0.603	-0.118	-0.1305	-0.427	-0.553	-0.414	-2.311
"YGR285C"	0.114	0.098	1.014	-1.082	-1.794	-1.645	-1.67	-4.078	-6.1	-1.877	-1.393	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.256	0.15	0.02	-2.068	0.0489999999999999	-0.755	-0.564	-0.333	-0.469	0.188	-2.554
"YHL034C"	0.333	0.457	0.448	-0.123	0.087	-1.162	-1.589	-1.801	-3.26	0.441	-0.038	-0.636	-0.844	-0.827	-1.108	-1.2	-1.905	-1.822	0.307	-0.338	0.047	-0.837	0.583	-0.4325	-0.7945	0.636	-0.153	0.09	0.699
"YHR005C"	-0.566	0.507	0.841	-0.618	0.127	0.255	-0.01	-1.947	-4.17	-1.102	-1.473	0.009	-0.667	-0.574	-0.985	-2.115	-2.592	-2.519	-0.243	-0.301	0.016	-0.333	0.13	0.157	-0.2195	0.277	0.273	0.171	-0.005
"YHR019C"	0.196	0.26	1.111	-1.258	-1.467	-1.831	-2.048	-4.051	-5.077	-2.664	-2.76	-2.07	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	0.046	0.071	0.141	-1.834	0.311	0.4695	0.562	-0.564	-0.228	0.257	-1.349
"YHR025W"	-0.122	-0.009	0.819	-1.09	-1.274	-1.993	-1.868	-2.666	-5.429	-2.199	-0.368	-1.781	-1.065	-1.97	-1.896	-1.471	-2.319	-2.178	0.034	-0.196	0.157	-1.627	0.5995	0.3335	0.042	0.117	-0.02	0.193	-1.597
"YHR042W"	0.078	0.239	0.921	-0.308	-0.737	-1.128	-1.322	-2.228	-4.647	-1.35	-1.381	-1.434	-1.232	-1.325	-1.914	-1.986	-1.732	-1.698	0.133	-0.009	-0.12	-1.098	-0.57	-0.439	0.7	-0.181	-0.098	0.096	-1.442
"YHR047C"	-0.102	0.063	0.063	-1.037	-1.862	-1.732	-2.047	-3.032	-4.423	-0.614	0.114	-0.677	-1.388	-1.632	-1.63	-1.978	-3.102	-3.056	-0.109	-0.23	-0.022	-1.841	1.1025	1.102	1.0855	-0.363	0.155	0.451	-0.857
"YHR063C"	0.061	-0.049	-0.213	-0.78	-1.345	-1.469	-2.215	-3.309	-4.42	-0.927	-0.253	-2.142	-1.217	-1.385	-1.916	-2.162	-3.419	-3.036	0.195	-0.03	-0.235	-1.701	-0.2815	0.4815	0.486	-0.225	-0.167	NaN	-1.513
