	"58.Elutriation2:Sample2:Time5.0hrs"	"584.17 deg growth"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"861.YPD_5_d_30C"	"1009.YPD 2 h (25C)"	"1107.alpha factor release sample025"	"1258.DBYyap1 + 37degree heat (repeat)"	"1303.diauxic shift timecourse: 0 hr"	"2144.heat shock 37 to 37, 30 minutes"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"8204.steady state 29 dec C"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"11828.Pomona College Bio164: WT/rad27 mRNA"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"34359.batch 02X25 3"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"	"40961.MD_II_0_min"	"42047.L1CompR 09 hr 05 min Leucine Batch vs Chemostat Comparison"	"42048.L1CompR 11 hr 10 min Leucine Batch vs Chemostat Comparison"	"42049.L1CompR 13 hr 10 min Leucine Batch vs Chemostat Comparison"	"42050.L1CompR 15 hr 00 min Leucine Batch vs Chemostat Comparison"	"42051.L1CompR 18 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42053.L1CompR 26 hr 40 min Leucine Batch vs Chemostat Comparison"	"42062.U3Comp 10 hr 08 min Uracil Batch vs Chemostat Comparison"	"42191.L2 Comp 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42196.L2 Comp 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42197.L2 Comp 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42198.L2 Comp 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42199.L2 Comp 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42222.U2 Comp 07 hr 10 min Uracil Batch vs Chemostat Comparison"	"42225.U2 Comp 09 hr 12 min Uracil Batch vs Chemostat Comparison"	"42226.U2 Comp 10 hr 05 min Uracil Batch vs Chemostat Comparison"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"	"42228.U2 Comp 12 hr 05 min Uracil Batch vs Chemostat Comparison"	"42229.U2 Comp 13 hr 05 min Uracil Batch vs Chemostat Comparison"	"42231.U2 Comp 31 hr 35 min Uracil Batch vs Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YJR052W"	-0.313	-1.141	0.149	-1.894	-0.017	-0.02	0.865	-0.351	-1.333	-0.078	-0.083	0.0155	0.145	0.057	0.184	-0.099	0.066	0.71	-1.175	-1.076	0.097	-0.834	-0.528	0.281	-0.199	-0.043	-2.201	-2.323	-3.22	NaN	-3.241	-1.671	-5.639	-0.978	-0.549	-2.357	-2.283	-1.714	-1.972	-2.414	-0.865	-1.566	-1.337	-1.385	-0.92	-2.507	-1.585	-0.133	-1.032	-1.824	-1.527	-1.952	-1.528
"YKL022C"	-0.176	-0.898	0.165	-1.187	0.01	-0.079	0.537	0.218	0.016	-0.093	0.239	0.0305	0.159	0.003	0.032	0.079	-0.22	0.376	-1.432	-1.056	0.113	-0.8	-0.991	-0.068	0.152	1.127	-1.729	-1.747	-3.071	-2.582	-3.418	-1.093	-1.907	-0.073	NaN	-1.611	-2.575	-2.674	-1.204	-1.72	-1.074	-1.478	-2.276	-1.829	-1.257	-1.338	1.01	-0.437	-1.412	-2.145	-1.431	-1.177	-1.432
"YKL161C"	0.033	-1.099	0.315	-0.796	0.31	0.095	1.456	0.122	0.032	0.382	0.3	0.015	0.195	-0.392	-0.268	0.122	0.146	1.143	-2.683	-1.0	0.004	-1.396	-0.019	-0.096	-0.832	0.831	-2.186	-3.959	-2.232	-2.097	-2.881	-2.965	-1.777	-0.616	0.307	-2.533	-4.635	-3.044	-1.87	-1.063	-0.333	-1.546	-1.683	-1.063	-1.088	-1.346	-1.322	0.414	-2.185	-2.332	-2.175	-2.321	-2.176
"YKL197C"	-0.294	-1.117	0.029	-2.103	-0.2235	-0.009	0.68	0.031	-0.114	0.1395	0.053	-0.006	-0.1095	0.115	-0.078	-0.058	-0.131	0.753	-0.989	-1.71	0.035	-0.849	0.579	-0.781	-0.612	0.783	-1.748	-3.114	-3.306	NaN	-2.516	-0.7	-2.338	-1.014	-2.296	-2.529	-1.221	-1.772	-1.773	-2.503	-0.215	-0.955	-0.653	-0.314	-0.346	-0.271	-1.283	-0.547	-1.227	-5.734	-2.332	-2.928	-2.333
"YKR020W"	0.0	-1.104	-0.018	-4.715	0.106	0.014	-0.075	-0.046	0.016	0.132	-0.012	0.199	0.415	-0.02	0.297	0.039	0.037	0.234	-1.305	-2.421	0.105	-1.407	0.771	-0.036	-0.086	0.947	-3.04	-4.474	-3.461	NaN	-3.617	-1.29	-1.657	-0.898	-0.525	-2.464	-1.569	-1.196	-2.015	-2.942	-0.637	-1.057	-0.995	0.161	-0.533	-0.636	-1.081	-0.225	-0.943	-4.596	NaN	-2.984	NaN
"YKR068C"	-0.151	-0.534	0.203	-2.174	0.08	0.033	0.211	0.247	0.097	0.271	0.063	0.218	0.207	-0.101	0.282	0.234	0.155	0.259	-0.737	0.023	-0.126	-1.235	0.661	0.206	0.571	0.341	-2.026	-2.796	-1.327	-2.388	-3.036	-2.342	-2.715	0.291	-1.413	-1.251	-0.457	-1.439	-1.403	-2.065	-0.723	-0.773	-1.374	-0.711	-1.12	-1.031	-1.353	0.395	0.185	-0.537	-0.358	-0.282	-0.359
"YLL029W"	-0.059	-0.927	-0.108	-1.616	-0.171	-0.088	0.765	0.154	-0.24	-0.154	-0.033	0.235	-0.073	-0.141	-0.332	-0.236	0.041	0.455	-2.454	-0.52	0.013	-0.899	0.591	0.189	-0.265	1.082	-2.629	-1.395	-4.466	-1.442	-3.155	-0.913	-1.558	-0.066	-0.547	-1.818	-1.089	-1.435	-1.644	-2.119	-0.841	-1.025	-1.705	-0.751	-0.078	-1.81	-1.348	-0.492	-1.033	-1.397	-1.434	-1.224	-1.435
"YLR227C"	-0.521	-0.663	-0.085	-2.373	0.021	-0.084	0.449	0.169	-0.284	-0.252	-0.113	-0.278	-0.124	-0.214	0.006	-0.104	0.028	-0.263	-1.878	-0.903	-0.057	-1.834	0.845	-0.178	0.017	0.416	-1.429	-1.291	-2.822	-4.958	-2.585	-1.31	-3.443	0.443	-0.861	-1.446	-0.906	-0.933	-1.287	-1.784	-0.894	-1.33	-1.0	-0.689	-1.059	-0.744	-1.34	-0.219	-0.666	-1.46	-1.232	-0.488	-1.233
"YLR387C"	0.053	-0.474	0.158	-3.736	0.055	0.194	0.918	0.38	-0.138	-0.423	-0.171	0.266	0.789	0.226	0.08	0.049	0.066	-0.281	-1.167	-1.038	-0.003	-1.57	-0.394	0.597	0.136	0.416	-3.663	-0.824	-3.809	-2.463	-2.919	-1.807	-4.371	-1.038	-0.925	-0.709	-2.007	-2.258	-2.15	-2.658	-0.898	-1.844	-2.007	-1.018	-0.566	-2.429	0.329	-0.345	-1.337	-1.423	-1.547	-1.604	-1.548
"YLR426W"	-0.196	-0.828	-0.239	-2.671	0.007	-0.043	0.222	0.138	0.032	-0.119	0.159	-0.064	0.093	-0.111	-0.256	0.06	0.039	-0.078	-1.543	-1.817	0.234	-0.491	0.196	0.211	0.021	0.711	-4.285	-3.103	NaN	-2.449	-4.725	-2.336	-2.056	-0.574	-2.431	-1.744	-1.647	-1.481	-2.005	-0.421	-0.968	0.418	-0.647	-0.17	-0.299	0.282	-0.44	-0.188	-1.527	-2.729	-1.592	-1.786	-1.593
