	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YGL233W"	-1.4925	-2.1885	0.903
"YGR056W"	-1.32	-2.933	-0.41
"YGR083C"	-1.845	-4.599	0.676
"YGR084C"	-1.586	-3.069	1.265
"YGR092W"	-2.164	-3.742	1.694
"YGR135W"	-1.553	-4.32	0.938
"YGR185C"	-5.306	-6.361	-0.426
"YGR199W"	-1.35	-2.439	1.119
"YGR229C"	-2.847	-4.256	0.764
"YHR019C"	-4.051	-5.077	0.405
"YHR061C"	-1.898	-2.912	2.346
"YHR084W"	-2.317	-2.543	1.936
"YHR098C"	-2.065	-3.065	1.2295
"YHR121W"	-1.976	-4.718	0.49
"YIL021W"	-1.965	-3.289	0.125
"YIL026C"	-1.727	-2.623	2.053
"YIL043C"	-1.937	-3.696	0.243
"YIL062C"	-1.634	-3.897	1.216
"YIL078W"	-5.192	-6.059	1.047
"YIL094C"	-1.869	-5.071	0.645
"YIL104C"	-1.807	-2.936	1.767
"YIR008C"	-1.783	-4.516	-1.05
"YJL033W"	-2.188	-3.95	1.31
"YJL074C"	-1.524	-1.325	0.949
"YJL081C"	-1.725	-4.519	1.385
"YJL124C"	-1.574	-5.188	1.412
"YJL154C"	-1.175	-2.331	-0.53
"YJL167W"	-2.323	-7.538	-1.136
"YJL183W"	-2.097	-4.986	1.335
"YJR006W"	-1.626	-3.835	0.927
"YJR007W"	-3.21	-8.057	0.359
"YJR031C"	-1.269	-2.438	0.028
"YJR065C"	-1.025	-2.933	0.776
"YJR139C"	-2.333	-4.462	1.581
"YKL060C"	-1.412	-4.684	-0.749
"YKL073W"	-2.672	-3.282	1.942
"YKR028W"	-2.477	-4.381	2.77
"YKR036C"	-1.494	-3.022	0.531
"YKR070W"	-1.471	-3.904	0.959
"YLL024C"	-2.574	-5.009	-0.577
"YLR021W"	-1.753	-4.075	0.633
"YLR043C"	-2.278	-4.337	1.525
"YLR050C"	-1.602	-2.822	2.19
"YLR088W"	-2.639	-4.686	1.46
"YLR115W"	-2.383	-2.017	1.321
"YLR147C"	-1.436	-2.798	2.097
"YLR210W"	-1.644	-4.137	-1.015
"YLR214W"	-1.725	-3.131	NaN
"YLR226W"	-1.197	-2.826	0.18
"YLR253W"	-1.071	-2.717	0.783
"YLR292C"	-1.605	-3.717	0.464
"YLR353W"	-2.869	-4.835	-0.081
"YLR373C"	-1.399	-2.4195	1.69
"YML028W"	-3.312	-5.853	-0.264
"YML074C"	-2.837	-5.319	0.793
"YML115C"	-2.167	-3.577	1.671
"YMR005W"	-1.376	-3.635	0.73
"YMR010W"	-1.643	-4.183	-0.48
"YMR047C"	-1.2605	-3.61	0.3705
"YMR060C"	-1.14	-3.1725	0.888
"YMR074C"	-1.14	-3.406	-0.376
"YMR132C"	-1.469	-2.963	0.499
"YMR209C"	-0.902	-2.274	0.1145
"YMR235C"	-3.534	-5.187	-0.092
"YMR289W"	-1.469	-2.452	1.9735
"YNL026W"	-1.792	-4.57	0.428
"YNL041C"	-2.304	-3.473	-0.896
"YNL059C"	-1.821	-3.096	0.332
"YNL118C"	-1.807	-5.007	2.4655
"YNL189W"	-2.367	-4.06	0.814
"YNL233W"	-2.221	-3.551	0.994
"YNL287W"	-2.621	-3.454	0.705
"YNL316C"	-1.309	-3.472	0.779
"YNR035C"	-0.9935	-2.4005	0.708
"YOL062C"	-1.974	-4.46	1.288
"YOR160W"	-2.6045	-4.2525	1.388
"YOR168W"	-1.984	-4.808	1.712
"YOR209C"	-2.998	-6.004	-0.824
"YOR239W"	-3.232	-5.0985	1.305
"YOR241W"	-2.668	-6.523	0.624
"YOR242C"	-0.789	-2.172	2.214
"YOR249C"	-1.372	-2.421	0.094
"YOR254C"	-2.192	-6.426	1.054
"YOR326W"	-3.4635	-4.9875	0.486
"YPL001W"	-1.671	-4.084	0.87
"YPL104W"	-1.9905	-4.469	-0.565
"YPL145C"	-1.659	-4.3865	1.524
"YPL158C"	-1.597	-3.676	0.837
"YPL195W"	-1.607	-4.488	0.51
"YPL210C"	-2.00066666666667	-3.50166666666667	1.68
"YPL238C"	-2.431	-4.788	-0.653
"YPL241C"	-1.9285	-3.6825	2.079
"YPR033C"	-4.8805	-7.94	-1.078
"YPR063C"	-1.6485	-2.9805	NaN
"YPR072W"	-2.898	-2.576	-0.648
"YPR173C"	-1.224	-3.6935	1.008
