	"497.Heat Shock 000 minutes"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"
"YMR212C"	0.309	-2.04	-6.75	-2.693	-2.627	-2.761	1.4335	1.025
"YMR220W"	0.15	-1.869	-3.12	-1.468	-2.008	-1.728	-1.4325	0.526
"YMR321C"	0.725	-3.288	-3.811	-2.409	-2.567	-2.424	1.164	-0.243
"YNL016W"	0.276	-1.2125	-3.2085	-1.256	-1.271	-1.9635	1.293	-0.234
"YNL022C"	0.683	-1.611	-3.745	-1.606	-2.3	-2.325	0.618	0.864
"YNL026W"	-0.372	-1.792	-4.57	-1.742	-1.531	-1.966	0.428	1.064
"YNL035C"	0.156	-2.242	-4.036	-1.517	-2.026	-1.167	0.706	-0.42
"YNL041C"	0.212	-2.304	-3.473	-2.075	-2.743	-2.875	-0.896	0.959
"YNL049C"	0.249	-2.162	-4.607	-1.564	-1.776	-1.25	0.413	1.181
"YNL079C"	0.307	-2.802	-4.703	-1.383	-2.486	-3.23	-1.0045	-0.934
"YNL085W"	0.171	-2.342	-5.369	-2.001	-2.706	-3.291	0.741	0.011
"YNL114C"	1.0	-3.791	-6.572	-1.96	-2.004	-2.111	1.33	1.329
"YNL118C"	-0.167	-1.807	-5.007	-2.012	-2.449	-2.675	2.4655	0.904
"YNL181W"	0.242	-1.86	-3.847	-1.588	-2.16	-1.612	1.6585	0.241
"YNL189W"	0.523	-2.367	-4.06	-2.058	-2.641	-3.084	0.814	1.239
"YNL218W"	0.1	-1.005	-3.318	-1.127	-1.359	-0.907	0.0765	-0.674
"YNL247W"	0.772	-3.191	-4.64	-2.658	-3.388	-2.515	1.652	0.916
"YNL291C"	0.494	-2.472	-4.479	-1.166	-1.572	-1.833	-0.929	0.696
"YNL302C"	0.265	-2.1925	-4.746	-1.1605	-1.0695	-1.549	0.397	0.674
"YNL316C"	-0.092	-1.309	-3.472	-1.127	-1.298	-1.41	0.779	0.405
"YOL062C"	0.403	-1.974	-4.46	-1.017	-1.251	-1.957	1.288	-0.614
"YOR021C"	0.971	-1.103	-2.956	-0.652	-1.443	-0.968	-0.105	0.412
"YOR151C"	0.268	-1.0045	-3.5555	-0.973	-1.754	-2.127	0.03	-0.048
"YOR163W"	0.214	-1.226	-3.0605	-0.809	-1.31	-1.484	1.501	0.519
"YOR165W"	0.321	-1.1925	-3.5345	-1.611	-1.996	-2.281	0.413	0.491
"YOR168W"	0.785	-1.984	-4.808	-2.348	-2.353	-2.604	1.712	0.379
"YOR209C"	0.632	-2.998	-6.004	-1.897	-2.681	-2.954	-0.824	-0.291
"YOR236W"	1.467	-2.4345	-3.971	-1.568	-2.695	-2.322	2.392	0.371
"YOR239W"	0.045	-3.232	-5.0985	-3.149	-3.934	-3.704	1.305	-0.12
"YOR241W"	0.3	-2.668	-6.523	-1.779	-2.794	-2.058	0.624	0.239
"YOR243C"	1.203	-3.3625	-4.3935	-2.865	-4.484	-3.863	1.833	0.76
"YOR253W"	0.448	-2.7935	-5.157	-1.872	-2.672	-2.633	-2.311	1.092
"YOR254C"	0.5	-2.192	-6.426	-2.354	-2.689	-2.309	1.054	1.519
"YOR260W"	0.805	-2.507	-4.639	-2.257	-2.577	-3.081	0.632	0.728
"YOR270C"	0.386	-1.649	-4.932	-1.912	-2.307	-2.635	0.348	0.549
"YOR277C"	0.737	-3.25	-4.571	-1.978	-2.103	-2.211	1.519	1.14
"YOR323C"	0.575	-4.2845	-6.434	-2.742	-3.497	-3.428	1.176	0.388
"YPL037C"	0.835	-3.9955	-5.417	-2.115	-3.222	-3.654	1.862	0.112
"YPL048W"	0.13	-3.2175	-4.579	-1.535	-1.925	-2.183	-0.8	0.839
"YPL050C"	0.45	-2.2165	-4.275	-1.143	-1.8	-1.614	1.859	1.242
"YPL066W"	-0.346	-1.628	-2.461	-0.851	-1.407	-1.229	0.663	0.535
"YPL075W"	0.089	-0.307333333333333	-2.509	-0.7875	-0.6295	-1.1685	NaN	1.148
"YPL118W"	0.093	-2.0295	-3.472	-1.32	-1.696	-1.807	0.619	0.156
"YPL225W"	0.235	-0.893	-2.987	-0.513	-0.966	-1.232	1.8	-0.115
"YPL243W"	0.625	-4.1455	-5.276	-2.602	-3.541	-3.544	NaN	1.158
"YPR073C"	0.129	-2.26	-3.8865	-2.444	-2.384	-2.0	-0.324	-0.012
"YPR118W"	1.07	-3.9965	-5.524	-2.882	-3.334	-3.538	0.751	1.456
"YPR131C"	0.239	-2.759	-4.176	-0.572	-1.386	-1.712	1.772	0.026
"YPR145W"	0.948	-3.737	-5.02	-3.369	-3.625	-3.498	1.134	1.667
"YPR187W"	1.237	-3.609	-5.408	-2.28	-2.584	-3.22	NaN	0.768
