	"59.alpha factor release sample013"	"120.w303a vs w303a fkh1 fkh2"	"297.Kb vs. Ctrl"	"405.W303a vs GZY45-15c"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"864.Amino acid + adenine starvation 4 h"	"962.1 mM Menadione (30 min) redo"	"964.1 mM Menadione (160 min) redo"	"971.1mM Menadione (40 min) redo"	"975.1 mM Menadione (105 min) redo"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"989.constant 0.32 mM H2O2 (10 min) redo"	"990.constant 0.32 mM H2O2 (100 min) redo"	"991.constant 0.32 mM H2O2 (120 min) redo"	"992.constant 0.32 mM H2O2 (160 min) redo"	"993.constant 0.32 mM H2O2 (80 min) redo"	"1009.YPD 2 h (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1109.alpha factor release sample014"	"1258.DBYyap1 + 37degree heat (repeat)"	"1661.1 mM Menadione (50 min)redo"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"5357.1.5 mM diamide (5 min)"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"8520.DES460 + 0.02% MMS - 120 min"	"8521.dun1- + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"15182.Ca 60min (2)"	"18416.2mM MD 120min"	"18418.2mM MD 170min"	"18421.2mM MD 140min"	"18424.2mM MD 055min"	"18429.2mM MD 210min"	"18431.2mM MD 070min"	"18432.2mM MD 077min"	"18433.2mM MD 085min"	"18434.2mM MD 100min"	"21628..24 mM H2O2- 105 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21641..24 mM H2O2- 112 minutes"	"21643..24 mM H2O2- 140 minutes"	"21650..24 mM H2O2- 040 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"21660..24 mM H2O2- 120 minutes"	"21661..24 mM H2O2- 049 minutes/redo"	"21663..24 mM H2O2- 063 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"28841.P2Comp 08 hr 19 min Phosphate Batch vs Chemostat Comparison2"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34365.batch 02X25 6"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"38146.03II01 batch p2"	"38148.03II01 batch p4"	"40949.H2O2_II_35_min"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40956.H2O2_II_100_min"	"40957.H2O2_II_120_min"	"40958.H2O2_II_140_min"	"40967.MD_II_42_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YDR353W"	0.13	-0.751	0.438	0.368	3.125	-0.333	2.122	1.999	1.743	1.771	1.401	1.204	0.18	2.29	NaN	2.236	1.552	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.547	-0.193	0.879	-0.162	0.109	1.307	0.135	-0.103	1.652	1.164	1.098	0.978	0.544	3.251	2.339	3.91	1.086	0.355	0.767	0.522	3.79	0.327	3.72	4.063	4.022	3.384	3.149	3.711	2.277	4.451	2.362	2.606	3.011	2.306	1.334	0.935	3.031	1.897	2.924	2.148	2.932	3.007	3.768	0.193	0.463	0.629	-1.242	0.609	0.265	0.333	2.251	3.293	3.828	3.388	3.218	3.857	3.374	2.141	1.531	1.457	2.4	3.239	3.158	3.469	1.904	1.881	0.929	1.323	2.413	1.469
"YDR453C"	-0.168	-0.144	-0.579	-0.024	3.592	1.133	1.649	2.971	3.387	3.634	3.572	3.156	0.403	3.731	1.844	4.259	3.081	4.461	5.027	5.052	3.935	2.594	2.299	2.229	2.745	-0.107	0.836	1.894	-0.06	2.52	3.483	0.96	0.232	0.632	0.888	0.75	0.853	2.108	2.621	2.775	4.396	0.957	1.038	0.219	0.555	4.491	1.782	4.5035	5.181	4.293	5.406	4.4525	6.2635	5.1845	4.443	4.8915	6.264	6.963	5.594	5.114	3.257	5.033	5.168	6.257	4.357	6.236	3.571	7.294	0.461	2.071	1.335	3.821	1.654	0.127	0.444	4.835	4.643	5.643	4.869	6.126	6.137	4.57	5.751	4.502	3.57	2.956	4.165	4.978	4.141	4.376	5.408	4.097	4.541	3.927	4.959
"YDR513W"	0.468	0.485	0.109	0.752	2.939	0.999	2.659	2.714	2.567	2.457	1.923	1.338	0.274	2.931	1.714	2.918	2.11	3.815	3.904	2.643	2.94	1.417	-0.232	1.687	1.256	0.319	1.361	1.05	0.952	1.49	2.075	0.198	0.281	1.646	0.765	0.554	0.191	2.105	2.783	0.981	3.479	0.503	0.0	0.399	0.316	3.568	0.627	2.3785	2.002	2.3355	3.343	2.9215	2.4705	2.313	2.328	2.849	2.647	3.772	3.297	2.009	1.757	3.709	2.885	3.592	1.827	3.24	3.951	4.145	-0.22	0.679	0.071	2.865	0.919	0.098	0.044	3.338	2.567	3.148	3.15	3.558	2.907	2.674	2.276	1.751	2.064	2.672	3.371	4.006	3.043	2.737	3.039	2.327	2.301	3.011	2.25
"YFL056C"	0.171	-0.132	-0.404	-0.626	2.82	0.108	1.965	2.726	3.102	3.51	3.919	3.536	-0.044	1.006	0.482	1.643	0.803	2.636	2.005	2.076	2.762	1.704	1.935	2.113	2.011	-0.068	-0.32	0.258	0.163	0.244	1.25	0.099	0.358	1.12	1.107	1.368	1.458	0.241	2.125	-0.231	2.111	1.437	0.949	0.425	0.936	3.814	-0.3205	1.95475	2.567	2.92625	1.9225	3.10425	3.20175	3.05625	2.72225	3.67033333333333	1.886	1.428	1.9985	1.598	0.7595	1.233	1.874	1.999	1.4015	2.173	0.957	2.849	0.008	0.168	0.125	0.761	0.477	-0.007	-0.978	1.2415	3.902	1.75	2.404	1.8815	5.056	2.5885	3.464	1.949	2.129	1.551	1.471	1.827	2.691	2.405	3.2325	2.7835	1.8915	2.3545	2.0
"YFL057C"	0.033	-0.405	-0.9515	-0.697	1.821	-0.2155	1.125	1.492	1.8745	2.1775	2.3885	2.02	-0.0295	0.4025	0.503	1.004	0.4295	1.975	2.105	1.4165	1.9295	0.879	0.662	0.802	0.8935	-0.3235	-0.502	0.2795	-0.2755	0.087	0.4615	0.0105	-0.3275	0.3935	0.905	0.8575	1.196	0.0035	1.547	0.371	1.8625	0.879	0.0895	0.016	0.239	1.957	-0.464666666666667	0.9312	2.2284	2.091	0.8356	1.8105	0.9264	0.9836	0.8228	1.2094	0.558	0.889333333333333	0.575	0.284666666666667	0.132666666666667	0.570666666666667	1.141	1.14166666666667	0.37	0.271333333333333	1.32366666666667	1.55466666666667	0.181666666666667	-0.024	-0.0635	0.9025	-0.068	-0.2055	-0.1195	1.018	1.705	0.943333333333333	0.665333333333333	1.60366666666667	-0.408666666666667	1.71966666666667	1.52	1.41466666666667	0.886666666666667	1.051	1.88733333333333	1.433	0.1	2.13266666666667	1.496	0.946	0.945333333333333	1.14466666666667	1.04166666666667
"YGL114W"	-0.299	-0.83	-0.312	-0.299	0.178	-0.11	0.605	0.809	0.974	0.696	0.638	0.363	0.036	0.024	-0.055	0.079	0.042	1.554	1.474	-0.112	1.62	0.037	0.452	0.632	0.636	-0.423	-1.134	-0.706	0.042	0.022	-0.041	0.438	0.65	0.651	0.215	0.432	0.527	-0.164	0.834	-0.269	0.274	0.559	-0.509	0.095	-0.188	0.666	-0.298	0.9265	0.065	0.901	1.0485	1.5675	1.5015	0.2535	1.6415	0.8845	0.571	0.699	0.307	0.118	0.243	0.95	0.765	1.038	0.198	2.411	1.161	2.365	-0.4885	-0.007	0.093	-0.205	0.028	-0.652	-1.19	1.02	2.69	1.933	2.207	0.856	0.689	1.128	-0.037	-0.372	0.307	1.015	0.281	0.76	0.807	-0.087	0.747	-0.22	1.113	0.267	0.618
"YGR011W"	-0.44	-0.382	0.217	-0.357	1.503	0.246	0.651	0.985	0.541	0.929	0.639	0.584	-2.453	0.278	0.011	0.915	0.479	1.257	2.144	0.914	0.372	0.187	-0.073	-0.231	0.059	-0.121	-0.604	0.142	0.0	-0.017	0.445	0.129	0.458	0.322	0.716	0.656	0.464	-0.141	0.719	0.018	2.073	0.307	0.229	0.253	0.211	2.114	0.282	1.75466666666667	1.028	1.20866666666667	0.834	0.620666666666667	0.519333333333333	-0.446333333333333	1.292	1.574	0.908	1.697	0.67	0.757	0.195	2.462	1.536	1.62	0.857	NaN	3.567	3.094	-0.0995	-0.222	-0.16	0.138	-0.105	-0.735	-0.305	2.067	1.96	2.572	2.83	1.849	2.379	2.381	0.81	0.486	0.171	1.268	0.048	0.708	0.857	0.841	0.948	0.572	0.585	0.337	0.771
"YIL036W"	0.068	-0.232	-0.084	0.108	0.231	0.222	0.563	0.873	0.699	0.837	0.441	0.421	-0.008	0.3985	0.149	0.3705	0.1135	1.166	1.0965	0.678	1.0845	0.178	-0.1225	-0.366	-0.2365	0.013	0.094	0.429	-0.003	0.39	0.26	-0.125	-0.011	0.334	0.52	0.599	0.311	0.3075	0.026	0.109	0.881	0.257	-0.0165	0.0195	0.057	0.835	-0.196	1.663	1.207	0.243	1.6055	0.211	1.167	0.692	1.297	1.042	0.663	0.499	0.201	0.019	-0.165	0.157	0.837	0.836	0.236	0.712	0.272	1.433	-0.377	-0.354	0.176	0.343	-0.254	-1.262	-1.267	0.871	0.9	0.385	0.862	1.187	0.483	0.365	1.166	-1.06	0.299	0.362	0.409	0.441	0.325	0.713	1.452	1.187	0.547	0.366	0.803
"YJR104C"	-0.098	-0.318	0.325	0.594	1.4955	0.328	2.249	2.444	2.44	2.187	1.969	1.603	0.652	1.252	1.0	1.337	1.032	2.352	2.391	1.223	2.139	2.032	1.907	1.932	1.652	0.534	-0.242	0.738	0.318	1.711	0.905	0.455	0.193	1.427	0.929	0.812	1.181	1.811	1.808	1.298	2.443	0.989	0.3845	0.697	-0.4735	2.671	-0.266	3.0785	2.0355	2.173	2.0385	1.4575	1.8125	1.976	1.5015	2.1155	2.637	3.501	3.157	2.752	2.078	2.823	1.38	2.924	2.003	2.063	3.346	3.087	0.792	0.719	0.451	1.178	0.545	1.277	0.712	1.349	3.656	2.347	3.508	2.85	2.698	3.098	2.163	2.746	2.428	1.54	2.828	1.993	2.309	3.022	2.011	2.917	2.968	2.932	1.96
"YJR122W"	-0.266	0.234	-0.209	0.56	1.5645	-0.08	1.326	1.755	1.818	1.862	1.248	0.422	0.034	-0.451	0.356	1.764	0.693	2.052	0.963	0.871	1.119	0.29	0.342	0.824	0.499	-0.641	-0.029	-0.568	-0.046	0.579	1.365	0.02	0.394	1.193	0.181	0.167	0.328	0.2115	0.759	-0.174	2.236	0.17	0.7	0.4375	0.5315	2.571	-0.05	1.0135	1.1915	0.0585	2.3965	0.733	1.7535	1.524	0.397	1.6725	0.816	1.444	0.761	0.306	-0.06	2.342	1.009	1.608	0.794	2.358	0.651	2.845	0.079	-0.547	-0.554	-0.969	0.067	-0.888	-0.512	0.99	1.894	2.358	2.339	2.956	1.444	0.442	0.024	-0.071	-0.41	0.45	1.403	0.944	1.374	1.01	1.716	1.655	0.916	1.218	0.382
"YKL071W"	0.075	0.406	-0.368	0.2225	3.552	-0.053	1.72	1.775	1.704	2.265	2.083	1.618	0.086	2.923	0.829	3.012	1.529	5.334	5.076	2.575	2.643	0.687	0.433	0.58	0.854	0.153	-0.352	-0.065	-0.179	-0.448	2.44	0.063	0.447	0.478	0.206	0.318	0.634	-0.18	2.115	0.472	4.791	0.869	0.5035	0.0725	0.271	4.113	-0.245	5.596	5.553	5.743	4.581	5.513	5.807	4.158	5.436	4.393	2.937	5.138	4.848	1.921	1.08	1.259	4.852	5.261	1.756	6.213	3.419	6.955	-0.236	-0.221	0.256	1.263	-0.102	-0.032	0.337	4.971	5.606	5.826	6.236	5.987	5.885	5.961	4.755	2.795	1.52	1.648	3.719	4.331	4.155	3.696	4.962	4.082	4.632	3.586	4.809
"YKL086W"	-0.388	-0.726	-0.682	-0.312	-0.263	-0.0335	0.16	0.1165	0.0375	0.0235	0.079	0.0745	-0.0985	-0.195	0.042	-0.371	0.6155	0.2735	0.5745	0.168	0.4295	-0.0105	-0.485	-0.28	-0.4465	-0.3255	-0.1275	-0.074	-0.458	-0.2195	-0.1415	-0.1015	-0.1995	0.062	-0.056	-0.1605	-0.308	-0.118	0.3715	0.343	0.249	-0.2475	-0.2965	-0.275	-0.444	0.3665	-0.366	1.778	2.429	3.058	2.989	2.503	3.353	3.423	3.125	4.363	1.07	2.539	1.117	0.839	0.421	0.956	0.216	1.526	0.244	1.671	0.327	2.447	-0.406	-0.014	0.019	-0.026	0.248	-0.797	-0.362	2.597	0.388	0.634	0.978	1.013	1.491	1.675	2.336	0.888	1.447	2.472	3.071	2.149	1.731	1.987	1.575	1.682	1.556	1.56	1.159
"YKL087C"	-0.384	0.016	-0.191	-0.025	1.581	0.193	1.109	1.209	1.117	0.916	0.566	0.37	0.199	0.592	0.331	0.882	0.822	2.064	1.747	0.959	0.851	1.035	1.132	0.917	1.002	0.357	-0.606	-0.81	-0.186	0.485	0.424	0.139	0.205	0.807	0.495	0.505	0.925	0.326	1.345	0.197	1.196	0.748	0.443	0.096	0.561	2.437	-0.243	1.72	2.533	0.941	1.74	2.133	1.223	0.892	1.945	2.156	1.532	1.485	1.587	1.517	0.947	1.662	1.078	1.804	1.322	1.655	0.915	1.94	-0.042	-0.051	-0.094	-0.739	0.269	0.134	0.274	-0.362	0.687	1.266	1.452	1.501	0.676	0.976	1.272	0.977	1.064	1.383	1.859	1.258	1.45	1.689	0.699	0.885	1.105	1.558	1.629
