	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"853.YPD_4_h_30C"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1010.YPD 4 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1107.alpha factor release sample025"	"1302.diauxic shift timecourse: 15.5 hr"	"1311.diauxic shift timecourse: 11.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"1673.alpha factor release sample021"	"2144.heat shock 37 to 37, 30 minutes"	"4048.0.8M NaCl +FK506 - 30 min"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"5358.1M sorbitol - 5 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6824.Sporulation t0"	"7758.Na 15min"	"7761.Na 60min"	"7762.Na+FK 15min"	"8235.dtt 480 min"	"12744.heat shock 17 to 37, 20 minutes"	"13064.wt/crz1 Ca 30min (2)"	"15184.Ca+FK 5min (2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YEL011W"	3.051	4.119	5.079	3.833	3.123	1.913	2.585	3.093	2.441	-1.585	-2.279	-3.165	2.057	2.062	0.766	1.802	4.662	3.869	4.663	4.646	4.72	4.761	4.014	2.876	3.74	3.022	-1.597	0.589	3.906	3.266	-0.157	1.058	0.476	1.106	0.076	-0.002	3.455	-0.352	1.652	0.694	0.601	0.358	0.837	1.944	0.472	0.403	2.474	0.132	2.2915	-0.293	0.1565	2.707	3.83	2.462
"YER054C"	2.7015	4.318	1.7915	3.606	4.981	2.384	1.141	2.0915	1.7225	-2.0	-2.931	-1.24	0.713	0.5085	-0.0215	0.501	2.141	0.2095	0.549	1.001	1.007	2.249	2.521	0.6635	1.5385	2.1675	-0.3375	-0.258	1.6505	1.29	-0.348	-0.232	-0.207	-0.29	-0.1315	0.2265	1.54	0.1195	0.279	0.2995	0.073	-0.243	0.4735	0.715	0.102	0.316	2.5985	0.13	1.198	-0.15	0.165	1.607	0.956	0.6965
"YFL016C"	3.102	3.485	3.054	2.493	2.768	1.324	2.256	2.798	3.078	-1.734	-1.883	-2.046	1.525	0.338	0.429	-0.658	1.102	0.974	0.768	1.243	0.732	1.17	2.438	1.438	2.159	1.543	-0.419	0.073	0.972	1.59	0.005	0.407	-0.001	0.039	0.054	0.042	1.644	-0.596	1.002	0.867	0.395	0.183	0.98	1.342	0.472	-0.011	1.916	0.139	0.4055	0.294	-0.0445	3.337	1.733	2.15
"YFR017C"	3.379	3.887	4.105	3.69	3.496	1.402	2.045	3.969	3.073	-3.048	-2.72	-0.433	1.423	1.028	0.258	-0.462	2.364	2.195	1.7	1.896	1.571	-0.375	0.492	2.114	1.672	1.874	-1.91	-0.324	1.892	2.363	0.134	0.455	-0.494	-0.051	-0.028	0.044	1.814	0.398	0.91	0.394	-0.383	0.334	1.376	2.177	0.452	-0.155	3.775	0.359	0.363	0.098	-0.108	2.685	5.41	4.925
"YGL227W"	1.333	2.023	1.694	1.895	1.5	0.678	1.28	1.74	1.617	-1.212	-1.31	-0.528	1.011	0.015	0.207	0.209	1.122	0.73	1.99	1.125	1.132	0.793	1.545	1.361	1.35	1.22	-0.412	-0.179	0.882	1.15	-0.062	0.183	0.05	0.162	-0.1	-0.072	0.565	-0.061	-0.213	0.13	-0.075	-0.157	0.079	0.3	0.054	-0.193	2.214	-0.016	0.676	0.015	-0.1	1.126	2.56	2.029
"YGR079W"	-3.854	-3.894	-2.785	-4.644	-3.48	-1.799	-2.556	-3.142	-2.355	1.29	1.141	1.027	-1.664	-0.307	-0.353	-0.214	-3.414	-2.981	-1.325	-2.425	-0.983	-1.655	-0.747	-2.597	-2.126	-1.074	-0.04	-0.753	-0.398	-0.338	0.193	-1.024	-0.749	-0.276	-0.207	-0.178	-2.203	-0.01	-0.912	-0.189	-0.412	-0.018	-0.633	-1.583	-0.75	0.213	-3.774	0.291	-1.145	-0.132	-0.347	-3.401	-2.99	-2.303
"YGR123C"	-0.549	-1.982	-3.5875	-2.638	-3.2965	-1.9375	-3.0495	-4.1895	-3.748	1.116	0.996	0.986	-2.491	-0.361	-0.954	-0.499	-4.447	-2.7	-2.234	-2.041	-1.249	-2.224	-1.859	-2.878	-2.97	-2.137	0.271	0.278	-1.989	-1.536	0.124	-0.494	-0.106	-0.587	0.234	0.219	-1.64	-0.141	-0.23	0.051	0.085	-0.129	0.378	-1.141	0.229	0.062	-4.594	-0.395	-1.044	0.028	0.2875	-2.795	-3.836	-3.389
"YGR151C"	-0.791	-0.6245	-1.692	-1.2825	-1.4245	-0.9945	-0.915	-1.322	-1.289	0.447	0.436	0.309	-0.38	-0.395	-0.544	-0.107	-2.709	-1.974	-1.289	-1.803	-2.677	-1.671	-1.059	-1.322	-1.824	-0.483	0.239	-0.323	-2.815	-2.712	0.616	-0.061	-0.105	-0.05	-0.622	0.069	-0.454	-0.12	-0.358	-0.177	-0.333	0.024	-0.128	-0.742	-0.178	-0.056	-1.564	0.4315	-0.1215	0.1265	0.0765	-1.031	-1.703	-1.532
"YGR152C"	-0.9235	-0.735	-1.5455	-1.637	-1.8195	-0.9275	-0.7605	-1.4345	-1.4805	0.507	0.507	0.851	-0.662	-0.285	-0.372	-0.106	-2.174	-2.161	-1.421	-1.959	-2.308	-1.561	-0.837	-0.945	-1.223	-0.697	0.298	-0.448	-2.272	-3.641	0.472	0.169	0.403	-0.055	-0.4	0.001	-0.494	-0.101	-0.608	-0.067	-0.463	-0.346	-0.206	-0.887	-0.273	-0.12	-1.5225	0.466	0.0445	-0.0445	-0.0925	-1.096	-0.58	-1.111
"YGR161C"	3.9245	1.6355	2.734	3.279	2.654	1.538	2.018	2.261	2.07	-2.173	-2.063	-2.427	0.954	-0.163	0.056	-0.001	2.79	2.794	3.004	3.795	4.323	4.178	3.557	3.455	2.714	0.639	-0.115	0.952	3.03	2.077	0.016	-0.427	-1.222	-0.454	0.187	0.161	3.568	0.021	1.715	0.501	0.307	0.037	1.267	1.458	0.98	0.017	1.036	-0.462	2.056	0.365	0.2885	3.096	2.534	1.882
"YGR250C"	3.6325	4.066	2.412	1.796	1.5415	1.2335	1.5295	2.827	3.252	-2.678	-3.205	-4.107	1.635	0.892	0.776	0.808	3.794	4.669	2.799	3.197	3.074	3.558	3.26	2.531	2.746	2.64	0.139	0.296	3.605	4.133	0.142	1.15	0.511	0.637	0.21	-0.191	1.005	NaN	0.077	-0.013	0.259	0.422	-0.615	0.992	-0.197	0.124	2.756	-0.613	0.794	0.018	0.477	3.054	2.898	3.265
"YHR021C"	-0.974	-1.016	-1.958	-1.584	-1.8445	-1.934	-1.8895	-2.8035	-3.2995	1.113	0.8	0.762	-1.07	-0.243	-0.352	-0.222	-3.57	-3.061	-2.341	-2.215	-1.714	-1.757	-1.353	-2.639	-2.717	-1.787	0.491	-0.094	-1.49	-0.902	-0.093	0.146	0.446	0.237	-0.213	0.482	-1.057	0.189	0.07	0.075	-0.125	-0.392	-0.521	-1.357	-0.979	0.222	-2.676	0.188	-0.648	-0.094	0.024	-2.042	-3.519	-3.078
"YHR052W"	-2.373	-3.848	-4.2445	-2.638	-3.5175	-2.1725	-3.5215	-4.3935	-3.9395	0.714	1.339	1.084	-2.417	-0.362	-0.687	-0.175	-4.199	-3.017	-2.239	-2.075	-2.236	-2.282	-2.571	-2.565	-2.428	-1.756	0.508	-0.376	-2.245	-2.297	-0.033	-0.446	-0.243	-0.675	0.153	0.135	-2.447	0.119	-0.72	-1.254	-0.084	0.279	-0.841	-1.95	-0.625	-0.055	-4.9395	-0.441	-1.334	-0.509	0.071	-2.827	-3.47	-2.114
"YIL101C"	3.5095	4.1215	4.271	NaN	3.439	2.3495	3.398	3.9075	3.7695	-1.848	-3.059	-2.717	1.783	0.414	0.957	0.325	4.085	3.455	3.613	3.609	3.977	2.863	3.241	2.324	2.418	1.78	-0.453	-0.012	3.227	2.8	-0.406	-0.202	0.0	0.628	0.088	-0.134	2.523	0.046	0.925	0.326	0.435	-0.13	0.455	1.643	0.21	0.479	4.3735	-0.697	1.16	-0.212	0.196	0.366	2.0685	1.6855
"YIR039C"	1.419	2.385	3.633	3.4175	3.2675	2.509	2.848	3.293	3.373	-1.984	-2.366	-2.23	1.139	0.448	0.881	0.833	4.648	3.836	3.921	2.996	3.204	3.092	2.236	1.581	1.932	1.562	-0.403	0.319	1.744	1.941	-0.039	1.162	0.916	1.33	0.062	0.001	1.191	0.12	0.516	0.346	0.144	0.777	0.25	1.395	0.037	0.515	3.736	-0.09	0.647	-0.275	-0.482	2.835	4.051	2.778
"YJL138C"	1.377	0.8045	-1.065	-0.982	-1.419	0.37	-0.601	0.6855	-1.971	1.168	1.287	0.865	-0.373	-0.136	-0.722	0.283	-2.487	-1.169	-1.274	-1.167	-1.195	-1.358	-1.364	-1.273	-2.285	-1.674	0.46	0.761	-1.763	-2.049	0.091	-0.264	0.389	0.099	0.223	0.542	-0.505	0.058	0.176	0.097	0.234	0.067	0.562	-1.141	0.464	0.195	-1.897	0.154	0.659	0.213	0.344	-1.707	-1.902	-1.373
"YJL141C"	2.3005	1.997	2.1465	2.3545	2.071	0.2785	1.832	2.485	2.58	-1.251	-1.724	-1.429	1.091	0.418	0.098	0.176	3.509	2.039	1.989	2.212	2.328	2.273	2.43	2.008	1.927	1.804	-0.822	0.049	1.856	1.968	0.099	0.298	-0.006	0.027	0.014	0.13	2.017	-0.226	0.205	0.465	0.007	0.179	0.89	1.51	0.739	-0.097	2.56	-0.142	0.79	-0.136	-0.068	1.778	3.165	1.852
"YJL142C"	2.662	2.621	2.359	2.77	1.7625	0.696	2.327	2.1005	2.278	-1.543	-1.317	-1.445	1.312	0.09	-0.007	0.658	3.291	2.454	2.277	2.799	2.882	2.902	2.266	2.282	1.779	1.145	-0.408	0.422	2.03	2.375	0.07	0.073	-0.148	0.16	-0.01	0.005	1.875	-0.167	0.567	0.387	0.075	-0.142	0.785	1.357	0.58	-0.339	2.292	0.435	0.426	0.318	0.152	2.014	3.113	1.55
"YJR037W"	1.9765	0.314	1.485	2.3745	1.1485	-1.6425	1.304	1.679	1.3105	-1.0	-0.729	-0.89	0.91	-0.105	-0.216	-0.19	2.702	1.986	1.524	1.975	2.0	2.691	3.695	1.912	1.203	2.159	-0.116	-0.159	0.691	0.607	-0.322	0.322	0.001	0.094	-0.27	-0.239	0.966	0.142	-0.189	0.005	0.055	0.294	-0.058	0.412	0.256	0.0	2.028	0.083	-0.239	0.514	-0.223	0.311	1.242	0.346
"YKL109W"	3.289	2.832	3.026	2.525	2.615	1.098	2.322	2.127	2.389	-1.762	-1.847	-1.0	0.421	1.881	-1.408	1.009	3.944	4.619	4.678	3.512	3.345	3.204	3.343	3.076	3.27	2.936	-0.511	1.042	3.126	3.018	0.056	1.215	1.014	0.995	-0.038	0.226	1.006	-0.678	1.071	-0.439	-0.089	-0.102	-0.221	-0.369	-0.319	0.742	2.019	0.317	-1.879	-0.594	0.323	0.877	3.231	3.514
"YKL148C"	1.901	2.968	3.187	3.015	2.686	2.205	2.214	2.788	2.705	-1.655	-1.608	-1.486	1.178	0.384	0.393	1.15	4.34	5.409	4.444	4.55	3.513	3.419	2.584	2.311	2.666	2.463	-0.943	0.541	3.258	2.644	-0.271	1.532	0.45	0.555	-0.595	0.225	1.862	0.135	0.837	0.275	-0.357	-0.217	0.645	1.449	0.243	-0.034	2.844	0.036	0.724	-0.21	0.27	1.699	2.514	0.695
"YKR056W"	-2.701	-3.646	-4.01	-3.863	-3.872	-1.682	-2.945	-3.217	-3.127	1.171	1.262	0.804	-2.566	-0.501	-0.546	-0.918	-4.495	-2.575	-2.343	-2.336	-1.492	-2.639	-2.076	-2.379	-1.808	-1.061	0.302	-0.372	-1.597	-1.637	0.009	-0.733	0.014	-0.817	0.078	0.241	-2.462	-0.129	-1.037	-0.981	-0.336	-0.334	-0.525	-1.713	-0.444	0.118	-3.682	-0.257	-1.67	-0.387	-0.185	-2.586	-3.056	-2.089
"YKR058W"	2.4	2.852	2.984	2.726	2.144	0.534	1.624	2.067	2.33	-1.343	-1.334	-0.178	1.058	0.548	-0.051	0.551	3.813	3.098	3.056	2.512	3.356	2.726	2.514	2.488	2.585	2.112	-1.041	0.254	2.099	1.814	-0.248	0.897	0.262	0.594	-0.247	0.033	1.947	0.024	0.708	0.153	-0.027	-0.317	0.579	0.809	0.445	0.179	2.208	0.114	1.011	0.013	-0.517	0.407	4.344	3.673
"YKR081C"	-1.614	-4.01	-4.459	-3.157	-3.308	-1.663	-1.58	-3.81	-3.431	1.33	1.422	0.912	-2.31	-0.29	-0.464	-0.007	-4.081	-2.662	-2.469	-1.772	-1.667	-1.821	-2.99	-3.278	-2.505	-1.918	0.361	-0.28	-2.119	-2.118	-0.04	-0.392	-0.025	-0.404	0.334	0.139	-2.166	0.336	-0.794	-0.793	-0.108	0.423	0.133	-1.645	0.165	-0.208	-3.505	-0.69	-1.907	0.137	-0.337	-2.666	-3.261	-2.433
"YLL011W"	-2.524	-3.974	NaN	-2.841	-1.871	-1.233	-2.065	-2.297	-3.65	1.3	1.238	0.917	-2.068	-0.687	-0.515	-0.975	-4.731	-2.872	-2.311	-2.362	-2.077	-2.646	-2.312	-3.053	-2.081	-1.708	0.18	-0.283	-1.771	-1.944	-0.079	0.59	0.07	-0.209	-0.189	0.04	-1.523	0.087	-0.926	-0.659	-0.47	-0.402	-0.743	-1.013	-0.968	0.0	-3.689	-0.48	-1.615	0.265	0.102	-2.527	-2.793	-2.117
"YLR146C"	-1.526	-0.895	-1.871	-2.248	-2.662	-1.251	-1.0	-1.451	-1.801	1.062	1.222	0.663	-0.972	0.082	-0.083	0.319	-1.534	-0.974	-1.003	-0.995	-1.261	-0.866	-1.477	-1.237	-1.465	-0.815	0.433	0.63	-1.307	-0.856	0.074	-0.316	0.008	-0.216	0.114	0.153	-0.92	0.183	-0.146	-0.035	-0.139	-0.471	0.124	-0.537	0.266	0.27	-2.028	-0.038	-0.273	-0.421	-0.27	-2.104	-2.001	-1.605
"YLR149C"	2.798	3.684	4.616	4.115	4.196	2.173	3.715	4.069	3.872	-3.273	-3.161	-1.939	1.445	1.429	1.909	-0.133	4.105	3.465	3.717	3.85	3.986	3.387	3.839	3.078	3.191	2.983	-1.018	0.325	4.206	4.313	-0.144	0.438	-0.356	0.896	-0.027	0.12	2.949	0.282	0.569	0.096	0.827	0.316	0.6	2.4	0.185	-0.061	4.23	0.045	1.229	0.023	0.082	3.532	4.717	4.271
"YML120C"	1.979	1.871	2.437	2.272	2.279	1.44	1.757	2.479	2.268	-1.222	-1.138	-1.204	1.109	0.145	0.395	1.225	4.463	4.703	3.899	3.539	2.94	2.906	3.147	3.023	2.869	2.314	-0.64	0.248	2.223	1.538	-0.364	0.932	-0.319	0.369	-0.051	0.275	1.829	0.115	0.995	0.065	-0.349	0.02	0.779	1.054	0.651	0.311	2.072	0.096	0.471	0.561	0.06	1.332	3.018	2.902
"YMR053C"	1.208	1.521	1.551	-2.932	1.591	0.905	1.0	2.111	1.65	-1.234	-1.402	-1.087	0.947	0.274	0.102	-0.102	1.798	1.628	2.251	2.192	1.757	2.883	1.433	1.234	1.495	1.02	-0.37	0.071	2.639	2.612	-0.183	0.057	-0.53	-0.136	-0.251	-0.079	1.32	0.172	0.373	0.253	-0.126	-0.233	-0.071	0.865	0.032	0.229	1.927	0.009	-0.619	0.24	0.45	1.02	0.596	0.336
"YMR084W"	1.386	2.012	1.757	1.354	0.678	0.528	1.054	1.642	1.0	-1.918	-1.492	-1.637	0.47	-0.106	-0.301	-0.149	2.577	2.349	2.016	1.921	2.936	2.192	3.133	2.005	0.872	2.416	-0.127	0.162	1.3	1.206	NaN	NaN	NaN	NaN	NaN	0.023	1.409	0.13	-0.093	0.075	-0.308	NaN	0.243	0.804	0.018	0.33	1.664	0.016	-0.601	0.324	-0.209	0.074	0.985	1.072
"YMR104C"	1.719	1.396	NaN	2.616	2.84	1.528	2.447	3.029	2.83	-2.127	-1.715	-1.595	0.987	0.349	-0.027	1.16	2.115	1.949	1.743	1.88	1.91	2.109	3.152	2.812	2.209	2.917	0.183	-0.125	1.732	2.546	-0.558	0.156	0.568	0.49	-0.315	-0.043	1.364	0.088	0.721	0.094	0.042	0.301	-0.35	1.247	0.332	0.261	3.469	-0.089	0.559	-0.277	0.332	1.671	2.466	2.639
"YMR110C"	1.319	2.134	2.615	2.502	2.414	0.622	2.26	2.565	2.824	-0.955	-1.172	-0.793	0.902	0.729	1.284	0.365	3.925	3.346	3.746	3.565	3.434	2.517	2.734	2.473	2.516	2.338	-0.511	0.385	2.995	3.422	-0.179	1.128	0.239	0.582	-0.129	0.126	1.765	-0.312	0.545	0.525	0.001	-0.116	0.213	1.767	0.352	-0.079	2.675	0.057	1.944	0.119	0.434	2.545	3.64	3.462
"YMR133W"	1.271	1.421	1.711	1.931	1.793	0.943	1.193	1.68	1.359	-1.28	-1.215	-1.669	0.875	0.422	0.616	0.791	3.151	2.546	2.165	1.931	1.601	1.65	1.253	1.108	0.479	1.341	-0.828	-0.189	0.713	0.717	-0.017	0.997	0.24	0.346	-0.471	-0.196	1.392	0.004	-0.025	0.215	-0.31	-0.183	0.215	1.15	0.121	0.064	2.393	0.364	0.898	0.254	NaN	1.01	1.796	1.148
"YMR196W"	2.501	4.38	5.12	3.812	4.798	3.351	3.301	3.788	3.815	-1.874	-3.233	-0.751	1.419	0.358	1.31	0.197	2.691	1.583	2.638	2.071	2.161	1.893	1.631	1.677	1.866	1.179	-0.511	-0.06	2.612	2.291	-0.374	1.125	-0.087	1.035	-0.377	-0.41	2.008	-0.122	0.543	0.128	0.369	0.205	0.335	1.163	0.272	0.118	4.01	0.035	0.975	0.262	-0.131	3.052	2.937	1.77
"YMR291W"	2.806	2.671	3.174	2.6	3.197	1.754	2.415	2.993	3.498	-1.846	-1.476	-1.902	1.007	1.757	0.707	0.459	3.825	1.934	2.213	2.354	2.439	2.608	2.918	2.753	2.337	1.889	-1.043	0.835	1.942	1.682	-0.063	-0.058	-0.247	0.089	0.126	0.639	3.531	0.225	0.992	1.695	0.014	0.179	1.085	1.997	0.83	0.066	2.593	-0.22	1.087	-0.335	1.399	2.717	2.764	2.077
"YNL007C"	2.77	3.131	2.872	2.467	2.522	1.577	2.433	3.031	3.028	-1.429	-1.37	-1.709	1.808	0.455	0.624	0.558	1.396	0.799	0.465	0.783	1.225	1.761	1.919	2.108	1.261	1.232	-0.138	0.277	0.929	1.577	-0.305	0.386	-0.015	0.2	0.038	0.266	1.746	-0.758	1.558	0.686	0.001	-0.355	0.769	1.194	0.782	-0.482	2.45	0.546	1.464	-0.417	0.4035	3.954	0.702	0.464
"YNL077W"	3.5665	2.8215	1.684	1.5695	0.897	0.6405	0.482	1.2525	1.1475	-1.63	-2.082	-1.9755	0.7545	-0.258	0.1805	0.069	1.3055	1.599	1.107	1.6095	1.4705	2.2445	2.0095	1.726	1.974	2.2075	-0.132	0.142	1.133	1.417	-0.1815	-0.101	-0.458	-0.167	-0.3625	0.161	1.718	-0.0535	0.6845	0.3835	-0.1225	0.329	0.958	1.0245	0.7255	-0.1065	0.959	-0.1405	0.234	0.5715	-0.222	1.186	0.9795	1.5925
"YNL113W"	-1.182	-1.831	-3.404	-2.327	-2.697	-0.959	-2.322	-2.536	-2.502	1.188	0.831	0.983	-1.524	-0.301	-0.53	-0.375	-5.347	-3.34	-2.736	-2.957	-1.878	-2.291	-3.247	-3.971	-2.612	-1.964	0.639	-0.411	-1.673	-1.782	-0.096	-0.529	-0.072	-0.568	0.054	0.176	-2.545	-0.176	-0.125	-0.652	-0.421	-0.282	-0.76	-2.095	-0.544	0.029	-3.986	-0.113	-1.417	0.342	-0.0015	-2.788	-4.226	-2.606
