	"108.heat shock 15 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2064.Hypo-osmotic shock - 5 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"11466.yO1 test hyb"	"12732.Nitrogen Depletion 4 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"30464.Rich vs. Minimal II"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YIL133C"	-2.0235	-2.027	-3.384	-3.811	-1.126	-1.825	-3.333	-3.196	-3.135	-2.331	-2.167	-2.883	-2.693	-5.79	-2.633	-0.935	-0.124	-2.93	-2.571	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	0.095	-0.643	-1.6925	-2.13	0.005	-1.846	-2.349	-1.08	-3.3115	-0.974	-4.387	-3.183	-4.098	-3.154	-2.466
"YIR026C"	-3.1325	-2.8615	-3.1245	-3.013	-0.699	-1.069	-4.983	-2.403	-2.432	-2.146	-2.11	-2.2	-4.02	-4.724	-2.815	-1.327	-0.276	-2.112	-2.284	-0.988	-1.175	-1.886	-1.544	-1.519	-2.47	-1.168	-0.036	-0.275	-1.3275	-1.804	0.168	-0.799	-0.768	-0.201	-2.938	0.568	-1.822	-1.135	-2.578	-1.739	-1.698
"YJL125C"	-1.985	-1.6395	-2.175	-1.945	-0.447	-0.369	-2.303	-1.93	-2.066	-1.635	-1.655	-0.934	-2.343	-4.009	-1.542	-0.503	-0.03	-1.988	-1.388	-1.688	-1.254	-0.819	-0.974	-1.983	-1.697	-1.865	-0.193	0.096	-0.712	-1.07	0.439	-0.615	-0.65	0.16	-1.7655	-1.224	-1.15	-1.094	-1.31	-1.121	-1.091
"YJL177W"	-2.0	-2.211	-3.2765	-3.7865	-1.171	-1.951	-4.132	-3.846	-3.2	-2.981	-0.605	-2.747	-3.255	-5.49	-2.648	-1.502	-0.361	-3.409	-3.772	-5.074	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	0.173	-0.158	-1.9425	-2.348	0.288	-1.477	-2.301	-1.058	-3.293	-0.448	-4.72	-4.004	-4.54	-4.115	-3.056
"YJL190C"	-2.166	-2.8085	-3.022	-3.838	-1.053	-1.982	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-6.079	-3.053	-1.801	-0.085	-3.969	-3.744	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	0.312	-0.284	-2.0875	-2.43	-0.259	-2.107	-2.806	-1.272	-3.7855	1.458	-4.772	-3.912	-4.874	-4.273	-3.311
"YJR069C"	-0.3655	-0.757	-1.1045	-1.034	-0.664	-0.048	-2.056	-1.976	-1.414	-2.026	-2.741	-2.017	-3.527	-4.151	-1.058	-0.159	-0.182	-1.806	-1.64	-1.021	-1.033	-1.358	-1.09	-1.656	-1.806	-1.42	-0.002	0.149	-0.7065	-1.603	0.109	-0.259	0.114	-0.068	-1.066	0.492	-1.467	-1.181	-1.685	-2.036	-1.662
"YKL082C"	-2.8345	-2.396	-3.0765	-3.3375	-0.568	-0.572	-3.87	-2.249	-1.774	-2.137	-0.591	-1.13	-0.699	-2.45	-1.708	-0.139	0.249	-1.61	-0.366	-3.391	-2.03	-1.237	-1.838	-0.923	-1.55	-1.551	-0.13	0.096	-0.858	-0.665	0.91	-0.753	-0.596	0.753	-2.7635	-0.234	-1.733	-1.333	-3.215	-1.561	-1.699
"YKL099C"	-4.464	-2.796	-3.564	-3.037	-0.329	-1.062	-4.145	-2.015	-2.146	-1.585	-1.353	-1.537	-1.671	-3.312	-2.489	-0.421	0.006	-2.585	-1.842	-3.26	-1.746	-1.419	-1.618	-0.653	-3.165	-2.644	-0.185	-0.006	-1.157	NaN	0.963	-1.336	-0.751	0.653	-3.926	0.929	-1.88	-1.394	-3.486	-1.59	-1.288
"YKL180W"	-1.731	-2.16	-2.81	-3.531	-0.73	-1.901	-2.661	-2.738	-2.549	-1.831	-1.633	-1.857	-2.561	-5.237	-2.195	-1.079	0.021	-2.625	-3.204	-4.629	-1.825	-2.351	-2.354	-2.059	-2.04	-2.857	0.403	-0.017	-2.01	-2.393	0.342	-1.285	-2.019	-0.536	-3.37	-0.705	-3.827	-3.339	-3.071	-2.962	-2.254
"YKR060W"	-2.755	-1.512	-2.593	-2.337	-0.479	-0.138	-3.243	-2.165	-2.05	-2.019	-1.793	-2.106	-3.218	-3.796	-1.826	-0.285	-0.013	-2.014	-1.723	-2.182	-1.468	-1.536	-1.719	-1.64	-3.104	-1.59	-0.185	0.316	-0.55	-1.493	0.727	-0.484	-0.421	0.63	-2.833	NaN	-1.105	-1.234	-2.055	-1.281	-0.897
"YKR081C"	-4.459	-1.58	-3.81	-3.431	-0.991	-1.033	-4.081	-2.662	-2.469	-1.772	-1.667	-1.821	-2.08	-4.632	-2.467	-0.798	-0.331	-3.278	-2.505	-3.734	-2.064	-2.119	-2.118	-2.282	-2.696	-2.515	0.041	0.22	-1.565	-1.349	0.474	-2.388	-1.678	0.484	-3.505	-0.687	-3.386	-2.103	-3.261	-2.433	-1.814
"YLL036C"	-0.396	-0.465	-0.606	-0.642	-0.064	-0.063	-1.969	-1.038	-1.624	-1.364	-1.351	-1.042	-3.663	NaN	-0.486	-0.639	-0.32	-0.886	-1.709	-0.743	-0.764	-0.968	-0.901	-1.42	-2.012	-1.793	-0.055	0.153	-0.113	-0.88	0.253	-0.191	0.117	-0.002	-0.463	0.227	-0.206	-0.011	-0.209	-0.577	-0.583
"YLL045C"	-1.746	-2.319	-3.116	-3.722	-0.971	-1.94	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-2.711	-0.863	-0.056	-3.169	-3.335	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.283	-0.098	-1.965	-2.165	0.145	-1.497	-2.279	-0.703	-3.545	-0.788	-3.449	-2.833	-3.788	-3.87	-2.635
"YLR048W"	-1.866	-2.16	-2.988	-4.313	-1.08	-2.403	-4.075	-2.679	-2.64	-2.034	-2.257	-1.88	-3.645	-3.72	-2.627	-1.191	-0.307	-3.296	-3.55	-5.136	-2.08	-2.645	-2.575	-2.294	-2.17	-3.634	0.209	-0.379	-2.059	-2.293	-0.581	-2.17	-3.112	-1.581	-3.563	-0.706	-4.39	-3.403	-4.032	-3.798	-2.576
"YLR051C"	-1.956	-1.676	-2.137	-2.331	0.026	-0.284	-2.92	-1.697	-1.342	-1.739	-0.793	-1.485	-0.213	-2.766	-0.981	-0.243	-0.072	-1.169	-1.459	-2.192	-1.441	-1.147	-1.277	-0.641	-1.295	-0.923	0.078	0.633	-0.55	-0.678	0.877	-0.463	-0.384	0.556	-2.127	-0.61	-1.68	-1.112	-2.885	-1.77	-0.982
"YLR065C"	-0.089	-0.254	-0.361	-0.348	-0.71	-0.025	-1.734	-1.826	-1.451	-1.638	-1.191	-1.341	-1.93	-3.028	-0.773	-0.557	-0.23	-1.082	-1.343	-1.44	-1.007	-1.07	-1.137	-1.477	-1.554	-1.642	0.081	-0.156	-0.087	-0.712	-0.033	-0.331	-0.076	-0.183	0.569	0.111	-0.712	-0.248	-1.485	-1.417	-0.902
"YLR129W"	-4.096	-2.347	-3.676	-3.658	-0.926	-1.266	-4.83	-2.28	-3.089	-2.498	-2.028	-2.718	-2.877	-4.914	-3.214	-0.675	-0.355	-3.12	-2.647	-3.861	-2.137	-1.99	-2.481	-2.714	-2.42	-3.068	0.069	0.42	-0.967	-2.011	0.165	-2.144	-1.903	-0.441	-4.108	0.564	-3.422	-2.781	-4.119	-2.843	-2.213
"YLR175W"	-4.176	-3.07	-4.552	-4.902	-1.501	-1.812	-5.607	-3.276	-2.921	-2.657	-2.484	-3.068	-3.401	-5.468	-3.43	-0.783	-0.302	-3.996	-3.068	-4.678	-2.413	-2.762	-3.408	-3.701	-4.364	-4.96	-0.224	-0.421	-1.587	-2.422	0.496	-3.065	-1.769	-0.015	-4.431	0.415	-3.995	-3.16	-4.338	-2.959	-2.455
"YLR196W"	-5.425	-3.221	-4.896	-4.532	-0.842	-1.289	-5.083	-3.01	-3.156	-2.049	-1.898	-2.276	-4.437	-5.836	-2.118	-0.772	0.058	-2.858	-2.859	-4.378	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	0.039	0.046	-1.454	-1.216	-0.098	-3.524	-2.593	-0.476	-5.097	-2.91	-2.901	-2.83	-3.658	-2.412	-1.969
"YLR197W"	-4.98	-3.638	-4.76	-5.179	-1.17	-1.659	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-4.736	-5.242	-3.387	-1.088	0.259	-3.899	-3.238	-5.671	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	-0.157	-0.496	-1.878	-2.488	0.418	-3.026	-2.075	-0.576	-5.072	-0.726	-4.983	-3.17	-4.545	-3.045	-2.593
"YLR249W"	-2.818	-3.317	-4.232	-4.758	-1.649	-2.738	-6.529	-4.864	-4.043	-3.482	-3.403	-3.637	-4.146	-6.742	-2.985	-0.973	-0.432	-3.879	-4.141	-4.679	-2.712	-3.131	-3.778	-3.883	-4.549	-4.992	0.23	-0.574	-2.345	-3.421	-0.349	-2.719	-2.995	-1.472	-4.59	0.184	-5.053	-5.102	-5.085	-4.9	-3.269
"YLR388W"	-1.974	-1.861	-2.879	-3.074	-0.744	-1.403	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-3.596	-5.506	-2.593	-1.483	0.116	-3.204	-3.058	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.306	-0.019	-1.597	-2.034	0.052	-1.62	-2.448	-1.196	-2.761	-0.597	-3.674	-2.798	-3.762	-3.521	-2.816
"YLR401C"	-3.667	-2.202	-3.179	-2.451	-0.782	-0.432	-3.761	-2.23	-2.153	-1.623	-1.241	-1.265	-1.263	-3.133	-2.307	-0.352	0.15	-2.484	-2.153	-1.31	-1.179	-1.047	-1.54	-0.775	-0.916	-0.969	-0.078	-0.06	-1.05	-0.681	0.185	-0.666	-1.009	-0.191	-3.769	-0.142	-1.382	-1.137	-2.921	-1.22	-1.004
"YLR435W"	-2.95	-2.012	-2.917	-2.415	-0.507	-0.606	-4.216	-2.534	-2.556	-2.839	-2.421	-2.684	-2.8	-3.819	-1.636	-0.607	-0.56	-1.506	-2.134	-2.605	-2.004	-1.983	-2.216	-2.038	-2.387	-2.149	-0.105	0.207	-0.962	-1.234	0.64	-0.699	-0.638	0.3	-3.297	-0.305	-2.298	-2.662	-4.563	-2.595	-2.03
"YLR448W"	-1.853	-1.814	-2.821	-3.482	-1.597	-1.716	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-5.971	-2.157	-0.947	-0.457	-3.425	-3.454	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	0.339	-0.189	-1.725	-2.337	-0.294	-1.514	-2.649	-1.519	-2.983	-0.338	-4.85	-3.788	-4.791	-4.505	-3.161
"YML093W"	-4.507	-2.741	-3.357	-3.472	-0.188	-1.529	-4.947	-2.836	-1.941	-1.822	-1.272	-2.007	-2.962	-5.889	-2.751	-0.276	-0.327	-2.797	-2.437	-3.309	-1.656	-1.961	-2.236	-2.547	-2.745	-3.262	0.376	0.215	-1.18	-1.522	0.128	-2.234	-1.586	-0.168	-3.703	-0.006	-2.999	-2.533	-4.548	-2.489	-2.192
"YML105C"	NaN	NaN	NaN	NaN	-0.176	-0.156	-0.925	-1.306	-1.114	-0.918	-1.11	-1.19	-3.491	-5.249	-0.804	-0.144	-0.377	-0.758	-0.911	-0.816	-0.764	-0.945	-0.916	-1.556	-2.731	-1.698	0.063	0.252	0.322	0.328	0.735	-0.021	0.216	0.595	0.014	-0.37	-0.71	-1.307	-0.54	-0.917	-1.068
"YMR131C"	-4.819	-3.849	-4.525	-4.347	-1.212	-1.4	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-5.052	-6.665	-3.153	-0.65	-0.133	-3.547	-2.98	-4.277	-2.776	-2.829	-3.214	-4.236	-5.241	-4.266	0.289	0.22	-1.363	-1.789	0.107	-2.821	-2.023	-0.433	-4.674	-1.212	-1.412	-2.944	-4.181	-2.68	-1.908
"YMR142C"	-2.549	-2.064	-3.395	-3.688	-1.248	-1.601	-3.579	-3.719	-3.19	-2.326	-2.653	-2.822	-0.651	-6.693	-2.458	-1.636	0.039	-3.048	-3.849	-4.4	-2.393	-2.974	-2.468	-2.774	-3.415	-4.248	0.193	0.137	-1.695	-1.565	0.298	-1.116	-1.729	-0.915	-3.22	0.19	-4.355	-3.347	-4.039	-3.538	-3.031
"YMR269W"	-2.072	-1.918	-2.375	-2.199	0.234	-0.327	-3.081	-2.384	-1.841	-1.694	-1.483	-0.969	0.179	-0.686	-1.125	-0.288	0.038	-2.075	-1.612	-2.556	-1.453	-1.198	-1.037	0.269	0.155	-0.172	-0.124	0.314	-0.423	-1.0105	0.487	-0.299	-0.566	0.559	-2.034	-0.2995	-1.82	-1.836	-3.852	-2.049	-1.436
"YNL022C"	-1.72	-0.458	-1.986	-1.406	-0.471	-0.116	-2.558	-0.694	-1.566	-1.973	-1.988	-2.43	-1.611	-3.745	-1.8	-0.469	-0.249	-1.761	-1.753	-1.076	-1.225	-1.297	-1.083	-1.606	-2.3	-2.325	0.072	0.479	-0.309	-1.608	0.381	-0.399	-0.357	0.16	-1.851	0.1545	-1.088	-0.613	-2.039	-1.091	-0.98
"YNL069C"	-1.415	-1.954	-2.865	-3.347	-0.839	-2.057	-3.663	-3.006	-2.506	-1.993	-1.978	-2.285	-4.006	-4.824	-2.585	-1.387	-0.302	-3.44	-3.85	-4.269	-1.921	-2.199	-2.466	-2.107	-2.509	-3.665	0.173	-0.315	-1.726	-2.137	-0.176	-1.722	-2.448	-1.398	-2.91	0.5415	-3.601	-3.131	-3.741	-3.469	-3.02
"YNL151C"	-2.707	-2.682	-2.835	-2.667	0.216	-0.167	-1.688	-0.896	-0.748	-0.522	-0.568	-0.91	-0.664	-2.706	-1.45	-0.266	0.501	-1.523	-1.143	-1.317	-0.686	-0.771	-0.414	-0.764	-1.078	-0.694	0.154	0.28	-1.115	-1.291	0.266	-0.527	-0.636	0.369	-3.201	-0.189	-3.305	-2.364	-3.425	-2.373	-1.589
"YNL174W"	-5.157	-4.233	-5.579	-4.714	-1.222	-1.352	-5.141	-3.51	-3.428	0.252	-2.478	-2.797	-4.079	-4.409	-3.149	-0.96	0.155	-2.319	-2.439	-4.372	-2.731	-2.682	-2.061	-3.046	-3.229	-3.118	-0.008	-0.34	-1.95	-2.2935	0.327	-2.692	-2.356	-0.419	-5.426	-2.27	-1.035	-2.624	-3.816	-2.839	-1.053
"YNL182C"	-6.33	-2.807	-4.805	-3.807	-0.807	-1.143	-4.184	-3.243	-3.17	-2.812	-2.323	-3.421	-5.862	-2.532	-2.39	-1.04	-0.279	-2.667	-2.624	-3.931	-2.613	-2.5	-2.685	-3.434	-3.351	-2.827	-0.096	0.402	-1.004	-2.3525	0.049	-2.823	-2.261	-0.716	-4.61	-2.5895	-2.481	-2.614	-3.607	-2.547	-2.018
"YNL227C"	-1.71	-1.193	-0.471	-1.355	-0.033	-0.349	-2.564	-1.37	-0.465	-0.54	-0.589	-0.301	-1.51	-3.134	-1.378	0.005	0.149	-1.802	-1.398	-2.221	-0.906	-0.898	-0.729	-1.403	-2.085	-1.89	-0.135	0.245	-0.689	-0.4115	0.603	-0.424	-0.303	0.706	-1.165	0.074	-2.353	-2.229	-3.556	-1.838	-1.1
"YNL228W"	-2.356	-1.536	-1.385	-0.9	0.181	-0.227	-2.997	-1.801	-0.924	-1.612	-0.644	-0.884	-1.08	-3.325	-1.328	-0.34	-0.227	-1.224	-1.229	-2.291	-1.02	-0.962	-0.886	-1.52	-1.555	-1.857	-0.307	0.04	-0.75	-0.603	0.683	-0.605	-0.178	0.493	-1.161	-0.5015	-2.091	-1.951	-3.72	-1.224	-1.242
"YNL248C"	-4.791	-3.398	-4.455	-4.373	-1.052	-1.572	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-4.575	-5.215	-3.618	-0.381	-0.741	-3.866	-3.014	-5.072	-2.419	-2.444	-2.924	-2.98	-3.902	-3.609	-0.211	0.112	-1.15	-2.53	0.146	-3.695	-2.517	-0.668	-4.868	-1.05	-4.652	-4.217	-6.193	-3.878	-3.385
"YNL302C"	0.1395	-0.916	-1.268	-1.2955	-0.4625	-0.5995	-2.266	-2.265	-1.899	-2.1795	-1.762	-1.752	-2.1925	-4.746	-1.068	-0.757	-0.1265	-2.3395	-2.4085	-2.3425	-1.4435	-1.1785	-1.181	-1.1605	-1.0695	-1.549	-0.2995	-0.0545	-0.876	-2.291	0.2805	-0.744	-0.8	-0.4225	-1.727	NaN	-4.107	-3.25	-3.631	-3.426	-2.699
