	"50.Elutriation2:Sample2:Time0.5hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"815.1M sorbitol - 15 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"978.wt_plus_gamma_20_min"	"979.wt_plus_gamma_30_min"	"980.wt_plus_gamma_45_min"	"1173.PHO4c vs. wild type"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"	"4048.0.8M NaCl +FK506 - 30 min"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"5243.DES459 (mec1) - mock irradiation - 5 min"	"6676.wt - 0.3 mM H2O2 - 30 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"15728.Lycoming College - peroxide vs. control"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"42225.U2 Comp 09 hr 12 min Uracil Batch vs Chemostat Comparison"
"YGL099W"	0.06	-1.448	-2.253	-2.456	-1.246	-2.097	-3.122	-3.311	-1.231	-1.773	-1.788	-1.314	-3.43	-5.764	-2.454	-0.588	-0.217	0.063	0.227	-0.221	-1.275	-0.052	0.157	0.077	0.313	-0.772	-1.31	-0.941	-0.748	-1.384	-1.23	-3.381	-0.826	-2.306	-1.974	-1.593	-0.645	-1.714	-0.648	-3.506	-0.502
"YGL111W"	-0.413	-1.886	-2.705	-2.506	-1.203	-2.165	-2.854	-2.867	-1.445	-1.882	-1.684	-1.26	-3.668	-2.826	-2.085	-0.621	-0.215	0.058	-0.085	0.188	-1.234	-0.788	0.038	-0.7	0.493	-1.235	-1.614	-1.309	-0.941	-1.429	-1.56	-2.724	-0.927	-2.854	-3.188	-2.001	-1.053	-2.456	-0.795	-3.063	-0.29
"YGR200C"	-0.372	-1.8465	-2.517	-2.347	-1.6375	-2.0035	-2.659	-2.1245	-0.805	-2.119	-2.036	-1.415	-3.964	-3.668	-2.565	-0.668	-0.45	-0.61	0.387	-0.008	-1.187	-0.395	-0.037	-0.424	-0.736	-1.195	-1.637	-1.483	-1.111	-1.335	-1.292	-2.24	-0.129	-2.369	-3.333	-2.107	-1.119	-2.377	-0.525	-2.289	0.525
"YHR104W"	0.211	4.5615	4.906	4.6215	3.2725	4.247	4.658	4.7775	3.154	2.864	2.908	3.044	3.691	-2.834	1.606	0.549	0.225	-0.199	1.24	1.682	3.233	1.952	-0.098	0.945	0.291	2.72	3.95	4.176	2.268	3.382	3.895	5.319	-1.067	4.201	5.002	2.775	1.678	3.432	2.93	3.963	-1.876
"YHR148W"	0.033	-1.6105	-3.0225	-2.0375	-1.2945	-2.8705	-3.2345	-2.692	-1.175	-1.681	-1.443	-1.099	-3.086	-3.377	-1.557	-0.436	-0.06	0.178	-0.12	0.177	-2.068	-0.264	-0.024	-1.298	0.329	-2.063	-2.43	-1.54	-1.509	-2.013	-1.969	-3.95	0.937	-1.484	-2.565	-2.119	-1.032	-2.035	-1.764	-2.893	1.336
"YHR170W"	-0.134	-3.765	-5.3995	-4.622	-2.085	-4.14	-4.723	-3.947	-1.418	-2.518	-2.551	-1.78	-4.51	-4.858	-2.759	-0.497	-0.558	-0.217	-0.089	0.299	-1.659	-0.812	0.037	-1.368	0.503	-1.725	-2.244	-2.093	-0.835	-1.733	-1.888	-5.252	1.141	-2.606	-3.576	-2.405	-1.181	-2.772	-2.333	-3.601	0.31
"YIL127C"	0.076	-1.5585	-2.724	-3.181	-1.271	-1.7815	-2.8895	-2.6295	-1.82	-2.219	-2.121	-1.43	-3.825	-4.521	-3.072	-0.685	-0.199	-0.008	-0.496	-0.163	-1.18	-0.954	0.202	-1.823	0.299	-1.33	-1.876	-1.539	-0.89	-2.052	-2.118	-2.6085	-0.435	-3.424	-2.784	-1.905	-1.009	-1.765	-1.048	-3.693	0.497
"YJL057C"	-0.269	2.413	2.575	2.159	1.0315	1.742	2.351	2.617	1.801	1.37	1.642	1.514	3.25	1.166	2.494	0.731	0.501	0.073	-0.006	0.478	1.886	0.821	-0.076	0.601	-0.161	0.897	1.385	0.253	1.197	1.188	0.828	3.139	-0.11	1.839	2.885	1.825	1.096	2.188	1.554	4.046	0.702
"YJL122W"	-0.743	-2.271	-3.1605	-2.6115	-1.086	-2.3555	-3.015	-2.6085	-1.78	-2.04	-2.031	-1.395	-4.13	NaN	-2.718	-0.676	-0.479	-0.085	-0.192	0.055	-1.669	-1.318	0.194	-1.354	-0.178	-1.63	-2.152	-1.354	-1.899	-2.238	-2.159	-2.9625	-0.666	-2.578	-3.081	-2.605	-1.588	-2.196	-1.794	-3.406	1.034
"YJR002W"	-0.255	-3.138	-3.52066666666667	-2.819	-1.408	-2.21066666666667	-2.34	-3.20666666666667	-1.306	-1.834	-1.98	-1.6755	-2.9885	-4.416	-2.066	-0.4775	-0.0705	0.052	0.179	0.181	-1.4075	-0.771	-0.0345	-1.0085	-0.3665	-1.3115	-2.0865	-1.753	-0.9595	-1.7065	-1.7065	-3.31866666666667	-0.211	-2.667	-3.252	-2.36	-1.269	-2.97	-1.457	-2.426	0.437
"YJR063W"	0.027	-2.0025	-2.675	-2.1255	-0.9985	-2.576	-2.555	-2.2705	-1.144	-1.453	-1.153	-0.993	-3.233	-3.68	-1.586	-0.831	-0.375	-0.281	0.0	0.394	-1.662	-0.132	0.019	-0.951	0.016	-2.045	-1.804	-1.2	-1.258	-1.476	-1.422	-3.415	-0.353	-1.046	-1.276	-1.173	-0.947	-2.068	-0.94	-2.958	-0.193
"YLR197W"	-0.879	-3.755	-4.98	-4.044	-1.636	-3.638	-4.76	-5.179	-1.615	-2.263	-2.63	-1.881	-5.817	-5.242	-3.899	-0.962	-0.514	-0.037	-0.121	0.484	-0.987	-1.965	0.131	-1.407	0.035	-0.92	-2.28	-1.776	-0.4	-1.768	-2.254	-5.072	-0.111	-2.322	-4.496	-2.603	-0.567	-4.151	-1.612	-4.545	-1.025
"YLR449W"	0.143	-1.748	-3.266	-2.903	-1.394	-3.009	-3.738	-3.97	-0.306	-2.105	-2.712	-2.02	-6.206	NaN	-2.597	-0.58	-0.096	-0.009	-0.161	-0.016	-0.936	-1.185	0.26	-0.403	-0.214	-1.213	-2.384	-2.197	-0.97	-2.329	-2.619	-4.241	-0.784	-3.053	-5.408	-2.249	-1.224	-2.699	-1.152	-4.694	-0.156
"YML043C"	-0.803	-3.314	-3.507	-2.689	-0.955	-1.807	-2.273	-1.861	-1.589	-1.508	-1.318	-0.944	-3.139	-2.655	-1.654	0.186	-0.025	0.129	-0.474	-0.396	-2.649	0.184	-0.328	-2.149	-0.224	-2.793	-2.962	-2.251	-1.942	-2.057	-2.203	-2.98	-2.165	-5.46	-3.791	-2.636	-1.532	-2.401	-2.28	-3.471	-1.742
"YML060W"	-0.174	-0.796	-1.4	-2.823	-0.753	-1.322	-1.662	-1.678	-0.588	-1.427	-1.202	-0.779	-4.954	NaN	-2.14	-0.031	0.197	0.414	0.02	-0.251	-1.436	-0.079	0.042	-0.472	-1.183	-1.706	-1.949	-1.767	-1.385	-1.453	-1.541	-1.262	-0.337	-2.364	-5.598	-1.704	-1.089	-2.284	-1.387	-3.496	-0.188
"YMR131C"	0.122	-3.068	-4.819	-4.183	-1.969	-3.849	-4.525	-4.347	-1.57	-2.255	-2.188	-1.713	-5.631	-6.665	-3.547	-0.763	-0.543	-0.184	0.002	0.16	-2.232	-0.994	-0.015	-1.222	-0.099	-2.0	-3.012	-2.205	-1.855	-2.522	-2.8	-4.674	-0.286	-2.123	-3.866	-3.136	-1.519	-3.736	-2.16	-4.181	-0.17
"YMR239C"	-0.35	-2.12	-3.656	-2.175	-1.255	-2.426	-2.921	-2.351	-1.659	-2.534	-2.067	-1.873	-4.414	-3.323	-2.372	-0.312	-0.137	0.229	-0.204	-0.315	-1.454	-1.04	-0.205	-1.449	0.307	-1.474	-1.82	-1.728	-0.935	-1.384	-1.706	-3.237	-0.385	-4.33	-1.962	-2.998	-1.923	-3.188	-1.387	-4.048	0.413
"YNL002C"	-0.328	-3.547	-4.666	-4.07	-2.094	-3.305	-4.559	-4.222	-2.816	-2.627	-2.564	-1.766	-5.196	-3.468	-3.072	-0.386	-0.277	0.19	-0.668	-0.042	-1.603	-1.265	-0.059	-1.919	0.406	-1.398	-2.774	-1.803	-1.355	-2.843	-2.776	-4.603	-0.963	-3.249	-3.481	-2.594	-1.228	-3.245	-1.514	-4.466	-0.073
"YNL061W"	0.085	-3.447	-4.928	-3.927	-1.752	-4.143	-4.404	-3.948	-1.527	-2.673	-2.373	-1.799	-4.329	-4.27	-2.519	-0.215	0.141	0.204	-0.192	0.32	-2.327	-0.93	-0.042	-0.463	-0.049	-1.7	-2.599	-1.44	-1.586	-2.111	-2.07	-5.38	0.126	-3.059	-3.925	-2.946	-1.676	-2.461	-0.996	-2.571	-0.685
"YNL062C"	-0.244	-2.043	-3.459	-2.934	-0.927	-2.143	-3.093	-2.844	-1.343	-1.917	-1.508	-0.829	-4.157	-6.263	-2.304	-0.588	-0.474	-0.19	0.012	0.161	-1.123	-0.254	-0.003	-0.46	0.11	-0.856	-1.772	-1.297	-0.904	-1.751	-1.657	-2.71	0.0335	-3.32	-4.112	-2.584	-1.365	-2.778	-1.922	-2.838	-0.906
"YNL075W"	-0.518	-2.664	-3.86	-3.164	-1.324	-2.558	-3.304	-2.768	-1.62	-2.078	-1.5	-1.319	-4.782	-3.339	-3.095	-0.385	-0.465	-0.092	0.233	-0.193	-1.057	-0.41	-0.203	-1.222	0.047	-1.037	-1.85	-1.445	-0.405	-1.521	-1.884	-3.301	-0.4175	-3.326	-2.935	-2.361	-1.615	-2.748	-1.298	-3.779	0.801
"YNL248C"	-0.183	-4.024	-4.791	-4.315	-2.601	-3.398	-4.455	-4.373	-2.419	-2.425	-2.173	-1.533	-5.716	-5.215	-3.866	-0.977	-0.854	-0.565	-0.358	-0.088	-2.721	-0.904	0.124	-1.398	-0.5	-2.371	-2.958	-1.972	-1.687	-2.005	-1.857	-4.868	0.492	-3.442	NaN	-2.886	-1.415	-5.118	-2.214	-6.193	0.552
"YOR145C"	0.094	-3.045	-3.98	-3.795	-1.583	-2.871	-3.492	-3.402	-1.416	-2.441	-1.805	-1.614	-4.1305	-3.4715	-2.7235	-0.566	-0.286	-0.21	-0.262	-0.18	-2.247	-0.966	-0.001	-0.833	-0.202	-2.0	-2.938	-1.588	-2.187	-3.287	-2.536	-3.948	0.579	-3.355	-3.644	-2.806	-1.565	-3.265	-1.728	-4.493	-1.221
"YOR206W"	-0.138	-3.294	-5.087	-3.702	-1.66	-3.585	-5.083	-4.513	-2.932	-2.894	-2.77	-1.859	-5.827	-6.4785	-3.1625	-0.538	-0.431	-0.192	-0.145	0.161	-2.465	-1.25	-0.2	-1.859	0.197	-2.438	-3.65	-2.191	-1.944	-2.398	-2.168	-5.066	-0.435	-3.782	-3.839	-2.816	-1.474	-4.003	-1.781	-4.817	2.238
"YOR287C"	-0.719	-1.639	-3.97	-2.174	-0.891	-2.322	-3.247	-2.585	-1.188	-2.167	-2.019	-1.664	-3.973	-2.752	-2.833	-0.59	-0.292	0.328	-0.535	-0.629	-0.69	-0.885	-0.023	-2.042	0.361	-0.942	-1.823	-1.581	-0.557	-1.374	-1.938	-2.646	0.798	-3.301	-3.942	-2.391	-1.174	-2.109	-1.555	-3.411	-0.493
"YOR294W"	0.098	-3.856	-4.574	-3.828	-1.804	-3.73	-4.407	-3.632	-0.931	-2.434	-2.234	-1.598	-5.6475	-5.2465	-3.318	-0.398	-0.204	0.072	-0.649	-0.021	-3.115	-1.288	-0.128	-0.608	0.086	-3.09	-3.461	-1.971	-2.747	-3.216	-3.031	-4.852	0.321	-3.894	-4.841	-3.679	-1.729	-3.042	-2.462	-5.145	0.002
"YOR310C"	-0.773	-4.866	-5.053	-4.365	-2.299	-3.309	-4.639	-3.004	-1.983	-2.348	-2.686	-1.831	-6.006	-7.1385	-3.766	-0.621	-0.029	-0.108	0.203	0.502	-0.931	-1.796	0.202	-1.847	-0.034	-0.581	-2.449	-1.598	-0.694	-2.08	-2.17	-4.948	0.144	-3.619	-4.326	-3.006	-1.468	-4.099	-2.39	-5.14	0.142
"YPL043W"	-0.459	-2.829	-4.246	-4.0	-2.102	-3.773	-4.198	-4.087	-1.636	-2.529	-2.671	-2.001	-4.668	-3.79	-3.157	-0.36	0.206	0.158	0.214	0.053	-2.31	-0.18	-0.112	-0.617	-0.678	-2.339	-2.772	-2.128	-1.506	-2.207	-2.26	-4.555	0.237	-4.18	-3.988	-2.531	-1.874	-2.639	-1.991	-4.308	-1.139
"YPL183C"	0.805	-2.853	-2.58	-2.124	-0.792	-2.298	-1.925	-2.585	-1.628	-1.6975	-1.676	-1.325	-3.014	-3.957	-2.1075	-0.794	-0.441	-0.484	0.408	-0.205	-2.08	-0.123	-0.103	-0.8	-0.202	-1.865	-2.373	-1.906	-1.087	-1.231	-1.307	NaN	-0.009	-2.3645	-2.4425	-2.179	-1.072	-2.519	-1.6505	-2.8755	-0.2615
"YPL212C"	-0.258	-2.2725	-2.8775	-2.504	-1.361	-2.069	-3.0655	-2.0715	-1.127	-1.24433333333333	-1.38833333333333	-0.963333333333333	-3.33233333333333	-2.626	-1.874	-0.135	-0.116	0.0595	0.428	0.115	-0.876	-0.3365	-0.0425	0.2755	-0.6345	-0.4525	-0.947	-0.471	-0.185	-0.49	-0.664	-2.912	0.0825	-2.2795	-2.6875	-1.5995	-1.0725	-1.685	-0.944	-3.1355	-0.041
"YPL266W"	-0.579	-2.487	-3.981	-3.222	-1.233	-2.968	-3.585	-3.063	-0.86	-1.9705	-1.846	-1.773	-4.1135	-3.1595	-3.267	-0.694	-0.315	-0.122	0.314	0.379	-1.362	-1.232	0.11	-1.215	-0.086	-1.376	-2.134	-2.032	-1.074	-2.001	-2.596	-3.636	-0.412	-3.195	-4.813	-2.51	-0.711	-2.945	-1.846	-4.271	0.28
"YPR010C"	-0.301	-2.2405	-3.225	-2.887	-2.017	-3.0415	-3.3095	-3.049	-1.3005	-1.94733333333333	-2.196	-1.75433333333333	-2.19933333333333	-3.425	-1.99066666666667	-0.2345	-0.216	-0.194	0.406	-0.023	-1.604	-0.0165	-0.0985	-0.7635	-0.3805	-1.0915	-1.1495	-1.4615	-0.821	-1.103	-1.1515	-3.0355	-1.219	-2.39	-3.6845	-2.23	-1.6575	-3.8585	-2.014	-3.761	0.057
"YPR110C"	-0.111	-1.58	-3.178	-3.084	-1.163	-2.507	-3.52	-3.728	-1.914	-1.572	-2.073	-1.383	-5.7185	-6.318	-3.01	-0.936	-0.622	-0.664	0.131	-0.126	-1.308	-0.678	-0.091	-1.672	-0.895	-1.719	-2.308	-1.703	-1.435	-2.158	-2.174	-3.168	1.05	-2.665	-3.436	-2.354	-1.182	-3.503	-1.15	-3.882	0.09
"YPR144C"	-0.275	-1.792	-4.441	-4.211	-3.145	-2.783	-3.783	-3.366	-1.21	-2.554	-1.9485	-1.342	-3.855	-4.2065	-2.0425	-0.579	-0.381	-0.244	-0.001	-0.08	-1.173	-0.306	0.207	-0.138	-0.148	-0.532	-1.376	-0.956	-0.697	-1.438	-1.474	-4.107	-1.024	-3.581	-3.213	-2.381	-1.442	-2.677	-1.688	-3.937	-0.106
