	"406.heat shock 37 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"8193.steady state 15 dec C"	"8235.dtt 480 min"	"12744.heat shock 17 to 37, 20 minutes"	"15727.Lycoming College - X-ray exposure vs. control"	"33417.delKIN82_heat shock _60min_repeat"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"40949.H2O2_II_35_min"
"YDR465C"	-0.67	-3.765	-3.563	-4.438	-3.006	-2.225	-1.892	-2.557	-3.43	-0.045	-1.835	-1.809	-1.561	-1.19	-1.551	-1.209	-0.18	0.074	-3.782	-0.352	-0.711	0.338	-0.087	-2.313	-2.306	-3.552	-2.632	-2.054	-1.059
"YDR500C"	0.856	-2.205	-2.773	-2.796	-2.33	-2.289	-1.732	-2.649	-2.017	0.47	-2.364	-3.376	-1.917	-1.925	-1.831	-1.146	0.131	0.3	-2.258	0.048	0.262	0.443	-0.141	-2.971	-2.436	-3.3	-2.439	-1.588	0.4515
"YER118C"	-0.475	-1.314	-1.494	-2.119	-1.275	-0.813	-0.898	-3.457	-1.139	0.041	-1.55	-1.7	-0.974	-1.116	-1.35	-0.764	-0.142	0.178	-1.637	0.3625	0.415	-0.363	-0.866	-2.813	-1.824	-2.915	-2.193	-0.994	-0.7915
"YGL076C"	0.541	-2.744	-3.119	-3.969	-3.136	-2.73	-2.564	-5.667	-2.396	0.541	-3.32	-4.142	-2.037	-2.568	-2.648	-1.65	-0.145	0.275	-2.656	-0.379	-0.021	0.344	-0.395	-4.003	-3.509	-3.347	-3.315	-1.82	-0.501
"YGL099W"	-0.473	-3.122	-3.311	-3.43	-2.011	-2.123	-1.774	-5.764	-2.268	0.245	-2.454	-2.755	-1.738	-1.805	-1.984	-0.09	-0.089	-0.048	-3.381	1.895	-0.355	-0.688	-1.673	-2.608	-2.453	-3.506	-2.525	-1.151	-1.502
"YGL111W"	-0.493	-2.854	-2.867	-3.668	-1.845	-1.719	-1.627	-2.826	-1.167	0.068	-2.085	-2.617	-1.672	-1.665	-1.401	-0.559	-0.422	-0.101	-2.724	2.238	0.419	-0.409	-1.2	-2.663	-2.385	-3.063	-1.924	-0.28	-1.245
"YGR085C"	0.786	-2.966	-3.664	-3.713	-3.301	-2.511	-2.202	-6.059	-2.19	0.421	-3.071	-4.359	-2.106	-2.625	-2.77	-0.876	-0.493	0.048	-2.908	0.191	0.3	0.265	0.171	-4.004	-2.792	-3.45	-3.003	-1.674	-0.197
"YGR103W"	0.28	-5.118	-3.624	-4.825	-3.051	-3.013	-2.66	-5.518	-2.869	-0.045	-2.251	-4.861	-2.978	-2.918	-2.95	-1.669	0.042	0.06	-5.075	0.628	-0.621	-0.212	-0.638	-3.1195	-2.6665	-4.287	-2.4	-2.0215	-1.141
"YGR148C"	-0.094	-2.942	-3.2425	-3.45	-3.596	-3.464	-3.033	-5.757	-2.075	0.237	-3.141	-5.063	-2.455	-2.508	-2.896	-1.75	-0.658	-0.332	-2.591	-0.8675	0.136	0.787	0.269	-3.53	-2.779	-3.103	-2.693	-1.437	-0.9465
"YHR138C"	0.2205	3.239	3.2655	1.82	1.858	2.84	2.388	2.855	1.71	-0.046	2.4	2.435	2.254	2.655	3.218	1.329	0.527	0.02	3.7435	-0.112	1.164	0.745	0.93	3.498	3.114	2.652	2.302	1.962	0.431
"YHR170W"	0.0985	-4.723	-3.947	-4.51	-1.901	-2.071	-1.573	-4.858	-2.326	0.178	-2.759	-2.314	-1.433	-2.149	-1.819	-0.5	0.242	0.065	-5.252	-1.503	-0.609	-0.4	-1.441	-3.186	-2.544	-3.601	-2.58	-1.808	-1.535
"YJL177W"	0.3615	-3.2765	-3.7865	-4.132	-3.846	-3.2	-2.981	-5.49	-2.648	0.255	-3.409	-5.074	-2.17	-2.525	-2.421	-1.858	-0.517	0.135	-3.293	-0.322	-0.615	0.034	-0.412	-4.72	-4.004	-4.54	-4.115	-3.163	-0.76
"YKR081C"	-0.174	-3.81	-3.431	-4.081	-2.662	-2.469	-1.772	-4.632	-2.467	0.471	-3.278	-3.734	-2.064	-2.119	-2.118	-0.599	0.129	-0.208	-3.505	-0.643	-0.362	0.067	-0.856	-3.386	-2.103	-3.261	-2.433	-2.014	-1.385
"YKR094C"	-0.217	-2.994	-3.29	-3.138	-2.914	-2.619	-2.274	-4.383	-2.065	0.245	-2.102	-2.785	-1.579	-1.746	-1.839	-1.496	-0.192	0.128	-2.821	0.695	-0.56	0.693	0.349	-3.423	-2.549	-3.694	-3.422	-2.087	-0.095
"YLL035W"	0.155	-1.515	-1.449	-3.565	-2.294	-1.677	-1.497	-3.138	-1.167	0.1	-1.926	-2.024	-1.466	-1.355	-1.239	-0.394	-0.045	0.063	-1.751	-0.226	-0.403	-0.213	-0.539	-2.055	-1.439	-3.158	-1.751	-0.468	0.188
"YLL045C"	0.036	-3.116	-3.722	-3.851	-3.176	-2.506	-2.189	-6.618	-2.711	0.755	-3.169	-3.66	-2.096	-2.604	-2.495	-1.89	0.038	0.092	-3.545	0.92	-0.123	0.3	-0.323	-3.449	-2.833	-3.788	-3.87	-2.324	-1.017
"YLR003C"	-0.573	-3.201	-3.212	-3.378	-2.664	-2.083	-1.89	-3.267	-1.976	0.205	-2.206	-3.393	-1.951	-1.333	-1.316	-0.4	0.081	-0.099	-3.305	0.423	-0.654	-0.548	-0.708	-2.516	-1.754	-3.839	-2.794	-1.038	-1.274
"YML026C"	-0.127	-3.139	-3.539	-3.811	-3.779	-3.236	-2.913	-5.271	-2.504	0.491	-3.779	-3.572	-2.525	-2.873	-2.821	NaN	-0.21	-0.126	-3.032	0.095	-0.365	0.017	-0.132	-4.522	-3.396	-4.595	-3.765	-1.892	-1.087
"YML043C"	0.111	-2.273	-1.861	-3.139	-2.736	-2.012	-2.301	-2.655	-1.233	0.064	-1.654	-1.139	-1.0	-1.516	-1.724	0.114	0.15	-0.181	-2.98	0.191	-0.322	-0.249	-0.786	-1.968	-1.666	-3.471	-1.673	-1.276	NaN
"YML060W"	0.023	-1.662	-1.678	-4.954	-1.41	-1.29	-2.115	NaN	-2.591	0.018	-2.14	-1.611	-1.492	-1.266	-1.684	0.291	-0.18	0.011	-1.262	-0.225	-0.126	-0.033	-0.212	-1.79	-1.469	-3.496	-1.882	-0.767	-0.033
"YMR142C"	0.119	-3.395	-3.688	-3.579	-3.719	-3.19	-2.326	-6.693	-2.458	0.568	-3.048	-4.4	-2.393	-2.974	-2.468	NaN	-0.053	-0.098	-3.22	-0.387	-0.231	-0.265	-0.582	-4.355	-3.347	-4.039	-3.538	-2.219	0.396
"YMR143W"	-0.421	-3.145	-3.327	-3.748	-3.175	-3.477	-3.087	-4.466	-2.848	0.311	-3.563	-4.401	-2.562	-2.703	-2.873	NaN	-0.178	0.238	-2.631	-0.407	-0.375	-0.699	-0.525	-4.133	-3.647	-4.75	-3.456	-2.492	-0.739
"YNL301C"	0.73	-2.335	-3.036	-2.992	-2.551	-2.514	-2.036	-6.272	-2.514	0.142	-2.943	-3.466	-1.992	-2.799	-2.781	-1.872	0.068	0.523	-2.136	-0.304	-0.333	-0.356	-0.593	-4.167	-3.163	-4.02	-3.032	-2.651	-0.847
"YOR294W"	0.234	-4.407	-3.632	-5.6475	-2.427	-1.914	-1.2675	-5.2465	-2.791	-0.283	-3.318	-1.284	-1.517	-1.08	-0.98	-0.916	-0.1025	-0.029	-4.852	0.138	-0.599	-0.539	-1.389	-2.722	-2.74	-5.145	-2.254	-1.992	-1.455
"YOR312C"	0.531	-2.723	-3.7	-3.8645	-3.381	-2.919	-2.263	-4.8175	-2.4995	0.462	-2.99	-4.638	-2.15	-2.511	-2.402	-1.537	-0.266	0.188	-2.873	0.039	-0.54	0.2	-0.307	-4.379	-3.433	-4.531	-3.454	-2.438	-0.793
"YPL043W"	-1.1	-4.198	-4.087	-4.668	-2.8315	-2.8295	-2.0985	-3.79	-3.242	0.126	-3.157	-3.89	-2.277	-2.069	-2.134	-1.274	0.2225	-0.2315	-4.555	3.564	-0.618	-1.06	-1.331	-3.093	-2.958	-4.308	-2.784	-1.28	-1.178
"YPL198W"	0.332	-3.084	-3.342	-4.269	-3.194	-2.836	-2.46	-6.879	-2.7345	0.3955	-3.4825	-3.875	-2.024	-2.227	-2.449	-1.761	0.0955	0.367	-2.581	-0.257	-0.396	-0.549	-0.654	-4.2325	-3.528	-3.4955	-4.5575	-2.1	-1.029
"YPL212C"	-0.152	-3.0655	-2.0715	-3.33233333333333	-2.51233333333333	-2.52533333333333	-1.83233333333333	-2.626	-1.57066666666667	0.096	-1.874	-2.621	-2.0305	-2.322	-2.2515	-0.75	-0.0243333333333333	0.0933333333333333	-2.912	0.13	-0.285	-0.5965	-0.9285	-2.339	-2.278	-3.1355	-2.7785	-0.038	-0.163
"YPL266W"	0.131	-3.585	-3.063	-4.1135	-2.3835	-2.305	-2.135	-3.1595	-2.162	0.3935	-3.267	-2.099	-1.926	-2.07	-1.477	-1.322	-0.418	-0.076	-3.636	-0.97	-0.756	-0.458	-0.835	-3.274	-2.154	-4.271	-2.451	-1.357	-1.917
"YPR010C"	0.317	-3.3095	-3.049	-2.19933333333333	-1.686	-2.02033333333333	-1.675	-3.425	-1.76166666666667	0.568333333333333	-1.99066666666667	-1.991	-1.6105	-1.8945	-1.5645	-0.301	-0.291666666666667	0.342666666666667	-3.0355	0.125	-0.932	-0.07	0.1315	-2.412	-2.1855	-3.761	-2.866	-2.88	-1.914
"YPR102C"	0.381	-3.37	-4.232	-3.521	-3.2315	-3.2945	-3.3515	-6.451	-1.9585	0.0895	-3.5055	-4.644	-2.495	-2.723	-3.232	-1.231	-0.448	0.0725	-3.007	-0.976	-0.437	0.076	0.068	-3.927	-2.614	-4.015	-3.517	-2.418	-0.361
"YPR137W"	-0.844	-2.094	-2.127	-3.344	-2.178	-1.5515	-1.4385	-3.783	-1.6655	0.461	-2.4325	-1.479	-1.128	-1.007	-0.887	-1.733	0.228	-0.1975	-2.92	0.179	-0.751	-1.237	-1.249	-3.399	-3.112	-3.954	-3.383	-2.08	-2.563
"YPR144C"	-0.667	-3.783	-3.366	-3.855	-1.9705	-2.235	-1.9295	-4.2065	-2.4285	0.0855	-2.0425	-2.256	-1.327	-1.4	-1.22	-1.827	0.2855	0.524	-4.107	3.715	-0.71	-1.145	-1.631	-2.991	-2.5	-3.937	-2.277	-0.806	-1.761
"YPR163C"	0.232	-3.276	-3.939	-3.6815	-2.265	-2.266	-1.717	-5.4905	-2.1035	-0.298	-2.5635	-3.136	-2.003	-2.05	-2.325	-0.74	-0.7315	-0.317	-3.572	-0.681	-0.664	-0.433	-0.639	-3.506	-3.14	-3.575	-2.873	-1.761	-1.097
