	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"634.Elutriation2:Sample2:Time6.5hrs"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"977.wt_plus_gamma_10_min"	"1009.YPD 2 h (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1257.mec1_plus_gamma_120_min"	"1302.diauxic shift timecourse: 15.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"12744.heat shock 17 to 37, 20 minutes"	"13096.Missouri Western State College 10 uM DAPI Cy5 4 hrs (exp 2)"	"15727.Lycoming College - X-ray exposure vs. control"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YDR165W"	-2.444	-3.154	-3.024	-2.85	-1.053	-2.419	-2.874	-2.762	0.933	-0.153	1.095	0.852	-1.089	-2.006	-4.096	-2.538	-2.69	-1.82	-3.015	-2.243	-1.215	0.127	-0.459	0.005	-0.743	-0.511	0.252	0.004	-0.084	-0.097	-2.787	-0.527	0.972	-2.796	-3.068	-1.809	-0.149	-2.479	-2.722	-3.205	-2.632	-2.085	-2.255
"YDR324C"	-3.084	-3.512	-3.118	-2.824	-0.761	-2.336	-3.184	-3.012	1.059	-0.179	1.134	0.753	-1.77	-1.933	-3.361	-2.361	-2.225	-1.967	-2.212	-1.921	-1.137	-0.062	-0.467	-0.654	-0.769	-0.432	0.514	0.442	-0.123	-0.186	-3.609	-0.32	0.931	-0.844	-2.29	-1.944	-0.7965	-1.857	-2.128	-3.2975	-2.27	-0.931	-1.0265
"YDR358W"	2.138	2.604	2.781	2.612	1.186	1.99	2.447	2.394	-1.206	0.569	-1.202	-1.361	0.927	1.525	4.268	3.057	2.208	2.838	2.493	2.23	1.157	0.081	0.779	0.03	0.66	0.817	-0.496	-0.33	-0.183	-0.02	2.402	-0.095	-1.074	1.849	1.748	0.724	0.498	2.662	2.369	3.478	2.433	2.088	1.87
"YDR361C"	-2.014	-2.862	-3.79	-3.438	-1.896	-3.115	-3.356	-3.263	1.206	-0.295	1.136	1.083	-1.141	-2.149	-3.61	-2.016	-2.237	-1.254	-2.072	-1.799	-1.074	-0.081	-0.497	-0.064	-0.581	-0.274	0.24	0.018	-0.074	0.018	-3.92	-0.074	1.433	NaN	-2.614	-2.362	0.171	-2.708	-2.048	-3.998	-2.423	-1.849	-1.244
"YDR398W"	-4.395	-5.035	-4.725	-4.358	-1.272	-3.115	-4.082	-3.388	1.169	-0.008	1.167	1.048	-2.086	-2.576	-4.143	-2.42	-2.012	-2.064	-3.069	-2.517	-0.629	0.05	-0.908	-0.435	-0.999	-0.855	0.389	0.347	-0.229	0.321	-4.269	-0.329	-0.249	-3.627	-4.76	-2.67	0.201	-1.745	-2.397	-3.061	-1.999	-1.457	-0.955
"YEL060C"	2.738	3.374	3.406	3.278	2.045	2.649	2.808	2.721	-1.713	0.592	-1.936	-1.918	1.648	2.321	2.37	1.831	2.506	1.9	2.119	1.951	1.289	0.069	1.227	0.0	0.436	0.189	0.052	0.006	-0.014	0.075	2.462	-0.762	0.279	1.8995	2.143	1.8735	-0.221	1.547	1.394	1.95	1.135	1.3545	1.4905
"YER126C"	-2.129	-3.132	-5.661	-2.634	-1.83	-3.488	-4.626	-4.459	0.995	-0.119	1.185	0.966	-1.531	-2.571	-4.455	-2.713	-2.806	-1.149	-2.355	-2.036	-0.569	0.014	-0.679	-0.129	-0.476	-0.297	0.46	0.27	0.017	-0.147	-5.253	0.039	-0.542	-3.26	-5.806	-2.916	0.283	-2.489	-2.31	-3.761	-2.961	-2.173	-1.909
"YFL016C"	3.485	3.054	2.493	2.768	1.718	2.256	2.798	3.078	-1.734	0.459	-1.883	-2.046	1.805	2.16	1.102	0.974	0.54	2.438	1.438	2.159	0.0	-0.401	0.473	0.012	0.407	0.039	-0.089	0.074	0.275	0.183	1.916	0.1025	-0.799	2.651	3.337	2.413	0.151	1.847	1.196	1.733	2.15	1.05	2.016
"YFR014C"	1.968	2.121	2.143	2.214	1.221	1.666	2.23	1.756	-0.55	0.544	-1.003	-0.619	1.579	1.906	3.37	2.231	1.353	2.178	2.178	1.757	1.195	0.529	0.933	0.299	0.68	0.599	-0.51	-0.297	0.113	0.017	1.78	-0.274	-0.3475	2.743	2.353	2.497	0.547	2.37	2.128	3.16	1.658	1.65	1.73
"YFR015C"	3.415	4.215	3.626	3.32	1.44	2.259	2.826	2.931	-2.0	0.111	-2.992	-1.145	2.959	3.079	3.886	2.992	2.785	4.087	3.804	2.057	2.609	0.266	2.944	0.697	2.158	2.102	-0.56	-0.111	-0.137	0.408	3.341	-0.7115	0.184	4.532	3.272	1.637	1.002	3.685	2.791	5.6	4.23	3.221	3.465
"YGL078C"	-4.901	-4.33	-1.515	-3.709	-1.926	-3.238	-4.399	-3.428	1.47	-0.299	1.485	1.169	-1.98	-2.908	-4.866	-2.556	-2.562	-1.861	-2.914	-2.134	-1.079	0.148	-0.317	-0.224	-0.631	-0.632	0.551	0.37	-0.061	-0.21	-4.147	0.484	0.633	-3.453	-3.538	-2.819	0.169	-3.53	-2.245	-3.576	-1.995	-1.225	-0.948
"YGR123C"	-1.982	-3.5875	-2.638	-3.2965	-1.1295	-3.0495	-4.1895	-3.748	1.116	-0.024	0.996	0.986	-0.857	-1.835	-4.447	-2.7	-2.958	-1.859	-2.878	-2.97	-1.671	0.022	-0.649	-0.007	-0.494	-0.587	0.567	0.351	-0.2795	-0.129	-4.594	0.1515	0.358	-2.047	-2.795	-1.547	-0.361	-2.403	-3.664	-3.836	-3.389	-2.052	-2.048
"YGR173W"	-1.7015	-2.503	-1.765	-1.71	-0.7595	-1.958	-2.8095	-2.487	0.921	0.349	0.783	0.789	-0.513	-1.136	-3.271	-1.888	-1.899	-1.732	-2.709	-2.065	-0.369	0.151	-0.177	0.427	-0.282	0.19	0.307	0.22	-0.01	0.031	-2.734	-0.316	0.2395	-1.48	-1.911	-1.015	0.045	-2.164	-1.798	-2.139	-1.259	-0.642	-1.525
"YGR245C"	-2.6095	-5.097	-5.457	-5.1995	-2.66	-3.9345	-4.2355	-3.9115	1.232	-0.033	1.156	1.066	-1.933	-3.099	-4.207	-2.765	-3.177	-1.517	-3.273	-2.711	-1.387	-0.049	-0.743	-0.055	-1.064	-0.819	0.676	0.61	-0.3995	0.019	-4.6765	NaN	0.714	-2.295	-4.281	-2.645	-0.123	-2.292	-2.575	-3.415	-2.535	-1.342	-0.854
"YHR052W"	-3.848	-4.2445	-2.638	-3.5175	-1.499	-3.5215	-4.3935	-3.9395	0.714	-0.261	1.339	1.084	-1.274	-1.975	-4.199	-3.017	-2.516	-2.571	-2.565	-2.428	-0.902	-0.107	-0.511	0.059	-0.446	-0.675	0.679	0.549	-0.271	0.279	-4.9395	-0.275	0.294	-2.268	-2.827	-1.875	-0.693	-1.892	-3.411	-3.47	-2.114	-2.463	-1.582
"YHR170W"	-3.765	-5.3995	-6.3835	-4.622	-2.085	-4.14	-4.723	-3.947	1.401	-0.075	1.292	0.893	-1.62	-2.518	-4.51	-1.901	-2.326	-1.722	-2.759	-2.694	-0.994	0.213	-0.957	-0.148	-0.418	-0.07	0.622	0.454	-0.1305	0.245	-5.252	0.07	-1.503	-2.606	-3.576	-2.405	-0.4	-3.186	-2.544	-3.601	-2.58	-2.061	-1.01
"YHR196W"	-5.1465	-4.423	-3.2925	-3.5265	-1.368	-2.834	-3.894	-3.3595	1.131	0.027	1.299	1.007	-1.641	-2.143	-3.061	-2.692	-1.847	-2.626	-2.461	-2.348	-0.171	0.209	-0.842	0.016	-0.578	-0.38	0.376	0.304	0.0015	0.142	-3.967	0.064	NaN	-2.031	-2.272	-1.793	-0.284	-1.605	-2.037	-2.306	-2.006	-1.626	-1.717
"YHR197W"	-3.192	-3.7705	-3.293	-3.414	-1.0935	-2.9045	-3.415	-3.1475	1.102	-0.323	1.045	0.968	-2.259	-2.573	-2.813	-2.52	-2.03	-1.226	-2.457	-2.259	-0.924	0.149	-0.639	-0.246	-0.396	0.072	0.337	0.417	-0.255	0.285	-2.7335	-0.547	-0.52	-2.811	-2.933	-2.761	-0.127	-1.648	-2.215	-2.625	-2.002	-1.608	-1.138
"YIR039C"	2.385	3.633	3.4175	3.2675	1.686	2.848	3.293	3.373	-1.984	0.401	-2.366	-2.23	0.776	1.82	4.648	3.836	1.409	2.236	1.581	1.932	1.712	0.037	1.148	-0.071	1.162	1.33	-0.306	0.019	-0.04	0.777	3.736	-0.549	-0.832	1.152	2.835	2.607	-0.307	2.417	2.921	4.051	2.778	2.53	3.2
"YJR070C"	-3.0685	-4.6905	-4.6305	-4.824	-2.426	-3.895	-4.828	-4.332	1.246	-0.218	1.272	1.129	-1.091	-2.536	-5.317	-3.975	-3.689	-1.83	-3.471	-2.777	-1.615	0.391	-0.623	-0.663	0.174	-0.495	0.552	0.346	0.1045	-0.414	-4.7655	-0.961	-0.405	-2.778	-3.81	-2.429	0.165	-3.069	-2.355	-3.754	-3.104	-2.692	-3.23
"YKL151C"	3.971	4.653	4.894	4.533	2.748	3.849	4.45	4.63	-2.412	0.354	-1.624	-2.162	1.31	1.978	3.642	2.407	2.405	1.361	1.609	1.937	1.749	0.258	2.316	-0.16	0.975	0.832	-0.757	-0.657	0.096	0.019	4.996	0.274	-0.081	1.93	2.694	2.443	0.28	3.213	2.768	3.988	2.909	2.395	3.103
"YKR056W"	-3.646	-4.01	-3.863	-3.872	-1.497	-2.945	-3.217	-3.127	1.171	-0.532	1.262	0.804	-1.962	-2.718	-4.495	-2.575	-2.352	-2.076	-2.379	-1.808	-0.643	-0.137	-0.744	-0.254	-0.733	-0.817	0.373	0.176	-0.155	-0.334	-3.682	0.006	-0.281	-1.97	-2.586	-2.146	-0.656	-1.199	-1.647	-3.056	-2.089	-1.061	-1.306
"YKR081C"	-4.01	-4.459	-3.157	-3.308	-1.493	-1.58	-3.81	-3.431	1.33	0.111	1.422	0.912	-1.638	-2.342	-4.081	-2.662	-2.467	-2.99	-3.278	-2.505	-1.03	-0.003	-0.745	-0.039	-0.392	-0.404	0.27	0.273	-0.503	0.423	-3.505	-0.143	-0.643	-2.229	-2.666	-1.731	0.067	-3.386	-2.103	-3.261	-2.433	-1.814	-1.48
"YLR002C"	-4.018	-4.273	-2.83	-3.029	-1.145	-2.585	-3.425	-2.737	1.116	0.206	1.087	1.015	-1.771	-2.267	-3.541	-1.701	-1.928	-1.829	-2.611	-1.589	-0.616	0.03	-0.935	-0.183	-0.64	-0.548	0.38	0.224	-0.324	0.332	-4.018	-0.465	0.76	-1.465	-2.317	-2.108	-0.071	-1.828	-1.445	-2.422	-2.55	-1.453	-0.718
"YLR175W"	-4.217	-4.176	NaN	-3.679	-1.829	-3.07	-4.552	-4.902	1.215	-0.501	1.304	1.12	-1.304	-2.338	-5.607	-3.276	-3.43	-2.275	-3.996	-3.068	-0.723	0.04	-0.559	-0.182	-0.174	-0.12	0.28	0.135	-0.038	-0.029	-4.431	-0.246	-0.705	-3.342	-4.177	-1.884	-0.098	-3.995	-3.16	-4.338	-2.959	-2.455	-2.526
"YLR196W"	-4.71	-5.425	-5.709	-5.04	-2.108	-3.221	-4.896	-4.532	1.483	0.057	1.407	1.059	-1.792	-2.562	-5.083	-3.01	-2.118	-2.001	-2.858	-2.859	-0.682	0.195	-0.824	-0.225	-0.881	-0.699	0.583	0.373	-0.191	0.305	-5.097	0.256	-0.395	-2.941	-3.697	-2.702	-0.452	-2.901	-2.83	-3.658	-2.412	-1.969	-2.265
"YLR197W"	-3.755	-4.98	-4.31	-4.044	-1.636	-3.638	-4.76	-5.179	1.23	-0.476	1.252	1.224	-1.149	-2.263	-5.817	-3.612	-3.387	-1.811	-3.899	-3.238	-0.716	0.348	-0.517	-0.282	0.062	0.127	0.357	0.193	-0.125	-0.183	-5.072	0.085	-0.223	-2.322	-4.496	-2.603	-0.449	-4.983	-3.17	-4.545	-3.045	-2.593	-2.321
"YLR198C"	-2.631	-4.57	-4.094	-4.694	-1.876	-3.371	-4.643	-4.805	0.626	-0.409	0.538	0.338	-0.881	-1.942	-5.143	-2.989	-3.057	-1.956	-3.471	-3.106	-0.673	0.315	-0.483	0.126	0.044	0.057	0.522	0.447	0.009	0.089	-4.143	0.353	0.773	-2.376	-3.4	-2.256	-0.039	-2.271	-2.674	-3.761	-2.805	-1.946	-1.701
"YLR222C"	-4.592	-6.055	-4.536	-4.292	-2.32	-2.648	-4.709	-3.682	1.364	-0.232	1.336	1.054	-1.853	-2.269	-4.423	-1.933	-2.391	-1.818	-2.384	-2.21	-0.832	-0.013	-0.913	-0.22	-0.459	-0.235	0.55	0.423	-0.136	-0.086	-4.667	-0.509	0.251	-1.471	-1.806	-1.703	0.239	0.423	-1.501	-1.727	-1.391	-1.453	-0.719
"YMR104C"	1.396	NaN	2.616	2.84	1.324	2.447	3.029	2.83	-2.127	0.546	-1.715	-1.595	0.619	1.044	2.115	1.949	1.544	3.152	2.812	2.209	0.472	-0.544	1.433	-0.381	0.156	0.49	-0.518	-0.035	-0.207	0.301	3.469	-0.619	-0.316	2.139	1.671	1.796	0.589	3.252	2.597	2.466	2.639	1.78	2.086
"YMR131C"	-3.068	-4.819	-4.67	-4.183	-1.969	-3.849	-4.525	-4.347	1.141	-0.069	0.906	0.972	-1.061	-2.255	-5.631	-3.641	-3.153	-2.016	-3.547	-2.98	-0.959	-0.227	-0.573	-0.167	-0.604	-0.218	0.577	0.418	-0.17	-0.1	-4.674	0.396	0.84	-2.123	-3.866	-3.136	0.023	-1.412	-2.944	-4.181	-2.68	-1.908	-2.616
"YMR196W"	4.38	5.12	3.812	4.798	1.692	3.301	3.788	3.815	-1.874	0.916	-3.233	-0.751	1.771	3.011	2.691	1.583	2.736	1.631	1.677	1.866	1.578	-0.055	1.142	0.308	1.125	1.035	-0.317	-0.436	-0.287	0.205	4.01	-0.655	0.2735	1.894	3.052	2.023	0.057	1.788	1.316	2.937	1.77	1.189	1.57
"YMR305C"	-2.119	-2.952	-3.368	-3.681	-0.969	-2.537	-3.401	-3.573	1.061	-0.428	0.958	0.852	-0.253	-0.851	-3.802	-1.387	-2.558	-1.987	-2.097	-2.213	-0.805	0.364	-0.225	-0.007	0.241	0.011	0.375	0.126	0.136	-0.64	-3.114	-1.32	0.095	-1.973	-3.913	-2.078	0.58	-3.465	-1.982	-3.526	-2.134	-1.791	-3.103
"YNL002C"	-3.547	-4.666	-4.12	-4.07	-2.094	-3.305	-4.559	-4.222	1.243	-0.904	1.183	1.119	-1.685	-2.627	-5.196	-2.914	-2.839	-1.894	-3.072	-2.59	-1.037	0.092	-0.368	-0.099	-0.671	-0.989	0.492	0.3	-0.226	-0.257	-4.603	-0.3935	1.059	-3.249	-3.481	-2.594	-0.517	-2.92	-2.649	-4.466	-2.41	-2.181	-2.211
"YNL110C"	-3.468	-4.43	-5.407	-3.64	-1.669	-3.768	-4.56	-4.991	1.332	-0.776	1.1	1.189	-2.042	-2.66	-5.108	-3.05	-1.641	-1.55	-2.565	-1.986	-0.74	-0.249	-0.449	0.211	-0.709	-0.717	0.464	0.233	-0.203	0.182	-5.064	-0.0825	-0.085	-4.233	-4.907	-3.471	-0.012	-3.18	-2.579	-4.747	-2.546	-2.431	-1.608
"YNL182C"	-1.322	-6.33	-0.71	-4.05	-1.675	-2.807	-4.805	-3.807	1.266	-0.692	1.125	1.115	-2.13	-2.522	-4.184	-3.243	-2.39	-2.37	-2.667	-2.624	-0.865	0.08	-0.678	-0.518	-0.67	-0.876	0.463	0.265	-0.167	0.056	-4.61	-0.98	0.371	-3.599	-3.082	-2.517	-0.2	-2.481	-2.614	-3.607	-2.547	-2.018	-2.442
"YNL313C"	-3.06	-3.472	-3.287	-3.026	-1.175	-2.399	-2.935	-3.02	0.923	-0.38	0.673	0.694	-1.493	-2.31	-4.999	-2.695	-2.852	-2.432	-3.129	-2.948	-0.443	0.287	-0.855	-0.188	-0.992	-0.757	0.57	0.472	-0.1	0.138	-3.009	-0.66	0.658	-3.183	-2.824	-2.352	-0.553	-1.867	-1.835	-3.85	-2.129	-1.672	-1.421
"YOL047C"	3.22	4.05	3.675	3.43	1.397	1.272	3.245	2.503	-2.385	-0.247	-2.322	-1.2115	0.459	1.247	2.647	1.5345	1.919	1.4885	0.9465	0.7455	0.357	-0.259	0.247	-0.189	0.101	0.152	-0.792	-0.286	-0.1	-0.028	4.3	-0.28	0.582	1.261	2.083	1.281	-0.31	1.596	1.115	4.312	3.044	1.884	2.754
"YOL124C"	-3.477	-5.367	-3.025	-5.101	-1.608	-3.858	-4.247	-3.145	1.183	0.085	1.328	0.892	-1.748	-2.33	-1.6095	-1.266	-1.895	-2.876	-1.787	-0.9045	-0.914	-0.068	-0.85	-0.075	-0.909	-0.628	0.276	0.208	-0.487	0.266	-4.313	0.376	-0.48	-3.304	-3.978	-2.981	-0.822	-3.721	-2.651	-4.431	-2.893	-2.185	-2.647
"YOR004W"	-4.23	-4.757	-5.035	-3.548	-2.269	-2.903	-3.62	-3.212	1.45	0.01	1.465	1.253	-2.134	-2.836	-1.3775	-2.901	-2.765	-1.551	-0.599	-0.6875	-0.73	-0.092	-0.685	0.076	-0.502	-0.507	0.548	0.4	-0.468	-0.303	-3.591	-0.524	0.092	-2.63	-4.082	-3.247	-1.173	-2.596	-2.505	-4.043	-2.804	-1.818	-1.507
"YOR145C"	-3.045	-3.98	-3.649	-3.795	-1.583	-2.871	-3.492	-3.402	1.535	-0.212	1.303	1.288	-1.668	-2.441	-4.1305	-2.03	-1.3615	-2.307	-2.7235	-1.903	-0.577	0.079	-0.597	0.146	-0.737	-0.552	0.392	0.242	NaN	-0.384	-3.948	0.304	0.108	-3.355	-3.644	-2.806	-0.592	-2.939	-2.352	-4.493	-1.998	-1.893	-1.091
"YOR206W"	-3.294	-5.087	-4.715	-3.702	-1.66	-3.585	-5.083	-4.513	1.184	-0.305	1.088	0.951	-1.977	-2.894	-5.827	-2.568	-2.919	-1.049	-3.1625	-1.9445	-0.721	0.141	-0.54	-0.261	-0.586	-0.399	0.555	0.429	-0.152	-0.078	-5.066	0.144	0.278	-3.782	-3.839	-2.816	-0.108	-3.193	-2.539	-4.817	-2.585	-1.507	-2.379
"YOR294W"	-3.856	-4.574	-3.533	-3.828	-1.804	-3.73	-4.407	-3.632	1.553	0.183	1.543	1.28	-1.927	-2.434	-5.6475	-2.427	-2.791	-2.5155	-3.318	-1.8445	-0.684	0.009	-0.686	-0.118	-0.929	-0.714	0.513	0.45	-0.458	0.023	-4.852	-1.311	0.138	-3.894	-4.841	-3.679	-0.539	-2.722	-2.74	-5.145	-2.254	-1.895	-1.229
"YOR310C"	-4.866	-5.053	-0.887	-4.365	-2.299	-3.309	-4.639	-3.004	1.211	-0.269	1.223	1.0465	-1.362	-2.348	-6.006	-3.92	-3.101	-2.5655	-3.766	-3.585	-0.629	0.437	-0.584	-0.081	-0.458	-0.375	0.641	0.466	-0.205	0.049	-4.948	-0.246	-0.403	-3.619	-4.326	-3.006	-0.816	-4.564	-4.629	-5.14	-4.292	-3.502	-2.073
"YOR386W"	1.708	2.727	3.105	2.222	1.44	1.766	2.451	2.202	-2.104	0.183	-1.632	-1.582	0.726	0.991	3.0	1.9635	1.266	3.1865	2.07	2.3485	1.165	0.146	1.443	-0.249	0.371	0.442	-0.131	0.258	0.077	0.083	2.629	-1.074	-0.222	2.933	2.376	1.713	0.89	2.983	2.397	3.712	2.72	1.672	1.332
"YPL163C"	-0.862	-2.234	-2.953	-2.775	-0.534	-2.225	-3.19	-3.529	0.738	-0.031	0.612	0.6155	-0.334	-0.802	-1.9935	-1.193	-1.8105	-1.144	-1.0925	-1.643	-0.965	0.37	-0.164	0.003	-0.236	-0.136	0.216	0.079	-0.054	-0.112	NaN	-0.009	0.335	-1.687	-2.697	-0.416	-0.326	-2.574	-1.887	-3.373	-1.942	-1.308	-1.937
"YPL266W"	-2.487	-3.981	-2.802	-3.222	-1.233	-2.968	-3.585	-3.063	1.381	-0.1	1.1895	1.17	-0.843	-1.9705	-4.1135	-2.3835	-2.162	-1.4815	-3.267	-2.3995	-1.199	0.104	-0.409	0.044	-0.33	-0.437	0.304	0.053	-0.1	-0.138	-3.636	-0.592	-0.97	-3.195	-4.813	-2.51	-0.458	-3.274	-2.154	-4.271	-2.451	-1.929	-2.098
"YPR184W"	2.613	4.98	4.43	4.012	2.606	4.087	4.327	4.258	-2.874	-0.3175	-3.426	-0.8275	1.088	2.6555	3.57	1.63	3.41	2.9265	2.8455	1.579	2.226	-0.009	1.932	-0.193	0.858	0.421	-0.358	-0.545	-0.298	-0.134	4.475	-0.396	1.086	2.905	3.263	2.638	0.305	3.508	3.292	5.124	3.664	2.302	2.153
