	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1107.alpha factor release sample025"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YCR055C"	0.189	0.15	0.855	-6.518	-3.193	-3.059	-2.704	-1.766	-1.97	-3.878	-6.433	-3.796	-3.655	-2.132	-2.6155	-1.6	-2.2405	-3.105	-2.4225	-0.054	0.2	1.0465	0.575	0.235	-0.1405	0.024	0.0415	-1.703	-2.079	0.262	-0.296	-0.602	-0.41	NaN	NaN	NaN	NaN
"YCR057C"	0.119	0.069	1.06	-5.726	-3.143	-3.143	-2.651	-1.732	-2.636	-3.423	-5.109	-2.464	-2.855	-1.301	-1.667	-1.5195	-1.962	-2.812	-2.1505	-0.011	0.055	1.1765	0.685	0.294	-0.257	-0.3365	0.0055	-1.771	-1.1485	-1.226	-1.022	-0.972	-0.185	-1.253	-0.417666666666667	-0.799	-0.499333333333333
"YCR081W"	0.231	0.151	-0.17	-0.451	-0.625	0.706	0.178	0.782	-0.737	-1.585	-3.284	-0.221	0.123	0.576	-0.137	0.1005	-0.6835	-1.0555	-0.909	-0.4485	0.073	-0.2935	0.326	0.336	-0.2735	0.085	-0.077	0.534	-0.157	-0.557	-0.065	-0.049	-0.083	-0.014	0.6195	0.174	0.7855
"YDL051W"	0.06	0.228	0.619	-3.639	-2.402	-2.024	-1.821	-1.668	-2.07	-2.856	-3.563	-2.198	-1.985	-2.131	-2.973	-1.804	-1.557	-2.325	-2.819	0.574	0.05	1.102	0.605	0.419	0.0375	-0.1085	0.163	-1.28	-1.606	-0.577	-0.406	-0.829	-0.492	-1.213	-0.538	-0.155	-0.106
"YDL082W"	-0.105	-0.11	1.97	-3.223	-2.484	-2.853	-1.739	-1.446	-1.723	-3.326	-5.816	-2.537	-3.01	-1.18	-2.915	-2.182	-2.186	-3.001	-3.589	0.876	0.068	2.249	0.471	0.616	0.5065	0.4695	0.063	-1.852	-2.982	-1.955	-1.645	-1.337	-1.251	-1.795	-0.825	-0.247	-0.943
"YDL143W"	-0.1905	-0.0365	1.539	-0.91	-1.342	-1.394	-0.807	-0.989	-1.472	-1.678	-3.716	-1.469	-1.161	-1.388	-2.075	-1.794	-2.612	-3.143	-2.716	0.584	-0.116	1.074	0.519	0.395	0.004	0.0945	-0.277	-1.646	-1.295	-0.742	-0.653	-0.824	-0.926	-1.388	-1.052	-0.567	-0.306
"YDL150W"	-0.0715	0.0075	0.641	-1.991	-1.142	-1.17	-0.601	-0.448	-1.089	-1.728	-3.715	-1.73	-1.542	-0.97	-2.606	-1.259	-1.456	-1.824	-1.598	0.254	-0.1305	0.8	0.42	0.438	-0.208	-0.0555	-0.157	0.032	-1.42	-0.304	-0.228	-0.042	0.356	-0.159	-0.786	-0.759	-0.495
"YDL185W"	0.254	0.152	0.816	-0.209	-0.232	-0.557	-0.571	-0.915	-1.477	-2.522	-4.417	-0.841	-0.619	-1.308	-1.075	-0.701	-1.557	-2.084	-3.0	0.739	-0.133	0.997	0.172	-0.001	0.0325	0.011	0.074	-0.976	-0.233	-0.47	-0.493	-0.786	-0.941	-0.9305	-0.8145	-0.7395	-0.227
"YDL191W"	0.083	-0.254	1.943	-1.985	-2.367	-2.75	-2.497	-1.853	-1.975	-2.737	-5.192	-2.911	-2.813	-2.518	-3.616	-2.077	-1.362	-1.942	-2.86	0.632	0.005	1.822	0.376	0.287	0.234	0.1985	0.158	-2.212	-1.959	-1.4895	-1.212	-0.953	-0.635	-1.433	-0.557	-0.47	-0.517
"YDL201W"	0.261	0.13	0.265	-3.282	-2.32	-1.899	-1.819	-1.285	-1.952	-1.537	-4.94	-2.29	-2.112	-1.765	-2.178	-1.363	-1.295	-1.218	-1.732	0.172	0.108	1.066	0.354	0.21	-0.0685	-0.2605	-0.17	-0.902	-1.602	-0.406	-0.481	-0.297	0.053	-1.346	-0.58	-0.665	-0.601
"YDR023W"	0.121	0.082	1.318	-1.814	-2.122	-1.859	-1.347	-2.164	-2.077	-2.907	-5.745	-1.288	-1.116	-1.813	-3.05	-2.313	-3.056	-3.357	-3.85	0.985	0.047	1.69	0.428	0.481	0.1395	-0.2235	-0.019	-2.091	-1.635	-0.46	-0.612	-0.848	-1.152	-1.086	-0.925	-1.188	-1.255
"YDR025W"	0.296	0.003	2.153	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-3.357	-3.356	-3.471	-4.504	-2.886	-2.503	-2.895	-3.518	0.844	0.181	2.767	0.418	0.657	-0.116	-0.306	-0.035	-1.7675	-3.299	-1.577	-1.1035	-0.797	-0.707	-2.368	-1.009	-1.02	-0.813
"YDR083W"	0.031	-0.167	0.958	-3.47	-2.724	-1.65	-1.598	-1.881	-1.928	-2.092	-2.922	-2.697	-1.847	-0.836	-2.436	-1.838	-1.676	-2.45	-2.097	0.213	-0.056	0.779	0.292	0.061	-0.19	-0.3015	0.177	-1.597	-1.456	-0.374	-0.362	-0.684	-0.083	-2.007	-0.071	-0.858	-0.48
"YDR161W"	0.04	0.016	1.01	-4.61	-2.37	-2.197	-2.192	-1.24	-2.356	-2.842	-4.816	-1.842	-2.024	-0.877	-1.951	-1.537	-2.298	-2.511	-2.286	0.167	0.153	0.761	0.457	0.12	-0.0595	0.2925	0.168	-1.526	-0.718	-0.26	-0.032	-0.243	-0.422	-0.852	0.031	0.968	0.582
"YDR189W"	0.203	0.137	-0.172	-0.905	-0.795	-0.307	-0.822	-0.735	-0.956	-1.871	-2.842	-0.821	-0.61	-0.824	-0.968	-0.704	-1.597	-1.904	-2.063	-0.129	0.152	0.057	-0.167	-0.126	0.126	0.071	-0.041	-0.9815	-0.301	-0.3385	-0.157	-0.331	-0.6565	-0.943	-0.051	-0.516	-0.598
"YDR211W"	0.217	0.082	0.3	-2.225	-1.565	-1.024	-1.573	-0.984	-1.38	-1.706	-4.77	-2.051	-1.869	-1.476	-2.022	-1.43	-2.119	-2.043	-3.034	0.324	0.109	0.66	0.367	0.325	0.102	-0.13	0.515	-1.1775	-1.219	0.46	0.501	0.0925	-0.3515	-0.65	-0.925	-0.946	-0.6
"YDR365C"	-0.063	0.088	0.424	-2.985	-1.698	-2.057	-1.21	-1.232	-1.094	-2.477	-4.269	-1.534	-1.027	-1.205	-2.25	-2.29	-2.877	-3.039	-3.298	0.092	0.038	0.893	0.39	0.136	-0.824	-0.69	0.047	-1.094	-1.774	-0.639	-0.223	0.723	-0.063	-0.777	-0.782	-0.996	-0.994
"YDR414C"	-0.082	-0.034	0.269	-1.007	-0.879	-0.606	-0.87	-0.7	-1.198	-1.295	-2.042	-1.244	-0.8	0.515	-1.56	-1.014	-1.609	-1.415	-2.123	-0.038	0.28	0.238	-0.046	-0.038	-0.353	-0.335	0.15	-0.546	-1.023	-0.099	-0.289	-0.335	-0.343	-0.601	-0.094	-0.002	-0.284
"YDR418W"	0.187	0.056	2.098	-3.707	-3.13	-2.7	-2.237	-2.192	-2.976	-3.074	-5.866	-3.315	-3.181	-2.797	-4.449	-2.82	-2.866	-3.091	-4.066	1.206	0.347	2.482	0.438	0.545	0.21	0.222	0.253	-2.345	-3.879	-2.168	-2.252	-1.729	-1.286	-2.502	-1.043	-1.223	-1.053
"YDR466W"	-0.204	-0.004	-0.219	0.771	0.488	1.134	1.059	1.121	0.953	-0.439	-3.632	0.668	0.937	0.749	0.323	0.929	-0.641	-1.033	-0.968	0.071	-0.118	-0.483	-0.044	-0.056	-0.2	-0.006	0.057	0.177	0.925	0.349	0.264	0.218	0.242	-0.214	0.138	0.161	0.431
"YDR496C"	0.557	-0.33	0.407	-3.1645	-1.29	-2.3365	-2.027	-1.674	-2.018	-3.591	-4.393	-4.5275	-2.8145	-1.899	-3.995	-2.517	-2.6065	-3.579	-3.3065	0.0385	-0.008	0.5795	0.4685	0.208	-0.3795	-0.5125	0.0765	-1.889	-2.082	-0.326	-0.4205	-1.149	-0.816	-2.086	-0.552	-0.718	-0.58
"YEL042W"	0.294	-0.116	1.315	-1.578	-0.84	-0.254	-0.736	-1.264	-1.261	-3.201	-4.334	-1.707	-1.439	-1.329	-1.851	-1.658	-1.896	-2.665	-3.071	0.74	0.134	1.337	0.778	0.67	-0.22	-0.074	-0.007	-1.2195	-1.211	0.368	-0.0525	-0.705	-0.94	-1.375	-1.121	-1.178	-1.519
"YEL051W"	0.003	0.15	0.465	-1.244	-1.426	-0.68	-1.211	-1.113	-1.066	-1.395	-3.143	-0.871	-0.749	-1.269	-1.27	-0.985	-1.877	-1.866	-2.73	0.832	0.084	0.543	0.128	0.417	0.111	0.011	-0.169	-1.3115	0.461	0.0505	-0.194	0.097	-0.0745	0.403	0.113	-0.107	-0.819
"YEL054C"	0.502	0.199	2.108	-3.654	-2.711	-2.761	-1.871	-1.511	-2.981	-2.98	-7.056	-3.039	-3.52	-3.003	-3.347	-2.579	-2.504	-3.005	-3.554	1.009	0.369	2.322	0.894	0.945	0.166	0.22	0.091	-2.202	-3.541	-1.681	-1.0095	-1.0365	-1.0215	-2.724	-0.747	-0.873	-0.64
"YEL071W"	0.671	0.482	1.156	-1.453	-1.413	-1.954	-1.803	-1.892	-0.979	-1.146	-2.902	-0.878	-0.331	-0.5	-0.672	-2.152	-1.6	-2.204	-2.62	1.295	0.454	2.022	1.306	1.085	0.371	0.362	-0.585	-0.532	-2.763	-0.929	-0.7185	-0.9165	-1.317	0.469	-0.793	-0.497	-0.711
"YER009W"	0.031	-0.072	0.872	-1.519	-0.518	-0.602	-0.827	-1.398	-0.688	-2.671	-4.765	-1.145	-1.222	-2.143	-1.108	-1.465	-2.034	-2.393	-2.025	0.69	0.441	1.053	0.661	0.504	0.074	-0.155	-0.029	-0.484	-0.713	0.1855	0.002	-0.221	0.024	-0.783	-0.378	-0.615	-0.884
"YER025W"	0.423	0.485	0.974	-3.167	-1.687	-1.57	-1.903	-1.256	-1.55	-2.274	-4.542	-2.203	-1.76	-1.79	-2.463	-2.023	-1.728	-2.125	-2.385	0.769	0.089	1.327	0.52	0.254	0.144	0.235	0.0	-1.106	-1.545	0.331	-0.123	-0.153	-0.418	-1.108	-1.27	-1.017	-1.242
"YER043C"	0.553	0.477	1.283	-3.945	-1.445	-1.979	-2.553	-2.767	-3.397	-4.78	-6.476	-2.364	-1.977	-3.096	-3.583	-3.716	-3.31	-4.857	-4.918	1.257	0.405	1.395	0.708	0.469	0.058	-0.158	-0.103	-1.415	-2.241	-0.634	-0.843	-0.918	-1.444	-0.788	-1.329	-0.83	-1.182
"YER102W"	0.532	0.436	2.757	-3.932	-3.965	-3.177	-2.924	-2.3	-2.578	-3.64	-6.434	-3.101	-3.625	-3.37	-4.286	-2.593	-2.579	-3.326	-3.859	1.326	0.501	2.71	0.413	0.338	-0.113	0.154	0.299	-2.388	-3.067	-2.163	-1.932	-2.304	-2.019	-1.62	-0.449	-0.332	-0.351
"YER131W"	0.242	0.098	2.084	-2.813	-3.262	-2.7	-2.3	-1.895	-2.47	-3.664	-6.55	-2.621	-2.795	-2.905	-4.139	-2.498	-2.105	-2.654	-3.304	1.173	0.356	2.33	0.521	0.469	0.158	0.302	0.487	-2.4735	-2.775	-1.932	-2.0265	-1.8635	-0.8745	-3.072	-0.7	-0.963	-0.848
"YER162C"	0.082	0.102	-1.223	2.529	1.585	2.052	2.02	2.241	1.633	3.374	3.649	1.514	1.531	1.656	1.282	1.546	2.103	2.72	2.163	-0.574	-0.126	-1.117	-0.24	-0.173	-0.335	-0.09	-0.319	1.636	0.702	-0.1195	0.415	0.4715	0.381	0.824	0.508	0.54	-0.063
"YFL045C"	0.604	0.313	0.546	-2.266	-1.703	-1.447	-1.88	-1.85	-2.231	-2.163	-4.897	-2.591	-2.185	-2.463	-2.228	-2.201	-1.923	-2.307	-2.378	0.0	0.532	0.586	0.046	0.061	-0.073	0.157	0.031	-0.93	-1.379	-0.198	-0.4355	-0.881	-0.4185	-0.631	-0.956	-0.696	-0.34
"YFR009W"	0.069	0.169	1.258	-0.973	-1.89	-1.318	-1.513	-2.017	-1.914	-3.004	-4.932	-0.398	-1.105	-1.586	-1.488	-2.511	-3.291	-3.978	-4.281	0.735	0.177	1.126	0.417	0.287	0.165	0.091	-0.126	-0.923	-1.049	0.177	-0.159	-0.314	-0.414	-0.079	-0.885	-0.822	-0.32
"YGL001C"	-0.007	0.032	0.674	-0.263	-0.043	-0.607	-0.912	-1.369	-1.474	-2.878	-4.137	-0.744	-0.576	0.039	-0.745	-1.195	-1.719	-2.358	-2.176	1.51	0.081	0.747	-0.032	-0.015	0.102	-0.212	0.317	-1.066	0.658	-0.814	-0.74	-0.5095	-1.0995	-0.313	-0.081	-0.522	-0.276
"YGL076C"	0.175	0.02	2.346	-3.969	-3.136	-2.73	-2.564	-2.446	-2.401	-3.976	-5.667	-3.32	-2.996	-2.857	-4.142	-2.648	-2.836	-2.79	-3.782	0.897	0.275	2.882	0.661	0.609	-0.018	0.068	-0.016	-1.8735	-2.969	-1.935	-1.64166666666667	-1.78433333333333	-1.527	-1.82	-1.101	-1.147	-1.023
"YGL099W"	-0.044	0.056	0.954	-3.43	-2.011	-2.123	-1.774	-2.004	-2.335	-2.895	-5.764	-2.454	-1.59	-1.291	-2.755	-1.984	-2.516	-3.273	-3.42	0.024	0.124	0.647	0.164	-0.031	0.188	-0.31	0.157	-2.114	-1.546	-1.442	-1.4305	-0.3715	-0.4305	-1.151	-1.586	-0.926	-0.844
"YGL207W"	0.282	0.578	0.647	-1.02	-0.471	-0.419	-0.298	-0.737	-0.919	-2.137	-2.772	-0.755	-0.171	-0.532	-1.163	-1.517	-2.2	-2.806	-2.861	0.412	0.209	0.364	0.266	0.174	0.076	0.132	0.07	-0.862	-1.27	0.2295	0.107	-0.683	-0.92	0.339	-0.034	-0.099	0.218
"YGL238W"	0.002	0.025	0.876	-1.068	-1.334	-0.793	-1.08	-0.967	-1.048	-1.585	-4.337	-1.52	-1.275	-1.39	-1.481	-1.24	-1.654	-1.937	-2.674	0.636	0.071	1.231	-0.041	0.261	-0.077	-0.12	0.04	-0.873	-1.387	-0.342	-0.3185	-0.374	-0.665	-0.039	-1.143	-1.171	-0.584
"YGR027C"	0.107	0.255	1.564	-3.433	-2.572	-1.843	-1.632	-1.57	-1.697	-2.797	-5.39	-3.005	-2.616	-2.612	-4.002	-1.889	-1.187	-1.867	-2.368	0.825	0.162	1.487	0.467	0.315	0.406	0.642	0.238	-1.824	-2.186	-1.45	-1.459	-1.1165	-0.4545	-1.509	0.393	0.46	0.047
"YGR083C"	0.122	0.046	0.805	-2.133	-1.321	-0.78	-0.914	-0.971	-0.569	-1.845	-4.599	-1.304	-1.21	-1.183	-2.175	-1.27	-2.544	-2.794	-3.226	0.587	-0.009	1.142	0.147	0.148	-0.185	-0.197	0.042	-2.013	-0.852	-0.89	-0.89	-0.6895	-0.663	-0.8465	0.036	-0.0245	0.2415
"YGR085C"	0.287	0.271	1.922	-3.713	-3.301	-2.511	-2.202	-2.29	-2.146	-3.406	-6.059	-3.071	-3.255	-3.013	-4.359	-2.77	-3.306	-3.54	-4.179	1.018	0.272	2.15	0.407	0.491	-0.037	0.361	0.278	-2.156	-2.722	-1.734	-1.815	-1.935	-1.57	-1.674	-0.425	-0.497	-1.128
"YGR103W"	-0.072	-0.009	0.325	-4.825	-3.051	-3.013	-2.66	-2.148	-2.349	-1.948	-5.518	-2.251	-2.402	-2.149	-4.861	-2.95	-2.768	-3.578	-3.882	0.41	0.136	1.312	0.797	0.521	-0.172	-0.253	0.129	-2.468	-3.114	-0.895	-0.944	-1.131	-1.1	-2.0215	-0.984	-0.959	-0.8825
"YGR118W"	0.226	-0.022	1.94	-2.621	-2.692	-2.681	-2.455	-2.097	-1.993	-2.204	-5.471	-2.458	-2.209	-2.183	-3.851	-2.117	-1.76	-2.214	-3.141	0.697	0.138	1.925	0.416	0.261	-0.005	-0.016	0.229	-2.095	-1.851	-1.9165	-1.8975	-1.74	-1.308	-1.118	-0.207	-0.285	-0.407
"YGR123C"	-0.045	0.079	1.201	-4.447	-2.7	-2.234	-2.041	-1.249	-2.224	-3.794	-4.328	-2.878	-2.97	-2.137	-2.118	-1.536	-1.42	-2.413	-2.243	0.437	0.124	1.186	0.567	0.351	-0.181	-0.189	-0.141	-1.7365	-1.383	0.38	0.2785	-0.078	-0.692	-2.106	-1.154	-1.186	-1.616
"YGR148C"	0.242	-0.073	2.343	-3.45	-3.596	-3.464	-3.033	-2.31	-2.615	-3.884	-5.757	-3.141	-3.011	-2.956	-5.063	-2.896	-3.022	-3.649	-4.092	1.216	0.127	2.221	0.399	0.476	0.411	0.201	0.022	-2.7095	-3.258	-2.344	-2.332	-1.92	-1.1965	-1.437	-0.386	0.192	-0.71
"YGR173W"	-0.094	0.351	1.097	-3.271	-1.888	-1.436	-1.194	-1.375	-1.91	-2.218	-3.699	-2.709	-2.065	-1.747	-1.546	-0.91	-1.919	-1.996	-2.168	0.732	-0.074	1.687	0.307	0.22	-0.183	-0.079	-0.074	-1.2535	-1.53	-0.5655	-0.49	-0.5545	-0.638	-0.698	-1.425	-0.705	-0.523
"YGR245C"	0.262	0.18	0.247	-4.207	-2.765	-2.396	-1.545	-1.475	-2.045	-2.482	-3.799	-3.273	-2.711	-0.475	-3.164	-2.154	-2.194	-2.446	-3.203	-0.013	0.071	0.462	0.676	0.61	-0.321	-0.439	-0.052	-1.263	-1.672	0.597	-0.126	-0.15	0.353	-1.749	-0.054	-0.145	-0.082
"YGR285C"	0.114	0.098	1.704	-3.959	-2.444	-2.267	-1.794	-1.645	-1.67	-4.078	-6.1	-1.648	-1.332	-1.877	-3.556	-2.811	-3.452	-4.07	-4.065	0.946	0.256	1.749	0.704	0.621	0.045	-0.071	0.15	-2.068	-1.682	-0.289	-0.69	-1.031	-1.344	-0.763	-0.88	-1.667	-1.135
"YHL033C"	0.369	0.207	2.169	-3.758	-2.864	-2.635	-1.944	-1.277	-2.205	-3.984	-6.65	-3.056	-3.153	-3.005	-4.25	-2.523	-2.601	-2.923	-4.209	1.02	0.264	2.175	0.537	0.527	0.082	0.148	0.08	-1.956	-3.051	-1.935	-1.905	-2.009	-1.68	-2.101	-0.293	-0.434	-0.501
"YHR019C"	0.196	0.26	1.822	-2.949	-1.631	-1.096	-1.467	-1.831	-2.048	-4.051	-5.077	-3.299	-2.825	-2.664	-2.07	-2.06	-3.117	-3.721	-4.387	1.284	0.046	2.274	0.417	0.408	0.227	0.207	0.071	-1.834	-2.529	-0.881	-1.091	-1.56	-1.825	-1.626	-1.308	-1.4	-1.21
"YHR064C"	0.067	0.198	1.086	-4.543	-2.196	-1.596	-1.668	-1.77	-1.712	-3.329	-5.238	-3.074	-2.229	-2.559	-2.977	-2.25	-2.957	-3.678	-3.675	0.763	-0.017	1.42	0.719	0.432	-0.034	-0.022	-0.069	-2.056	-2.303	0.568	-0.383	-0.589	-1.323	-0.808	-0.74	-0.915	-0.972
"YHR068W"	-0.167	-0.12	1.075	-3.316	-2.566	-2.252	-2.251	-3.015	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-2.945	-2.429	-2.724	-3.669	-3.425	1.041	0.09	1.339	0.132	0.041	0.194	0.118	0.241	-2.29	-2.544	-0.248	-0.904	-0.973	-1.013	-0.522	-1.514	-1.571	-1.255
"YHR128W"	0.203	0.126	1.64	-4.359	-3.335	-2.68	-3.111	-3.159	-3.742	-4.967	-6.006	-3.351	-3.988	-3.361	-2.2	-3.482	-3.191	-3.494	-3.516	0.462	0.195	1.902	0.368	0.288	-0.856	-0.976	0.062	-1.769	-1.218	-0.432	-0.85	-0.285	-0.683	-1.536	-0.9	-1.05	-1.778
"YHR133C"	-0.238	-0.291	0.589	-1.498	-1.357	-0.653	-1.163	-1.453	-1.561	-1.885	-3.501	-1.51	-1.708	-1.622	-1.49	-1.806	-1.64	-1.82	-2.45	0.683	0.071	0.938	0.095	0.029	0.133	0.076	-0.043	-0.395	-1.36	-0.421	-0.467	-0.197	0.235	-0.59	-0.559	-0.518	-0.286
"YHR203C"	0.077	-0.013	2.714	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-5.944	-3.917	-3.774	-3.412	-4.669	-2.591	-2.575	-3.081	-3.941	1.332	0.219	2.739	0.323	0.318	0.137	0.242	0.264	-2.302	-3.65	-2.022	-2.181	-1.854	-1.577	-2.517	-0.686	-1.254	-1.145
