	"120.w303a vs w303a fkh1 fkh2"	"404.W303a vs GZY29-3b"	"405.W303a vs GZY45-15c"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13068.Na/Na+FK 45min (2)"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"
"YDR161W"	0.112	-0.497	-0.143	-1.24	-2.356	-2.842	-4.816	-0.877	-1.278	-1.406	-1.537	-2.298	-2.511	-2.286	0.425	-1.526	0.173	0.341	0.205	-1.397	-1.053	-1.315	-0.971	-0.286
"YDR165W"	-0.307	-0.549	-0.478	-1.905	-2.27	-3.111	-5.309	-1.636	-1.883	-1.396	-1.582	-1.767	-2.409	-2.23	-0.079	-1.0245	0.1675	0.225	0.0635	-1.6685	-1.005	-2.2245	-1.0505	-1.4165
"YDR209C"	0.36	-0.361	0.155	-2.924	-1.951	-1.955	-5.369	-1.363	-1.717	-1.348	-1.709	-1.769	-2.61	-2.151	0.308	-1.149	-0.13	0.0795	-0.0065	-1.0655	-0.7355	-2.573	-1.53	-0.5065
"YDR226W"	-0.385	0.368	-0.061	NaN	NaN	NaN	NaN	NaN	2.268	-0.632	-0.98	-2.764	-3.469	-3.736	-0.099	-1.3385	0.246	0.305	0.3	-0.733	-1.018	-0.6145	-0.882	-0.726
"YDR341C"	-0.161	0.008	-0.096	-1.574	-1.681	-3.212	-5.262	-2.134	-2.218	-1.942	-2.263	-3.262	-3.294	-3.559	-0.355	-1.562	0.041	0.102	-0.131	-1.313	-1.64	-2.047	-1.454	-1.449
"YDR382W"	-1.451	-0.085	-0.094	-1.738	-1.546	-2.459	-5.686	-2.776	-2.394	-2.897	-2.877	-2.565	-3.137	-3.471	-0.237	-1.905	0.316	0.475	0.078	-1.09	-1.523	-1.824	-1.372	-1.24
"YDR417C"	-0.256	-0.631	-0.161	-2.511	-3.327	-4.279	-5.062	-2.864	-2.95	-2.573	-2.986	-2.861	-3.022	-3.606	-0.542	-2.149	0.423	0.292	0.45	-1.238	-2.106	-2.199	-1.455	-1.947
"YDR418W"	-0.351	-0.346	-0.077	-2.192	-2.976	-3.074	-5.866	-2.797	-2.605	-2.792	-2.82	-2.866	-3.091	-4.066	0.043	-2.345	0.287	0.634	0.054	-1.737	-1.863	-0.484	-1.352	-1.131
"YEL054C"	-0.374	-0.495	-0.131	-1.511	-2.981	-2.98	-7.056	-3.003	-2.232	-2.777	-2.579	-2.504	-3.005	-3.554	-0.065	-2.202	0.227	0.33	0.5585	-1.233	-1.5205	-1.1015	-1.492	-0.61
"YER006W"	-0.214	-0.454	-0.086	-1.487	-2.061	-2.345	-4.571	-1.673	-1.513	-2.01	-1.682	-2.195	-2.03	-3.232	0.497	-1.125	0.1695	0.2635	-0.1355	-1.258	-1.799	-1.2915	-1.2495	-1.6315
"YER102W"	-0.098	-0.348	-0.012	-2.3	-2.578	-3.64	-6.434	-3.37	-3.204	-2.613	-2.593	-2.579	-3.326	-3.859	-0.552	-2.388	0.399	0.529	0.216	-0.956	-1.374	-1.412	-1.27	-0.665
"YER127W"	-0.29	-1.161	-0.68	-1.949	-2.155	-2.611	-4.439	-1.435	1.661	-1.363	-1.279	-1.098	-2.485	-1.946	-0.089	-1.479	-0.118	-0.0035	-0.076	-1.958	-0.6865	-0.828	-0.572	-1.15
"YER131W"	0.15	-0.027	0.016	-1.895	-2.47	-3.664	-6.55	-2.905	0.589	-2.2	-2.498	-2.105	-2.654	-3.304	0.513	-2.4735	-0.056	0.0515	0.3815	-0.727	-1.0635	-0.8955	-1.2365	-0.589
"YFL037W"	-0.292	-0.302	-0.132	-2.235	-2.915	-3.125	-5.562	-1.971	-1.476	-1.132	-1.914	-1.322	-2.034	-1.369	-0.749	-0.947	0.2085	-0.023	-0.067	-1.055	-0.3465	-1.0505	0.413	-1.2455
"YFL045C"	-0.338	-0.202	-0.191	-1.85	-2.231	-2.163	-4.897	-2.463	-2.891	-1.424	-2.201	-1.923	-2.307	-2.378	-0.526	-0.93	0.174	0.2195	0.282	-1.229	-1.708	-1.196	-0.0625	-1.4985
"YFR031BC"	-0.566	-0.745	0.368	-2.798	-2.801	-4.702	-7.029	-3.594	-3.523	-2.521	-2.912	-3.164	-3.863	-4.146	NaN	-2.438	0.501	0.098	0.731	1.203	NaN	1.711	NaN	NaN
"YGL008C"	0.098	0.1	0.583	-2.667	-2.092	-4.675	-3.936	-2.171	-1.681	-1.748	-2.348	-4.203	-4.969	-4.679	-0.002	-3.185	-0.145	0.075	-0.081	-2.57	-2.233	-3.006	-1.883	-1.094
"YGL030W"	-0.325	-0.28	-0.092	-2.363	-2.008	-3.668	-5.484	-2.6	-2.361	-2.592	-2.534	-1.668	-2.044	-3.011	-0.181	-1.6485	0.269	0.2045	0.228	-0.303	-1.2315	-1.3475	-1.1585	-1.783
"YGL031C"	-0.158	-0.258	-0.182	-1.846	-3.104	-3.683	-5.763	-3.063	-2.704	-2.475	-2.899	-2.92	-3.061	-3.473	0.38	-2.655	0.165	0.267	0.45	-1.701	-1.852	-1.796	-1.793	-0.81
"YGL039W"	-0.381	-0.202	0.138	-2.458	-2.992	-1.744	-2.72	-0.76	-1.484	-1.822	-1.751	-2.433	-2.686	-3.211	-0.048	-2.594	0.204	-0.075	0.31	0.62	0.622	0.692	1.999	0.984
"YGL050W"	0.094	-0.074	0.098	-0.71	-1.231	-1.73	-2.381	-0.557	-0.638	-0.732	-0.359	-0.824	-0.874	-1.231	-0.079	-0.706	-0.071	-0.19	-0.062	-0.075	-0.357	-0.922	-0.504	0.012
"YGL076C"	-0.055	0.156	0.213	-2.446	-2.401	-3.976	-5.667	-2.857	-1.957	-2.568	-2.648	-2.836	-2.79	-3.782	-0.8	-1.8735	0.3355	0.3835	0.128	-0.9825	-1.4705	-0.909	-1.2665	-0.5635
"YGL077C"	0.02	-0.202	0.133	-1.539	-1.395	-3.716	-3.533	-1.313	-1.711	-1.683	-1.693	-2.529	-2.903	-2.463	-0.301	-1.243	0.358	0.32	-0.075	-1.771	-1.914	-1.663	-1.285	-0.751
"YGL101W"	-0.086	-1.044	-0.688	-2.605	-2.272	-3.648	-4.268	-0.867	-0.567	-1.45	-2.319	-1.624	-2.462	-2.043	-0.501	-1.426	0.588	0.601	0.401	-1.444	-2.061	-2.281	-1.792	-1.833
"YGL105W"	-0.755	-0.94	-0.776	-1.362	-1.984	-3.587	-6.011	-1.68	-1.068	-1.41	-1.635	-1.622	-1.876	-2.025	0.167	-1.57	0.088	0.123	-0.15	0.051	-0.072	-0.647	-0.45	-0.49
"YGL123W"	-0.88	-0.788	0.078	-2.802	-3.62	-4.004	-5.982	-3.701	-3.959	-2.414	-2.278	-2.388	-2.65	-3.558	-0.521	-2.357	0.421	0.408	0.496	-1.047	-2.466	-2.204	-2.415	-1.845
"YGL245W"	-0.29	-0.191	-0.048	-1.475	-2.145	-4.799	-6.655	-1.699	-2.088	-1.589	-2.121	-3.552	-4.345	-4.779	-0.566	-1.658	0.199	0.216	0.059	-0.466	-0.577	-0.734	0.125	-0.331
"YGL246C"	-0.064	-0.871	-0.157	-0.979	-0.951	-2.83	-2.44	-0.571	-1.214	-1.452	-1.433	-1.976	-2.222	-2.971	0.59	-1.815	0.39	0.525	0.462	-1.633	-2.317	-1.669	-1.424	-1.112
"YGL253W"	-0.121	-0.206	0.303	-1.924	-0.458	-2.17	-4.666	-0.793	-0.699	-0.348	-0.677	-1.66	-1.811	-2.803	-0.123	-1.286	-0.078	-0.129	-0.378	-0.708	-0.471	-0.783	0.031	0.01
"YGR037C"	-0.219	0.263	-0.042	-1.659	-1.49	-3.63	-4.976	-1.298	-1.04	-1.612	-1.441	-1.964	-2.717	-2.416	-0.544	-1.319	0.105	0.038	-0.247	0.485	0.619	1.387	1.885	1.058
"YGR054W"	-0.861	-0.862	-0.437	-1.147	-1.521	-1.724	-4.535	0.112	-0.704	-1.287	-2.153	-2.051	-2.362	-2.163	-0.626	-1.294	-0.058	0.085	-0.23	0.148	0.145	-0.171	0.058	0.376
"YGR085C"	0.47	0.362	0.583	-2.29	-2.146	-3.406	-6.059	-3.013	-2.215	-2.625	-2.77	-3.306	-3.54	-4.179	0.323	-2.156	0.237	0.236	-0.039	-1.471	-1.698	-1.091	-1.884	-0.521
"YGR148C"	-0.203	-0.185	-0.1815	-2.31	-2.615	-3.884	-5.757	-2.956	-2.722	-2.508	-2.896	-3.022	-3.649	-4.092	-0.215	-2.7095	0.014	0.0495	0.2925	-1.5625	-1.505	-1.8415	-1.066	-1.356
"YGR200C"	-0.605	-0.118	-0.182	-1.152	-1.306	-2.863	-3.668	-1.597	-1.625	-1.274	-1.456	-1.861	-2.863	-2.446	0.083	-1.091	0.181	0.057	-0.275	1.203	NaN	0.991	-1.315	NaN
"YGR264C"	-0.089	-0.6635	-0.206	-2.945	-3.206	-5.206	-4.616	-2.811	-3.49	-2.707	-3.468	-4.623	-4.957	-4.753	-0.542	-2.468	0.034	-0.035	-0.521	-1.979	-2.475	-2.845	-2.239	-2.046
"YGR285C"	-0.513	-0.4395	-0.3875	-1.645	-1.67	-4.078	-6.1	-1.877	-1.393	-2.557	-2.811	-3.452	-4.07	-4.065	0.701	-2.068	0.541	0.392	0.016	-0.605	-0.746	-1.007	-0.582	0.429
"YHL033C"	-0.345	0.052	-0.1635	-1.277	-2.205	-3.984	-6.65	-3.005	-2.318	-2.808	-2.523	-2.601	-2.923	-4.209	-0.161	-1.956	0.154	0.246	-0.168	-1.605	-1.516	-1.527	-1.38	-0.719
"YHR047C"	-0.3	-0.067	0.0485	-1.732	-2.047	-3.032	-4.423	-0.614	0.114	-1.632	-1.63	-1.978	-3.102	-3.056	0.479	-1.841	0.128	-0.01	-0.66	-1.525	-0.019	-0.857	-1.344	-0.301
"YHR065C"	-0.104	-0.2055	-0.301	-1.183	-2.105	-3.857	-4.644	-1.01	1.123	-1.073	-1.503	-1.762	-2.801	-2.479	-0.015	-0.852	-0.032	-0.197	-0.342	-1.69	-0.515	-1.576	NaN	-1.634
"YHR068W"	-0.2	-0.435	-0.2755	-3.015	-2.166	-4.28	-6.532	-2.526	-1.119	-1.927	-2.429	-2.724	-3.669	-3.425	-0.59	-2.29	0.084	0.06	-0.03	-1.065	-0.399	-0.59	-1.165	0.399
"YHR098C"	-0.1935	-0.424	0.0513333333333333	-0.96	-0.638	-2.065	-3.065	-1.159	-1.2865	-1.2075	-1.218	-1.917	-1.925	-2.553	-0.016	-2.4395	-0.206	-0.265	-0.2715	-0.7485	-0.1205	-1.3875	-1.143	-0.5745
"YHR128W"	-0.622	-0.5295	-0.367	-3.159	-3.742	-4.967	-6.006	-3.361	-3.012	-3.051	-3.482	-3.191	-3.494	-3.516	-0.258	-1.769	0.27	0.315	-0.169	-2.441	-2.644	-2.222	-2.467	-1.653
"YHR193C"	-0.627	-0.5785	0.055	-1.341	-1.99	-3.11	-4.166	-1.955	-1.2	-1.494	-1.913	-1.778	-2.357	-2.845	0.457	-1.764	0.559	0.679	0.772	-0.871	-1.503	-1.31	-1.228	-1.222
"YHR208W"	-0.2	0.596	-0.489	-1.397	-1.898	-3.12	-4.064	-1.934	-1.898	-1.232	-1.339	-2.263	-2.683	-2.939	0.488	-1.267	0.044	0.107	-0.1	-1.115	-1.137	-0.613	-1.197	-1.207
"YHR216W"	-0.317	-0.488	-0.127	-1.128	-2.045	-3.15	-4.943	-3.038	-2.589	-2.088	-2.767	-2.237	-2.621	-2.913	-0.85	-1.783	0.071	-0.039	-0.516	-1.362	-1.515	-1.599	-0.721	-0.513
"YIL039W"	-0.001	0.2775	0.0585	-1.325	-1.46	-3.668	-4.517	-1.3	-0.337	-1.043	-1.386	-1.646	-2.122	-1.552	-0.621	-1.385	-0.19	-0.293	-0.068	-0.592	-0.333	0.683	-0.569	1.001
"YIL052C"	-0.247	-0.294	-0.1895	-2.22	-3.178	-2.895	-6.278	-2.559	-2.622	-2.271	-2.546	-2.162	-2.5	-3.158	-0.043	-1.743	0.302	0.266	0.398	-0.908	-1.697	-2.316	-2.267	-1.52
"YIR012W"	-0.392	-0.972	-0.4665	-2.544	-2.595	-3.791	-4.69	-2.137	-2.092	-1.684	-1.486	-1.547	-2.217	-2.528	0.227	-1.751	-0.138	0.062	-0.085	-1.988	-1.517	-1.046	-0.878	-1.723
"YJL014W"	0.034	-0.4065	-0.01	-1.494	-1.383	-2.624	-3.962	-1.425	-1.317	-1.558	-1.58	-2.252	-3.068	-2.866	-0.65	-1.31	-0.03	-0.093	-0.268	-0.151	-0.933	-1.201	-0.152	-0.146
"YJL111W"	-0.194	-0.296	0.0905	-1.375	-1.323	-3.38	-6.57	-1.796	-1.988	-1.213	-1.305	-1.573	-1.994	-2.239	-0.781	-1.728	0.077	-0.081	-0.101	-0.563	-0.866	-1.173	-0.058	-0.539
"YJL145W"	-0.228	-0.419	-0.268	-1.431	-2.509	-2.136	-3.628	-1.336	-1.747	-1.678	-1.482	-2.303	-2.334	-2.853	0.124	-1.334	0.445	0.284	0.334	0.386	-0.229	0.159	0.222	0.108
"YJL177W"	-0.174	-0.081	0.0495	-0.605	-2.747	-3.255	-5.49	-3.428	-3.164	-2.525	-2.421	-1.768	-2.278	-2.905	0.022	-2.348	0.107	0.093	0.332	-1.068	-1.95	-1.926	-1.216	-1.104
"YJL192C"	-0.161	0.447	-0.03	-1.258	-1.255	-3.649	-4.214	-1.29	-1.458	-1.289	-0.942	-1.68	-2.446	-1.599	-0.478	-1.156	0.439	0.596	0.552	-0.625	0.445	0.093	-0.805	0.205
"YJR007W"	-0.018	-0.36	-0.1275	-1.68	-2.662	-3.21	-8.057	-1.824	-1.91	-1.848	-2.051	-2.909	-3.009	-3.616	-0.982	-1.685	0.089	0.114	0.017	-0.587	-0.952	0.042	-0.989	-0.846
"YJR064W"	-0.369	-0.87	-0.3835	-1.854	-2.589	-1.931	-4.297	-1.978	-1.919	-1.592	-1.762	-1.961	-2.702	-2.57	-0.762	-1.762	0.106	0.023	0.278	-1.199	-1.095	-0.329	-0.202	-0.832
"YJR145C"	-0.182	-0.118	0.0265	-2.328	-2.413	-3.54	-6.528	-3.597	-3.707	-2.396	-2.336	-2.519	-3.105	-3.178	-0.195	-2.312	0.394	0.212	0.539	-1.389	-2.371	-2.718	-1.045	-1.636
"YKL024C"	-0.195	-0.908	-0.3855	-1.278	-1.678	-2.025	-5.4	-1.45	-2.036	-0.007	0.133	-0.542	-1.239	-1.798	-0.204	-1.279	0.271	0.135	0.134	-0.19	-0.523	-0.569	0.124	-0.179
"YKL056C"	-0.084	-0.1475	-0.035	-1.541	-1.771	-3.426	-5.119	-2.371	-2.389	-1.741	-2.281	-2.754	-3.265	-3.483	0.176	-1.777	0.932	0.736	0.258	NaN	-1.796	-2.04	-2.387	-1.494
"YKL080W"	0.262	0.095	0.1145	-1.25	-1.469	-4.229	-5.94	-1.461	-1.699	-1.299	-1.962	-2.874	-2.944	-2.866	-0.801	-1.244	-0.059	0.261	0.426	-0.593	-1.044	-1.256	-0.471	-0.509
"YKL180W"	-0.097	0.161	-0.07	-1.633	-1.857	-2.561	-5.237	-2.593	-2.296	-2.351	-2.354	-2.059	-2.04	-2.857	-0.343	-2.393	-0.131	-0.174	0.242	-1.671	-1.168	-1.15	-0.677	0.001
"YKR094C"	-0.248	-0.406	-0.124	-1.978	-2.41	-2.464	-4.383	-1.972	-2.7	-1.746	-1.839	-1.792	-2.197	-2.387	-0.214	-2.035	0.52	0.292	0.664	-0.123	-1.76	-1.329	-0.592	-0.228
"YLL044W"	-0.763	-0.348	0.157	-2.211	-2.963	-3.79	-6.48	-3.269	-2.156	-2.654	-2.736	-2.724	-3.494	-3.967	-0.904	-2.227	0.284	0.343	0.109	-2.146	-2.632	-1.041	-0.862	-1.827
"YLL045C"	-0.341	0.129	-0.061	-1.64	-2.221	-3.857	-6.618	-3.185	-2.744	-2.604	-2.495	-2.943	-3.021	-3.731	-0.95	-2.165	0.158	0.219	0.198	-1.125	-1.421	-1.64	-1.948	-0.815
"YLR061W"	-0.035	-0.189	0.057	-2.908	-3.127	-4.939	-6.591	-3.021	-3.058	-2.433	-2.88	-3.309	-3.833	-3.91	-0.263	-2.482	-0.116	-0.133	-0.13	-1.222	-2.006	-2.22	-1.462	-1.314
"YLR065C"	-0.1	0.014	0.17	-1.191	-1.341	-1.93	-3.028	-1.411	-1.516	-1.07	-1.137	-1.477	-1.554	-1.642	0.075	-0.712	0.132	0.191	-0.001	-0.068	-0.674	-1.817	-0.306	0.314
